legislator_name,last_name,district_number,member_id,party,counties,chamber
"Yarkosky, Taylor Michael",Yarkosky,25,4868,,,House
"Yeager, Bradford Troy ""Brad""",Yeager,56,4882,,,House
"Mayfield, Debbie",Mayfield,32,4456,,,House
"Rudman, Dr. Joel",Rudman,3,4861,,,House
"Albritton, Ben",Albritton,27,27,Republican,"Consists of Charlotte, DeSoto, Hardee counties and parts of Lee, Polk counties",Senate
"Arrington, Kristen Aston",Arrington,25,25,Democrat,Consists of Osceola county and part of Orange county,Senate
"Avila, Bryan",Avila,39,39,Republican,Consists of part of Miami-Dade county,Senate
"Berman, Lori",Berman,26,26,Democrat,Consists of part of Palm Beach county,Senate
"Bernard, Mack",Bernard,24,24,Democrat,Consists of part of Palm Beach county,Senate
"Boyd, Jim",Boyd,20,20,Republican,"Consists of parts of Hillsborough, Manatee counties",Senate
"Bradley, Jennifer",Bradley,6,06,Republican,"Consists of Baker, Bradford, Clay, Columbia, Gilchrist, Union counties and part of Alachua county",Senate
"Brodeur, Jason",Brodeur,10,10,Republican,Consists of Seminole county and part of Orange county,Senate
"Burgess, Danny",Burgess,23,23,Republican,"Consists of parts of Hillsborough, Pasco counties",Senate
"Burton, Colleen",Burton,12,12,Republican,Consists of part of Polk county,Senate
"Calatayud, Alexis",Calatayud,38,38,Republican,Consists of part of Miami-Dade county,Senate
"Collins, Jay",Collins,14,14,Republican,Consists of part of Hillsborough county,Senate
"Davis, Tracie",Davis,5,05,Democrat,Consists of part of Duval county,Senate
"DiCeglie, Nick",DiCeglie,18,18,Republican,Consists of part of Pinellas county,Senate
"Gaetz, Don",Gaetz,1,01,Republican,"Consists of Escambia, Santa Rosa counties and part of Okaloosa county",Senate
"Garcia, Ileana",Garcia,36,36,Republican,Consists of part of Miami-Dade county,Senate
"Grall, Erin",Grall,29,29,Republican,"Consists of Glades, Highlands, Indian River, Okeechobee counties and part of St. Lucie county",Senate
"Gruters, Joe",Gruters,22,22,Republican,Consists of Sarasota county and part of Manatee county,Senate
"Harrell, Gayle",Harrell,31,31,Republican,"Consists of Martin county and parts of Palm Beach, St. Lucie counties",Senate
"Hooper, Ed",Hooper,21,21,Republican,"Consists of parts of Pasco, Pinellas counties",Senate
"Ingoglia, Blaise",Ingoglia,11,11,Republican,"Consists of Citrus, Hernando, Sumter counties and part of Pasco county",Senate
"Jones, Shevrin D. ""Shev""",Jones,34,34,Democrat,Consists of part of Miami-Dade county,Senate
"Leek, Thomas J. ""Tom""",Leek,7,07,Republican,"Consists of Flagler, Putnam, St. Johns counties and part of Volusia county",Senate
"Martin, Jonathan",Martin,33,33,Republican,Consists of part of Lee county,Senate
"Mayfield, Debbie",Mayfield,19,19,Republican,Consists of part of Brevard county,Senate
"McClain, Stan",McClain,9,09,Republican,"Consists of Levy, Marion counties and part of Alachua county",Senate
"Osgood, Rosalind",Osgood,32,32,Democrat,Consists of part of Broward county,Senate
"Passidomo, Kathleen",Passidomo,28,28,Republican,"Consists of Collier, Hendry counties and part of Lee county",Senate
"Pizzo, Jason W. B.",Pizzo,37,37,No Party Affiliation,"Consists of parts of Broward, Miami-Dade counties",Senate
"Polsky, Tina Scott",Polsky,30,30,Democrat,"Consists of parts of Broward, Palm Beach counties",Senate
"Rodriguez, Ana Maria",Rodriguez,40,40,Republican,Consists of Monroe county and part of Miami-Dade county,Senate
"Rouson, Darryl Ervin",Rouson,16,16,Democrat,"Consists of parts of Hillsborough, Pinellas counties",Senate
"Sharief, Barbara",Sharief,35,35,Democrat,Consists of part of Broward county,Senate
"Simon, Corey",Simon,3,03,Republican,"Consists of Dixie, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Lafayette, Leon, Liberty, Madison, Suwannee, Taylor, Wakulla counties",Senate
"Smith, Carlos Guillermo",Smith,17,17,Democrat,Consists of part of Orange county,Senate
"Truenow, Keith L.",Truenow,13,13,Republican,Consists of Lake county and part of Orange county,Senate
"Trumbull, Jay",Trumbull,2,02,Republican,"Consists of Bay, Calhoun, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",Senate
"Wright, Tom A.",Wright,8,08,Republican,"Consists of parts of Brevard, Volusia counties",Senate
"Yarborough, Clay",Yarborough,4,04,Republican,Consists of Nassau county and part of Duval county,Senate
Vacant,Vacant,15,,,Consists of part of Orange county,Senate
