ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_SEN_SPEC_Total,E_24_SEN_SPEC_Dem,E_24_SEN_SPEC_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
10,10,37237,30242,1707,3753,1394,328,68,0,0,42160,32236,3040,5056,1828,554,26,0,0,41580,29747,3065,5550,2405,899,89,41630,31049,3346,5530,1525,711,23,4364,1175,309,0,4,1383,42559,31318,3115,5816,1756,924,12,27151,22784,953,2349,935,195,45,0,0,29672,24882,1153,2743,615,197,0,2620,547,108,110,0,30986,23391,1884,3497,1613,565,52,30986,23391,1884,3044,1349,101,20,120,1077,29275,24015,1136,3080,651,286,0,0,0,0,0,0,29687,24102,1201,3086,782,304,0,2627,634,103,0,30071,23942,1560,3161,755,417,0,2664,656,65,0,16741,8205,8340,17232,7358,9874,19075,8546,9391,16177,7676,7948,16175,8147,8028,11528,0,11528,17961,8425,8989,21286,11260,9556,18929,6761,10922,18978,9376,9320,20959,11207,9494,20540,0,8645,20642,10721,9921,20782,10594,10188
11,11,36974,8011,3328,24563,849,1148,101,0,0,37827,9657,5321,20662,1974,1275,67,0,0,40338,8325,6420,22214,2765,1803,102,38779,9847,5998,20745,2021,1264,60,18880,1722,323,9,1,2001,39695,9198,6639,21423,2306,1193,40,25122,6496,1810,16054,533,653,56,0,0,23382,7821,1522,13047,343,667,4,12597,309,365,133,0,27850,6890,3736,14978,1644,1131,70,27850,6890,3736,14015,1488,280,22,192,1227,23807,7856,1668,13094,553,651,8,0,0,0,0,0,24290,7591,2022,13232,917,464,4,12393,892,174,4,24995,7976,2246,13003,1098,580,8,12042,1046,116,8,13315,11961,1184,10998,9778,1220,10368,8753,1240,7972,6653,1047,7935,6814,1121,3418,0,3418,9033,7586,1263,11190,9437,1545,9554,7050,1860,9537,7976,1495,10566,8756,1612,9936,0,1581,10511,8945,1566,10441,8720,1721
12,12,38086,31315,3633,1691,1219,391,96,0,0,39546,30692,4489,2228,1554,615,161,0,0,40689,29341,5803,2820,1896,940,123,38468,29989,3883,2083,2001,642,121,1665,1461,195,56,74,1144,37440,27759,5090,2256,1822,644,66,29659,25290,2325,992,886,247,47,0,0,28896,24654,2077,1222,583,311,20,1143,413,124,30,0,31802,24319,3671,1742,1374,611,83,31802,24319,3671,1447,1117,98,54,94,1002,28653,24440,2048,1124,662,326,25,0,0,0,0,0,27617,23479,2135,1194,538,215,4,999,452,69,4,27163,23063,2730,679,488,180,5,347,395,8,5,17425,8042,9154,19565,7920,11645,16674,7055,8568,14276,6559,7181,14245,6868,7377,10309,0,10309,15937,7115,8292,19113,9585,9097,17217,5824,10138,16713,7838,8590,17989,9070,8660,17712,0,7549,17705,8798,8907,17814,8694,9120
13,13,37966,21797,2425,12694,761,795,46,0,0,41588,20863,3132,13763,3498,877,49,0,0,41106,18837,3643,13245,4522,1374,88,40452,19519,3180,12978,4426,826,59,11535,3907,205,3,26,2061,41617,19965,3536,13151,4549,844,128,27971,17648,1416,8165,489,486,31,0,0,28091,17066,948,8889,789,369,4,8521,730,178,101,0,30252,15759,2253,8851,2678,915,48,30252,15759,2253,8204,2554,244,16,140,1082,26567,16009,1032,8335,793,354,0,0,0,0,0,0,27472,16263,1405,8413,1098,335,25,7819,1037,52,25,27629,16172,1868,7846,1469,401,32,7278,1403,35,32,16636,10720,5652,15471,10078,5393,15210,9236,5249,12571,7669,4514,12557,7969,4588,7367,0,7367,13935,8431,5147,16620,10602,5686,14419,7097,6315,14548,8913,5427,15802,9941,5595,15262,0,5037,15641,9954,5687,15618,9698,5920
14,14,36554,31393,2114,1660,1152,352,73,0,0,41426,34849,3306,1739,1477,442,45,0,0,40857,31992,3768,2514,1747,855,114,40625,33249,3723,1839,1490,524,81,1294,1054,109,18,82,1100,40956,33247,3833,2352,1268,451,23,26512,23432,1222,921,762,217,47,0,0,29838,26284,1647,803,860,180,9,734,709,92,111,0,30551,24936,2328,1421,1201,583,63,30551,24936,2328,1093,929,87,17,104,1057,29757,25969,1695,960,815,162,18,0,0,0,0,0,30837,26527,2102,1304,648,159,0,1086,494,47,0,30513,25660,2325,1471,924,124,0,1218,636,28,0,16823,6906,9664,17118,6590,10528,18929,6888,10728,16378,6298,9427,16361,6731,9630,12256,0,12256,18217,6936,10666,21761,9685,11535,19645,5306,12993,19310,7810,11178,21075,9481,11314,20826,0,10132,20807,8923,11884,20526,8594,11932
15,15,40602,35776,3810,421,334,351,109,0,0,41047,34646,4955,707,348,600,77,0,0,41650,33557,6230,580,402,984,52,40830,34311,5188,628,353,518,88,340,271,120,76,20,503,41915,34226,5822,600,375,909,87,30873,28079,2151,225,209,234,68,0,0,29547,27430,1257,377,132,300,53,271,83,130,0,0,31477,26558,3707,309,267,633,34,31477,26558,3707,187,166,109,8,80,662,29331,27123,1334,339,232,268,69,0,0,0,0,0,30372,27464,2044,347,239,268,12,205,133,47,12,30161,26843,2365,324,275,270,0,195,171,49,0,17131,7228,9481,17131,6405,10726,17820,5203,11717,14363,4436,9447,14407,5291,9116,11535,0,11535,16346,5053,10949,19565,6339,12835,18418,3852,13354,17375,5424,11808,19581,6321,13005,19360,0,11067,19286,5801,13485,19049,5437,13612
16,16,37832,35718,1357,270,156,353,40,0,0,37372,34628,1737,427,245,432,62,0,0,38045,34549,1964,396,310,771,82,37399,34571,1749,397,207,504,77,177,112,172,60,13,533,38088,35011,1837,445,251,550,89,28521,27366,707,126,93,221,25,0,0,27860,26700,644,175,79,234,29,146,61,121,4,0,28935,26797,1162,202,181,510,57,28935,26797,1162,78,107,102,22,58,609,27854,26735,581,155,80,273,53,0,0,0,0,0,28453,27138,712,156,107,265,48,104,81,77,48,28396,26976,833,108,68,307,0,53,49,113,0,18722,6600,11566,17927,5526,12401,19070,4390,13599,16190,3993,11698,16249,4563,11686,13005,0,13005,18095,4389,13334,21436,5617,15372,20103,3259,15636,19197,4669,14388,21504,5513,15751,21284,0,13821,21200,4883,16317,20317,4408,15909
17,17,39688,24823,8531,970,787,4850,93,0,0,38817,22014,9516,1646,985,5260,17,0,0,40122,20939,10757,2328,955,5383,275,38766,21677,9586,1800,1027,5446,4,1285,782,4419,0,153,859,39698,21744,10389,2177,1084,5075,9,28504,19917,4803,644,545,2694,57,0,0,24819,17810,3195,702,377,2804,0,591,289,2531,8,0,29050,17000,6671,1523,707,3173,176,29050,17000,6671,1375,577,2635,96,104,592,25048,17510,3619,750,360,2888,0,0,0,0,0,0,25992,17566,4345,865,518,2767,0,779,386,2476,0,25763,16924,4475,1125,437,2808,4,1075,321,2476,4,13377,5662,7276,12246,5342,6904,12767,4256,7840,10166,3393,6444,10192,3825,6367,7623,0,7623,11655,4002,7441,14154,5123,8735,13297,3922,8726,12105,4098,7956,13080,4288,8621,12813,0,7108,12913,3871,9042,12483,3891,8592
18,18,27391,21242,1183,3962,928,316,55,0,0,35091,25534,2027,5900,1488,489,196,0,0,41317,28684,2537,6207,3195,873,90,36504,26894,2189,5888,1331,435,171,4617,1087,54,28,107,1536,40743,29829,2662,5895,1871,657,65,19335,15720,671,2309,559,168,30,0,0,23659,18999,1030,3015,377,183,31,2772,282,77,105,0,29280,21400,1519,3712,2093,564,54,29280,21400,1519,3305,1860,105,23,98,970,24873,19979,990,3173,443,154,26,0,0,0,0,0,28264,22745,1004,3286,847,326,5,2966,735,111,5,28884,22295,1120,3754,1419,415,0,3280,1251,100,0,12364,5867,6336,12931,5110,7821,15238,6586,7783,13905,6268,7144,13903,6687,7216,9974,0,9974,16273,7184,8640,21516,10539,10564,19395,6341,11885,19165,8724,10144,23401,11338,11744,22914,0,10529,23052,10759,12293,23220,10665,12555
19,19,38678,32782,4551,680,247,595,38,0,0,38969,31727,5353,784,666,679,13,0,0,39550,31610,5578,741,633,1122,57,38857,31439,5500,710,735,760,0,417,635,432,0,0,435,39533,31701,5764,897,823,1002,117,28941,25591,2578,337,157,339,22,0,0,27753,24773,2028,383,202,333,0,271,178,296,0,0,29672,24728,3467,417,418,669,50,29672,24728,3467,302,325,240,9,66,535,27532,24574,2030,329,209,354,0,0,0,0,0,0,28183,24789,2254,362,398,311,0,203,200,195,0,27847,24575,2235,312,352,346,0,145,188,232,0,15848,4543,10896,15151,3737,11414,16017,2909,12235,11951,2407,9175,11922,2762,9160,10068,0,10068,14286,2811,11163,17935,3721,13837,16968,2566,13346,15534,3114,12287,17853,3609,14039,17661,0,12139,17575,3265,14310,17729,2884,14845
20,20,40459,35860,1651,1567,1159,271,81,0,0,39809,34781,2069,1608,1193,427,11,0,0,41464,34123,2883,2086,1513,831,72,41361,35839,2551,1864,1114,280,4,1389,972,121,0,3,485,42094,35495,2799,2172,1373,350,0,31399,28564,1028,881,780,162,48,0,0,29362,27032,876,823,441,162,4,804,373,81,29,0,31968,27269,1753,1215,1049,558,58,31968,27269,1753,986,859,87,27,74,913,30449,27893,1090,974,357,138,0,0,0,0,0,0,31367,28116,1383,1130,576,153,0,970,479,64,0,32042,28572,1526,1171,611,144,4,816,504,31,4,22460,9912,12244,22302,8530,13772,21532,9665,10659,19197,9188,9449,19190,9668,9522,13402,0,13402,20621,9594,10463,24130,12803,10858,20714,6565,12721,21599,10606,10674,23507,12855,10328,23303,0,9697,23297,12163,11134,23415,11927,11488
21,21,32939,28586,1558,1212,1334,377,28,0,0,37810,31101,2997,1545,1898,585,153,0,0,39105,31025,2531,2214,2614,858,66,38834,31812,3210,1306,2033,573,152,794,1794,124,3,165,926,40747,32686,3065,1801,2579,841,118,23316,20779,871,583,902,225,20,0,0,26666,23164,1520,836,837,251,4,734,802,76,89,0,28418,23248,1537,1239,1866,518,49,28418,23248,1537,951,1669,126,18,70,799,27611,23718,1757,783,995,211,4,0,0,0,0,0,28557,24274,1655,1056,1215,253,4,948,1137,48,4,28635,24258,1505,953,1479,400,7,790,1261,238,7,13999,6511,7230,14981,6674,8307,15283,5482,8787,13077,6064,6491,13036,6301,6735,9273,0,9273,15208,6341,8402,19391,8531,10389,17670,5388,11234,17042,7161,9636,19905,8299,11321,19717,0,9565,19591,8142,11449,19417,7665,11752
22,22,36765,31374,4675,292,226,388,34,0,0,37579,30012,6588,389,362,226,5,0,0,38693,29443,7543,652,352,796,34,37728,29760,6922,404,382,245,5,271,283,67,5,25,407,38560,29672,7622,452,409,363,13,26960,23919,2660,156,121,209,24,0,0,25795,23135,2146,187,194,104,4,173,119,65,0,0,28527,22690,4769,388,222,508,20,28527,22690,4769,240,158,73,5,81,511,25956,22950,2428,209,202,137,4,0,0,0,0,0,26502,23017,2770,256,280,191,0,214,77,30,0,26412,22597,3204,260,181,176,0,183,4,23,0,15331,4258,10652,14837,3469,11368,16098,2945,12466,12591,2591,9620,12595,2770,9825,10494,0,10494,14664,2815,11611,17993,3662,14045,17107,2466,13736,15792,3033,12669,17864,3558,14134,17769,0,12553,17725,3173,14552,17630,2929,14701
23,23,38136,32603,4890,279,206,337,19,0,0,38472,31590,5620,697,436,401,27,0,0,39651,31874,5982,681,298,957,23,38571,31517,5647,670,446,464,11,544,167,137,3,28,521,39707,32211,5743,622,373,1342,19,27978,24765,2830,144,118,217,12,0,0,26281,24313,1337,197,236,158,19,175,128,75,20,0,29126,24419,3560,428,179,629,11,29126,24419,3560,326,103,83,1,55,579,26133,24259,1196,171,308,166,4,0,0,0,0,0,27452,24977,1687,142,270,358,8,85,107,231,8,27803,25139,1808,218,209,397,5,142,124,198,5,16772,5872,10285,15994,5034,10960,17065,3956,12229,14861,4080,10227,14887,4476,10411,11670,0,11670,16689,4201,12163,20075,5067,14591,19009,3234,14703,18003,4414,13496,20754,5142,15395,20517,0,13364,20418,4612,15806,20400,4521,15879
24,24,37375,35575,1018,335,231,255,35,0,0,37589,34957,1468,596,208,452,21,0,0,38526,35165,1672,513,282,679,61,37559,34804,1505,691,192,512,43,320,109,110,0,83,635,38641,35570,1627,664,403,482,190,28678,27611,575,197,143,169,22,0,0,28564,27152,663,292,114,292,0,245,96,110,68,0,29586,27381,1059,309,199,466,33,29586,27381,1059,216,125,99,2,65,639,28597,27106,742,311,101,293,0,0,0,0,0,0,29338,27793,875,250,120,258,15,178,57,91,15,29266,27527,966,291,159,270,21,184,95,63,21,17542,5188,11795,16533,4292,12241,17307,3591,12758,14906,4051,10293,14910,4211,10699,12147,0,12147,16716,3958,12428,20039,4760,14813,19045,2959,15071,17818,4120,13594,19901,4704,14934,19844,0,13170,19759,4202,15557,19556,3877,15679
25,25,31395,29026,731,526,973,176,35,0,0,38772,35214,1055,863,1358,294,125,0,0,41582,36451,1494,1014,1945,529,40,40034,36241,1076,936,1354,268,152,481,1220,46,106,96,770,41223,36878,1453,824,1670,224,0,23240,21819,462,269,607,94,15,0,0,28177,26592,550,298,560,97,65,218,511,29,56,0,31328,28039,896,581,1299,384,24,31328,28039,896,379,1103,47,7,52,805,29100,27403,533,383,558,82,85,0,0,0,0,0,30664,28628,849,356,667,137,0,318,581,57,0,30886,28210,1079,550,898,120,0,447,677,40,0,18280,7728,10308,18854,7331,11523,20228,8109,11058,19812,9198,10085,19703,9311,10392,14062,0,14062,21365,9090,11807,26164,12259,13443,22974,6406,15463,23690,10258,13155,27060,12583,14174,27053,0,13271,26862,11735,15127,26798,11276,15522
26,26,39103,33485,2243,1799,1267,534,61,0,0,39659,32375,2714,1758,2364,820,38,0,0,40127,30958,3598,2757,1818,1144,80,39608,32369,2517,2260,2043,820,20,1365,1407,188,6,37,1728,40718,32469,2967,2300,2393,916,41,30817,27339,1361,955,912,315,40,0,0,29945,26353,1245,913,1055,336,6,733,850,153,44,0,31534,25503,2297,1577,1367,712,50,31534,25503,2297,1165,1114,165,22,122,1146,29674,25964,1297,1191,844,331,6,0,0,0,0,0,30461,25969,1711,1292,1053,373,7,899,788,53,7,30571,25978,1811,1614,778,303,18,1195,503,32,18,16784,9304,7182,13303,7230,6073,16386,7984,7061,13872,7950,5346,13797,8138,5659,9042,0,9042,15436,8158,6725,18511,10201,7750,16484,6501,8842,16270,8725,7315,17922,9701,7872,17809,0,6535,17728,9670,8058,17583,9173,8410
27,27,36236,27610,3707,2602,1946,717,42,0,0,39949,29304,4554,3222,2498,891,78,0,0,41511,28720,5631,3652,2636,1266,81,39408,28199,4801,3110,2654,945,85,2178,2269,375,38,17,1530,40983,29208,5532,3039,2630,898,196,27438,21926,2292,1573,1334,459,26,0,0,28360,23137,1655,1785,1209,540,4,1616,1006,301,98,0,31725,23005,3680,2409,1908,864,49,31725,23005,3680,2040,1596,291,21,92,1000,27695,22469,1661,1741,1271,545,15,0,0,0,0,0,28860,23296,2269,1672,1147,416,45,1389,908,166,45,29813,23740,2501,2013,1207,311,35,1516,990,98,35,12350,6707,5437,13536,6997,6539,14185,6739,6501,11480,6226,4769,11425,6471,4954,7601,0,7601,13196,6646,6116,16318,8587,7321,14600,5435,8195,14206,7197,6781,15983,8158,7544,15836,0,6356,15756,8095,7661,15602,7625,7977
28,28,37824,29631,3143,2737,1752,900,62,0,0,39071,30009,2922,3232,2502,670,83,0,0,39692,28410,4127,3563,2454,1434,85,40257,30784,3105,3307,2639,588,101,2555,2026,216,21,99,1453,38808,30096,3611,2844,1852,594,105,29975,24506,2014,1724,1291,573,38,0,0,29334,24893,1345,1742,848,385,65,1514,683,228,85,0,31436,23804,2701,2302,1720,961,69,31436,23804,2701,1795,1466,247,30,128,1265,30209,25663,1378,1677,991,339,20,0,0,0,0,0,29716,25700,1355,1373,925,244,25,1287,714,121,25,30113,25094,1730,1641,1243,396,4,1307,1040,100,4,17259,10733,6211,16491,10403,6088,15947,9539,5104,14637,9736,4343,14586,10014,4572,7913,0,7913,15339,9676,5143,17942,11880,5633,14510,6835,6661,15881,10166,5469,17078,11202,5555,16893,0,4973,16865,11029,5836,16814,10705,6109
29,29,39801,35457,1636,1531,904,453,71,0,0,41286,34658,2691,2552,1135,692,24,0,0,40661,33630,2664,2141,1266,985,100,40903,34216,2446,2630,1249,730,222,1465,472,223,11,79,1993,40314,33428,2520,2566,1552,525,200,31390,28735,1016,756,639,283,45,0,0,31227,27769,1447,1136,570,221,0,966,392,96,99,0,31944,27401,1690,1186,893,635,79,31944,27401,1690,860,664,145,32,131,1021,31173,27786,1278,1180,468,235,0,0,0,0,0,0,30631,27276,1379,1015,619,179,0,666,518,83,0,30013,26643,1546,819,672,221,4,452,475,77,4,21142,11514,9285,18933,10336,8597,20319,10788,8001,17861,10827,6315,17759,11149,6610,10603,0,10603,18986,10811,7522,22000,13327,8133,18386,7653,9516,19684,11481,7913,21371,12941,8109,21227,0,7195,21136,12650,8486,21065,12155,8910
30,30,38440,36256,725,402,783,329,25,0,0,40681,37542,1020,695,1104,293,73,0,0,41576,37464,1338,797,1103,722,45,40732,37047,1242,765,1289,395,61,444,1136,169,0,13,674,41214,37392,1276,639,1130,624,9,28714,27462,392,181,486,194,14,0,0,29841,28328,412,333,527,200,0,315,475,130,50,0,31287,28813,731,406,731,442,26,31287,28813,731,258,626,71,2,48,738,29711,27852,542,316,670,286,0,0,0,0,0,0,30593,28686,583,270,638,396,0,238,556,153,0,31409,29289,761,223,648,385,5,116,540,114,5,19025,8266,10318,19143,7881,11262,20265,7347,11772,17373,7280,9425,17345,7428,9917,12692,0,12692,19285,7292,11523,23023,9023,13541,21120,5321,14599,20908,7827,12887,23968,9350,14327,23876,0,12508,23730,8638,15092,23360,8107,15253
31,31,38669,34979,1202,579,1718,260,47,0,0,41658,36225,1804,1192,2074,305,88,0,0,41179,34481,2231,1189,2417,630,70,41019,35089,2059,1312,2126,314,85,847,1828,80,16,29,1072,41127,33779,2958,1469,2229,555,76,26479,24374,646,296,1033,136,17,0,0,28896,26464,842,572,838,159,25,442,600,64,45,0,29953,25810,1337,643,1575,388,44,29953,25810,1337,436,1336,41,25,80,888,28266,25816,888,654,724,159,15,0,0,0,0,0,28370,25295,1212,842,727,250,0,700,596,42,0,27919,24838,1061,930,805,230,0,675,738,40,0,18728,7445,11078,17996,6867,11129,20877,7860,11796,17750,7123,10117,17736,7454,10282,13309,0,13309,19807,7707,11556,23555,10623,12500,21272,5730,14293,21001,8617,12106,23177,10749,12171,22944,0,11440,22915,9768,13147,23079,9694,13385
32,32,38964,34549,3487,329,391,290,39,0,0,38406,32784,4321,817,437,488,14,0,0,39124,32331,4970,415,497,933,106,38182,32334,4420,581,648,504,8,264,564,69,0,33,504,38666,32309,4697,657,581,702,33,29714,27080,2048,180,251,190,28,0,0,28332,26149,1589,274,194,149,15,231,182,51,4,0,29566,25406,2972,220,344,589,62,29566,25406,2972,150,284,84,24,55,591,28240,25879,1547,214,391,257,0,0,0,0,0,0,28392,25860,1737,207,289,366,0,127,250,73,0,28165,25405,1857,176,243,452,0,53,201,41,0,18055,7169,10215,16962,5969,10993,17893,4680,12172,15080,4968,9413,15126,5203,9923,11830,0,11830,16845,4901,11604,19836,5611,13778,18906,3654,14186,17595,4829,12693,19636,5323,14077,19554,0,12046,19442,4813,14629,19115,4566,14549
33,33,40825,36744,2882,422,553,313,38,0,0,40958,35800,3803,547,573,360,54,0,0,40614,34325,4200,579,619,814,76,40913,35609,3945,509,583,363,46,177,432,125,16,6,620,40390,34587,4212,580,554,373,23,30957,28543,1690,212,355,208,25,0,0,29877,27962,1274,185,242,255,4,121,199,93,20,0,30891,26935,2550,311,433,520,36,30891,26935,2550,200,352,104,10,50,690,29841,27812,1426,160,223,258,4,0,0,0,0,0,28950,27097,1288,78,245,260,4,51,188,89,4,29414,26995,1636,205,325,253,12,170,224,55,12,18047,5892,11691,16789,4932,11857,18302,4042,13316,14325,4116,9676,14310,3984,10326,11709,0,11709,16396,3994,12045,19859,5085,14358,18443,3118,14085,17340,4209,13004,19609,5012,14355,19428,0,12812,19374,4492,14882,19118,4166,14952
34,34,34534,32239,1666,200,275,214,29,0,0,36864,32903,2825,376,306,508,13,0,0,38230,33208,3238,618,491,754,35,36802,32680,2909,365,420,479,17,219,337,184,17,3,458,37082,32163,3578,423,480,553,2,25753,24508,898,87,147,137,19,0,0,27064,25364,1127,118,126,319,12,96,110,85,0,0,28585,25656,1878,275,291,464,18,28585,25656,1878,195,215,77,0,40,524,27237,25458,1123,154,202,297,19,0,0,0,0,0,27340,25422,1316,144,270,244,4,119,224,62,4,27529,25195,1490,221,354,269,0,162,302,11,0,16719,5000,11263,14978,4163,10815,17852,3581,13441,15037,3735,10757,15059,3781,11278,12080,0,12080,17004,3766,12890,20469,4723,15360,19204,2998,14999,18207,3952,14101,20564,4669,15650,20417,0,13997,20330,4088,16242,19994,3833,16161
35,35,37777,23737,12009,1173,642,688,143,0,0,37532,20738,14173,1756,715,381,230,0,0,38312,19131,16092,1932,629,1462,60,37491,20274,14568,1853,808,416,241,1484,479,60,111,76,440,38500,20288,15310,2031,754,505,293,27250,18993,7001,712,420,358,87,0,0,22883,16644,4744,754,451,193,112,664,373,88,8,0,27646,15501,10112,1202,467,943,54,27646,15501,10112,974,361,113,23,76,486,22381,16089,4825,784,474,144,101,0,0,0,0,0,23132,16091,5446,898,428,163,45,881,396,80,45,22087,15331,5434,860,320,148,0,823,296,43,0,11387,4681,6364,11459,4681,6778,10974,3830,6508,7888,3117,4410,7859,3146,4713,5909,0,5909,9492,3437,5816,12002,4454,7265,11242,3140,7321,9803,3537,6194,10324,3733,6450,10159,0,5254,10037,3478,6559,9920,3275,6645
36,36,26729,24629,764,603,594,214,20,0,0,34551,30948,1079,1285,976,173,40,0,0,40589,35104,1861,1142,1442,734,115,38555,34468,1253,1257,1255,188,25,902,917,3,22,119,868,42716,36826,1795,1282,1939,244,79,17967,16840,395,288,342,111,9,0,0,23795,22117,595,593,359,105,19,544,271,5,18,0,27508,24320,1016,636,851,460,72,27508,24320,1016,430,597,56,21,77,991,25749,23728,771,477,639,147,20,0,0,0,0,0,28311,25597,1067,590,829,128,60,548,430,18,60,29886,26832,1366,777,606,223,55,645,310,18,55,10712,3945,6570,12788,4117,8671,15985,5004,9957,14253,4737,9022,14229,5152,9077,11124,0,11124,16677,5473,10736,21739,8297,12964,19962,4477,14248,19872,6857,12742,24898,9419,15191,24616,0,13718,24535,8638,15897,24670,8505,16165
37,37,37541,32884,3226,550,670,289,26,0,0,40303,34282,4151,821,883,444,10,0,0,40552,33147,4758,920,848,878,70,40455,34233,4317,802,1019,378,10,385,705,46,0,15,754,40418,33650,4492,915,998,426,30,28712,25798,1918,293,546,172,18,0,0,29810,27100,1699,405,398,181,0,336,318,78,14,0,31106,26244,3042,541,664,544,49,31106,26244,3042,420,558,101,24,55,662,30175,27300,1884,445,368,148,0,0,0,0,0,0,30635,27390,2206,489,311,185,0,306,287,65,0,30759,27295,2460,402,356,167,32,242,328,41,32,15117,4785,10060,15643,4614,11029,16069,4068,10858,12580,4020,8057,12537,4346,8191,10083,0,10083,14731,4247,10015,18256,5458,12292,17078,3274,12532,16008,4649,11138,18268,5507,12518,18133,0,11139,18063,4984,13079,17793,4480,13313
38,38,43732,41299,1683,256,173,364,59,0,0,42159,38940,2157,375,220,669,95,0,0,41141,37395,2263,398,235,765,63,41947,38462,2319,320,342,669,84,155,147,172,43,4,628,41279,37445,2343,463,183,777,61,33659,32254,937,144,105,225,35,0,0,32203,30613,1051,179,77,286,8,121,41,50,71,0,31951,29573,1326,247,166,544,41,31951,29573,1326,147,90,95,12,41,667,32004,30378,1011,182,73,336,28,0,0,0,0,0,31680,29718,1180,262,94,461,10,222,32,134,10,31157,29035,1352,262,112,345,22,218,34,83,22,21093,5324,14921,19326,4101,15225,20708,2971,16851,17040,3328,13091,17104,3287,13817,14569,0,14569,19174,3140,15757,22798,3725,18662,21699,2531,17851,19824,3179,16585,21793,3543,18027,21571,0,16579,21585,3677,17908,21395,2939,18456
