ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep
27,27,18607,17862,204,319,91,168,9,0,0,17973,16864,278,600,179,76,0,0,0,17560,16072,241,607,131,409,23,17763,16430,237,719,200,238,0,415,127,69,0,30,453,18090,16604,68,883,55,249,0,14763,14291,118,171,62,140,3,0,0,14344,13670,214,344,42,73,0,319,21,60,0,0,13918,12952,161,304,86,336,16,13918,12952,161,225,51,38,3,39,449,14326,13608,155,281,73,97,0,0,0,0,0,0,14648,13983,51,408,32,197,0,359,8,40,0,14797,14021,148,411,18,184,13,350,6,20,13,6853,2700,3976,5689,2376,3313,6451,1967,4116,6471,3687,2280,6393,3750,2417,5551,3109,2265,6719,2539,4012,7253,2562,4564,7083,2267,4654,6975,2452,4253,6944,2852,4092,6510,2228,4146,6424,2117,4167,6247,1894,4159,6278,2515,3403,5888,2011,3877,5885,2112,3773,5921,1966,3955
28,28,18667,18341,80,58,72,125,9,0,0,17571,17254,55,155,56,49,0,0,0,17222,16481,118,157,81,303,7,17666,17358,94,119,43,54,0,22,13,0,0,0,181,17219,16895,107,40,75,19,0,14437,14221,50,23,43,95,5,0,0,13575,13420,53,30,27,48,0,30,17,0,0,0,13514,13004,79,60,48,245,5,13514,13004,79,30,32,20,0,14,335,13337,13159,90,19,18,60,0,0,0,0,0,0,13029,12921,60,14,14,24,0,14,14,0,0,13270,13154,16,45,11,41,0,34,0,4,0,7049,2635,4238,6069,2076,3993,7136,1473,5329,7246,4041,2741,7036,3798,3038,6061,2949,2937,7383,2098,5108,8069,1861,6075,7797,1763,5849,7664,2127,5267,7616,2482,5134,7586,1821,5615,7753,1665,5954,7523,1587,5724,7493,2407,4749,6964,1690,5274,6926,1785,5141,7010,1648,5362
29,29,19487,19224,88,58,20,95,8,0,0,18297,18160,47,23,5,61,0,0,0,17069,16536,98,92,32,263,17,18024,17777,34,20,6,180,0,4,0,0,0,0,209,16645,16358,151,9,2,107,0,14844,14677,56,21,15,75,7,0,0,14101,14016,18,8,5,60,0,4,1,0,0,0,13174,12783,59,66,18,213,13,13174,12783,59,24,7,11,3,12,275,13979,13796,8,8,4,159,0,0,0,0,0,0,12938,12846,0,0,0,91,0,0,0,0,0,11910,11814,0,4,0,89,0,4,0,6,0,6051,2591,3289,5967,1858,4109,6397,962,5258,6406,3278,2774,6035,3021,2843,5008,2286,2602,6319,1378,4840,6970,977,5919,6592,1116,5323,6701,1401,5133,6336,1597,4739,6065,1019,4952,6142,792,5268,5895,876,4866,5743,1495,4040,5250,951,4299,5266,1053,4213,5318,1025,4293
30,30,19727,19464,83,51,38,101,1,0,0,19287,18984,145,53,33,66,39,0,0,18695,17983,153,158,42,316,8,19180,18692,132,163,63,40,47,149,60,1,14,0,133,19157,18494,253,99,73,92,48,15230,15061,54,16,23,84,1,0,0,14954,14806,55,15,10,63,8,15,0,0,0,0,14517,14000,106,88,30,263,5,14517,14000,106,27,16,22,0,6,340,14811,14657,60,35,8,47,14,0,0,0,0,0,14726,14488,109,20,8,91,7,20,4,20,7,14054,13846,71,0,28,106,0,0,28,22,0,6321,2733,3393,5743,1911,3832,6449,1364,4809,6559,3789,2299,6345,3147,2937,5187,2683,2331,6595,1898,4564,7195,1606,5488,7013,1539,5305,6958,2000,4823,6852,2323,4529,6601,1418,5039,6587,1202,5260,6468,1192,5089,6358,1806,4107,6109,1227,4882,6109,1470,4639,6172,1365,4807
31,31,20596,20258,105,104,57,70,4,0,0,18706,18052,239,163,38,215,2,0,0,18829,18114,126,186,68,272,8,18439,17950,213,151,17,96,4,95,17,0,4,0,152,17941,17537,62,183,44,80,3,16305,16076,67,65,41,52,3,0,0,14684,14305,155,70,30,119,2,55,30,2,0,0,15060,14538,89,128,46,205,2,15060,14538,89,95,30,10,0,15,283,14490,14241,127,80,15,51,6,0,0,0,0,0,14318,14111,90,109,35,51,3,53,35,0,3,14189,14001,59,96,24,55,0,55,20,5,0,7027,3086,3768,6589,1878,4711,6957,1093,5640,6942,3901,2585,6522,3039,3256,5387,2542,2655,6704,1667,4913,7250,1264,5899,6945,1278,5523,7092,1841,5103,6664,2003,4661,6536,1212,5217,6620,977,5553,6429,1082,5188,6248,1693,4290,5876,1074,4802,5827,1235,4592,5877,1154,4723
32,32,21099,20726,92,167,26,87,3,0,0,18733,18307,79,232,24,101,0,0,0,18484,17506,131,228,93,444,18,18828,18368,46,327,5,104,0,118,0,0,0,6,292,18523,18064,55,264,39,101,0,16297,16035,62,109,17,69,3,0,0,14816,14505,73,159,13,64,0,139,9,6,0,0,14691,13967,89,153,56,353,12,14691,13967,89,100,21,36,2,8,468,14925,14585,45,190,4,67,0,0,0,0,0,0,14811,14507,55,169,12,51,0,54,8,0,0,14215,13875,117,181,0,39,0,86,0,0,0,7347,3953,3176,7187,2453,4734,7473,1576,5568,7583,4896,2243,7339,3673,3358,5885,3384,2326,7271,2284,4838,7732,1790,5805,7619,1752,5716,7593,2461,4920,7464,2798,4666,6956,1681,5141,6905,1433,5311,6767,1581,5020,6652,2129,4142,6417,1505,4912,6425,1662,4763,6422,1644,4778
33,33,21670,20490,171,827,86,107,6,0,0,19646,18686,82,802,8,98,3,0,0,18831,17596,118,645,39,315,6,18660,17638,107,760,14,111,7,462,1,34,7,0,416,18844,17653,298,621,83,138,0,17211,16342,123,601,65,87,6,0,0,15551,14859,55,539,10,99,4,469,0,60,0,0,15045,14119,88,467,31,256,0,15045,14119,88,396,24,27,0,5,386,14764,14072,57,518,18,113,4,0,0,0,0,0,14760,13999,110,448,84,77,0,395,74,4,0,14446,13685,93,484,71,89,0,391,59,4,0,8131,3659,4258,6942,2175,4767,7229,1308,5691,7108,3985,2526,6628,3227,3142,5580,2758,2659,7000,1753,5134,7691,1425,6170,7216,1376,5710,7520,1743,5620,6920,2042,4878,6624,1295,5238,6686,1156,5460,6403,1128,5139,6239,1688,4264,5742,1130,4612,5750,1259,4491,5823,1246,4577
34,34,20428,19636,69,588,58,76,9,0,0,17955,16963,0,767,30,37,0,0,0,18038,16938,118,577,48,312,10,17551,16594,61,582,81,87,0,445,42,0,0,146,263,17869,16821,64,756,44,107,0,16081,15528,47,391,44,67,6,0,0,14251,13591,0,585,30,35,0,585,20,20,0,0,14328,13536,80,384,34,258,4,14328,13536,80,318,26,27,0,14,327,14109,13481,25,475,30,89,0,0,0,0,0,0,14148,13485,40,510,45,77,0,510,30,0,0,13563,12979,118,393,4,67,0,388,4,0,0,6373,2830,3383,6332,1855,4477,7070,1091,5799,7006,4019,2569,6637,3052,3340,5074,2140,2776,6707,1454,5143,7360,1109,6187,6983,1165,5647,7107,1528,5422,6760,1765,4995,6316,1017,5206,6249,833,5338,6039,838,5074,5907,1325,4349,5553,898,4655,5525,977,4548,5605,966,4639
35,35,19786,19352,77,166,30,150,9,0,0,17762,17258,51,323,54,72,0,0,0,17696,17030,112,193,48,267,9,17363,16853,71,309,60,64,0,180,60,0,0,0,197,17692,17147,127,200,0,250,0,15583,15291,53,100,20,113,5,0,0,14117,13804,27,184,30,70,0,184,30,0,0,0,14119,13637,73,121,28,213,9,14119,13637,73,78,9,15,1,17,289,13889,13601,49,177,30,64,0,0,0,0,0,0,14179,13750,85,197,0,216,0,110,0,0,0,13951,13576,130,170,20,93,0,43,17,0,0,6349,2272,3871,6162,1297,4865,6612,905,5516,6633,4053,2259,6261,2419,3539,4988,2137,2692,6548,1333,5126,7214,984,6164,6893,1264,5507,6979,1046,5815,6792,1804,4988,6378,1019,5260,6397,829,5495,6246,815,5244,6068,1407,4298,5744,959,4785,5710,1050,4660,5809,955,4854
36,36,21814,19341,91,2244,26,135,10,0,0,18469,16360,271,1778,13,47,0,0,0,18787,15556,387,2371,39,386,18,17822,15797,246,1738,16,25,0,1435,10,25,0,0,309,18708,15046,386,3081,55,149,0,17454,15522,68,1749,15,105,5,0,0,14509,13034,112,1299,15,50,0,1299,15,50,0,0,15462,12714,362,2014,25,302,12,15462,12714,362,1900,20,14,4,35,413,14007,12510,123,1335,14,25,0,0,0,0,0,0,14654,11927,128,2386,55,147,0,2362,30,28,0,14248,12324,161,1596,48,97,5,1540,13,17,5,6430,3381,2827,5946,2076,3870,6094,1430,4529,6060,3399,2448,5563,2363,2985,4488,2195,2150,5783,1501,4218,6412,1325,5041,5914,1352,4449,6170,1310,4763,5815,1675,4140,5298,1118,4105,5358,1030,4249,5091,891,4066,4927,1180,3440,4507,1055,3452,4476,1120,3356,4541,1042,3499
37,37,20434,17197,149,2914,91,140,8,0,0,19037,15575,249,2986,27,252,8,0,0,18707,15180,201,2801,96,390,12,18252,14818,331,2820,167,269,0,2320,86,54,0,8,631,17865,14405,304,2874,162,256,0,16195,13965,100,1975,74,112,7,0,0,14923,12567,189,1874,18,250,0,1855,8,85,10,0,14943,12486,128,1926,61,318,11,14943,12486,128,1708,42,49,1,29,500,14751,12465,229,1759,89,272,0,0,0,0,0,0,14337,12071,221,1859,78,158,0,1829,8,22,0,13963,11991,163,1128,75,639,0,1121,4,147,0,6787,2740,3890,6853,2144,4709,6824,1761,4838,6885,2696,3896,6586,2605,3624,5169,2436,2579,6790,1988,4665,7327,2000,5209,7138,1802,5195,7190,1713,5223,7123,2307,4816,6771,1782,4866,6805,1785,4906,6655,1529,4928,6589,1912,4364,6359,1729,4630,6369,1845,4524,6433,1738,4695
38,38,18864,17435,150,940,206,138,4,0,0,19051,17548,151,875,392,83,11,0,0,18822,16595,250,1236,209,404,14,19342,17679,152,963,367,80,0,822,170,15,0,2,496,19474,17619,140,975,436,71,0,15101,14106,109,593,178,114,1,0,0,15363,14234,87,648,327,51,0,647,286,15,15,0,15052,13500,168,818,161,314,11,15052,13500,168,712,137,42,2,31,460,15427,14314,101,652,207,65,0,0,0,0,0,0,15589,14391,113,651,277,69,0,618,89,4,0,15218,13857,144,547,220,374,0,514,32,8,0,6774,2376,4267,5886,1526,4360,7185,1450,5463,7221,2942,3921,6867,2583,3889,5636,2345,3116,7251,1813,5280,7851,1729,6024,7658,1645,5858,7575,1567,5740,7573,2227,5346,7409,1627,5643,7482,1569,5790,7315,1425,5693,7253,1836,5070,7027,1612,5415,6987,1665,5322,7041,1558,5483
39,39,19482,18659,160,441,100,139,6,0,0,18502,17768,291,406,38,37,21,0,0,18813,17309,224,647,122,427,14,18382,17504,232,513,41,13,16,336,19,1,0,14,287,17899,16873,318,484,66,104,15,15460,14899,100,290,82,113,5,0,0,14434,13978,165,223,22,23,0,181,9,0,27,0,14978,13915,157,434,94,322,12,14978,13915,157,374,66,37,3,7,419,14148,13618,149,389,15,8,0,0,0,0,0,0,13866,13286,182,350,27,22,0,343,17,2,0,13835,13036,230,338,30,226,0,307,22,0,0,6323,1973,4214,6645,1462,5183,7575,1300,5946,7622,3126,4072,7281,2527,4324,6053,2272,3566,7685,1717,5791,8358,1592,6658,8135,1563,6401,7999,1534,6180,8084,2141,5943,7683,1402,6144,7664,1276,6286,7510,1153,6148,7470,1532,5552,7211,1326,5885,7193,1372,5821,7256,1275,5981
40,40,20978,19675,219,833,82,210,14,0,0,20059,18775,243,866,9,187,0,0,0,18809,17332,229,685,68,402,18,20035,18714,307,940,10,87,0,640,0,10,0,0,362,18423,16907,421,874,15,248,0,16896,15823,176,689,57,171,10,0,0,16250,15259,168,631,10,184,0,599,0,64,0,0,15266,14103,191,547,58,313,11,15266,14103,191,450,33,33,0,19,437,16235,15232,230,688,10,86,0,0,0,0,0,0,14865,13799,271,618,10,189,0,558,0,20,0,14397,13398,157,641,10,198,0,639,0,25,0,8455,3353,4816,7356,2373,4983,8321,1801,6148,8422,4173,3507,8023,3177,4396,6994,3255,3491,8534,2351,6012,9291,2191,6985,9039,2141,6706,8953,2153,6545,8887,2781,6106,8741,2031,6548,8834,1832,6828,8632,1946,6409,8545,2270,5905,8316,1866,6450,8262,1980,6282,8360,1907,6453
41,41,20111,19155,193,512,132,132,7,0,0,19778,18581,137,571,207,140,3,0,0,18700,17580,193,254,168,403,13,19444,18228,122,718,152,89,3,450,19,0,0,90,535,20082,19047,172,410,113,264,2,15882,15135,139,432,85,113,7,0,0,15802,15192,99,309,70,130,0,298,41,34,3,0,14816,14022,134,132,121,313,8,14816,14022,134,76,99,29,0,17,439,15475,14888,60,373,65,76,0,0,0,0,0,0,15822,15310,41,232,66,183,0,174,16,0,0,16327,16015,41,112,52,105,0,50,45,0,0,7357,2233,4970,6496,1420,5076,8049,1364,6390,8159,4135,3523,7785,2726,4631,6887,2657,4010,8691,2007,6520,9574,1742,7725,9387,1803,7436,9204,2078,6857,9212,2500,6712,9245,1715,7357,9499,1594,7764,9220,1663,7195,9193,2013,6758,8838,1571,7267,8803,1676,7127,8920,1560,7360
42,42,20484,19703,93,408,73,205,8,0,0,19657,18447,452,464,19,140,0,0,0,18821,17592,198,464,97,337,15,19709,18428,264,640,42,178,0,383,30,172,0,155,274,19017,18175,213,462,104,34,0,16129,15591,53,278,47,159,5,0,0,15027,14424,270,278,16,34,0,238,15,26,0,0,14794,13971,111,285,69,264,8,14794,13971,111,205,44,13,1,14,435,15475,14875,195,346,27,8,0,0,0,0,0,0,15202,14648,115,257,84,34,0,248,83,4,0,14113,13879,53,109,12,60,0,99,1,0,0,7513,2299,5028,7695,1596,6099,7920,1221,6414,7991,4393,3136,7664,2765,4454,6289,2472,3573,8088,1908,6020,8753,1560,7087,8592,1853,6575,8465,1943,6277,8432,2373,6059,8127,1512,6450,8185,1293,6774,7975,1408,6257,7865,1668,5717,7638,1368,6270,7558,1448,6110,7601,1340,6261
43,43,19826,18941,129,534,89,126,17,0,0,18463,17389,126,754,118,108,5,0,0,18234,16924,212,501,161,300,6,17915,16701,105,851,10,122,0,558,10,0,0,161,387,17604,16492,239,705,10,196,0,15338,14727,84,365,61,101,9,0,0,14221,13475,78,560,32,71,0,396,32,0,5,0,14143,13207,145,340,120,223,6,14143,13207,145,290,94,30,3,11,363,14013,12973,180,670,24,91,0,0,0,0,0,0,13804,13164,124,326,20,118,0,204,24,0,0,13765,13126,143,351,77,32,4,207,59,0,4,6512,2211,4148,6749,1426,5323,7106,1113,5777,7111,3970,2745,6763,2397,4013,5599,2360,3049,7239,1566,5544,7914,1254,6555,7693,1447,6106,7665,1425,6062,7521,1910,5611,7222,1278,5807,7315,1095,6115,7067,1192,5626,6990,1585,4994,6680,1184,5496,6653,1259,5394,6737,1167,5570
44,44,19430,14306,299,4186,534,229,20,0,0,18208,13541,255,3755,505,193,0,0,0,18778,13234,424,4152,500,447,24,17646,13604,457,2679,628,153,0,2435,449,12,0,38,653,18421,13981,432,3293,552,375,3,15490,11781,193,2958,450,163,8,0,0,14371,10999,161,2829,216,174,0,2710,187,39,0,0,14875,10815,289,3000,400,355,21,14875,10815,289,2767,347,37,10,32,578,13567,10532,328,2287,304,130,0,0,0,0,0,0,14234,10841,318,2602,321,176,4,2375,216,0,4,13405,9966,412,2479,286,139,6,2305,184,0,6,7835,3914,3794,8588,3643,4945,7195,2777,4072,7252,4621,2080,6989,3671,2927,5909,3436,2214,7275,3308,3802,7781,3371,4278,7638,3134,4378,7617,3375,4017,7517,3725,3792,7048,2901,3990,7041,2803,4074,6795,2629,3866,6788,2945,3428,6520,2597,3923,6521,2686,3835,6563,2584,3979
45,45,18533,15627,439,2216,150,169,29,0,0,17591,14791,539,1976,76,217,26,0,0,17459,14131,370,2257,203,417,15,17779,14759,575,2366,56,151,1,2036,56,23,0,0,326,16990,13956,407,2438,197,112,1,14979,12560,361,1849,112,148,19,0,0,14314,12016,417,1619,51,168,10,1593,51,69,30,0,14222,11492,283,1892,135,363,13,14222,11492,283,1764,113,37,2,31,500,14345,12158,343,1724,25,138,0,0,0,0,0,0,13916,11641,285,1750,135,98,0,1720,107,0,0,14452,11858,231,1984,142,151,0,1915,133,10,0,5969,2239,3594,5265,1458,3807,5968,1323,4412,6032,3432,2216,5807,2362,3082,4841,2111,2533,6148,1785,4228,6669,1651,4934,6540,1655,4752,6468,1826,4445,6421,2178,4243,6097,1519,4456,6088,1406,4586,5918,1417,4271,5885,1648,3923,5643,1375,4268,5630,1456,4174,5700,1345,4355
46,46,18574,17408,205,703,118,156,10,0,0,18487,16785,435,895,216,65,48,0,0,17407,15930,291,641,177,285,8,18352,16687,394,854,267,48,37,657,194,0,0,162,258,17045,15965,272,515,255,96,48,15026,14161,137,529,85,131,6,0,0,14858,13969,212,566,44,41,0,506,44,0,29,0,14205,13112,196,463,139,233,5,14205,13112,196,381,105,25,0,32,354,14724,13709,222,578,149,27,0,0,0,0,0,0,13489,12673,206,451,101,56,0,377,100,0,0,13416,12629,160,446,63,103,0,407,67,0,0,7877,3456,4211,7333,2884,4449,7904,2220,5218,7963,4653,2508,7613,3436,3653,6717,3447,2996,8148,2727,5222,8730,2727,5867,8559,2522,5873,8555,2344,5956,8450,3163,5287,8235,2569,5505,8308,2429,5710,8123,2607,5219,8115,2805,4916,7827,2375,5452,7748,2439,5309,7860,2306,5554
47,47,19523,18479,241,583,83,191,9,0,0,19573,18448,292,603,91,124,48,0,0,18023,16604,320,576,122,328,12,19510,18156,294,490,53,113,125,347,40,15,0,14,647,18165,16442,451,553,105,178,159,15556,14818,154,402,63,156,7,0,0,15721,14897,204,426,76,77,0,407,51,10,50,0,14469,13461,232,378,82,271,4,14469,13461,232,273,64,32,1,24,382,15989,15241,190,353,50,77,0,0,0,0,0,0,15067,14236,235,306,88,111,0,227,64,55,0,14522,13771,174,292,115,116,11,233,23,37,11,7216,3002,4025,6485,2333,4152,7470,1939,5139,7540,4558,2318,7276,3165,3624,6477,3238,3002,7831,2397,5248,8445,2340,5957,8328,2192,5977,8251,2066,5919,8227,2878,5349,7995,2262,5573,8030,2117,5754,7887,2299,5308,7835,2553,4904,7584,2065,5519,7530,2183,5347,7620,2052,5568
48,48,19464,19011,99,126,39,187,6,0,0,18362,18147,45,91,64,11,3,0,0,17467,16807,99,129,43,306,14,17832,17500,29,59,67,58,0,48,45,0,0,0,208,17953,17037,73,122,59,303,0,15342,15057,53,54,25,152,4,0,0,14595,14412,44,75,40,10,4,60,0,0,0,0,14110,13626,59,79,30,245,6,14110,13626,59,46,15,25,0,7,332,14325,14173,29,85,15,50,0,0,0,0,0,0,14334,13944,73,58,18,251,0,68,4,0,0,13746,13465,41,57,45,136,0,57,7,0,0,6481,3210,3021,5674,2015,3659,6226,1251,4730,6296,3692,2194,6037,2549,2994,4998,2363,2382,6324,1615,4576,6936,1416,5436,6749,1448,5164,6779,1409,5160,6549,2172,4377,6312,1347,4867,6311,1165,5064,6211,1248,4805,6092,1553,4209,5803,1284,4519,5747,1375,4372,5832,1222,4610
49,49,17872,17524,103,51,64,130,7,0,0,16618,16011,165,299,56,131,0,0,0,17080,16270,140,99,110,403,14,16627,16019,90,236,149,164,0,140,57,149,0,0,171,16639,16068,223,44,81,250,0,14048,13841,60,12,37,98,2,0,0,13094,12754,165,45,0,125,0,0,0,90,0,0,13636,13015,105,70,80,312,10,13636,13015,105,26,49,33,6,13,389,12803,12528,90,4,0,166,0,0,0,0,0,0,12818,12600,0,14,4,164,0,14,4,15,0,12938,12637,17,87,35,107,5,87,16,0,5,6587,2922,3471,6048,1750,4298,6755,1246,5218,6847,3914,2573,6620,2593,3635,5559,2455,2892,6999,1788,5063,7666,1546,6033,7490,1497,5829,7318,1785,5316,7352,2319,5033,7169,1476,5557,7223,1321,5781,7084,1386,5454,7011,1783,4877,6736,1379,5357,6755,1410,5345,6784,1343,5441
50,50,20162,18423,173,1354,67,147,20,0,0,18844,17040,185,1426,10,144,25,0,0,17267,15097,275,1206,90,455,14,18773,16814,235,1568,8,157,41,1384,7,11,26,0,289,17304,15531,228,1376,3,149,25,16110,14779,125,1041,46,116,13,0,0,14712,13382,118,1035,8,144,25,977,8,9,0,0,13813,12184,195,908,62,344,14,13813,12184,195,807,45,41,0,37,504,14781,13214,161,1239,7,156,25,0,0,0,0,0,13874,12457,170,1074,3,142,15,1033,0,15,15,13052,11789,166,904,40,147,2,890,32,10,2,6289,3113,3007,5537,2348,3189,6108,1833,4028,6173,3918,1763,5961,2974,2598,4824,2702,1898,6133,2287,3701,6646,2114,4456,6457,2001,4321,6398,2317,3869,6351,2798,3553,6095,1912,4063,6169,1810,4235,5995,1834,3932,5937,2053,3523,5742,1781,3961,5771,1828,3943,5792,1780,4012
51,51,19127,18493,153,328,41,118,6,0,0,18165,17625,65,417,0,61,0,0,0,17575,16547,176,320,51,366,9,18206,17703,50,370,2,85,0,341,0,56,0,0,65,18318,17535,203,501,4,83,0,15077,14598,112,245,34,92,5,0,0,14500,14105,41,295,0,61,0,295,0,42,0,0,13817,13063,125,202,34,294,9,13817,13063,125,157,19,32,0,24,397,14339,14009,23,204,1,86,0,0,0,0,0,0,13889,13474,145,198,1,81,0,197,0,8,0,13599,13104,169,255,12,77,2,196,10,4,2,6844,3023,3642,6273,2233,4040,7273,1811,5103,7358,4500,2180,7105,3133,3431,5872,2967,2634,7430,2471,4771,8090,2220,5755,7931,2242,5517,7763,2511,4980,7826,3244,4582,7548,2141,5234,7609,2007,5446,7436,2128,5057,7349,2346,4508,7151,1986,5165,7136,2069,5067,7178,1992,5186
52,52,21609,19613,202,1527,148,162,12,0,0,20623,18785,181,1436,131,131,29,0,0,18594,16186,214,1455,171,479,14,19458,17556,175,1456,54,192,12,845,45,48,0,33,759,18456,16228,163,1459,55,166,36,17266,15814,139,1115,97,130,7,0,0,16493,15256,103,986,26,101,0,890,18,48,4,0,15027,13252,138,1059,131,365,9,15027,13252,138,915,102,22,1,57,540,15687,14424,104,967,36,174,0,0,0,0,0,0,14996,13681,83,1030,39,161,2,650,27,20,2,14434,12964,71,1013,50,295,0,565,28,16,0,8617,4912,3494,7352,3716,3636,7617,2831,4487,7644,5105,1830,7413,4283,2835,6134,4098,1839,7614,3369,4097,8151,3159,4862,7969,2704,5120,8038,3666,4188,7788,3797,3991,7297,2740,4410,7261,2632,4474,7055,2503,4360,6971,3066,3425,6663,2408,4255,6768,2576,4192,6711,2418,4293
53,53,19325,17528,124,1408,173,154,10,0,0,18460,15924,217,1996,219,159,0,0,0,17602,15230,237,1370,254,455,13,18098,16052,328,1371,254,191,0,1045,224,36,0,6,406,18014,15976,246,1256,343,142,30,15353,14112,84,952,121,125,5,0,0,14745,13033,180,1300,120,91,0,1164,105,35,25,0,14450,12734,178,922,187,370,9,14450,12734,178,756,143,45,2,33,559,14739,13284,284,857,98,93,0,0,0,0,0,0,14717,13316,234,946,91,103,32,761,83,40,32,14138,12715,234,589,169,384,45,427,69,37,45,8143,3767,4247,7251,3012,4239,7102,2375,4393,7172,4173,2277,7013,3605,3078,5958,3537,2194,7205,2991,4047,7685,2892,4653,7551,2451,4933,7488,3208,4070,7417,3392,4025,6992,2531,4304,6919,2446,4326,6788,2468,4129,6730,2855,3479,6500,2169,4331,6512,2446,4066,6550,2288,4262
