ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep
17,17,19313,18805,112,167,90,128,17,0,0,19478,19066,109,187,76,57,0,0,0,18103,17109,173,250,89,338,5,19223,18915,102,50,105,75,0,39,95,14,0,0,60,19594,18934,279,175,63,265,0,15139,14794,77,90,58,112,10,0,0,15054,14827,62,79,48,44,0,40,48,15,0,0,14361,13735,106,130,69,245,1,14361,13735,106,90,42,25,0,16,347,15051,14809,74,40,210,57,0,0,0,0,0,0,15232,14849,299,43,39,108,0,43,24,0,0,14924,14462,222,89,52,154,0,89,24,4,0,7922,3436,4241,6701,2596,4105,7726,1783,5629,7804,4091,3202,7628,3423,3867,6338,3241,2863,7773,2287,5314,8365,2076,6186,8277,1817,6260,8058,2227,5552,8040,2722,5318,7858,1926,5762,7893,1774,5958,7788,1738,5754,7669,2382,4779,7479,1911,5568,7443,1904,5539,7446,1821,5625
18,18,18593,18072,116,183,88,114,18,0,0,18310,17622,143,114,150,34,217,0,0,17429,16677,123,245,94,217,13,18278,17555,131,50,221,13,144,35,208,5,0,81,262,16528,15808,185,196,70,59,0,14456,14123,59,101,56,91,13,0,0,14195,13969,102,10,96,15,0,10,96,0,0,0,13709,13218,80,112,47,191,5,13709,13218,80,79,34,17,0,6,275,14313,14066,96,24,8,4,0,0,0,0,0,0,12977,12733,49,30,14,43,0,26,14,0,0,13308,12929,30,186,27,66,0,162,13,0,0,7318,3040,4045,6471,2473,3998,6912,1452,5146,6965,3820,2688,6790,3146,3347,5754,2939,2604,7090,2035,4874,7663,1771,5747,7581,1641,5718,7390,2040,5089,7420,2530,4890,7215,1701,5356,7225,1502,5591,7125,1511,5371,7051,2310,4341,6856,1626,5230,6865,1751,5114,6880,1588,5292
19,19,19476,18952,114,167,88,142,21,0,0,19581,18748,340,196,249,68,5,0,0,18791,17688,219,270,103,420,13,20113,19164,349,202,178,223,20,107,98,32,5,5,353,19453,18613,216,381,39,158,44,15245,14936,74,81,50,95,13,0,0,15102,14666,175,65,144,40,4,65,114,24,10,0,14845,14069,147,160,73,337,5,14845,14069,147,109,51,35,0,15,419,15213,14673,210,54,110,124,4,0,0,0,0,0,15122,14700,44,170,16,130,0,120,16,0,0,14778,14328,73,213,3,104,0,150,2,4,0,7965,3334,4489,6637,2347,4290,7652,1734,5542,7756,4400,2745,7591,3369,3887,6553,3379,2917,8043,2512,5335,8747,2238,6351,8638,2036,6394,8257,2666,5366,8435,3050,5385,8297,2096,6010,8410,1943,6309,8226,1913,6022,8130,2678,4958,7814,1832,5982,7870,2131,5739,7908,1858,6050
20,20,17185,16294,205,343,250,94,13,0,0,18072,17089,196,485,268,60,0,0,0,18823,17048,297,497,463,411,13,17350,16396,138,374,361,94,0,291,245,0,0,16,268,17082,15904,264,333,440,291,0,12885,12355,128,189,157,69,9,0,0,14043,13353,147,323,155,49,0,303,149,0,0,0,14564,13378,183,298,327,278,9,14564,13378,183,221,278,15,3,44,442,13756,13179,57,243,227,60,0,0,0,0,0,0,13557,12700,224,202,234,128,0,187,155,0,0,14078,13242,244,215,192,138,0,171,107,13,0,8432,2995,5343,8066,2309,5757,8637,2070,6139,8727,4496,3690,8528,3530,4669,7433,3614,3595,9145,2920,6003,9921,2864,6849,9818,2341,7288,9429,3167,5953,9616,3478,6138,9525,2693,6622,9627,2687,6768,9439,2575,6568,9414,3399,5528,9096,2361,6735,9022,2803,6219,9142,2430,6712
21,21,17869,17211,143,229,177,104,10,0,0,17679,16931,118,340,69,26,195,0,0,18803,17436,280,371,271,338,17,18060,17129,183,278,75,64,158,48,70,0,35,5,585,19605,18429,254,206,184,43,169,13512,13126,77,117,110,78,9,0,0,13620,13161,53,210,41,19,55,210,37,0,80,0,14297,13409,177,211,162,254,10,14297,13409,177,127,124,23,4,36,397,13961,13493,111,186,27,51,35,0,0,0,0,0,15021,14557,171,152,47,14,30,63,47,4,30,14750,14188,205,219,61,31,4,48,62,6,4,8062,2847,5088,8141,2456,5685,8161,1992,5766,8236,4276,3342,8115,3472,4292,6955,3372,3365,8583,2744,5614,9313,2678,6421,9236,2308,6721,8784,2875,5587,9060,3269,5791,8915,2448,6254,8970,2391,6403,8791,2259,6212,8760,2996,5271,8510,2158,6352,8486,2537,5949,8557,2270,6287
22,22,17052,16688,90,89,84,99,5,0,0,17136,16644,59,162,44,227,0,0,0,17068,16199,177,182,144,289,12,16239,15734,36,151,49,264,0,15,22,5,0,2,427,16630,16195,51,73,126,116,0,13295,13069,58,40,52,71,2,0,0,13337,13027,10,76,43,180,0,18,20,15,0,0,13613,12986,122,95,97,234,7,13613,12986,122,49,74,19,2,18,343,12977,12668,25,62,34,203,0,0,0,0,0,0,13221,12994,34,45,47,118,0,0,26,4,0,12693,12395,74,50,44,148,0,10,28,0,0,5939,2118,3714,5368,1795,3573,6499,1385,4807,6558,3373,2747,6396,2901,3260,5566,2664,2746,6887,1985,4740,7530,1903,5502,7372,1708,5500,7135,1933,4947,7204,2359,4845,7210,1808,5231,7351,1724,5485,7188,1602,5324,7131,2280,4381,6779,1676,5103,6793,1810,4983,6818,1648,5170
23,23,16572,15913,138,256,181,109,10,0,0,17478,16727,170,384,115,56,29,0,0,17069,15735,200,420,332,298,8,17451,16493,303,424,119,77,31,165,119,14,0,0,355,17149,15801,425,531,195,174,45,13091,12657,92,155,127,76,5,0,0,13645,13164,87,272,41,56,0,260,41,15,30,0,13586,12659,141,270,226,208,2,13586,12659,141,222,205,17,0,30,312,13423,12983,159,125,35,73,0,0,0,0,0,0,13334,12565,192,319,93,165,0,259,93,15,0,12528,11635,150,580,100,88,0,450,101,12,0,6450,2393,3940,6309,2083,4226,6643,1652,4708,6697,3423,2803,6554,3166,3132,5824,2977,2709,7027,2305,4567,7652,2293,5250,7491,1997,5304,7303,2290,4767,7316,2710,4606,7155,2047,4950,7143,1964,5054,7032,1794,5026,6998,2414,4184,6653,1859,4794,6631,1994,4637,6682,1808,4874
24,24,17824,16051,227,1288,119,165,19,0,0,17225,15053,273,1414,193,178,9,0,0,17052,14427,331,1614,215,415,13,16798,14793,189,1316,270,94,8,999,210,21,0,160,428,16553,14602,222,1392,259,52,10,14124,13010,139,768,87,126,15,0,0,13360,12374,111,671,84,103,0,591,82,41,8,0,13534,11793,227,995,156,331,9,13534,11793,227,793,103,47,3,44,524,13151,11978,57,831,148,75,0,0,0,0,0,0,13157,11950,169,794,178,47,0,603,180,8,0,12842,11775,198,585,194,55,0,303,153,14,0,5930,2718,3092,5118,2442,2676,5286,2037,2926,5322,2953,1818,5252,3041,2015,4545,2807,1580,5461,2476,2847,5815,2605,3106,5729,2266,3332,5716,2397,3118,5634,2750,2884,5618,2400,3094,5705,2431,3150,5595,2162,3252,5576,2674,2589,5329,2287,3042,5318,2369,2949,5352,2252,3100
25,25,20132,15746,325,3440,473,224,35,0,0,18640,14376,442,3060,689,279,33,0,0,18791,14131,454,3181,574,432,31,18251,14208,510,2914,694,215,31,2461,346,65,0,14,644,18869,14644,469,3191,649,242,30,17222,13845,260,2574,408,181,23,0,0,15722,12502,322,2384,269,220,0,2182,237,111,31,0,16217,12490,341,2487,512,359,23,16217,12490,341,2157,426,50,10,53,690,15330,12455,286,2206,214,144,0,0,0,0,0,0,15885,12893,290,2340,220,165,0,1926,122,22,0,15967,12839,366,2189,382,203,0,1809,181,6,0,6184,3900,2174,5613,3528,2085,5211,3053,1849,5207,3179,1236,5143,3677,1230,4652,3418,1058,5339,3360,1822,5626,3657,1838,5539,3126,2258,5561,3309,2011,5470,3655,1815,5141,3222,1806,5091,3278,1704,4948,2908,1878,5028,3352,1412,4789,3025,1764,4799,3077,1722,4768,2951,1817
26,26,17169,16005,162,564,328,109,4,0,0,16849,15386,264,495,662,37,24,0,0,17355,15383,311,772,428,355,17,17606,16226,200,473,624,58,20,414,312,1,17,6,431,17543,16145,203,526,477,171,21,13681,12904,100,346,247,84,3,0,0,13436,12517,127,388,369,33,4,379,322,0,0,0,13931,12572,213,460,322,267,15,13931,12572,213,366,280,18,4,35,443,13791,12897,126,377,409,37,4,0,0,0,0,0,13686,12816,121,312,353,103,4,287,277,29,4,13924,13114,202,353,219,46,0,321,190,6,0,7874,3175,4576,7260,2839,4421,7193,2562,4221,7275,3981,2665,7193,4036,2871,6513,3910,2421,7644,3352,4112,8169,3520,4516,8080,3002,4912,7997,3295,4463,7926,3793,4133,7818,3244,4410,7875,3269,4429,7745,2916,4594,7763,3790,3602,7396,2991,4405,7355,3111,4244,7414,2933,4481
