ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,762181,590037,20867,139232,5356,8390,632,0,0,757212,574959,26297,137473,6258,15770,784,0,0,752509,551532,29297,139921,7852,21046,1895,757135,569439,27115,137760,5993,16302,806,128287,4223,2413,440,714,24502,754066,560735,28555,137037,6393,16970,1407,578121,462207,12801,93953,3729,6325,405,0,0,572727,453943,11224,94428,2665,10377,256,92433,2061,2057,589,0,579039,438676,18103,97812,5576,16066,1079,579039,438676,18103,93684,4089,2255,683,961,20588,573007,453356,11281,94623,2732,11003,256,0,0,0,0,0,571212,450069,12261,95176,2990,10341,317,92249,2078,1601,317,568821,446180,13803,94769,3268,10373,323,90610,2326,1348,323,277923,108178,160139,258644,96215,162429,274701,82710,178526,266070,85925,169204,212053,58715,145628,211691,65632,140648,211402,61943,143653,253353,73762,172730,286792,80516,197832,278290,73370,204920
2,2,713415,524159,30596,139877,12755,8535,801,0,0,745917,528949,35225,159045,16426,9009,1129,0,0,752710,498838,46673,166319,18424,23460,1008,747534,524853,35465,162433,16628,9364,1014,150982,12019,2403,435,1559,19822,751393,517453,36849,168381,17421,10193,1156,543875,414945,19404,95354,9100,6278,562,0,0,558537,421647,13053,110187,6954,6159,264,107885,5839,1989,738,0,582706,402756,30008,118487,13270,17665,677,582706,402756,30008,111213,10557,2339,264,1613,23956,559491,420498,13202,112115,7052,6471,179,0,0,0,0,0,566915,419744,14617,117088,8160,6484,163,113475,6358,1449,163,569180,414128,19670,119801,8174,6425,194,114916,5841,1197,194,291442,122780,161916,282875,117769,165106,306119,120843,166843,302655,129641,161165,252435,93177,152854,251723,104382,140127,251722,93832,150300,294794,119695,166735,333041,140254,183964,327343,131588,195755
3,3,644662,493236,88943,21590,19962,19063,5694,0,0,722188,528659,111007,28619,28182,21823,8484,0,0,753219,509829,124073,31858,33269,45272,13592,735234,525236,114084,30509,29931,22879,9293,20844,23949,6860,8477,3921,31880,758390,508647,122302,32870,32561,25791,11116,475683,382670,51677,13205,13964,12790,3119,0,0,495620,413758,37926,16709,11764,13986,1042,15420,10503,6298,678,0,566367,405651,78667,20163,23673,31822,7661,566367,405651,78667,15785,20240,7439,6873,1456,30256,507317,419897,41981,17254,12224,14623,979,0,0,0,0,0,526172,428908,48078,18141,13595,15180,1309,15191,11828,4320,1309,543077,437067,52896,18683,15465,15852,1619,14457,13245,3911,1619,220982,76405,138918,219387,73396,145991,259373,82476,156678,256540,84505,160385,205015,65626,133652,204375,71748,125955,204179,69003,128927,252852,87172,157289,300274,110479,180794,295423,109431,185992
4,4,795572,566024,45630,167971,6849,11600,722,0,0,774053,539886,51601,164055,7029,12518,1068,0,0,753086,503351,56804,157870,9013,25836,1379,771970,535571,52965,163181,7397,12735,1620,155372,5198,4236,906,780,16923,754820,516949,55615,158914,7848,15201,1310,606709,449073,27206,118546,4706,8479,480,0,0,580366,433331,16293,118484,3055,8696,136,116995,2605,3396,666,0,584161,406689,35224,115416,6220,19359,876,584161,406689,35224,110553,4789,3658,430,1230,21588,579649,430913,17054,118674,3158,8828,431,0,0,0,0,0,569161,419231,20045,115971,3899,9320,330,113906,2822,2253,330,564403,411739,23818,113892,4228,9698,347,110277,2902,1826,347,301425,114809,177018,278037,104902,173135,290299,94416,182697,282079,100480,171110,222006,65700,150272,221630,73337,142938,221432,68757,147553,265872,84470,175063,298962,92683,198057,292205,85001,207204
