ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep
86,86,169214,133210,23565,9740,2495,1845,261,182249,138198,28182,11401,3720,1654,311,0,0,179269,131453,31243,10207,3917,3618,224,185073,139002,29647,12139,3525,1812,352,9496,2555,365,153,3326,181177,134882,30298,11775,3808,1578,240,139804,114745,16039,6909,1807,1323,198,141323,119485,11890,7408,1719,677,145,6939,1526,263,145,44,0,149344,115926,20982,7468,2812,2624,157,149344,115926,20982,6292,2125,189,43,3406,144891,121572,13109,7371,1865,740,155,0,0,0,0,142162,118740,13467,7104,2012,733,44,6305,1595,81,44,141729,116896,14878,6476,2321,906,68,5876,1784,193,68,87028,38525,47660,85919,34283,51636,95783,35288,56937,94619,37567,54916,86006,35039,50693,85864,33590,51417,84415,30260,52680,82964,31488,51393,92499,35718,55343,109223,42778,65475,89956,32241,56880,83577,27812,55059,83682,26823,56519,82522,25660,56862,81803,26418,55385,83100,25432,57668,95326,33298,61376,107583,38300,68026,105953,38409,66175
87,87,159278,115095,24698,15200,4234,1578,345,176144,122021,32052,15939,5971,1096,315,0,0,182880,124449,33356,16074,7041,3126,331,178317,122440,31642,17302,5678,1044,420,15020,4283,88,32,3556,181238,122765,33973,17187,5568,1209,87,131930,99954,18261,10467,3184,1111,268,132651,104531,15487,8932,2862,587,54,8677,2466,91,54,152,0,154022,110766,24401,11597,5387,2281,275,154022,110766,24401,9653,4387,131,45,3952,134375,107548,14295,9429,2915,575,44,0,0,0,0,136432,108541,15574,9025,3022,550,4,8240,2521,70,4,136856,108112,15675,9270,3428,635,0,8285,2918,73,0,77660,41097,35869,79420,38879,40541,89161,42962,42995,87754,40670,45132,79825,40236,39440,79310,39623,39027,78435,36968,40170,77008,37776,39157,86224,41887,43092,103971,51255,51753,83542,38390,44394,76655,32914,43049,76744,31829,44545,75858,31171,44687,75209,31381,43828,76053,32384,43669,88855,39216,48992,101032,44438,55202,99556,43504,54788
88,88,152571,40660,30363,78623,4758,1349,609,175197,37792,38123,95206,5522,993,492,0,0,175984,35745,42486,93247,6126,2596,345,176046,39654,37389,96270,5100,1004,497,89986,4136,35,8,4191,181972,40267,40986,97829,6064,1599,549,113526,35274,21628,53961,3643,935,437,107236,31442,17466,55394,2365,417,4,54513,2141,35,4,345,0,132898,31441,30782,66515,4779,1897,271,132898,31441,30782,62370,3997,174,54,3365,109979,32320,17553,57603,2215,377,10,0,0,0,0,112465,32682,18640,57158,3149,505,14,55629,2903,60,14,118308,31447,21072,60809,3658,892,15,58905,3408,121,15,51830,41622,9851,53691,43799,9892,59663,46054,11981,58486,43238,13857,50722,40218,10328,50593,40726,9541,49923,38880,10284,49529,39562,9883,56224,43428,12025,68429,51455,16293,48308,35826,11986,37163,26189,10522,37246,25522,11393,36889,25517,11372,36618,25798,10820,36677,26360,10317,49981,35203,14302,60929,41435,18643,59714,40983,17656
89,89,154554,56043,70835,25471,3752,3381,538,171347,50745,86786,30980,4612,1793,314,0,0,177515,45674,95798,32124,4966,6040,371,170052,48451,86433,31609,5559,1587,498,27226,4699,120,48,2809,173882,44150,93982,32150,5669,1652,543,115849,47254,50171,16586,2777,2338,385,93028,42406,32837,14358,2644,677,55,13957,2557,104,55,248,0,134359,39349,69210,22354,3766,4237,303,134359,39349,69210,19256,3041,157,111,2636,94719,40165,34894,15355,3036,620,50,0,0,0,0,96210,37154,39212,16024,2808,340,140,15694,2697,36,140,96901,36091,39897,16866,2827,345,175,16544,2674,125,175,43775,27517,15829,43158,28538,14620,49832,30924,17228,48620,28570,18517,41175,26504,14536,41046,26439,14111,40451,24925,14757,39711,25523,14124,46497,28641,17070,58363,34478,23313,41591,23670,17449,33654,17035,16083,33715,16508,16900,33377,16669,16708,33086,16886,16200,33470,17966,15504,44354,23188,20731,54356,27158,26439,53012,27148,24916
90,90,159464,95043,18334,42447,4043,862,384,177044,97975,24500,49544,5058,796,514,0,0,179439,96623,26023,49521,5494,2050,255,180709,96976,26312,51795,5244,873,253,48642,4089,89,50,3797,181275,90576,28917,56234,4894,1121,200,131934,85659,13470,29879,3014,622,268,130788,85622,14088,27281,2540,469,163,26891,2313,100,163,648,0,151729,88856,20161,36492,4370,1578,192,151729,88856,20161,33862,3444,167,48,4260,134085,84330,15689,29496,3052,565,239,0,0,0,0,133966,80795,16748,32164,2946,595,75,31329,2508,24,75,136518,81553,17624,32724,3391,634,41,31523,2982,60,41,73346,46697,26121,73656,45879,27777,81858,49008,30410,80114,45970,32040,72771,45470,27117,72610,45601,26473,71833,43310,27368,70635,43979,26590,78931,47785,30039,95294,57564,36883,73527,42189,30649,64032,34318,28894,64158,33455,30351,63484,33151,30333,62951,33428,29523,63553,35448,28105,77012,42440,33970,88676,48402,39153,87072,47671,38262
91,91,158494,125607,19494,8102,4604,591,186,171826,129089,26664,8209,6160,865,307,0,0,180714,124824,28829,11885,7855,1578,255,176580,129503,28371,10228,7207,729,250,8325,6225,85,27,2862,182420,127621,29049,11894,7631,1684,197,133450,108200,15218,5933,3502,420,149,130175,104950,15474,5373,3475,661,30,5038,3276,114,30,252,0,152122,108862,22281,9245,5991,1220,166,152122,108862,22281,7334,4878,112,37,6915,133135,105235,17078,6147,3912,456,25,0,0,0,0,137345,106655,18710,7124,4178,512,25,6487,3727,35,25,141085,108471,20206,7478,4233,421,8,6710,3410,32,8,83287,45966,36825,82431,41233,41198,90144,46862,40851,88253,42138,44302,80561,43155,37265,79797,42382,36869,78954,40501,37036,77814,41520,36188,86855,44831,40940,103933,53932,49270,83773,41397,41756,76409,35566,40211,76533,34628,41633,75605,34163,41442,75057,34276,40781,75695,36305,38500,88579,41395,46632,100734,45482,54035,98886,44654,53107
92,92,156448,124272,16440,10449,4925,510,158,176383,128803,25187,15014,7290,957,26,0,0,179284,126127,25483,15408,7547,1503,185,179040,129861,27861,14260,6891,869,26,10854,4981,301,10,3979,180142,124239,28795,17240,7045,1941,177,131089,108098,11954,7147,3558,339,117,137516,110311,14697,7970,3650,313,10,7660,3223,195,10,505,0,151592,111641,19202,11368,5673,1095,146,151592,111641,19202,9440,4861,110,30,5048,138561,110358,16256,7555,3561,439,10,0,0,0,0,140432,107982,18142,9406,3727,663,20,8573,3438,173,20,142577,109920,17680,9609,4491,541,48,8587,3910,111,48,89376,60741,28200,88017,55497,32520,98770,59532,37214,96720,55254,39651,90307,55954,34187,89857,55402,33873,88881,53150,34004,87428,54524,32832,96443,57970,37433,114899,68554,45715,95019,55128,39332,89114,49871,38585,89266,48909,40043,88227,48085,40142,87688,48831,38857,88510,51504,36826,101131,56156,44433,113837,60857,51810,111915,60625,50281
93,93,161312,99623,33592,22182,6597,944,359,184480,97273,48164,32595,7940,855,131,0,0,180537,90987,48806,30528,9453,2329,315,183562,94300,49268,33074,8794,1068,143,28306,6870,186,70,3937,179664,89125,47947,33382,8780,1055,195,122062,79877,23371,14501,4570,633,248,124208,77703,24883,16597,4256,489,75,16292,3829,195,75,237,0,140854,76190,35176,21588,6880,1746,217,140854,76190,35176,18924,5815,140,39,3723,124213,75654,25989,17142,4449,521,70,0,0,0,0,125254,73821,27521,18371,4754,414,80,17720,4285,24,80,127925,72761,29766,19503,4882,639,11,18527,4414,27,11,72498,43323,28735,74634,42767,31867,83525,45292,35874,81863,42184,37829,73846,42260,31445,73636,42032,31028,72653,39415,31923,71287,40560,30661,80492,44157,35245,97731,53669,43253,76370,39967,35770,68054,33640,33765,68160,32656,35180,67437,32233,35204,66932,32635,34297,67574,34855,32719,81437,41081,39744,94781,47287,46350,92957,46924,44683
94,94,163281,92796,29664,36897,4555,863,352,173761,90425,37284,40954,5289,833,454,0,0,178736,92460,39181,39381,6198,2449,314,177570,93239,36244,42590,5143,1173,292,39697,4242,102,0,3437,176239,91455,36415,40088,6862,1616,346,126264,76514,20681,25931,3337,620,255,127093,76218,20824,26300,3111,528,4,25958,2871,50,4,349,0,144186,79557,28892,29332,4814,1842,239,144186,79557,28892,26825,3789,185,52,4053,131308,78955,22120,26474,2831,738,0,0,0,0,0,130870,78083,23007,24844,3892,802,96,23974,3129,138,96,135895,78143,26510,26357,4104,892,120,24917,3245,85,120,71719,41431,29733,73504,41379,32125,82090,41732,38138,80714,40405,38549,72922,38336,34420,72359,37708,34007,71705,35652,34854,70465,36722,33657,79234,40287,37974,96766,48028,47963,77002,36313,40123,70504,30591,39273,70634,29794,40528,69883,29353,40530,69262,29790,39472,69724,29980,39744,84202,37805,45832,100054,44580,54399,98129,44438,52187
95,95,157414,88065,31520,29853,8214,828,413,181861,87405,45404,40686,9448,901,205,0,0,181346,76562,44785,42579,11797,1942,337,184472,87589,43883,43482,9599,420,408,38002,7481,54,13,5270,181946,78305,43633,46384,10860,1871,288,120289,70704,22986,20560,5956,587,299,123013,67612,26022,23853,4963,174,60,23137,4708,109,60,378,0,141565,62947,33879,31262,8809,1484,263,141565,62947,33879,27384,7267,153,52,7615,125229,67257,25928,26308,5177,220,15,0,0,0,0,124634,62294,26709,28743,5982,548,0,27454,5514,275,0,126084,60364,29100,29480,5753,516,45,28253,5321,239,45,67436,42438,24584,67536,42144,25392,79359,48372,28870,77566,45552,30212,66218,42993,23075,68220,43568,24110,67191,42337,23820,66809,42986,23766,75352,46717,27636,93723,57466,35533,69655,41250,27795,59923,33691,25680,59995,32426,27176,59033,32502,26531,58700,32308,26392,59061,33577,24512,74446,42336,31509,87959,48700,38059,86556,49263,36055
