ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
10,10,14333,2003,7918,3128,2072,495,67,0,0,16056,2323,9332,3156,1873,549,27,0,0,15256,1713,9716,2944,1655,583,58,16312,2380,8843,4011,1638,571,14,3247,1278,115,14,362,15570,1970,10287,2637,835,416,7,10277,1737,5447,2140,1448,340,50,0,0,8828,1772,4334,1156,1280,295,25,1077,1280,213,25,0,0,11026,1434,6763,2127,1244,415,51,11026,1434,6763,1234,1165,64,1,274,9099,2048,4153,1566,1178,267,15,0,0,0,0,8763,1839,4780,1205,641,350,0,1095,601,300,0,7629,2025,3837,806,747,216,0,666,664,196,0,3964,3531,394,3444,3164,280,3893,3291,439,2916,2569,341,2942,2261,439,2721,2410,0,2803,2398,234,2801,2486,302,2756,2417,329,3521,2920,544,3772,2906,813,3482,2915,558,3549,2412,1062,3112,2305,791,3091,2232,680
11,11,14236,1643,8522,4139,1066,546,70,0,0,14641,1680,9569,3641,1010,571,15,0,0,15091,1703,9998,3872,769,444,81,14626,1789,9940,2824,1076,525,17,1303,1040,338,0,205,15418,1819,10686,3655,1172,214,27,10052,1428,5749,2849,731,362,53,0,0,7948,1415,4452,1317,477,357,0,1196,462,289,0,15,0,11190,1447,7235,2807,576,330,59,11190,1447,7235,1523,519,63,1,309,7618,1347,4093,1311,499,301,0,0,0,0,0,8179,1304,4793,1448,518,65,0,1423,505,35,0,8417,1577,4959,1399,366,58,0,1356,366,51,0,4294,4003,252,3913,3695,218,4406,3882,343,3012,2785,217,3074,2543,291,2858,2601,0,2946,2603,157,2931,2744,178,2887,2656,222,3821,3333,427,4162,3377,708,3772,3289,462,3934,2702,1095,3454,2729,693,3374,2579,581
12,12,14692,2766,7458,4520,613,628,92,0,0,15547,2479,9318,4427,720,240,59,0,0,15079,2028,9089,4380,572,581,106,14663,2347,9379,4430,292,127,57,2500,180,42,0,212,15300,2262,9645,4229,440,333,199,10397,2467,4768,3057,459,398,62,0,0,9151,2027,4645,1996,360,72,0,1964,337,72,0,48,0,11097,1777,6362,3179,435,408,79,11097,1777,6362,1928,372,96,12,407,8843,1976,4807,1843,128,44,0,0,0,0,0,8905,1879,4712,1998,242,50,0,1836,223,34,0,8567,2025,4423,1860,191,265,0,1528,170,33,0,3792,3563,196,4123,3989,134,3947,3569,253,2624,2463,155,2677,2238,206,2460,2266,0,2521,2261,120,2537,2370,158,2487,2283,196,3445,3035,367,3777,3050,674,3463,3035,415,3663,2480,1106,3252,2497,744,3158,2373,644
13,13,13663,3980,7742,1728,607,352,55,0,0,12692,3287,7491,1538,498,261,134,0,0,15103,3284,9688,1736,653,620,40,13701,3209,8483,1838,494,182,168,1283,288,0,0,369,14476,2947,8568,3208,443,236,0,9590,3385,4941,1030,418,187,33,0,0,7277,2873,3212,893,297,11,0,854,287,6,0,0,0,11040,2805,6723,1226,456,462,35,11040,2805,6723,747,406,54,2,249,8313,2894,4166,943,332,10,0,0,0,0,0,8353,2737,3779,1537,294,0,0,1272,269,0,0,7819,2461,3635,1364,175,18,0,1103,79,4,0,3688,2623,1001,3258,2612,646,3926,2704,1045,2775,2077,690,2811,1745,790,2586,2162,0,2719,1995,520,2710,2095,610,2692,2065,620,3651,2580,1021,4105,2658,1395,3840,2855,978,3934,2109,1742,3597,2239,1342,3523,2196,1297
14,14,13940,7508,4114,1342,1176,220,52,0,0,13662,5630,5642,2014,1142,178,49,0,0,14869,5447,6701,1905,1184,491,51,13999,5603,5765,1452,1547,176,46,790,1477,0,38,310,14233,5190,6744,1410,1378,116,100,10417,6306,2577,829,813,127,29,0,0,9213,4927,2923,761,526,31,40,733,526,0,40,20,0,11276,4749,4566,1288,851,343,37,11276,4749,4566,742,787,32,1,326,9526,4984,3332,542,620,20,35,0,0,0,0,9233,4566,3651,449,453,50,85,406,438,0,85,9103,4493,3117,738,738,73,7,705,625,0,7,4403,2903,1420,4093,2972,1121,4420,2682,1527,3376,2274,1089,3422,1718,1465,3127,2540,0,3281,2169,856,3314,2304,999,3269,2259,999,4361,2818,1478,5004,3012,1914,4710,3293,1407,4781,2574,2123,4472,2790,1671,4384,2784,1586
15,15,15494,13596,674,649,538,58,13,0,0,15393,12797,703,1003,859,103,19,0,0,15346,12473,1093,731,905,153,14,15000,12166,842,965,1001,100,24,709,842,37,20,333,14246,11591,657,823,965,101,9,12248,10821,496,533,359,41,8,0,0,12076,10446,484,559,504,79,14,494,464,36,14,5,0,12528,10350,807,589,653,123,6,12528,10350,807,421,608,27,2,249,11669,9809,519,608,721,83,21,0,0,0,0,11273,9740,431,366,729,93,5,349,719,51,5,11734,9933,708,447,612,59,0,429,574,24,0,7638,4109,3410,7115,3701,3414,8192,3263,4449,7159,3385,3755,7207,2083,4709,6364,4948,0,6921,3554,2810,6962,3871,3078,6945,3740,3188,8272,3984,4163,9084,4252,4687,8791,5061,3724,9101,4016,4855,8799,4375,4400,8671,4490,4157
16,16,13661,10729,1341,758,910,131,19,0,0,14644,10273,2202,1146,1199,268,123,0,0,14274,9102,2533,1272,1408,325,24,15113,10313,2968,873,977,347,77,378,926,0,0,446,16172,10400,3434,1159,1198,332,167,10936,8961,832,491,656,85,12,0,0,11063,8694,1043,479,691,14,0,431,651,0,0,124,0,11470,7878,1689,858,996,230,16,11470,7878,1689,512,930,51,2,339,11371,8779,1496,403,543,33,0,0,0,0,0,12280,8823,2141,580,460,69,61,484,437,0,61,11818,8041,2402,635,561,59,80,497,527,0,80,6261,4026,2135,6160,4079,2081,6400,3512,2492,5322,3228,2085,5360,2268,2722,4866,3907,0,5179,3145,1623,5196,3385,1801,5176,3296,1868,6381,3898,2370,7102,4257,2686,6838,4599,2229,7082,3948,2937,6820,4165,2632,6708,4157,2529
17,17,14330,11963,911,810,596,94,15,0,0,14179,11335,1352,526,870,183,98,0,0,14649,11082,1540,998,965,188,38,14455,10584,1479,1345,917,199,217,1146,786,15,8,345,15086,11039,1802,1248,849,276,273,12170,10280,705,690,451,59,8,0,0,11547,9744,878,397,458,91,7,303,384,14,7,17,0,12550,9793,1160,801,720,142,33,12550,9793,1160,596,651,23,9,282,11390,9191,881,793,433,99,10,0,0,0,0,12070,9803,989,665,407,90,5,582,346,32,5,11318,9058,1023,719,265,133,0,663,266,107,0,7637,4246,3271,6829,3903,2926,6986,3197,3455,5992,3041,2937,6002,2052,3599,5431,4217,0,5819,3141,2215,5870,3344,2518,5843,3301,2535,6996,3650,3247,7674,3892,3674,7411,4480,2916,7560,3536,3874,7284,3855,3414,7178,3970,3192
18,18,13185,8800,2063,1427,1042,219,26,0,0,13312,7455,2994,1872,1050,135,35,0,0,14168,7384,3651,1823,1499,305,38,13343,7527,2759,1785,1264,180,65,1247,951,41,14,725,13352,7369,3220,1431,1384,316,80,10263,7285,1319,989,742,135,17,0,0,9506,6195,1813,956,471,60,0,875,376,35,0,10,0,11258,6339,2541,1297,1135,219,33,11258,6339,2541,793,1037,34,4,410,9542,6350,1543,895,656,85,0,0,0,0,0,9594,6301,1861,647,634,99,4,574,587,50,4,10746,7100,1704,1026,764,26,4,988,713,0,4,5752,4110,1542,5071,3825,1246,5344,3502,1477,4455,3226,1220,4446,2482,1580,4132,3394,0,4352,2976,965,4370,3282,1079,4329,3156,1162,5391,3838,1446,6016,4203,1708,5803,4399,1399,5912,3814,1938,5683,3978,1681,5590,3977,1589
19,19,15139,13631,665,447,358,137,15,0,0,14822,13023,850,613,363,53,6,0,0,15003,12508,1127,727,484,233,31,14452,12533,795,692,434,119,14,297,320,0,0,411,14786,12661,890,817,364,153,26,12261,11251,438,295,225,90,9,0,0,12054,11079,444,287,178,52,0,227,168,0,0,3,0,12551,10823,759,488,338,170,20,12551,10823,759,252,258,16,4,405,11611,10492,453,349,227,66,0,0,0,0,0,11738,10584,492,342,249,56,0,279,129,0,0,11488,10017,659,352,414,56,0,290,230,0,0,8493,5549,2774,7843,5278,2565,8582,4982,2990,7567,4931,2624,7528,4126,2638,7013,5803,0,7351,4787,1918,7425,5318,2095,7416,5075,2332,8752,5742,2833,9599,6324,3065,9356,6713,2637,9417,5981,3152,9189,6216,2946,9063,6290,2745
20,20,14903,13151,697,575,397,124,19,0,0,14626,12730,871,407,585,111,7,0,0,14511,11581,1091,734,719,292,17,14192,11938,796,480,944,192,8,157,905,27,3,352,13994,11608,1025,615,529,361,65,12339,11037,496,448,293,83,11,0,0,11564,10623,406,310,179,74,3,243,159,31,3,2,0,12092,9970,798,533,521,180,14,12092,9970,798,370,474,32,3,375,11102,10156,442,263,176,74,0,0,0,0,0,11159,9961,625,358,102,116,60,257,102,27,60,11426,10005,755,423,64,128,75,346,29,11,75,7080,4307,2615,6692,4244,2448,6563,3248,2834,5398,3149,2237,5373,2459,2221,4966,3808,0,5258,3080,1690,5255,3388,1857,5263,3325,1933,6597,3785,2675,7404,4133,3114,7153,4618,2524,7313,3796,3347,7106,4050,3035,7020,4197,2804
21,21,13995,12559,536,431,380,136,20,0,0,13105,11303,700,616,476,168,33,0,0,14077,11786,965,611,458,249,24,13032,11167,855,609,368,181,31,377,265,12,0,312,13572,11125,1064,961,320,137,47,11122,10170,324,288,272,100,13,0,0,10494,9347,486,422,142,49,0,394,138,10,0,45,0,11549,9956,636,412,343,173,13,11549,9956,636,258,298,17,0,352,10385,9219,534,450,168,35,0,0,0,0,0,10810,9292,678,579,240,44,0,483,230,0,0,11304,9303,593,662,713,25,0,488,657,0,0,6818,4175,2516,6280,4041,2239,6590,3072,3005,5395,3039,2340,5379,2361,2344,4982,3848,0,5258,3096,1720,5261,3381,1871,5268,3256,2001,6610,3684,2782,7418,4066,3197,7169,4564,2599,7400,3763,3452,7193,4089,3096,7110,4185,2912
22,22,14102,12865,417,340,363,134,15,0,0,13768,12155,511,489,452,193,0,0,0,14233,12023,858,516,509,286,22,13510,11749,826,464,333,139,0,336,204,68,0,313,13762,11955,867,478,324,103,0,11221,10390,266,213,247,97,12,0,0,11213,10086,327,288,332,181,0,278,262,70,0,0,0,11725,10164,547,341,368,232,14,11725,10164,547,178,304,35,3,445,11131,9993,444,292,268,129,0,0,0,0,0,11293,10116,551,340,197,67,0,216,157,11,0,11319,9954,613,334,290,107,0,133,261,5,0,6928,4101,2690,6410,3948,2462,6750,3023,3206,5475,2998,2470,5446,2348,2465,5000,3735,0,5337,2993,1864,5345,3321,2019,5339,3159,2174,6771,3607,3024,7637,3922,3540,7386,4484,2892,7617,3745,3660,7438,4104,3314,7326,4206,3100
23,23,14536,13390,480,284,298,148,12,0,0,14133,12158,1134,313,404,274,0,0,0,13988,11969,761,508,419,238,18,14382,12092,1346,532,354,256,0,365,269,56,0,259,15010,12867,987,672,446,105,0,11648,10908,287,188,203,98,7,0,0,11081,9896,629,182,263,115,0,153,213,50,0,0,0,11389,10070,458,323,277,178,10,11389,10070,458,174,236,28,4,385,11355,10009,666,367,201,115,0,0,0,0,0,12048,10750,564,422,268,46,0,419,239,18,0,11170,9947,454,395,338,44,0,344,215,4,0,7698,4481,3057,6728,4250,2478,7144,3276,3324,5747,3123,2609,5742,2512,2518,5186,3954,0,5586,3181,1908,5586,3522,2054,5592,3333,2248,7051,3819,3064,7855,4194,3472,7612,4707,2891,7798,3878,3748,7603,4179,3408,7473,4285,3175
24,24,14617,13242,393,295,611,112,11,0,0,15043,13023,606,291,1026,148,34,0,0,15300,13244,645,415,778,147,19,15503,13563,546,246,1068,107,24,145,962,10,0,252,15941,13669,833,228,1195,27,2,12073,11085,256,221,440,84,7,0,0,12328,11156,435,163,462,60,0,130,433,15,0,37,0,13090,11588,442,302,567,103,13,13090,11588,442,200,510,10,2,288,12689,11614,395,119,475,55,0,0,0,0,0,12838,11774,586,85,321,34,0,60,273,4,0,12740,11550,492,293,353,39,5,279,245,12,5,8580,4829,3618,8241,4579,3662,8178,4107,3506,7049,3932,3100,7022,3363,2877,6341,5095,0,6827,3990,2286,6872,4368,2491,6880,4233,2638,8325,4795,3372,9227,5355,3698,9015,5778,3227,9131,5148,3734,8953,5303,3626,8832,5417,3394
25,25,14049,12507,781,447,245,178,22,0,0,13564,11367,943,907,401,85,0,0,0,14626,11684,1299,825,395,451,36,13173,11351,698,763,349,112,0,458,213,0,0,392,14278,11972,1148,591,492,156,0,11070,10093,454,274,183,121,12,0,0,10224,8974,469,511,213,58,0,477,143,0,0,0,0,11630,9647,845,530,286,311,22,11630,9647,845,290,205,62,3,511,10096,9024,364,423,176,97,0,0,0,0,0,10657,9435,624,229,262,95,0,175,211,0,0,11668,10388,699,274,215,72,0,241,158,0,0,5136,3126,1899,4659,2892,1767,4828,2149,2312,3770,2071,1693,3757,1581,1628,3499,2518,0,3692,2042,1291,3693,2278,1409,3700,2171,1523,4955,2616,2244,5783,2880,2787,5576,3343,2226,5882,2685,3055,5666,2934,2720,5590,3041,2536
26,26,13278,12026,569,333,267,129,11,0,0,13717,11992,923,446,342,86,75,0,0,14193,11783,1042,654,398,305,16,14057,11815,1181,758,371,117,89,191,230,27,0,607,14761,12072,1344,809,507,258,99,10401,9671,307,174,175,72,6,0,0,10905,9809,584,258,174,3,0,224,135,0,0,71,0,11446,9815,689,407,283,205,11,11446,9815,689,242,236,39,4,370,11177,9596,875,328,273,19,0,0,0,0,0,11844,10195,816,311,350,69,0,195,250,25,0,11904,10532,829,212,255,68,0,167,158,26,0,5971,3479,2367,5273,3123,2150,6087,2666,3029,4815,2575,2226,4821,2002,2230,4455,3308,0,4710,2609,1743,4725,2846,1872,4716,2714,1994,6143,3213,2810,6976,3544,3289,6731,4025,2701,7052,3292,3596,6844,3392,3441,6712,3652,3047
27,27,14529,13239,430,376,416,115,19,0,0,14951,13045,1049,494,521,56,0,0,0,14862,12530,907,514,590,287,38,14499,12640,1110,208,538,86,0,47,527,0,0,140,14908,12052,1616,319,702,246,0,11676,10797,278,232,307,77,16,0,0,11769,10827,578,163,196,17,0,146,185,0,0,0,0,12274,10627,592,306,452,207,26,12274,10627,592,173,386,23,3,423,11617,10655,693,35,182,50,0,0,0,0,0,12203,10480,1080,136,301,109,0,109,273,0,0,12712,11108,1033,150,198,121,0,134,191,0,0,6914,4060,2734,6242,3815,2427,6831,3093,3291,5384,2860,2514,5368,2249,2479,5010,3680,0,5269,2898,1914,5282,3188,2090,5260,3016,2239,6838,3574,3130,7783,3913,3712,7477,4450,3020,8021,3786,4056,7715,4008,3691,7618,4165,3436
28,28,13737,13081,276,161,160,75,9,0,0,13161,12568,334,134,69,87,4,0,0,13974,12721,437,233,239,202,10,14001,13421,330,88,37,88,0,22,37,0,0,181,14250,13210,504,252,121,172,0,10611,10228,147,92,98,51,9,0,0,10468,10105,233,54,39,44,0,29,39,0,0,13,0,11453,10588,288,151,167,149,8,11453,10588,288,74,98,12,1,351,11012,10705,232,53,17,59,0,0,0,0,0,11271,10808,217,114,42,116,0,38,3,0,0,11814,11112,302,166,81,186,0,84,40,0,0,7199,3973,3095,6400,3643,2757,7309,2914,3873,5976,2906,3053,5970,2327,3001,5500,3894,0,5878,2908,2476,5878,3339,2533,5884,3099,2780,7437,3493,3784,8386,3810,4408,8098,4328,3756,8543,3631,4709,8271,3909,4343,8137,4021,4105
29,29,13209,12577,222,162,196,64,11,0,0,13301,12403,314,292,157,133,0,0,0,13957,12506,385,270,450,206,12,12954,12100,221,252,162,84,0,171,162,4,0,167,13567,12494,407,184,240,154,0,10469,10092,126,86,126,41,5,0,0,10902,10561,195,121,15,17,0,68,15,0,0,0,0,11406,10452,246,172,301,145,7,11406,10452,246,87,242,20,3,318,10677,10314,141,132,32,39,0,0,0,0,0,11247,10715,183,135,106,87,0,51,74,4,0,10440,9683,368,122,122,99,4,57,72,9,4,6929,3695,3094,6807,3596,3211,7009,2717,3797,5693,2700,2982,5691,2145,2901,5144,3658,0,5573,2676,2419,5592,3081,2502,5588,2850,2727,7078,3255,3677,7993,3560,4280,7687,4045,3634,7940,3248,4499,7706,3468,4220,7597,3544,4038
30,30,12761,11735,212,140,609,68,5,0,0,12565,10923,422,203,718,267,9,0,0,14135,11954,583,308,1002,147,11,12791,10884,474,260,936,213,9,148,856,83,0,298,13807,11586,507,272,1129,249,12,9380,8756,112,91,374,36,3,0,0,9004,8133,205,80,459,126,0,52,439,75,0,7,0,10732,9299,368,212,643,105,6,10732,9299,368,114,556,10,2,330,8924,7898,254,190,472,99,0,0,0,0,0,9737,8549,278,191,585,117,0,130,554,39,0,9875,8824,275,213,491,48,0,153,471,5,0,7401,3782,3492,6933,3378,3555,7572,3852,3193,6610,3643,2954,6599,3308,2724,5954,4809,0,6417,3701,2232,6460,4027,2429,6435,3748,2677,7782,4484,3148,8629,5080,3348,8420,5320,3097,8613,4989,3368,8461,5034,3407,8394,5091,3286
31,31,14137,13065,362,315,290,190,14,0,0,14055,12684,452,269,453,262,2,0,0,14971,13059,629,498,421,339,33,13425,11866,534,224,568,289,1,78,323,91,1,492,14960,12738,605,444,911,438,0,10784,10114,213,170,199,110,6,0,0,11289,10409,297,170,250,162,2,77,208,116,2,0,0,11964,10705,391,301,295,245,24,11964,10705,391,183,231,59,9,361,10708,9836,314,188,267,191,1,0,0,0,0,11970,10744,359,219,491,134,0,150,416,38,0,11890,10795,227,161,477,103,4,130,375,37,4,7785,4324,3326,7350,3967,3383,7976,3859,3450,6709,3690,3010,6670,3165,2770,6071,4840,0,6523,3704,2243,6535,4083,2446,6532,3861,2664,8158,4585,3374,9175,5225,3745,8903,5573,3317,9118,4982,3864,8890,5043,3830,8756,5137,3602
32,32,13642,12782,317,209,214,169,17,0,0,13598,12291,448,262,483,163,0,0,0,14151,12787,407,232,393,246,31,14503,13017,388,426,425,311,0,128,413,0,0,554,14411,13061,465,405,377,217,0,10412,9900,164,113,128,112,12,0,0,10552,9907,213,175,191,104,0,116,103,22,0,0,0,11423,10572,235,116,259,162,23,11423,10572,235,59,191,47,5,271,11388,10676,143,206,193,116,0,0,0,0,0,11484,10845,222,189,121,86,0,60,121,0,0,11802,11148,284,98,210,71,0,59,150,0,0,8031,4621,3266,7651,4257,3394,8039,4293,3028,7136,4258,2865,7088,3724,2582,6447,5359,0,6870,4136,2086,6945,4690,2247,6921,4370,2545,8340,5115,3016,9297,5788,3277,9080,6120,2952,9182,5635,3232,8965,5598,3351,8844,5650,3178
33,33,14416,13321,259,255,389,245,7,0,0,14831,13951,207,169,438,48,0,0,0,14064,12777,305,247,431,231,19,14999,14069,247,165,484,27,0,147,381,2,0,139,14581,13263,531,279,456,86,0,11608,10836,170,159,303,170,2,0,0,12196,11732,77,107,257,20,0,103,168,2,0,0,0,12035,11054,240,168,329,184,13,12035,11054,240,74,287,83,2,251,11862,11442,120,101,245,15,0,0,0,0,0,11679,11084,337,145,153,38,0,97,104,2,0,11285,10770,235,168,133,9,0,128,47,1,0,8040,5090,2793,7439,4530,2909,8177,4507,2993,7060,4319,2725,7002,3751,2511,6322,5245,0,6790,4235,1895,6857,4713,2136,6852,4478,2372,8211,5150,2876,9053,5716,3140,8817,6080,2721,8941,5360,3344,8679,5371,3283,8538,5434,3086
34,34,14553,13449,287,338,198,375,14,0,0,14236,12342,707,273,302,504,0,0,0,13978,12241,425,417,345,531,21,14839,12793,871,319,282,505,0,271,265,435,0,119,14778,13289,566,276,206,309,22,12249,11520,183,198,150,247,9,0,0,12215,11008,432,160,231,399,0,141,231,332,0,0,0,12036,10802,288,264,274,355,12,12036,10802,288,137,205,166,1,373,12634,11314,502,177,188,412,0,0,0,0,0,12969,11981,408,180,134,219,0,160,134,155,0,12926,11749,496,310,111,208,4,224,103,135,4,7478,4716,2618,6845,4314,2531,7363,4240,2535,6494,4126,2356,6439,3666,2072,5813,4823,0,6204,4068,1573,6250,4453,1791,6286,4181,2096,7538,4875,2495,8398,5473,2753,8109,5705,2389,8236,5113,2874,7944,5071,2855,7820,5150,2656
35,35,13868,12062,552,580,554,216,15,0,0,13391,11185,1070,715,516,163,11,0,0,14760,12242,887,621,775,174,16,12666,10617,1101,518,564,146,13,276,441,82,7,135,13361,11223,674,550,729,158,6,11919,10358,486,523,473,155,13,0,0,11274,9782,735,384,292,82,4,354,241,50,4,0,0,13212,11001,800,556,669,137,11,13212,11001,800,439,576,41,4,305,10708,9233,790,249,317,77,4,0,0,0,0,11255,9780,566,404,367,115,4,288,276,73,4,12092,10130,927,496,441,60,13,410,294,35,13,4861,3136,1622,4448,2807,1641,4946,2916,1597,4334,2786,1531,4293,2491,1369,3842,3198,0,4152,2663,1081,4173,2939,1232,4167,2770,1395,5126,3357,1622,5727,3784,1781,5551,3914,1624,5910,3655,2040,5731,3590,2134,5646,3635,2001
36,36,14008,13223,229,163,177,268,9,0,0,13943,13235,191,91,247,285,13,0,0,14757,13466,353,254,233,339,17,13903,13305,185,82,232,174,15,13,115,49,0,224,14562,13788,270,150,238,270,30,11380,10875,142,92,109,175,5,0,0,11587,11150,100,73,114,165,0,24,48,85,0,15,0,12598,11698,237,148,173,227,12,12598,11698,237,66,98,86,1,372,11876,11474,114,77,95,120,0,0,0,0,0,12539,11937,183,115,81,161,0,75,31,23,0,12330,11774,190,82,105,140,4,71,47,23,4,8670,5299,3182,7902,4822,3080,8419,4445,3319,7162,4415,2734,7133,4039,2374,6396,5029,0,6915,4203,2156,6953,4627,2321,6947,4351,2588,8638,5193,3264,9766,5859,3718,9363,6072,3279,9981,5763,3945,9692,5821,3856,9535,5863,3660
37,37,14319,13094,393,186,545,144,7,0,0,14906,13267,602,286,496,143,0,0,0,14638,12833,625,292,584,266,21,14770,13299,511,408,327,75,0,365,320,13,0,112,15405,13954,568,124,574,148,0,11611,10794,254,107,388,93,6,0,0,12177,11207,335,314,220,105,0,239,206,20,0,0,0,12510,11173,401,198,483,196,18,12510,11173,401,100,404,70,10,329,12411,11498,210,451,188,75,0,0,0,0,0,13186,12278,196,50,537,155,0,25,334,34,0,12806,11947,206,125,463,145,0,29,303,5,0,7608,4296,3165,6955,3980,2975,7394,3636,3223,6068,3598,2462,6067,3490,2043,5290,4082,0,5873,3477,1982,5868,3764,2098,5820,3493,2322,7491,4312,3041,8501,4892,3469,8122,5163,2954,8320,4571,3527,7985,4681,3295,7824,4680,3138
38,38,13770,12771,353,282,205,245,10,0,0,12569,11967,209,210,145,110,0,0,0,13988,12387,578,314,278,378,22,12825,12240,114,199,240,176,0,51,196,0,0,229,12922,11847,441,249,227,164,0,10512,9917,203,136,127,153,7,0,0,9917,9648,65,83,49,35,0,83,49,0,0,35,0,11333,10220,397,221,194,252,16,11333,10220,397,94,150,84,3,353,10448,10170,0,24,147,70,0,0,0,0,0,10471,9939,195,125,116,101,0,125,104,12,0,10977,10391,188,154,181,144,5,68,171,4,5,6310,3578,2585,5840,3445,2395,6456,2771,3198,5210,2830,2367,5210,2546,2067,4625,3292,0,5056,2656,1933,5051,2969,2078,5027,2739,2281,6568,3339,3075,7500,3704,3607,7163,4066,3084,7569,3530,3871,7320,3718,3593,7183,3748,3426
39,39,14266,13563,274,178,113,194,6,0,0,14525,13684,153,289,193,77,90,0,0,14532,13297,369,161,216,248,17,14209,13294,262,250,255,84,66,71,199,25,66,250,15018,13771,515,470,92,289,0,11013,10550,173,116,74,134,2,0,0,11677,11186,100,159,95,48,88,82,70,27,88,0,0,11651,10791,232,112,157,184,7,11651,10791,232,61,115,50,2,347,11175,10617,203,149,97,35,64,0,0,0,0,11792,11042,282,271,51,86,0,95,28,2,0,11870,11004,333,202,24,276,0,97,24,84,0,7252,4022,3067,6781,3739,3042,7684,3146,3891,6223,3075,3139,6196,2559,2858,5520,3966,0,6073,2863,2576,6073,3408,2658,6077,3178,2895,7790,3778,3829,8810,4266,4333,8525,4638,3878,9016,4187,4568,8788,4295,4483,8661,4454,4198
