ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
19,19,42959,38712,1941,539,1269,558,112,0,0,48420,43029,2590,763,1645,739,124,0,0,52334,44273,3197,988,2126,1280,210,49395,43618,3167,743,1522,852,142,313,845,145,2,131,1179,52007,45468,2793,1082,2262,813,80,33624,30752,1344,300,819,431,79,0,0,37559,34390,1607,387,867,286,4,266,556,79,35,0,41603,35933,2262,606,1437,931,129,41603,35933,2262,370,924,136,49,209,1720,38379,34930,1974,295,752,301,4,0,0,0,0,0,41488,37500,1969,429,1170,334,0,279,759,63,0,42822,38313,2166,542,1180,496,4,306,659,125,4,24184,15628,8062,22827,14593,8234,25390,15668,6880,24504,15001,8766,26009,17442,8287,25054,15546,9510,25675,18717,6958,27634,17885,8909,32884,22231,9812,32740,21571,10327
20,20,33880,29881,2174,451,1081,356,152,0,0,49336,42674,3021,741,2718,344,291,0,0,52542,42993,4585,820,2423,1306,308,49834,42599,3946,891,2491,363,133,10,1141,35,0,92,2010,54371,45353,3906,1081,2859,680,119,21442,19297,1151,194,595,221,72,0,0,33052,29975,1778,90,986,85,0,90,683,54,137,0,36365,30400,2758,457,1547,859,185,36365,30400,2758,289,1051,129,82,158,1498,34273,30257,2634,125,1080,98,0,0,0,0,0,0,37328,33066,2522,335,1087,222,0,230,544,124,0,41315,35482,3501,510,1372,284,49,367,1065,65,49,13419,4545,8617,15349,4679,10670,18178,4878,10624,17330,4589,11786,17133,6439,10467,16547,5318,11221,16885,6685,10201,20329,6604,12800,26590,9393,16398,26456,9096,16374
21,21,43688,38640,3045,561,1008,595,142,0,0,50135,43061,3928,1498,1400,678,103,0,0,53066,42856,5690,1031,1754,1449,320,51236,43840,4264,1927,1277,703,18,1104,524,287,0,40,1178,55979,45928,5683,2536,1700,1149,85,30680,27807,1710,238,596,369,82,0,0,36930,32736,2256,752,839,315,25,462,545,130,20,0,39847,33137,3605,577,1215,1038,198,39847,33137,3605,347,823,179,98,156,1502,37727,33673,2260,824,558,404,0,0,0,0,0,0,40712,35309,2818,1143,951,387,10,894,560,164,10,44031,37759,3743,762,1202,316,83,632,544,97,83,19645,6658,12575,19115,6109,13006,20610,5234,12609,19622,5135,13232,18676,7132,11228,18081,5947,12142,18399,7356,11042,21637,6950,13663,26621,9134,16607,26418,9136,16215
22,22,35260,30624,2351,527,1220,504,317,0,0,44232,37371,3352,969,1768,742,251,0,0,53342,42727,4647,1390,2738,1436,410,48702,41822,3079,937,2271,679,368,675,1521,190,121,0,1294,50526,42838,3795,681,2163,703,282,24229,21454,1365,221,805,316,189,0,0,31036,27394,1900,368,755,434,155,335,617,115,2,0,38011,31306,2877,704,1754,1029,254,38011,31306,2877,478,1244,174,131,140,1661,34784,30531,1893,477,1371,408,110,0,0,0,0,0,36037,32237,2107,265,1014,355,25,106,702,157,25,39508,34158,3070,524,1309,383,41,269,899,92,41,15105,5496,9232,15693,5423,10270,18649,5344,10699,17808,5167,11587,17941,7307,10326,17258,6030,11228,17641,7505,10136,20908,7252,12703,27073,9876,16314,26885,9772,16059
23,23,43991,35180,6811,388,558,1218,145,0,0,48898,38947,7672,460,837,1147,468,0,0,53424,41209,8286,676,925,2048,231,49895,40312,7604,281,605,1172,336,156,251,583,224,48,716,54338,43814,8010,383,549,1728,322,30482,25050,4133,210,331,814,75,0,0,33781,28993,3343,250,209,832,71,168,31,566,115,0,39190,31136,5333,407,600,1445,131,39190,31136,5333,272,330,491,31,178,1419,33489,29181,2962,128,228,752,186,0,0,0,0,0,37612,32182,3721,173,319,1006,170,162,188,518,170,40665,34936,3817,285,433,1019,117,185,282,346,117,16083,4230,11360,17086,4230,12856,17573,3098,12587,16933,3125,12413,15527,4185,11016,15101,3507,11599,15286,4249,11046,18289,3966,13604,22890,4886,17352,22737,5201,16675
24,24,48155,37969,9127,177,342,733,102,0,0,50901,40299,9304,102,562,559,243,0,0,53121,39647,10948,356,481,1600,129,51465,39391,10680,219,628,705,201,75,292,202,39,12,777,53272,39077,12186,450,553,1540,139,34429,28466,5296,71,212,495,53,0,0,34232,30362,3048,62,339,362,20,48,172,192,35,0,38364,29894,6801,162,306,1086,68,38364,29894,6801,68,166,189,15,106,1125,34245,29772,3633,103,309,397,20,0,0,0,0,0,35327,29689,4546,161,268,638,0,60,102,290,0,36263,30270,4801,181,264,697,36,39,68,173,36,19450,5065,13762,18814,4452,14362,19078,3180,13759,19009,3492,13876,15855,3962,11494,15526,3283,12241,15662,4220,11444,18775,3804,14230,22624,4509,17526,22451,4838,16562
25,25,45655,37637,5862,441,1102,769,127,0,0,50164,38088,9006,746,1602,1054,70,0,0,53600,39504,9168,1297,1853,1636,314,51082,38873,8182,749,1788,1026,42,633,1434,290,9,187,1471,53973,41240,8377,643,1885,1006,76,33434,28473,3547,234,741,503,93,0,0,33093,27788,4119,184,395,524,35,109,306,277,40,0,39212,30162,5788,719,1215,1170,197,39212,30162,5788,516,895,257,117,108,1369,34335,29288,3757,189,556,537,10,0,0,0,0,0,38348,32146,4397,533,789,440,0,355,642,78,0,40150,33556,4921,290,888,408,51,209,612,128,51,15091,5232,9457,13950,4431,9519,16575,4093,10222,16471,4152,11073,13597,5049,8188,13252,4201,9052,13390,5243,8145,16735,5030,10785,20601,6287,13537,20303,6429,12723
26,26,48959,35235,12677,224,409,731,91,0,0,51453,34827,15271,308,625,712,174,0,0,53636,35422,15836,316,644,1603,161,52145,34970,15694,288,486,824,215,170,143,290,164,8,706,53925,34813,16613,370,406,1325,26,35109,26910,7516,99,284,469,50,0,0,31675,26970,3954,58,233,410,40,30,195,243,8,0,39718,28252,9812,160,446,1076,106,39718,28252,9812,67,259,119,28,131,1050,32565,27285,4367,83,247,519,44,0,0,0,0,0,34355,28085,5180,103,231,802,4,32,72,389,4,36478,29568,5813,201,342,539,5,121,139,80,5,19438,9286,9568,17994,8138,9856,19223,8105,9168,19247,7568,10756,17359,9126,7893,17028,8207,8821,17197,9287,7910,19632,9231,9803,23041,11226,11235,23026,11187,11047
27,27,47307,33910,12343,261,385,809,86,0,0,48780,33481,13945,107,338,968,77,0,0,50832,33727,15273,291,518,1320,158,49093,33312,14045,116,356,928,80,83,250,400,7,93,903,51057,34183,14892,135,397,1452,40,32544,24590,7278,110,249,521,36,0,0,30110,24335,4963,61,133,600,8,61,98,447,15,0,35655,24634,9774,166,329,933,75,35655,24634,9774,57,157,185,20,84,744,30795,24390,5555,60,141,621,8,0,0,0,0,0,32810,25230,6655,39,146,735,4,35,68,244,4,34090,25447,7496,115,201,762,4,98,87,337,4,17052,3343,13120,16937,2543,14394,17117,2387,12367,16974,2325,13204,12850,2489,9986,12712,2303,10409,12739,2743,9996,16292,2620,12966,20073,3263,16320,19923,3348,15533
28,28,47629,39755,4868,314,548,2369,150,0,0,49615,40643,5840,403,748,2328,148,0,0,51270,41069,5859,455,768,3056,302,49810,40779,6016,455,597,2237,121,72,340,1478,63,175,888,51252,41552,6465,345,409,2640,225,32146,27580,2764,119,321,1449,64,0,0,32616,28394,2353,214,200,1387,43,131,150,1251,32,0,35721,29381,3517,215,468,2014,172,35721,29381,3517,78,286,1298,60,110,991,32778,28542,2539,181,247,1269,54,0,0,0,0,0,34740,29851,2938,192,209,1427,95,60,135,1059,95,37377,31630,3703,207,310,1407,65,102,145,894,65,19831,5968,13225,20093,5030,15063,19934,4030,12215,20005,4389,14349,16191,4969,10750,15875,4664,11204,16019,5344,10678,19765,4967,13705,23851,5883,17225,23771,6101,16570
29,29,51336,44444,3765,803,1145,1452,248,0,0,52768,43757,4914,914,1475,2103,271,0,0,53264,42692,5642,1100,1448,2386,367,53345,43674,5036,950,1774,2133,342,441,1305,766,18,106,2002,53375,43414,5219,1078,1974,1711,229,38408,33883,2323,517,850,933,151,0,0,38683,33610,2937,393,551,1019,23,248,418,613,138,0,40417,33302,3604,729,1076,1633,221,40417,33302,3604,488,710,696,129,151,1337,39784,34136,3183,544,639,1093,8,0,0,0,0,0,39577,33898,3346,521,748,1005,64,398,410,534,64,40030,34204,3291,627,709,1046,125,460,289,564,125,20760,9641,10502,20126,8810,11316,19330,6957,8960,19459,7644,10544,16899,8936,7527,16511,8353,8166,16732,9108,7620,19536,8654,9702,22628,9778,11870,22443,10182,11107
30,30,48499,36890,7983,234,516,3444,97,0,0,48420,36244,8379,188,699,3598,432,0,0,50566,37273,8465,344,539,4335,152,48849,36618,8503,172,655,3609,251,92,187,2324,36,32,1057,50858,37789,8929,217,732,3467,340,32636,25778,4574,82,313,2131,53,0,0,32320,25920,3949,28,262,1982,19,18,109,1724,154,0,35237,26672,5328,173,335,2919,67,35237,26672,5328,76,159,2010,28,88,876,32725,26285,4014,18,266,2050,29,0,0,0,0,0,34315,27495,4215,104,324,2059,19,29,143,1754,19,35648,28818,4167,182,335,2031,13,49,136,1666,13,18681,4742,13286,18429,4010,14419,17855,3084,11821,17745,3182,13062,14281,3729,10125,13989,3400,10588,14111,3946,10166,17565,3668,12974,21411,4312,16497,21245,4535,15764
31,31,48300,42299,4914,250,325,659,112,0,0,50314,43538,5344,172,429,763,243,0,0,53043,45465,5429,313,513,1204,195,51163,44391,5288,178,408,845,236,43,165,417,80,16,763,53701,46002,5645,248,367,1557,182,32975,29566,2742,106,202,441,60,0,0,33720,31105,1773,26,223,533,29,16,90,375,59,0,37120,32365,3332,164,296,807,102,37120,32365,3332,62,148,190,50,125,848,34755,31850,1949,30,188,623,14,0,0,0,0,0,36965,33595,2364,55,191,652,0,28,75,352,0,39252,35363,2808,139,227,593,11,45,55,124,11,20984,3831,16483,20995,2998,17997,21568,2403,15740,21419,2643,16879,17181,3078,13588,16903,2753,14149,17016,3400,13617,21178,2971,17085,25941,3732,21503,25785,3710,20844
32,32,40710,34986,4463,359,546,487,83,0,0,46952,39151,5953,333,868,674,174,0,0,50982,41092,7058,479,1198,1134,181,47615,39843,6010,379,803,471,95,171,444,180,1,72,894,51361,41547,7330,496,1153,476,160,26749,23604,2447,145,330,291,37,0,0,30120,26765,2485,151,303,361,0,39,217,111,25,0,34472,28597,4058,242,760,695,102,34472,28597,4058,129,566,152,44,114,812,30703,27325,2543,148,342,257,0,0,0,0,0,0,33675,29394,3142,203,575,286,0,83,379,127,0,35567,30578,3722,152,688,309,48,71,469,72,48,15317,3639,11343,17810,3442,14368,18431,3352,11386,18107,3349,13436,14114,3863,9834,14050,3480,10564,13929,4268,9655,18144,4094,12888,22415,5470,16224,21981,5165,15826
33,33,48234,39618,6716,557,690,1001,101,0,0,48449,38239,7762,797,1012,955,84,0,0,51585,39711,8563,805,1005,1752,202,49691,38254,8533,858,1114,1175,283,252,497,440,132,107,1478,51813,40282,8555,750,1010,1399,298,34474,29442,3817,293,467,606,59,0,0,33520,28836,3261,342,481,522,15,233,358,207,51,0,37737,30327,5211,432,665,1125,114,37737,30327,5211,256,425,298,37,130,1053,34191,28963,3500,386,508,680,50,0,0,0,0,0,36503,30585,4148,351,499,704,20,171,306,336,20,37188,31289,4130,461,395,748,19,252,169,337,19,19210,6521,12194,16621,5272,11349,17887,4700,9714,17601,4801,11484,14629,5625,8531,14015,5023,8996,14387,6135,8256,17557,5717,10643,20858,7094,12872,20498,7062,12282
34,34,37536,34218,2218,237,580,249,150,0,0,39100,34525,2964,132,1112,274,575,0,0,52913,43985,5248,990,1511,838,467,39725,35023,3066,336,949,283,472,100,579,59,68,64,766,52487,45165,4382,761,1456,531,351,27788,25521,1475,146,428,184,114,0,0,27365,25155,1440,73,438,119,39,59,308,14,102,0,42141,35120,4078,821,1224,583,367,42141,35120,4078,648,878,133,188,123,973,27930,25595,1405,207,388,147,39,0,0,0,0,0,40455,35980,2790,353,719,314,50,269,584,140,50,41269,36229,3239,427,567,444,145,327,302,134,145,13081,1627,11131,14235,801,13434,15687,1201,8943,15416,1473,12824,8773,1520,6886,8581,1171,7410,8683,1749,6934,13695,1710,10512,17112,2666,13559,16941,2288,13517
35,35,42886,38981,3126,138,306,365,105,0,0,47887,43144,3943,187,321,473,197,0,0,50982,44862,4224,289,562,895,169,49480,44707,3821,50,327,588,193,28,80,151,6,46,635,51724,45924,4209,266,447,736,130,29923,27653,1806,63,168,246,53,0,0,32751,30490,1822,84,102,253,0,60,55,118,36,0,35613,31841,2523,162,325,623,84,35613,31841,2523,54,173,136,22,82,782,34119,31899,1592,28,132,368,0,0,0,0,0,0,35895,33342,1916,101,147,315,0,4,70,95,0,37363,34538,2025,198,129,355,1,61,54,91,1,20887,5424,14722,19999,4239,15760,21249,4001,13817,21167,4484,15312,17760,5102,12173,16907,4674,12238,17538,5480,12060,21366,5092,15273,26612,6332,19584,26224,6384,18715
