ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
35,35,84070,61743,7301,6261,1432,8382,106,0,0,84296,59561,8658,6914,1904,8460,256,0,0,83817,54022,10314,7303,2095,11541,212,84565,59707,9235,6937,1932,8043,215,5161,1300,3844,76,5184,86655,61203,9117,6926,2180,8338,268,67063,51998,4515,3960,1032,6009,73,0,0,64272,49821,3608,3965,949,5952,4,3468,764,3234,4,153,0,67624,46719,6604,4893,1542,8442,132,67624,46719,6604,3796,1131,3348,48,5764,64467,50160,3810,3833,1022,5552,4,0,0,0,0,66998,52132,3857,4005,1300,5543,35,3543,955,2888,35,65206,49029,4418,4522,1755,5419,44,3867,1275,2476,44,42836,19218,23378,43429,19083,24346,39497,18812,17761,39268,15096,20450,33887,20409,12594,33346,17606,15740,29622,0,19213,33579,16773,15597,29692,0,16916,37143,18994,16558,38896,21128,16627,38795,20959,16264
36,36,65372,41597,9659,5644,3080,6378,110,0,0,76355,44971,14345,5933,4009,8749,151,0,0,82314,43623,16840,8007,4465,11116,164,78724,46415,14760,6509,3524,8879,201,4904,2783,4364,45,5266,80781,46002,15414,7666,4152,8868,173,46664,31879,5826,3379,2019,3999,69,0,0,49526,34622,4153,3430,2054,5261,24,3011,1853,2785,24,116,0,59869,34839,10349,5085,3101,7127,90,59869,34839,10349,4023,2678,2873,39,4891,52078,36572,4453,3755,1743,5491,45,0,0,0,0,53224,36493,4649,4368,2181,5371,32,3851,2094,2966,32,55723,37351,5548,4796,2456,5467,52,4095,2275,2801,52,24192,7392,16687,24182,6867,17315,26788,7455,17753,26649,6216,18484,21960,8631,12674,21731,7310,14421,20304,0,15428,21848,6966,14211,20262,0,14705,26252,8350,16878,30275,10216,19318,30218,10278,18588
37,37,72002,50077,5509,6626,2063,8762,128,0,0,79904,51328,7026,7540,5130,10037,378,0,0,83490,48588,7817,8711,6583,12921,409,80035,49494,6979,7788,5903,11127,461,5792,5623,4654,243,7107,83350,51202,8078,8454,6387,11187,490,53202,39234,3285,4126,1391,5580,87,0,0,54270,39788,2494,4159,1141,6730,54,3622,1061,3135,54,191,0,62509,39477,5035,5680,4001,8576,253,62509,39477,5035,4622,3626,3849,177,5523,54328,39187,2647,4141,1214,7269,58,0,0,0,0,57581,40769,3574,4743,1823,6987,38,3757,1640,2935,38,58135,39889,4044,4962,2357,7168,62,3939,1963,2983,62,28402,9596,18645,24278,8065,16213,27632,8460,17388,27553,7018,18270,22138,9480,11983,21825,8106,13719,20293,0,15075,21966,7553,13694,20197,0,14114,26659,9148,16361,30418,10802,18778,30417,10914,18011
38,38,86793,64051,13081,5491,883,4201,147,0,0,83425,58733,14894,5532,698,4751,105,0,0,81575,55757,13882,5747,1040,6234,242,82350,57521,15027,5528,954,4766,126,4128,493,1803,25,3296,81490,55850,15523,6290,956,5007,112,65377,50384,8228,3752,607,2753,91,0,0,60915,45975,8078,3682,339,2943,23,3378,278,1349,23,47,0,61755,44415,8760,4036,719,4154,158,61755,44415,8760,3356,450,1742,60,2870,60325,45215,8364,3560,380,2860,29,0,0,0,0,60065,44035,8861,3847,399,2942,38,3373,301,1279,38,59828,44174,8487,3696,553,3057,21,3135,436,1100,21,32290,8108,23252,27597,6551,21046,29061,4993,22868,28902,4342,23114,23020,6782,15364,22729,5344,17385,21771,0,18220,22812,5211,16846,21789,0,18073,26864,5173,20984,29987,5093,24346,29902,5145,23644
39,39,78345,55314,7321,8639,2347,5772,104,0,0,79713,54089,6888,10139,2979,6894,298,0,0,81973,50295,8660,11413,3365,9488,189,79075,52622,7715,9703,3218,6901,195,7819,2651,2738,70,5243,82728,53640,8250,10785,3158,8331,186,61418,45851,4757,5640,1640,3983,77,0,0,59433,44512,2647,6542,1304,4458,175,5861,1151,2128,175,134,0,64603,42464,5682,7898,2402,6625,107,64603,42464,5682,6620,1966,2488,54,5069,58672,43570,2960,6164,1579,4410,74,0,0,0,0,61329,44571,3493,6818,1454,5250,32,5829,1191,2208,32,60853,43590,3824,6463,1799,5461,28,5391,1433,2152,28,38291,12946,25214,32845,11379,21466,34880,12571,20139,34913,9910,22448,29775,13947,15143,29327,11525,17802,26967,0,20101,29552,10988,17791,26895,0,18615,33256,12945,19051,35547,15043,19577,35408,14679,19234
40,40,78626,54012,6101,11176,4027,4441,171,0,0,82806,52972,8667,12593,5320,4613,142,0,0,82302,49116,8756,13939,5241,6804,219,82775,52701,8962,12719,5079,4907,137,10293,4107,1656,9,4862,82809,52174,8827,12745,4335,5805,241,62240,45825,3820,7010,2960,3098,104,0,0,61756,44401,3608,7930,2826,3172,42,7153,2416,1536,42,118,0,66200,42720,5847,9339,3894,4933,132,66200,42720,5847,8006,3317,1415,46,4596,62408,44561,3908,7835,2826,3477,10,0,0,0,0,62705,45239,3796,7737,2275,3810,20,6624,2037,1363,20,62575,43645,4405,8043,2239,4358,30,7023,1988,1341,30,37905,15616,22140,33466,13657,19809,34927,15266,16885,35026,11780,19923,31220,17936,12363,30808,14828,15980,27536,0,18864,30961,14646,14971,27745,0,16864,33956,16174,16283,36040,18717,16359,35976,18434,16153
41,41,71102,57947,2952,4415,2857,3394,125,0,0,80689,63006,4455,4779,4278,5177,100,0,0,83200,62007,4907,6001,4188,6654,201,82212,64778,4627,4924,4091,4848,127,3754,2507,1389,30,5015,83693,65121,4458,6003,4384,5039,213,54118,45208,1846,2941,2000,2290,94,0,0,57981,47911,2108,3046,1485,3371,20,2622,1127,1195,20,245,0,63291,48947,3135,3963,2904,4453,124,63291,48947,3135,3209,2252,1297,50,4212,59053,49255,1945,2842,1687,3156,30,0,0,0,0,61045,50330,2119,3481,1946,3102,8,2946,1571,1030,8,62119,50881,2208,3775,2067,3191,29,3148,1692,740,29,34802,9825,24863,34143,8896,25247,33754,9680,21416,34068,6958,24610,30300,13099,16454,29814,9604,20210,27852,0,22023,30004,9579,19508,27854,0,20488,33356,10591,21440,36066,12145,22960,36219,12003,22921
42,42,76392,54272,4204,11063,2240,5775,276,0,0,81924,55736,4694,14527,2057,6282,156,0,0,82697,50972,6695,14516,2818,9264,317,83846,56121,5166,15048,2499,6279,178,12430,1434,2698,50,5724,84058,55378,6198,14807,2826,6371,222,57398,42827,2570,7119,1583,3762,173,0,0,61294,44097,2745,9779,1053,3607,54,9226,897,1949,54,189,0,62866,41430,4120,9627,1996,6120,212,62866,41430,4120,8147,1368,2263,101,5165,62106,44650,2879,9785,1292,3406,45,0,0,0,0,61921,44035,3291,9480,1571,3406,36,8606,1243,1503,36,61824,43743,3524,8645,1685,3988,18,7558,1275,1488,18,33304,11724,21450,30464,10851,19613,33764,10496,20980,33787,8246,22617,27857,12814,13823,27568,10941,16627,25373,0,18111,27699,10792,15814,25380,0,16913,32979,11878,19564,37495,14428,22038,37509,14384,21317
43,43,77226,62441,5195,2023,490,7657,67,0,0,81323,64176,6463,2265,532,8660,122,0,0,83114,61416,7318,2629,766,11425,137,82409,64140,6981,2349,420,9264,179,1534,192,4810,51,4644,84590,64670,7540,2869,592,9509,144,58004,48544,3004,1409,299,4953,37,0,0,60205,49905,2753,1370,215,5855,55,1252,120,3488,55,67,0,62798,48514,4435,1772,456,7481,82,62798,48514,4435,1308,294,3387,38,4647,60990,49803,3222,1431,144,6320,36,0,0,0,0,62733,50548,3530,1853,296,6473,25,1409,211,3291,25,65369,51990,4184,2216,464,6610,30,1521,269,2946,30,31089,7711,23003,28824,6722,22102,32224,5613,25192,32176,4801,25367,25615,7932,16775,25358,6338,19020,24220,0,20154,25480,6093,18551,24179,0,19624,30939,6297,23674,35432,6330,28466,35331,6708,27311
44,44,79978,30111,38602,5586,1508,6444,153,0,0,85294,25975,47749,6850,1240,6347,339,0,0,83444,21332,48555,7235,2037,7685,224,85554,27236,46120,7259,1668,6250,239,5176,1222,2214,45,3426,82519,24791,44888,7768,1904,6553,409,54856,25023,22370,3212,1083,4094,89,0,0,41410,21973,12136,3355,769,3265,50,2934,698,1977,50,123,0,58183,18425,30100,4656,1466,5244,144,58183,18425,30100,3722,1264,2103,84,2338,43458,23419,12328,4098,825,2959,45,0,0,0,0,43447,21568,13276,4658,1213,2568,135,4200,1133,1737,135,44190,18907,16522,5142,1233,2250,114,4420,1128,1409,114,16251,6962,9132,13008,6358,6650,15397,7109,7262,15255,5718,7916,11176,6244,4435,11103,5901,5202,9917,0,5949,11136,5702,4909,9963,0,5570,14293,7145,6478,16593,9082,7138,16482,8782,6921
