ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
88,88,21825,12729,1837,3817,3323,413,67,0,0,23754,11930,3175,4269,4512,431,0,0,0,23527,11451,2893,4604,4203,811,85,23654,12077,3568,3711,4413,475,82,2792,3871,85,0,15,1250,23801,11789,3610,3918,4622,757,142,16368,10310,1144,2465,2288,289,45,0,0,16401,9647,1198,2465,2815,235,0,2280,2685,99,35,0,17958,9540,1862,3107,3026,606,62,17958,9540,1862,2624,2827,111,34,57,903,16803,9735,1518,2253,3188,151,0,0,0,0,0,0,17886,10103,1728,2582,3243,257,0,2192,2914,71,0,17822,10446,1395,2462,3197,345,0,2032,2938,87,0,8318,3998,4178,7815,3483,4135,7831,3372,3715,7640,3071,4065,6865,3768,2511,6789,3392,3397,6776,3650,2898,6723,3470,3253,8039,3877,3746,9571,4843,4500,9501,4810,4284,7485,3732,3474,6036,2710,3137,6080,3371,2532,5993,3286,2707,5986,2800,3028,6009,3055,2759,6246,2953,3293,7722,3925,3621,9199,4551,4510
89,89,23427,10745,1340,9320,1945,506,47,0,0,22558,9285,2671,8536,2315,380,3,0,0,24153,10736,2523,8451,2086,867,57,22137,9304,3094,7546,2498,386,0,6474,2134,55,0,60,1015,23230,10580,2954,7735,2233,434,0,17640,8755,836,6466,1450,341,25,0,0,15104,7239,1263,5721,693,268,0,5372,682,53,21,0,19043,9076,1709,6180,1685,622,32,19043,9076,1709,5686,1523,134,10,88,817,15091,7571,1553,5165,620,204,0,0,0,0,0,0,16784,9083,1613,5154,665,244,0,4911,560,42,0,18294,10659,1683,4610,870,455,27,4219,688,119,27,10182,6346,3674,8976,5481,3322,8699,5069,2891,8432,4521,3474,7727,5068,2064,7594,4689,2905,7640,4987,2433,7564,4757,2807,8675,5320,2978,9905,6346,3366,9859,6219,3249,8009,5015,2745,6563,3724,2678,6627,4402,2084,6553,4333,2220,6503,3812,2529,6541,4137,2235,6573,3933,2640,8069,5077,2832,8997,5468,3379
90,90,18529,16601,1000,318,298,373,29,0,0,21781,19293,1137,579,364,448,8,0,0,23547,19512,1834,708,597,919,47,22579,19749,1129,711,558,436,7,190,502,83,0,6,921,23988,19954,2237,933,724,355,0,12579,11564,494,131,181,220,10,0,0,14975,13834,346,245,232,306,0,143,208,114,10,0,16704,14314,1003,372,391,606,26,16704,14314,1003,241,293,121,6,54,672,15217,13947,503,240,232,298,0,0,0,0,0,0,16865,14968,1002,445,300,169,0,157,264,23,0,16974,15190,951,414,208,265,0,149,186,31,0,8062,2278,5614,8251,1977,6065,9617,2197,6609,9396,1912,6915,8696,3146,4614,8545,2392,6153,8529,2786,5413,8439,2482,5957,10043,2778,6751,12037,3428,8353,11965,3558,7884,10035,3050,6652,8855,2248,6353,8920,3391,5253,8774,3293,5481,8733,2349,6159,8737,2838,5637,8836,2534,6302,10530,3281,7016,12608,3646,8750
91,91,20791,16944,2003,891,606,532,44,0,0,23987,18655,2517,1094,1357,683,10,0,0,24248,18481,2680,1242,919,1055,45,23538,18512,2208,1153,1323,383,15,615,1019,168,0,4,1016,23953,19194,2050,1568,801,483,18,14992,12781,1093,469,373,322,25,0,0,16872,14331,1128,538,541,333,0,418,421,212,3,0,18008,14451,1539,736,597,684,25,18008,14451,1539,578,484,160,6,44,746,16590,14400,748,670,462,289,0,0,0,0,0,0,16802,14628,693,777,324,210,0,461,240,64,0,18102,15190,917,977,593,331,0,684,508,47,0,8920,3090,5650,8927,2760,5919,9925,2857,6145,9733,2542,6593,8993,3727,4370,8827,2961,5866,8844,3405,5114,8759,3064,5695,10353,3446,6351,12372,4307,7777,12319,4369,7354,10365,3762,6253,9270,2906,6126,9313,4111,4968,9158,3977,5181,9147,2992,5942,9164,3553,5320,9265,3197,6068,10872,4066,6572,12960,4676,8081
92,92,24565,16161,6313,1411,466,706,48,0,0,23956,14783,6972,1228,522,963,0,0,0,23647,14106,6670,1561,519,1196,52,24022,14666,7131,1241,630,692,0,994,578,254,0,3,389,24712,14314,7073,2221,747,724,27,18781,13628,3690,860,328,456,30,0,0,17319,12877,2804,904,342,414,0,825,325,176,0,0,18641,12226,4307,1006,372,867,44,18641,12226,4307,759,257,161,8,67,856,17654,12942,2921,910,447,408,0,0,0,0,0,0,18473,12937,3079,1533,521,410,0,1328,446,161,0,18275,12426,3542,1560,428,312,0,1371,348,51,0,10040,5027,4793,9170,4523,4326,9315,4465,3921,9049,4063,4341,8249,5122,2507,8068,4504,3564,8098,4864,2934,7996,4651,3345,9196,4934,3783,10233,5699,4271,10173,5707,3967,8500,4802,3391,7188,3758,3164,7250,4600,2436,7139,4556,2583,7124,3871,3052,7144,4289,2599,7193,4059,3134,8539,4952,3375,9389,5367,3873
93,93,21481,19856,779,225,232,443,20,0,0,22762,20158,1240,481,559,361,351,0,0,22688,19510,1290,403,431,1033,43,23005,20331,1120,559,544,508,366,199,18,182,0,19,1132,22424,19068,1615,141,906,619,582,15353,14479,385,82,145,291,7,0,0,15548,14458,503,110,88,185,0,62,63,52,204,0,16488,14642,649,181,259,663,21,16488,14642,649,84,154,131,6,38,784,16065,14906,382,129,99,340,0,0,0,0,0,0,15832,14292,614,57,228,354,49,47,104,117,49,16430,14725,821,104,306,388,52,96,178,159,52,8912,2655,6024,8848,2330,6271,9736,2075,6864,9539,1927,6969,8378,2858,4596,8246,2268,5978,8260,2703,5276,8174,2359,5815,9728,2474,6751,11323,2796,8275,11238,2977,7688,9527,2584,6604,8301,1804,6271,8350,2891,5108,8218,2690,5528,8207,1918,6063,8209,2346,5601,8292,2060,6232,9863,2718,6922,11802,2908,8702
94,94,22150,19116,1479,639,674,346,19,0,0,23093,19576,1895,665,689,351,71,0,0,23075,18639,2159,745,734,851,40,22571,18718,1981,758,1020,267,66,519,634,0,38,38,645,23039,18833,1681,1263,753,405,58,15975,14194,862,337,423,202,11,0,0,16848,14787,1061,356,421,165,35,311,339,46,50,0,17401,14480,1352,428,502,594,29,17401,14480,1352,285,390,99,13,40,742,16473,14325,1130,396,465,94,40,0,0,0,0,0,16952,14726,1055,493,419,206,10,348,316,40,10,16661,14579,942,549,432,167,0,376,398,49,0,11003,3662,7194,10763,3154,7347,11360,3322,7047,11183,2922,7662,9993,4134,4850,9795,3258,6537,9818,3784,5715,9716,3404,6312,11397,3846,6985,13022,4638,8090,12974,4726,7758,10861,3980,6511,9288,2975,6103,9350,4177,4925,9203,4045,5158,9187,3189,5816,9189,3555,5349,9279,3266,6013,11044,4196,6623,12502,4598,7727
95,95,23924,16511,4405,1977,510,919,47,0,0,24123,15105,5614,2423,469,987,28,0,0,23956,14153,5707,2415,649,1535,67,24366,14801,5915,2354,726,1050,19,1603,569,210,13,0,1248,23252,14849,4631,2227,987,884,26,18046,13539,2562,1114,362,631,27,0,0,17164,12485,2405,1432,311,541,20,1208,273,176,61,0,18459,11902,3638,1486,461,1138,55,18459,11902,3638,1175,357,273,21,104,989,17288,12386,2235,1473,635,503,15,0,0,0,0,0,16894,12593,1790,1374,666,463,10,1214,605,166,10,16588,11448,2566,1534,714,328,0,1286,649,54,0,6907,3279,3425,6365,3024,3060,6159,2592,2923,5916,2386,3015,5129,2729,1798,5040,2618,2422,5047,2752,2055,4987,2619,2368,6054,2873,2788,7182,3563,3408,7090,3523,3019,5561,2775,2549,4418,2026,2191,4451,2539,1715,4378,2453,1925,4361,2101,2112,4390,2317,1897,4428,2174,2254,5630,2864,2582,6406,3159,3109
96,96,22824,15292,3457,2462,1114,950,53,0,0,21027,14033,3702,2036,1133,742,35,0,0,22823,13339,4552,2834,1018,1568,40,21377,13642,4704,2279,1296,547,32,1300,845,71,0,1,806,21821,12756,4373,2776,1930,1034,24,16521,12214,1899,1253,718,568,30,0,0,14517,11042,1594,1055,541,241,0,967,425,97,48,0,16681,10748,2736,1555,735,1051,31,16681,10748,2736,1207,643,249,13,73,1012,14804,10762,2162,1253,424,177,0,0,0,0,0,0,14924,10216,1949,1513,765,299,0,1095,707,27,0,15906,10314,2466,1772,773,324,0,1211,753,16,0,6881,3256,3460,6365,2916,3210,6246,2417,3225,6039,2333,3223,4975,2441,1917,4888,2387,2501,4870,2525,2113,4842,2432,2410,5993,2622,2977,6993,3090,3678,6892,3133,3282,5286,2411,2656,4024,1686,2205,4047,2153,1695,3978,2064,1914,3967,1758,2061,3980,1929,1892,4019,1816,2203,5289,2475,2666,6067,2753,3214
97,97,22204,16667,2474,1347,1427,556,33,0,0,23204,17123,2432,2193,1223,593,51,0,0,23588,15536,3774,1789,1673,1136,76,22406,16492,2392,1942,1208,559,80,1327,1017,162,4,9,1011,24094,16056,4194,2461,879,695,13,15873,12648,1349,671,934,370,20,0,0,16587,13308,1178,1128,616,343,0,868,587,110,117,0,17104,11990,2250,991,1203,762,42,17104,11990,2250,740,1097,159,19,51,798,16279,12552,1367,1139,775,343,4,0,0,0,0,0,16761,12303,2141,1436,493,389,4,1062,491,119,4,17464,12707,2030,1421,906,366,0,1204,800,56,0,8003,3148,4687,7512,2678,4589,7916,2343,4797,7744,2315,4848,6756,2853,3086,6627,2597,4030,6631,2833,3538,6558,2621,3937,7937,2873,4585,9402,3579,5575,9328,3668,5113,7451,2878,4270,6075,2078,3795,6118,2849,3032,6024,2721,3303,6005,2181,3658,6008,2423,3371,6062,2288,3774,7661,3060,4388,9037,3440,5437
