ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
43,43,84272,70926,6112,1460,5407,806,185,0,0,90020,73610,7684,1566,6792,1073,243,0,0,88119,68539,7986,1927,7620,1782,251,88172,68578,7994,1933,7782,1685,243,91776,74184,8178,1733,7183,1079,298,942,5588,221,54,44,2570,87334,69859,8258,1824,6723,1058,241,58212,49901,3740,845,3394,496,92,0,0,64093,54599,4802,882,3080,505,30,709,2593,174,195,0,66210,52997,5302,1258,5131,1221,155,66210,52997,5302,750,4264,144,40,303,2410,65851,55968,4919,1042,3178,500,55,0,0,0,0,0,64516,54316,5145,977,3533,363,17,734,3075,89,17,65697,54816,5924,844,3596,332,30,577,2978,69,30,46084,20393,25258,48600,19984,28616,51742,21969,25258,51589,22167,27312,48023,22346,24344,47348,20231,25891,52697,24303,26508,58756,30532,26884,58847,28593,29364,53561,25607,26582,57050,29818,25835,55540,30539,22939
44,44,66699,56781,5217,1398,2955,664,162,0,0,80177,64166,7840,2274,5396,927,249,0,0,90460,68179,9065,2778,8454,2084,362,90502,68210,9071,2830,8475,2016,350,86287,68390,8872,2088,6178,1005,225,1493,4867,250,0,377,2036,91562,70129,9694,2336,7873,1598,161,45694,39746,3066,820,1778,422,91,0,0,54873,46418,4943,1224,1855,285,55,1058,1537,91,125,0,65619,51095,5819,1774,5445,1396,214,65619,51095,5819,1193,4516,154,63,264,2515,59287,49321,6000,1212,2386,301,0,0,0,0,0,0,64452,52652,6461,1436,3240,482,16,1178,2658,126,16,66766,53078,6802,1999,3997,510,39,1611,3344,94,39,33252,13734,19051,36470,13590,22880,43214,15354,23845,42785,15767,24763,40831,16397,22875,40253,14992,23949,46036,18294,25834,54772,24415,28843,54656,22790,30814,48229,19847,26904,56460,24741,30230,54655,25356,26921
45,45,62869,54078,5542,1130,1692,809,164,0,0,78104,66651,7379,1098,2398,650,470,0,0,89205,71172,9679,2285,3583,2294,407,89251,71205,9686,2378,3609,2154,388,80440,67279,8210,1181,2768,800,454,518,1619,284,107,227,2208,90130,73731,9153,2025,3658,1133,352,43367,38228,3219,614,969,479,93,0,0,55099,48778,4151,500,1136,417,74,370,900,147,128,0,65002,53436,6082,1395,2263,1587,264,65002,53436,6082,838,1478,194,82,275,2617,56351,49361,4253,584,1358,570,99,0,0,0,0,0,64337,55382,5395,959,1821,493,90,542,1356,131,90,71586,59807,6834,1183,2517,505,119,577,1826,106,119,32669,12451,19716,36704,12554,24150,43625,13951,25595,43189,14493,26578,41080,14895,24598,40647,13719,25620,46860,16773,28179,56478,22641,32370,56401,20985,34251,49815,18603,29718,61354,24850,34959,59613,25417,31513
46,46,86786,49336,33380,2367,1183,2780,195,0,0,91866,49264,38177,2864,1952,4885,323,0,0,91192,47952,36232,3263,1676,4901,279,90688,47635,36164,3108,1641,4350,265,92255,49148,38416,3126,1547,4490,353,1578,767,511,76,68,1677,89759,47299,37271,3103,1542,4187,287,67397,41214,23102,1590,838,1978,116,0,0,71097,41494,26425,1398,720,841,84,1136,547,468,147,0,72507,40853,26176,2217,1238,3691,192,72507,40853,26176,1456,803,546,65,439,2169,72052,41895,26766,1617,674,869,74,0,0,0,0,0,70347,40469,26360,1676,796,954,15,1498,579,401,15,70245,40685,25544,1980,853,1060,28,1675,522,396,28,41666,23458,17471,42351,24262,18089,44500,20727,20157,44068,23487,18242,37941,19625,16542,37613,19054,17225,43706,22142,19673,49599,25280,23074,49086,24765,22966,44099,22468,20190,47078,22758,23158,46414,24141,20793
47,47,91889,57637,30030,2217,950,2895,149,0,0,89664,54508,30818,1857,1122,3030,99,0,0,91699,54548,30410,2524,1306,4935,274,88092,52940,29232,1769,1345,4577,267,91039,53570,32131,1921,1480,3702,234,1324,619,1002,60,358,1988,92651,53467,33122,2048,1766,4867,108,70372,46408,20576,1749,635,2099,101,0,0,67519,44547,19996,1265,375,1287,22,1034,239,675,61,0,72247,45410,21547,1823,892,3722,178,72247,45410,21547,1374,534,757,47,366,2212,68715,43843,21193,1329,505,1709,38,0,0,0,0,0,70697,44512,22555,1332,566,1694,38,1125,490,791,38,70722,45469,21502,1297,711,1632,50,1024,518,566,50,39234,16443,21594,38545,16146,22399,41357,12876,25564,41105,16534,22715,36434,13420,21176,36076,12904,21886,41260,14641,25062,47406,16636,29696,46900,16278,29433,41873,15044,25609,46389,15602,29697,45257,16713,26900
48,48,75413,44814,27258,1206,1264,2012,170,0,0,88720,52097,31803,1900,1975,2133,350,0,0,88625,47747,34790,1747,2095,3756,301,88866,47855,34906,1718,2061,3452,281,91078,52351,33050,2381,2112,2475,205,1564,1315,320,66,18,2400,90843,49141,35764,2625,2092,3339,459,53985,34517,17046,736,840,1485,110,0,0,60718,40818,16764,987,1042,815,140,875,902,307,94,0,65489,38106,23036,1076,1426,2649,199,65489,38106,23036,673,977,321,71,309,1996,63435,41950,18156,1290,1017,1108,35,0,0,0,0,0,63224,40030,19822,1219,1028,1085,70,1019,752,197,70,64959,41519,19846,1393,1136,1066,80,1095,732,257,80,28593,13165,14699,29682,13609,16073,36736,12857,20847,35938,14333,19570,33609,12580,19309,33042,12129,19523,37791,14241,21811,43923,17062,25655,43831,16660,26031,39220,14817,23046,45959,16348,28471,44571,16372,26907
49,49,83894,76344,4297,668,1814,1066,95,0,0,85081,75818,4745,1080,2409,1508,187,0,0,86467,74406,5461,953,2779,2100,196,86540,74468,5465,980,2784,2082,191,86916,76873,5082,1075,2426,1754,80,464,1520,672,52,50,2199,84511,73195,5900,1199,2343,1863,68,68603,63565,2839,417,1150,791,64,0,0,69405,63830,2937,410,1149,758,72,303,870,369,215,0,72310,63517,3886,638,1873,1627,138,72310,63517,3886,296,1279,222,31,380,2699,70828,64986,3061,520,1235,967,51,0,0,0,0,0,68710,62121,3573,598,1287,1077,54,488,798,445,54,69304,63291,3115,460,1321,1011,52,320,731,365,52,56272,36715,18382,56082,35588,20494,59723,35275,20081,59463,34769,20628,56232,36182,18376,55557,35016,18987,59719,37346,20096,64592,42170,20946,63639,40727,21828,59803,38053,19955,61363,39960,19694,59668,39028,19147
50,50,78390,38942,35771,1864,1369,1892,226,0,0,87712,40815,40696,3244,2314,2334,382,0,0,87453,36613,43092,3541,2577,3814,358,87912,36744,43377,3549,2451,3097,307,89083,41176,41917,3498,1928,1940,420,2580,1201,168,100,90,1848,86694,37490,42933,3728,2219,2291,224,57012,32323,21946,1295,995,1276,160,0,0,56504,33882,19248,1382,796,797,28,1231,589,416,326,0,64492,30474,28438,2380,1753,2751,223,64492,30474,28438,1773,1280,379,83,237,1828,57860,34436,20226,1408,711,604,40,0,0,0,0,0,56309,31905,20922,1780,900,557,33,1562,601,205,33,57299,31728,22018,1747,971,474,72,1404,614,157,72,23583,13068,10008,24230,13952,10278,27671,12797,12004,27321,14017,11387,23114,11313,10377,22748,11125,10541,26666,13215,11937,29665,15103,13556,29502,14828,13772,26597,13194,12236,27391,12820,13726,26706,12951,12839
51,51,77876,66278,8891,757,1233,1277,125,0,0,89545,75447,10630,863,2041,1457,225,0,0,87678,69983,11328,1560,1811,3019,245,87862,70111,11366,1703,1939,2743,217,94563,80553,10354,1341,1795,1508,204,603,989,362,16,60,1622,88401,73496,11061,1545,1542,1473,93,59431,52401,5304,366,793,840,73,0,0,69636,61269,6402,354,1078,384,39,297,749,173,99,0,70383,58256,7500,950,1303,2208,178,70383,58256,7500,498,808,335,61,361,2564,72488,65149,5600,429,777,395,18,0,0,0,0,0,69009,61233,5954,562,764,362,23,351,572,114,23,70712,60168,7574,1011,1185,536,98,679,886,101,98,41060,18740,21523,44125,19647,24478,48907,18028,26133,48611,19848,25881,44306,19574,22823,43700,18316,23785,49237,20982,25947,56066,26067,28311,54037,24041,28696,50529,22604,26126,56768,27772,27337,55185,28102,24508
52,52,78014,65590,7382,1177,3329,1033,166,0,0,89015,71489,10602,2231,4438,1686,207,0,0,90658,70707,10391,2079,4901,2405,286,90787,70799,10420,2098,5032,2206,257,88261,68985,11890,2229,4708,1579,229,1024,3126,287,104,235,2616,88976,68330,11981,2452,4889,1780,339,58970,50819,4818,675,2198,714,105,0,0,66180,56436,6088,1001,1943,641,12,731,1508,317,96,0,71128,57148,7095,1398,3467,1682,205,71128,57148,7095,805,2666,285,46,324,2759,66296,55489,6821,894,2247,582,107,0,0,0,0,0,67264,56197,6899,993,2166,654,162,703,1573,171,162,68658,56926,7379,1060,2376,660,147,724,1702,176,147,43390,24116,18619,45776,24930,20846,50249,26378,18749,49814,26735,20276,46359,27898,17105,45603,25896,18344,50823,29469,19127,57609,36400,19480,55515,33454,20843,51761,31114,18978,55699,36300,17757,53786,34764,17502
53,53,78131,63714,9294,1649,2705,1456,212,0,0,87249,69088,10898,2439,3931,1693,255,0,0,90252,67699,13091,2616,4286,2863,335,90449,67822,13138,2712,4298,2603,306,88652,69653,11504,2747,3727,1705,287,1348,2388,792,109,287,2569,90765,71484,11405,2526,4094,1689,303,65725,55329,6401,1175,2158,1027,165,0,0,70012,58916,6503,1473,1840,1051,120,1022,1215,717,108,0,76701,59243,9800,1926,3624,2183,242,76701,59243,9800,1160,2507,372,70,354,3195,71883,59927,7255,1553,1762,1216,84,0,0,0,0,0,75226,62798,7589,1637,2000,978,50,1030,1280,425,50,76640,63813,7872,1559,2287,820,48,1055,1342,221,48,42172,28431,12911,44216,29872,14344,47400,29439,12539,46264,29020,13453,41195,29813,10006,40501,28371,10744,45156,30871,11837,49020,35531,11783,46872,33105,12512,45028,31680,11575,46986,34321,11156,44822,32722,10450
