ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
37,37,33575,24044,541,8640,181,231,17,0,0,32233,21666,594,8674,98,1386,22,0,0,30593,20668,665,8469,229,562,32,31644,20957,864,8261,155,1441,15,7914,155,89,0,11,1654,31167,20445,1059,8364,40,1247,25,25161,18736,329,5818,131,189,11,0,0,24222,16943,208,6046,16,1038,0,5952,16,82,23,0,23354,16399,399,5928,151,450,21,23354,16399,399,5741,123,54,0,37,601,23335,16510,160,5693,42,1067,0,0,0,0,0,0,23187,16168,338,5852,15,869,10,5827,0,118,10,22535,15978,362,5309,19,910,4,5208,8,70,4,12837,4836,7650,11574,4426,7148,11849,3892,7525,11431,3784,7288,9556,2839,6432,9562,3121,6242,9557,2900,6460,10901,3352,7306,11945,3545,8034,11418,3103,8315
38,38,28692,24730,635,2808,337,231,35,0,0,31270,25371,1236,3270,482,1052,0,0,0,31048,24404,1127,4067,650,740,46,33913,27206,1195,3853,663,1169,0,3201,648,61,0,28,1578,32416,26472,914,3470,719,883,3,21824,19244,388,1819,228,165,28,0,0,23344,19861,596,2044,164,715,0,1924,153,25,35,0,23886,19269,714,2783,473,558,34,23886,19269,714,2591,410,84,19,37,762,24807,20733,612,2338,242,851,0,0,0,0,0,0,24340,20485,485,2346,244,557,4,2267,241,135,4,23633,19984,516,2468,165,355,22,2336,164,94,22,8754,2927,5496,10235,3147,7088,11523,3005,7882,11326,3057,7883,8629,2042,6197,8623,2414,6008,8607,2188,6173,10614,2757,7562,12060,3152,8620,11877,3006,8871
39,39,32806,27922,1018,3373,127,414,34,0,0,31274,26178,1406,2917,40,1123,14,0,0,31122,25447,1144,3324,193,876,21,31023,26036,1378,2778,41,1109,10,2139,10,43,6,29,1384,30837,25083,1446,2875,168,1178,15,25277,21949,588,2360,89,323,21,0,0,24261,20958,672,1930,14,715,14,1753,10,67,15,0,24228,20221,655,2403,129,686,13,24228,20221,655,2246,80,98,6,51,871,24233,20984,665,1919,14,646,4,0,0,0,0,0,23938,20388,768,1960,78,702,4,1806,78,15,4,23452,19854,657,2226,104,520,0,2175,83,49,0,11110,3543,7063,9047,2834,6213,9913,2244,7176,9777,3080,6360,7767,1561,5976,7791,1773,5844,7793,1659,5982,9280,2070,6993,10556,2098,8236,10369,1935,8434
40,40,28844,25707,1884,693,261,325,60,0,0,29747,26377,1919,963,249,291,0,0,0,30068,24686,2794,958,412,1077,48,30720,27365,1918,1026,208,380,0,667,162,38,0,27,544,31097,26049,2420,1105,346,714,274,21959,19998,1134,426,173,243,43,0,0,22059,20407,627,587,158,275,0,484,150,36,9,0,22720,19262,1640,602,297,784,23,22720,19262,1640,478,239,82,12,50,957,22647,20959,639,666,187,170,0,0,0,0,0,0,22389,20431,730,656,217,167,94,501,211,45,94,22394,20607,746,482,179,154,88,460,163,45,88,9837,2732,6746,10397,2776,7621,11084,2330,8115,10854,3114,7341,8137,1510,6309,8137,1640,6285,8129,1521,6398,10179,2151,7737,11679,2278,9045,11474,2145,9329
41,41,31374,30070,597,143,137,491,31,0,0,30343,28693,736,253,201,462,23,0,0,30194,27805,740,218,183,1049,29,31278,29176,809,501,138,380,7,239,133,230,0,0,698,31113,28557,886,273,108,674,25,25117,24244,345,63,92,383,13,0,0,24403,23439,381,109,96,372,0,83,96,222,25,0,24549,22832,447,99,133,826,16,24549,22832,447,49,101,145,7,54,914,25089,24066,414,207,70,329,0,0,0,0,0,0,24991,23858,404,121,77,509,10,106,73,139,10,25414,24171,488,133,65,522,8,81,45,109,8,13702,3699,9457,13576,3273,10303,14614,2753,11182,14242,3622,9981,11644,2006,9266,11663,2231,9142,11648,2016,9367,13682,2606,10724,15296,2622,12259,15136,2624,12512
42,42,27803,26034,662,514,135,492,17,0,0,29429,27391,670,672,121,637,17,0,0,30098,26833,829,701,239,1317,25,29284,26534,1111,640,293,673,14,370,125,250,12,16,875,29595,26767,1097,676,318,606,6,20610,19500,380,310,81,350,11,0,0,21794,20562,297,456,70,411,19,385,59,95,0,0,22588,20419,496,454,139,925,14,22588,20419,496,353,71,133,5,20,1091,21409,19928,464,400,148,470,13,0,0,0,0,0,21938,20387,509,501,137,453,3,409,78,151,3,22159,20503,562,533,129,438,7,464,69,165,7,10606,3020,7235,10277,2371,7906,12576,2272,9609,12317,3206,8538,10207,1806,8063,10190,2078,7796,10194,1816,8105,12330,2426,9548,14585,2662,11562,14384,2757,11627
43,43,31443,27022,1094,2628,165,601,20,0,0,30549,25997,1225,2732,197,535,62,0,0,30068,24580,1242,2657,203,1334,59,30504,26012,1229,2705,171,513,43,2127,100,135,11,0,885,30018,25303,1377,2666,130,458,30,24156,21118,665,1849,109,449,10,0,0,23382,20606,392,1931,68,323,16,1931,54,92,55,0,23509,19585,784,1859,150,1052,39,23509,19585,784,1718,100,161,8,19,1134,23292,20415,497,1937,87,333,12,0,0,0,0,0,22784,19905,423,2009,72,347,12,1986,64,88,12,23377,20383,537,1999,68,382,0,1938,58,72,0,12126,4433,7155,10989,4015,6974,12201,3551,7965,11871,4271,7101,10159,2639,7242,10141,3130,6718,10133,2718,7156,11662,3385,7938,13245,3546,9220,13019,3499,9520
44,44,27811,25849,896,301,179,620,24,0,0,29290,26902,1246,553,196,436,0,0,0,29145,25323,1369,549,318,1431,28,28967,26599,1205,589,96,519,0,446,59,120,0,0,544,28307,25653,1347,537,170,572,11,21071,19796,537,156,123,476,15,0,0,21917,20681,477,323,64,358,0,310,37,125,0,0,22199,19647,809,328,197,1058,22,22199,19647,809,212,126,156,6,53,1190,22216,21170,352,312,12,448,0,0,0,0,0,0,21221,20171,390,251,57,484,0,202,34,126,0,21319,20083,510,249,153,456,0,163,64,89,0,12411,3064,8994,9696,2087,7609,11443,1939,8947,11304,2557,8249,9150,1548,7185,9150,1759,7138,9137,1525,7349,10931,2019,8616,12533,2207,10089,12426,2294,10132
45,45,30527,26078,3099,495,301,591,34,0,0,31458,26002,3524,634,633,540,41,0,0,30641,23718,3561,818,1053,1404,65,31714,26224,3495,658,711,540,48,469,601,49,20,81,783,31745,25651,3875,759,851,804,60,23116,20287,1864,311,214,442,22,0,0,22465,20407,840,375,319,510,4,346,295,62,18,0,23145,18602,2208,511,630,1091,45,23145,18602,2208,391,582,213,21,43,1085,22720,20559,878,377,366,501,4,0,0,0,0,0,22438,20039,1278,317,281,464,20,261,222,28,20,22774,19928,1553,346,299,522,27,265,224,48,27,10859,3671,6825,9851,3226,6625,11248,2754,7764,10990,3354,7195,9082,1925,6809,9058,2296,6482,9051,2093,6652,10648,2620,7679,11883,2725,8817,11762,2822,8940
46,46,31254,28899,755,465,529,653,28,0,0,31158,28131,1010,659,695,831,15,0,0,29927,26264,961,526,570,1376,38,30642,27171,1061,634,733,725,18,391,503,345,0,11,1163,30133,26108,1312,572,709,698,7,23559,22129,418,275,296,468,14,0,0,23788,22072,509,364,340,494,0,354,336,100,35,0,22963,20467,568,289,391,1034,24,22963,20467,568,200,341,261,10,30,1086,23680,21856,486,346,402,565,0,0,0,0,0,0,23486,21538,700,365,409,527,0,357,315,98,0,23208,21171,679,325,384,663,0,288,277,89,0,11546,3254,7831,10356,2801,7555,11423,2404,8378,11341,3187,7740,8308,1525,6520,8298,1839,6218,8290,1694,6371,10462,2212,7973,12001,2198,9472,11920,2354,9566
