ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
22,22,39419,29075,1517,1021,198,8057,44,0,0,39745,28096,2063,1429,359,8472,63,0,0,39092,25843,2088,1429,288,9847,100,39939,27698,2205,1548,335,8824,147,775,193,3725,36,5271,39187,26486,2355,1986,191,8869,148,29753,23284,853,647,137,5012,26,0,0,30013,22853,929,918,82,5304,0,670,35,2443,0,44,0,30100,21314,1270,1014,205,6313,52,30100,21314,1270,745,138,3998,18,2460,30159,22691,987,981,83,5482,0,0,0,0,0,29775,21767,1286,1155,38,5515,8,556,29,2490,8,29622,21481,1203,1177,96,5503,0,694,30,2828,0,15112,4356,10453,14157,3999,10158,15146,2772,11799,14863,3370,10527,11896,3799,7721,11698,3216,8482,11098,0,9491,11757,3070,8309,11045,0,9192,14153,3108,10646,16141,2765,13083,16016,2923,12522
23,23,36520,21312,6469,3234,1078,5155,53,0,0,38657,20015,8822,3784,1111,5999,32,0,0,38981,18044,9881,3723,1341,6889,118,38362,20093,8337,3771,1265,5770,35,2862,1091,3038,7,2879,39222,19902,8783,3879,1598,5652,26,25939,16844,3693,1686,752,3221,31,0,0,24701,16272,2299,1931,569,3680,10,1644,531,2248,10,70,0,28192,14950,6043,2180,934,4425,58,28192,14950,6043,1756,797,2192,33,2349,24897,16276,2283,2063,673,3611,4,0,0,0,0,25491,16270,2444,2175,858,3659,0,1910,831,2232,0,24730,15743,2540,2049,868,3524,0,1689,842,2202,0,14281,4885,9326,14604,4029,10575,12905,3744,8495,12841,3274,8557,10160,4027,5796,10082,3492,6590,9426,0,7019,10117,3310,6460,9415,0,6778,12316,3991,7832,13991,4613,9012,13929,4675,8539
24,24,28707,21586,1528,869,294,4693,29,0,0,36521,26660,2254,1651,1031,5613,197,0,0,38814,25697,2912,1557,1669,7446,79,36149,25888,2362,1629,1361,5522,214,782,903,2609,4,3525,37271,25792,3302,2117,1334,5560,140,20686,16292,855,523,176,2912,19,0,0,25042,19793,887,756,300,3195,4,584,205,1781,4,165,0,27769,19667,1681,902,1019,4628,57,27769,19667,1681,591,832,2288,16,2622,25133,19789,977,658,350,3220,4,0,0,0,0,25936,20085,1339,910,413,3206,4,592,314,1749,4,27078,20749,1561,977,400,3454,0,628,306,1941,0,12181,3342,8727,9473,2400,7073,13762,2850,10214,13716,2385,10398,12078,3964,7785,11914,3142,8772,11349,0,9201,11995,2939,8704,11310,0,8834,14377,3525,10347,17427,4291,12746,17467,4464,12202
25,25,38947,27149,1551,1398,346,9119,43,0,0,39697,26170,2115,1719,542,9966,58,0,0,39307,23643,2254,1943,602,11927,47,40002,26117,2234,1642,533,10287,68,886,305,5725,38,4656,39517,25451,2334,1678,540,10288,73,29817,22152,965,868,250,5823,26,0,0,29854,21284,988,1025,227,6335,35,802,142,3421,35,83,0,29897,19592,1323,1219,431,7673,30,29897,19592,1323,680,306,4723,13,3192,29925,21362,1073,937,190,6465,35,0,0,0,0,29531,20693,1224,887,246,6534,40,627,184,4595,40,29250,20393,1229,822,223,6619,39,586,212,4755,39,15095,4674,10232,13398,4031,9367,15393,3703,10910,15326,3609,10659,12312,5398,6536,12137,4016,8121,11495,0,9417,12173,4124,7628,11429,0,8938,14420,4199,9719,15908,4186,11313,15844,4255,10900
26,26,37308,26846,1778,1911,473,7056,63,0,0,38563,26794,2484,2099,455,7394,99,0,0,38973,25289,2660,2533,604,8661,88,39389,26656,2705,2314,432,8116,86,1644,263,5634,29,2443,39271,26858,2617,2297,473,7553,112,28091,21348,1062,1141,331,4478,39,0,0,29208,21736,1203,1144,199,4780,16,1059,147,3929,16,132,0,29957,20600,1725,1688,451,5735,64,29957,20600,1725,1231,316,3557,19,2462,29907,21655,1397,1293,187,5267,22,0,0,0,0,29672,21764,1337,1290,275,4886,20,1116,131,3696,20,29622,21704,1461,1189,392,4790,34,901,262,3357,34,13104,4267,8714,13092,4346,8746,13446,3713,8765,13470,2816,9746,11082,4713,5911,10954,3697,7257,10277,0,7854,10993,3780,6790,10271,0,7480,12964,4053,8400,14516,4495,9629,14491,4664,9183
27,27,35848,28489,1448,815,367,5070,62,0,0,38344,29680,1988,1240,785,5225,150,0,0,39484,28603,2339,1432,631,6832,106,37752,28813,2554,1207,878,4888,141,643,414,3297,39,1947,38220,28923,2286,1406,661,5215,88,26430,21868,823,432,217,3191,40,0,0,28399,23009,887,705,420,3299,30,598,325,2490,30,64,0,29555,22511,1381,849,385,4426,68,29555,22511,1381,573,227,2203,23,2571,27491,22324,1062,632,378,2985,45,0,0,0,0,28526,22979,1094,833,297,3130,44,588,177,2062,44,28473,22698,1261,784,288,3380,0,499,195,2062,0,14304,4550,9611,10738,3329,7409,14315,3302,10159,14311,2577,10525,12119,4491,7071,12002,3729,8273,11272,0,8777,12062,3609,7937,11249,0,8417,14272,3801,9899,16514,4172,11981,16452,4308,11412
28,28,40191,28489,1432,2052,252,8586,59,0,0,40106,27831,1763,2076,233,8705,32,0,0,39344,25360,2028,2270,328,10066,63,40241,27600,1795,2024,332,9037,51,1507,290,6678,38,2285,39768,26310,2342,2086,336,9164,31,30139,22513,813,1406,161,5483,35,0,0,30061,22070,893,1303,131,5653,25,1179,123,4640,25,14,0,30093,20732,1219,1524,236,6520,42,30093,20732,1219,1095,131,4315,15,2484,30387,22355,951,1297,155,5646,44,0,0,0,0,30137,21468,1165,1421,199,5940,8,1149,159,4709,8,30421,21502,1283,1520,301,5814,14,1118,227,4314,14,14705,4552,9918,12346,3785,8561,13492,3031,9870,13505,2437,10264,11182,4126,6560,11053,3304,7749,10569,0,8339,11114,3267,7433,10522,0,8096,13045,3344,9295,14631,3368,10960,14591,3602,10431
29,29,37746,29742,1001,1394,233,5840,27,0,0,39120,30146,1337,1255,336,6421,9,0,0,39200,28388,1586,1445,338,7741,71,39840,30223,1317,1301,361,7045,9,754,185,4724,9,2629,40057,30419,1583,1215,289,6893,2,28148,23129,560,847,121,3638,15,0,0,29468,23805,655,738,152,4074,4,620,66,2909,4,63,0,29827,22814,960,900,215,5002,36,29827,22814,960,618,102,2488,15,2786,29859,23724,662,775,169,4597,4,0,0,0,0,30057,23906,826,710,136,4617,0,426,88,2993,0,30569,24172,1016,718,116,4620,8,399,73,2855,8,16960,4977,11809,14392,4075,10317,16311,3215,12362,16245,2871,12328,12952,3975,8580,12820,3271,9549,12143,0,9924,12879,3095,9383,12114,0,9722,15614,3484,11605,17693,3578,13758,17669,3838,13027
30,30,35759,26926,1566,1495,296,5838,55,0,0,37331,27425,1990,1650,510,6153,30,0,0,38434,25743,2525,2136,471,8083,79,37817,27591,2093,1705,608,6151,26,1005,384,3913,3,2716,38672,27173,2438,2092,681,6687,38,26808,21235,893,892,195,3738,30,0,0,27761,21706,760,882,241,4183,4,699,175,2888,4,75,0,29246,20847,1534,1353,285,5344,53,29246,20847,1534,922,193,2793,33,2846,28002,22058,745,963,207,4109,4,0,0,0,0,28820,21981,979,1231,365,4338,4,823,295,2850,4,29132,21796,1218,1282,388,4471,0,920,320,2855,0,13632,4182,9330,13389,3897,9492,14717,3443,10495,14570,3009,10556,11486,3988,7109,11346,3388,7958,10640,0,8380,11414,3239,7800,10616,0,8158,13904,3758,9630,15700,4195,11155,15669,4323,10612
31,31,32989,26885,1898,2178,382,1922,31,0,0,37773,29540,2707,2717,611,2417,172,0,0,39871,29409,3675,2595,610,3784,106,38694,30309,2856,2692,666,2434,258,2212,327,1076,0,1901,39699,30835,3384,2467,448,2776,151,24121,20226,1110,1464,229,1194,22,0,0,27384,22335,1227,1802,303,1623,0,1692,135,861,0,93,0,28971,22305,2223,1640,357,2430,48,28971,22305,2223,1281,195,803,12,2015,28293,22851,1440,1860,342,1626,0,0,0,0,0,28989,23714,1610,1799,157,1749,0,1676,83,923,0,30589,24700,1722,2061,152,2017,42,1651,67,699,42,12754,3345,9306,14105,3912,10193,16065,3518,11555,16090,2688,12200,12966,4501,7952,12813,3619,9194,12126,0,9619,12868,3418,8999,12099,0,9262,15512,3956,10952,17666,4608,12631,17616,4716,12188
