ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
30,30,57534,52095,699,1158,3417,165,44,0,0,60459,52157,1206,2025,4905,183,94,0,0,63472,53765,1341,1623,5641,528,83,63488,53779,1342,1629,5645,528,83,60135,51885,1121,2254,4788,175,96,1757,4002,37,0,1200,62109,52888,1744,1959,5302,153,101,44052,40581,433,775,2158,109,33,0,0,44748,41049,617,1159,1762,142,0,1072,1561,69,0,33,0,49555,43012,839,1162,3755,382,55,49555,43012,839,916,3472,41,23,1133,44582,40783,501,1395,1784,112,0,0,0,0,0,46040,41818,851,1267,2034,58,0,1115,1797,4,0,45762,41173,1392,922,2156,58,12,710,1890,0,12,33101,13942,18888,32827,13347,19480,34988,15933,17589,35142,14512,19398,34569,15228,19341,34509,16479,16472,34364,15448,17188,31464,17325,13613,31406,17887,13026,35662,18075,16756,40770,21311,18959,40431,21547,17860,40041,18563,20008,39972,18949,19695
31,31,64730,57425,1437,1385,4344,216,40,0,0,65126,55529,2016,2250,4796,520,38,0,0,66805,55549,2244,1557,6402,545,50,66821,55561,2244,1565,6402,545,50,65299,55191,2157,1745,5839,263,26,1445,4632,103,0,1601,66579,55560,2658,1436,6271,156,32,48512,43667,933,946,2872,143,28,0,0,49490,43670,1139,1470,2773,298,0,1377,2579,169,0,124,0,53080,45141,1489,1116,4542,377,31,53080,45141,1489,849,4137,14,5,1274,49285,43140,1127,1155,3697,162,0,0,0,0,0,50390,44055,1559,979,3693,69,0,759,2918,12,0,50599,43713,2026,746,3950,119,0,488,3018,33,0,39799,20775,18677,38774,18680,20094,41523,22412,17635,41220,20099,20542,40744,21428,19316,40318,19352,19809,40358,20291,19054,37130,22197,14463,37087,22970,13693,41942,23675,17595,47733,27956,19381,47281,26430,19852,46954,24166,21417,47043,25325,20543
32,32,64377,46428,869,16349,676,448,25,0,0,64506,43563,907,19163,450,895,108,0,0,64085,41484,1430,19438,915,925,63,64205,41504,1430,19545,915,925,63,64455,43916,996,18465,406,644,163,16096,177,62,98,2493,64663,44088,725,18457,689,804,81,51375,38763,551,11496,487,330,21,0,0,51947,37271,613,13537,171,548,85,12448,134,43,85,73,0,52262,35641,913,14350,650,701,38,52262,35641,913,13342,479,41,7,1615,50696,36785,544,12841,184,335,95,0,0,0,0,51093,37008,400,13029,320,309,45,12176,217,54,45,50195,36167,721,12342,515,239,58,11618,366,24,58,35052,20598,14166,33143,20124,13019,34609,20503,13049,34341,20099,12688,33816,21233,12583,33867,22469,9941,33609,21277,10607,28370,19400,8545,28338,19836,8173,33480,21333,11384,38001,23728,13857,37539,24516,11889,37007,22217,13219,36936,22468,13121
33,33,61713,57201,750,1775,1793,262,22,0,0,61327,55025,1016,2468,2538,337,20,0,0,61793,53561,1327,3041,2582,839,54,61859,53613,1327,3072,2586,840,54,61006,54559,1043,2221,2529,407,12,1394,2275,19,0,1427,61459,54612,1134,2277,2924,365,20,48939,46029,509,1042,1204,196,21,0,0,48002,44627,605,1526,1027,148,0,1328,930,14,0,65,0,49734,44156,857,1894,1830,611,42,49734,44156,857,1439,1602,30,4,1476,47965,44850,599,1240,1047,170,0,0,0,0,0,48165,44805,695,1302,1168,164,0,1065,1017,12,0,47424,44073,668,1489,978,182,0,1224,838,0,0,31870,15902,15568,29390,14134,15256,31668,15278,15219,31577,14784,15205,30958,16116,14842,30921,17242,12088,30726,16135,12649,26920,15729,10669,26911,16160,10326,31435,16701,13964,36286,18643,17184,35846,19785,14975,35386,17086,16655,35352,17557,16430
34,34,64518,35346,1155,26923,1173,695,49,0,0,62392,34491,1223,25563,1160,1064,69,0,0,61330,31746,1822,25587,1710,1097,91,61582,31772,1823,25788,1710,1097,91,61531,33992,1417,24754,1185,1168,36,22372,774,129,8,2506,60745,32914,1563,24360,1563,1082,97,51883,30970,711,19287,880,503,35,0,0,50367,30301,812,18401,546,579,0,17464,451,24,0,180,0,50504,28254,1266,19166,1322,804,64,50504,28254,1266,17795,958,54,14,1876,49589,29795,915,17944,608,566,0,0,0,0,0,49104,29537,1027,17487,755,483,0,16203,647,59,0,48921,28586,1493,17588,943,924,5,15649,823,47,5,37969,28660,8919,35939,27975,7964,35638,27794,6772,35514,27095,7190,35030,27875,7155,35058,27886,5421,34876,27073,5782,29651,24707,4481,29624,25086,4185,33927,27272,5939,36909,29707,6887,36448,29204,5946,36077,27881,6606,35951,27813,6554
35,35,69264,49384,1106,18187,548,584,72,0,0,67626,46523,1257,19293,768,576,34,0,0,64477,41210,1781,19942,626,1223,68,64711,41267,1782,20108,626,1224,68,67204,45093,1292,20123,705,610,35,17603,551,39,0,2367,64490,42649,1937,19204,542,1100,57,54737,41966,683,11552,413,409,51,0,0,53209,39409,851,12395,325,244,0,11731,228,18,0,113,0,51758,35946,1146,13399,449,878,50,51758,35946,1146,12225,279,90,13,1779,52013,38144,765,12632,279,259,0,0,0,0,0,50682,36589,912,12564,190,622,0,11247,149,22,0,50104,35182,1121,13140,262,494,4,11825,129,12,4,33775,21186,12091,30261,19559,10702,30650,17660,12192,30050,18013,10239,29405,19354,10051,29365,20326,7679,29134,19560,7927,22617,15107,7123,22670,15555,6822,28246,17559,10046,32334,18592,13383,31667,20208,10444,31126,18074,11494,31045,18540,11327
36,36,61199,52480,1307,6392,897,424,25,0,0,61391,47697,2843,8238,2526,361,116,0,0,61597,45898,2820,8982,2896,1045,71,61727,45969,2820,9074,2904,1045,71,61782,47858,2808,8656,2160,353,172,7447,1931,72,79,1311,61854,47954,2180,9523,1855,250,37,50078,44423,895,3961,664,301,18,0,0,47888,40531,1431,4668,934,183,20,4335,799,79,20,132,0,51175,40248,1986,6008,2215,767,45,51175,40248,1986,5115,1870,55,10,1679,48930,40772,1494,5543,888,173,24,0,0,0,0,50061,41312,1501,6213,829,96,0,5300,670,4,0,48704,39733,1461,6449,834,192,8,5493,641,0,8,30042,18178,11413,26879,17182,9697,28953,16952,10710,28772,17230,9862,28237,18602,9635,28337,19202,7240,28125,18211,7779,22775,16188,6099,22782,16540,5869,27897,18095,8917,32482,20535,11464,32015,21285,9241,31582,19213,10424,31519,19763,10021
37,37,61435,57890,1656,919,866,247,25,0,0,65720,61169,2408,872,861,391,29,0,0,66525,59847,2976,1577,1360,608,58,66593,59903,2979,1592,1363,609,60,66447,61895,2196,1026,998,285,10,552,715,29,4,961,66623,61657,2192,969,1389,419,23,46652,44574,968,457,550,162,16,0,0,50055,47800,1121,462,305,293,10,344,285,40,10,50,0,52287,48013,1841,897,895,445,38,52287,48013,1841,567,735,19,17,923,51113,48773,1143,536,409,202,4,0,0,0,0,51873,49058,1261,503,779,240,0,383,574,18,0,52379,48875,1762,761,783,123,4,548,548,4,4,29229,10510,18350,28520,9080,19440,32113,9562,21017,32438,9521,21676,31932,9763,22169,31906,9511,20425,31802,9132,20592,27878,10602,16730,27839,11373,15939,32698,11169,20743,38481,13471,24473,38089,12690,24528,37940,11628,25016,37928,11654,25151
38,38,62614,56860,687,3865,1045,313,35,0,0,61466,52287,1363,5306,2394,843,89,0,0,64420,51444,1161,5510,5218,785,73,64487,51482,1162,5561,5222,785,73,61073,51657,1460,4724,2785,725,95,3250,2665,66,42,1598,63960,53293,1121,4481,4291,293,16,50757,47076,424,2401,729,210,23,0,0,48423,43606,724,3065,895,289,45,2607,885,53,45,20,0,52405,43551,760,3706,3560,543,45,52405,43551,760,3170,3342,45,20,1344,47877,43086,803,2941,829,274,45,0,0,0,0,50633,45266,623,2921,1693,141,0,2703,1623,42,0,49792,44572,748,2537,1782,114,5,2268,1631,43,5,33144,17258,15438,30413,16231,14182,32449,15531,15891,32056,16061,14250,31317,17609,13708,31373,19564,10377,31049,18218,11032,25929,15885,9608,25963,16490,9155,31322,17232,13331,36313,18617,17270,35674,20881,13789,35131,17773,15787,35106,18615,15222
39,39,65176,62178,541,1677,590,255,22,0,0,64845,60506,1124,1836,1358,228,25,0,0,65793,59531,1030,2337,1499,849,59,65835,59562,1031,2378,1509,849,59,64698,59911,1007,2165,1374,283,30,1518,1156,0,26,981,65804,60115,886,2493,1991,239,25,52045,50003,355,1111,424,167,20,0,0,51617,49203,516,1116,627,127,20,973,538,0,20,23,0,53195,48839,690,1571,1094,601,46,53195,48839,690,1228,880,34,6,1396,51867,49413,551,1111,562,246,25,0,0,0,0,53361,50214,563,1310,1067,214,20,1167,1041,25,20,52224,48813,695,1099,1389,184,14,951,1285,24,14,34014,15361,18186,32503,14310,18193,34623,13157,20357,34298,13702,18772,33563,15326,18237,33526,17183,14902,33232,15781,15672,28199,14189,13580,28194,14806,12977,33897,15021,18073,39581,16122,23000,39046,18330,19703,38532,15150,21841,38566,15837,21438
