ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
40,40,62543,59326,764,773,1593,158,29,0,0,63575,58412,934,1685,2525,138,38,0,0,66291,59659,1340,1199,2863,598,69,66305,59672,1340,1206,2866,598,69,63571,58376,863,1794,2386,195,11,1044,1884,102,11,1271,65498,60196,1097,1835,1784,244,14,47274,45202,454,478,1072,101,14,0,0,48313,45695,638,750,1080,90,40,646,1016,15,40,45,0,52029,47619,905,731,1993,425,35,52029,47619,905,541,1769,27,8,1049,48334,45718,540,811,1020,188,10,0,0,0,0,50388,47617,699,824,1087,164,15,723,1063,63,15,50435,47937,685,692,992,133,0,485,902,53,0,36641,14417,21921,37540,14031,23509,37920,15212,21409,37983,14140,22521,37347,14994,22353,37266,16619,19257,37067,15261,20158,33106,16286,16347,33073,16950,15659,38152,17213,20153,43818,20023,23328,43366,20783,21576,42927,17600,23811,42900,17987,23642
41,41,60106,51437,4477,2691,1653,324,48,0,0,61294,50165,5632,3811,1663,385,21,0,0,64318,49453,7846,4007,2822,806,58,64434,49534,7861,4041,2831,807,58,62254,50486,6154,3361,2155,192,32,2216,1668,7,0,1359,63884,50338,7836,3155,2522,428,42,46506,41179,2651,1585,1109,214,26,0,0,46618,39708,3640,2146,904,159,0,1957,766,45,0,55,0,50343,40502,4982,2566,1991,566,29,50343,40502,4982,1756,1778,61,5,1111,48434,40885,4273,1972,1167,68,0,0,0,0,0,50035,41401,5380,1563,1552,61,4,1253,1328,30,4,50052,40893,5329,1838,1863,64,6,1373,1601,23,6,29984,14693,14977,28371,12882,15489,30723,12988,16151,30881,12835,16680,30317,13026,17291,30306,12834,15528,30154,12423,15610,25784,12870,12374,25762,13780,11492,30393,14081,15508,35160,16521,18142,34668,15592,18097,34468,14446,18592,34452,14505,18722
42,42,62250,57430,1018,1074,2574,179,35,0,0,61271,55304,1088,1398,3317,277,9,0,0,63945,54729,1965,1850,4259,636,59,63959,54738,1965,1858,4259,638,59,61236,54804,1183,1243,3357,202,39,784,2500,45,0,1347,63864,56392,1339,1545,3717,203,79,48218,45089,643,670,1710,112,25,0,0,46017,43025,662,782,1322,196,0,664,1177,65,0,34,0,50301,44102,1339,1268,2852,439,37,50301,44102,1339,898,2564,16,10,1235,45881,42922,765,722,1293,136,0,0,0,0,0,47762,44248,806,886,1621,120,0,787,1290,24,0,47455,43383,959,1244,1681,94,4,844,1383,13,4,37163,19618,17188,35872,18831,17041,36978,21536,14003,37058,19828,15969,36378,20464,15914,36353,21409,13111,36159,20305,13796,33419,22333,10563,33367,22873,10081,37277,23207,13221,41716,26548,14713,41272,26107,13963,40832,23730,15469,40790,24054,15251
43,43,60868,55886,2544,1044,1327,276,33,0,0,63607,56397,4471,1628,1186,243,89,0,0,64352,55859,4392,1951,1608,712,75,64434,55927,4399,1974,1617,713,76,63808,56229,4450,1977,1276,291,108,876,885,16,0,1216,64276,55662,4642,1902,1932,383,112,44559,41511,1504,537,910,184,24,0,0,45780,42005,2289,707,665,115,15,617,560,55,15,10,0,48259,42697,2764,1130,1158,516,52,48259,42697,2764,683,987,72,9,949,46047,42142,2245,818,653,158,0,0,0,0,0,46302,41967,2453,734,893,214,15,529,819,50,15,46930,42186,2430,1095,1017,154,6,708,956,34,6,23003,7968,14724,22122,6841,15281,24454,6940,16140,24598,6901,16624,24234,7258,16976,24226,6958,15743,24154,6777,15696,20539,7235,12817,20531,7739,12364,24634,7806,16072,29252,9353,19371,28809,8867,19097,28705,8073,19412,28659,8115,19521
44,44,59753,54294,985,2658,1646,233,38,0,0,62393,55642,1084,2932,2742,297,64,0,0,66388,56350,2197,3535,2875,792,65,66419,56373,2197,3594,2878,792,65,62454,54874,971,2627,2904,278,47,1728,2122,21,0,1690,65783,57680,1154,3121,2766,328,0,46393,42718,645,1802,1114,159,25,0,0,47335,43810,578,1633,1018,228,0,1326,896,64,0,80,0,52489,45479,1505,2493,1974,568,42,52489,45479,1505,2031,1704,33,20,1538,48505,44895,617,1643,1158,191,0,0,0,0,0,50990,46860,667,1937,1294,207,0,1412,1185,8,0,50887,45940,1091,2086,1497,201,10,1515,1313,0,10,30194,13545,16342,29411,12504,16907,32030,13871,17007,31996,13079,17581,31494,14103,17391,31425,14987,14906,31299,14218,15376,27678,14716,12468,27668,15233,12013,32453,15652,16011,38009,18157,19381,37567,18933,17576,37198,16291,19376,37114,16688,19136
45,45,61116,52758,866,6053,1282,302,62,0,0,62127,52094,856,7681,1370,193,18,0,0,65767,51770,1806,8523,2474,932,59,65880,51826,1807,8604,2474,932,59,62029,50638,940,8118,1785,246,16,6895,1376,106,0,1544,65038,52093,1116,9248,2032,528,34,49307,44042,572,3585,964,202,33,0,0,49087,43332,385,4632,600,93,0,4293,497,43,0,74,0,53915,44363,1255,5524,1887,699,44,53915,44363,1255,4770,1625,62,11,1618,48830,42580,409,4879,713,173,0,0,0,0,0,51030,44105,547,5434,674,170,4,4852,528,33,4,51742,44909,908,4966,722,285,5,4415,514,62,5,31008,16316,14314,29698,15659,14039,32356,15884,15373,32111,15809,14724,31511,17393,14118,31521,18614,11380,31347,17726,11917,26887,16184,10277,26887,16649,9871,31805,17375,13687,36844,19182,17227,36330,20684,14577,35920,18078,16228,35888,18730,15802
46,46,57238,53009,644,2278,1131,205,37,0,0,60123,54834,837,2075,2020,411,30,0,0,66629,57690,1351,2827,3344,821,80,66666,57716,1351,2853,3344,821,80,60165,54398,818,1833,2769,323,35,1429,2506,35,6,952,66058,59113,912,2101,3387,194,50,44783,41956,418,1520,768,143,22,0,0,46054,43485,448,1297,584,227,0,1066,489,29,0,4,0,52409,46543,863,1908,2166,562,47,52409,46543,863,1481,1973,40,12,1412,45666,43280,366,1196,635,188,0,0,0,0,0,50050,46900,527,1570,940,136,4,1352,752,4,4,51092,47121,667,1644,1451,139,10,1370,1285,9,10,28166,13012,14799,26596,11637,14959,31495,12347,18011,31373,12387,17424,30870,13944,16926,30830,15034,14347,30666,14176,14842,26397,13360,12595,26381,13792,12044,31875,14297,16828,38288,16355,21514,37922,17711,19278,37537,14952,21163,37587,15592,20767
47,47,61574,52938,2858,4034,1433,326,64,0,0,63520,53572,4476,4635,1104,557,90,0,0,64910,52110,4759,5334,1979,1116,64,64984,52161,4761,5377,1984,1116,64,63162,53838,4096,4675,1094,372,64,2900,636,140,13,1522,64685,52662,5580,5602,1076,492,61,47410,41514,2065,2577,946,209,41,0,0,48206,42328,2540,2433,543,243,25,2175,496,158,25,73,0,50675,41920,3151,3553,1352,789,39,50675,41920,3151,2800,1125,86,12,1416,47803,42329,2174,2382,643,195,15,0,0,0,0,49634,42631,3018,3066,634,220,35,2214,387,41,35,49767,42556,2877,3155,838,287,0,2599,499,18,0,27279,11860,15102,26761,10759,16002,29416,10152,17950,29405,10273,17682,29099,10958,18141,29146,12783,14877,28916,10349,16628,24668,10912,13209,24685,12182,12117,29411,11748,16863,34536,13592,20404,34128,13424,19740,33963,11987,20427,33994,12209,20493
48,48,66293,60300,830,4451,516,353,35,0,0,66180,59181,1432,4391,953,453,62,0,0,65698,57109,1340,4861,805,1082,76,65851,57202,1342,4960,810,1087,78,66118,58503,1606,4629,1020,371,29,3417,741,11,1,1742,66338,58009,1796,4744,1071,334,14,53508,49490,542,2952,356,257,25,0,0,53593,49227,725,2849,493,277,15,2496,328,10,15,105,0,53599,47572,923,3342,566,811,52,53599,47572,923,2784,427,81,28,1650,53912,49397,676,2945,628,280,4,0,0,0,0,53834,49126,862,2947,594,258,4,2495,453,0,4,54376,49606,986,2961,473,227,5,2544,334,6,5,31023,14785,15764,28444,12356,16088,31301,11513,18684,31073,11959,17309,30594,13533,17061,30704,14534,14639,30543,13854,14996,25303,12200,12760,25277,12389,12359,30788,12986,17070,36491,14195,21904,36123,15877,19341,35814,13142,21221,35898,14023,20667
49,49,60914,29300,21332,10827,1702,840,147,0,0,62004,28153,22887,12119,2727,676,88,0,0,62617,25700,24250,12011,2938,1343,166,62983,25843,24336,12049,2953,1344,168,61723,26221,23562,12679,2558,583,99,7567,2107,20,18,2134,63090,26619,22963,14657,2757,971,55,46208,25640,13422,7001,1270,557,96,0,0,44370,24397,13600,5058,1169,92,0,4680,992,7,0,30,0,48031,22451,16473,8083,2098,944,106,48031,22451,16473,5707,1845,73,10,1294,44668,22596,14671,5678,1424,167,4,0,0,0,0,45222,22900,14206,6282,1486,160,19,5540,1283,8,19,45855,23599,14583,5823,1372,204,13,5129,1206,11,13,24069,16674,7134,21855,15322,6533,22982,15430,6492,23025,15142,6954,22634,15490,7144,22944,15084,6383,22605,14724,6308,17525,12647,4425,17523,12943,4227,21466,14638,6195,24409,16309,7728,23643,15358,7352,23521,14733,7492,23453,14734,7671
50,50,72649,68293,797,2823,344,470,38,0,0,68881,63768,1057,3485,335,795,67,0,0,67358,60740,1056,3135,572,1210,91,66562,60424,1004,2728,568,1210,92,68729,62928,1070,3609,329,651,56,2351,207,4,19,2063,66822,60098,1095,3703,481,621,70,58957,55538,605,2254,246,352,27,0,0,55480,51690,903,2239,196,380,4,1824,130,18,4,168,0,55021,49937,778,2416,419,937,59,55021,49937,778,2013,247,90,20,1818,54970,51220,759,2484,176,379,4,0,0,0,0,53785,49745,743,2661,269,366,10,2101,80,0,10,52261,48446,612,2545,331,235,4,2049,178,4,4,30964,16189,13948,26330,12226,14104,29574,9984,18600,29062,11896,15346,28538,13601,14937,28419,13890,12796,28291,13992,12467,22919,11503,11048,22927,11476,10969,28201,11539,16032,32909,10834,21705,32360,13208,18264,31959,10865,19548,32052,11611,19306
51,51,67803,62543,491,4162,390,383,20,0,0,65334,59035,943,4374,407,511,184,0,0,64784,57155,847,4341,409,1170,170,65033,57315,849,4532,409,1176,172,64764,58096,1078,4416,781,469,200,3070,321,11,87,1892,64828,57333,999,4763,845,605,200,53915,50598,285,2559,283,278,15,0,0,51696,47961,480,2688,176,260,40,2430,143,24,40,70,0,52483,47254,575,2846,292,866,104,52483,47254,575,2416,216,75,84,1748,50737,47085,465,2560,273,248,40,0,0,0,0,50864,47023,500,2762,220,272,20,2302,202,14,20,50016,46374,595,2391,259,262,55,1889,216,4,55,26194,13355,12347,24426,11712,12714,26845,9436,16791,26592,10897,14286,25957,12426,13531,25759,12706,11851,25650,12566,11668,20245,10246,9709,20370,10346,9715,25778,10739,14585,30967,10850,19888,30283,12761,16930,29920,10777,18077,29912,11285,17837
52,52,68925,64462,559,3420,199,302,28,0,0,66127,61598,669,3410,397,349,26,0,0,64020,58167,731,3164,266,1054,64,63125,57825,673,2706,279,1053,68,65565,61026,568,3312,370,420,55,2196,181,2,31,1535,63589,58214,781,3101,398,419,48,55109,51743,420,2579,134,241,14,0,0,53512,50266,426,2364,156,194,0,2093,82,8,0,97,0,52225,47900,481,2398,176,772,34,52225,47900,481,2101,97,58,9,1507,53468,50360,446,2299,89,209,0,0,0,0,0,51851,48877,533,2087,178,199,0,1860,151,30,0,50957,47492,468,2589,179,167,8,2100,152,23,8,26485,12554,13448,23472,10192,13280,26922,8510,17799,26612,9650,15413,26151,11418,14733,26031,11861,12929,25860,11644,12790,20460,9317,10805,20539,9445,10756,25862,9611,15785,31200,9606,21355,30614,11583,18418,30247,9624,19626,30248,10226,19254
53,53,59792,45227,2944,3244,8387,400,80,0,0,61194,44182,4379,3773,8610,337,138,0,0,64685,43229,5091,4809,10780,871,99,64733,43260,5094,4832,10781,871,99,62453,44025,3666,3963,10694,210,24,3311,10014,28,0,1336,65126,45508,4631,4104,10690,460,17,46588,36421,1993,2055,6066,252,51,0,0,44802,35850,1830,2280,4552,212,0,2158,4342,83,0,78,0,51362,35932,3425,3179,8158,623,72,51362,35932,3425,2641,7828,75,28,1271,44803,34925,1659,2406,5601,114,0,0,0,0,0,47207,36410,2082,2474,6095,133,0,2181,5887,8,0,47822,36387,2522,2429,6209,178,8,2102,5991,0,8,28399,15717,12342,26837,14721,12116,29502,15553,12632,29300,14643,14170,28955,15725,13230,28755,14139,13805,28719,15090,12834,25474,15347,9666,25488,15792,9261,29920,16859,12401,35151,20034,14697,34808,19840,13859,34647,18016,15019,34716,18851,14562
54,54,58683,31132,10417,15233,2304,556,105,0,0,60078,30480,10208,16785,3245,788,76,0,0,63265,30595,13865,15563,3253,1443,110,63471,30635,13881,15659,3260,1444,110,59997,30546,10272,16888,2892,1221,109,13855,2673,14,71,2384,63082,32044,10967,17499,2998,1470,150,45382,26510,7114,10117,1835,368,71,0,0,41600,25850,2802,10928,1754,132,40,10391,1685,25,40,120,0,48671,26148,8829,11049,2487,1022,89,48671,26148,8829,9858,2179,78,13,1379,42020,26435,3178,10570,1520,137,49,0,0,0,0,44595,27449,4064,11086,1548,263,54,9795,1449,4,54,44979,26950,4973,11145,1518,271,41,10076,1321,21,41,25340,18005,7103,23718,16526,7192,25393,17481,7092,24974,16367,8256,24751,17249,7502,24400,16127,7748,24486,16815,7142,20412,15035,5025,20490,15454,4769,24528,17300,6789,28239,20087,7897,27759,19395,7481,27577,18176,8014,27696,18735,7919
55,55,69157,63162,732,3824,1323,332,35,0,0,66658,60216,1135,3802,1485,296,27,0,0,66336,57702,1149,4404,1737,844,71,66435,57755,1149,4467,1740,845,73,66238,60305,1162,3341,1467,253,18,2553,1275,5,6,875,65594,58608,1064,4121,1465,384,100,54973,51189,443,2329,886,218,21,0,0,54100,50119,676,2392,661,175,10,2197,646,0,10,104,0,54193,48482,689,2739,1238,606,46,54193,48482,689,2215,1058,61,16,1521,53681,49986,656,2232,589,151,4,0,0,0,0,53084,48938,706,2522,584,272,10,2296,538,12,10,53306,48812,820,2436,883,233,9,2170,798,0,9,34398,14176,19787,32651,12437,20214,34690,12310,21275,34432,12448,20255,33895,13750,20145,33777,14757,17443,33644,14033,17859,28080,12547,15085,28224,13348,14495,33778,13697,19375,39082,14889,23769,38747,16626,21249,38394,13922,23033,38411,14508,22756
56,56,64326,61709,471,1493,467,214,23,0,0,62578,58571,803,2292,731,343,33,0,0,64517,59352,912,2097,810,793,49,64562,59383,912,2118,816,796,49,63476,58525,1106,2689,918,273,29,1640,795,19,17,1352,66151,59737,1502,2779,1327,302,76,50774,49201,288,860,292,150,15,0,0,49622,47215,555,1206,400,83,20,1053,391,11,20,124,0,51743,48442,609,1189,530,560,26,51743,48442,609,886,417,14,5,1255,50033,47339,644,1388,447,103,14,0,0,0,0,52329,49080,808,1546,736,124,10,1008,557,37,10,52521,49427,913,1465,575,131,0,943,310,19,0,33299,12523,20344,31882,11350,20532,34322,10918,22274,34085,11435,20954,33475,13164,20311,33363,14077,17640,33236,13430,18065,27852,11897,15506,28050,12901,14734,33596,12737,20118,39017,13681,24907,38761,15813,22107,38420,12865,24213,38474,13486,23917
57,57,68170,64136,704,2451,669,271,29,0,0,65220,61546,543,2065,812,287,41,0,0,66507,60434,1118,2646,945,888,54,66577,60486,1118,2695,946,888,54,65254,61503,632,1968,814,354,28,1164,586,51,0,1289,66625,62296,799,1865,998,323,5,55929,53049,498,1743,461,203,20,0,0,54080,51552,363,1354,628,180,0,1166,426,20,0,58,0,55373,51049,794,1794,705,662,40,55373,51049,794,1325,523,43,2,1533,54094,51442,442,1304,607,249,0,0,0,0,0,54825,52132,504,1281,608,230,4,1010,447,25,4,54708,52121,671,1167,520,152,5,928,368,23,5,33630,13315,19884,31474,11608,19866,34285,11525,21515,33959,11956,20211,33290,13604,19686,33186,14340,16982,32952,13695,17389,27667,12342,14793,27855,13223,14159,33153,13244,19103,37966,14244,23243,37632,16237,20435,37223,13201,22465,37255,13826,22145
58,58,66117,62584,588,2334,444,281,35,0,0,64102,60220,765,2534,428,103,34,0,0,64473,58775,908,2692,609,816,29,64556,58837,908,2730,610,817,29,62939,58613,549,2978,390,182,30,2065,323,1,0,1273,62932,58416,552,2607,327,300,26,52653,50464,366,1418,272,192,14,0,0,51490,49349,450,1418,187,87,0,1198,164,3,0,20,0,52117,48313,600,1673,404,563,15,52117,48313,600,1317,283,58,6,1420,51155,48915,340,1612,153,132,0,0,0,0,0,51378,49267,360,1510,124,124,0,1342,75,12,0,50741,48076,383,1828,300,211,4,1497,171,7,4,31237,14211,16510,28995,12287,16708,31892,10568,20451,31372,11628,17880,30606,13341,17265,30519,13979,14813,30300,13533,15080,24927,11288,13263,25219,11862,12973,30610,11926,18062,35901,12155,23377,35471,14345,20344,35059,11872,21855,35147,12533,21636
59,59,70995,69146,534,692,432,209,37,0,0,67971,65289,540,1048,684,360,64,0,0,66527,62617,836,1093,485,895,31,66601,62687,837,1114,499,895,31,67103,64526,539,888,684,240,71,527,521,20,0,872,66693,63539,595,1064,454,267,51,57254,56058,338,411,288,160,25,0,0,55919,54453,302,556,306,233,0,489,239,44,0,109,0,55022,52380,537,626,330,647,24,55022,52380,537,435,225,52,6,1289,55240,53930,345,485,248,216,0,0,0,0,0,55193,53741,421,606,209,193,0,544,120,0,0,54449,52769,429,663,402,157,0,473,303,6,0,32502,12836,19126,30812,11088,19724,34178,9873,23183,33836,10776,21056,33154,12264,20890,32980,13246,17896,32808,12709,18115,26822,11094,15300,26969,11710,14856,32907,11593,20583,38481,12066,25971,38079,14174,22970,37679,11425,24776,37737,12032,24509
60,60,65835,63752,381,1234,241,253,31,0,0,63921,61292,760,1221,365,300,23,0,0,64179,60077,578,1503,365,968,54,64259,60148,579,1540,371,971,54,63232,60710,703,1154,357,294,24,565,257,31,0,946,63934,60925,573,1324,339,387,25,52448,51202,230,692,153,180,14,0,0,51078,49492,427,712,175,252,0,599,145,64,0,40,0,52158,49438,337,936,216,718,27,52158,49438,337,649,132,45,15,1447,50907,49428,385,673,204,184,0,0,0,0,0,51606,50137,291,754,182,259,0,551,170,23,0,51074,49341,361,971,152,206,11,630,114,5,11,30615,12874,17238,29346,10795,18551,31390,9318,21101,31148,10212,18942,30651,12178,18473,30527,13054,15732,30438,12655,15786,24381,10184,13728,24555,10709,13397,30317,10697,18877,35835,10837,24520,35536,13163,21458,35241,10462,23266,35310,11135,22908
61,61,59890,49245,1359,3297,5936,231,40,0,0,61561,48817,1509,3662,7670,187,65,0,0,63899,48418,2157,4227,8394,502,55,63924,48429,2159,4248,8394,503,55,61273,47449,1295,5023,7520,190,53,4482,6900,17,0,1063,62806,48358,1423,4855,7969,213,6,47319,39660,889,2383,4321,153,29,0,0,46633,39245,837,2496,3913,71,0,2299,3848,24,0,69,0,51626,40292,1503,3043,6141,373,35,51626,40292,1503,2657,5878,34,8,1071,46383,38258,849,3486,3627,92,0,0,0,0,0,47778,39181,919,3304,4196,144,0,3172,4018,0,0,48291,39159,865,3514,4598,146,31,3269,4376,0,31,35299,19185,15817,34706,17686,17020,36291,20468,14552,36305,18397,17535,35997,19877,16120,35576,17627,17266,35678,18909,16142,32530,20002,12130,32577,20819,11396,36850,21703,14570,42099,25709,15991,41688,24880,15888,41418,22464,17515,41536,23549,16868
62,62,69643,64901,849,2750,921,326,36,0,0,66157,61400,1065,2602,1052,338,46,0,0,65557,58684,1353,3068,1051,938,53,64920,58478,1298,2712,1054,939,53,65567,60165,1077,2563,1157,430,22,1810,776,41,3,1607,65293,59422,1132,2754,1141,392,0,57630,53772,663,2283,729,246,21,0,0,54838,51518,769,1986,461,238,4,1579,317,28,4,0,0,54466,49014,1048,2493,834,682,37,54466,49014,1048,2108,664,70,3,1466,54400,51155,723,1862,426,360,4,0,0,0,0,54015,50350,863,2015,619,280,0,1519,425,22,0,53859,50093,1000,1967,571,158,0,1616,451,7,0,30540,14571,15381,28992,12491,16501,30479,10211,19110,30451,10963,17159,29905,12730,17175,29844,12653,14983,29724,12709,14624,23607,10854,12304,23563,11060,12092,28666,11142,16803,32685,11041,21233,32404,12840,18723,32165,10320,20397,32264,11145,19980
63,63,69380,67559,379,868,364,254,25,0,0,66625,64561,522,980,472,208,100,0,0,64923,61500,606,1021,417,890,45,65048,61621,606,1034,418,891,45,66469,63876,585,1151,424,219,82,828,162,59,0,922,65512,62501,723,1155,454,286,63,55417,54115,242,610,276,195,20,0,0,53695,52295,385,612,207,156,19,550,141,66,19,70,0,52156,49625,422,719,299,698,36,52156,49625,422,531,196,46,15,1209,53275,51815,368,680,251,172,0,0,0,0,0,52730,51130,442,712,243,221,0,648,107,24,0,51572,49923,445,687,277,216,0,545,180,9,0,30017,10656,18667,27387,8100,19287,30447,6608,22783,30271,7844,20337,29866,9289,20577,29661,9417,18457,29563,9561,18019,24048,7920,15690,24160,8227,15479,29383,7862,20875,34425,7455,26579,34133,9153,24218,33903,6965,25521,33917,7466,25352
64,64,67190,64877,580,1050,359,358,40,0,0,63877,61313,668,841,384,701,38,0,0,62093,57945,727,1083,419,1221,42,62365,58196,732,1155,439,1230,43,63400,60370,680,1243,417,358,44,700,235,8,0,1090,62200,58872,649,1144,472,467,40,52330,50972,335,529,231,266,21,0,0,50616,49176,357,414,172,477,0,333,154,20,0,56,0,49002,46346,421,551,256,873,28,49002,46346,421,360,169,77,8,1529,50516,48965,381,668,198,240,0,0,0,0,0,49790,48282,393,622,217,306,4,455,160,12,4,48914,47380,486,600,206,272,0,405,103,23,0,28198,11189,16452,25880,9486,16394,27811,7478,19144,27731,8186,17672,27381,9109,18272,27316,8681,16774,27305,9090,16217,22085,8188,13470,22255,8721,13140,26998,8568,17724,31747,8998,22320,31336,10084,20353,31180,7808,21668,31141,8339,21540
65,65,68875,65106,939,2181,319,376,45,0,0,66327,61849,1105,2742,416,352,67,0,0,63866,58521,993,2090,458,1091,72,61937,57487,852,1393,466,1091,72,65809,61121,1176,2487,417,394,70,2000,235,57,4,1146,64075,58780,1395,2085,868,412,266,54551,51577,696,1827,207,265,25,0,0,53253,49747,723,2353,191,270,0,2240,171,58,0,57,0,51773,47551,718,1794,280,825,38,51773,47551,718,1633,182,83,8,1510,53154,49907,807,1962,183,341,4,0,0,0,0,51292,48341,891,1439,263,308,33,1345,210,62,33,50688,47896,751,1425,225,311,70,1264,164,24,70,29031,12878,15470,26319,10527,15792,28641,7787,19603,28331,7934,18879,27548,8967,18581,27479,8122,17206,27464,8898,16287,22622,8381,13854,22852,8586,13849,27552,8520,18326,32039,9204,22342,31387,9451,20903,31206,8149,21431,31318,8748,21269
66,66,64435,63225,373,351,182,355,18,0,0,62718,61055,439,541,223,449,32,0,0,62181,59351,520,410,271,940,37,62378,59544,520,427,278,943,37,62466,60839,476,552,208,374,6,215,121,28,2,685,62427,60317,599,549,239,369,4,49845,49038,224,230,125,247,8,0,0,48565,47501,269,291,123,391,19,197,103,48,19,12,0,48506,46532,344,236,173,711,27,48506,46532,344,128,84,60,7,1267,48000,47095,304,237,125,250,4,0,0,0,0,48455,47485,343,234,130,244,4,177,106,27,4,47495,46622,299,262,55,200,13,132,25,31,13,25983,8941,16402,24464,6626,17838,26869,4967,21070,26658,5789,18792,26353,7046,19307,26220,7298,17379,26257,7300,17185,21412,6185,14882,21407,5932,15123,26224,6015,19626,31337,6120,24816,31043,7254,23079,30854,5485,24096,30908,6250,23729
