ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
10,7A,78502,64616,1851,7234,4702,474,59,0,0,82227,63781,2290,9485,6618,430,172,0,0,84006,59758,3230,12213,7210,1522,119,84123,59820,3232,12256,7246,1484,119,80877,61306,2535,9610,6970,464,121,8302,6247,52,30,1905,83797,60276,3452,12786,6692,827,209,62436,53094,1178,4645,3345,334,37,0,0,63705,52998,1181,5840,3504,205,19,5312,3273,25,19,36,0,66901,49862,2095,8380,5241,1090,80,66901,49862,2095,7677,4820,107,24,2123,63135,52237,1446,5719,3648,170,40,0,0,0,0,64037,51063,1855,7193,3504,432,14,6693,3344,40,14,62357,46734,2196,8752,4206,432,4,8206,3948,23,4,40267,14936,24560,39746,15924,23822,43023,16099,24425,42419,16430,24800,36557,15976,17904,36987,7602,29056,36219,15643,20556,40155,15316,23552,45868,20162,24539,47933,21084,25315,47677,16230,30019,46541,19728,25544
11,7B,40759,36011,963,2537,1139,280,40,0,0,42086,36318,1510,2560,1530,382,61,0,0,45409,36601,1993,3702,2142,936,57,45473,36640,1994,3692,2155,923,57,44418,37402,1612,3302,1955,495,47,2812,1344,11,0,1200,45455,37290,1789,3844,2195,431,17,31373,28188,595,1713,755,188,23,0,0,32909,29239,920,1630,824,222,0,1544,741,29,0,65,0,35553,29588,1212,2559,1428,656,41,35553,29588,1212,2212,1191,64,14,1148,34549,30074,936,2034,1077,301,0,0,0,0,0,35384,30253,1010,2536,1276,269,0,2440,1099,0,0,34769,29731,1099,2250,1269,285,0,2108,1014,55,0,22854,7465,14892,22741,7486,15255,23719,6697,15531,23446,6756,16069,20111,7023,11621,20232,3166,16870,19958,6793,13152,22513,6731,15036,27652,9934,16952,27906,9634,17427,27761,7006,19746,27185,8684,17594
12,8,120793,74836,5689,32247,8010,1158,174,0,0,121771,64977,7741,39266,10116,1135,348,0,0,128099,59087,9011,47388,11224,2402,163,128487,59191,9014,47361,11257,2277,159,121383,62976,8309,40234,10202,1423,340,37765,8753,212,85,2893,123938,60963,7028,43276,12086,1266,349,94095,62609,3809,21699,5766,791,115,0,0,86840,54279,2788,24054,5008,452,53,23612,4591,166,53,240,0,98961,50302,5927,33048,8393,1739,110,98961,50302,5927,31019,7738,249,30,3245,86968,52476,3487,25305,4880,512,60,0,0,0,0,90733,52431,3402,28190,5878,518,120,27261,5390,180,120,91340,50035,3779,30928,5722,618,108,29785,5239,174,108,53810,28365,24432,54071,31519,22552,57790,32508,21926,56969,32745,22187,46618,28973,14729,46737,18557,27667,46416,28966,17418,51664,29369,20639,55843,34399,20039,56054,34471,19946,55663,29255,24806,54552,33806,19326
13,9A,74383,53559,3373,5724,11600,472,101,0,0,78858,51015,3966,6924,17013,476,117,0,0,85549,48967,5483,8018,22003,1169,108,85573,48980,5486,8015,22024,1141,107,81601,51091,4594,7131,18829,539,130,5474,16444,109,65,3514,84847,49829,5135,8241,21218,728,343,53455,39640,2138,3744,7788,312,65,0,0,54836,39431,2114,4207,8843,171,34,3926,8476,129,34,66,0,63791,38894,3588,5469,14982,787,73,63791,38894,3588,4746,14280,56,10,1920,55749,38816,2318,4120,10123,132,57,0,0,0,0,58099,38324,2692,5047,11667,303,112,4614,10957,103,112,60179,38337,3590,4873,12835,404,92,4498,12108,186,92,39170,18142,20450,42402,19911,22491,44229,21998,18903,43291,20634,21401,38418,20765,15208,38708,11056,27227,37894,20046,17815,42204,20736,19972,50716,29936,19250,49965,28487,19145,49934,21795,27167,47995,26514,20467
14,9B,40061,23281,1611,4346,10768,319,68,0,0,44509,22488,1601,4829,15348,368,26,0,0,44688,20953,2242,5427,15673,465,76,44708,20958,2242,5421,15730,426,76,43668,23218,1629,4295,14215,374,18,3725,13288,118,2,1427,43762,22406,2242,4298,14233,455,27,29590,18118,1055,2931,7392,213,49,0,0,28743,17615,893,3081,6818,111,10,2920,6510,38,10,239,0,33518,17191,1438,3685,10806,339,42,33518,17191,1438,3267,10388,45,4,1042,28013,17944,882,2658,6209,86,2,0,0,0,0,28234,17573,965,2810,6536,206,2,2642,6316,29,2,28902,17534,835,3487,6795,166,5,3116,6590,38,5,18853,10744,7800,18478,10957,7521,18153,11511,5253,17650,10635,6373,15817,10493,4333,15790,6086,9523,15570,10130,5418,17752,10891,6217,23570,16516,6403,24035,16271,6572,23964,12906,10614,22977,15167,7172
15,10,118392,44281,5731,62047,6862,1233,186,0,0,127281,42029,6857,69756,9199,1254,374,0,0,125835,37145,8770,70551,9068,2000,170,126173,37179,8775,70252,9025,1817,161,127277,42074,7034,69822,9143,1203,391,66434,7577,339,21,3394,129727,40694,8443,72127,9573,1157,527,89437,36213,3923,44483,5025,845,137,0,0,91019,34809,2375,48491,4368,654,26,47767,3994,257,26,411,0,97564,31702,5833,52899,6701,1494,121,97564,31702,5833,50327,5972,141,20,3040,91174,34387,2729,48779,4374,526,19,0,0,0,0,93475,34002,3354,50138,5177,499,8,48774,4642,125,8,93012,33839,4266,49419,4768,592,18,48113,4267,62,18,56754,42274,13843,54754,41009,13745,51408,37478,11204,50605,36638,12196,43678,33240,8027,43498,24604,18432,43462,33500,9918,49210,35839,11975,62981,49472,12181,62101,47143,12938,61844,42487,18170,60604,46853,12484
16,11A,37048,16830,2182,15406,2800,326,55,0,0,39801,13807,3380,20110,3377,317,85,0,0,42293,12849,3620,22651,3199,648,50,42367,12853,3622,22525,3193,543,50,40658,13327,2903,22000,3476,566,153,19329,2776,25,0,2091,40301,12837,2674,22671,3096,769,102,29109,14228,1570,11206,2133,244,49,0,0,27353,11803,835,13242,1291,182,0,12957,1180,4,0,123,0,33211,11277,2430,17004,2478,472,31,33211,11277,2430,16069,2256,35,5,956,29225,11354,856,15056,1322,176,0,0,0,0,0,30010,11006,1437,15649,1193,205,50,15253,1084,4,50,30258,9892,2101,16346,1344,276,25,15865,1270,14,25,16972,12298,4491,16539,12172,4367,16009,12036,3161,15697,11547,3628,13226,10380,2194,13045,7275,5660,13146,10308,2818,15147,11241,3499,19812,15910,3526,19444,15245,3652,19379,13710,5362,18958,15042,3566
17,11B,78556,59193,2178,11509,5631,310,78,0,0,81734,58363,2856,14017,6308,259,47,0,0,84037,57444,3826,15078,6841,844,108,84119,57459,3828,15104,6859,809,107,82961,58984,3516,14445,5940,259,63,13723,4971,120,35,1508,85833,60667,2993,15569,6069,396,99,61490,47320,1525,8558,4018,218,62,0,0,60974,46213,1609,10264,2729,203,0,9988,2531,141,0,44,0,65969,46105,2515,11687,4946,609,71,65969,46105,2515,10857,4392,69,20,1697,62277,46983,1880,10415,2783,152,0,0,0,0,0,63626,47795,1549,11068,2904,217,4,10683,2654,109,4,64092,46229,2410,11713,3439,216,6,11237,3041,56,6,43987,24405,19039,44058,24126,19932,44657,26539,15205,44003,25466,17401,39606,25208,11732,38977,13280,25383,39031,23727,15279,42553,24380,16826,49293,32071,16013,48424,29901,16876,48550,24202,23661,47399,30584,15924
18,12A,77294,44589,4918,18312,9783,879,138,0,0,84081,42929,6723,22032,12873,1101,71,0,0,86401,40411,7653,23866,14213,1654,186,86473,40425,7656,23693,14236,1478,174,84303,42354,7360,22170,12786,1304,53,18640,10752,138,22,4624,85449,41721,6466,23337,14085,839,301,58437,35436,3290,12570,7147,588,89,0,0,59238,34790,3215,13559,6865,472,15,13008,6199,139,15,387,0,66573,33719,5098,16787,10467,1171,141,66573,33719,5098,14988,9458,99,33,2780,60816,35251,3749,13978,7205,613,20,0,0,0,0,63017,35342,3749,15311,8182,402,20,14359,7214,40,20,62040,33649,4151,15207,8423,457,31,14249,7319,50,31,39108,25896,12637,38653,25748,12905,41623,27901,10599,40939,26816,12564,37436,26498,8659,37342,17610,19242,37009,26271,10708,40429,26879,12080,48238,36182,10694,47972,34909,11120,47805,29875,17049,45924,33201,11406
19,12B,41520,26663,3166,9757,1826,512,126,0,0,44156,24420,5681,12421,1751,439,215,0,0,45293,22516,6255,13171,2586,1325,124,45434,22577,6260,13138,2577,1260,123,44027,24091,5437,12829,1591,483,302,10893,1160,95,156,2006,44351,23363,5958,12631,2068,1174,196,31943,21755,2085,6576,1359,355,87,0,0,31441,20088,1926,8035,925,281,100,7615,795,217,100,70,0,34918,18817,3982,9430,1973,991,74,34918,18817,3982,8619,1665,144,29,1525,31834,20193,1904,8610,775,240,155,0,0,0,0,32291,19929,1841,9097,1176,331,70,8421,1002,38,70,32888,18558,2615,9932,1483,353,0,9275,1261,47,0,16036,8424,7309,16070,9317,6753,17974,8970,7995,17707,9535,7500,13580,7912,4811,13603,5124,8301,13473,8006,5452,15670,8266,6937,18059,10039,7568,17710,9660,7511,17536,8232,8636,16732,9417,6718
