ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
20,13,110211,57857,8609,28547,15646,1373,203,0,0,126096,57749,11897,35847,21344,1380,143,0,0,131670,52785,14927,39296,23995,2519,243,131054,52635,14908,38673,24067,2179,231,127802,55519,11411,38055,22824,1131,121,34590,20500,190,1,4753,133533,54934,13576,40727,23892,1622,216,81627,45663,5606,19362,11028,868,129,0,0,84515,45493,5041,22244,10976,402,0,21759,10386,200,0,453,0,99018,43648,9786,27403,17225,1747,148,99018,43648,9786,24805,15948,157,44,3953,86874,44873,5414,24421,11395,428,1,0,0,0,0,90799,44959,6297,26563,12166,388,30,25714,11325,34,30,93114,43811,7190,27376,13457,476,29,25940,12602,40,29,53761,35605,17374,57110,38792,18318,64990,44902,15317,64022,43330,18238,57877,41978,12709,57807,28855,28307,57278,41775,15464,61763,42114,17498,68788,51812,15019,68668,49826,15871,68401,42492,24647,66018,47456,16410
21,14,122016,61230,11906,31921,17545,1067,186,0,0,131908,58042,15103,38795,20702,1325,249,0,0,127872,51873,16882,38973,19865,2057,298,127947,51884,16889,38750,19845,1901,288,131611,56555,16079,38796,20996,1051,215,34794,18443,291,0,4909,129085,52967,16821,39902,19081,1372,381,91421,48279,7995,22106,13155,738,133,0,0,90056,46385,7561,22323,12874,585,0,21656,12224,279,0,460,0,98895,43028,11721,28139,15421,1478,214,98895,43028,11721,25764,14197,134,56,3376,89148,45087,8150,22078,13137,541,0,0,0,0,0,89280,42945,8812,24100,12567,428,0,23006,11590,105,0,89281,41285,10016,25330,11639,405,60,24121,10734,71,60,62264,41409,20278,60270,39593,20677,65778,44790,16990,64646,44157,18606,54545,39189,13068,55014,26904,27606,53966,38942,14981,61230,41305,18168,73263,53816,17639,70615,49019,18911,70408,42496,26862,67812,47862,18700
22,15,117372,66409,9539,13132,28539,736,169,0,0,125362,61282,11629,18436,34675,1027,169,0,0,130355,58320,13751,19713,37734,1665,220,130414,58335,13756,19675,37780,1558,221,124140,58167,13302,17293,36129,816,176,14207,33057,133,24,4675,127944,56850,14837,18653,37369,1035,321,85807,50237,6612,8656,20318,490,119,0,0,83559,46769,6172,10336,19619,504,44,10057,18922,135,44,241,0,99449,47388,9789,13512,27794,1167,140,99449,47388,9789,11930,26368,103,27,3283,83508,44710,6590,9952,21484,509,19,0,0,0,0,86705,44980,7529,11317,22090,459,20,10672,21038,40,20,91520,45199,8988,11897,24789,314,0,11183,23618,32,0,57969,38375,18975,56713,37156,19557,61644,41923,15812,60474,41365,17410,52718,37231,12792,53195,24136,28542,52072,37046,14993,58813,39296,17790,72914,53960,17186,71321,49757,18456,70994,41718,28250,69000,48815,19088
23,16,117612,89584,8014,5320,14397,519,199,0,0,126622,88691,11360,8286,18379,738,177,0,0,132973,87730,12031,9218,21874,1185,223,132983,87736,12033,9218,21904,1179,222,127890,87240,11330,8854,20001,843,172,7301,16260,74,16,4822,128773,85968,10726,9236,21697,909,238,91208,70317,5886,3955,10782,380,154,0,0,87350,66162,5496,5118,10033,331,24,4698,8856,110,24,212,0,104350,71233,8655,6773,16048,819,170,104350,71233,8655,5564,14273,93,54,3847,87979,65996,5697,5338,10443,353,14,0,0,0,0,89080,65809,5819,5467,11217,367,24,5094,9838,81,24,88708,64675,6847,5588,10794,367,0,5151,9558,57,0,62141,45445,16062,68721,49452,19269,68975,53035,11532,68363,52539,14482,61385,47728,10496,60952,30987,29401,60750,48277,12438,66037,49169,15059,76138,62389,12112,75460,60074,12655,75395,52291,22408,74323,59021,13817
24,17,120517,56501,22911,17026,24647,1200,280,0,0,131473,54593,27328,20295,29425,1287,395,0,0,134626,51849,30717,21184,30030,2571,289,134714,51861,30739,21200,30178,2063,274,133038,55536,27312,21538,29097,1359,474,18275,25323,305,0,5294,133903,53092,29148,19734,31078,1383,300,93274,46424,16275,11991,18730,844,199,0,0,78920,43243,9403,10905,14311,522,4,10360,13403,186,4,652,0,105172,43856,21612,15668,23189,1890,202,105172,43856,21612,13556,21701,153,54,3518,83003,44319,10905,12724,14011,573,0,0,0,0,0,81774,42864,11102,12270,14740,446,0,11745,14145,174,0,82048,41281,11541,12969,15604,315,10,12355,15047,81,10,47746,34088,13053,49396,36023,13373,52621,39311,10198,51743,39067,11043,43911,34171,7708,43986,24152,19321,43438,34295,9118,49242,36359,11426,59894,47155,11224,59428,44616,12601,59020,39074,19047,57427,43945,12474
25,18,119962,58530,30246,17765,14040,1476,333,0,0,125395,57554,33957,19187,15229,1591,459,0,0,127698,55002,35279,21021,15641,2926,271,127768,55010,35311,21068,15695,2678,265,125054,57230,33810,21182,13362,1432,332,17358,10500,265,182,5012,128084,56573,35983,21931,13804,1911,123,91864,46801,21621,12952,10732,1031,256,0,0,77395,43828,12624,11644,8538,487,56,10918,7788,166,56,322,0,97935,44244,25218,15685,12019,2212,192,97935,44244,25218,13541,10716,119,42,3353,79364,43862,14076,12895,7607,498,52,0,0,0,0,81418,44222,15987,12469,7910,506,65,11726,6879,154,65,82634,44473,16755,13282,7569,532,45,12451,6420,160,45,50572,38594,11380,54742,42701,12041,59302,47333,8342,58588,47191,9682,51259,41958,7278,51249,30927,19710,50672,41974,8661,55595,43571,10458,62699,52015,9082,61408,48378,10697,61171,43497,16888,60150,47864,10601
26,19,119779,51567,27020,25176,16612,1325,261,0,0,130122,49397,34525,27257,18638,1397,220,0,0,128540,44902,35260,27885,19306,2782,212,128638,44916,35287,28300,19480,2291,201,130366,49503,34902,26940,18931,1503,237,23953,16816,202,63,3486,131320,49054,34834,27503,19155,2153,360,92813,42924,18975,18280,12856,909,195,0,0,81966,40233,12674,16270,12041,422,45,15798,11598,137,45,326,0,100177,37794,24766,21064,15367,2062,151,100177,37794,24766,18786,14195,108,43,3526,82202,40306,13196,16320,11859,337,124,0,0,0,0,84169,40301,14344,16835,11864,455,107,16063,11109,199,107,81877,37440,14872,16491,12387,507,117,15542,11417,196,117,54315,37973,15736,53357,38157,15200,58554,43146,12089,57641,43140,12886,49465,37830,9799,49683,26490,22684,48898,37555,11305,54558,39404,13680,63105,48225,13368,60836,43774,14758,60499,38273,21351,59018,43275,13959
27,20,117670,41502,26516,39662,11567,1642,308,0,0,130486,42434,30738,45400,13347,1494,284,0,0,130161,39873,31571,46745,12434,3289,215,130259,39885,31590,46486,12447,2560,209,128405,42065,29043,45709,12191,1421,211,42011,9875,67,10,4788,128872,40882,27738,46981,13835,2205,397,91133,34274,18705,30103,8943,1197,228,0,0,77655,34216,10000,25366,7277,432,35,24541,6553,60,35,500,0,100783,33259,22032,35815,9784,2405,156,100783,33259,22032,32634,8510,123,19,3542,77928,34442,9518,26253,6821,419,14,0,0,0,0,79269,33777,9602,27079,7616,492,140,25995,6685,138,140,82518,33870,10632,29060,7985,508,66,27842,7103,163,66,48860,41397,6905,45184,39055,6129,50049,43155,4488,49150,42262,5099,44620,39581,3645,44762,32903,11332,44360,39939,4387,48641,41702,5753,59279,52339,5656,56206,46897,7335,55876,44410,10804,54951,46869,6437
28,21,113988,45217,18834,37681,13094,1329,244,0,0,119684,40758,23793,42231,14430,1222,369,0,0,133402,41453,30685,44192,17257,3201,289,133497,41466,30701,44035,17292,2808,277,119762,39648,23673,41968,16316,1354,241,37498,13770,138,9,4403,131911,38315,30030,48302,16765,1366,79,91853,39880,13214,28223,10856,994,196,0,0,79573,35003,7709,28064,7821,466,60,27494,7097,206,60,519,0,108661,37422,21382,34931,14716,2389,220,108661,37422,21382,31895,13168,212,41,3874,79374,33819,7831,27323,9169,391,10,0,0,0,0,86844,32942,10113,32686,9630,591,10,31761,8735,167,10,87717,30388,11101,35768,9187,934,21,34419,8209,142,21,41471,29811,11102,44535,34071,10464,48890,37039,9076,47563,35658,9959,36698,28881,6297,37291,21395,15460,36248,28894,7305,42842,31915,9623,50696,39608,9710,53728,40425,11254,53423,36604,15898,49421,38402,10807
29,22,118681,21263,30625,60962,7206,1615,273,0,0,126340,20091,37685,61516,7997,1680,83,0,0,136297,18366,44551,65046,9201,4029,242,136451,18376,44584,64784,9181,3132,225,126424,19512,37492,61696,8801,1415,179,57339,7542,336,5,3702,133728,20009,39854,65235,9832,2510,197,88907,18667,20331,44998,5717,1131,193,0,0,69325,16529,8633,40218,3209,537,4,39690,2858,290,4,344,0,102287,15835,29871,49989,7059,2915,176,102287,15835,29871,46692,6198,167,28,2926,69963,15753,10339,39723,3133,595,4,0,0,0,0,73936,16242,10378,42551,3651,991,4,41471,3310,282,4,72215,15372,11425,40922,3295,870,0,39399,2943,174,0,42877,37087,5328,44020,39527,4493,52534,45900,4488,51139,44222,4776,39276,35012,3217,39389,27967,11001,38872,35023,3794,44873,38447,5315,48525,42610,4713,44987,37296,5922,44779,35509,8624,43171,37415,5556
30,23,118539,31156,6783,76394,5232,1533,194,0,0,128434,27278,8223,87918,6386,1770,275,0,0,135858,24230,11852,94422,6350,2662,217,135983,24244,11856,93851,6322,2514,208,129887,25954,9069,90259,5358,1547,297,84908,4004,242,44,4495,134041,24824,10304,94079,5398,1750,400,89161,26390,4474,54830,3807,1075,117,0,0,94094,23051,3958,62681,3033,981,55,61378,2772,159,55,807,0,106485,21195,7958,72745,4855,1985,168,106485,21195,7958,68619,3998,217,49,3872,94513,21951,3959,64526,2773,1015,10,0,0,0,0,98956,21401,4606,68544,3242,857,4,67131,2849,175,4,99096,20222,5804,68455,3405,1691,39,66375,2983,171,39,61521,49653,11378,61087,50294,10793,58300,46368,9237,57205,45808,9558,53968,45459,6976,54855,33453,20897,53366,45403,7901,59199,47222,10641,77681,66779,9382,74867,62983,9864,74733,59584,14255,72738,62873,9689
31,24,122359,7827,8012,104331,3333,1380,134,0,0,128675,7551,11855,106597,4103,1307,102,0,0,135172,6995,16977,108272,4216,2437,151,135504,6997,16986,107744,4173,2186,137,129085,6544,13705,105749,4533,1603,112,101244,3544,147,37,3286,134870,6615,15873,109115,4669,1830,55,91090,6889,5271,77022,2503,964,87,0,0,91711,6309,3618,78979,2149,652,36,77910,1954,109,36,481,0,105442,6244,11254,85390,3260,1826,110,105442,6244,11254,81600,2692,200,15,2957,91915,6130,4435,78213,2274,709,30,0,0,0,0,95654,6404,4708,81294,2384,724,20,79986,2239,117,20,91472,6395,6454,75230,2682,611,36,73848,2503,69,36,58380,55207,2893,59327,56815,2512,61881,57583,2741,60440,55740,2837,49804,47003,1908,49420,37715,11221,49294,46803,2421,56036,50988,4106,65964,61088,3668,61681,55037,4933,61552,53649,7250,59628,54955,4504
32,25,124844,8567,5690,109288,2313,1535,173,0,0,127957,7507,9503,109999,2438,1327,73,0,0,135779,6245,12307,115560,2894,2385,220,136069,6251,12316,114935,2858,2183,212,128278,7370,10085,109758,2536,1322,105,105439,1826,106,25,3009,132406,7830,9958,113118,3025,2499,302,93784,7507,3804,81166,1748,1137,114,0,0,93673,6452,3266,82305,877,642,19,81361,803,90,19,523,0,106999,5495,8246,91599,2230,1838,150,106999,5495,8246,87771,1731,281,32,3003,94356,6177,3789,82689,1074,657,24,0,0,0,0,99342,6356,4344,86289,1223,870,135,84430,1126,128,135,97656,6266,4347,84661,1135,934,82,82403,1066,215,82,60425,57752,2432,60424,58291,2133,56858,53192,2267,55663,51764,2272,49845,47268,1747,49426,37910,11054,49330,47191,2085,54917,50282,3764,68677,64313,3238,64810,59122,4186,64629,57614,6343,62850,58709,3997
33,26,125582,10215,9000,101368,6284,1503,201,0,0,129596,9454,15799,98355,6590,1896,214,0,0,135433,8544,21040,99960,6692,2748,267,135704,8550,21049,99456,6627,2401,255,130300,9931,17678,97060,6495,1930,194,92407,5347,611,108,3581,136582,10018,19903,100768,6171,2976,197,96494,9218,6035,76853,4971,1094,149,0,0,94702,8485,3871,76622,4149,1044,145,75596,3948,529,145,841,0,108391,7671,14105,81462,5446,2067,214,108391,7671,14105,77928,4809,221,69,3001,94117,8627,4608,75637,3859,893,110,0,0,0,0,99404,8587,5937,79883,3569,1125,15,78434,3464,510,15,99041,8487,7942,77915,3320,791,31,76361,3204,192,31,64743,59966,4503,66059,61931,4128,58803,53705,3495,57549,52434,3440,49415,45708,2748,49155,36124,12546,48910,45625,3208,54888,48976,4971,65869,60248,4464,61167,54056,5481,61000,52370,7878,59533,54355,5036
34,27A,36472,13363,1811,20006,1301,604,96,0,0,41765,11173,3397,25686,1737,613,56,0,0,45367,9738,3683,30265,1704,1327,90,45471,9761,3684,29925,1679,1266,87,41848,10728,3159,26433,1581,628,72,24861,1151,189,23,1661,42917,10595,3263,27864,1567,1108,39,27092,10942,1193,13951,925,410,58,0,0,30197,9574,1509,17784,848,336,0,17418,822,179,0,197,0,34709,8376,2380,22521,1227,936,65,34709,8376,2380,21189,987,176,33,1363,30490,8906,1382,18854,732,339,25,0,0,0,0,31684,8750,1482,20196,756,606,19,19607,686,104,19,32696,7684,1817,21469,896,855,18,20515,844,75,18,19744,14580,5000,19887,14980,4907,20497,14948,4777,20130,14780,4697,17676,13943,3299,17533,10478,6922,17568,13979,3572,19647,14625,4637,24619,19651,4553,24129,19001,4551,24037,17811,5799,23598,19153,4392
35,27B,42505,24709,1365,15203,1074,571,43,0,0,45355,23912,1898,17510,1677,1089,142,0,0,45259,22943,2758,17451,1485,1173,167,45304,22961,2759,17373,1492,1134,163,44438,24029,1505,17055,1432,1058,208,15725,1018,131,14,1920,46786,23060,2602,19255,1724,693,207,31911,19020,841,11141,720,395,25,0,0,34938,18838,1122,13217,939,661,30,12782,839,109,30,329,0,35206,18220,1751,13678,1031,843,110,35206,18220,1751,12737,708,100,31,1492,33941,18943,882,12521,780,637,60,0,0,0,0,35529,18360,1564,14323,726,381,95,13820,566,43,95,36808,18487,1606,15098,796,284,23,14650,668,45,23,21831,13050,8561,23653,14862,8791,23817,13238,9386,23199,13316,9045,20244,12602,6953,20397,8203,12010,19983,12350,7620,22100,12647,8913,25225,16167,8535,27070,16756,9581,26961,14726,11632,26292,17067,9180
36,27C,42428,33383,1061,6886,893,482,45,0,0,45761,34453,2197,7306,1508,499,551,0,0,45440,33601,1963,7268,1429,1184,137,45516,33642,1963,7324,1420,1164,133,44642,33515,2358,6893,1618,434,517,5791,1018,68,38,1815,44605,33688,2061,6979,1300,649,120,31311,24923,634,5022,544,308,27,0,0,34838,26931,1319,5422,662,263,40,5054,442,56,40,217,0,34733,26237,1199,5439,938,859,54,34733,26237,1199,4923,589,101,16,1557,34388,26397,1484,5466,732,204,40,0,0,0,0,34294,26445,1313,5524,665,421,0,5094,462,26,0,34661,26405,1401,5702,778,432,6,5070,571,21,6,21331,9867,11205,21162,9770,11392,21861,8143,12407,21067,8381,11877,18434,7879,9774,18583,4092,14313,18119,7555,10554,20479,7849,12042,24913,11053,13321,27212,11249,15318,26992,8830,17293,26426,11945,14435
37,28,119206,58738,4869,50877,4845,2192,249,0,0,130458,53668,6893,64890,5695,3293,463,0,0,136354,48083,8973,71713,6967,3976,416,136503,48136,8973,71006,6898,3827,410,132845,52166,7588,67468,6199,3278,234,60978,4340,872,16,6287,137553,49366,9188,73052,7381,3313,308,87395,46345,3077,34377,3247,1522,159,0,0,96634,42593,3746,45306,3103,1683,14,43552,2750,574,14,927,0,103490,39649,5664,52030,4927,2887,259,103490,39649,5664,48351,3819,711,85,4686,98725,42405,3879,47041,3389,1483,20,0,0,0,0,101555,40347,4653,51117,3243,1480,10,49504,2821,318,10,102885,38248,5232,53694,3209,2001,94,51477,2773,313,94,56440,34578,21312,59570,38911,20659,63064,39142,21228,61981,38856,21166,51791,35508,14851,51740,25248,26079,51434,35406,15996,58860,37423,20149,73519,50363,21690,76945,52474,22346,76687,47798,27260,75422,53856,21374
38,29A,43064,36807,796,4420,708,461,44,0,0,43818,37288,1223,4409,707,356,28,0,0,45395,36878,1391,4771,1165,1129,112,45464,36918,1392,4816,1167,1120,110,42431,36242,900,4429,646,401,19,3871,424,23,1,966,43083,36415,1275,3925,848,383,18,31876,27355,472,3319,474,316,29,0,0,32693,28362,594,3070,410,255,0,2979,355,30,0,59,0,34547,28369,884,3619,749,805,64,34547,28369,884,3217,460,121,16,1359,31974,27626,592,3203,361,278,0,0,0,0,0,32122,27686,732,2989,580,255,0,2752,363,5,0,32582,27683,1012,3001,741,234,6,2801,428,0,6,19658,7683,11704,20021,7738,12283,21334,6076,14086,20642,6730,13187,16859,5996,10145,17010,2720,14123,16600,5739,10859,19250,5803,12914,23303,7597,15155,25478,7889,16971,25238,5978,18184,24640,8921,15677
39,29B,41156,25852,2502,10605,2212,548,122,0,0,46142,28192,3202,12303,2316,555,111,0,0,44567,24258,4119,12680,3011,1266,178,44663,24282,4120,12612,2989,1198,168,46762,28582,3124,12417,2673,634,71,10924,2053,11,8,1875,46809,27321,3236,12763,2702,718,21,30196,20114,1610,6811,1520,344,73,0,0,33465,21990,1458,8290,1369,278,0,8130,1167,10,0,104,0,33688,19539,2668,8757,2152,903,125,33688,19539,2668,7825,1642,100,49,1715,33742,22319,1446,8474,1256,327,0,0,0,0,0,34300,22155,1825,8768,1243,361,0,7954,984,4,0,34661,21119,2365,9525,1279,365,0,8758,908,48,0,15285,7785,7278,16463,8361,8102,17055,8015,7508,16444,7725,7886,13657,7219,5749,13666,4646,8744,13490,7191,6290,15537,7534,7356,19105,10397,8023,19102,10281,8103,18949,8528,9587,18457,10575,7840
40,29C,42684,34515,1426,5327,1159,502,87,0,0,42595,34061,1979,4560,1800,246,51,0,0,45423,34675,2037,5791,1740,1098,115,45479,34704,2037,5832,1732,1088,116,45164,35841,2602,4687,1733,755,82,3779,604,33,12,2278,46053,34931,3105,5634,1762,837,30,31533,26147,859,3558,756,314,53,0,0,31509,26435,1101,2946,889,119,0,2802,571,29,0,39,0,34884,27401,1306,4127,1146,749,81,34884,27401,1306,3643,822,83,11,1483,33712,28157,1387,3038,849,224,0,0,0,0,0,34949,28332,1677,3678,873,307,0,3359,526,41,0,36099,28773,2006,4144,775,327,2,3634,611,60,2,19191,8395,10488,20141,8511,11630,22624,8086,12788,21935,8035,12871,18488,7884,9614,18587,4261,14002,18234,7703,10512,20549,7697,12065,23630,10261,12601,26309,10893,14601,26071,8382,16528,25506,11529,13921
41,30A,83872,58625,8771,13810,2517,725,139,0,0,88867,60857,11745,13637,2785,880,99,0,0,83998,54659,12119,12994,3100,1467,142,84165,54684,12128,13162,3104,1327,139,88812,61738,11146,13204,2807,752,116,11740,1820,43,52,2172,87519,59834,10074,14004,3264,656,80,68087,49682,6262,10067,1920,539,115,0,0,68219,51417,4559,10051,1626,521,55,9499,1222,59,55,141,0,67659,46901,7785,9735,2296,1056,91,67659,46901,7785,8875,1765,78,28,2002,68698,51955,4972,9482,1614,448,50,0,0,0,0,67776,50773,4839,9767,1725,311,55,9249,1440,69,55,68082,50676,5308,9362,2066,302,83,8844,1715,61,83,41152,23470,17118,37809,21362,16447,38290,22223,13074,37435,20976,15284,33829,20695,11339,33619,11229,21970,33456,20469,12976,37296,21071,14969,47389,30877,15229,46298,29609,15091,46263,23802,21696,44964,28978,15166
42,30B,40807,34975,1283,3568,688,420,43,0,0,40660,33930,1975,3913,626,515,4,0,0,42333,33402,3125,3602,1120,989,61,42375,33425,3126,3645,1130,966,60,40644,33260,2956,3543,596,509,0,2991,368,130,0,930,41217,33747,2989,3531,590,507,0,31538,27304,800,2745,445,291,30,0,0,31185,26997,856,2823,332,303,0,2638,251,109,0,0,0,33207,26981,1895,2769,736,729,32,33207,26981,1895,2448,462,72,7,1222,31072,26570,1089,2762,328,394,0,0,0,0,0,31574,26958,1099,2960,310,289,0,2692,194,18,0,31738,27006,1237,2749,449,193,33,2563,261,22,33,21569,9381,11839,20378,9028,11350,20545,7761,11417,20157,8098,11408,18021,8070,9096,18118,3676,14252,17767,7789,9969,19884,7782,11506,24948,11354,12975,25265,11227,13228,25213,8515,16062,24269,11295,12924
43,31,117599,100149,4098,8742,3960,1063,208,0,0,124832,101881,5403,11834,5734,1089,56,0,0,130739,98679,7765,14717,6535,3146,271,130883,98772,7768,14803,6605,3095,274,124043,98735,5605,13152,6569,1171,29,9548,4494,238,0,5195,128970,98414,7187,15641,6384,1469,119,89447,77557,2590,5969,2771,742,118,0,0,94499,80192,2834,7554,3114,572,10,6937,2619,107,10,256,0,101344,78970,4945,10383,4589,2238,176,101344,78970,4945,8999,3548,230,54,4172,93645,78221,2924,8283,3564,633,0,0,0,0,0,97517,79843,3882,9571,3361,837,0,8624,2473,207,0,98071,78490,4384,10320,3819,923,0,9159,2717,159,0,59714,22021,36656,60692,23621,37071,66596,23010,39068,65535,24041,39490,55937,23686,28519,56431,11416,44450,55376,23409,31941,62040,22813,37125,73013,31490,39331,74555,32068,40127,74219,24231,47610,71017,30380,38627
44,32,120326,63851,9571,38910,8413,1492,440,0,0,132522,64894,11367,47085,9650,1743,843,0,0,138486,56524,17231,51975,12021,3265,437,135064,55829,17147,48984,11969,3046,429,135203,65667,10778,48501,9900,2200,719,43280,7686,194,25,6808,136570,61173,13391,51020,10560,2871,534,91655,51626,6301,27469,6190,1040,282,0,0,96750,52645,5454,32386,5228,809,90,31421,4610,227,90,462,0,107097,46918,11490,38430,9237,2396,293,107097,46918,11490,35233,7819,251,127,4670,98334,52832,5100,33673,5328,962,25,0,0,0,0,98726,49998,6288,35401,5749,1048,75,33594,5088,137,75,100555,48244,7797,36755,6405,1142,66,34397,5516,221,66,47788,27439,19602,47587,28900,18687,52048,30033,18819,51056,30289,18914,44020,28351,13266,44052,19438,24066,43737,28493,15212,48952,29155,18234,59078,38260,19174,58836,37297,19562,58416,32055,24699,55799,35535,18590
45,33A,36383,22658,2293,9014,2592,419,146,0,0,40314,22924,3478,10568,3769,664,172,0,0,42141,21769,3501,12796,3754,1000,160,42189,21786,3502,12742,3749,928,158,41087,22552,3985,10454,3729,756,218,8833,2489,27,6,3093,43414,22739,3999,12264,4175,1133,317,27225,17813,1541,6038,1818,287,91,0,0,29127,18184,1849,6999,1838,118,0,6694,1582,17,0,165,0,32043,17597,2370,9032,2606,712,117,32043,17597,2370,8110,2068,82,40,1582,30023,18414,2180,7127,1771,151,0,0,0,0,0,32015,18322,2436,8294,2259,177,60,7809,1868,39,60,31444,17066,2904,9167,1799,171,50,8567,1477,27,50,16811,9373,7201,17432,9995,7437,18030,10357,6215,17616,10131,6834,15345,9839,4612,15346,6408,8721,15198,9841,5332,17257,10214,6400,22102,14716,6735,21896,14406,6663,21794,11946,9313,21003,13974,6947
46,33B,42773,36987,1374,2780,1461,312,85,0,0,43316,34177,2204,4735,2001,499,38,0,0,45449,35311,2667,3960,2517,831,110,45469,35320,2668,3990,2547,817,110,43117,33982,2345,4350,2168,450,35,3676,1470,25,0,1413,44156,34419,2706,4047,2302,67,36,32713,28733,896,1969,950,214,61,0,0,32064,26471,1126,3008,1214,207,0,2919,851,25,0,45,0,34887,28002,1684,2813,1671,539,84,34887,28002,1684,2414,1203,44,10,1388,31950,26819,1169,2563,1273,141,0,0,0,0,0,32262,26951,1524,2455,1311,35,0,2308,1072,4,0,33100,27164,1567,2839,1348,157,0,2433,1091,6,0,25105,10788,13963,23998,10500,13498,24789,10950,11805,24261,10476,13016,19858,9607,9150,19924,4735,14995,19620,9423,10181,22759,10025,11900,28146,14988,12227,27871,14519,12254,27886,10916,16400,26893,13976,12624
