ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
16,16,62844,53144,3885,2549,3078,317,85,0,0,64539,51606,4351,3405,4907,424,82,0,0,64223,48822,5005,4603,4539,933,95,64824,52844,4016,3471,4261,306,67,2772,3455,75,35,10,1621,64225,50492,4594,4183,4568,352,25,47878,41657,2452,1495,2132,200,54,0,0,46280,41066,1656,1780,1497,180,35,1718,1337,53,40,0,49820,39687,3203,2796,3124,631,59,49820,39687,3203,2418,2763,66,24,185,1474,47503,42024,1665,2025,1599,171,35,0,0,0,0,0,47216,40376,2100,2767,1764,185,25,2300,1578,20,25,47548,40441,2389,2552,1943,165,0,1966,1575,8,0,35026,18240,16288,36565,18626,17939,35721,18295,14585,35334,14809,19203,32226,18361,13355,28919,22732,0,31530,18061,12748,31703,16940,14056,31631,20425,10537,35111,18833,15193,37855,22200,14913,37586,21034,15667,36172,20887,14644
17,17,64593,36982,11417,11899,4067,921,141,0,0,66928,35380,13115,13264,5808,859,124,0,0,63990,31647,13415,12607,5486,1697,150,64909,33835,12953,13422,5074,992,124,10878,4603,90,38,42,2473,62684,33171,11712,12988,4287,1423,91,47707,30618,6621,7262,2942,597,84,0,0,42822,29865,3616,6998,2003,330,30,6402,1781,90,149,0,47806,26887,8285,7969,3843,1224,96,47806,26887,8285,7074,3545,139,37,153,1686,41562,28591,3864,6580,1810,372,25,0,0,0,0,0,42045,28860,3966,6836,1635,392,4,5990,1558,30,4,41605,26958,5243,6341,2343,501,6,5442,2157,27,6,25178,18118,6510,24598,18872,5726,23576,16032,5774,23072,14118,7708,19447,14316,4631,18339,15379,0,19058,14056,4354,19186,13919,4653,19106,14847,3664,22234,15462,5916,24344,17110,6627,23945,16853,6111,21904,14630,6787
18,18,58717,47452,3069,5769,2157,533,77,0,0,64120,50056,3520,6219,4343,607,102,0,0,63978,46650,4503,7450,4340,954,118,64286,49453,3853,6457,4514,607,79,4851,4037,130,48,92,1818,64420,47540,4723,7180,5026,679,66,46633,39402,1902,3597,1481,362,46,0,0,48155,41256,1735,3464,1343,287,20,3138,1245,100,69,0,51741,40011,2981,4831,3013,712,81,51741,40011,2981,4134,2602,149,25,196,1643,48538,41067,1946,3451,1714,249,53,0,0,0,0,0,48535,39864,2142,4234,2018,173,4,3650,1838,64,4,48647,39669,2153,4587,1932,140,6,3910,1735,26,6,33077,22013,10457,33552,22908,10644,33478,22017,8764,33026,19014,12534,30960,22580,7752,29052,24445,0,30268,21804,7622,30455,21464,8215,30374,23401,6183,33360,22915,9307,36245,26034,9414,35943,25320,9661,34040,24380,9061
19,19,62715,60054,914,798,679,329,31,0,0,62775,58900,1346,1316,837,453,32,0,0,63733,58556,1596,1272,902,913,119,63119,58980,1434,1349,883,440,15,866,562,112,1,33,1140,63513,59069,1557,1408,983,444,122,47796,46121,521,535,418,221,22,0,0,48104,45809,746,896,349,333,0,777,275,100,36,0,49179,45799,989,768,608,650,79,49179,45799,989,605,463,102,29,95,1097,48002,45848,693,844,302,340,0,0,0,0,0,0,48356,46026,945,817,288,330,0,656,143,102,0,48759,46341,885,837,367,251,64,615,231,24,64,33103,15257,17017,32980,15361,17619,33313,10838,20009,33006,9235,22309,28159,10833,16771,24416,17697,0,27651,11737,15223,27713,9845,17295,27682,12985,14101,32341,11000,20273,35563,12029,22872,35281,12178,21985,35852,11312,23914
20,20,55263,47951,2900,2613,1582,385,92,0,0,61978,51109,3781,4735,2132,325,202,0,0,64031,50237,5206,4693,2475,1248,132,63830,51598,3571,5693,2510,471,231,4443,1933,70,212,0,2002,65568,52229,4582,5431,2854,485,50,41038,36635,1670,1487,1034,252,58,0,0,44605,39565,1444,2168,1175,122,80,1926,1034,86,52,0,48298,39643,3146,2761,1596,903,85,48298,39643,3146,2398,1393,117,42,139,1420,45182,39782,1524,2312,1172,229,90,0,0,0,0,0,46143,40248,2108,1938,1517,254,4,1796,1238,57,4,48437,40760,2738,2523,1951,223,8,2432,1643,55,8,25602,13957,11110,27101,15594,11507,28491,12991,13240,28006,11008,15660,24866,13497,10805,22143,17104,0,24277,13737,9848,24352,12470,11183,24346,15304,8393,28245,13697,13498,31971,15657,15572,31626,15543,14909,32887,15440,16905
21,21,42845,39935,973,714,1068,181,33,0,0,57548,52344,1782,1836,1538,113,26,0,0,63965,55521,2643,2423,2057,853,84,61937,56713,1805,1295,1977,190,70,900,1108,88,0,0,1345,65163,58229,2194,1321,2811,191,64,30928,29225,541,404,648,103,21,0,0,40682,38166,760,824,832,85,0,702,625,59,10,0,47150,41950,1589,1352,1298,549,57,47150,41950,1589,1081,1072,77,19,202,1160,44140,41501,786,701,981,135,0,0,0,0,0,0,46312,43688,999,554,973,104,0,348,837,62,0,48159,44520,1229,1153,1220,75,6,976,1133,3,6,21115,9889,10846,25310,11564,13746,29619,12630,14358,29252,10080,17992,27899,13790,13583,24360,18158,0,27217,13871,12683,27335,12844,13878,27273,15883,10746,31525,14399,16037,37582,18447,18262,37239,17856,18426,40722,19567,20445
22,22,56102,50229,1599,1841,2248,224,61,0,0,59697,51475,1983,3038,3060,139,184,0,0,63809,51702,3040,3905,4164,698,100,60976,50385,2986,3312,4065,204,98,2854,3420,97,0,41,1191,62989,50028,3075,5165,3947,469,22,41486,37976,925,1000,1439,144,38,0,0,42497,38726,864,1349,1487,74,25,1195,1287,33,32,0,47892,40433,1839,2145,2700,486,56,47892,40433,1839,1879,2453,50,21,108,1109,43638,38580,1578,1618,1852,87,1,0,0,0,0,0,44647,38959,1514,2339,1756,168,0,2209,1542,60,0,45811,39593,1554,2519,2021,115,4,2269,1778,16,4,32070,15525,16063,33726,15957,17769,34844,16436,15756,34507,13198,20077,31346,16294,14543,27708,21315,0,30681,16577,13475,30802,15035,15128,30711,18794,11254,34492,16928,16528,37751,20097,16892,37445,19231,17376,36994,19413,16883
23,23,43053,40696,826,560,824,203,31,0,0,59570,55174,1918,931,1297,458,95,0,0,63308,56724,2138,1441,1713,915,73,57824,53523,1285,1350,1237,398,105,922,1041,94,0,9,922,63334,57645,2120,1654,1360,281,100,30478,29090,463,329,475,146,17,0,0,41562,39380,918,472,529,178,0,400,472,96,99,0,44725,40798,1202,797,1004,639,45,44725,40798,1202,598,838,107,16,113,1053,40357,38754,501,541,312,174,0,0,0,0,0,0,44262,42026,891,796,319,154,0,561,276,17,0,46842,43422,1450,1101,696,212,5,823,630,21,5,23657,10291,12860,25839,10942,14897,28725,10419,16030,28400,8237,19021,27802,11963,15293,24197,17367,0,27122,12434,13971,27229,10908,15655,27182,14331,12209,31141,12296,17863,37264,15729,20714,37029,15266,20818,41974,17193,24074
24,24,63790,58367,3791,768,538,426,68,0,0,63515,56717,4412,1092,691,649,126,0,0,63865,56082,4525,1191,672,1069,113,63356,56784,4137,1215,590,649,110,861,406,93,97,39,943,63808,56817,4195,1444,622,686,80,48314,45198,2165,355,372,260,41,0,0,47630,44811,1762,414,304,327,39,298,237,120,20,0,49089,44240,2798,608,450,751,77,49089,44240,2798,401,304,90,26,96,1134,48061,45323,1603,523,253,351,34,0,0,0,0,0,49225,45865,2028,720,302,347,8,466,192,49,8,49044,45807,1907,598,356,347,24,373,242,25,24,32832,16584,15136,32486,16981,15505,32481,12446,17459,32094,10473,20046,28196,12890,14620,25068,18701,0,27529,13482,13225,27548,11480,15291,27498,15155,11574,31989,12934,17959,35535,14276,20498,35190,14268,19675,35413,13330,21429
25,25,56735,46819,1931,2306,5521,329,53,0,0,63268,49812,2278,2837,8159,314,51,0,0,63738,48518,3764,3368,7094,778,1307,63979,49960,2361,2893,8197,386,48,1883,7406,78,0,55,2244,63606,49679,2436,2763,7751,449,81,49174,41277,1496,1563,4703,250,46,0,0,49726,43934,1388,1923,2268,231,0,1375,1711,85,39,0,55637,43080,3128,2492,6148,597,1283,55637,43080,3128,2057,4435,111,23,130,2673,50046,44108,1356,1910,2413,234,0,0,0,0,0,0,51297,44415,1584,1776,3216,229,20,1275,2485,75,20,52751,44453,2315,1929,3643,183,74,1629,2661,55,74,28993,17982,10326,27924,17379,10545,32084,18380,10115,30977,15343,14150,26252,17415,8147,23996,19230,0,25564,15687,9112,25716,16332,8631,25575,17732,7128,29248,17982,9944,30268,20101,9246,29871,19264,9788,28696,17935,10096
