ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
17,17,23047,21030,504,422,447,706,15,0,0,23746,20993,804,538,696,725,0,0,0,26401,22645,969,682,762,1217,54,24196,21229,806,596,749,825,5,358,661,597,5,54,482,25945,22545,866,589,763,1062,32,18082,16801,309,252,325,419,12,0,0,18265,16799,533,302,208,424,0,229,200,289,0,0,20997,18446,644,464,552,734,43,20997,18446,644,304,465,365,28,61,684,18749,17192,514,369,193,502,4,0,0,0,0,0,20041,18449,458,248,265,613,4,234,226,363,4,20944,19086,681,333,240,550,0,297,168,298,0,11095,5655,5151,10391,4025,5770,10355,3274,7081,9012,4478,4434,8701,4117,4584,10244,4172,5955,11807,4927,6593,11697,4358,7339
18,18,23255,21364,620,439,156,759,12,0,0,23628,20958,1026,534,46,1043,43,0,0,24139,20975,1244,534,201,1170,27,23645,20835,1135,574,38,1084,0,332,36,726,0,0,585,24337,21458,1228,543,134,1020,0,18110,16761,412,342,109,522,10,0,0,18423,16709,523,383,33,734,20,300,33,516,0,0,19041,16890,861,359,146,765,13,19041,16890,861,269,109,468,4,29,411,18285,16639,468,422,22,745,0,0,0,0,0,0,18673,17126,443,411,56,600,0,287,26,392,0,18667,17033,568,384,48,606,0,373,31,399,0,10637,5068,5228,9998,3444,5863,10004,3200,6804,9358,4949,4267,8938,3865,5073,10055,3917,6005,11296,4150,6831,11234,3982,7252
19,19,23943,22674,368,154,70,709,14,0,0,23775,22078,585,168,100,902,31,0,0,24133,22306,487,228,96,927,42,23718,21720,596,252,118,831,40,162,97,525,0,0,616,24154,21894,654,300,141,1013,12,18126,17207,232,87,46,573,7,0,0,17808,16678,299,107,75,630,0,93,43,486,15,0,18358,17066,328,154,61,704,25,18358,17066,328,116,26,515,2,27,278,17740,16578,325,152,82,603,0,0,0,0,0,0,18062,16764,404,176,61,672,4,120,39,450,4,17882,16599,305,214,63,691,4,187,25,445,4,12658,4889,7243,11211,2503,8117,11274,2482,8792,10446,4420,5903,9965,3798,6167,11100,3087,7930,12374,2891,9270,12331,3088,9243
20,20,24087,22707,406,181,152,692,28,0,0,24410,22284,771,399,204,790,14,0,0,24078,21477,1046,323,236,1045,37,24399,22150,850,402,282,771,7,269,253,411,0,41,422,24296,21871,992,319,199,1121,6,18514,17704,230,90,98,401,22,0,0,18690,17504,411,163,110,494,0,155,85,359,25,0,18523,16884,680,182,155,613,34,18523,16884,680,99,101,396,0,19,344,18491,17374,366,188,140,460,0,0,0,0,0,0,18298,17101,376,126,98,574,0,84,94,397,0,18135,16768,514,131,84,627,0,73,84,479,0,11024,4631,5989,10125,2878,6687,10204,2511,7693,9306,4289,4892,8851,3804,5047,9862,3249,6529,10717,3193,7291,10681,3117,7564
21,21,24756,19815,374,111,103,4537,11,0,0,24685,19138,603,173,286,4896,9,0,0,24573,18585,607,175,156,5183,69,24635,19062,723,144,205,4911,5,58,88,3718,5,19,962,24305,18667,734,217,176,4826,18,18352,15594,206,42,56,2526,7,0,0,18015,15010,200,53,93,2657,4,33,53,2302,4,0,18278,14593,408,84,104,3116,54,18278,14593,408,37,58,2664,18,8,492,17905,14950,228,48,71,2632,0,0,0,0,0,0,17635,14550,294,87,48,2633,0,55,26,2250,0,17595,14519,188,120,113,2643,4,77,59,2129,4,12597,4571,7478,11166,2342,8363,11169,2430,8739,10970,4875,5962,10542,4042,6500,11069,3080,7933,11849,2660,9004,11854,2887,8967
22,22,24194,21493,1420,306,665,396,28,0,0,25176,20526,2049,338,1701,474,83,0,0,25958,19789,2896,402,2153,777,88,25199,20276,2172,382,1080,1054,164,229,1028,856,164,3,467,25911,20218,2455,498,1952,615,201,18304,16705,877,133,414,210,20,0,0,17114,15915,540,117,254,297,4,102,250,232,0,0,19113,15550,1655,187,1288,439,46,19113,15550,1655,103,1248,198,29,12,318,17129,15801,524,193,123,492,0,0,0,0,0,0,17998,15943,920,234,674,258,4,183,654,174,4,18072,15382,1121,303,895,333,0,201,818,191,0,11381,5134,5806,9903,2877,6434,10036,2665,7371,9090,4308,4650,8626,4004,4622,9567,3242,6244,10425,3144,7049,10437,3015,7422
23,23,24607,23009,230,84,96,1194,15,0,0,24400,21842,556,508,292,1271,29,0,0,24173,21422,550,216,320,1719,49,23994,21452,544,508,247,1317,27,369,223,885,0,6,512,24524,21577,630,492,316,1465,5,19104,18185,123,32,60,701,9,0,0,18594,17150,292,133,194,832,0,125,179,646,19,0,18688,16993,308,134,197,1061,28,18688,16993,308,47,157,764,8,24,387,18124,16715,239,119,178,870,0,0,0,0,0,0,18329,16781,220,181,240,918,0,126,240,623,0,18158,16419,151,187,277,1072,0,125,263,639,0,12933,4656,7789,11736,2246,8902,11788,2240,9548,10628,3815,6661,10229,3508,6721,11336,2711,8562,12476,2618,9643,12471,2624,9847
24,24,24437,21407,369,200,165,2432,10,0,0,25038,21179,684,141,96,3110,36,0,0,25038,20732,591,295,275,3123,60,25000,21060,771,99,167,3109,53,44,4,2212,51,0,859,24947,20835,778,199,207,2956,3,18700,16829,223,109,109,1484,8,0,0,19031,16667,378,76,7,1883,35,56,4,1614,14,0,19134,16439,355,158,169,1927,31,19134,16439,355,76,118,1415,13,53,665,19069,16730,405,45,24,1811,50,0,0,0,0,0,18937,16637,413,58,91,1755,0,44,49,1263,0,19013,16592,379,103,121,1865,0,36,69,1341,0,12780,4125,8337,12224,3067,8424,12267,2497,9770,11783,5502,6112,11522,5758,5764,12177,3928,8134,13008,3724,8977,13055,3273,9782
25,25,24278,22214,399,216,204,1261,13,0,0,24990,22334,696,347,228,1505,36,0,0,25864,22822,740,386,283,1492,39,25245,21989,1056,437,263,1495,38,204,147,1024,0,5,811,25636,22436,931,430,241,1447,2,17516,16377,221,72,107,734,8,0,0,18159,16740,318,124,119,883,0,62,111,670,10,0,18961,17195,430,169,186,859,18,18961,17195,430,111,133,563,4,48,477,18258,16737,314,183,196,857,0,0,0,0,0,0,18454,16962,270,162,180,865,0,70,108,712,0,18471,16765,298,165,295,913,4,74,100,663,4,12414,5679,6347,11711,3553,7445,11693,3237,8456,10954,5081,5725,10373,4470,5903,11987,4336,7543,13865,4408,9120,13843,5214,8629
26,26A,11941,1980,266,47,27,9861,5,0,0,12475,1804,209,29,190,10398,0,0,0,11483,1560,262,80,69,9746,6,12610,1770,407,36,270,10300,0,11,268,10115,0,0,34,11612,1552,405,24,374,9602,5,7352,1649,122,24,16,5639,3,0,0,7503,1530,88,10,0,5867,0,10,0,5769,0,0,7079,1298,117,22,38,5684,3,7079,1298,117,7,28,5436,0,4,189,7606,1529,154,4,0,5921,0,0,0,0,0,0,7054,1354,225,0,10,5455,4,0,10,5360,4,7109,1445,153,39,105,5334,21,39,101,5123,21,3905,2617,1145,2966,1759,1022,2945,1617,1328,3106,2272,795,2967,2047,920,3070,1998,1046,3478,2286,1124,3441,2129,1312
