ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
27,26B,11928,7895,158,50,34,3900,5,0,0,11926,7533,286,56,53,4134,11,0,0,11871,7135,189,120,83,4429,30,11982,7538,403,95,37,4048,12,86,19,3740,5,16,179,11797,7377,304,96,33,4063,0,8480,6147,78,25,21,2250,3,0,0,8531,5898,193,54,24,2353,4,50,19,2273,8,0,8528,5662,130,68,59,2657,16,8528,5662,130,22,31,2370,5,7,301,8500,5701,297,114,23,2396,4,0,0,0,0,0,8424,5634,172,97,16,2490,0,93,4,2393,0,8369,5681,106,27,13,2455,13,23,5,2178,13,5379,2309,2837,4712,1340,3086,4727,1280,3447,4598,2289,2227,4375,1883,2492,4712,1659,3015,5209,1691,3394,5199,1748,3451
28,27,23898,6268,484,75,78,17373,13,0,0,25341,6639,851,182,110,18127,73,0,0,23910,5876,671,195,151,17530,50,25254,6522,1065,200,108,17929,67,139,48,17019,22,0,434,24089,6302,1205,110,191,16880,55,15409,5005,264,34,47,10232,7,0,0,16495,5248,353,64,29,10737,25,54,13,10517,15,0,15818,4771,353,120,104,10701,30,15818,4771,353,52,62,10062,5,18,495,16572,5301,431,92,47,10663,16,0,0,0,0,0,15678,5031,442,48,72,10065,4,38,49,9952,4,15757,5380,190,69,50,10065,0,35,40,9942,0,7769,4439,3055,7053,3499,3176,6969,3200,3769,6823,4191,2506,6601,4049,2552,6988,3747,3177,7651,3973,3506,7614,3824,3790
29,28A,13334,4060,301,48,50,9155,6,0,0,13901,4084,100,26,32,9701,18,0,0,12687,3284,169,99,61,9241,22,13938,4115,367,30,54,9620,20,21,54,9216,17,4,144,12836,3849,237,43,30,8818,41,8750,3255,111,24,25,5419,3,0,0,9046,3219,38,26,16,5742,19,18,12,5668,4,0,8581,2678,88,58,40,5779,14,8581,2678,88,15,27,5478,1,10,284,9080,3257,167,26,8,5609,19,0,0,0,0,0,8407,3016,171,19,19,5152,34,15,19,5050,34,8396,3117,81,79,13,5106,0,22,9,4945,0,5105,2863,2013,4371,1836,2305,4336,1739,2597,4397,2852,1491,4272,2628,1644,4428,2220,2180,4902,2325,2491,4858,2201,2657
30,28B,13165,12297,336,67,44,468,10,0,0,13301,12186,418,115,12,607,13,0,0,13256,11929,472,92,68,642,33,13245,11950,442,106,22,621,12,74,22,358,0,91,308,13315,11822,474,14,51,809,13,10003,9466,220,24,32,277,7,0,0,10089,9396,243,52,10,374,0,44,10,286,0,0,10132,9286,268,47,36,403,27,10132,9286,268,16,23,176,7,33,323,10095,9353,277,37,20,397,0,0,0,0,0,0,10273,9284,288,14,45,613,15,0,35,199,15,10194,9394,289,87,36,366,18,10,23,132,18,6043,1796,3991,6006,862,4759,5946,976,4970,5214,1593,3532,5035,1341,3694,5763,1130,4579,6537,1136,5230,6474,1185,5289
31,29,21255,19156,685,435,255,804,42,0,0,23161,20185,987,573,380,1111,35,0,0,24978,21070,1093,708,511,1518,112,23299,20090,974,655,451,1144,188,445,236,568,15,43,920,25205,21528,1101,769,512,1278,191,15889,14608,416,265,161,469,30,0,0,17639,15676,691,379,185,669,8,355,151,352,10,0,18726,16223,678,458,296,950,60,18726,16223,678,309,193,419,38,58,808,17822,15712,659,446,148,704,14,0,0,0,0,0,19386,17017,759,518,173,800,30,455,69,381,30,19724,17240,961,458,200,726,19,380,96,292,19,9907,3167,6393,9561,1790,6983,9480,1926,7554,8401,2920,5263,8056,2575,5481,9535,2366,7009,11311,2641,8253,11198,2558,8640
32,30,24824,22247,778,176,168,1584,27,0,0,26128,22856,1247,158,280,1701,35,0,0,24858,21528,815,309,247,1852,69,26341,22938,927,215,249,2065,28,148,194,1319,2,3,809,25424,21834,1025,174,310,2163,20,19602,18041,432,98,108,981,13,0,0,20840,19127,530,53,124,993,19,40,113,782,10,0,20145,17962,490,160,168,1193,48,20145,17962,490,94,108,640,15,87,749,21357,19447,433,43,87,1357,4,0,0,0,0,0,20734,18618,663,46,116,1340,0,20,85,873,0,21506,19439,472,108,149,1313,17,60,115,649,17,13413,4503,8480,13220,3035,9317,13095,3093,10002,11925,4094,7588,11618,3820,7798,13210,3617,9420,15166,4110,10671,15026,3922,11104
33,31,24097,22349,612,167,232,813,28,0,0,25478,23148,831,299,460,913,126,0,0,25768,22935,922,273,314,1179,32,25806,23349,868,306,512,901,129,239,251,512,41,10,536,26047,23296,981,270,505,956,150,19377,18227,402,87,163,529,17,0,0,20490,19020,559,102,103,565,45,94,103,357,100,0,20823,18901,602,171,219,803,18,20823,18901,602,101,155,361,9,47,647,20780,19185,589,82,199,575,50,0,0,0,0,0,21300,19405,638,77,318,727,25,43,134,422,25,22622,20608,659,127,429,754,20,63,81,476,20,12105,4932,6787,11842,3356,7411,11833,3267,8566,10898,4675,5984,10535,4275,6260,12008,4058,7728,13828,4537,8753,13743,4358,9385
34,32,26406,18712,1436,650,508,5880,63,0,0,28055,18789,1987,1196,482,6995,46,0,0,26547,16149,1744,843,608,7711,94,28341,18933,2255,1528,400,6984,26,535,223,4558,10,0,1831,26059,18316,1716,1104,345,5652,15,19887,15241,792,347,365,3440,31,0,0,20937,15552,1009,489,79,3761,10,359,48,3141,123,0,20819,13899,1128,501,438,4984,51,20819,13899,1128,339,320,3985,14,71,1063,21145,15405,1175,545,83,3867,10,0,0,0,0,0,20307,15470,909,560,159,3137,4,455,58,2310,4,20010,15083,886,491,276,3087,0,318,148,2205,0,10890,4953,5694,9247,3401,4913,9179,3325,5854,8042,4275,3600,7718,3982,3736,9000,3990,4827,10173,4600,5134,10050,4350,5700
35,33,22299,19308,673,351,291,1945,31,0,0,24278,20672,1220,490,348,2143,20,0,0,24788,20652,1051,411,549,2223,45,26063,22200,1425,456,350,2159,20,220,283,1073,12,144,710,25565,21379,1435,689,322,2385,35,16550,14825,363,191,181,1094,18,0,0,18450,16757,533,194,127,834,10,159,109,598,0,0,19177,16531,660,261,364,1324,25,19177,16531,660,166,261,803,11,60,685,19268,17762,642,158,81,646,10,0,0,0,0,0,19281,17637,596,170,77,882,0,41,22,313,0,20576,18536,502,325,219,1120,0,133,96,399,0,10548,3665,6690,11412,3026,7524,11403,2745,8658,10310,4075,6073,9958,3777,6181,11517,3672,7647,13165,4348,8411,13050,4032,9018
36,34,23092,20449,625,337,346,1478,38,0,0,24682,21369,744,364,566,1662,23,0,0,24132,19992,957,553,504,2110,46,23712,20501,965,342,606,1116,52,120,398,589,34,174,933,24647,20433,1244,480,685,1674,25,18165,16529,354,195,223,903,23,0,0,19413,17741,335,176,248,914,10,57,170,642,0,0,19042,16401,570,331,345,1318,20,19042,16401,570,221,237,759,4,70,780,18933,17329,373,168,298,792,4,0,0,0,0,0,19632,17093,775,298,329,1171,0,177,275,470,0,20199,17553,792,249,226,1322,0,156,185,636,0,12795,4933,7660,11968,3909,7059,11934,3522,8412,10918,5060,5707,10551,4666,5885,11961,4565,7180,13346,5328,7597,13264,4900,8364
37,35,19966,15886,880,560,436,2453,67,0,0,23273,18802,1167,720,592,2224,227,0,0,25011,18688,1486,845,702,3499,97,24193,19279,1021,758,629,2658,101,420,513,1720,75,6,1163,24885,18896,1578,813,647,3197,71,14494,11996,493,309,294,1497,33,0,0,17061,14294,733,413,188,1346,90,240,162,754,36,0,18893,14822,951,499,497,2118,64,18893,14822,951,303,329,1359,33,82,1014,18153,15194,721,432,252,1488,49,0,0,0,0,0,18767,15084,977,336,407,1875,10,208,250,1272,10,19638,16254,842,471,352,1703,4,284,220,1155,4,6863,2669,4016,10336,2824,6706,9998,2697,7301,8205,3299,4748,7920,3055,4865,11116,3609,7312,15410,5120,9825,15145,4735,10410
