ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC3_Total,E_22_SC3_Dem,E_22_SC3_Rep,E_22_SC5_Total,E_22_SC5_Dem,E_22_SC5_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,E_24_SC6_Total,E_24_SC6_Dem,E_24_SC6_Rep
13,13,145564,108299,12894,19831,3979,1833,152,0,0,171832,123427,17846,24520,6457,1908,375,0,0,198371,137321,21886,25453,9914,4293,304,182021,130894,17975,25606,7636,2077,331,21941,5461,603,8,4598,200701,141026,19274,29196,10244,2921,401,104511,80208,7560,13692,2525,1165,91,0,0,119222,92521,5811,16518,3043,1084,15,16038,2523,392,15,385,0,145851,104495,13686,18315,6507,2942,214,145851,104495,13686,16531,5425,450,58,4551,125642,97880,6400,16545,3369,1102,7,0,0,0,0,139326,107154,7494,18772,4282,1185,17,17969,3849,506,17,146050,109622,9034,19964,5743,1199,41,19012,5004,420,41,76119,33765,41431,82375,35351,47024,57986,24707,31485,92300,40276,47006,91850,38728,50028,92232,43421,46770,89663,42065,47598,88380,41078,47302,90476,37726,50056,88801,43730,45071,88155,37708,50447,108567,52286,53456,117824,58642,56782,117057,54421,57112,117515,62739,52904,115573,58797,56776,114373,59874,54499,115742,56406,59336,114736,59808,54928,114046,53384,60662,108555,53550,52291,91454,46324,42927,90741,48254,42487,90848,46761,44087,90591,46257,44334,118843,62489,52967,130551,66954,60919,128195,77769,42377,128477,70996,57481,127123,63656,58642,128336,68284,56281,127476,70551,56925,126852,63259,63593,127730,65619,60561,126974,67949,59025
14,14,162807,52465,25247,81734,4373,2264,222,0,0,199767,67735,30561,96101,5983,3483,493,0,0,198512,64311,36267,89233,8073,4697,345,201286,64015,32899,98762,7135,4012,410,90741,6139,405,36,6153,208008,66587,35040,98370,8266,4197,363,116751,41932,15310,56780,3063,1475,139,0,0,135196,55215,8330,66696,3395,2020,50,64964,3182,286,50,675,0,149325,53349,23152,65967,5922,3361,238,149325,53349,23152,62221,4939,549,66,4340,137037,52926,10312,68069,3971,2389,35,0,0,0,0,143773,55859,11606,69776,4541,1954,0,67699,3879,306,0,145673,56065,14221,67394,6157,1713,10,64586,5481,253,10,72564,54129,17800,78998,59971,19027,51246,37955,11959,84514,61894,19292,83981,60853,20805,84242,62555,20122,82393,62672,19721,81507,61427,20080,83162,60145,20790,81838,63370,18468,81648,60647,21001,94088,70160,21883,99874,74680,23513,99123,71534,23066,99555,76605,21288,98395,75292,23103,97706,75325,22381,98629,74358,24271,98028,75876,22152,97506,71174,26332,90930,68063,20916,64643,48177,14954,64250,48808,15442,64257,48530,15727,64119,48087,16032,94742,70669,21823,102692,74347,26349,101530,78271,18588,100972,76791,24181,100544,73404,23983,101104,74737,23282,100539,76692,23847,100169,73358,26811,100965,74235,24335,100235,75304,24931
15,15,176008,107202,19535,42134,7728,1936,253,0,0,197760,119454,21961,47837,9852,1333,113,0,0,198368,116412,24943,44201,11119,3712,265,198261,121322,21850,46812,9887,1642,142,41891,8256,186,81,4268,196347,117610,24665,46091,9222,2467,169,137862,89338,12881,29877,5833,1327,174,0,0,144381,99300,6617,33158,4478,670,34,32450,3806,212,34,260,0,160044,99051,17093,33335,8886,2721,165,160044,99051,17093,30377,7327,341,52,5131,146761,102140,7685,31458,4407,799,99,0,0,0,0,144784,98629,9397,30650,4885,955,4,29173,3769,167,4,150513,99603,10783,32239,6449,1094,19,30308,5276,312,19,87936,54311,32713,93052,56390,36662,61617,37490,22348,98033,62325,30302,97598,59626,35020,97907,64935,30837,95266,63539,31727,93683,59661,34022,96120,57859,35092,94310,64094,30216,93713,58471,35242,104148,68997,32486,108242,73690,32461,107465,68804,34234,107846,76087,29989,106343,73444,32899,105126,73456,31670,106288,71153,35135,105639,74088,31551,104840,67166,37674,100572,67697,30365,75950,51776,22195,75636,52682,22954,75463,52298,23165,75292,52168,23124,101323,70186,28545,106780,72072,32637,104915,80041,19405,104823,74564,30259,103690,67790,32317,104796,72163,29825,103963,74552,29411,103249,67305,35944,104905,70974,31737,103626,71911,31715
16,16,177233,121661,16170,25284,13934,2001,254,0,0,194819,134061,17122,26901,15926,2396,190,0,0,198384,127881,20080,29418,18262,3630,382,194134,131254,17642,28444,16036,2148,227,25169,14016,761,41,4582,190521,130706,16000,27126,14778,2114,239,139517,99761,10780,18251,10367,1359,177,0,0,141272,108375,5577,18547,7304,1128,44,17973,6636,637,44,324,0,160186,107281,14044,22239,14214,2734,265,160186,107281,14044,19551,12468,344,84,5507,142148,107131,6282,19500,7741,884,23,0,0,0,0,142657,108289,6439,19019,7271,1051,128,18011,6361,360,128,145563,108577,7695,19444,8303,997,78,17991,7421,231,78,91975,53532,37313,95831,55291,40540,64757,37402,25232,102599,61975,34234,102000,59294,39172,102459,65020,34849,99422,63452,35970,97843,58866,38977,100265,57430,39000,98297,63623,34674,97648,57261,40387,111080,71585,36325,116472,77821,36096,115563,72465,38038,116004,80662,33290,114192,77102,37090,112775,77465,35310,114129,74913,39216,113317,77773,35544,112535,70584,41951,107777,70912,33929,82315,55280,24911,81957,56406,25551,81718,55504,26214,81527,55397,26130,108184,73403,31698,113037,74650,35465,111129,82532,22194,111166,77767,33399,109979,70634,34989,111158,75389,32782,110284,77456,32828,109525,70309,39216,111169,73305,35417,109917,75148,34769
17,17,132984,88386,7770,14228,22304,1186,214,0,0,180685,104527,12022,20322,42413,1454,349,0,0,198415,102266,13750,21184,58659,2882,335,185454,104276,11744,19172,46609,1346,430,16121,43196,458,258,6213,198500,105679,12798,22965,55255,1057,354,92107,62832,4840,9649,14458,715,120,0,0,110019,74605,5186,13423,15900,748,186,12464,15426,360,186,140,0,142855,77755,9046,15015,39040,1937,239,142855,77755,9046,13172,37599,226,62,4283,115020,77952,5346,12657,18001,792,264,0,0,0,0,123802,80061,6672,14912,21338,503,148,13689,20523,166,148,130329,82086,7547,16811,22672,560,76,15580,21284,151,76,58259,31199,26353,67118,35245,31873,45915,24203,20338,80893,46336,29727,80216,43383,34202,80535,47793,30730,77915,45987,31928,76573,42839,33734,78595,42136,33714,76947,45775,31172,76264,40954,35310,94940,58566,33968,103124,66193,35004,102272,61226,36830,102694,69344,31766,100910,64791,36119,99680,65059,34621,100980,63250,37730,100024,65044,34980,99447,60491,38956,93841,59273,32270,73526,47588,24142,73193,48719,24474,73045,47611,25434,72865,47318,25547,99233,64819,31794,106753,67672,36482,105188,75526,23950,104925,70732,34193,103886,64802,35226,104902,68666,33467,104018,69862,34156,103433,63828,39605,104562,66245,35931,103732,68329,35403
18,18,166215,117008,10785,34090,3884,1589,172,0,0,183424,126836,13575,38305,4641,2186,340,0,0,198352,130439,17526,40695,6555,3978,286,190329,130004,13792,40906,5117,2412,526,36248,3127,281,243,6067,199187,132535,15922,43450,5831,3036,413,122142,87286,6666,25195,2571,1094,89,0,0,132839,97036,5044,26970,2488,873,66,26084,1863,305,66,625,0,150013,101718,11116,30270,4369,2803,190,150013,101718,11116,28352,3524,380,48,4342,139547,100666,5653,29331,2516,932,120,0,0,0,0,146837,103931,6236,31906,3023,1268,135,30493,2284,240,135,152472,105412,8102,33694,3429,1228,115,32262,2688,226,115,80610,36925,42746,87013,38384,48629,60640,26715,32189,96441,42722,49038,95929,41049,52060,96288,45239,49281,93745,44664,49081,92513,44235,48278,94793,39732,52660,92925,46886,46039,92441,40895,51546,110117,52100,55526,117876,56867,58980,117092,53629,58787,117591,60697,55349,115881,57441,58440,114826,58626,56200,116032,55026,61006,115332,58681,56651,114488,52347,62141,108727,52304,54080,87549,42180,43459,87186,42174,45012,87110,42630,44480,86987,42274,44713,115947,58406,54705,125889,61654,62266,123446,71031,45295,124016,64868,59148,122813,58386,59807,124065,62251,58669,123318,65451,57867,122676,58430,64246,123555,60526,62042,122766,62396,60370
19,19,214186,88647,20407,96975,7924,5741,1574,0,0,217980,79273,25517,104770,9326,5997,1557,0,0,216471,70917,24990,109228,9737,8642,1822,218005,75763,26494,106607,9503,5544,1616,95154,6216,2208,792,10219,215659,72549,26797,106443,9435,6491,1611,158356,71160,12911,67357,5584,3792,945,0,0,157627,62821,14320,71826,4570,3059,407,69487,3701,1717,407,1157,0,165245,58984,16909,79433,7206,6161,1165,165245,58984,16909,72573,5251,1985,637,7936,157316,60643,14903,72951,4779,3135,412,0,0,0,0,155281,58715,15251,72274,4665,3278,454,69663,3767,1707,454,156559,58116,15582,73768,4801,3327,428,70815,3877,1562,428,90162,57104,32328,88608,58031,30577,52089,31977,18509,86737,54998,28619,85635,53329,29404,85734,53686,30042,83936,55699,28237,83333,55962,27371,84386,52944,28677,83566,57132,26434,83089,53967,29122,93364,60486,30551,97930,63402,32713,96952,60722,31128,97495,65793,29593,96071,64340,31731,95516,64256,31260,96335,63397,32938,96007,65322,30685,95323,60591,34732,88139,57244,28855,54160,34004,18944,53802,33830,19972,53795,34310,19485,53701,34076,19625,86294,55931,28320,91155,57725,31946,89463,60328,24499,89277,59142,30135,88562,56190,29244,89393,57537,28539,89073,59596,29477,88665,57361,31304,88620,54460,31253,88509,58123,30386
20,20,160177,85948,17608,48941,7570,1803,197,0,0,190079,100767,19862,57885,10296,2008,269,0,0,201314,105842,24279,56253,12635,4073,249,194439,102736,21325,58273,11050,2594,177,54377,8924,276,53,5866,202262,108697,21391,58187,12257,2506,61,125731,71090,11166,37374,5793,1276,134,0,0,139201,83444,5340,43744,5559,983,85,42500,4991,274,85,275,0,161604,89569,16069,43791,10027,3034,167,161604,89569,16069,40970,8851,365,36,5065,142045,84827,6271,43696,5837,1284,31,0,0,0,0,150215,90977,6168,44552,6775,1414,3,43120,5985,240,3,156447,94059,8929,43770,7698,1601,83,42059,6737,229,83,86803,60213,25597,91928,62784,29144,64410,44002,18872,102114,70809,26736,101670,68793,30306,101943,72307,27793,99813,71706,28107,98453,68856,29597,100391,67766,30016,99108,72387,26721,98549,68049,30500,114733,81064,31322,121825,87304,32667,121187,83467,33510,121735,89575,30642,119904,86524,33380,118924,86808,32116,119984,85124,34860,119360,87080,32280,118526,81694,36832,113082,80612,30278,91419,65738,24011,91016,65354,25662,90831,65814,25017,90825,65778,25047,119040,86178,30572,127714,90667,34623,126170,96545,24890,126248,93156,33092,125032,87795,33604,126006,90916,32203,125313,92641,32672,124671,87690,36981,125053,88472,33852,125421,91367,34054
21,21,193555,130620,15047,41184,4016,5075,867,0,0,212187,140387,19583,43999,5890,5549,890,0,0,217984,137675,21873,45365,6873,8527,1172,215820,142666,20435,43386,6304,5762,1110,37202,3243,2333,505,8790,220307,141673,22579,45412,7134,6765,1228,144678,102480,8959,28294,2642,3304,477,0,0,159228,111909,10705,29774,2788,3403,221,28692,2073,2242,221,631,0,167448,110633,14405,32746,4580,5815,720,167448,110633,14405,29504,3148,2196,358,6529,162269,114432,11185,29770,2557,3471,363,0,0,0,0,164179,113820,11935,31119,2990,3524,328,29454,2166,1422,328,168621,115430,13568,31455,3331,3837,409,29082,2539,1411,409,83335,35236,47156,83669,34159,49510,56183,21494,32781,89504,32957,53157,88649,32485,53243,88902,34577,52430,86540,35048,51492,85242,35344,49898,87229,31756,52907,85742,36867,48875,85101,32990,52111,100829,39322,59230,107559,41846,64083,106590,39912,61675,107125,45459,59915,105091,42730,62361,104072,42899,61173,105249,40991,64258,104620,43472,61148,103727,39478,64249,98101,38459,57598,72183,27043,43604,71885,26446,45439,71781,27533,44248,71726,27305,44421,102295,40982,59037,111149,42339,67509,108553,49508,52818,108991,44707,64284,107649,40306,63853,108850,43042,62394,108274,44842,63432,107578,40845,66733,108633,35897,64378,107615,43141,64474
22,22,170947,71953,26698,65133,7432,2002,219,0,0,193130,82844,30925,70535,9518,1858,292,0,0,199804,81013,36197,70810,10192,4927,268,196079,84983,30520,70841,9983,1808,573,65586,7922,430,115,6165,199593,84499,32748,71344,10542,3369,626,131215,61037,17296,46725,6135,1378,128,0,0,133057,69578,6307,51787,4021,1178,43,50550,3561,433,43,572,0,158749,70103,23488,55201,8409,3524,177,158749,70103,23488,52207,7079,347,41,4755,137685,71913,7075,52802,4566,1044,106,0,0,0,0,140420,72508,8459,52823,5051,1426,110,50946,4524,415,110,141049,71873,10854,51203,5341,1392,119,49022,4681,383,119,83380,61142,21455,87770,66622,21148,56616,42530,12902,93972,71568,18755,93374,69678,21502,93506,71990,20015,91600,71662,19938,90312,69028,21284,92090,68486,21333,90881,72033,18848,90479,68850,21629,101911,79267,20672,106688,84171,20978,105997,80659,21681,106404,85663,19284,105119,83593,21526,104464,83750,20714,105221,82735,22486,104716,83996,20720,104082,79484,24598,98996,77689,19481,76050,60261,14354,75705,59812,15893,75588,60343,15245,75513,60305,15208,100317,79697,18759,105215,82526,20706,104043,85987,14530,103854,84260,19594,103110,80440,19976,103698,82573,18787,103357,84129,19228,102775,80557,22218,103344,81818,19586,103331,82997,20334
23,23,196962,135515,13352,36426,10522,2206,186,0,0,206844,140475,14841,37091,13433,2293,155,0,0,210529,135705,19009,36176,15632,4565,281,208534,141480,15087,37041,13895,2539,307,33402,11641,732,50,5710,207797,139198,15740,36762,13629,3674,326,155005,110175,8657,27676,7519,1544,123,0,0,155152,114342,4955,28176,6254,1496,38,27135,5636,746,38,287,0,169086,113016,12697,28281,11863,3407,206,169086,113016,12697,26125,10358,539,45,5638,158030,116070,5609,28208,6614,1590,28,0,0,0,0,158195,115495,6075,27988,6784,1673,38,26503,6302,435,38,160853,115501,7969,28272,7389,1689,67,26344,6716,354,67,104548,67788,35478,105089,67565,37524,72552,47591,22911,112975,72535,35733,112067,70299,38875,112363,74761,35652,109138,73335,35803,107102,69655,37447,109975,68656,38434,107915,74417,33498,107221,68824,38397,116160,75215,38705,118942,76919,40449,118068,74605,39697,118644,79628,37740,116580,77306,39274,115549,77089,38460,116828,75003,41825,116018,77655,38363,115072,72635,42437,112656,73644,36965,90152,60167,28280,89851,59948,29829,89599,60587,29012,89557,60391,29166,114690,75728,36920,121908,78227,41758,119663,83803,31685,119175,80261,38914,118044,75479,39471,119242,78562,38071,118494,80360,38134,117678,75224,42454,118883,77435,39929,118010,78513,39497
24,24,217207,71873,17505,65073,2539,63589,444,0,0,221629,69999,20025,66285,2720,65234,489,0,0,202786,63073,20550,61491,3150,59431,644,221167,68913,20406,66377,2871,65289,623,62346,1815,60882,100,6014,204407,62507,19997,62903,2727,59447,680,158041,57640,10466,45679,1746,43869,273,0,0,158895,56485,5671,48313,1359,46984,60,47564,1163,45389,60,444,0,152772,51706,12751,45268,2257,43124,417,152772,51706,12751,42468,1569,38282,176,5285,159080,55774,6078,48244,1454,47383,90,0,0,0,0,147460,50794,6499,45658,1282,43318,88,44264,958,41154,88,145137,49054,7285,45066,1447,42761,145,42944,1127,40102,145,71132,40409,29704,73236,43171,30065,45129,24668,18904,72947,36032,34740,71094,35745,33536,71762,35546,35157,68749,38856,29893,67725,40051,27674,69424,36783,30846,68193,41475,26718,67974,39151,28823,78766,38224,39080,83602,38010,44732,81793,37451,40915,82765,42549,39184,80346,39893,40453,80012,41128,38884,80820,38583,42237,80163,41986,38177,79545,38351,41194,75535,36216,37962,49669,22213,26248,49664,24496,25168,48881,22452,26429,48898,22037,26861,77164,34938,40859,84163,35378,47961,81850,38585,39869,81497,36901,44596,80077,36299,41739,81167,37012,41597,80862,38265,42597,80317,36567,43750,80666,33829,45421,80101,36636,43465
25,25,196767,140600,19629,32563,3058,2511,190,0,0,208103,141345,24184,37085,4175,2497,173,0,0,217448,138591,28820,40955,5137,6071,289,210554,140924,25043,38430,4302,2562,208,35104,3453,600,54,4655,217233,142223,27291,40705,5002,3654,143,150276,112306,11407,23608,2085,1693,119,0,0,152228,115166,6157,27045,2243,1510,46,26073,1981,611,46,273,0,170047,114589,18183,30218,3622,4435,189,170047,114589,18183,27919,3004,729,70,5009,154100,115489,6625,27824,2411,1524,41,0,0,0,0,160396,117460,8810,29508,2695,1749,33,28218,2287,317,33,162245,115014,11024,31135,3124,1681,66,29602,2682,347,66,84004,34200,48738,86708,33372,53336,56395,20791,33341,92728,34009,55556,92004,33037,55650,92254,37377,53097,90158,36756,53402,88814,36183,52631,90787,32419,55766,89203,38470,50733,88742,33799,54943,104005,41334,60642,110510,43722,65314,109672,43087,62268,110206,47977,60938,108943,45513,63430,108119,45070,63049,109366,43305,66061,108571,46160,62411,108206,43566,64640,101389,40644,58923,76019,28896,45509,75763,28488,47275,75753,29023,46730,75821,28994,46827,105990,44082,59770,115007,45581,67927,112937,54126,53274,113330,49318,64012,112341,44811,64682,113055,47319,62524,112830,48973,63857,112208,44790,67418,112526,42210,65746,112484,47371,65113
26,26,191835,144394,9716,33535,3037,1932,184,0,0,199525,139684,12315,40987,4740,3335,197,0,0,211801,143126,14508,44291,6137,4802,236,203474,142021,13069,40789,5853,2357,370,38019,5182,647,16,4244,211901,143788,13818,44755,6726,3510,771,147888,114824,5685,24455,1993,1350,113,0,0,150831,113037,3786,30338,2157,1641,21,29458,2056,550,21,232,0,166378,117377,9056,32607,4203,3555,173,166378,117377,9056,30524,3631,626,54,4594,153994,116719,4233,29379,2444,1420,12,0,0,0,0,160832,119747,4774,31387,3126,1741,111,30198,2617,209,111,162791,117922,7007,32049,3581,1717,181,30864,3018,206,181,93675,36301,56139,96437,35674,60763,66775,24253,40023,102106,35558,63123,101288,34851,63048,101602,40085,59460,99064,39079,59985,97306,38355,58951,99671,34833,62352,97760,40854,56906,97135,35267,61868,113429,43477,67716,120431,46104,72835,119409,45255,69035,119892,50972,67422,118135,47552,70583,116893,47592,69301,118530,45004,73526,117382,48472,68910,116951,45555,71396,110970,42933,65974,85394,31399,52053,85307,32228,52139,84970,31328,53642,84883,31225,53658,116893,47258,67201,127476,49019,76868,124840,58375,60243,125057,53014,72043,123580,47676,72458,125021,50751,70604,124054,52406,71648,123556,47758,75798,123392,43177,76166,123852,50510,73342
27,27,197807,122715,13297,50952,10372,2012,264,0,0,210628,121461,15835,59437,13153,1989,603,0,0,210558,114460,18921,58544,15873,4313,306,209980,121331,16165,59592,12575,2023,543,55131,11242,708,128,4619,207751,116472,16593,60567,13602,2546,403,152333,100108,8451,36196,7074,1397,165,0,0,153230,99057,5358,42756,4711,1033,74,41984,4400,612,74,330,0,165811,96343,12539,43122,11171,3200,205,165811,96343,12539,40326,10226,524,67,4832,154065,99413,5995,42926,4380,1087,71,0,0,0,0,152441,96005,6561,42857,5198,1204,66,41527,4711,352,66,153916,93147,8049,44137,6820,1449,10,42013,6148,236,10,98275,53537,43712,100469,53867,46602,67013,34696,30648,102433,56455,41481,101471,53990,44166,101740,59618,39748,99221,57522,41699,97827,55216,42611,99703,53031,43570,98003,57634,40369,97170,52422,44748,108566,63325,42717,112938,67502,43641,112026,64239,43274,112220,70454,39908,110750,67042,43708,109488,67458,42030,110996,65217,45779,109876,67756,42120,109479,63749,45730,104334,61610,40469,75904,43842,30362,75739,44549,30383,75438,43581,31857,75348,43665,31683,104773,63799,38520,111083,65570,43399,108599,72963,29913,108899,68571,40328,107598,62857,41317,108790,66178,39393,107872,67534,40338,107418,62946,44472,96342,23155,46450,107792,65916,41876
28,28,192366,66842,16966,99758,8865,2817,313,0,0,208792,70533,19481,106523,11804,3274,239,0,0,210036,62272,24809,110716,11708,4888,305,210553,66729,19775,110094,12614,3452,249,103782,11550,950,23,6085,211114,64046,21928,111364,12891,3747,216,146527,56574,10584,72961,6117,1912,193,0,0,148779,59926,5967,76143,5112,1643,25,74235,4845,876,25,448,0,164357,54107,16195,84507,8677,3542,225,164357,54107,16195,79785,7771,628,73,5141,149686,56238,6498,78996,5825,1710,20,0,0,0,0,151797,54448,8298,80899,6375,1673,0,78744,5941,558,0,153608,54134,9396,81598,6637,1615,13,79018,6254,304,13,91546,69183,21619,95580,73083,22497,57470,42321,13906,95118,71455,20270,94037,69260,22266,94214,72314,20072,92190,71461,20729,91492,70322,21170,92709,68583,21442,91610,71778,19832,90986,68457,22529,96810,73511,21276,98926,75472,22119,98015,72518,21570,98132,76931,19534,97219,75352,21867,96482,75123,21359,97515,74422,23093,96759,75785,20974,96415,72159,24256,90925,69213,19914,58637,43596,13744,58514,44152,13732,58291,43448,14843,58160,43357,14803,90111,68954,19303,96177,72188,22237,94684,75382,15429,94476,74160,20316,93740,70807,20484,94616,72442,19399,93832,73453,20379,93669,71175,22494,91953,62739,23787,93829,72552,21277
29,29,227468,149575,25325,47958,2479,3521,188,0,0,226751,146530,26959,48584,2798,3568,167,0,0,218829,137436,29610,43742,2918,6569,233,226823,147071,26996,47908,3299,3664,205,43723,2404,1530,27,4477,220609,141106,28135,45428,3404,4826,289,171730,119377,14718,34277,1700,2378,117,0,0,164706,119205,6652,35015,1565,2240,25,34311,1458,1262,25,192,0,170384,113305,18412,32561,2067,4720,160,170384,113305,18412,30838,1682,1330,18,4369,165973,119776,7411,34643,1658,2275,29,0,0,0,0,160902,115258,8311,33217,1533,2226,44,31880,1259,1007,44,162051,114011,9823,33700,1513,2756,21,32177,1087,927,21,91018,37573,51964,92629,37509,55120,58725,22614,33435,95568,32385,60641,94277,32182,58518,94849,35328,57746,92148,36498,55650,90116,36479,53637,92831,32094,58619,90837,38852,51985,90603,34479,56124,101547,34963,64605,106032,34835,70143,104836,34596,65677,105575,39216,65097,103610,36986,66624,103004,36928,66076,104120,34633,69487,103334,37830,65504,102825,35090,67735,97669,33272,62773,68441,20036,47011,67967,19623,48344,67975,20124,47851,68006,19977,48029,99266,33092,64414,106904,32748,73207,104659,39249,60618,104941,35909,69032,103702,32771,68508,104888,34535,67481,104569,35821,68748,103946,32795,71151,104359,31548,70929,103864,34583,69281
