ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,57517,55303,705,380,485,702,44,0,0,56584,52802,1380,1144,697,809,51,0,0,55947,51469,1182,916,646,1304,51,55903,52874,1120,956,594,544,44,635,388,153,34,33,667,55813,52228,1285,957,584,566,22,46386,44929,435,221,301,516,24,0,0,46454,43919,885,807,218,578,36,752,200,205,31,0,46626,43304,793,693,451,1008,35,46626,43304,793,510,308,114,6,128,1463,46454,44339,742,688,264,422,35,0,0,0,0,0,46244,44074,888,614,315,414,12,543,198,63,12,46057,43727,907,622,219,513,0,566,118,55,0,29384,16667,12196,27948,15944,12004,28683,12296,14235,28427,13066,14147,27955,12839,13681,21993,9773,11783,29658,12438,16332,30641,14759,15380,30235,16310,13216,30324,9216,20574,32295,14476,17338,31564,12477,18240,31129,14804,16299
2,2,54233,51864,651,456,827,456,29,0,0,55073,52318,858,759,826,373,32,0,0,56448,51940,1208,709,880,1255,61,55669,52466,1022,538,972,282,8,301,595,46,7,50,1182,57412,53749,1149,728,1099,261,1,43327,41823,377,224,534,359,21,0,0,44450,42905,464,466,380,238,0,267,255,38,19,0,46794,43650,760,371,633,935,39,46794,43650,760,200,423,84,9,123,1545,44730,43140,604,305,526,187,0,0,0,0,0,0,46560,44740,729,320,589,199,0,138,460,32,0,47165,44891,1028,421,623,184,17,291,442,17,17,30650,16044,14224,30307,15281,15026,31616,13285,16235,31458,14247,16008,30987,13761,15864,24788,10007,14422,33438,13613,18953,34765,16666,17559,34439,18119,15612,34412,9733,24205,36366,17020,18889,35956,14567,20718,35705,18010,17672
3,3,54835,53050,554,333,450,517,21,0,0,54246,52046,751,387,507,543,12,0,0,57090,53344,882,417,757,1100,72,54521,51980,795,481,662,552,1,291,507,127,0,54,766,56613,53440,913,571,858,650,15,44298,43116,349,167,291,393,16,0,0,44797,43446,526,136,213,470,10,107,143,34,4,0,48269,45537,623,258,537,842,40,48269,45537,623,125,373,101,6,176,1328,45321,43631,586,297,284,466,0,0,0,0,0,0,47186,45336,633,324,438,421,0,306,360,105,0,48740,46691,696,361,515,418,5,279,442,151,5,32282,16825,14971,31281,15463,15818,33009,14107,16682,32702,14684,16726,32161,13670,17064,26400,11084,15000,35341,14698,19780,36953,18077,18380,36633,19306,16628,36617,11072,25107,38707,18233,19992,38140,15568,21802,37807,18973,18815
4,4,52849,47783,1092,1203,2440,470,63,0,0,55132,48751,1577,1424,3144,370,67,0,0,56519,48373,1805,1457,3387,937,112,55664,49055,1663,1516,2968,394,53,743,2386,20,0,56,1741,56779,49204,2230,1628,2717,390,57,41418,38047,713,662,1712,332,50,0,0,42160,39105,814,749,1179,195,0,619,910,36,109,0,45733,39838,1253,945,2473,767,74,45733,39838,1253,614,2144,67,10,164,1643,43585,40115,985,924,1207,255,0,0,0,0,0,0,45370,40835,1568,1023,1605,268,0,775,1010,19,0,45595,40865,1458,995,1777,277,0,612,1191,9,0,27829,17092,10545,27354,16155,11199,29667,15905,11584,29564,16217,12081,29031,15508,12143,23820,12492,10922,31736,16603,14118,32996,20023,12349,32839,21180,10734,32661,13141,18972,34155,20403,13190,33715,18033,14955,33532,21316,12198
5,5,57402,51768,1276,1061,2895,526,24,0,0,57949,51448,1554,1322,3586,350,24,0,0,58966,50519,1927,1278,3397,1190,64,58555,51660,1564,1337,3486,290,25,1025,2685,92,25,187,1318,58781,51180,1532,1308,3554,406,128,47381,42974,981,791,2281,428,18,0,0,45966,42317,1162,691,1594,194,27,555,1266,76,18,0,49988,43396,1495,993,2668,941,46,49988,43396,1495,592,2223,113,13,194,1962,47127,43292,1172,769,1675,194,23,0,0,0,0,0,47936,43771,1171,893,1662,310,34,686,1316,52,34,49336,44585,1336,914,1969,468,13,661,1602,42,13,33804,23179,10273,32797,21863,10934,35036,22573,10165,34753,21787,11814,33899,20861,11759,27857,17978,9517,35302,22043,12324,36001,25399,10076,35628,25453,9414,35304,18525,16288,36596,25059,10906,35816,22393,12713,35648,24619,10985
6,6,52170,49819,745,581,660,424,48,0,0,53763,50434,1258,789,954,565,53,0,0,55976,50807,1342,973,999,1316,79,54252,50513,1289,890,1089,455,109,444,819,61,109,0,1017,56170,51847,933,935,1437,578,152,40488,39062,429,287,432,303,31,0,0,41960,40325,738,289,234,335,35,134,154,49,90,0,45636,42023,853,592,730,992,44,45636,42023,853,327,543,101,13,131,1645,42355,40500,657,323,458,357,70,0,0,0,0,0,44925,42645,668,379,707,372,70,294,533,29,70,46780,44262,779,417,795,361,10,381,586,4,10,26921,13984,12697,26756,13142,13614,28422,11030,15385,28128,12093,14604,27671,11437,14709,21652,7979,13319,30103,11469,17690,31306,14012,16727,31050,15688,14555,31043,8053,22456,32867,14406,18087,32483,12613,19055,32150,15573,16554
7,7,53315,51172,667,424,490,639,52,0,0,54394,51848,733,358,644,785,93,0,0,56259,51524,1181,865,678,1388,92,54853,51826,847,541,731,830,122,334,472,71,13,17,1274,56726,53102,1103,843,800,612,52,42034,40677,372,236,319,449,27,0,0,43875,42031,482,238,433,620,6,181,323,56,58,0,46266,42705,826,662,483,1087,66,46266,42705,826,400,332,118,30,140,1715,44627,42329,606,411,523,650,10,0,0,0,0,0,46119,43769,804,518,516,477,10,225,351,54,10,46837,44114,1017,594,483,515,4,237,346,34,4,28532,15636,12480,27687,15125,12562,29518,12587,14779,29205,13412,14491,28682,13303,13940,22624,9520,12695,30955,12954,17050,32053,15353,16069,31765,16786,14104,31807,9771,21469,33915,15554,17845,33368,13643,18838,32929,15924,16986
8,8,56773,54641,645,405,494,625,42,0,0,56902,54027,976,661,573,717,11,0,0,56429,51575,1083,672,702,1593,73,56221,53310,1104,626,568,585,0,296,305,116,0,94,995,56220,52827,1161,699,529,569,12,44217,42873,374,219,306,467,20,0,0,44992,43237,527,318,335,592,0,262,227,104,8,0,45423,42055,695,344,469,1184,56,45423,42055,695,157,308,130,5,187,1886,44975,43273,603,318,350,434,0,0,0,0,0,0,45375,43257,831,385,424,440,6,326,295,77,6,45744,43310,887,409,431,447,8,360,201,23,8,29419,15924,13101,28162,14908,13254,29862,11979,15643,29641,12878,15209,29149,12466,15146,22398,8967,13030,31098,12180,17884,32028,14551,16843,31755,15824,15035,31793,9023,22228,33359,14484,18316,32798,12690,19150,32326,14823,17482
9,9,53629,50850,823,494,1132,388,29,0,0,54965,51692,974,660,1647,206,70,0,0,56269,50047,1494,782,2197,1069,106,54947,51030,1052,709,2029,232,97,280,1273,28,14,0,1270,56067,50961,1161,881,2458,406,38,39915,38266,481,260,664,248,21,0,0,41763,40038,601,234,772,92,14,129,637,30,68,0,43823,39823,896,482,1376,743,74,43823,39823,896,257,1138,82,28,167,1432,41885,39780,646,275,1003,110,15,0,0,0,0,0,42720,40045,695,379,1293,221,4,152,1087,32,4,43964,40605,1160,322,1544,257,4,138,1349,18,4,29964,14763,14907,29467,13927,15540,31027,13765,15040,30858,13275,16293,30388,12961,16038,24836,10495,14027,32782,13903,17972,33971,17151,16278,33681,18186,14806,33637,10465,22701,34677,16882,17196,34215,14290,19325,33942,17370,16539
10,10,56714,54105,782,475,1034,370,23,0,0,56533,53011,1197,859,1188,577,23,0,0,56160,50917,1408,851,1277,1140,93,57056,53533,1183,886,1048,622,38,531,627,128,17,69,967,56680,52884,1359,939,839,482,41,46130,44358,507,278,723,288,17,0,0,46513,44167,837,381,657,429,0,313,469,72,29,0,46371,42636,989,526,892,850,58,46371,42636,989,321,658,60,13,186,1508,46651,44561,790,367,491,354,0,0,0,0,0,0,46440,44243,895,384,521,346,0,197,184,55,0,46700,44402,930,398,515,374,11,208,227,53,11,33327,22017,10902,31633,20775,10858,32513,18870,11383,32291,19268,11761,31465,18170,12010,25977,15914,9689,33268,19063,13215,34249,22079,11603,33322,22248,10238,33671,15928,17169,34900,21399,12914,34238,19326,14156,33828,21586,12213
11,11,55483,52036,1151,724,1231,354,49,0,0,56805,52117,1729,814,1850,283,245,0,0,58412,51943,2059,1123,1622,946,69,57481,51268,2479,973,2466,370,222,394,1867,10,6,113,1344,59020,52317,2341,1099,2243,483,118,41671,39557,663,410,766,249,28,0,0,43472,40916,1055,365,829,219,50,285,729,4,70,0,46311,41862,1308,733,1138,708,43,46311,41862,1308,431,849,50,11,238,1562,42970,40120,1093,325,1148,293,4,0,0,0,0,0,44795,41240,1515,485,1195,298,4,340,925,8,4,45789,41984,1485,541,1312,409,0,316,971,0,0,32497,16404,15774,31828,15402,16426,32834,15027,15579,33185,14867,17024,32520,14436,16580,26071,11466,14201,35064,15418,18593,36268,19495,16090,36242,20604,14716,35913,11238,24083,37839,19754,17466,37338,16275,20203,36872,19875,16971
12,12,57918,51632,2023,1124,2796,364,51,0,0,58892,50897,2690,1417,3843,448,124,0,0,60153,49805,3059,1540,4050,962,87,59395,51125,3010,1256,3767,431,128,829,3003,41,0,50,1338,60494,50134,3731,2122,4134,672,89,44488,40313,1306,726,1878,254,31,0,0,45243,40895,1474,696,1797,279,0,646,1599,37,109,0,48022,40692,2081,1125,2845,702,55,48022,40692,2081,739,2534,61,18,327,1570,45336,40750,1691,666,1860,279,0,0,0,0,0,0,46260,40649,1967,1015,2160,324,0,769,1521,65,0,46092,39426,2454,1343,2457,349,0,1017,1937,33,0,31857,15920,15574,31566,15226,16340,33730,15340,15983,33430,14804,17261,32862,14421,16906,25963,11394,14183,35095,15310,18772,36287,18796,16879,36008,19650,15468,35748,11671,23526,37950,18875,18491,37365,15589,21075,36820,18788,17999
13,13,55849,42621,6909,2274,3845,522,102,0,0,58154,40245,9319,3902,5279,688,93,0,0,60252,40472,10478,3164,4892,1015,94,58196,41136,8983,4217,4939,655,68,1608,4173,62,5,187,2041,59916,42180,9268,3963,5224,560,75,43215,34594,4312,1433,2626,365,63,0,0,41495,33269,4484,1342,1989,335,10,1052,1631,32,110,0,48241,34410,7026,2165,3571,772,73,48241,34410,7026,1338,3268,70,15,389,1725,41254,33270,4494,1274,1771,349,4,0,0,0,0,0,43705,34921,5063,1414,1976,252,0,919,1627,24,0,43457,34410,5165,1429,2186,253,4,1025,1973,18,4,24452,14207,9963,24831,14822,10009,25867,14041,10129,25565,13698,10670,24972,13155,10538,18465,9835,8326,26458,13717,11942,27228,16440,10352,26692,17018,9013,26764,10565,15693,26070,14597,11085,25540,12510,12466,25130,14634,10466
14,14,53552,49835,1303,728,1453,268,32,0,0,56747,52911,1513,738,1350,199,71,0,0,57166,50728,2251,1098,1738,787,62,57252,52773,1938,882,1393,251,28,609,1049,19,16,98,750,57320,52436,1902,1185,1344,278,15,39788,37481,777,435,911,183,21,0,0,43837,41601,880,439,724,155,60,364,580,20,4,0,45198,40781,1489,675,1184,581,42,45198,40781,1489,402,994,37,17,174,1304,45000,42125,1285,563,813,204,15,0,0,0,0,0,45365,42670,1389,532,607,154,15,438,522,0,15,46562,43179,1379,923,885,196,5,518,670,25,5,28512,13185,15069,28328,12349,15979,31187,12583,16592,30899,12692,16893,30214,11871,16925,22994,8693,14004,33096,12665,19563,34396,15989,17914,34048,17184,16152,34101,8806,24907,34998,15771,18820,34567,12822,21189,34070,16347,17697
15,15,55803,51271,1038,1240,1861,480,41,0,0,56797,50261,1522,1926,2536,750,38,0,0,58119,50238,1700,2266,2408,1010,66,57193,50909,1746,1780,2304,817,46,1295,1925,274,0,159,885,58209,51173,1815,1836,2550,826,30,43681,40730,640,737,1256,341,21,0,0,43660,40615,958,791,774,557,0,717,584,172,33,0,47197,41600,1196,1505,1720,770,34,47197,41600,1196,1170,1481,113,9,196,1432,44185,41130,1061,717,686,595,0,0,0,0,0,0,45825,42085,1243,793,1085,559,0,733,827,119,0,46775,42710,1306,1040,1078,464,0,875,769,57,0,30731,19281,11170,30134,18994,11140,31330,17794,11358,31200,17910,12326,30871,17979,11769,25284,14083,10870,32579,18296,13433,33543,21455,11550,33290,22641,9908,33211,15029,17775,33903,20945,12408,33531,18497,14427,33118,21152,11927
16,16,54351,51230,1022,748,1054,325,45,0,0,55578,51269,1504,1149,1242,387,78,0,0,57841,51552,1971,1234,1648,888,58,55873,51236,1315,978,1676,459,70,527,1106,202,0,102,1383,57522,51993,1233,1212,1873,388,98,43063,40951,635,451,775,253,35,0,0,44181,41799,1041,521,530,284,0,422,430,118,14,0,47442,42922,1311,856,1178,697,47,47442,42922,1311,513,927,77,16,157,1519,44616,41937,961,501,875,341,0,0,0,0,0,0,46473,43436,893,731,1033,299,0,559,692,145,0,48005,43839,1187,701,1598,282,4,571,1035,62,4,29249,13970,15017,29062,13529,15533,31566,13346,16169,31335,13545,16559,30788,13118,16380,23575,9216,14060,32421,12916,18613,33160,15796,16811,32912,17111,15066,32858,8826,23590,34516,16089,17925,34060,13539,19831,33775,17406,16344
