ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
17,17,25786,23490,883,550,730,143,13,0,0,26341,23392,1052,696,1023,70,24,0,0,27462,23030,1658,1113,1185,349,34,26767,22955,1090,1135,1587,155,24,498,1185,0,0,772,27893,23818,1213,889,1626,212,4,20062,18639,530,294,479,97,6,0,0,19911,18437,569,307,545,44,0,237,492,0,0,0,0,22124,19110,1085,685,876,248,25,22124,19110,1085,355,748,17,2,673,19944,18168,600,371,688,20,0,0,0,0,0,21739,19506,802,347,923,50,4,298,794,4,4,22340,19973,1024,374,744,95,13,286,610,4,13,14018,7606,6135,13438,7319,6119,14031,6222,6905,11324,5949,5358,11320,4992,5122,10400,7986,0,11138,6427,3795,11113,6607,4492,11116,6408,4693,14027,7328,6419,15728,8051,7355,15191,9093,6073,15831,7719,7682,15387,8208,7139,15200,7974,6462
18,18,27839,21145,3018,2591,574,368,110,0,0,27946,19411,4282,3160,941,272,36,0,0,28381,18960,4206,3659,805,621,55,27447,18892,4361,3279,762,396,18,1961,654,17,8,1281,28548,19056,4589,3906,624,354,55,22111,17707,1931,1641,392,252,71,0,0,20979,16590,2189,1652,432,78,0,1407,360,29,0,30,0,23224,16506,2879,2537,643,434,40,23224,16506,2879,1455,512,67,8,1339,20698,15948,2320,1712,527,178,0,0,0,0,0,22058,16611,2600,2154,433,231,49,1759,338,38,49,22573,16673,2524,2753,431,180,130,2186,315,31,130,12748,8726,3762,11528,8195,3333,11563,6811,4031,9252,6213,3018,9237,5342,2733,8635,7063,0,9035,6184,2095,9023,6628,2377,8979,6371,2592,11499,7536,3741,13052,8344,4425,12263,8734,3496,12513,7551,4622,11856,7745,4072,11782,7645,3527
19,19,27196,24203,1439,646,718,192,55,0,0,28249,25076,2179,421,550,180,5,0,0,29386,23730,2578,1168,1284,374,48,28175,23792,2746,1064,905,159,4,480,773,1,0,374,29212,24749,2088,1029,738,80,4,21153,19228,914,355,488,118,40,0,0,21659,19967,1171,214,176,118,0,149,166,4,0,6,0,23240,19507,1660,737,844,282,32,23240,19507,1660,397,723,32,6,706,21597,19256,1421,441,358,109,0,0,0,0,0,22391,20390,1020,503,323,79,0,442,275,4,0,21565,19571,771,657,365,67,1,601,291,9,1,13568,7894,5428,13342,7748,5594,13752,7056,5799,11085,6490,4569,11095,5643,4159,10038,8081,0,10915,6868,2969,10778,7119,3649,10812,6777,4028,13807,7931,5611,15605,8768,6525,14858,9395,5442,15357,8138,6797,14815,8508,6271,14497,8198,5437
20,20,26291,21270,2531,1321,1205,230,22,0,0,26464,19579,3356,2215,1533,484,3,0,0,27804,19289,4038,2093,2123,557,70,26266,19089,3350,1815,1917,434,6,959,1831,154,0,609,27447,18077,5033,2414,2380,866,2,20118,17135,1407,717,821,159,18,0,0,19501,16321,1927,824,339,109,0,658,324,73,0,4,0,21896,16230,2501,1300,1558,383,50,21896,16230,2501,779,1456,48,2,741,19173,15810,1793,806,614,200,0,0,0,0,0,19848,15240,2816,983,608,336,0,569,585,70,0,19698,14969,2587,1129,812,317,0,522,774,21,0,10809,6508,4107,10500,6250,4250,10341,4931,4709,8104,4534,3556,8101,3975,3268,7349,5634,0,7958,4920,2387,7863,4941,2914,7824,4773,3042,10211,5542,4482,11642,6079,5361,10873,6580,4278,11660,5583,5823,11116,6014,5089,10811,5652,4553
21,21,27956,26826,406,258,333,142,7,0,0,27717,26353,477,248,409,275,52,0,0,28123,25841,763,399,488,365,26,28182,26367,493,456,283,614,3,50,229,3,0,1031,28333,26045,580,441,460,600,2,21525,20856,223,149,191,105,5,0,0,22131,21209,377,114,180,188,0,89,180,0,0,54,0,22801,21215,464,261,360,279,17,22801,21215,464,139,233,22,1,647,22173,21062,371,260,135,300,0,0,0,0,0,22523,21194,371,288,286,362,0,47,234,4,0,23337,21662,595,360,287,382,21,141,199,18,21,15186,7683,7135,14266,7294,6972,15396,5662,8573,12919,5785,7112,12948,4452,7074,11516,8082,0,12617,5524,5575,12621,6582,6026,12630,6115,6504,15656,6875,8433,17536,7477,9673,16892,8579,8289,17781,6964,10387,17320,7390,9904,17063,7634,9401
22,22,29070,26648,1064,696,526,154,53,0,0,29632,25238,1853,1315,1091,230,48,0,0,30185,24298,2029,1209,2159,431,24,29154,25190,1736,1345,834,252,60,1043,603,2,0,565,30255,25102,2462,1604,1122,246,19,23991,22241,747,482,417,105,27,0,0,23873,21292,1233,866,357,180,0,770,337,14,0,40,0,25231,20625,1381,840,1972,345,18,25231,20625,1381,560,1755,40,4,688,23794,21349,1038,898,352,162,0,0,0,0,0,24291,20988,1598,995,517,173,0,858,426,8,0,24278,20729,1678,1091,528,112,5,944,419,11,5,13864,7619,5968,13703,7677,6026,14002,6159,6896,11745,6109,5616,11724,4924,5468,10713,8293,0,11465,6278,3800,11474,6886,4577,11458,6683,4766,13978,7235,6487,15501,7780,7454,14907,8898,5995,15573,7183,8025,15044,7719,7299,14812,7489,6586
23,23,28635,27549,485,237,246,169,15,0,0,29862,27560,995,590,707,250,0,0,0,29310,26770,1002,473,366,480,29,29911,27351,1370,695,725,164,0,151,413,5,0,609,28697,26700,1221,65,538,105,0,22358,21753,265,93,148,114,7,0,0,23387,22233,417,312,284,225,0,113,174,10,0,0,0,23504,21921,570,277,227,324,9,23504,21921,570,126,137,14,5,645,23364,22094,476,317,380,163,0,0,0,0,0,22634,21893,362,20,269,78,0,19,145,4,0,23109,22387,346,56,207,95,0,50,140,0,0,13781,7168,6265,13352,7171,6181,14047,5216,7783,11575,5271,6283,11556,3927,6193,10318,6984,0,11341,4988,4528,11278,5973,5298,11254,5670,5568,14449,6310,7822,16461,6974,9128,15822,7794,8004,16930,6489,10088,16378,7010,9341,16164,7118,8944
24,24,26203,18615,3587,2462,1676,389,41,0,0,27010,17119,5004,3175,1704,525,0,0,0,27570,17021,5531,3473,1443,580,58,26913,15764,5850,3751,1688,571,0,2336,1278,50,0,1509,27906,16486,6238,3997,1422,515,73,20044,15452,1954,1446,1151,237,22,0,0,20065,14609,2452,1705,1006,312,0,1478,906,60,0,0,0,21705,14552,3537,2311,1069,417,36,21705,14552,3537,1563,924,57,10,878,19486,13460,3025,1728,978,342,0,0,0,0,0,19719,13513,3261,1712,920,343,31,1412,881,27,31,19780,13324,3573,1736,921,329,20,1324,869,25,20,8382,5389,2854,9130,6023,3107,8315,4237,3477,6161,3684,2462,6180,3135,2376,5634,4207,0,6025,3802,1740,5963,3877,2079,5876,3736,2133,7935,4512,3242,9074,4873,3988,8282,5245,3023,8403,4251,3962,7839,4499,3319,7641,4124,3037
25,25,26915,23930,1546,709,655,133,36,0,0,27285,23034,2432,790,1034,343,0,0,0,27460,21207,3554,1428,968,422,35,26670,22371,2441,1060,836,239,0,667,718,2,0,430,27170,21411,3640,1765,396,158,0,21780,19836,945,451,472,95,19,0,0,21969,19385,1637,330,613,24,0,290,533,4,0,0,0,22691,18328,2390,987,746,281,28,22691,18328,2390,649,652,16,4,567,21660,19139,1545,482,467,29,0,0,0,0,0,21543,17941,2200,1011,303,64,0,927,275,4,0,22034,18162,2098,1376,311,86,0,992,307,0,0,13137,7239,5634,12421,7231,5190,12920,5258,7070,10098,4978,5103,10099,3930,5210,9053,6834,0,9824,5287,3608,9814,5586,4217,9792,5472,4300,12666,6094,6408,14242,6377,7680,13570,7726,5823,14735,5831,8630,14151,6910,7210,13949,7027,6889
26,26,27436,21057,3504,1351,1664,217,55,0,0,27259,18433,4943,2366,1924,194,70,0,0,28205,18509,5821,1980,2025,509,50,27705,18126,4488,2355,2783,198,69,1889,2571,25,51,473,27432,17763,5600,1687,2280,258,135,20956,16870,2190,833,1134,131,29,0,0,19975,15347,2485,1027,999,50,50,965,899,35,50,29,0,22407,15628,3998,1385,1444,367,38,22407,15628,3998,791,1332,48,2,510,19990,15126,2545,1056,1187,45,49,0,0,0,0,20010,15059,3129,624,940,96,84,587,885,46,84,20130,14686,3183,1011,1086,97,4,963,971,12,4,12131,6764,5177,11642,6604,5038,12575,5604,6354,10550,5327,5193,10631,3593,6436,9447,7307,0,10221,5414,4020,10293,5805,4462,10232,5648,4557,12635,6454,6013,14101,6871,7002,13528,8000,5511,14360,6405,7636,13746,7067,6644,13520,7138,6343
