ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
29,29,28446,18858,4638,2871,2026,370,46,0,0,30609,17363,6111,4446,2778,753,27,0,0,31865,16345,7273,4126,3721,868,40,31541,17806,6638,3685,3510,570,23,2757,3183,34,1,102,1021,31599,17746,6652,3381,3769,842,12,19988,14503,2599,1484,1296,214,33,0,0,19988,14173,2324,1905,1325,248,0,1613,1210,100,80,0,23192,13317,4488,2374,2611,609,20,23192,13317,4488,1996,2434,89,4,72,792,20621,14614,2210,1751,1887,103,4,0,0,0,0,0,20854,14523,2222,1551,2281,101,4,1364,2175,62,4,20904,14286,2323,1610,2546,107,0,1460,2466,22,0,10930,6954,3761,11238,7614,3624,11220,6527,3889,11025,5590,4840,9374,6034,3106,8630,7037,0,9169,6081,2781,9197,5821,3100,9208,6532,2399,10945,6564,3985,12534,7632,4630,12331,7567,4316,11511,6578,4779
30,30,31456,24059,3617,2387,1255,400,41,0,0,31397,23070,3909,2950,1186,591,82,0,0,31878,20768,5400,3285,1756,791,57,31713,22163,4445,3623,1160,317,64,2841,964,104,16,92,1093,31901,21715,4857,3794,1183,327,40,23400,19082,2031,1285,856,238,29,0,0,22554,18640,1594,1491,606,267,0,1251,528,123,15,0,24127,17224,3213,1929,1185,574,35,24127,17224,3213,1618,1036,74,12,78,872,22601,18195,1814,1800,646,214,4,0,0,0,0,0,22883,18395,2150,1720,536,105,4,1381,446,40,4,22074,17461,2503,1442,456,141,48,1111,356,50,48,13943,8677,4993,14146,9474,4672,13450,7472,5032,13271,6503,6111,11324,7190,3859,10468,8339,0,11060,7197,3509,11097,6847,3903,11131,7832,2987,12928,7561,4911,14249,8480,5461,14085,8473,5066,13025,7565,5242
31,31,31546,27306,1357,1201,1564,150,44,0,0,32413,26386,1867,1707,2351,189,53,0,0,32047,25220,1966,2226,2105,386,36,32455,27035,1477,1596,2262,157,50,1406,1544,58,25,0,920,32482,26392,1608,2006,2323,103,18,23429,20799,838,682,1041,86,26,0,0,23158,20384,880,842,891,104,25,805,761,43,30,0,24838,20304,1292,1331,1484,251,20,24838,20304,1292,1145,1302,16,7,85,687,23531,20833,756,887,964,97,25,0,0,0,0,0,23964,20659,766,1429,1058,47,19,1270,873,0,19,24518,20809,1089,1321,1203,57,0,1128,979,0,0,17177,8655,8273,18413,8919,9494,17799,8947,7438,17596,7098,9842,15920,8844,6820,14168,11034,0,15540,8700,6493,15620,8127,7151,15601,9879,5400,17582,9233,7817,19286,11173,7758,19135,10526,8220,18750,10609,7815
32,32,31298,25838,2528,1348,1514,167,41,0,0,32126,25220,2484,1698,2556,235,29,0,0,32176,23602,3039,2377,2434,547,59,32369,25809,2539,1875,1999,149,17,1366,1911,17,10,10,701,31743,24100,2986,2177,2245,249,7,24449,20858,1614,813,1091,114,28,0,0,23122,20682,776,938,606,76,10,913,576,10,10,0,24982,19383,1911,1465,1640,380,39,24982,19383,1911,1273,1461,50,17,100,787,23972,21191,909,1138,635,74,10,0,0,0,0,0,23252,19717,1334,1338,706,138,6,1030,705,20,6,23030,19632,1300,1231,740,108,0,838,596,8,0,17849,9585,8015,18152,9707,8445,17922,9348,7147,17738,7711,9361,16306,9517,6535,14751,11698,0,15990,9361,6255,16083,8813,6905,16030,10546,5137,17529,9600,7376,18569,11027,7155,18451,10508,7447,17422,10278,6829
33,33,31784,19367,6299,4319,1682,445,67,0,0,32774,18191,6890,5510,2343,310,55,0,0,32104,16457,8143,4494,2557,925,68,30668,17082,7250,4763,1473,372,83,3915,1373,39,38,11,962,30521,17370,7305,4190,1180,706,46,22985,15616,3525,2557,1168,296,36,0,0,20930,15297,1700,2883,889,172,30,2601,726,55,50,0,23728,13779,4929,2787,1765,650,48,23728,13779,4929,2405,1645,66,19,80,805,19606,14225,2210,2274,644,174,25,0,0,0,0,0,20082,14689,2534,2026,520,265,4,1622,483,4,4,20195,13585,3361,1920,1002,313,6,1530,929,0,6,11905,8175,3449,11791,8815,2976,11239,7104,3356,11019,6240,4148,9220,6431,2529,8635,7129,0,9027,6388,2316,9090,6211,2578,9049,6788,1986,10749,7017,3319,12128,7936,3895,11918,7879,3480,11026,6759,4043
34,34,32809,17615,5118,7580,2385,476,74,0,0,34154,17189,6225,7754,3465,549,69,0,0,31886,15190,5272,8113,2929,772,82,34241,16753,5703,8659,3601,620,41,6963,3230,51,0,31,1511,32163,15801,4407,8798,3107,717,45,24722,15002,3096,4705,1774,301,48,0,0,21892,14568,1916,4115,1114,158,0,3801,1055,35,99,0,24078,13108,3356,5182,2078,574,48,24078,13108,3356,4669,1900,73,18,73,881,21956,14366,1654,4306,1166,198,0,0,0,0,0,0,21963,14171,1432,4810,1115,127,0,4368,1075,26,0,21410,13373,1882,4421,1341,188,0,3912,1228,27,0,13273,9943,3061,12807,10057,2750,12337,8928,2418,12053,7878,3560,10227,7885,2102,9704,8250,0,10031,7668,2038,10096,7708,2075,10057,8059,1678,11485,8445,2597,12216,9174,2732,12027,8974,2631,10878,7871,2744
35,35,31377,25929,1495,2569,1292,232,33,0,0,33290,26026,1410,2452,3260,328,102,0,0,32015,23181,2145,3327,2884,411,51,32891,24829,1870,3227,2883,273,79,2714,2592,74,48,42,724,32846,23682,1855,3926,3184,166,66,24479,21125,882,1525,840,149,24,0,0,23761,20750,710,1329,731,193,20,1242,659,65,39,0,25163,19484,1335,2081,1850,276,33,25163,19484,1335,1772,1685,58,9,84,736,23324,19820,831,1622,787,168,53,0,0,0,0,0,23172,18934,768,2338,976,92,4,2096,929,14,4,23146,19194,804,1936,1067,79,6,1673,1004,12,6,17875,11427,6100,17712,11754,5958,17433,10828,5104,17214,9354,7034,15393,10729,4321,14438,11883,0,15056,10451,4139,15134,10196,4515,15114,11278,3401,16887,11029,5239,18160,12465,5296,17992,12118,5356,17012,11592,5121
36,36,27340,21523,1574,3200,865,301,44,0,0,30830,24030,2110,3767,1083,279,0,0,0,31963,23469,2358,4123,1456,543,67,31395,24624,1983,3230,1631,334,0,2137,1445,56,0,50,1094,31574,23858,2868,3254,1842,513,0,22154,18277,1020,2072,641,213,22,0,0,24394,20506,1025,2135,612,94,0,1896,586,35,30,0,26578,20527,1646,2750,1163,436,48,26578,20527,1646,2362,917,91,16,112,907,25214,21247,1115,1829,927,81,0,0,0,0,0,0,25363,20930,1374,1896,1042,81,0,1554,909,50,0,25501,20475,1349,2651,865,61,0,2237,731,14,0,15202,10586,4357,15840,11154,4686,16045,11189,3660,15812,9660,5500,15567,11851,3431,14614,12562,0,15212,11353,3483,15321,11268,3700,15260,12123,2782,16473,11886,4068,18085,13569,4118,17951,13202,4305,17028,12788,3940
37,37,31686,30414,433,253,472,151,16,0,0,32063,30410,541,450,523,125,9,0,0,31835,29678,638,344,578,381,52,32119,30354,576,429,558,148,9,351,373,29,1,13,434,31618,29956,552,351,502,148,24,23650,22912,237,118,295,101,12,0,0,24171,23221,343,304,196,116,0,292,171,28,7,0,24155,22764,376,186,390,289,33,24155,22764,376,120,316,33,10,40,496,24151,23233,279,326,194,126,0,0,0,0,0,0,23689,22810,332,245,173,111,0,153,110,19,0,24128,23148,353,251,268,79,0,128,210,4,0,16673,6396,9872,16957,6485,10472,17469,4688,11447,17336,3875,12832,14926,4608,10032,12474,8665,0,14626,5093,9167,14694,4194,10196,14637,5687,8635,17033,4736,11777,18840,5370,13104,18701,5348,12842,19142,5166,13649
38,38,31029,29640,481,545,207,178,15,0,0,30712,28490,805,866,314,328,23,0,0,31898,28878,958,928,324,532,67,31000,28626,858,920,325,292,6,515,189,83,0,20,706,31895,29113,1005,1057,481,296,98,24146,23209,284,417,123,120,10,0,0,23933,22588,403,592,153,217,0,485,104,72,29,0,25024,23035,613,582,218,361,46,25024,23035,613,485,147,69,19,55,601,23851,22615,414,518,108,214,0,0,0,0,0,0,24667,23216,613,572,115,219,0,503,33,83,0,24631,23193,532,586,99,172,64,487,21,20,64,16430,8861,7145,16023,8876,7147,15844,6150,8562,15670,5360,9477,13233,6225,6739,11942,9032,0,13025,6644,6056,13019,5651,7099,13045,7298,5466,15308,6264,8496,16723,6659,9768,16580,6830,9143,16710,6146,10265
