ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
39,39,30107,24852,2013,1947,1176,265,30,0,0,31485,23957,2604,3206,1642,193,39,0,0,31995,23357,3487,2836,1570,690,67,32240,24141,2164,3868,1843,305,24,2919,1559,48,19,0,1392,33131,24107,2835,3837,2006,304,11,22486,19419,1105,1043,785,166,21,0,0,22535,19237,900,1362,886,84,22,1228,792,62,42,0,24316,18885,2083,1662,1048,501,48,24316,18885,2083,1428,935,55,16,90,824,22368,19014,771,1482,806,187,20,0,0,0,0,0,22753,19002,1146,1257,1143,186,4,1200,984,32,4,23660,19218,1537,1271,1323,174,8,1220,1203,22,8,13907,7948,5684,13885,8509,5376,13793,6736,6006,13549,5768,7119,11791,6736,4780,10575,8294,0,11523,6833,4370,11573,6287,4957,11561,7540,3704,13437,6891,6047,14999,7733,6937,14801,7621,6599,14912,7283,7395
40,40,25156,23099,887,666,406,120,62,0,0,30493,27152,1177,1529,490,132,163,0,0,32036,26880,1719,1857,905,558,65,31590,27457,1407,1825,667,166,207,1524,374,22,193,0,610,32437,28122,1747,1594,848,181,39,18552,17216,565,444,249,86,37,0,0,22070,20328,544,806,289,38,58,698,242,24,10,0,23982,20758,1063,1099,548,402,37,23982,20758,1063,970,458,62,26,49,596,22814,20768,753,830,366,42,70,0,0,0,0,0,23390,21246,962,681,374,68,0,596,254,25,0,24777,21542,1201,1252,628,49,0,1212,440,33,0,11695,6009,5426,13216,7085,6131,14698,6255,7234,14457,5240,8541,13075,6761,6025,11568,8810,0,12754,6904,5478,12779,6183,6226,12785,7764,4689,14808,6806,7451,16972,7924,8635,16825,7922,8310,17975,8157,9510
41,41,18497,17217,391,332,485,76,15,0,0,26216,24772,561,330,556,14,0,0,0,32054,27742,1242,1229,1113,425,40,30934,29188,523,359,796,55,0,323,514,10,0,0,385,33500,30378,643,266,1734,92,0,13375,12655,210,182,285,37,8,0,0,18582,17887,217,234,243,19,0,219,143,9,0,0,23657,20994,741,703,692,270,26,23657,20994,741,570,589,40,9,134,580,22030,21067,205,288,402,36,0,0,0,0,0,0,23541,22513,297,155,476,27,0,82,457,7,0,25230,23474,588,426,634,22,6,335,637,0,6,10029,4629,5230,11326,5088,6238,14407,6161,7051,14224,4824,8859,13627,6667,6707,11870,8806,0,13277,6716,6223,13359,6239,6837,13305,7759,5246,15655,7127,8017,19155,9416,9317,18980,9095,9424,21915,10381,11137
42,42,24348,22718,582,382,583,105,18,0,0,31332,27572,1221,1506,982,99,26,0,0,31911,27779,1401,1194,944,428,44,31003,27525,1282,936,1181,135,70,577,594,78,0,0,960,31663,27851,1551,1055,1077,99,64,17553,16570,331,222,363,66,13,0,0,22100,20279,543,590,589,66,0,483,482,50,10,0,23493,20956,848,649,606,279,31,23493,20956,848,511,483,37,10,68,580,22110,20434,581,413,579,99,0,0,0,0,0,0,22771,21175,702,399,497,77,0,266,380,55,0,22929,21046,641,727,586,53,0,641,496,3,0,11086,5260,5616,13984,6476,7508,15212,6469,7307,15028,5256,9133,14272,7123,6876,12490,9352,0,13940,7155,6460,13976,6605,7041,13968,8124,5500,15870,7272,8020,18427,9031,8945,18259,8761,9002,18807,9186,9308
43,43,25071,22815,527,584,1052,88,22,0,0,28242,25120,753,1020,1313,44,28,0,0,32052,26489,1223,1850,2013,338,44,29739,25246,1139,1338,1938,50,22,1147,1567,8,0,0,635,31452,25136,1150,2957,1877,60,22,18070,16777,296,286,646,58,16,0,0,19808,18437,357,482,515,31,0,340,399,9,17,0,23698,20297,750,967,1302,236,21,23698,20297,750,857,1201,28,11,55,499,20615,18839,542,546,750,27,0,0,0,0,0,0,21664,19373,516,1082,709,44,0,1002,567,7,0,22318,19660,492,1172,993,32,4,1082,877,12,4,14084,6474,7427,15695,6939,8756,16758,7486,8019,16604,5911,10123,15337,7556,7552,13477,10209,0,15020,7846,6876,15071,7021,7745,15045,8916,5818,16901,7907,8514,18819,9676,8777,18669,9229,9055,18943,9683,8904
44,44,31031,27414,1072,1257,1196,136,39,0,0,31455,26355,1230,2018,1747,95,156,0,0,31757,25213,1817,2055,2151,360,56,31237,25139,1847,1974,2127,154,76,1707,1853,89,0,41,556,31537,24892,1925,2208,2070,409,0,23416,21199,629,714,793,86,22,0,0,22689,20289,507,867,972,43,25,855,888,24,15,0,24194,20136,1089,1178,1398,250,35,24194,20136,1089,1022,1252,22,10,53,610,23023,19741,1036,1072,1102,60,1,0,0,0,0,0,22983,19586,998,1257,1047,124,0,1207,975,53,0,23493,19933,1062,1347,1028,83,0,1187,901,4,0,17986,9051,8636,18031,9018,9013,18086,8950,7737,17903,7287,9954,16009,8738,6991,14231,11106,0,15661,8731,6599,15731,8014,7383,15666,9878,5436,17591,9021,8014,18932,10421,8115,18776,10002,8321,18051,9730,7979
45,45,24222,23127,413,306,287,123,25,0,0,31475,29644,741,417,455,287,16,0,0,31630,28947,969,528,450,514,39,29168,27239,415,837,380,291,14,734,271,67,0,1,411,31505,29278,814,771,391,166,17,17489,16810,239,209,154,92,12,0,0,22274,21167,466,269,216,127,0,213,176,58,24,0,22697,21093,544,317,226,358,26,22697,21093,544,224,164,71,11,58,532,21115,20260,221,419,82,137,0,0,0,0,0,0,23004,22034,411,428,90,96,0,363,69,17,0,24727,23398,606,428,193,96,0,334,161,17,0,14517,6256,7927,14257,6076,8181,15594,5239,9176,15435,4315,10526,14405,5883,8234,12445,8644,0,14072,6198,7493,14096,5437,8314,14101,7274,6467,16219,5925,9775,18850,7160,11276,18738,7087,11149,21436,8003,13100
46,46,18831,17569,413,254,537,80,6,0,0,28095,25530,1177,514,842,171,79,0,0,31678,27777,1169,913,1263,401,34,28656,26284,870,513,857,107,91,188,770,27,0,8,511,31829,28367,1306,883,969,115,83,12989,12280,224,120,321,54,5,0,0,19288,18213,452,203,313,51,0,187,296,38,75,0,22028,19705,658,480,778,281,19,22028,19705,658,374,674,36,5,55,521,19242,18494,280,122,230,37,0,0,0,0,0,0,21258,19992,480,368,229,58,0,198,207,0,0,22115,20024,844,673,503,116,5,489,469,4,5,9140,4035,4933,11582,4866,6716,13131,5180,6854,12965,3922,8495,13397,6080,7059,11752,8723,0,13050,6236,6478,13133,5471,7341,13081,7057,5742,14922,6371,8088,18414,8569,9438,18291,8179,9669,20538,9190,10974
47,47,32455,28659,3124,298,198,241,52,0,0,31456,27041,3335,611,295,191,14,0,0,31831,26778,3575,508,297,530,71,31803,27511,3131,638,225,239,41,449,95,31,28,36,523,31827,27304,3231,518,316,485,57,24304,22129,1805,124,125,142,30,0,0,22948,21205,1324,188,113,140,0,136,65,52,10,0,24201,21084,2217,244,189,371,53,24201,21084,2217,165,124,39,20,43,509,23548,21873,1194,210,101,198,4,0,0,0,0,0,23823,21861,1426,182,163,209,8,140,66,41,8,23755,21886,1255,139,193,225,8,106,107,25,8,16193,7862,7703,15731,7981,7750,15446,5601,8800,15264,4532,9957,13573,5732,7499,12025,9004,0,13245,6313,6524,13250,5028,7842,13218,6909,5937,15304,5737,9091,16986,6300,10399,16825,6331,9924,16820,5865,10680
48,48,31335,29708,667,470,340,185,16,0,0,32059,29676,1077,481,396,458,112,0,0,32034,29304,950,683,375,539,42,31553,29273,1006,577,365,410,69,412,311,62,69,3,420,31981,29513,964,926,306,201,23,24010,23069,360,231,247,118,11,0,0,24682,23606,438,226,191,187,39,162,172,68,10,0,24888,23156,581,364,261,380,24,24888,23156,581,236,180,51,6,53,625,24513,23450,409,313,152,153,30,0,0,0,0,0,25402,24004,602,538,139,138,0,326,126,8,0,25289,23921,652,459,163,122,16,267,135,0,16,16639,8722,7433,16755,9000,7755,17035,6845,8659,16830,5941,10089,14623,7158,7121,13043,9697,0,14284,7169,6701,14298,6452,7449,14280,8246,5637,16685,7197,8868,18549,7976,10099,18365,7937,9751,18593,7465,10749
49,49,26821,22883,882,975,2010,148,28,0,0,29765,24517,987,1250,2956,109,33,0,0,31961,25016,2179,1608,2713,366,951,30746,25707,893,1182,2771,123,34,723,2314,26,0,50,1039,30575,25823,883,1079,2452,155,46,24490,21122,733,713,1856,118,21,0,0,25399,22698,809,859,956,84,0,508,558,30,4,0,29082,23017,1902,1239,2547,289,934,29082,23017,1902,1068,1424,80,7,65,1519,26556,23898,662,938,1018,72,0,0,0,0,0,0,26868,24011,802,835,1134,92,20,534,774,39,20,27567,24030,1001,884,1561,93,26,730,1023,39,26,13136,8300,4507,12567,8001,4566,15681,8862,5028,14975,7349,6859,11944,8050,3536,10934,8665,0,11576,7244,3925,11681,7588,3715,11603,7992,3252,13402,8238,4515,13149,8757,3990,12885,8353,4157,12323,7536,4517
50,50,29914,23936,1049,1331,3511,181,25,0,0,33503,25295,1291,1587,5203,205,18,0,0,31777,23502,1585,1760,4381,412,356,33233,24253,1468,1711,5426,263,14,1160,5092,52,0,5,1205,33031,23856,1553,1684,5299,294,35,24684,20155,763,850,2847,132,25,0,0,24327,21236,579,1064,1312,147,0,867,1153,55,35,0,26555,20063,1226,1253,3601,308,349,26555,20063,1226,989,3011,31,16,65,1154,23490,20210,694,972,1395,162,0,0,0,0,0,0,24429,20404,782,941,2082,137,0,741,1711,36,0,25184,20423,1314,1045,2082,90,48,899,1638,16,48,15857,9682,5819,15357,9378,5979,16403,9518,5087,16002,7994,7291,14308,9365,4611,13062,10565,0,13988,8443,5187,14035,8744,4916,13972,9740,3876,15846,9744,5429,17119,11344,5256,16986,10911,5631,16373,10399,5579
51,51,30688,29231,641,337,327,171,24,0,0,31096,29405,1002,356,251,113,5,0,0,31906,29122,1158,468,343,559,24,31549,29237,1310,307,489,164,9,116,350,37,0,26,465,32393,29441,1251,437,924,309,6,22687,21866,336,172,200,113,16,0,0,22382,21584,430,142,107,114,0,64,88,18,4,0,23939,22204,703,251,214,374,9,23939,22204,703,165,132,40,4,80,611,22778,21760,648,117,132,129,0,0,0,0,0,0,23609,22243,633,183,353,183,0,131,181,62,0,23954,22257,875,155,421,174,5,73,226,51,5,16576,7971,8104,16781,8111,8670,17070,6167,9351,16875,5249,10852,15149,6601,8155,13308,9652,0,14870,6312,8189,14861,5906,8532,14855,8087,6378,16943,6631,9698,18820,7486,10865,18692,7527,10498,18791,7215,11212
52,52,32171,23696,6847,886,617,294,60,0,0,31235,20190,8391,1019,1514,249,15,0,0,32012,19933,8836,1050,1653,725,47,30998,19828,8517,1122,1360,232,15,347,1236,0,15,40,1016,31808,19409,9398,1236,1473,464,0,23875,19173,3672,493,440,155,38,0,0,20138,16749,2460,485,257,154,19,346,222,35,20,0,23766,16423,5246,634,1038,500,29,23766,16423,5246,495,963,101,23,39,476,20284,16443,2860,534,283,144,19,0,0,0,0,0,20715,16006,3696,470,353,147,0,316,353,39,0,20572,15730,3726,388,517,147,4,177,492,60,4,14145,7817,6026,14066,8048,6018,13347,6238,6239,13149,5315,7274,10725,5566,4926,9507,7776,0,10461,5650,4556,10527,5022,5271,10461,6228,4002,12411,5977,6035,13361,6589,6462,13148,6530,6149,12636,5742,6657
53,53,32392,28398,1740,421,440,1704,54,0,0,31209,26513,2213,627,550,1575,3,0,0,31781,26479,2269,674,438,2048,75,30995,26387,2149,608,553,1582,2,341,479,1156,0,5,475,31431,26494,2449,742,514,1595,14,24933,22467,976,244,332,1023,40,0,0,23717,21278,878,398,275,901,0,372,233,821,4,0,24925,21443,1405,441,359,1272,53,24925,21443,1405,348,255,856,15,39,564,23679,21268,888,267,287,964,0,0,0,0,0,0,23722,21324,984,255,226,908,0,206,167,795,0,23654,21065,1114,295,251,898,0,206,183,675,0,16737,9284,6979,16257,9050,7207,16246,6812,8431,16111,5953,9467,13699,6553,6863,12207,9507,0,13421,7090,5990,13470,6095,7099,13426,7894,5238,15562,6695,8401,16817,7119,9413,16652,7207,8922,16304,6430,9570
54,54,32601,31156,800,367,177,144,16,0,0,31724,29888,921,418,134,420,29,0,0,31862,29620,999,366,310,397,61,32159,30139,973,498,335,216,53,335,172,81,19,14,412,31856,29561,1075,303,367,612,5,25003,24218,440,197,91,73,9,0,0,24508,23667,428,84,56,238,4,80,42,178,30,0,24530,23139,616,151,195,279,53,24530,23139,616,99,104,33,2,37,500,24822,24053,421,87,96,109,20,0,0,0,0,0,24778,23846,449,81,127,284,4,79,100,125,4,24638,23635,428,191,149,259,0,156,92,80,0,17461,7873,9113,17267,7459,9808,16956,5193,10688,16897,4083,12212,14387,5079,9023,12054,9101,0,14123,5534,8300,14158,4475,9423,14115,6304,7532,16417,5136,10846,17968,5815,11832,17739,5656,11577,17367,5155,11944
55,55,33274,30232,2262,233,441,205,11,0,0,32030,28761,2324,330,496,107,32,0,0,32027,27055,3440,379,544,590,41,31785,28325,2353,435,468,167,40,340,442,27,40,3,250,31866,27950,2602,416,398,257,125,25342,23585,1301,91,283,133,6,0,0,24080,22810,770,163,248,81,30,122,248,51,0,0,24606,21609,2022,193,323,411,33,24606,21609,2022,105,263,47,5,57,498,23803,22475,723,235,299,49,40,0,0,0,0,0,23536,22214,585,226,230,163,80,183,178,29,80,22645,21198,966,214,144,97,0,177,73,16,0,17427,8370,8446,16730,7837,8893,16668,5688,9802,16534,4541,11328,14023,5452,8284,12141,9175,0,13656,5592,7753,13698,4839,8569,13654,6629,6720,15971,5567,9940,17333,6184,10830,17180,6231,10381,16624,5488,10861
56,56,33033,30577,1889,242,193,163,23,0,0,31844,28706,2379,339,319,120,34,0,0,32033,27649,3270,373,237,433,53,31543,28358,2452,271,190,115,11,177,111,44,0,134,268,31955,28104,2729,298,318,194,91,25293,23959,1070,88,94,96,22,0,0,23731,22701,690,169,116,105,0,137,49,50,4,0,24381,21840,1818,190,149,293,39,24381,21840,1818,112,83,41,6,24,457,23646,22514,808,148,94,112,0,0,0,0,0,0,23851,22483,907,165,111,145,40,105,73,16,40,23145,21619,1027,145,126,158,43,79,126,22,43,17016,7725,8754,16503,7113,9390,16285,4538,10893,16144,3703,11799,13256,4259,8705,11145,8346,0,12901,4465,8122,12921,3780,8864,12908,5505,7132,15502,4409,10664,17009,4908,11827,16792,5169,11068,16101,4353,11498
57,57,31482,30493,313,333,246,120,27,0,0,31893,30352,465,576,354,230,39,0,0,31918,30042,572,461,352,346,29,31648,30102,504,554,367,250,40,362,306,58,27,19,273,31649,29658,635,554,474,167,75,24343,23743,172,190,179,69,13,0,0,24488,23670,253,236,208,115,15,159,178,44,10,0,24601,23359,357,289,248,239,19,24601,23359,357,216,181,27,2,26,433,24122,23264,292,287,139,121,10,0,0,0,0,0,24219,23221,379,286,194,113,4,184,180,22,4,24348,23165,421,326,248,116,10,237,201,6,10,16239,8220,7635,16604,8088,8516,16939,6180,9617,16799,5000,11228,14245,5829,8116,12221,8947,0,13954,6563,7060,13973,5274,8414,13891,6692,6878,16431,6087,9878,18319,6950,11013,18155,6916,10763,18389,6470,11617
58,58,33337,32003,621,331,328,82,12,0,0,32404,30470,898,547,348,128,49,0,0,32185,29534,1082,666,432,408,37,32483,30189,987,504,434,118,126,287,307,95,109,13,492,32269,29796,1005,669,385,153,27,25303,24588,308,136,213,55,9,0,0,24790,23753,366,353,269,36,33,349,261,33,4,0,24594,23015,649,315,293,270,14,24594,23015,649,248,253,12,2,18,397,25104,23939,450,306,321,46,48,0,0,0,0,0,24826,23607,478,303,281,124,8,207,237,29,8,24426,23290,416,245,257,186,7,170,209,48,7,17239,9912,6823,17160,9427,7733,17086,6226,9768,16948,5359,10974,13733,5638,7794,12052,9234,0,13409,6400,6671,13414,5212,7925,13438,7108,6014,16053,5943,9665,17407,6282,10864,17295,6641,10097,16640,5448,10955
59,59,32931,30168,1479,807,354,207,30,0,0,31643,28441,1743,1070,282,398,121,0,0,32090,27653,1919,1264,564,469,167,31476,27963,1735,1290,365,407,87,728,251,86,83,40,587,31833,28232,1886,1225,313,294,121,25712,24058,896,383,249,142,18,0,0,24722,22916,929,487,206,142,15,410,181,63,44,0,25480,22585,1236,686,405,359,112,25480,22585,1236,495,335,69,88,55,617,24525,22584,890,546,268,176,15,0,0,0,0,0,24829,22841,1005,598,206,168,4,459,171,64,4,24206,22121,1050,638,261,162,0,483,211,54,0,17901,11256,6281,17018,10383,6635,16537,7602,7834,16287,6332,9181,13632,6943,6421,12124,9585,0,13205,6787,6033,13263,6642,6306,13339,8278,4770,15566,7495,7602,16971,8367,8298,16751,8845,7395,16371,7591,8442
60,60,32660,31613,510,198,250,129,15,0,0,32250,30510,768,380,430,159,16,0,0,31903,29850,799,464,337,347,57,32298,30643,835,351,409,96,19,155,312,52,10,17,278,32128,30137,915,473,473,135,5,25198,24608,294,84,140,85,10,0,0,25175,24091,483,222,243,148,14,164,192,119,4,0,25014,23709,492,249,226,245,26,25014,23709,492,141,159,12,2,44,455,25219,24233,511,218,198,86,14,0,0,0,0,0,24936,23891,562,215,205,105,4,131,189,27,4,24912,23760,663,297,119,103,9,142,106,30,9,18050,9784,7741,17495,8941,8554,17623,6230,10291,17439,5084,11628,14663,5665,8633,12724,9405,0,14210,5567,8180,14321,5303,8674,14327,7155,6821,16849,6087,10273,18651,6778,11558,18519,7424,10548,18220,6313,11625
61,61,32005,27324,1422,2505,553,221,118,0,0,31934,25668,1982,3438,647,332,108,0,0,32126,23704,1987,4575,1211,514,285,32757,25882,2149,4059,674,311,68,3309,507,70,0,7,828,33576,24968,2421,4473,1454,486,406,25013,22310,797,1394,359,141,63,0,0,23579,20872,679,1560,276,161,0,1485,219,118,49,0,24956,19754,1164,2768,806,374,140,24956,19754,1164,2493,720,43,131,49,602,23943,21089,767,1649,280,173,0,0,0,0,0,0,24248,20405,837,2253,572,141,44,2015,440,25,44,23620,19373,1012,2222,722,148,99,1983,630,25,99,15662,9404,6043,15903,9791,6112,14963,7716,6232,14740,6658,7529,12188,6872,5054,10889,8966,0,11970,7342,4351,12046,6567,5242,11937,7461,4222,14126,7531,6168,15431,8562,6581,15294,8441,6430,13995,7205,6581
62,62,33808,21631,2354,9282,394,340,142,0,0,32856,19736,2547,9080,1220,451,255,0,0,32180,18079,2712,9365,1104,733,478,32076,18683,2610,9161,1251,672,288,8050,1057,193,274,29,1187,31068,18472,2321,8742,976,698,243,25100,17468,1363,5897,253,225,78,0,0,23151,16154,870,5543,354,145,64,5353,327,80,46,0,24456,15206,1693,6164,719,542,286,24456,15206,1693,5662,626,75,262,85,847,22483,15247,1025,5601,299,288,72,0,0,0,0,0,22456,15286,1131,5414,299,299,13,5154,247,54,13,22268,15350,1106,4969,478,297,21,4685,424,28,21,14687,10801,3633,14626,11044,3582,12742,8061,3827,12559,7140,4867,9838,6611,3000,9133,7798,0,9719,6949,2504,9754,6521,2986,9674,6978,2442,11753,7554,3833,12907,8412,4222,12782,8333,4004,11291,6787,4303
63,63,33131,31929,563,249,330,93,21,0,0,31924,30502,658,467,250,58,5,0,0,31873,29856,865,307,354,351,36,31667,30229,677,364,319,116,26,216,250,69,4,19,204,31773,30169,661,305,333,269,14,25854,25090,325,151,241,58,11,0,0,25027,24346,271,231,131,64,4,191,131,14,0,0,25120,23777,537,186,251,227,28,25120,23777,537,111,168,36,17,47,427,24758,24098,271,162,163,87,4,0,0,0,0,0,24818,24141,234,119,169,136,4,119,119,40,4,24461,23763,241,106,78,218,0,65,40,75,0,17511,10441,6604,16756,9625,7131,17260,7291,8858,17064,6181,10202,14607,6572,7606,13036,10453,0,14403,8063,6102,14335,6338,7707,14302,8189,5830,16609,6988,9115,18406,7797,10319,18242,7999,9699,18212,7302,10583
64,64,33330,31749,1067,240,127,128,66,0,0,32297,30249,1264,445,176,138,44,0,0,31920,29305,1576,436,168,407,38,32071,29948,1312,433,190,237,0,302,136,161,0,0,216,32027,29673,1433,508,205,291,2,25556,24648,590,130,74,90,48,0,0,24569,23881,378,98,101,113,0,94,98,61,4,0,24739,23188,874,223,121,292,31,24739,23188,874,171,74,37,11,31,353,24467,23682,413,93,96,161,0,0,0,0,0,0,24302,23456,359,226,120,129,0,163,96,46,0,23917,23054,409,253,97,98,0,205,58,5,0,16626,9383,6809,16319,8577,7742,16524,5785,9730,16304,4979,10670,14026,5257,8138,12020,8967,0,13708,6449,6939,13721,4910,8480,13698,6746,6587,15931,5554,9831,17539,6059,11215,17373,6182,10678,17212,5496,11473
65,65,28232,27398,306,240,246,51,14,0,0,31066,29729,630,382,305,133,41,0,0,31763,29845,615,525,408,224,42,30940,29096,915,578,315,146,29,462,208,1,16,0,249,31707,29878,829,581,324,116,35,20341,19884,172,102,162,28,8,0,0,22631,22013,211,165,165,63,8,151,146,0,19,0,23516,22365,361,257,283,151,26,23516,22365,361,200,244,18,17,36,275,22388,21503,391,230,178,88,14,0,0,0,0,0,22768,21954,336,257,131,80,8,244,122,4,8,23000,22142,457,227,75,40,39,180,75,0,39,15141,8051,6815,16002,8005,7997,16796,6288,9513,16424,5114,10776,14895,6030,8551,12514,9463,0,14245,7226,6720,14361,5553,8528,14305,7335,6672,16692,6330,9939,18935,7299,11360,18679,7378,10852,19312,7041,11988
66,66,32163,31031,363,492,140,151,7,0,0,31641,30059,580,558,282,267,5,0,0,31980,29897,609,699,166,404,45,31857,30080,586,618,275,297,12,463,236,31,0,0,460,32342,30162,730,786,279,366,31,24860,24050,248,395,80,89,6,0,0,24782,23754,401,404,123,121,0,385,115,20,4,0,25117,23702,407,467,108,291,30,25117,23702,407,399,59,57,0,52,441,24914,23867,384,423,119,120,0,0,0,0,0,0,25383,24103,464,493,169,159,0,450,143,60,0,25300,24104,340,590,126,127,4,541,124,26,4,16145,9047,6679,16418,8969,7449,16497,6010,9482,16248,5022,10583,13864,5655,7854,11841,9226,0,13456,6563,6567,13513,5056,8108,13436,6661,6453,16015,5913,9626,17967,6513,11163,17720,6714,10412,17746,5969,11462
67,67,31642,30837,334,216,164,110,18,0,0,31417,30219,653,297,133,136,28,0,0,31722,30170,526,325,195,357,33,31695,30241,769,281,203,109,43,91,137,26,2,58,374,32112,30457,751,500,169,118,35,23683,23275,176,72,96,61,9,0,0,23527,22970,290,94,80,88,0,52,65,78,15,0,24064,23114,322,145,147,224,17,24064,23114,322,120,72,26,4,27,379,23726,23096,334,107,151,46,0,0,0,0,0,0,24083,23413,364,99,172,80,1,25,54,20,1,24309,23537,354,60,97,259,1,24,14,16,1,16501,8939,7116,16811,8910,7901,16647,5880,9578,16505,4768,11039,13977,5583,8001,12006,9339,0,13648,6601,6728,13763,4886,8554,13599,6903,6346,16158,5757,9888,18020,6361,11329,17899,6502,10897,18143,5928,11887
68,68,33698,32387,541,414,180,166,40,0,0,32329,30660,547,818,171,198,45,0,0,31747,29691,720,518,219,496,30,32155,30313,536,749,251,292,3,383,91,23,3,2,799,31692,29552,725,451,258,364,49,25353,24557,325,240,112,108,21,0,0,24644,23730,318,428,40,112,0,386,7,58,10,0,24219,22925,437,285,140,324,18,24219,22925,437,194,78,35,3,27,520,24308,23562,274,248,61,138,6,0,0,0,0,0,24218,23356,344,129,116,274,15,104,20,126,15,23709,22753,354,176,183,257,7,140,142,76,7,16298,9251,6596,16256,9172,7084,15948,6064,8855,15871,5094,10089,13034,5579,7077,11452,9116,0,12790,6515,5962,12837,5013,7507,12750,6848,5580,15194,5827,8870,16496,6219,9974,16352,6364,9445,16021,5438,10307
