ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
48,48,224979,171065,4511,44122,4330,1744,206,0,0,218601,161433,5817,44354,5766,2758,336,0,0,217156,150461,6555,49567,6118,4386,266,217535,159774,5991,44401,5760,2488,627,38516,4389,299,171,424,7971,217221,157170,6359,46195,5873,1916,577,172930,138575,2860,27530,3138,1253,152,0,0,166822,132131,2956,27775,2213,1588,56,26012,1875,242,385,0,169863,125219,4305,32225,4436,3277,160,169863,125219,4305,29416,3772,339,49,534,6229,167024,131320,3224,28253,2413,1409,244,0,0,0,0,0,167027,130208,3326,29500,2671,989,140,26802,2333,138,140,164188,126405,4063,29248,2678,1351,108,26426,2181,118,108,106065,58535,45622,97949,50565,47384,100866,46637,46884,99607,45427,48292,85921,40497,36402,86183,39285,44615,96842,46445,45540,105427,53717,49376,104882,53414,47728,77370,43686,32330,90107,45383,41646,77324,40210,35074,77363,40163,35038,77006,38620,36477,77326,38309,37422,77052,40722,34478,76756,39386,37354,89805,45847,41605,98303,49586,46149,91470,41446,49006
49,49,201010,128261,37346,21877,13914,1434,211,0,0,211450,124552,43278,27462,16998,1729,171,0,0,217224,119976,46846,29290,19246,4491,243,210486,122922,42604,27320,18223,1842,335,23321,15274,70,77,320,5905,216757,122777,45196,29634,19476,2491,202,136682,92268,21854,13528,8933,865,125,0,0,142472,93248,22029,17512,8968,547,36,16843,8288,74,258,0,160197,93794,30943,20025,13487,3074,168,160197,93794,30943,18282,12303,159,17,461,4238,145074,93144,23380,17671,10178,522,73,0,0,0,0,0,150547,94837,24736,18818,11271,595,8,17726,10315,95,8,152061,93152,26559,19403,12031,549,11,18161,11371,58,11,78962,46843,31163,73970,41229,32741,89024,47787,35333,87703,47772,34282,71777,39581,27582,72099,40041,30128,87971,48785,34845,104319,60173,42278,103281,57455,39488,66979,38352,27452,82883,46156,33747,67407,38116,28190,67302,36596,28579,67138,36879,28794,67125,37158,28568,66612,35467,29562,67218,38212,29006,85147,47302,35354,102047,54537,44799,100181,57867,42097
50,50,229992,212843,5343,9273,1422,1356,138,0,0,221525,202304,6042,10517,1874,1331,153,0,0,217289,192691,6814,10436,2103,4323,319,219986,200549,6010,10358,1769,1165,335,8097,1068,342,233,131,3561,216525,195940,6868,9969,1939,1383,347,178457,166777,3410,6446,953,1018,79,0,0,172504,160770,2941,6719,1081,961,18,6348,714,397,132,0,171084,154142,4454,7022,1419,3201,208,171084,154142,4454,5866,989,293,72,315,4953,171672,159880,3010,6769,1012,875,107,0,0,0,0,0,169313,157047,3556,6553,1059,1024,131,5876,706,147,131,167168,154132,3756,6365,1210,1560,120,5566,857,123,120,106683,46771,57310,98985,36789,62196,106257,27761,72794,104474,40313,59103,84979,23622,44505,83670,23262,57839,99202,29489,64699,112806,30597,79919,111197,33899,74336,84348,24960,57791,96422,25954,68007,84484,24348,58465,85119,20617,62513,84155,20422,61635,84400,20661,61952,84051,22243,59981,84278,22120,62156,97410,26365,69038,109101,28842,78139,92695,3904,87496
51,51,232043,217306,5324,6559,1759,1385,123,0,0,225469,208327,6792,7072,2280,1579,449,0,0,217169,195652,7162,6907,2435,4139,244,223611,206592,6355,7131,2239,1625,347,5741,1343,267,75,90,3155,217973,199583,6738,6940,2350,2032,293,179752,169081,3481,5065,1230,1052,86,0,0,174422,163301,3843,5000,1069,935,82,4602,860,374,298,0,168687,153408,4808,4912,1685,3013,165,168687,153408,4808,4081,1225,274,53,427,4411,172976,161920,3518,5222,1145,1193,68,0,0,0,0,0,168592,157525,3681,4683,1244,1391,12,4202,887,139,12,165180,153052,4423,4077,1303,2055,23,3414,976,140,23,105310,45113,57314,96863,33454,63409,102414,26076,69805,100740,29133,65823,80737,23010,49094,80692,20298,58148,96091,26237,65543,109309,29864,77291,108095,31923,72756,82862,24617,56683,93504,25012,65888,82833,23576,57646,83656,20788,60638,82911,20806,60100,83087,21055,60199,82871,24706,56464,82466,21853,60612,95081,25796,67167,105787,28362,75103,94284,10905,81310
52,52,217907,146699,12540,38169,20163,1759,375,0,0,222680,141132,14164,41657,24760,1434,261,0,0,217165,124449,18320,44325,27189,3955,309,222944,140057,14691,42100,25597,1426,226,38031,23027,256,29,351,6488,217320,133761,15220,41880,25183,1895,215,175752,124408,8747,24861,17184,1272,301,0,0,163918,118834,7594,26874,9461,866,110,25780,8649,319,267,0,176427,107051,13123,29722,23771,2971,225,176427,107051,13123,26817,21994,279,41,685,6437,164905,118634,8218,26937,9941,884,30,0,0,0,0,0,160510,113931,8499,26804,10273,1115,30,24862,9324,101,30,160938,111864,9733,27376,11022,1012,0,25515,9895,146,0,87621,53225,32312,77411,44511,32900,91778,52283,32016,89840,48412,36056,76408,44291,26549,77097,41895,33423,86597,50099,32175,93116,57605,33053,92681,56175,32189,63933,40467,22215,77914,47265,27724,64230,40247,22826,64388,39466,23076,64020,38498,24097,64126,38458,24334,64163,42227,20760,64180,39655,24439,77331,47614,27552,87334,53972,30590,85280,53570,31247
53,53,223564,205474,9483,5052,2643,1216,118,0,0,218098,196433,10816,5921,4255,950,248,0,0,217052,190842,12058,5477,3552,4179,231,216590,193859,11491,6264,4230,930,191,4186,3285,138,0,202,3463,217109,192069,13068,6119,4213,1033,154,168401,157221,5513,3310,1619,835,73,0,0,164072,152982,5298,3325,1673,693,4,2890,1281,156,197,0,166200,149472,7300,3306,2304,3004,152,166200,149472,7300,2518,1784,209,23,387,4507,162617,151166,5752,3361,1400,672,0,0,0,0,0,0,163617,151017,6939,3165,1726,628,14,2691,1260,109,14,162279,149009,7569,3384,1371,655,20,2759,969,67,20,102168,42900,56621,94211,34208,60003,101804,29715,64480,100609,31160,62965,81793,24708,49279,81810,24311,55296,97466,30022,62653,112133,35795,73934,110696,36485,69643,84474,28260,54527,95433,29858,62528,84758,28253,54864,85241,25880,56844,84413,25104,57355,84884,23019,60104,84244,26426,55851,84232,23981,60248,97624,30962,64276,110490,34673,73410,96272,9122,86086
54,54,223013,214917,2752,2887,1321,1168,140,0,0,217326,206888,3343,4041,1561,1887,88,0,0,217148,201692,4244,3885,1924,4073,199,215370,204728,3258,4161,1654,1489,137,3032,927,348,110,195,2785,216114,203805,3404,4936,1975,1291,97,170925,165566,1720,1918,848,886,79,0,0,168012,161822,1667,2739,636,1089,48,2402,446,370,63,0,169713,159018,2852,2506,1246,2976,126,169713,159018,2852,1893,913,310,23,275,4429,166939,160642,1747,2659,806,860,96,0,0,0,0,0,167226,160605,1902,2661,980,991,4,2269,710,145,4,166463,158555,2380,3056,1060,1267,29,2533,778,112,29,107333,46350,58086,99152,35617,63535,108297,27652,73921,106571,34152,66358,90178,25851,49431,89734,24635,62422,103003,29422,68450,115830,31776,81841,114410,34425,76756,90481,30326,58522,100594,28068,69701,90328,27325,60924,91117,24662,63913,90255,24480,63204,90564,25154,63488,90238,27526,60848,89894,25413,64469,101971,28627,71043,112718,29974,80318,100406,12787,86380
55,55,219782,205646,4044,7266,1678,1353,160,0,0,215313,199143,4897,7932,2232,1353,335,0,0,217112,195248,5730,7857,2585,4445,270,214689,198025,4813,7795,2361,1388,384,5573,1513,488,54,304,3925,217151,198878,5108,7393,2499,2568,372,168843,158853,2697,5287,1104,1012,101,0,0,165874,155411,2666,5607,1105,983,23,5209,929,463,116,0,169012,153321,3937,5534,1764,3311,166,169012,153321,3937,4786,1179,401,32,366,4990,165864,155445,2702,5144,1269,1135,37,0,0,0,0,0,167170,156349,2745,5054,1321,1734,84,4584,920,375,84,165942,154128,3018,4771,1154,2811,41,4207,801,339,41,104066,45041,56288,95908,34099,61809,105181,25119,73840,103067,38567,59664,83962,25281,50714,83025,23058,57464,99214,28422,66831,113657,29118,82270,112194,32231,77002,87483,23906,61738,98178,24869,70683,87715,24335,61673,88423,20169,66016,87514,20072,65026,87523,20283,65126,87152,20771,64369,87336,20881,66455,100133,25777,72169,113053,28678,81967,103612,13509,89072
56,56,219187,182886,7645,24123,3401,1759,250,0,0,216253,173729,8936,28788,4070,1614,221,0,0,217244,162955,11813,31642,4673,5521,334,215634,171098,9709,29009,4540,1658,187,24502,3054,273,9,237,6758,217603,168611,10499,31697,4257,3201,75,170051,146128,4825,15755,2391,1272,146,0,0,165413,139541,4200,18601,1862,1093,28,17592,1565,406,207,0,171263,133207,7741,22023,3339,4173,225,171263,133207,7741,20071,2417,392,70,518,6847,165084,138572,4896,18247,2183,988,8,0,0,0,0,0,168532,138542,5781,20473,2145,1534,8,18587,1571,170,8,167956,136216,6655,19251,2198,3359,37,17479,1524,256,37,100234,56907,41374,92087,49217,42870,100686,43550,50112,98841,53402,40086,79944,39947,33549,80012,38161,39188,94725,45905,44355,105607,50017,53065,104443,50590,50124,73136,37125,34346,88188,41490,43642,73371,37261,34676,73374,34099,36953,73016,33515,37316,73082,33799,36958,72799,33859,36922,73119,37331,35777,88508,42350,43793,101761,48566,50586,98826,48545,49861
57,57,234006,139241,6996,83259,3943,1733,451,0,0,225409,133100,8608,78617,4648,1931,200,0,0,216858,121110,9311,77362,4990,4611,507,225074,132185,8597,79143,4408,1642,204,74323,2553,319,40,1023,6015,216988,125644,8820,74377,5101,4310,214,173854,110093,4372,56129,2662,1208,282,0,0,169596,106736,4494,54850,2215,952,20,53895,1602,397,495,0,165695,98298,5854,54712,3456,3334,334,165695,98298,5854,52102,2223,341,119,571,6187,169883,106191,4367,55919,2116,997,14,0,0,0,0,0,164356,102056,4634,52697,2364,2556,10,50950,1626,583,10,162405,100021,5137,51563,2500,3306,29,49081,1644,362,29,110090,68727,39671,101913,60918,40995,103603,54048,43607,102310,60522,37272,82989,45883,32757,82519,44293,36111,97128,53516,39987,106946,58912,45880,105920,57496,44775,73155,39079,32287,89060,47787,38585,73520,40598,31428,73579,38561,32855,73137,37546,33621,73117,37866,33266,72838,37739,33128,73338,39526,33761,88414,47767,38488,98845,53410,42916,97600,53525,44071
58,58,226497,208733,4064,11231,1311,1466,141,0,0,221649,201537,5096,11932,2371,1038,161,0,0,217166,193610,5006,10977,2058,4340,277,220475,199607,5290,11983,2402,1248,132,10026,1701,221,60,151,3424,217047,195360,5808,10593,2209,2498,153,176486,163523,2792,8375,880,1094,90,0,0,172107,158467,2887,8934,1091,778,32,8607,881,228,98,0,170093,153241,3308,7779,1455,3247,177,170093,153241,3308,6984,1055,330,32,267,4876,171376,157170,3142,8880,1222,941,59,0,0,0,0,0,168439,155255,3237,7400,986,1521,50,6807,802,157,50,166955,153304,3093,7531,1059,1714,48,6590,792,126,48,109533,47898,58647,100054,36374,63680,107938,26032,76366,105371,41804,58806,87362,28510,50197,86412,25082,57933,100639,29916,66732,111830,28195,81750,109969,32246,75135,84728,23978,59324,96498,24599,69650,84928,24200,59253,85570,19263,64211,84481,19530,62999,84699,19774,63127,84224,20332,62007,85024,19432,65571,97147,24976,70345,107921,26363,79557,106120,23904,82216
59,59,232077,200890,5863,20175,3469,2321,199,0,0,223290,190599,6479,20643,4050,1975,450,0,0,217036,180382,7037,18894,4299,5455,271,221177,188735,6539,20042,3991,2184,648,16929,2924,435,83,287,5239,216592,184216,6397,18577,3990,3360,574,183631,161217,3882,14494,2625,1791,129,0,0,174790,153471,3642,14628,1610,1351,68,13881,1137,404,144,0,172372,145601,4874,13402,3335,4202,179,172372,145601,4874,11945,2685,527,48,400,6292,173520,152057,3840,14284,1680,1403,60,0,0,0,0,0,170156,149147,3733,13157,1682,2145,43,12350,1347,327,43,168023,146471,3850,13447,1886,2000,18,12411,1403,166,18,107603,49858,54855,98242,40790,57452,104965,31715,67448,102250,47147,49972,86514,33353,43523,85786,29963,53259,96970,35130,57767,104704,33238,69644,102909,37029,63000,77829,27883,48657,90265,28779,59218,78050,26996,49775,78601,22548,54145,77504,22917,52779,77691,22955,53030,77248,23693,51832,78188,22677,55491,90217,29045,59424,101451,31938,67711,99571,29813,69758
