ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
17,17,80657,62526,3517,12127,1774,884,166,0,0,90003,67322,3623,15381,2596,985,226,0,0,88291,61124,5146,16521,2465,2870,131,90745,67553,3437,16269,2348,845,230,14599,1618,188,158,504,2688,90114,65484,3953,16709,2768,1220,300,62320,49784,2311,8241,1386,675,148,0,0,68228,54293,1651,10356,1072,742,50,9998,868,185,86,0,69613,50216,3452,11705,1821,2167,93,69613,50216,3452,10375,1389,271,34,244,3632,68638,54564,1390,10953,843,758,35,0,0,0,0,0,69181,53872,1929,10941,1187,891,15,10165,902,161,15,71193,53834,2937,11977,1161,926,54,11181,833,159,54,30472,12093,17776,30008,11651,18357,34764,13343,18693,34279,14149,18566,28841,10564,17472,28726,11779,16059,28732,10734,17129,34062,13815,19082,39325,16894,21216,38564,16191,22373
18,18,87119,78626,3066,3720,637,1187,82,0,0,88428,78539,3708,4540,824,1081,31,0,0,86919,73625,3808,4841,1032,2999,115,89157,78971,3856,4574,831,1053,21,3486,633,365,0,47,1804,87352,75675,4104,4819,926,1199,171,66481,61073,1805,2311,448,877,54,0,0,66290,61229,1398,2579,247,797,0,2459,179,393,29,0,66943,57846,2280,3224,723,2298,82,66943,57846,2280,2812,509,316,24,152,3004,67024,61817,1455,2720,232,760,0,0,0,0,0,0,66164,60389,1604,2820,507,866,0,2481,417,81,0,66924,60619,1999,2922,446,867,15,2474,294,74,15,31102,7702,22362,30011,6713,23298,32678,5928,24798,32397,8472,22636,25771,4378,20696,25797,4962,20111,25792,4343,20822,31210,6089,24280,35841,6696,28273,35670,6618,29052
19,19,91168,68103,2960,19104,453,656,40,0,0,89222,66465,3129,17145,376,2389,35,0,0,87870,63262,3488,18553,606,1828,73,88259,65716,3109,17061,379,1919,36,15907,247,39,34,48,3160,86992,63868,3275,17082,493,1795,47,66837,52225,1696,12167,311,484,31,0,0,66304,51866,1305,11583,227,1314,35,11443,187,51,57,0,65848,49276,2032,12532,406,1410,36,65848,49276,2032,11977,304,179,5,100,1975,65376,51235,1212,11398,209,1279,35,0,0,0,0,0,64292,50144,1384,11308,249,1184,34,11029,164,72,34,62248,48150,1382,11332,224,1139,18,10845,166,69,18,28670,11563,16044,26430,10638,15792,28910,9268,18399,27776,8907,17830,22426,6051,15439,22365,7089,14718,22316,6456,15172,26122,7602,17844,28592,7757,19966,27731,6992,20739
20,20,75501,57846,3529,12458,1234,691,79,0,0,83414,59778,4753,16356,1608,1122,12,0,0,86347,57288,5816,19195,1996,2019,121,85282,59489,5055,17700,1673,835,12,15963,1409,194,6,365,2801,86796,59093,5531,18689,1719,975,22,56791,45740,2098,7617,940,501,53,0,0,59491,47089,1340,9990,526,619,0,9630,477,133,19,0,64949,46141,3705,11896,1540,1543,77,64949,46141,3705,11201,1314,175,35,130,2248,61245,47759,1314,10966,658,617,0,0,0,0,0,0,62703,47877,1744,11742,635,546,0,11162,435,242,0,64828,48392,2424,12637,675,534,8,11632,539,162,8,24140,9041,14497,24379,8512,15867,27307,8755,16843,26814,8314,17375,20032,6183,12838,19991,6999,12470,19980,6501,12839,25393,8342,16232,29535,10109,18599,29059,9780,19279
21,21,83709,80242,1475,813,287,915,54,0,0,84485,79156,2123,1792,353,1033,162,0,0,86220,77249,2516,1891,546,2466,959,84957,78456,2188,1924,423,1110,239,1458,236,252,132,46,2189,86405,78728,2149,2406,538,1275,477,63665,61474,833,451,183,736,33,0,0,64051,61204,1013,972,104,719,16,873,56,221,14,0,65761,59927,1493,1040,343,1914,536,65761,59927,1493,774,206,253,496,98,2514,64556,61528,1028,1034,130,803,20,0,0,0,0,0,65616,62094,1153,1275,200,925,29,960,56,169,29,65852,61849,1429,1093,231,1052,159,842,133,131,159,27510,9967,16243,25899,8520,17379,28584,6294,20649,27695,7217,19002,22855,4384,17354,22795,5371,16756,22746,5020,17015,26909,5710,20373,30647,5782,24023,30125,5616,24509
22,22,85825,80041,2950,1185,547,1241,87,0,0,85760,78869,3217,1543,740,1500,46,0,0,85266,75005,4273,1789,798,2962,141,85291,77419,3333,1685,663,1898,40,1006,387,434,27,51,2630,84954,75717,3597,1634,522,2315,165,66807,63129,1760,674,346,933,55,0,0,66156,62448,1286,794,338,1184,27,665,263,313,76,0,66672,59869,2488,1034,561,2265,77,66672,59869,2488,744,419,326,45,100,2681,65717,61814,1332,935,292,1338,32,0,0,0,0,0,65409,61253,1306,1032,346,1287,108,830,300,217,108,65728,61397,1684,989,325,1082,81,819,234,170,81,33197,10299,21465,30852,8452,22400,33796,6853,25129,32865,8445,23082,26169,4781,20366,26151,5322,20183,26142,5001,20489,31399,6214,24303,35722,6533,28101,35120,6233,28887
23,23,85323,81749,1301,483,419,1471,70,0,0,85294,80501,2098,833,499,1409,69,0,0,85228,77846,1909,762,662,3399,109,85836,80061,1963,917,371,1668,46,417,281,437,18,91,2558,86523,79376,2061,994,540,2136,124,68954,66474,799,321,292,1108,42,0,0,68780,65764,1145,437,384,986,10,372,306,325,56,0,69284,63881,1237,488,465,2617,74,69284,63881,1237,342,307,416,13,120,2968,69524,66165,1207,622,313,1169,11,0,0,0,0,0,69694,65880,1329,687,320,1414,58,529,249,327,58,70015,65887,1493,661,375,1569,29,504,323,327,29,38737,12818,24431,35562,9990,25572,37600,7655,28158,36563,7783,26987,27845,5654,21053,27782,6241,20631,27740,6134,20657,34524,7020,26523,39947,8089,30865,38953,7595,31358
24,24,84668,79348,1956,1406,373,1685,60,0,0,86657,79662,2672,2313,346,1740,97,0,0,87083,77100,2971,2019,616,3840,93,87225,79487,2945,2119,453,1760,60,1449,230,665,57,17,2379,87550,78941,2969,2251,531,1647,140,64350,60939,1150,825,240,1228,41,0,0,65927,62009,1190,1246,198,1283,35,1101,175,482,4,0,66851,60091,1772,1238,398,2862,51,66851,60091,1772,1008,220,455,18,128,3159,66130,62106,1340,1124,275,1325,25,0,0,0,0,0,66512,62365,1322,1261,287,1204,15,1165,146,410,15,67214,62897,1270,1347,355,1227,15,1202,122,376,15,34188,9848,23110,31849,7796,24053,37227,7017,28126,36463,9449,25238,30431,5612,23680,30393,6355,23074,30369,5678,23814,36137,7286,27782,42054,7873,33176,41420,8133,33287
25,25,87042,73249,6632,4862,960,1584,66,0,0,88331,72609,8120,5390,1132,1443,82,0,0,87991,67998,9060,5632,1233,3889,131,89008,72884,8395,5394,1187,1603,76,3864,813,374,0,70,2612,88371,71151,8827,5461,1201,2302,174,66466,57427,3966,3285,699,1194,39,0,0,64990,57296,2614,3692,356,943,0,3554,280,287,65,0,67764,54006,5773,3903,854,2947,91,67764,54006,5773,3414,615,489,33,134,3300,65805,57395,3132,3583,405,1097,0,0,0,0,0,0,65616,56373,3615,3674,633,1147,34,3433,412,237,34,66316,56272,4418,3615,644,1168,52,3218,345,197,52,30596,9265,20380,27952,8333,19619,31171,7933,21464,30637,9141,20093,25003,5913,18137,24982,6785,17480,24950,6010,18229,29647,7762,20992,33789,8632,24166,33360,8584,24776
26,26,87029,77198,4877,1435,1558,2115,97,0,0,87267,76457,5279,1648,1913,1972,92,0,0,85205,69633,6057,2039,2597,4542,169,88047,76713,5556,1720,2060,1717,117,1015,1672,561,50,87,2399,86445,72744,6520,1991,2358,2241,186,65395,59201,2908,856,1019,1479,55,0,0,64442,59183,1841,1018,1032,1380,4,967,896,391,64,0,64590,54278,3751,1174,1737,3231,104,64590,54278,3751,838,1530,786,45,131,3231,65150,59719,1955,914,1213,1299,4,0,0,0,0,0,64274,57830,2749,1041,1032,1480,20,902,850,168,20,64760,57484,3152,995,1201,1752,27,799,1020,241,27,30781,8880,20909,27844,7408,20436,33512,7409,24135,33200,8944,22938,25299,4773,19717,25252,5847,18658,25241,5312,19178,31067,6976,23187,35141,7434,26759,34906,7929,26977
