ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_undefined_Total,E_24_undefined_Dem,E_24_undefined_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
34,34,137542,86712,16721,12992,18594,3916,1998,0,0,152522,94299,19809,15135,21038,3690,2671,0,0,156743,91928,20889,15849,23390,5430,2004,157234,92106,20903,16016,23418,5452,2022,155680,94465,21173,16619,22186,4729,1794,12000,16530,752,948,9131,154990,95180,19446,16142,22166,4813,1166,110097,74415,11081,8553,13766,2813,1211,0,0,111166,79415,8233,7942,12100,2285,723,6569,10413,848,723,784,0,127978,79598,15039,10846,18324,4184,1364,127978,79598,15039,8584,15207,927,782,7124,113418,80043,8882,8141,12825,2344,504,0,0,0,0,114215,80602,8625,9031,12818,2369,460,7329,10989,613,460,116697,78013,10803,9820,14763,2025,550,8317,12666,525,550,67737,53186,13387,70072,56595,13477,76955,61891,10566,76636,62929,13707,76491,59138,17353,71427,60270,0,71250,52937,18313,73247,58306,14941,73651,51209,22442,60807,0,60807,74460,61871,12589,83100,68487,13665,91933,76748,12983,90927,75251,15433,88931,72164,16679,87519,71985,15451,83482,79217,0,88750,59855,28793,87765,67313,20361,82061,67951,13139,70642,59834,10665,68734,50666,637,69755,57973,11526,84061,65034,18908,84324,70218,13314,87716,72785,11723,85958,72380,13303,86514,70743,15576,84508,68863,15571,83784,70371,13346,84898,69928,14860,84688,72114,12493,84168,70025,14080,84056,68566,15248
35,35,146461,122558,9502,3209,5856,5794,1376,0,0,155908,126393,13028,4172,6950,5797,1599,0,0,158942,121379,14627,4552,8104,9253,2094,157268,120486,14582,4242,8064,9177,2055,157186,124616,13294,5086,7979,5986,1732,2113,4841,1809,836,9046,159571,123327,15112,5354,8364,6552,2060,114287,98816,5649,1950,3941,3911,847,0,0,120370,103840,5635,2298,3750,3676,560,1711,2873,1503,560,626,0,126753,100962,9166,2921,5632,6588,1388,126753,100962,9166,1809,3524,2189,638,7691,119739,102836,5722,2222,4072,3750,694,0,0,0,0,121419,102992,6454,2611,4617,3496,512,1845,3174,1288,512,123933,102909,8076,2875,5203,3558,378,1849,3135,1128,378,74361,38781,33949,72625,37986,34639,73993,32337,34943,75190,38556,36634,75255,34511,40744,69343,42967,0,71111,32588,38523,72753,33127,39626,73370,25556,47814,63743,0,63743,71969,34860,37109,83981,39676,42732,95656,45610,46547,95216,43540,51361,92884,42971,49797,91630,44585,46930,85736,63834,0,92969,32289,60529,91861,40793,50952,83949,39186,43164,75386,35917,39273,73138,30185,3025,74902,37423,37384,90149,40073,49883,89702,42924,45718,93702,45392,44779,91348,45822,45229,92788,42234,50284,90631,42477,48064,90140,44454,45603,91371,43618,47658,90733,45647,44991,90251,43679,46492,90911,42878,47878
36,36,128462,105878,6287,3919,10750,2229,658,0,0,156732,119539,8690,4878,21862,2824,771,0,0,157171,111948,10625,5657,24562,3452,999,157250,111995,10628,5674,24565,3459,999,160145,117680,9495,5803,25026,2987,649,3153,18591,592,172,9907,156656,111594,10578,5301,25547,3445,568,109744,91819,4939,2928,8553,1798,491,0,0,121202,98848,5571,3181,11115,1393,148,2409,8759,546,148,982,0,133538,96718,8481,4343,20150,2768,706,133538,96718,8481,2825,16523,497,219,7503,123119,98833,6248,3848,12071,1319,129,0,0,0,0,119991,94537,7098,3501,12422,1705,94,2387,10006,288,94,121638,94111,7926,3695,13142,1930,192,2566,10284,230,192,80404,67552,11672,82669,70162,12507,90622,77823,7913,90131,77028,13103,89641,72711,16930,83655,73289,0,82900,64058,18842,85534,72284,13250,85977,62754,23223,70467,0,70467,87242,76563,10679,95154,83133,10939,102761,91634,8645,101718,89878,11579,99540,85726,13735,98001,85754,12194,94528,91634,0,99335,71173,28077,98318,78509,19760,93526,82312,10112,80363,72147,8065,78191,60501,407,79056,69560,9110,94666,76428,18143,95153,84203,10081,98909,87708,7719,97320,86481,10590,97653,84900,12539,95077,82235,12770,94239,84030,10149,95861,83987,11781,95280,86021,9182,94662,83420,11197,95092,82231,12553
37,37,136325,45918,11178,35054,44020,3281,1653,0,0,157781,58837,13167,38040,47335,3984,1358,0,0,156777,57565,14625,33839,48719,4132,1652,157247,57671,14634,34091,48751,4147,1671,159127,61467,14375,35845,47037,4080,1307,29851,40419,828,746,10426,158314,62894,14219,34895,45889,4266,1591,108558,40209,7816,24646,35031,2356,1108,0,0,112871,50512,6409,22004,30508,1967,433,20000,28186,796,433,1513,0,129010,50803,10940,24459,40562,3257,1238,129010,50803,10940,21177,36599,578,550,7727,115236,52572,7072,21310,30976,1804,429,0,0,0,0,115211,53833,7418,20878,29811,1586,560,18782,27365,477,560,119778,55878,7788,21011,31795,1677,525,18292,28917,424,525,57613,49709,7094,61231,54633,6598,67209,58960,5077,66401,59893,6508,66239,57702,8537,62805,56356,0,62004,52578,9426,63680,56346,7334,63949,51803,12146,50540,0,50540,65000,58642,6358,74577,66186,7695,84610,74036,8779,83547,74087,9255,81702,71553,10069,80663,71042,9573,77864,75717,0,81418,61997,19326,80885,67766,13072,73653,65314,7625,60731,54661,5948,58958,46840,458,59997,54145,5675,75058,62393,12548,75291,65769,8713,78553,66225,8620,76419,67763,8302,77174,66927,10058,75552,65033,10425,74822,65905,8828,75687,65829,9715,75696,67271,8316,75191,65464,9646,7362,6764,578
38,38,144125,102813,17340,6441,11733,7193,1611,0,0,153264,104286,20866,8684,13786,6657,2807,0,0,156597,96383,24691,9578,16358,9711,2691,157215,96814,24708,9645,16365,9739,2700,155218,102164,22464,9242,15308,7210,2609,5887,11911,2658,1567,7998,155481,97220,25000,10980,16941,7702,1985,109467,82774,10309,3943,8163,4656,947,0,0,109769,84568,8383,4067,7602,3638,735,3230,6667,1866,735,970,0,122634,80647,15952,6332,12210,6832,1716,122634,80647,15952,4572,9842,2906,1105,7028,111666,84561,9149,4153,8326,3989,535,0,0,0,0,111968,82671,10231,4495,9300,4003,456,3800,7992,1965,456,112778,80698,10961,5605,10293,4035,297,4624,8664,1883,297,56787,34127,21276,55177,34035,21142,58007,30964,21861,59272,35109,24163,59111,31950,27161,55594,36483,0,56211,30314,25897,57473,31735,25738,57570,26916,30654,51168,0,51168,52959,31184,21775,65313,37395,26662,75087,43931,28228,74628,41952,32390,72969,41215,31667,71973,42012,29878,68459,53793,0,72841,35120,37629,72231,40154,32007,64174,36645,26243,52272,30630,21460,51219,26574,1934,51925,30718,21094,66779,36673,29995,67068,38930,27276,70838,40835,27269,68583,41138,27241,69311,38961,30145,67339,38084,29189,66972,39385,27524,67767,38180,29499,67560,40985,26508,67138,38953,28126,68172,41633,26314
39,39,131688,111834,9625,2233,4693,3880,868,0,0,145799,119641,13112,3131,6489,4514,944,0,0,157080,120434,15646,4214,8872,6808,1505,157306,120609,15651,4223,8872,6817,1506,147417,119589,13134,3548,7036,4241,1402,1465,4097,1570,413,6662,153862,119535,15902,4553,8848,3863,1220,97980,86149,5393,1110,2932,2491,474,0,0,107882,94206,5728,1518,3387,2392,168,1043,2785,924,168,555,0,119257,95208,9633,2386,5943,4715,891,119257,95208,9633,1368,4165,1238,389,6612,109450,94825,6510,1652,3421,2188,307,0,0,0,0,113203,96057,8427,2000,3700,2076,355,1454,2841,725,355,116321,96295,9239,2099,5315,2293,337,1488,4029,688,337,60617,31634,27487,59665,30910,28755,64824,26696,32048,66281,31817,34464,66077,28383,37694,61050,34749,0,62621,26706,35915,64046,27920,36126,64244,23136,41108,57565,0,57565,62075,28262,33813,75601,33340,40791,88140,39667,45017,87806,36724,50748,85275,36559,48622,84044,37756,46216,78203,52775,0,85256,30800,54341,84418,36040,48298,75442,32821,41131,65789,28992,36599,64179,26194,3520,65448,30019,35291,82648,33992,48494,82061,36305,44717,87282,38600,45236,83277,38702,44369,85738,35926,49602,83224,35805,47353,82664,37011,45593,83745,35333,48338,83565,39433,44062,82839,36795,45978,84429,39803,44456
40,40,142537,114713,17079,2348,6066,3162,637,0,0,156644,122471,20663,2753,7361,3911,984,0,0,157080,117586,21304,2955,8678,5481,1224,157261,117692,21315,2958,8681,5489,1224,159632,122729,21572,3116,8464,4055,864,1636,5192,1434,257,6663,159037,120783,22469,3435,8049,4452,1101,113879,95773,10214,1448,4575,2196,421,0,0,119496,102325,8256,1665,4183,2308,328,1103,3024,1278,328,453,0,128373,100673,13847,2014,6626,3954,875,128373,100673,13847,1026,4429,839,362,6523,122386,103383,8933,2032,4999,2425,225,0,0,0,0,123652,103427,10330,2007,4806,2260,254,1158,3138,804,254,125333,103913,11197,1998,5306,2143,313,1004,3263,601,313,74414,47252,25718,72651,45991,26660,78420,48527,23676,79482,52226,27256,79189,49517,29672,72308,52404,0,74413,44792,29621,76434,48223,28211,76504,41475,35029,64202,0,64202,77692,51687,26005,86954,57226,28337,97187,65398,28695,96629,64066,32317,93741,61579,32076,92539,62139,30321,86225,71381,0,94000,52559,41338,92907,58758,34086,86606,57231,27967,77274,52061,25073,74814,41723,3735,76945,52665,24140,89975,58116,31699,90215,61280,27919,94395,64489,26155,90092,62664,27205,93109,62458,30469,90408,60655,29680,89798,62220,27512,91201,61091,30012,90691,63769,26842,90030,61747,28221,92013,66519,25147
41,41,136742,92670,6071,3290,33908,1215,640,0,0,150908,88400,8033,3867,48802,1509,848,0,0,157194,80468,8900,4983,60173,2165,884,157234,80494,8901,4990,60177,2165,884,153040,84728,8593,4116,52923,1324,737,2890,47722,233,410,6828,155262,79972,9402,5207,58525,1832,306,102187,72031,3930,2067,23407,820,438,0,0,96103,66692,3335,2132,22463,700,355,1808,21093,269,355,461,0,119168,65182,6081,3374,42395,1565,555,119168,65182,6081,2303,39734,187,170,4941,96747,65705,3757,2096,23851,620,312,0,0,0,0,97779,63202,4538,2742,25912,773,47,2274,24090,185,47,97347,59397,4352,2899,28934,797,238,1931,27067,102,238,73669,46503,26258,74571,45555,29016,74301,50534,19202,75174,49423,25751,74836,44790,30046,68393,51642,0,69051,36458,32593,71487,45118,26369,71578,34038,37540,61830,0,61830,70467,48044,22423,79579,54820,23658,87573,62844,22279,86594,61271,25035,84049,56694,27294,82507,56849,25618,77130,68904,0,83964,42317,41582,82979,49451,33478,77923,54193,22602,65400,45730,19526,63353,38659,1550,64829,46183,18551,76048,45648,30300,77925,53840,23147,80503,56421,20567,78667,55018,23457,79439,52199,27078,76773,50658,26057,75880,52342,23482,77410,51385,25924,76914,54755,22090,76324,51673,24604,22262,15850,6327
42,42,136186,108813,12743,2181,6375,7207,758,0,0,149946,114846,16948,3076,9412,7600,1308,0,0,156944,114572,18289,3497,10075,9803,1296,157263,114774,18302,3516,10079,9839,1298,151930,116940,16861,2790,9102,7274,1324,1114,5780,4367,353,6093,155242,117201,17528,3163,9933,7305,1180,104851,87091,7566,1220,4512,4855,477,0,0,109494,90748,7556,1441,4476,4386,241,953,3841,3559,241,644,0,123433,94083,11875,2185,7549,6822,894,123433,94083,11875,1120,5786,3453,410,5962,111688,92832,7767,1280,4624,4344,265,0,0,0,0,115228,94396,8662,1523,5254,4636,270,894,4276,2884,270,119504,96817,9094,1792,6314,4649,308,1063,4782,2552,308,65746,34141,30169,65495,33458,32037,72118,34212,32099,72906,38429,34477,72916,36455,36461,66141,41634,0,69640,33798,35842,71135,35068,36067,71164,31065,40099,62697,0,62697,71570,37352,34218,82329,42806,38218,93888,50054,40802,93477,48736,44444,91176,47803,43308,90651,48555,42053,86335,58205,0,91861,41965,49768,90864,46503,44306,82738,42864,38547,75548,39003,36422,72365,32079,7257,75232,39682,35420,90351,45667,44564,89744,47496,41330,93986,49809,40637,92311,49990,42140,93024,48544,44306,90711,47458,43195,90231,48605,41577,91604,47468,44052,90932,49820,41046,90430,48231,42149,91832,52328,39248
43,43,113627,83368,6171,6524,16322,2052,671,0,0,145761,97840,7931,7913,30864,2221,854,0,0,157133,94625,11776,9161,38310,3274,1102,157247,94667,11780,9202,38316,3283,1104,150448,97345,8889,7817,34566,2480,1161,5565,28220,711,331,8825,152186,92857,9329,8416,38684,2571,1409,104120,76788,5578,5579,14851,1838,589,0,0,114625,85725,6118,5937,14708,1414,136,4700,11639,486,136,736,0,145451,88142,10470,7936,35664,2783,904,145451,88142,10470,5781,30944,572,309,8354,118061,85895,6947,5841,16704,1483,300,0,0,0,0,117424,82761,7295,6181,18291,1339,294,5439,14809,589,294,122249,82853,8454,6620,20795,1706,368,5475,16953,716,368,64708,56802,6861,67386,58907,8479,76153,66967,5170,75106,65988,9118,74625,63097,11528,70141,62429,0,69440,55966,13474,71751,62595,9156,71891,55324,16567,59211,0,59211,72807,65861,6946,79938,71386,7573,86666,78294,6206,85759,77281,8256,83814,73904,9855,82599,73658,8879,79731,78039,0,83683,61743,21851,82905,67845,14996,78067,70100,6968,63796,58211,5472,62008,48771,252,62681,56231,6179,78987,65446,13435,79182,70795,7395,82910,73309,5866,81275,72941,8005,81541,72240,9136,79427,69641,9703,78642,71106,7473,80144,71455,8581,79640,72773,6771,79079,70705,8318,79319,69722,9341
44,44,130733,99670,8273,3369,17840,2066,819,0,0,153555,107879,10467,5380,26563,3225,1596,0,0,157151,98861,12976,5874,34304,3867,1449,157248,98933,12978,5881,34306,3871,1452,156790,106907,11217,5886,29510,3149,1103,3631,24951,1026,391,8080,158941,102886,11899,6016,33787,2866,1550,96240,75936,4920,1898,12214,1354,535,0,0,104157,82152,4828,2379,11914,1838,397,1960,10654,747,397,676,0,117387,78270,8272,3580,23250,2678,875,117387,78270,8272,2469,20835,484,397,6017,104827,81406,5255,2824,12834,1770,343,0,0,0,0,105231,80186,5732,3140,13943,1451,229,2550,12400,357,229,104310,76324,6479,3611,15362,1864,229,2613,13605,291,229,63306,35465,26717,65054,35913,29141,69163,37335,26205,71098,39440,31658,70923,35482,35441,65927,42706,0,66725,31970,34755,68561,35641,32920,68764,28205,40559,61158,0,61158,65124,36613,28511,76481,42934,32157,85689,50559,32187,85268,48053,36884,83062,45571,37430,81691,46815,34815,77747,59352,0,83039,36683,46289,82116,43321,38742,75251,42428,31412,63837,36491,27193,62401,32518,2754,63466,36858,26540,75508,39747,35651,77047,44232,31831,80349,46848,30231,78183,45962,32041,78738,43252,35327,76176,42271,33850,75541,43789,31691,76690,42167,34445,76533,46195,30263,75838,43273,32511,77880,45597,32112
45,45,136136,102824,8321,2729,20812,1564,674,0,0,149928,103145,9307,3256,33468,1193,774,0,0,157231,95831,11466,4780,41013,2820,791,157270,95863,11465,4783,41016,2819,792,154251,102214,10806,3404,36345,1732,853,2090,31045,258,45,7500,157759,99567,11295,3743,40545,2213,787,101718,79295,5424,1709,14122,1085,421,0,0,96107,76054,4433,1560,12891,600,21,1110,11487,203,21,652,0,118356,76554,7785,3041,27753,2015,504,118356,76554,7785,1897,25119,278,117,5762,97682,75969,4887,1708,13615,731,26,0,0,0,0,98802,74647,5080,1894,15404,1040,53,1242,13827,364,53,99470,71793,6148,2161,17141,1190,151,1510,15472,307,151,70412,43184,26155,71972,43336,28636,73234,47979,20049,74378,47430,26948,74226,43421,30805,67868,48740,0,68812,36511,32301,71107,44026,27081,71229,33646,37583,61395,0,61395,70570,47086,23484,79149,53212,24640,87136,61582,22744,86302,59517,26450,83946,55680,28200,82687,56208,26440,77861,67265,0,84000,43235,40688,83045,50176,32826,77919,53036,23573,67037,46385,20531,64935,39053,1903,66641,47198,19353,78460,48816,29550,79593,54793,23711,82644,57567,21207,80810,56325,24213,81591,54106,27317,79129,52752,26300,78299,54305,23915,79675,53112,26416,79282,56400,22794,78744,53768,24916,79621,56547,22746
46,46,136258,98151,8167,7325,21009,2532,888,0,0,157385,107590,9573,9190,29383,2591,720,0,0,157135,98119,12781,10203,32096,3749,1152,157255,98181,12782,10242,32100,3752,1154,161561,109124,9752,8880,31778,2571,863,6750,25496,517,214,9243,159419,104830,11171,9083,31534,2916,1077,114702,84754,6072,5173,17171,1894,682,0,0,117420,88513,5470,4941,16144,1575,109,4143,13326,456,109,763,0,131442,84324,9817,7377,26352,2951,824,131442,84324,9817,5545,21978,547,236,8188,119868,89872,5558,4618,17494,1590,137,0,0,0,0,119720,87706,6355,5258,17762,1764,153,4109,14864,573,153,122279,87253,8147,5598,18988,1466,250,4378,15548,359,250,76176,64172,10742,76349,65009,11340,81516,69916,7064,81320,70145,11175,80989,66804,14185,76022,67397,0,74916,58585,16331,77387,65919,11468,77654,56787,20867,62997,0,62997,78153,68943,9210,86052,75300,9706,93326,82605,8248,92379,81711,10385,90536,78443,12034,88990,78028,10905,86089,83263,0,90179,62723,27378,89302,71336,17920,84484,74341,9066,72032,64470,7400,70126,53950,460,70835,62181,8323,84624,67850,16689,85263,74860,9480,88408,77041,7826,86835,76634,9895,87236,75446,11584,85080,73145,11872,84211,74645,9510,85608,74505,10998,85223,76414,8719,84623,74121,10457,84774,72916,11536
47,47,135815,84562,14296,11985,22306,3198,2626,0,0,150382,81084,17447,15683,33177,4386,2746,0,0,157002,77568,20709,17464,35391,4719,4458,157240,77664,20713,17541,35402,4730,4466,150569,81080,15640,17524,31939,3971,2882,12649,26781,892,1728,11144,154836,80441,18260,18783,32793,4035,3361,99827,66497,8594,7023,15502,2047,1579,0,0,98071,63358,6046,8021,16809,2071,1087,6943,15584,758,1087,861,0,119577,63871,13309,11376,26104,3441,2929,119577,63871,13309,9297,23177,711,2108,6484,97333,63574,5199,8920,16018,1834,1174,0,0,0,0,101716,64285,6524,9577,17512,1664,1260,7564,15786,694,1260,100802,60811,8403,9643,18649,1667,982,7903,16751,631,982,53280,29731,22591,57171,32490,24681,56039,30457,21395,56622,32613,24009,56707,29559,27148,52108,35157,0,53155,26379,26776,54289,28597,25692,54617,23886,30731,47731,0,47731,55121,31608,23513,64366,36646,26697,74108,43193,28713,73469,41937,31337,71445,40069,31322,70600,41008,29558,66228,52987,0,71508,32267,39166,70823,38304,32479,63358,36034,26283,50472,28879,21487,48731,24491,2299,50120,29356,20645,63904,33378,30427,64357,36166,27448,67088,37365,27244,64967,38031,26772,66056,34872,31041,64190,34601,29527,63660,36158,27446,64439,34899,29442,64316,37359,26893,63925,35724,28151,36275,20803,15388
48,48,122811,75791,9125,3363,33415,1230,539,0,0,148030,77747,9997,4051,55207,1226,614,0,0,157217,72440,11491,5068,65561,2099,795,157252,72459,11493,5078,65562,2102,795,150471,77372,9290,4799,57655,1281,522,3030,53342,219,261,6339,156442,75669,11013,5395,62796,1340,860,98118,63046,6327,2349,25519,836,390,0,0,82625,59382,3627,2179,16330,603,228,1745,14916,170,228,270,0,125223,61582,8444,3673,49213,1593,533,125223,61582,8444,2674,46665,222,155,4723,85117,60392,3904,2410,17113,588,198,0,0,0,0,87866,59727,5070,2941,18580,520,189,2274,17350,106,189,90354,57700,5560,3206,22106,856,183,2447,20419,122,183,52697,33557,18387,55117,34583,20534,56457,38389,14254,56794,37930,18864,56616,34800,21816,52087,38862,0,52390,28888,23502,54597,36131,18466,54219,27141,27078,46573,0,46573,52123,36460,15663,60587,42309,17302,67498,48770,16625,66606,47877,18499,64539,44528,19949,63499,44578,18880,59490,53257,0,64590,34390,30143,63851,39459,24358,59170,41690,16486,48193,34182,13895,46716,28515,1353,47813,34527,13228,59133,36981,22059,60077,41964,17279,62782,44059,15883,61098,43156,17727,61661,41472,20025,59625,40045,19512,58911,41355,17498,60110,40752,19243,59827,43004,16750,59330,40863,18417,56487,40194,16092
49,49,134579,104043,14516,6168,6621,3442,1920,0,0,148736,107174,21339,7437,8672,4235,3318,0,0,156752,104035,26320,8730,9675,6523,3895,157252,104350,26331,8797,9691,6543,3906,150327,108119,21899,7221,8656,3644,3485,3205,5842,575,2472,7977,156080,108982,23559,8992,9728,4300,3842,103361,84010,8487,3613,4681,2365,1119,0,0,106800,86335,7634,4244,4521,2477,745,2918,3530,633,745,957,0,123340,87348,16757,5702,7232,4846,2487,123340,87348,16757,3929,5247,950,1780,6744,107906,86488,8425,4193,4927,2262,814,0,0,0,0,114059,89221,9637,5120,5616,2274,897,3699,4297,650,897,118667,89948,12425,5416,6186,2201,973,4053,4704,622,973,51839,30955,19796,55230,32740,22490,54853,29707,20709,54718,33098,21620,54434,31276,23158,50873,33535,0,52285,29428,22857,53173,30002,23171,53092,25710,27382,46178,0,46178,52687,32907,19780,63627,37933,24621,75294,44722,27896,74108,44562,29309,71292,42744,28431,70818,43041,27662,65303,54463,0,71451,37360,33949,71019,40153,30762,63227,37756,24388,52306,32013,20195,50907,27298,2055,52249,33775,18178,68407,38599,29398,68137,41624,25736,72978,44056,26234,70027,44172,25568,70374,43183,27079,68869,41360,27381,68665,42910,25649,69515,42080,27327,69161,43863,25171,68905,42700,26097,71250,46614,24278
