ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
47,47,278085,191182,36941,22035,30854,2172,435,0,0,289629,190466,40955,20637,39619,2492,332,0,0,319503,198167,44605,27471,48936,3564,741,319736,198205,44689,25988,49227,2627,613,292737,195154,39970,19338,40805,2483,90,12020,35667,139,70,1088,8627,302454,192231,45908,23681,42277,3423,166,244375,169800,31062,18781,26848,1791,367,0,0,219578,153842,29351,13568,21813,778,24,11986,20429,215,518,0,280065,176298,38114,23299,41548,3048,644,280065,176298,38114,16394,37241,278,101,2197,9442,220995,156995,29559,11925,21296,993,69,0,0,0,0,0,229054,156032,33849,14503,23071,880,35,12289,20706,70,35,232670,157112,31468,15970,26252,1263,125,13491,22544,183,125,139200,119617,18292,123385,103853,19532,140879,122700,12886,136896,118770,14687,118607,106960,11461,116828,100960,11173,116379,101006,12395,129753,113597,13039,148918,131191,15670,106055,90572,15400,121921,106221,14278,108289,94489,13170,108060,91531,16270,106714,90404,16188,107552,92749,14273,126874,108796,16913,146275,123575,19892,142974,121557,20304,139617,118090,21349
48,48,324011,241894,15623,53971,11209,5937,421,0,0,319396,231808,18198,54716,14102,5919,531,0,0,325359,223239,21038,60108,14824,8541,575,325026,223202,20843,59283,14968,6803,457,318339,228818,18531,55305,15003,5719,465,44287,12132,1588,93,640,12249,322376,228471,19498,56873,15544,5161,284,249840,195431,9851,34279,8483,4078,263,0,0,241542,190424,10554,31915,5155,3138,67,30193,4605,1553,588,0,257854,186743,14201,40350,11154,6003,402,257854,186743,14201,34282,9763,1726,98,1014,10027,241669,189264,10887,32129,5979,3016,86,0,0,0,0,0,245411,191325,11546,32821,6726,2846,55,29580,6185,1250,55,245550,190791,12172,32348,7087,2739,46,28656,6267,935,46,138380,84343,51183,125296,78920,46376,129806,70136,51750,126479,87437,35939,107635,66426,41122,107366,51390,45756,105517,58498,43905,119709,69464,45909,144651,83525,57752,100867,56814,44018,114049,63826,48624,102023,57231,44184,102365,52722,49450,101016,53188,47792,101107,53984,47063,121100,67825,52504,140502,79611,59950,137375,80351,56217,137827,78691,59136
49,49,329945,302116,10086,12031,3663,3137,682,0,0,320152,286730,13353,14707,4688,3158,774,0,0,321160,278293,13499,14272,5031,7314,761,318426,278185,12622,12987,5330,6648,752,318328,282596,13564,15233,4947,3333,728,9440,2955,826,317,483,8145,322804,283230,14400,15282,5489,3534,870,251555,233114,6405,7870,2416,2221,384,0,0,245331,224466,8178,8478,1846,1967,254,7092,1475,775,352,0,251133,220705,9144,9907,3495,5378,466,251133,220705,9144,7511,2600,736,221,663,9553,244383,223141,8144,8665,1971,2180,290,0,0,0,0,0,248538,226277,8934,8482,2227,2065,338,6772,1562,369,338,244739,223132,8339,8157,2447,1692,332,6347,1853,238,332,126796,57944,65849,112493,53259,59234,122808,39927,74993,116681,63374,50841,96923,43923,52962,98349,26135,65715,94055,33205,58017,110114,42185,64749,139171,48924,87588,103618,36827,66769,111298,37681,72367,104626,35178,68871,106121,28055,77925,103573,31327,72224,104640,31750,72846,120269,39974,79752,138045,46260,91069,131705,49918,81221,133037,40720,92317
50,50,318003,291132,7282,10378,7060,3167,236,0,0,312461,278939,9700,13888,8722,3278,290,0,0,318252,271258,11384,15684,11128,7161,424,318729,271609,11417,15999,11600,6611,410,311236,276982,10358,13835,8250,3726,300,8427,6338,470,48,343,8271,317798,277656,11629,15012,9448,4196,413,246132,229018,4370,6295,4786,2140,156,0,0,241483,222545,5168,7681,3804,1925,45,6584,3257,456,361,0,253356,221338,7271,10122,7838,5238,274,253356,221338,7271,7584,6657,1099,38,640,8729,240941,221626,5558,7692,3663,2132,44,0,0,0,0,0,246769,224685,6471,8542,4573,2294,47,6786,3958,426,47,244701,220343,7950,8730,4798,2304,44,6888,4228,422,44,152276,82607,66620,139908,79060,60848,148523,69602,69552,145553,96240,46289,124512,70722,53713,124573,53365,60485,121557,61098,57107,138664,73274,60647,169580,88846,77003,123114,64457,58617,135362,69029,64456,124383,65441,58234,124798,59486,65078,123216,59937,63238,123555,61210,62279,144701,74508,69363,165258,85773,78754,162368,87541,73967,163139,84935,78204
51,51,337908,295481,21019,16358,4381,3269,278,0,0,323958,275969,24678,17603,6198,3639,344,0,0,322968,263072,27341,18414,6153,7210,465,319935,262967,26358,16368,6319,6696,446,322518,271961,24889,17383,6630,3349,401,11293,4313,433,100,1066,8475,324521,268290,26647,18225,6732,3865,381,267495,237458,14218,11650,3178,2373,186,0,0,255781,225767,14618,10075,3051,1699,61,8814,2287,464,599,0,261533,217554,19201,13493,4590,5558,331,261533,217554,19201,10068,3467,617,41,1148,9437,255357,224875,14566,10567,3379,1542,104,0,0,0,0,0,258381,224799,16075,11983,3578,1679,115,10203,2684,308,115,257439,222540,17586,11336,3429,1991,143,9910,2615,239,143,144500,72583,68241,128252,64402,63850,139171,53742,76873,132685,73776,55465,118120,60277,57779,118993,44683,66846,115866,51026,60355,129146,58236,66795,158219,68634,86137,120513,53164,67309,129313,54865,72897,121428,51288,69339,122748,47008,75549,120744,48972,71722,121384,49941,71396,139100,59221,79084,159648,67707,90920,154303,71988,81386,156090,67670,88420
52,52,316886,267595,11640,18592,18508,2987,411,0,0,310639,253584,13641,20992,22316,2895,407,0,0,318894,244462,18275,24897,24310,6634,555,319673,244874,18344,25209,24729,5603,508,309156,250839,14059,21173,22125,2748,349,14044,18205,398,151,503,10957,315328,252633,15122,22265,23138,3423,262,257196,220600,8207,11965,15535,2164,302,0,0,243135,209435,9047,11826,10601,1749,79,9706,9113,487,700,0,263784,206834,13539,16861,20609,4949,394,263784,206834,13539,12491,18383,596,83,1134,10724,242535,207980,9165,11934,11581,1681,85,0,0,0,0,0,246950,211075,9971,12171,11945,1647,44,9976,10416,268,44,248389,208362,12159,12938,13028,1436,60,10822,11394,199,60,138217,82057,53429,123219,73673,49546,134079,72176,51930,128823,86610,37655,112951,73597,39194,112927,58612,45059,110707,65077,41904,123340,73448,45032,143578,85073,55121,104941,62326,42562,117555,68292,47271,106085,61668,43626,106419,58200,48023,105036,59168,45817,105979,61698,44237,123521,72313,50297,142799,84253,57060,138993,85644,52368,139692,83689,56003
53,53,332547,291508,12512,19417,8367,2778,312,0,0,324620,277456,15166,20062,11860,2542,409,0,0,322625,262644,17248,22651,13314,5911,365,319816,261782,16589,20944,13473,5288,323,323319,274469,15880,20071,12178,2563,417,14238,10152,862,82,643,6981,321653,268593,17139,20833,12869,2599,442,259578,232318,7930,12837,5572,1957,206,0,0,250087,222949,9317,11712,4090,1412,119,10351,3618,669,489,0,255004,214446,11406,14669,8925,4312,239,255004,214446,11406,11631,7775,808,63,696,8179,248710,221182,9659,11664,4352,1466,75,0,0,0,0,0,247117,218543,10010,11854,4958,1473,25,10023,4422,554,25,244364,214528,10801,11704,5525,1357,64,9740,4899,475,64,134722,62507,69162,121532,58279,63253,130818,48242,73616,124155,72597,48581,109690,54614,55022,112608,39072,64821,107917,45458,59193,121044,53147,63952,146970,60266,83517,108347,45308,62999,118590,47180,69802,109452,43452,65348,110315,37669,72353,108347,39523,68775,108494,41051,67380,126517,49864,75972,145525,57427,87433,140193,60616,78865,140965,55949,85016
54,54,318716,290929,10185,12106,4262,2350,237,0,0,315129,283006,12704,13213,4926,2291,604,0,0,317766,274663,15407,14172,5721,5971,344,317514,274677,15351,14474,5919,5298,309,314709,280896,13243,13537,5153,2301,362,9042,3636,426,103,417,6946,317732,279956,14424,14501,5377,2544,220,247056,228841,6382,7825,2882,1693,144,0,0,246331,227097,7369,7947,2242,1276,195,6980,2022,435,282,0,253866,224494,9934,9277,3962,4409,246,253866,224494,9934,6928,3010,507,53,802,8138,246740,227030,7736,8070,2341,1318,120,0,0,0,0,0,250620,229595,8424,8271,2776,1317,50,6748,2158,161,50,249698,227877,9126,8025,2956,1284,71,6456,2101,114,71,151131,70232,78158,136782,64005,72777,150331,58316,81060,145632,79435,62787,122956,60452,62465,123052,42576,71168,120723,49416,67513,137383,60509,72123,166910,73851,88549,126409,54609,71759,136674,57529,76901,127910,53745,73451,128637,49543,78873,126588,49496,77046,126827,48491,78273,146563,62773,82801,167298,73899,91871,163419,75545,87175,160845,66420,94425
55,55,316144,234623,26324,46986,10732,2485,345,0,0,316144,229419,30956,45816,12737,2814,397,0,0,321116,224283,32860,48910,14319,4739,484,322258,224438,33079,47944,14144,3671,352,316002,226181,32411,47867,12865,2629,522,38380,9779,435,87,834,7894,321017,230302,33616,45070,13566,3092,622,244483,190509,16539,30586,7582,1683,238,0,0,241856,187202,19234,28496,5746,932,55,27288,5228,351,361,0,256187,187790,22159,34125,10359,3454,339,256187,187790,22159,28788,8684,363,56,859,7488,243393,186632,20084,28977,6370,954,69,0,0,0,0,0,249053,192542,20829,28017,6088,1329,94,25590,5081,275,94,248739,192485,21110,27307,6259,1358,35,24159,5129,150,35,160801,96251,62256,148037,89226,58811,156665,90175,55675,152996,105405,43751,129769,85293,44424,129438,69947,51053,128016,75580,49002,144618,89209,50389,171866,108854,58545,125664,78242,47364,139521,85362,51690,127211,78386,48089,127457,75271,51941,125971,74357,51555,127474,75847,51570,146025,90712,54122,164099,104212,57818,161011,103118,57021,158604,103275,55329
56,56,311135,200435,24619,72602,16077,3142,427,0,0,309411,189594,30092,74994,18149,4207,357,0,0,320776,181269,35015,81891,22829,5484,497,322258,181487,35213,80980,22656,3993,351,309233,188800,30180,74817,19056,4069,467,62480,15746,565,97,866,10500,317918,187310,33620,80363,20391,3451,508,240473,166254,15389,47411,12090,2167,267,0,0,230567,157098,17971,46760,6906,1639,29,44953,6139,574,565,0,255137,155478,23208,56946,17804,4104,331,255137,155478,23208,50342,16002,597,65,996,8449,231802,156946,18785,46502,7504,1593,64,0,0,0,0,0,239362,157777,21153,49768,8873,1438,8,46994,8066,265,8,240929,157021,22123,49761,10125,1601,45,45596,9160,285,45,136740,84718,50174,122632,79297,43335,131354,75759,48018,126657,89279,34394,101551,66430,35073,101980,56109,39546,100273,59312,38306,117062,72404,41031,142327,87664,51403,95027,56615,38362,110428,65784,42945,96522,56962,38999,96866,53908,42741,95571,53871,41645,96775,54402,42312,115837,69205,45791,134491,81637,51470,130360,81200,48442,127760,81307,46453
57,57,341452,310507,12721,11270,2562,5980,183,0,0,327037,293017,14774,11097,3166,5919,216,0,0,326526,281472,17917,12441,3386,9923,371,323430,280902,17241,10718,3531,9489,352,324824,290089,15046,11726,3080,5755,195,7313,2033,3249,37,209,6839,325810,287857,15836,11898,3288,5765,233,265566,245019,7983,7572,1754,3998,131,0,0,255060,234528,8419,6710,1436,3860,62,5749,1152,2634,124,0,258877,227676,11851,8478,2435,6892,252,258877,227676,11851,6150,1769,2721,62,603,8045,253970,232942,8395,7302,1574,3847,35,0,0,0,0,0,255073,234071,8878,6780,1693,3702,54,5524,1358,1881,54,252015,228929,10589,6934,1810,3509,58,5411,1500,1532,58,145876,63753,78866,129528,54392,75136,138431,42238,87136,132753,68706,61293,108708,46399,62276,109566,32204,70476,106944,33914,69984,123672,45606,74526,153161,52365,97227,112986,40238,72722,122977,41237,80151,114093,38227,75280,115341,34245,80927,113114,35103,77984,112415,32253,80106,131241,43969,86610,149179,50409,97913,144931,53481,90822,142386,40443,101943
58,58,342837,317778,6307,13028,4061,2631,187,0,0,330707,302827,7690,13693,5006,2600,129,0,0,326221,288043,8817,14182,5650,6994,366,323551,287788,8142,12848,5839,6370,349,328905,299558,7990,13810,5208,2785,218,9248,4053,562,38,536,6929,326125,294574,8371,13601,5713,2637,169,265258,248046,4123,8824,2826,1938,132,0,0,257379,240251,4838,8724,1821,1751,14,7552,1516,454,213,0,257671,230687,5933,9571,3970,5231,255,257671,230687,5933,7348,3202,607,50,766,9078,256414,238676,5018,8979,2077,1740,11,0,0,0,0,0,255337,237172,5120,8819,2545,1755,24,7091,2001,343,24,251770,233257,5492,8419,2842,1556,36,7064,2154,246,36,147485,66293,78151,131436,59922,71514,142650,49038,84164,136796,69516,64180,115425,52484,62893,116611,36614,69635,112901,42097,66853,128799,51392,73188,157080,60444,93035,114864,43025,71785,126221,46524,78068,115814,41456,73652,116987,37591,79138,114975,39027,75893,114979,38781,76131,134080,49496,83874,152909,58365,93603,148720,59931,88219,146908,50549,96359
59,59,261419,152857,49119,20333,40548,2341,506,0,0,274146,156987,46901,22260,50312,1781,631,0,0,319466,173621,55397,26320,62698,4521,1107,319736,173665,55487,24622,63114,3864,1020,275219,155058,46821,22671,53352,1730,810,15793,45379,267,62,1514,10324,281991,155503,48271,22615,56063,2982,824,230505,141284,38981,15973,34982,1799,433,0,0,201340,127730,31165,13937,27424,574,175,13018,25953,94,462,0,282573,158293,46238,21377,54667,3699,962,282573,158293,46238,15089,49668,280,218,2730,10057,200765,125943,31832,13795,27636,686,79,0,0,0,0,0,205701,127528,31974,13640,30218,937,28,11785,27494,295,28,212705,128968,33438,15640,31848,1317,121,12885,28744,462,121,97677,80026,16543,88399,73634,14765,109525,91359,13564,105681,89253,12382,89616,79833,9642,89275,74710,9742,88621,76329,9938,101135,85980,12201,124191,104447,17971,80530,66359,14100,94637,79492,13950,81687,68295,12856,81917,66786,14957,80928,66182,14651,81048,66854,13593,102100,83595,17381,123533,98018,22502,120533,97837,21399,118113,95474,22611
60,60,319901,301994,5483,5474,3464,3888,147,0,0,324991,305310,6473,6437,3828,3591,166,0,0,327312,297669,8772,7311,5628,6073,217,324627,296895,8234,5990,5687,5939,213,325373,303373,7411,7793,3012,3546,176,5724,2144,2172,36,888,3625,326854,303294,7478,7113,3651,3398,350,249016,236797,3462,4105,2221,2593,84,0,0,257460,244625,4043,4293,2007,2426,24,3950,1789,1786,109,0,264149,243652,5805,5106,3855,4240,161,264149,243652,5805,3898,3071,1799,33,528,5363,258875,245080,4722,5034,1591,2321,27,0,0,0,0,0,260195,246790,5045,4025,2011,2111,88,3412,1531,1201,88,260412,246171,5517,4387,1848,2093,164,3510,1407,1156,164,166515,77585,86015,157456,71749,85707,168199,62333,97693,163897,97824,63272,137778,68931,68847,140371,53727,81099,136590,52361,80820,156194,69906,82659,192839,84796,104472,146188,66389,79747,156652,67230,87715,148266,65408,81993,149033,61487,87279,146593,60601,85936,146210,58135,87931,169066,73288,94755,192608,82337,108212,186454,85045,100598,182368,72621,109747
61,61,303218,245022,15860,26219,15852,3049,275,0,0,304240,234681,19749,30859,20375,2561,209,0,0,314060,227603,20913,35308,27051,4959,366,314466,227737,20982,35243,27170,4442,316,304649,231887,20397,32229,21670,3192,225,23267,19151,781,45,248,8874,315348,236356,21755,34476,22891,3649,186,241547,201781,9680,17374,12045,2000,178,0,0,231624,191282,12367,18369,7905,1495,42,16925,7211,531,252,0,254551,192141,14146,24833,20380,3546,270,254551,192141,14146,20920,18588,971,38,864,6883,231688,190201,12305,19005,8214,1666,22,0,0,0,0,0,241268,196704,12889,20564,8875,1961,8,18200,8037,693,8,243319,197135,13593,20158,10312,1663,39,18242,9094,604,39,147577,85373,59778,134135,77452,56683,140328,76117,56982,136972,97035,36766,112481,73323,39158,113225,62979,45135,110966,60712,47448,128327,77786,47125,156957,96589,57326,111839,69609,42167,124681,75021,48055,113754,69981,43062,113851,67600,46022,112381,66452,45873,113533,74212,39244,132568,80791,50819,152296,91520,58418,147585,92509,54276,145463,94303,51160
62,62,324797,287345,8285,22335,3479,4842,253,0,0,318011,275521,11315,24266,4305,4858,414,0,0,318369,264904,12716,26862,4824,8415,327,317511,264599,12522,26949,4919,7672,299,317004,272530,12470,23574,4274,4427,433,18021,2740,2085,84,709,8365,317709,269524,12901,24947,5211,5078,358,254235,229525,5025,14748,2391,3222,171,0,0,249600,223110,6580,14782,2001,2656,35,13281,1658,1642,689,0,254797,218411,8117,17837,3407,5943,196,254797,218411,8117,14914,2548,2075,43,750,7939,249115,221630,7181,14821,2228,2690,65,0,0,0,0,0,250345,221610,7636,15359,2679,2812,30,13500,1980,1275,30,247347,218188,7928,15156,3023,2762,31,12717,2199,1168,31,142810,67029,73170,130625,62080,68545,140185,50766,81421,133572,75276,55642,108959,50751,58170,110406,39007,65453,107099,40307,63785,125775,53526,68757,157591,65675,88526,114587,46600,67955,125439,49557,74266,116229,45827,69792,117385,42121,75061,114960,42344,72581,114622,45241,69343,135215,53805,80647,156127,62555,92410,150299,64119,85538,146103,59509,86594
63,63,295921,167140,20388,101356,8308,3173,292,0,0,290135,154087,24377,99019,13705,3253,439,0,0,312864,152964,29973,109237,20833,5418,413,314466,153136,30120,109156,20601,4063,321,288851,152759,24627,97166,15369,3597,360,87520,13291,984,179,569,8921,309030,160352,27478,101048,20439,3948,304,229533,140452,12874,70220,6112,2214,200,0,0,217576,129850,14813,66454,4449,1646,93,65111,3997,830,502,0,243420,130921,19796,77537,14164,3778,299,243420,130921,19796,71255,12677,859,85,886,6941,217207,129607,14932,65380,5262,1639,84,0,0,0,0,0,232787,137753,17142,68303,7710,1719,57,65563,7073,482,57,229777,131695,19054,66286,10725,1936,60,62864,10071,437,60,128309,93341,33022,115304,88130,27174,115098,77006,33628,109636,89251,18034,83625,63770,19855,86171,58060,24445,83505,56342,24997,100082,71703,26073,123622,85885,35754,75247,52478,22714,92207,63839,27430,77700,53590,23530,78425,51539,26703,76563,51216,25291,77480,56272,21142,96412,65372,30313,115022,74794,38144,108785,75228,32673,107643,78718,28925
