ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_18_CONG_Total,E_18_CONG_Dem,E_18_CONG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
17,17,52407,18655,15033,13396,5607,895,1134,0,0,66405,19625,20084,20950,6980,1429,950,0,0,74670,19655,22971,23946,8178,2291,1744,74265,19350,22938,23848,8161,2276,1743,70055,19748,22238,22114,7224,1492,668,18743,4952,230,148,3695,74562,20563,25040,23428,8028,1893,1191,35904,14428,9170,8153,3903,592,684,0,0,40800,15525,9185,11544,3332,431,53,10866,2968,236,53,847,0,53705,16022,15063,15932,6036,1610,1130,53705,16022,15063,13924,4747,212,601,2809,44178,15465,10978,12808,3975,478,66,0,0,0,0,48610,16509,13087,13725,3761,301,96,13021,3427,113,96,54420,18172,15066,14493,4695,481,414,13895,4250,189,414,12471,8588,3682,14858,10366,4492,19087,12272,5591,18775,11666,5403,15636,10588,4325,15642,10403,4346,15579,10317,4474,15568,10429,4270,15343,10243,4655,15552,10189,4561,15536,10644,4415,18504,12085,5438,26360,17277,8427,18921,12346,5849,17789,11403,5762,17756,11168,5787,17159,11442,5258,17705,10899,5884,17717,11302,5630,17682,11002,5625,17542,11612,5930,23694,15006,7814,31792,19604,11592,31350,19085,10052,30801,19868,10048
18,18,63595,26326,23130,6968,7187,1018,946,0,0,68251,22350,28173,8399,8617,1141,1332,0,0,74370,22905,29613,11475,9962,2370,1639,74557,22946,29691,11490,9965,2370,1639,68916,22579,29844,7948,8099,1466,1164,5935,6589,384,638,2498,69343,20663,30832,8824,8714,2776,1129,47468,22299,14930,4577,5368,719,604,0,0,44533,20051,13000,4982,5125,496,444,4646,4824,327,444,478,0,57472,20058,20690,7842,7920,1797,1121,57472,20058,20690,6367,6668,240,601,2548,44175,20210,13328,4567,4812,491,342,0,0,0,0,44175,18444,14022,5346,5163,370,297,4690,4677,104,297,45810,17324,14846,7501,5131,634,135,6420,4528,100,135,19212,12456,6292,20449,13589,6860,22975,13645,7913,22544,13125,7155,18240,11452,5910,18246,11164,5960,18151,10873,6174,18144,11138,5873,17910,10902,6457,18125,10881,6236,18101,11502,6020,21367,12864,7292,28147,16943,10621,20208,12242,7162,17582,10539,6387,17516,10253,6470,16823,10566,5732,17473,9968,6490,17484,10451,6220,17452,10169,6103,17382,10448,6456,22656,13322,8510,28190,15965,11766,27767,15700,10076,27172,16045,10020
19,19,64958,48251,10899,2067,2884,1302,595,0,0,73386,54498,12734,2513,2624,1332,799,0,0,74294,51539,13432,3280,4067,2314,978,74367,51594,13442,3280,4067,2315,978,72629,51779,14168,2302,3107,1351,978,1577,1866,621,606,1887,74507,51751,14943,2341,3974,1158,1212,47747,37219,6516,1262,1975,884,349,0,0,53353,42145,7103,1454,1274,862,370,1273,1073,517,370,156,0,57786,42032,8918,2185,2876,1706,631,57786,42032,8918,1596,1984,450,246,2343,53655,41220,8154,1425,1365,771,532,0,0,0,0,55130,42044,8322,1471,1886,517,492,1302,1583,294,492,56904,42533,8360,2610,2265,485,275,2147,1824,192,275,26401,11036,14724,28417,10825,17592,31727,10011,19783,31278,10130,18645,29162,10246,17594,29164,9996,17160,28975,9538,17864,29037,10280,16950,28557,9439,18305,28940,9599,18029,28876,10401,17667,31872,10648,19596,41415,14104,26513,33434,11522,20716,33380,11533,20787,33328,11117,21025,31925,12138,18719,33228,10769,21065,33218,11490,20419,33153,11337,19737,33069,11417,21167,38643,13418,24033,46423,15948,29663,45897,15890,27587,44867,16044,27577
20,20,69286,32822,22774,7935,5561,1205,1076,0,0,71343,26983,26426,9966,6660,1424,1208,0,0,73842,25871,27442,12733,7007,2490,1541,74116,25941,27538,12772,7015,2490,1543,73901,26138,29244,10306,6907,1304,1553,8408,5534,640,992,2302,75339,25366,30526,11633,7510,1705,1389,55461,29425,15544,5654,4370,874,712,0,0,46228,24290,10447,6602,3309,808,469,6217,3056,614,469,332,0,59230,23629,19761,9064,5669,1950,1077,59230,23629,19761,7426,4549,358,588,2602,48349,23527,13013,6284,3826,801,544,0,0,0,0,49923,23000,14500,6673,4042,813,377,6231,3578,478,377,47831,22087,14635,5964,3876,729,319,5408,3363,287,319,23332,14740,8016,21638,14052,7586,22935,13369,8193,22493,12893,7381,18586,11327,6354,18594,11077,6381,18459,10697,6619,18427,10981,6214,18139,10609,6936,18436,10672,6782,18402,11354,6475,21374,12601,7552,27164,16196,10340,20148,12133,7207,17769,10717,6359,17709,10454,6446,16959,10730,5661,17651,10106,6513,17663,10602,6200,17620,10310,6075,17529,10609,6377,21781,12860,8120,25804,14651,10705,25304,14365,9203,24804,14669,9129
21,21,70349,44530,11296,5376,8709,951,1242,0,0,74874,43586,14514,6686,9955,1232,994,0,0,74536,39406,14807,7575,11461,2045,1943,74616,39452,14813,7578,11466,2045,1943,77548,43352,15501,6641,11834,953,1452,4450,8841,410,499,4397,76308,40014,15719,7369,12841,1324,1629,54402,36021,7714,3669,6436,628,774,0,0,55279,35440,8706,4355,5424,551,191,3843,4961,299,191,607,0,59894,33517,10605,5447,8820,1511,1347,59894,33517,10605,4268,6993,241,684,3278,56742,35800,8939,4213,6331,436,221,0,0,0,0,55423,32948,9241,4529,6823,677,420,4060,5976,466,420,56834,33805,9048,4283,7501,700,473,3750,6181,344,473,29753,16486,12761,30028,15866,14162,32327,15837,14501,31800,15141,14109,27717,14889,11820,27715,14744,11788,27542,13834,12269,27572,14460,11624,27279,13719,12778,27502,13825,12406,27435,14666,11932,31002,15801,13715,38856,20314,17785,30027,15648,13374,27399,14396,12293,27354,13934,12611,26443,14504,11189,27267,13541,12638,27272,14294,11989,27172,13992,11662,27109,14155,12576,32660,16899,14860,38290,19143,18511,37764,19150,16756,37047,19098,17246
22,22,62115,43603,9296,3896,4852,1033,739,0,0,67774,44607,11211,5076,6805,918,627,0,0,74669,45096,13201,6574,8241,2114,1238,74795,45180,13216,6583,8241,2115,1238,71511,46839,12569,4684,7110,880,586,3779,4830,228,212,2625,74745,46076,14952,5251,8678,1535,1005,47522,35124,5964,2476,3410,714,456,0,0,51157,36642,6760,3077,3763,447,148,2916,3192,56,148,329,0,58947,37750,9194,4374,6068,1576,838,58947,37750,9194,3466,4739,285,376,2831,54566,39185,7406,2940,4117,529,174,0,0,0,0,55835,38556,8463,2939,4822,404,285,2617,3985,105,285,61411,42228,8555,3469,5646,621,324,2948,4892,242,324,27643,13937,13082,27639,12925,14714,31126,13032,16087,30660,12648,15476,28138,12794,14203,28119,12659,14127,27942,11853,14623,27982,12519,13979,27601,11610,15192,27891,11896,14696,27840,12700,14282,31111,13509,16066,40828,18136,21863,32709,14650,16886,32522,14648,16909,32458,14179,17190,31157,15044,15063,32364,13721,17272,32370,14566,16549,32297,14348,15853,32250,14246,17262,38377,17162,20053,47071,20514,25720,46415,20489,23489,45389,20364,23746
23,23,59456,46451,4984,2114,5458,765,417,0,0,69856,51374,7145,2967,7871,867,810,0,0,74552,51795,8431,3663,9408,1582,885,74593,51836,8431,3663,9408,1582,885,71951,50865,6885,3745,9920,862,1258,2542,7422,127,130,3637,72819,49306,8824,3269,10363,1044,773,49583,39771,3452,1565,4296,573,279,0,0,56092,43578,4762,1886,4921,456,93,1729,4531,172,93,428,0,62013,44993,5782,2548,7344,1178,581,62013,44993,5782,2006,6100,232,186,2453,57431,43276,4686,2760,5805,417,53,0,0,0,0,58045,42045,6028,2490,6501,457,190,2184,5942,161,190,61706,44177,6168,3199,6655,692,263,2743,5905,190,263,31002,13327,17003,33851,13217,20634,37521,13783,21909,37004,13485,21411,35580,14487,20070,35581,14374,20027,35339,13267,20512,35395,14095,19710,34860,12984,21040,35321,13366,20587,35199,14158,20099,38088,14833,21884,48068,19696,27552,40153,16441,22624,40517,16829,22777,40460,16433,23022,39063,17386,20482,40287,15745,23198,40284,16793,22123,40180,16758,21091,40181,16399,23136,45572,18954,25508,53130,21678,30553,52498,21720,28703,51454,21546,28956
24,24,66633,34580,22620,3411,4377,2160,942,0,0,67731,34922,22832,3540,4168,2429,1334,0,0,72528,35274,23965,4515,6060,3217,1267,72805,35410,24037,4522,6074,3229,1271,69462,35637,22818,4087,5074,2625,1335,2951,3478,1238,731,2296,71824,36587,22787,4388,6134,2237,1344,52592,30860,14342,2450,3493,1617,655,0,0,47311,31112,9783,2077,2264,1366,404,1860,1978,1080,404,292,0,59692,31941,16938,3393,4991,2517,868,59692,31941,16938,2627,3794,786,528,2649,49206,31876,10305,2557,2547,1367,315,0,0,0,0,51714,33141,10605,2730,3268,1224,410,2372,2589,814,410,50453,31551,11174,2529,3456,1105,346,2217,2701,607,346,21342,14298,6457,20872,14105,6767,24521,14793,7557,24226,14473,7660,21236,13797,6472,21198,13297,6586,21061,12597,6799,21017,13624,6065,21083,13316,7086,20985,12696,6780,21011,13495,6656,23374,14527,7377,28290,18227,9211,21776,14048,6729,19259,12617,5965,19220,12147,6162,18304,12623,5030,19018,11658,6115,19064,12500,5547,18972,11923,5805,18952,11634,6808,23535,15121,7496,28411,17754,9983,28100,17430,8653,26114,0,9345
25,25,66619,47547,11650,1557,5136,1118,451,0,0,70754,47926,13617,2182,6223,1175,771,0,0,72376,47513,14095,2388,6486,2098,628,72420,47537,14105,2391,6487,2099,629,70534,47564,13303,2053,6558,1253,1127,1359,4777,428,625,2320,72462,48201,14060,2674,6434,1498,862,51979,39139,7430,973,3805,796,300,0,0,51339,39574,6030,1363,3051,672,433,1237,2498,394,433,240,0,57778,40060,9574,1556,4929,1561,430,57778,40060,9574,1042,3929,346,175,2377,51450,39338,6051,1238,3204,635,518,0,0,0,0,53457,40266,6660,1441,3620,771,245,1306,2982,369,245,53336,39647,6638,1591,4010,764,182,1423,3330,432,182,34256,18860,14746,33701,17422,16279,37160,18379,15693,36828,17856,16863,33590,17969,14637,33582,17743,14508,33325,16017,15242,33341,18169,13638,33358,16858,15680,33229,16373,15047,33167,17177,14901,36072,18564,15748,42244,23463,17608,35346,19442,14525,33562,19075,13697,33514,18236,14173,32150,19618,11348,33152,17390,14250,33249,19066,12779,33112,18401,12865,33164,16672,15898,37536,21148,15209,42150,23202,17906,41809,23317,16544,39753,0,17715
26,26,54681,43706,5867,820,3768,679,336,0,0,62641,47490,8699,595,5263,619,645,0,0,73309,52991,9452,1702,7113,1792,526,73327,53003,9454,1702,7113,1792,526,66051,49218,8555,929,6314,899,878,425,4807,446,408,2092,71454,51831,8530,1612,7438,1118,1005,42581,35309,3763,481,2579,468,192,0,0,46675,38685,4390,482,2486,378,131,395,2030,285,131,144,0,58461,44047,6454,1121,5097,1343,341,58461,44047,6454,681,4126,251,129,2478,49653,40588,4716,560,2749,558,337,0,0,0,0,53290,42991,4661,1037,3216,668,485,799,2624,333,485,57861,45540,5641,1628,3735,728,437,1060,2940,204,437,29388,13943,14863,30593,12695,17898,36650,14884,18750,36347,14280,20252,35105,15175,18978,35078,14996,18858,34832,13412,19471,34839,15415,17746,34841,14291,19852,34734,13873,19261,34656,14460,19200,37572,15769,20125,47778,21986,24520,39411,17769,20256,39682,18210,20617,39629,17449,21115,38027,19086,17627,39199,16681,21030,39310,18308,19595,39090,17459,19826,39245,15912,22752,44354,20548,22551,50831,23090,26472,50461,23338,25068,48229,0,25879
27,27,66059,41636,16952,2092,4152,1601,767,0,0,71389,41480,21130,2905,4457,2140,920,0,0,72281,37798,23856,2951,5056,3056,1129,72379,37847,23886,2953,5057,3057,1129,70828,40065,21259,3250,4387,2028,798,1816,3134,1009,409,3123,75087,40778,24537,3413,4713,2037,720,50205,34502,10260,1305,3131,1085,488,0,0,49638,34811,9261,1492,2402,1216,319,1260,1929,832,319,162,0,56382,32392,15886,1923,3962,2310,728,56382,32392,15886,1311,3027,539,411,2582,49072,33874,9365,1768,2549,1104,260,0,0,0,0,52788,35122,11577,1947,2616,920,185,1611,2058,457,185,53437,34737,11969,2208,2861,1031,176,1663,2292,288,176,25068,15571,8846,24358,14769,9589,27602,14283,10733,27323,14104,10709,23257,13368,8730,23235,12970,8834,23061,12079,9085,23066,13511,7999,23096,13031,9331,23014,12440,8957,22977,13196,8882,26088,14183,10145,32126,18255,12787,24904,14203,9471,22587,13156,8624,22556,12720,8721,21459,13487,7236,22309,12157,8703,22385,13123,8044,22281,12368,8398,22305,11984,9690,27410,15643,10643,33115,18114,14184,32802,18189,12334,30981,0,13158
28,28,70996,14672,44295,9463,2783,1106,665,0,0,72246,12562,46358,10456,2977,1108,670,0,0,74158,10794,47924,12660,2827,2794,683,74439,10817,48098,12711,2827,2794,683,72172,12415,46308,10714,2599,1396,791,9075,1947,347,386,1545,69988,11947,44967,10653,2428,2103,1007,46399,12180,26098,5892,2023,739,374,0,0,34964,10926,15458,6194,1678,334,223,5899,1523,118,223,267,0,51243,9244,31248,8223,2189,2005,441,51243,9244,31248,7010,1659,200,183,1427,35228,11040,16053,5814,1438,431,312,0,0,0,0,35665,10479,17070,5814,1238,484,351,5541,1088,123,351,37003,9816,17631,7185,1406,602,255,6703,1205,94,255,13978,9969,3652,13962,10655,3307,14749,10545,3431,14442,9879,3104,10734,7684,2472,10719,7410,2520,10660,7358,2576,10624,7487,2415,10428,7360,2671,10649,7359,2608,10641,7738,2493,13064,9123,3183,17301,11905,5022,11839,8123,3214,9604,6307,2840,9573,6061,2951,9178,6225,2586,9565,5943,2915,9572,6252,2796,9548,5984,2802,9479,6287,2980,13232,8600,4069,17130,10721,6134,16806,10400,4907,16395,10718,4859
29,29,60730,37158,12238,5146,5798,1018,994,0,0,71366,39450,15557,7459,8635,1397,938,0,0,74339,36765,17338,9377,9883,2281,1730,74444,36819,17347,9381,9883,2281,1730,74598,39466,16273,8494,9433,1140,1468,6941,7136,255,738,3233,75854,39221,17233,9753,8746,2162,1618,46880,30428,8015,3561,4306,727,665,0,0,52850,32676,9314,4947,4706,485,247,4503,4063,361,247,475,0,58823,31092,12121,6699,7615,1701,1205,58823,31092,12121,5259,5810,268,541,3345,54673,32869,9744,5507,5150,473,435,0,0,0,0,55811,32280,10593,5888,5332,807,379,5382,4506,373,379,56367,31948,9957,7093,5906,862,249,6321,5305,342,249,24425,13922,9976,24094,13313,10781,28132,13916,12344,27647,13383,11783,24337,13200,10091,24343,12995,10103,24214,12370,10415,24217,12891,9936,23988,12462,10816,24184,12398,10518,24139,13057,10283,27361,14124,11765,35623,18947,15861,26630,14101,11535,24266,12867,10652,24214,12532,10818,23313,13103,9503,24145,12231,10810,24154,12780,10404,24089,12512,10075,24030,12628,10846,29750,15621,13156,35895,18186,17001,35369,18094,15136,34532,18095,15322
30,30,65428,34819,22112,2708,4686,1551,801,0,0,68392,32313,26687,3005,5251,1934,983,0,0,71778,32025,27609,3517,6261,3198,1291,71876,32062,27641,3519,6261,3198,1291,68317,32163,27823,2518,4654,1966,1095,1621,3566,663,517,1704,70303,31003,30197,2329,5366,3591,1165,48996,29116,13670,1732,3508,1096,508,0,0,46217,27683,12460,1725,2896,897,381,1522,2536,533,381,243,0,55639,27687,18579,2442,4877,2356,808,55639,27687,18579,1857,3963,531,578,2248,45866,27380,13269,1491,2429,716,244,0,0,0,0,46205,27218,13638,1263,2426,1054,305,1136,2071,490,305,46879,26713,13806,1608,3111,1013,354,1445,2631,218,354,23254,14191,8513,23070,14170,8900,25319,13357,9779,25048,13182,9585,21183,11919,8140,21156,11536,8274,21035,10754,8445,21001,11976,7602,21062,11749,8707,20975,11140,8398,20984,11863,8334,23807,12896,9316,29174,16619,11686,22378,12602,8640,19899,11245,7855,19866,10896,7951,18912,11627,6486,19678,10431,7940,19737,11308,7382,19662,10668,7614,19632,10287,8765,24146,13578,9528,28722,15548,12498,28434,15505,10741,26648,0,11418
31,31,56881,42153,8420,1738,3791,1139,503,0,0,64884,46831,10860,1679,4588,1709,807,0,0,71982,46998,14102,2407,5958,2576,872,72004,47016,14105,2407,5958,2576,872,65826,46552,11682,1847,4684,1780,564,1145,3676,637,136,1976,70244,48185,13798,2322,3904,1674,682,41488,32051,5142,1015,2605,738,310,0,0,47188,36961,5640,1002,2608,622,114,872,2324,396,114,235,0,55257,37959,9334,1522,4396,1869,577,55257,37959,9334,1051,3418,470,249,2536,47909,37174,6225,881,2645,745,130,0,0,0,0,51842,39132,8226,953,2340,771,248,899,2162,339,248,55528,40767,9393,865,3125,867,384,712,2776,289,384,25934,12882,12581,27798,12231,15567,33109,12500,17843,32815,12541,18033,30487,12569,16673,30482,12329,16752,30305,11073,17126,30294,13103,15321,30314,12144,17403,30216,11681,16780,30215,12546,16698,33135,13067,18248,41498,17378,22995,34112,14255,18380,33732,14193,18575,33713,13536,18875,32086,15381,15351,33411,12985,18799,33473,14420,17479,33317,13502,17885,33394,12319,20406,39168,16609,21148,47148,19326,26776,46767,19821,24267,44898,0,24924
32,32,65128,45287,12294,1371,1814,4875,389,0,0,70493,47101,15042,2038,2010,5278,355,0,0,72734,46208,15586,1834,2729,6576,739,72110,45908,15401,1717,2709,6564,739,72759,48117,16266,1950,2171,5019,411,1282,1474,3519,81,1775,75022,48215,17085,2381,3003,5035,771,48300,35424,7621,913,1237,3265,244,0,0,50002,36931,7535,1097,1044,3144,84,945,867,2742,84,185,0,55330,37392,10187,1190,1923,4443,476,55330,37392,10187,822,1334,2762,214,2243,51464,37964,8125,1046,1106,2997,60,0,0,0,0,53476,38772,9308,1104,1154,2712,128,907,884,2140,128,54316,39206,9826,1041,1260,2582,137,802,1021,1961,137,24794,10398,13589,25585,9931,15654,29613,9014,18289,29391,9120,17811,26628,8609,16666,26612,8235,16742,26482,7727,16734,26475,9341,15136,26498,8760,16964,26421,8235,16471,26401,8884,16540,29041,9089,18223,36456,12031,23440,29548,9774,18387,29060,9624,18261,29036,9029,18427,27431,10514,15576,28845,8622,18441,28904,9771,17380,28806,9041,17769,28786,8215,19729,32932,11120,20486,38267,12592,24850,38004,12898,22623,36724,0,22871
33,33,72992,53331,14482,1330,1088,3368,291,0,0,75189,53476,16203,1274,1238,3477,225,0,0,75929,51224,16963,1852,1588,4678,466,75287,51048,16794,1565,1561,4677,465,76477,52664,17057,1821,1272,3353,175,1543,848,2322,70,1654,76208,51399,17272,1769,1229,3817,269,53311,40882,8747,937,735,2256,153,0,0,53490,41625,7989,1009,606,2178,78,987,496,1982,78,51,0,56184,39700,10907,1336,1051,3224,251,56184,39700,10907,1055,656,1602,84,1944,54965,41977,8562,1410,647,2297,53,0,0,0,0,55354,41651,8992,1363,784,2404,69,1175,638,1740,69,54647,41023,8852,1225,728,2698,81,989,531,1685,81,25704,7566,17004,24291,5770,18521,28348,5251,20736,28081,5156,20160,23692,4642,17657,23689,4224,17426,23576,4505,17229,23583,5019,16104,23583,4530,18195,23570,4574,17453,23530,5089,17608,26629,5043,19758,33537,6944,25657,26537,5273,19941,25528,5173,19193,25526,4636,19112,24194,5375,17800,25401,4573,19109,25425,4911,18597,25334,4796,18627,25340,4607,19983,29265,5949,22050,34118,6919,26460,33862,6771,24290,32791,1576,24216
34,34,70473,35743,20844,8021,5679,1068,1039,0,0,73161,32956,25236,7542,6104,1601,1521,0,0,74314,29652,25509,10392,8046,2223,1416,74504,29703,25574,10408,8049,2223,1416,75894,32102,27616,7986,6821,1412,1472,6830,5170,409,822,2471,77451,29154,31576,8529,7808,1123,1463,52708,29440,13254,5311,4244,750,643,0,0,48928,27202,11378,5245,3725,507,654,4855,3292,223,654,388,0,57971,25502,17836,7255,6356,1686,976,57971,25502,17836,5941,5042,226,484,2611,50492,26964,12346,5819,4066,507,629,0,0,0,0,49748,24549,13725,5584,4499,335,742,5190,3989,159,742,50855,25350,13842,5105,5298,351,440,4809,4573,79,440,27015,15915,10560,26545,15553,10992,27937,15180,11017,27454,14670,10439,22727,13195,8639,22725,12989,8629,22585,12437,8912,22588,12958,8389,22295,12215,9461,22563,12344,9192,22509,13102,8709,26008,14509,10167,32630,18574,13357,24833,14027,9926,22246,12524,9083,22162,12093,9288,21444,12609,8199,22089,11685,9436,22081,12491,8700,22036,12255,8441,21900,12466,9434,27168,15061,11228,32593,17351,14620,32078,17244,12869,31520,17669,13530
35,35,47624,24510,7990,3987,11213,601,821,0,0,67971,31419,12876,6596,16779,1048,1430,0,0,74345,31779,14130,7895,19825,1717,2090,74383,31790,14131,7895,19828,1717,2090,70406,32995,13827,7376,15760,1380,1608,5847,12319,229,607,4340,75836,34145,13525,8256,19575,1677,2037,34798,18881,5121,2564,8023,373,505,0,0,46470,24110,7333,3974,9581,522,386,3543,8714,149,386,660,0,55911,25265,9512,5262,14797,1263,1321,55911,25265,9512,4164,12690,186,596,3227,48677,25498,8036,4678,8828,500,392,0,0,0,0,53290,26567,8156,5250,11463,391,491,4825,10552,165,491,56842,28054,8348,5256,12852,416,502,4826,11889,150,502,13281,7645,5409,17503,9323,8180,24027,11973,10622,23609,11264,10382,21404,11642,8960,21400,11546,8903,21243,10854,9203,21286,11367,8803,21108,10915,9651,21226,10892,9292,21182,11450,9077,24573,12629,10803,35857,18503,16719,26201,13499,11895,25645,13052,11950,25612,12706,12124,24781,13187,10977,25498,12333,12155,25494,12946,11637,25433,12691,11447,25374,13042,12332,32207,16087,15233,41064,19573,20826,40338,19432,18818,39779,19782,19997
36,36,52198,37690,7430,4054,2268,1186,452,0,0,66546,43659,11084,6205,4524,1281,789,0,0,78327,49915,12678,6975,6734,2303,961,75157,48911,11885,5723,6627,2278,960,69272,45552,10659,6095,4578,1260,1590,4125,3384,511,1051,3626,78340,49806,12209,6455,6310,1849,1527,41788,31102,5070,3345,1610,867,280,0,0,50167,35406,6442,4405,2521,680,429,4059,2239,428,429,303,0,62771,41647,8916,5403,4891,1774,653,62771,41647,8916,4681,3854,419,257,2702,51319,37291,5583,4085,2490,735,805,0,0,0,0,59556,42266,7237,4407,3495,929,705,3816,2982,476,705,66792,45482,8853,5341,4795,1138,738,4537,4062,469,738,18237,8095,9434,19197,7879,11318,25156,8189,15433,24799,8143,13923,23884,8508,14079,23871,8235,13847,23730,7890,14274,23767,8479,13478,23597,7868,14980,23699,7924,14508,23629,8592,14266,26293,9045,15672,36949,13482,22689,29662,10786,17799,31601,11590,18841,31577,11238,19025,30197,12050,17001,31432,10686,19272,31434,11434,18536,31373,11242,17780,31317,11808,19509,37644,14052,22287,48213,17964,29390,47674,18058,26833,46815,18438,27433
