ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
144,WOR3,42725,29755,8791,2779,1770,344,48,0,0,43567,27758,12000,3088,1307,576,182,0,0,44935,25354,12893,4609,1963,997,108,43758,26891,12233,3977,1083,612,81,2362,852,66,0,1250,44955,27041,12882,4359,1146,578,38,32998,24796,5421,1689,1201,225,36,0,0,31930,22831,6618,1402,736,181,0,1199,676,79,0,119,0,35047,21605,8599,3131,1407,734,76,35047,21605,8599,2014,1198,61,14,1321,32434,22371,7202,1796,779,187,0,0,0,0,0,33766,22719,7986,1891,821,255,0,1493,540,34,0,33064,21664,8372,1916,839,193,4,1498,601,12,4,15397,9207,5864,16078,9574,6504,9476,5458,4018,9905,4065,5163,16859,9316,6187,12691,6948,5235,12534,3456,9029,12596,8166,4428,12252,6908,4509,12466,8265,3651,12282,7873,3909,15085,8290,6400,18185,10852,6856,17903,10980,6665,17490,9534,7494,17240,9459,7734,13457,12932,0
145,WOR4,40759,30745,5900,2563,1390,273,57,0,0,41606,28820,7676,3559,1716,445,55,0,0,43782,28039,8268,4079,1799,617,51,41581,29052,7140,3391,1691,282,34,2192,1164,54,0,1703,43620,30873,6071,3782,2137,387,65,31480,24789,3880,1661,948,185,35,0,0,30590,23345,4600,1567,776,159,0,1372,717,60,0,100,0,34876,23877,5610,2782,1302,467,34,34876,23877,5610,2063,1082,34,9,1555,30830,23915,4330,1622,774,139,0,0,0,0,0,33345,26260,3775,2047,1064,132,0,1777,904,45,0,33101,26045,4194,1553,1090,219,0,1393,883,16,0,18116,10063,7709,19088,10163,8925,12012,6453,5559,12501,4724,7029,19612,9840,8199,15267,7676,6951,15062,3593,11404,15147,9309,5834,14659,7869,5918,15024,9671,4851,14730,9010,5214,17922,9181,8241,21525,12344,8592,21150,12330,8451,20502,10955,9059,20281,10625,9641,19167,12286,0
146,WOR5,44309,42016,1026,582,423,381,38,0,0,45572,41947,1809,786,952,269,79,0,0,44743,39529,2323,1052,678,841,55,45523,41577,1708,1048,988,335,56,620,687,15,7,794,44615,40564,1893,1233,496,474,16,34043,32696,551,287,272,265,27,0,0,36000,34071,935,312,558,114,4,279,415,14,4,30,0,36065,32661,1457,583,444,634,34,36065,32661,1457,314,310,57,5,1151,36102,33791,1037,484,610,175,0,0,0,0,0,35535,33501,1130,429,217,238,0,325,98,19,0,36639,34369,1230,467,380,173,4,313,334,10,4,22573,11291,10719,22793,11197,11596,15708,7588,8120,16278,5472,9751,23566,9298,12086,18859,7853,10106,18642,3773,14781,18775,9785,8984,18248,8382,8534,18603,10447,7451,18352,9540,7927,21812,9254,11897,25879,12192,12965,25461,12488,12441,26018,11432,14035,25766,10761,14972,24181,13552,0
147,WOR6,40740,34034,5165,929,653,333,34,0,0,41608,32835,6623,1335,1003,407,41,0,0,42768,31390,8546,1546,891,743,60,42291,34040,6479,1444,760,155,64,674,398,0,0,688,42792,32231,7531,2289,1010,384,131,31338,27065,3247,582,429,234,22,0,0,32167,27008,3951,396,586,171,0,346,487,14,0,28,0,33966,25952,5958,1018,652,542,49,33966,25952,5958,530,480,78,9,827,32694,27716,4060,462,404,51,0,0,0,0,0,33036,26588,4840,827,633,111,0,703,471,15,0,32962,26112,5038,1021,654,88,4,847,522,15,4,18251,9888,7940,17770,9642,8128,11323,5726,5597,11722,4103,6951,19301,8485,9180,14394,6331,7394,14257,2955,11266,14264,7764,6489,13842,6622,6231,14157,8153,5478,13921,7568,5771,17292,7730,9081,21059,10334,10200,20680,10471,9942,21149,9562,11094,20833,9123,11687,19144,11724,0
148,WOR7,42172,39401,1069,635,842,240,32,0,0,43998,39922,1695,1072,1005,294,91,0,0,43358,37188,2187,1388,1509,620,33,43067,39006,1822,946,1044,303,124,552,791,20,84,779,43511,38686,1819,892,1392,383,49,33011,31233,620,388,575,170,21,0,0,33853,31712,880,505,543,186,20,396,521,14,20,31,0,34988,30771,1372,852,1079,453,25,34988,30771,1372,578,930,21,5,1117,32849,30703,847,441,561,217,35,0,0,0,0,33288,30585,1119,423,885,255,25,279,748,15,25,33257,30121,1321,537,910,283,0,360,718,11,0,21596,11222,9870,22028,11160,10868,14746,7318,7428,15281,5146,9377,23088,10253,10871,18701,8335,9444,18594,3587,14955,18594,10672,7914,17909,9171,7632,18365,11339,6559,18048,10405,6985,21613,9956,11057,25744,13351,11699,25289,13471,11497,25404,12357,12468,25091,11566,13509,23996,14784,0
149,WOR8,41805,39092,899,657,929,199,21,0,0,43392,40148,1146,894,828,283,0,0,0,43160,37973,1641,1041,1258,535,38,43929,39092,1311,1509,757,252,0,930,481,27,0,1954,43399,37943,1910,1281,879,217,56,31472,29770,548,369,591,155,14,0,0,32751,30963,727,423,417,219,0,373,324,40,0,0,0,34355,30818,1048,639,854,389,27,34355,30818,1048,391,684,40,6,1078,33095,31166,707,649,292,193,0,0,0,0,0,33113,30902,1000,540,434,154,0,335,340,0,0,33457,31015,1069,559,481,159,0,274,397,9,0,21052,10808,9806,21308,10629,10679,13915,6671,7244,14397,4910,8719,22593,9890,10716,17886,7971,9214,17736,3694,13993,17769,9958,7786,17170,8527,7539,17623,10634,6529,17320,9592,7146,21017,9580,10853,25426,13017,11685,25033,12993,11728,25553,12187,12799,25230,11281,13888,19941,16279,0
150,WOR9,40973,37266,1015,564,1933,201,38,0,0,43219,35608,2491,2090,2884,301,290,0,0,43999,36826,1969,1156,2841,484,40,43615,35563,2788,1819,3300,274,219,1187,2157,45,31,1676,43990,35976,3037,1617,2867,234,35,30282,28021,610,333,1181,133,20,0,0,31785,27820,1445,1077,1165,148,19,1018,965,45,19,90,0,34350,29497,1297,721,1937,373,33,34350,29497,1297,483,1777,22,5,1082,32520,28170,1630,998,1475,144,29,0,0,0,0,32900,28705,1675,866,1470,170,10,702,1160,65,10,33470,29496,1613,596,1591,156,4,448,1339,46,4,20565,10414,9723,19631,9565,10066,14321,6493,7828,14866,4888,9315,22991,11093,9678,19187,9373,9024,19013,4008,14974,19029,11396,7632,18272,9687,7351,18823,11808,6496,18461,10834,7026,21931,10940,10374,25981,15032,10243,25620,14683,10675,25793,14110,10923,25496,13081,12385,24482,15431,0
151,WOR10,39749,34296,2515,931,1006,195,33,0,0,40945,32679,4249,1307,1069,230,21,0,0,42624,30968,4182,1477,1179,605,48,41038,32578,3967,1670,1041,333,33,1052,862,27,0,1150,42461,32612,3922,2186,1138,774,0,30173,26456,1665,607,666,132,24,0,0,27825,25195,1564,499,478,55,0,394,443,20,0,50,0,33364,25225,2743,976,907,412,38,33364,25225,2743,570,753,23,1,2535,28145,25425,1465,619,534,94,0,0,0,0,0,28460,25535,1390,825,703,43,0,725,543,0,0,28262,24372,2213,747,835,57,16,636,674,45,16,18826,10433,8050,18151,9701,8450,13346,7010,6336,13906,5203,8075,20563,10659,8306,16099,8178,7343,15971,3598,12321,15897,10050,5835,15218,8444,5787,15743,10518,4841,15395,9465,5493,18743,9748,8539,22299,13052,8703,21949,13005,8757,21440,11612,9247,21068,10843,10184,15186,14726,0
152,WOR11,37452,28951,1011,900,6164,120,16,0,0,39467,27300,1866,1794,8398,174,45,0,0,41843,25996,1802,1395,11311,335,35,40632,26864,2127,1505,10406,139,13,643,9900,54,0,826,42244,26294,2111,2114,11137,105,19,27727,21998,674,628,4091,82,12,0,0,25756,20954,1010,775,2890,90,0,740,2850,47,0,21,0,32129,21335,1163,933,7657,237,23,32129,21335,1163,749,7409,20,4,1133,25861,20843,1160,582,3228,75,0,0,0,0,0,26835,21151,1292,1081,3228,65,0,1012,3175,51,0,27095,21246,1161,833,3812,31,0,758,3683,0,0,19026,10831,7863,17799,9662,8137,13850,7290,6560,14432,5110,8841,19969,11289,7108,17257,9652,6997,17313,3985,13315,17217,11434,5780,16430,9723,5825,16848,11590,4895,16569,10857,5294,19508,10939,8122,22893,14842,7521,22623,14437,8037,21464,12812,7850,21203,12355,8822,20677,13507,0
153,WOR12,40229,34748,2865,1461,1006,254,29,0,0,41470,35320,3667,1397,1209,202,17,0,0,43699,34487,4260,1792,1566,644,136,41287,35719,3274,1109,1124,265,13,646,846,8,13,618,43816,37076,3692,1051,1446,391,17,31072,27250,1968,1063,644,183,19,0,0,31095,27278,2362,731,682,43,15,681,556,6,15,10,0,35075,28386,3084,1381,1096,476,94,35075,28386,3084,925,898,47,5,1369,31657,28069,2161,585,812,72,15,0,0,0,0,34032,30228,2294,523,886,181,0,469,772,24,0,34418,30107,2715,695,693,180,0,639,549,15,0,21060,11009,9586,22055,11214,10841,15538,7726,7812,15951,5903,9283,23105,11492,9374,19278,9562,8921,19054,4373,14601,19167,11495,7664,18560,9740,7507,18989,12093,6274,18621,10998,6920,21894,11056,10171,25687,14857,10008,25318,14530,10465,25360,14087,10547,24992,13058,11873,21322,16922,0
