ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
20,20,124085,99740,11085,2615,8780,2481,814,0,0,140256,109550,12880,3429,11383,3311,1592,0,0,141874,102308,15563,4383,13978,5084,1295,142907,111209,13602,3169,11801,2995,1649,1497,8343,764,216,610,6660,141872,108065,13468,4052,12889,3275,1475,93830,78239,6589,1462,6025,1650,519,0,0,105238,87200,6177,1925,6792,1930,307,1324,5844,871,940,0,110549,82958,10205,2825,10127,3645,865,110549,82958,10205,1745,8353,668,391,560,5669,107792,88864,6794,1810,7010,1857,195,0,0,0,0,0,107529,87690,7360,2100,7633,1624,214,1248,6400,369,214,108291,86134,8755,2409,8381,1743,227,1491,7037,272,227,56410,31301,23973,54803,29538,25265,65235,31824,25845,63550,35209,22439,63319,30681,28941,60130,32342,25725,60302,28330,28165,72446,38635,30189,80101,44600,32893,77485,43197,31208,74807,40835,31950,75941,37491,33432,75042,37807,32146
21,21,126372,107090,7387,3118,6805,2737,509,0,0,140226,114652,10615,3531,9845,2541,751,0,0,140636,109358,11026,4443,10249,4411,1005,141828,114801,11342,3871,9966,2356,989,2163,6566,231,270,785,5674,140904,111316,12586,4260,10155,2448,1318,105348,91207,5148,2103,5189,2082,351,0,0,112982,96212,6419,2122,5917,1467,220,1494,4647,406,638,0,119303,94663,8510,3350,7910,3615,705,119303,94663,8510,2002,5346,574,232,760,7216,115292,97308,7767,2322,5543,1392,214,0,0,0,0,0,114915,95949,8615,2658,5478,1289,201,1843,3894,242,201,114644,93385,9255,3188,6208,1749,171,2072,4196,314,171,75730,61865,12172,71142,59313,11829,82070,63852,10291,79787,60858,8771,78984,61737,13463,75350,61725,11495,79298,63200,13445,88801,73283,11788,94911,80247,11982,93360,77954,11475,90439,76419,12300,91099,70719,13336,90116,70185,13456
22,22,126539,82437,14692,20757,6558,3882,1596,0,0,141963,97396,16039,17825,8891,3770,1269,0,0,142070,91158,18497,17614,9637,5740,1732,144222,96904,14914,20024,9505,4115,1352,15729,6341,923,724,838,7847,141543,92458,15743,19171,10084,4867,1882,101764,71209,9199,14574,4777,2712,1119,0,0,109375,81413,7702,12150,5545,1719,339,10916,4211,709,622,0,118239,79406,13268,13430,7648,4345,1284,118239,79406,13268,10968,5083,767,660,769,7318,112903,82467,8072,13353,5935,2025,512,0,0,0,0,0,111639,80390,9121,12342,6131,2130,648,11040,4541,712,648,112990,80146,10184,11778,6784,1960,942,10421,4832,520,942,69847,61032,7332,67506,60737,6769,77434,64925,5852,75122,60670,4894,74382,62710,8386,70921,62044,6961,74663,64036,8295,82758,72804,6807,88036,78984,6770,86669,76746,6438,84121,75443,7235,84631,70487,7747,83720,69699,8248
23,23,131849,91516,12934,8938,16018,3410,1250,0,0,141290,98358,13445,7958,18709,3475,1434,0,0,139900,90227,15361,10428,18590,5268,1498,142597,99848,12979,8869,17606,3179,1341,6367,14426,955,576,557,6895,139536,95321,12449,9109,19344,4326,1231,104675,77149,8226,5490,11725,2360,808,0,0,106949,82073,6853,4688,10783,1891,157,4084,9638,778,590,0,113971,76982,10848,7188,14485,4026,1022,113971,76982,10848,5303,12290,812,559,656,6521,110384,84610,6801,5602,10915,1894,195,0,0,0,0,0,109004,81881,6782,5911,11939,1975,230,4673,10360,769,230,107632,78401,8514,6096,11993,1745,451,4680,10039,525,451,63786,49876,12453,61519,50115,11404,71193,53926,10132,68984,52244,8055,68275,52247,12386,64781,52195,10513,68454,53316,12347,76941,61693,11791,82448,67503,12558,80757,65654,11607,78079,64055,12306,78789,59709,13137,77961,59127,13141
24,24,128597,85182,17148,9257,14606,3155,1433,0,0,139026,83098,19115,13145,19869,3586,2682,0,0,139993,79221,20795,13776,21074,5361,2312,136278,79976,19636,11998,20398,3908,2804,8750,18348,1150,2215,275,5932,135590,79687,19598,12936,18994,4454,1986,96100,68345,10059,5358,10357,2126,846,0,0,94222,66914,7230,6663,10197,1767,892,5592,9481,867,536,0,109523,66428,13814,8925,15998,4030,1541,109523,66428,13814,7037,14339,835,1091,513,5466,92692,65390,7507,6001,10446,1921,938,0,0,0,0,0,96639,66969,8287,6888,11530,1931,533,5734,10819,858,533,96886,65534,9087,7571,11961,2019,502,6315,11171,609,502,48364,29615,17694,46604,29202,17402,53708,29919,18034,52057,32016,14300,51710,29051,19301,48649,29821,17043,49570,27621,18844,59320,35374,20953,65080,39672,23400,63286,38969,21586,61188,37168,22338,61937,34538,23067,61166,34316,22295
25,25,130698,90052,24357,6270,7505,3428,1456,0,0,136262,84823,29606,9905,8837,4319,1922,0,0,140856,84054,30156,10086,10937,6576,2198,138100,87289,30035,9429,8678,4814,1730,5303,6107,1490,891,187,6786,141907,86220,32008,9483,10479,5720,2432,96103,71280,13987,3764,5155,2229,877,0,0,90509,68530,9061,5204,4528,2089,573,4215,3804,1084,555,0,107900,69604,19288,6507,8036,4698,1475,107900,69604,19288,4761,6366,868,973,449,5591,91827,69827,9734,4518,4446,2249,465,0,0,0,0,0,95839,69890,11612,4519,5896,2313,684,3535,4730,911,684,95156,68222,12251,5070,6194,2188,431,4256,4977,604,431,48563,28084,19456,47019,26898,20121,53038,26012,20795,51157,29109,16466,50929,25397,22084,47753,26439,19632,47340,23053,21042,58101,31379,23643,64070,35889,26008,62131,35028,24419,60209,33340,25183,60921,30650,25915,60337,31009,24828
26,26,129695,106006,17453,1060,2631,2831,629,0,0,137406,110940,19353,1602,3586,2560,462,0,0,141393,107951,21473,1674,3975,5295,984,136339,109642,19673,1467,3398,2521,405,488,1846,721,168,114,3697,139066,109155,20576,1540,3489,3072,182,98409,83987,10264,546,1741,1940,375,0,0,100275,88730,6839,791,1844,1659,108,532,1360,666,308,0,110586,88041,14048,921,2675,3879,625,110586,88041,14048,411,1649,788,244,477,4928,99912,88494,7032,775,1827,1553,93,0,0,0,0,0,103150,89610,8371,869,2096,2057,18,460,1435,607,18,105431,89072,10577,768,2464,2116,226,352,1590,463,226,63027,32490,29074,60088,29705,30383,69003,28548,32948,67474,34126,27112,67406,28676,34859,63498,29986,31276,65054,26809,34197,76625,34764,38204,83753,39037,41912,81622,38873,39833,79277,36591,40396,80313,33589,41725,79432,34319,39811
27,27,109606,95857,9018,908,2023,2106,413,0,0,131703,112817,12216,1503,3533,2409,573,0,0,140326,115470,13082,1675,4330,4158,831,137702,117637,12582,1674,3668,2214,843,798,1833,468,46,207,4138,143604,120815,13046,1938,3919,2923,847,83941,75400,5437,448,1320,1459,266,0,0,100271,90435,5691,669,1784,1354,53,515,1292,477,297,0,110996,94105,8554,997,2996,3052,555,110996,94105,8554,406,1664,557,155,535,5020,105077,94379,6098,795,1878,1361,62,0,0,0,0,0,110120,98399,6401,776,1984,1930,71,430,1151,528,71,115224,101862,7668,700,2195,1961,178,310,1012,386,178,54368,28506,24837,55049,27486,27563,68581,32691,28233,67043,38214,22732,66652,32109,30577,62379,32304,28021,67508,31688,32215,79702,43814,32315,87527,50994,33879,85691,49983,32668,83709,47501,34257,84142,42306,36497,83249,42877,34897
28,28,128690,108394,11987,1231,1782,6137,432,0,0,135560,111284,15026,1947,2112,6063,597,0,0,140419,109258,16343,1917,2795,9266,758,136957,111615,15763,1739,1925,6244,497,873,996,3015,127,183,4379,140889,110721,18429,1970,2498,7317,716,100323,87558,7043,669,1228,4141,272,0,0,104255,91172,6849,879,1055,3885,117,542,684,2371,264,0,112065,90599,10598,1139,1865,6700,495,112065,90599,10598,577,1054,2297,173,682,6085,105600,92294,7140,840,1036,4049,90,0,0,0,0,0,108102,92591,8602,893,1311,4366,171,732,690,1904,171,109181,92752,9253,969,1133,4575,132,712,541,1538,132,59509,21142,36821,56148,18939,37209,65527,17460,42180,64236,27390,31214,64083,19540,39858,60717,19872,38762,60950,15486,40118,73125,22816,47111,79829,25522,52152,78166,26646,49120,76581,24648,49933,77003,21672,51566,76536,22455,48645
29,29,134261,99436,23769,1333,1659,8884,594,0,0,136459,96469,27495,1774,2186,9823,1259,0,0,140257,94349,30382,1990,2176,11200,1203,136624,96114,28109,1887,2082,9427,1075,1047,1099,5353,607,385,3901,140236,96530,30175,1910,2169,9309,849,100364,78862,13953,850,1104,5891,361,0,0,95878,77395,10427,961,1033,5550,285,792,745,4214,308,0,106807,76379,19281,1294,1468,7887,732,106807,76379,19281,754,818,4384,464,412,4315,96438,77438,11118,1091,927,5467,218,0,0,0,0,0,99779,78877,12886,1173,962,5378,281,826,594,3675,281,99374,78027,13139,1257,957,5398,321,790,605,3266,321,53111,19899,31577,49311,17378,31933,54581,14688,34395,53497,22887,25690,53486,16157,33705,50238,17569,31021,48988,13368,31823,59509,18717,38185,65005,20316,42792,63533,21627,40038,62003,19838,40225,62741,17764,42062,62149,18319,39603
30,30,129395,104819,18362,1078,1617,4208,329,0,0,134313,107176,19587,1341,1667,4872,712,0,0,141671,108611,21491,1787,2226,6962,617,135404,106486,20307,1391,1869,5253,657,718,921,2203,247,83,4442,140741,108751,22162,1518,1814,6412,658,99561,84417,10718,713,1116,2853,196,0,0,101782,87639,8768,730,884,3404,86,626,588,1601,257,0,111707,89296,13636,1205,1586,5063,413,111707,89296,13636,724,885,1575,115,464,5012,103407,88152,9404,774,1092,3659,102,0,0,0,0,0,106841,90826,10009,903,981,3657,81,588,596,1605,81,110968,93058,11374,1318,1171,3616,86,840,595,1363,86,58173,19244,37111,55006,16743,38263,64257,14962,43475,63163,25076,32896,63239,16550,42303,59354,18006,39502,59314,13373,41540,70726,19687,48204,76872,21541,53329,75461,23106,50264,73835,20956,50852,74657,18690,52630,73990,19309,49737
