ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
10,10,39808,38275,416,328,322,489,22,0,0,39950,38569,339,402,211,437,0,0,0,40763,37734,656,514,556,996,56,40320,38681,414,435,362,420,0,203,40,199,0,758,41622,39052,662,438,441,454,0,31278,30336,256,153,213,339,18,0,0,31420,30525,227,235,109,324,0,193,51,139,0,0,0,32581,30576,409,301,348,717,34,32581,30576,409,155,238,186,8,919,31205,30190,221,257,235,308,0,0,0,0,0,32695,31535,384,182,257,334,0,88,26,87,0,32616,31197,419,155,441,366,38,91,255,60,38,22622,10918,11304,21878,10610,11268,23244,9116,12340,19245,1396,8614,19061,8162,9832,22754,8804,12718,25154,11031,13348,25114,8226,15500
11,11,38786,37453,349,251,232,516,24,0,0,39539,37630,586,464,338,499,80,0,0,39607,36883,559,375,379,982,44,39723,37650,618,437,337,480,87,164,158,160,0,790,39772,37108,656,443,330,482,93,30639,29785,212,114,137,376,17,0,0,31740,30580,363,218,182,367,0,146,115,152,0,43,0,32289,30367,371,222,255,728,35,32289,30367,371,99,169,103,12,1066,31915,30715,407,200,180,375,0,0,0,0,0,32225,30880,508,208,209,407,0,122,122,106,0,32650,31343,477,215,177,391,5,95,97,53,5,21883,11967,9423,20458,11348,9110,22827,10530,10402,19819,1999,7270,19656,10170,8403,22517,10453,10610,24487,12478,11225,24465,9880,12572
12,12,38136,36795,331,305,270,443,17,0,0,38251,36396,584,491,330,552,64,0,0,38923,35972,640,514,434,817,56,38179,36220,594,521,352,536,42,170,196,218,5,740,38931,36723,674,493,394,560,74,30748,29837,223,188,165,342,7,0,0,30971,29861,324,261,100,370,4,168,53,93,4,44,0,32304,30122,451,362,317,640,53,32304,30122,451,224,202,114,17,1069,31028,29903,365,266,84,401,4,0,0,0,0,31710,30491,374,302,90,399,4,130,31,53,4,32162,30743,466,281,139,428,9,72,83,33,9,21934,13271,8213,20649,12783,7866,22292,12186,8643,19746,2177,5916,19616,11390,7293,22636,12244,9159,24859,14797,9456,24886,11964,11130
13,13,36887,35760,292,217,276,399,19,0,0,36574,34928,457,207,472,483,28,0,0,37736,35358,462,331,400,850,47,36686,34654,442,328,380,464,18,177,303,156,0,949,38006,35536,567,419,465,424,13,29874,29159,175,106,160,282,4,0,0,30125,29050,309,98,273,393,0,78,224,181,0,34,0,31419,29655,319,200,269,663,28,31419,29655,319,131,182,103,11,929,30215,29195,312,138,214,337,0,0,0,0,0,31435,30170,439,227,316,284,0,135,253,134,0,31874,30659,375,205,330,314,0,122,223,98,0,22958,12380,10065,21361,11867,9494,22836,10613,10554,20202,1687,7389,20029,9984,8954,22950,10735,10928,25027,13172,11141,25075,10464,13027
14,14,38333,36908,354,293,342,485,19,0,0,38008,36061,569,646,275,623,17,0,0,38962,35922,651,505,442,1066,33,37843,36299,417,519,213,528,6,290,135,191,0,511,38768,36245,846,569,330,545,0,30261,29364,215,142,189,366,11,0,0,29735,28630,243,306,151,378,0,242,118,186,0,8,0,31497,29290,425,295,321,833,26,31497,29290,425,146,199,117,4,1218,29580,28650,196,223,115,346,0,0,0,0,0,30775,29485,454,317,134,322,0,184,72,45,0,31794,30234,642,310,164,336,0,190,118,49,0,22386,12318,9633,21021,11863,9158,22650,10224,10648,19335,1525,7236,19331,9362,8756,22390,10013,11048,24405,12088,11528,24452,9595,13316
15,15,36841,34962,466,449,456,541,48,0,0,36181,34299,531,410,588,294,177,0,0,37443,33997,776,560,716,997,62,36400,34150,552,590,569,379,53,368,375,197,11,700,37455,35044,663,586,422,498,0,29371,28144,287,249,306,393,31,0,0,29270,28130,366,218,231,285,19,148,117,178,19,40,0,30504,28101,511,360,485,738,39,30504,28101,511,206,392,130,17,1065,29280,27795,416,343,355,354,10,0,0,0,0,30130,28605,497,352,288,422,0,313,197,117,0,29989,28232,608,405,304,431,0,293,247,68,0,19574,10904,8228,18170,10266,7904,19465,8515,9454,16528,1321,6518,16571,7793,7825,19415,8434,9852,21346,10294,10382,21346,8181,11814
16,16,38532,36493,582,478,493,528,41,0,0,39223,37020,601,495,699,487,81,0,0,38496,34524,975,809,777,1090,48,39453,36961,817,505,790,480,79,243,598,37,29,769,38823,35700,709,541,963,900,16,30625,29297,362,246,352,375,21,0,0,30837,29509,441,261,298,272,20,196,204,69,20,30,0,31368,28553,617,510,598,799,34,31368,28553,617,307,403,123,9,1271,31599,30188,514,280,306,253,20,0,0,0,0,30605,28989,502,303,295,456,0,170,153,103,0,32537,30549,669,326,440,493,0,213,177,59,0,19318,11722,7226,18086,10839,7247,19396,9088,8704,16042,1811,5791,15866,8151,6739,18999,8902,8892,20942,10804,9494,20926,8631,10770
17,17,37957,36490,529,300,240,445,12,0,0,37935,35816,705,379,366,1173,40,0,0,38751,35879,599,553,352,1001,39,38112,35918,685,402,447,1076,34,75,179,21,0,1227,38911,37036,581,615,290,217,15,29193,28321,291,138,140,306,9,0,0,28985,27830,345,126,149,468,0,68,57,22,0,34,0,30805,28838,370,289,219,757,26,30805,28838,370,159,136,114,7,1108,29565,28415,369,154,156,452,0,0,0,0,0,30350,29450,386,245,103,139,4,130,22,14,4,31171,30338,257,246,142,185,13,124,118,10,13,20477,10636,9341,19451,10096,9355,21176,7215,12314,17061,1147,8022,16931,6281,9344,20312,6968,12116,22390,8648,13071,22374,6776,14285
18,18,39209,37576,387,325,363,531,32,0,0,39915,38170,472,377,340,666,7,0,0,39472,36446,614,455,415,1056,39,39730,37685,659,317,221,664,3,142,143,57,3,1027,39438,36661,701,628,318,563,4,30696,29704,234,171,193,381,19,0,0,31317,30381,287,155,186,354,4,90,117,18,4,4,0,31825,29801,364,240,270,759,28,31825,29801,364,102,170,94,10,1204,31882,30778,436,169,106,396,4,0,0,0,0,31875,30600,432,296,206,353,4,162,104,64,4,32865,31694,323,168,138,454,0,63,76,98,0,21370,11566,9297,19555,10645,8910,21350,8286,11209,17825,1434,7528,17764,7280,8794,21211,8427,11347,23490,10731,12061,23478,8487,13548
19,19,39647,38353,424,202,221,442,26,0,0,38379,36537,596,362,497,556,8,0,0,38926,36228,545,398,275,1042,37,38787,36784,484,322,615,582,46,138,345,92,7,829,39650,37381,528,324,345,603,39,31516,30702,234,97,140,343,13,0,0,31842,30617,376,237,259,351,4,122,127,116,4,16,0,31715,29849,324,200,196,787,27,31715,29849,324,91,121,97,6,1150,31871,30701,326,218,270,319,4,0,0,0,0,32883,31677,400,194,154,423,4,107,60,35,4,32402,31208,326,242,270,339,0,163,203,41,0,22194,12856,8590,19946,11910,8036,21851,8720,11167,18024,1539,7285,18011,7683,8533,21130,8280,11333,23024,9966,12351,22949,7885,13566
20,20,37821,35709,457,866,425,394,38,0,0,38464,35566,508,583,605,1530,19,0,0,39816,35631,804,1587,542,944,42,38669,35923,514,538,629,1258,16,277,407,45,0,1306,39802,37408,629,885,589,599,0,29298,28097,255,389,265,287,25,0,0,29698,28228,256,142,221,802,0,114,158,41,0,57,0,31673,28982,513,890,356,680,26,31673,28982,513,697,234,111,8,1038,29805,28310,345,142,323,645,0,0,0,0,0,30955,29730,407,195,302,251,0,183,189,25,0,31191,29611,636,367,332,260,0,329,262,22,0,20178,11300,8468,19253,10836,8417,20703,9051,9951,17526,1470,7324,17348,7884,8278,20376,8935,10171,22342,11194,10429,22345,8874,12024
