ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
23,23,251490,232125,8203,4763,4732,2267,138,0,0,265017,240808,9654,6382,7210,1535,71,0,0,264199,230322,11390,6544,7833,5805,155,265622,238454,10586,6537,7307,1885,139,4562,5457,405,0,1232,4926,262674,232016,10332,7555,7597,2969,194,186733,174974,4764,2746,2916,1537,78,0,0,199458,186408,4900,3373,3816,915,0,2957,3087,274,74,0,206048,183176,7236,4139,5258,4281,102,206048,183176,7236,3029,4220,441,37,566,7343,200616,186537,5596,3671,3713,1135,0,0,0,0,0,0,199801,184367,5734,4658,3453,1524,0,4080,2784,406,0,201809,184212,7263,4063,4345,1706,46,3224,3241,327,46,138986,59798,76522,135495,53784,81711,143665,46682,89196,131220,51171,77929,131378,53366,74411,127421,46175,75691,145002,54073,87097,170084,64971,102490,168061,62678,102903
24,24,234012,209981,5588,10385,6906,1564,189,0,0,254178,221091,6290,16155,9245,1735,199,0,0,258723,218205,8496,16422,9982,3850,205,256168,223075,5906,15601,9184,1843,173,12961,7244,634,0,283,6064,257754,220561,7025,17052,9617,1868,237,177078,161438,3427,6799,4594,1001,122,0,0,189653,169579,2910,11074,4611,1060,0,10453,3947,386,466,0,204277,175716,5562,11818,7037,2781,138,204277,175716,5562,10524,5863,278,30,432,5872,192017,172511,3053,10632,4308,1142,0,0,0,0,0,0,194646,172759,3669,11700,5007,1088,0,10590,4179,253,0,197471,174033,4541,11657,5584,1376,132,10243,4742,217,132,121383,55943,63487,127160,54838,72322,131987,45132,81692,116131,49041,65761,116361,49670,64273,112964,43280,65729,131949,51285,78021,159005,60486,96722,156568,60256,94031
25,25,269917,249840,8129,7858,1798,3003,168,0,0,261978,239660,9153,8429,2164,3241,404,0,0,264345,235725,9626,9163,2243,5947,221,261452,238333,9356,8472,2132,3202,496,5651,1038,390,344,302,6042,264174,238893,10148,8917,2054,3310,443,206288,193797,4831,4843,1089,1990,102,0,0,203479,189723,5372,5181,1048,1888,28,4326,766,385,219,0,209073,189877,6157,5774,1509,4195,135,209073,189877,6157,4570,970,667,51,454,6327,203811,189776,5445,5381,1028,2040,28,0,0,0,0,0,206197,191240,6049,5718,985,2233,14,4635,501,383,14,206374,190980,6282,6082,1109,1786,39,4801,687,163,39,132281,64924,64127,120416,54027,66389,126281,38168,81561,108901,42441,63926,108972,42791,62339,106239,36477,63997,123911,42956,77272,148659,48080,98336,146209,49619,93413
26,26,265013,241153,10010,9751,1606,3277,124,0,0,256619,230698,11873,9490,2233,3210,267,0,0,260766,226563,11907,11330,2155,6969,211,256499,228439,11776,10945,2544,3587,223,7909,1285,702,35,167,6182,260706,229949,12200,11908,2643,3430,151,203022,187735,5972,6405,1003,2221,80,0,0,201204,184879,6707,6362,1070,1997,23,5934,760,591,168,0,206886,183108,7667,7712,1429,5194,134,206886,183108,7667,6468,906,725,37,440,7535,201216,183676,6761,7179,1230,2194,18,0,0,0,0,0,205584,187204,6926,7714,1402,2197,8,6744,773,384,8,204892,186422,7306,7642,1301,2118,18,6230,638,303,18,139767,74041,62671,131769,67105,64664,133262,47542,78845,115462,50049,62886,115620,51900,60090,112873,43364,63482,129343,51475,74096,150993,56905,91777,149233,58930,87439
27,27,281092,176350,9104,89483,4361,4350,254,0,0,268207,168314,9538,85113,4392,4497,391,0,0,259877,155636,10963,82484,4668,6643,270,266836,165771,9754,84687,4722,4062,443,75509,3176,752,8,1520,10346,259332,158687,10033,83017,4539,4392,316,209107,138593,5528,60168,3043,3047,159,0,0,203007,133647,5977,58569,2395,2871,10,56287,2077,740,486,0,200250,126163,7329,58223,3429,5009,179,200250,126163,7329,54609,2651,720,45,679,8054,202323,133464,6102,58068,2375,2472,10,0,0,0,0,0,197154,129214,6118,57162,2189,2166,29,54500,1784,504,29,196541,127464,7351,56713,2581,2107,45,53797,2175,570,45,142734,100518,39998,128314,89603,38711,121378,72732,43444,103466,65698,35478,103590,67887,32804,101627,60872,35736,116205,72075,40985,134853,82651,50326,133662,82767,48247
28,28,256232,218585,10396,12350,13121,2942,264,0,0,261065,216262,12767,13139,17059,3248,225,0,0,261214,208774,13444,16597,16041,5437,337,261283,215398,12170,14235,16722,3098,230,9888,13883,572,15,831,8524,258034,211448,12639,14223,16372,3325,228,203721,176415,6858,8411,10505,2049,182,0,0,200006,175287,7782,8335,6415,1962,14,6991,5497,495,385,0,210771,171634,9225,12181,12540,3989,254,210771,171634,9225,10192,11150,630,87,718,7135,200973,175801,7419,9068,6345,1999,15,0,0,0,0,0,199885,173396,8305,9625,6448,1911,4,7610,5037,447,4,202001,173905,9300,9076,7515,1711,8,6991,5530,299,8,135677,79938,53297,124162,69959,54203,126816,64391,54952,114247,64337,47885,114457,67205,44234,112237,58244,49247,124121,67682,53157,140318,76771,61188,139205,75339,61732
29,29,244548,150439,38106,47716,9408,3553,387,0,0,262004,150742,47477,52943,12549,4830,331,0,0,263780,145823,48920,52712,14616,6459,354,262617,151142,46732,54702,12776,4772,306,41690,10534,702,86,259,11470,264323,150408,47630,54719,13689,4509,474,179468,120527,22342,30147,6389,2253,238,0,0,175127,121291,16068,30673,4757,2025,68,28239,4255,630,605,0,200247,121293,31031,35114,10524,4556,235,200247,121293,31031,30776,9276,544,50,716,6561,177986,123029,16998,30933,4708,1823,84,0,0,0,0,0,181952,124377,19380,30692,5645,1556,100,27089,4765,404,100,182905,121863,20569,32248,6347,1335,9,28672,5203,302,9,113375,65738,45885,106516,59573,46943,110650,62257,41439,98312,57761,38215,98549,59582,35949,96373,54012,37571,109663,64929,41166,127919,80339,45070,127183,75660,48920
30,30,248996,208530,16456,17112,5665,3054,258,0,0,266464,221667,15824,19833,8349,3722,331,0,0,271211,216019,20157,20478,8856,5738,383,268596,219999,17031,20154,8787,3981,338,13437,6142,542,72,1594,9787,269149,218730,18268,20199,8802,3935,274,188506,163756,9441,10202,3779,1985,159,0,0,200126,176067,7201,10768,3972,1599,44,9167,3339,477,628,0,212420,175285,13136,13192,6180,4031,254,212420,175285,13136,10757,4892,700,50,625,6975,201877,176109,8495,10831,4257,1927,46,0,0,0,0,0,205193,176656,10343,11230,4817,1715,30,9191,3555,464,30,205696,176374,11224,11601,4652,1460,81,9430,3557,363,81,129125,61236,65575,121989,53220,68769,131059,56304,65948,121275,58165,60495,121691,60154,57702,118557,52650,60036,133088,62994,65725,154039,78355,72539,153153,72655,77731
31,31,238858,201903,23099,5139,7933,2200,233,0,0,255938,211576,28318,6411,9785,2372,274,0,0,264573,212884,29032,7625,10239,5191,358,258283,211832,28794,6924,9684,2503,252,3903,6651,468,41,1031,5563,265055,215379,30007,8160,10158,3083,484,175120,153234,13534,2610,4862,1385,132,0,0,187091,163980,14039,2951,4863,1306,25,2206,4296,484,184,0,200843,167340,18527,4219,6855,3491,237,200843,167340,18527,2832,5872,447,59,493,5273,189645,165040,15071,3313,5046,1105,29,0,0,0,0,0,196069,169233,16491,3823,5213,1155,50,2946,4612,325,50,199263,172191,16254,4226,5240,1122,61,3117,4562,257,61,127080,47278,77764,122915,40327,82588,131558,42589,81185,119449,43037,74421,119748,44706,71823,116622,38108,73657,132764,47506,81674,156018,61415,91886,155058,55838,97085
32,32,257225,209438,13345,28798,1911,5279,171,0,0,258722,207510,15834,29151,2385,5221,130,0,0,261805,204357,16252,29020,2699,8516,293,258949,207074,16226,29134,2689,5151,117,23933,1410,2070,29,102,8100,262310,207637,17078,29821,2763,5364,461,196267,165611,7534,19038,1183,3599,94,0,0,198283,166808,7635,19302,1069,3285,35,17928,679,1913,212,0,205945,166764,10125,19918,1796,6063,165,205945,166764,10125,18116,1130,1669,38,512,7591,199171,167394,7804,19322,1219,3306,35,0,0,0,0,0,203408,169848,8778,20029,1338,3387,53,18035,936,1550,53,204719,170819,9337,19391,1507,3356,109,16908,933,1152,109,129746,77779,49368,117240,64987,52253,121368,54020,60261,109329,53716,52681,109641,55188,50858,106628,48062,52485,121210,56969,60423,143501,66937,74160,141808,64887,73877
33,33,252857,231612,9890,7384,1653,2928,161,0,0,260794,236866,10970,8733,2127,2839,319,0,0,267378,234208,13697,9108,2393,5941,316,262676,236503,11793,8425,2241,3187,264,5890,1365,838,20,707,5556,267976,236552,12359,9684,2471,4418,469,188838,174880,5487,5819,926,1958,93,0,0,197881,183605,5493,5854,880,1755,70,5202,618,757,260,0,207138,183636,8976,7233,1441,4219,195,207138,183636,8976,6188,901,759,49,426,6203,200414,185199,6170,5923,950,2010,19,0,0,0,0,0,206084,187680,6590,6934,1324,2972,65,5798,753,706,65,208677,188832,7901,6894,1419,3258,84,5163,729,724,84,117620,53461,61315,109929,45409,64520,117255,34987,75087,104681,38467,63532,105000,39611,61535,102139,32249,63516,118141,39402,74811,141709,45839,93337,140037,44482,92564
34,34,281407,258712,7300,7639,2535,6234,200,0,0,278637,252597,8725,8638,3223,6661,257,0,0,268708,237040,9832,8463,2927,9055,242,278753,251117,9078,8925,3183,6779,230,6209,2065,2939,27,477,6842,270086,241011,9654,9048,3090,6614,151,223029,207205,4499,5766,1923,4093,126,0,0,222390,204970,5494,6183,1209,4170,40,5506,884,2366,347,0,213991,191160,6440,6281,2161,6513,139,213991,191160,6440,4997,1545,2237,33,490,7089,223045,205362,5594,6335,1269,4401,15,0,0,0,0,0,216247,198298,5910,6205,1423,4182,30,5106,942,2147,30,215980,197079,6546,6512,1505,4099,31,5234,1038,1805,31,126842,64899,58931,113608,53776,59832,117272,40201,70569,103482,41935,58944,103680,42770,57317,101352,35672,58588,115928,43021,69282,137967,48705,87021,136432,49501,84597
35,35,280182,215500,18234,41056,4700,3054,261,0,0,272243,205538,19533,40031,5663,3807,251,0,0,270366,199029,20834,39341,5578,5981,326,270776,203699,20496,39653,5690,3708,356,34141,4220,717,115,236,7153,270259,202107,21090,39298,5846,3744,343,214610,171785,11175,27260,3261,2049,169,0,0,209409,166059,12002,26599,2505,2079,42,25034,2224,673,384,0,211487,162696,13376,26554,4008,4286,201,211487,162696,13376,23888,3285,594,102,751,6795,209806,165777,12755,26319,2837,1861,93,0,0,0,0,0,210093,165693,13195,26054,2995,1812,49,24576,2319,411,49,209319,164239,13756,26107,3021,1800,70,24293,2220,187,70,145440,84014,58921,132690,72696,59994,132261,62683,62427,115653,59892,53438,116037,61591,51251,113327,53984,52556,128376,64732,59961,148668,75491,70754,147222,75235,69618
