ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_17_GOV_Total,E_17_GOV_Dem,E_17_GOV_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_21_GOV_Total,E_21_GOV_Dem,E_21_GOV_Rep
25,25,231940,171026,37943,10576,13032,1428,176,0,0,233611,165024,42049,10763,15472,2155,276,0,0,238402,158974,49333,11383,16692,3828,248,238522,159020,49376,11430,16694,3827,247,234008,166049,40783,10706,16060,2072,318,7896,12843,270,68,5309,238178,164584,45230,10556,16088,1617,258,177322,132915,27724,7666,9316,1036,111,0,0,167240,130890,20046,7075,8262,781,90,6605,7660,189,90,202,0,189905,131052,36275,8568,12363,2800,170,189905,131052,36275,6309,11024,171,37,4250,167715,132285,19593,6736,8127,731,70,0,0,0,0,171805,132905,22690,6491,9003,486,65,5888,7608,45,65,174917,130197,28412,6537,8979,466,54,5661,7469,87,54,113523,53921,58364,102773,47916,54857,114647,54286,55982,66484,31340,33868,98708,44597,50948,102738,50377,50200,137211,71889,63169,133703,68684,63199,83847,38091,45160
26,26,217727,166059,15050,5858,30516,1166,162,0,0,218615,154248,22671,7107,35019,929,128,0,0,226075,152293,22793,8156,40556,2241,241,226146,152338,22804,8183,40564,2245,241,218110,152038,22367,7080,36682,960,141,4659,34017,340,0,4144,225509,154012,23004,8180,39569,1436,189,169499,132028,10620,4230,22364,784,122,0,0,160320,124260,13283,4235,17988,418,0,3773,17369,204,0,371,0,182107,127551,16091,5942,30607,1630,177,182107,127551,16091,4540,29024,246,31,3953,160860,124155,13264,4443,18204,434,0,0,0,0,0,168870,128430,15095,4441,20054,508,0,3718,19183,153,0,169341,126633,14474,5416,21769,702,67,4407,20618,158,67,111657,49733,60720,103293,46499,56794,112597,49649,59158,65299,29494,34606,94963,40369,51578,100236,46197,52042,134029,65306,66904,129976,62852,65302,84117,35721,47838
27,27,223270,131089,39286,30396,24406,1573,330,0,0,226905,119077,48410,30748,29699,1823,439,0,0,239399,116861,53103,35834,34641,3251,326,239532,116894,53136,35882,34645,3251,326,227437,114885,50359,31596,31774,1172,327,26189,27763,107,58,6704,236644,119447,50861,33192,35140,1504,449,168581,103004,27495,21449,17640,1097,252,0,0,154570,92050,26335,19222,15633,638,64,18734,14968,104,64,637,0,185021,94470,38956,27069,24903,2350,236,185021,94470,38956,22442,23105,153,38,4629,152020,88534,26712,19361,16270,597,49,0,0,0,0,160055,92324,29455,19584,17381,654,40,18383,16291,69,40,163014,90742,31527,20082,19183,758,26,18682,18011,52,26,103768,66871,35926,94593,62512,32081,106289,72936,30430,56469,39957,15587,89965,61329,26082,92463,64629,26154,124446,87691,35467,121907,85778,33708,67316,45765,21012
28,28,204375,31130,20294,150691,5064,1781,470,0,0,205613,29094,20914,150131,5651,1105,186,0,0,228206,30267,29879,164419,6314,2955,325,228648,30162,29806,164010,6298,2952,325,207466,29219,22350,151495,5370,1543,228,144487,4199,659,0,3904,224205,31644,27132,161808,6076,1614,92,150329,24505,14297,109252,3681,1270,348,0,0,135339,21530,10396,99741,3020,522,10,99220,2891,260,10,321,0,170740,23485,20985,122972,4472,2162,239,170740,23485,20985,114646,3590,223,26,6171,138195,22579,12178,99641,2988,633,10,0,0,0,0,146740,24228,13695,105451,2671,821,0,103780,2524,464,0,144777,23511,16462,100955,3028,837,15,98949,2799,359,15,84204,77575,6237,81700,76606,5094,78841,72932,4653,43013,39906,2569,63298,58018,4184,66124,61038,4304,85347,78388,6396,83602,77060,5482,41298,37736,3293
29,29,204392,35091,93025,72021,6282,2602,540,0,0,212610,34230,103713,70619,7985,1585,249,0,0,233187,28300,110833,79990,10029,4564,538,231803,27978,110605,78780,10061,4591,544,213342,34030,104807,70562,8083,1761,345,61095,7106,416,133,2600,231248,32673,113479,72384,9411,2617,293,154892,29570,67307,53010,5331,1847,420,0,0,118666,21726,49365,43984,2924,506,15,43438,2833,304,15,228,0,179622,24276,81810,60537,8759,3439,425,179622,24276,81810,52066,7836,313,30,7945,118840,21976,49848,43443,2784,525,155,0,0,0,0,127705,22887,54154,45330,4290,405,170,44341,4006,233,170,122047,21767,48941,45600,4924,649,127,44187,4602,167,127,54050,47056,6587,50822,46750,4072,53613,46791,5849,23411,21252,1801,38718,33659,4161,40254,34560,5089,52575,42376,9822,50160,42014,7144,21718,18103,3465
30,30,180961,144826,22585,9804,4383,900,164,0,0,190571,156964,21310,7503,5336,479,139,0,0,226261,183829,25293,7843,5086,2158,179,226439,183883,25329,8047,5095,2158,183,192252,160326,21032,6326,4806,529,36,5009,4243,79,0,1287,224509,187737,22872,8137,5304,1052,91,120570,96197,14736,6744,3153,643,108,0,0,113270,97825,7538,4471,3066,198,45,4353,2918,64,45,130,0,143193,114773,16365,5912,3789,1532,130,143193,114773,16365,4821,3198,115,25,2686,114400,99175,8095,3764,3071,266,0,0,0,0,0,132395,115245,9818,4031,2950,251,10,3735,2702,75,10,132941,115429,10575,3976,2452,346,23,3528,1991,75,23,73084,27251,45017,67414,23937,43477,71525,22936,46545,38696,15666,22276,57777,21447,34620,64861,22485,41218,93751,29837,62940,89229,29140,58728,56826,20215,36257
31,31,211546,68741,59277,62105,24789,2216,652,0,0,222497,58618,77907,60981,29456,2035,538,0,0,235975,65121,77035,64363,31334,4289,718,236630,65161,77108,64452,31354,4290,717,224039,58702,77898,63322,28988,2327,460,53533,26170,454,68,5408,239799,61657,86202,66887,30735,3323,631,161844,57618,42055,44580,19173,1578,493,0,0,138259,45188,40298,37791,14118,596,70,37034,13781,354,70,306,0,183592,53934,56465,48320,24940,3243,549,183592,53934,56465,40505,22970,341,89,5976,141270,45490,42551,38768,13548,618,90,0,0,0,0,154618,47720,50119,40071,15081,832,190,38735,14640,253,190,155147,47686,46396,43024,16170,1206,172,41515,15672,262,172,74452,54549,19255,69172,55340,13832,72913,53731,17400,33622,26106,6788,54445,40957,11959,59696,44381,14044,83762,60308,22659,80342,59057,18829,39227,27425,11364
32,32,189764,76739,49085,17876,49224,1777,455,0,0,199139,79486,48909,17317,56769,1785,194,0,0,230578,92746,46850,18401,73199,2889,531,230767,92788,46929,18407,73201,2890,531,198198,78072,45768,16723,60786,1846,194,11167,55904,301,48,6016,218508,84461,48391,20491,67831,2882,207,158412,68512,36856,13606,41325,1287,355,0,0,122601,63820,28917,9066,19946,592,45,8472,19181,199,45,281,0,192521,80329,36964,14797,60476,2175,441,192521,80329,36964,10350,58102,183,81,4825,121725,62391,27997,9079,21390,583,60,0,0,0,0,135362,68267,30281,11009,24734,804,85,9978,23561,345,85,138804,73072,28565,10484,25583,655,151,9335,24223,241,151,64672,49003,15025,55347,42342,13005,70208,54394,13153,36773,29615,6228,57428,44419,11238,60403,47152,11708,81980,63850,16979,79314,61003,16374,37759,28882,8358
33,33,216864,44520,151963,12815,15285,3663,487,0,0,228532,49582,151607,13652,20649,2329,542,0,0,236257,43462,159756,14836,23545,7950,505,236438,43494,159884,14838,23547,7950,505,228739,50204,151174,14528,21164,3014,519,5113,18221,200,232,2791,231787,45714,156903,18172,22150,4693,465,170126,37534,116111,10011,12351,2742,372,0,0,123655,35520,73935,5073,8515,418,85,4464,8203,190,85,288,0,188477,37268,124646,11893,19158,6117,394,188477,37268,124646,5086,17697,170,34,2454,126125,36270,75640,4362,9054,400,125,0,0,0,0,131165,34239,81910,4786,9628,169,35,4141,9161,45,35,131853,32133,81848,6483,10887,216,36,5691,10494,74,36,68343,47827,19921,66841,52138,14703,71675,52568,17276,37185,30860,5845,57633,44085,12090,59470,44091,14306,78503,53429,24391,75107,52779,20366,40412,30229,9953
34,34,213341,66391,41101,94744,13794,1906,485,0,0,216282,57713,52414,93394,15315,1486,680,0,0,233331,57128,60809,102684,16068,3942,458,233959,57168,60846,102737,16068,3943,459,217403,58028,53002,93693,14937,1394,492,86384,12602,209,11,5240,230846,58797,59365,98802,16461,2327,420,163292,55210,29028,69883,10562,1380,377,0,0,144140,46549,27672,59816,8841,793,30,59051,8403,195,30,658,0,182661,48638,43856,79250,12624,2949,351,182661,48638,43856,70667,11259,297,34,6233,146960,48019,27888,61050,8991,631,10,0,0,0,0,156495,49673,31759,63583,10300,888,40,62701,9824,200,40,157723,49845,33112,63009,10034,923,90,61861,9645,106,90,86663,63820,22172,87085,68233,18852,86746,64718,19953,43919,34549,8537,68984,51931,15196,72882,55542,16088,98912,74435,23555,95339,73109,20723,48640,35054,13302
35,35,218628,55446,105326,55448,10235,3392,600,0,0,220063,51144,114931,47772,11302,1189,292,0,0,238160,50522,126899,53861,14371,5226,515,239237,50619,127166,53888,14373,5221,513,219801,48580,117022,47800,11419,1127,204,41180,9525,60,8,2432,235642,48777,129873,50150,12961,1826,380,161088,45702,73791,39446,7113,2331,427,0,0,129035,36722,56419,30101,5523,296,25,29640,4963,73,25,115,0,179831,41564,92842,40134,10449,3839,392,179831,41564,92842,32357,9334,187,14,2494,128650,35024,57979,29795,5539,184,15,0,0,0,0,135085,36042,62084,30429,6191,143,10,30098,5953,44,10,133568,33745,62500,30022,6746,299,53,29493,6434,72,53,68832,53066,15234,68668,56494,12174,73699,56493,15778,31809,24670,6665,52376,39038,11924,57983,43207,13704,80779,56547,23515,78200,57835,17698,32787,21981,10534
36,36,217824,101653,81906,13647,23935,2136,332,0,0,225368,93654,94000,13325,27426,1192,575,0,0,233301,92916,98618,15805,27985,6184,357,233571,92964,98757,15822,28011,6185,357,226602,94869,92557,13620,28946,1284,603,8628,26097,331,72,3209,232134,91245,98461,14590,30791,2590,324,167731,83580,57436,9913,18891,1511,247,0,0,139452,72371,45900,6987,13487,340,43,6504,13022,257,43,323,0,181162,76781,71290,11908,22368,4451,259,181162,76781,71290,7020,21019,202,29,3353,138793,72671,44441,7086,14169,276,28,0,0,0,0,144207,70848,49050,7359,16214,427,4,6690,15570,171,4,145956,70863,48966,8799,16711,336,32,7879,16036,62,32,76391,45100,30491,70133,45415,24718,77683,44720,30697,37807,23184,13854,60059,35092,23153,65327,38208,25764,91116,51307,38832,88057,51769,34140,45732,24199,21216
37,37,214593,85879,47042,36559,48673,1765,370,0,0,221545,80138,55308,37254,53604,1748,329,0,0,229124,76053,61787,37647,57277,3508,362,229296,76086,61829,37655,57266,3506,362,221914,79247,55613,37617,54953,1875,256,28373,52225,287,55,5150,228344,78070,59299,36273,58592,2148,260,168945,70518,34761,27689,38120,1250,294,0,0,143170,62255,29839,23532,26801,481,48,22461,26502,210,48,441,0,183177,63025,46527,29909,45989,2519,282,183177,63025,46527,24041,44393,140,50,3634,145200,62575,30475,22705,28641,599,53,0,0,0,0,152130,62925,33790,22911,32015,655,74,21502,31469,177,74,153363,60509,36679,22649,32884,502,70,21487,32307,69,70,88654,60919,26994,78122,54604,23518,88676,63013,23422,45531,33182,11663,73188,51578,19733,76486,54229,20996,104789,72950,30893,101962,71405,28673,52759,35941,16493
38,38,213402,136958,33738,9230,34873,1013,351,0,0,216841,123152,44484,11669,40297,1002,141,0,0,224696,120871,49845,13586,42053,2034,413,224801,120927,49868,13618,42058,2034,413,216030,120206,45643,12620,39787,1372,269,8957,36545,342,49,3699,224002,119583,50188,16386,40584,1885,263,165563,110332,23738,6519,25725,679,294,0,0,152238,96284,27205,6105,22175,290,28,5833,21418,198,28,171,0,177044,99364,36274,9945,32135,1551,317,177044,99364,36274,6848,30314,111,8,3200,151432,94613,27342,7048,21727,358,53,0,0,0,0,157089,93970,30317,8606,23361,415,50,8191,22397,250,50,159625,93828,31817,8172,24888,390,65,7715,23846,208,65,100596,53101,46533,94962,53341,41621,101085,54428,43680,55497,31345,23243,81878,44414,35096,88079,49259,37213,119349,67438,50533,116316,66666,47556,66695,34814,31495
39,39,227099,179360,15685,4062,28029,872,298,0,0,231814,170069,22178,5713,34690,864,167,0,0,231428,165263,23168,6087,35584,1783,211,231470,165296,23173,6090,35586,1783,211,231664,165231,24677,6442,35972,875,93,3821,32232,157,1,5014,231226,161377,25474,7419,36249,1662,149,170595,137214,10663,2844,19762,576,241,0,0,166410,131970,12717,3025,18121,478,69,2618,17405,199,69,101,0,181092,134044,15856,4241,25702,1228,150,181092,134044,15856,2831,24240,135,18,3395,166405,129050,14698,3152,19093,395,4,0,0,0,0,167869,129087,15296,3669,19276,492,20,3226,18078,177,20,169055,127564,16199,3591,20956,531,33,3274,19554,102,33,120469,55523,63905,113044,50704,62340,121357,57018,60400,70896,33577,36197,103434,47116,53529,108524,53409,53232,144109,75782,66630,141424,73391,66283,87563,40495,46622
40,40,222922,182613,18750,5579,16166,659,146,0,0,224723,173498,26431,7750,17914,809,157,0,0,230428,168729,30330,8642,21594,1843,206,230478,168756,30340,8671,21599,1843,206,224598,170157,28013,8084,18439,851,189,6107,16419,171,129,3181,230025,171800,28902,8512,20101,1353,161,171642,142748,13135,4336,11449,458,113,0,0,166075,135535,16048,4888,9086,311,82,4634,8425,80,82,168,0,181550,136917,21510,6644,15512,1268,166,181550,136917,21510,4938,13947,74,17,3532,165515,133910,17060,5001,9033,280,103,0,0,0,0,169800,135995,17778,5075,10277,452,20,4588,9384,87,20,169195,130274,19866,5850,12395,559,16,5319,11112,140,16,114650,51162,62385,105728,47733,57995,116383,53280,59573,64683,31568,32042,97851,43969,51168,102597,49455,51292,138005,69177,67209,135013,67282,65640,85725,37447,47800
