ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_17_GOV_Total,E_17_GOV_Dem,E_17_GOV_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_21_GOV_Total,E_21_GOV_Dem,E_21_GOV_Rep
15,15,225228,107433,36702,62633,21108,1980,566,0,0,223268,99900,40862,59527,24954,1414,401,0,0,234229,90411,53621,62684,28758,4275,420,232394,89864,53311,61251,28724,4269,417,223019,98003,41548,60428,25416,1967,414,55094,23726,407,29,4051,231931,96440,47189,63398,28091,1858,463,173725,88660,26043,45632,14691,1430,463,0,0,150295,82209,15495,40473,11123,817,23,39963,10872,209,23,289,0,182911,77691,37092,47474,20853,3040,299,182911,77691,37092,43204,19715,210,59,4184,151200,81301,17797,39539,11360,938,25,0,0,0,0,155530,81203,19927,40417,13169,658,25,39536,12436,213,25,150814,75446,22273,38853,13421,541,9,37682,12582,73,9,95312,67290,26841,91168,65338,25830,92360,65714,23528,55099,37519,16569,75509,50414,22301,80035,56337,22037,102439,74869,26200,100523,72155,26822,59827,40967,18336
16,16,212246,150962,13798,10833,36813,1067,224,0,0,218055,140001,15633,12728,49783,1023,261,0,0,226761,133309,20005,13104,58420,2149,305,226298,133258,19932,12768,58409,2144,305,219153,136792,16524,12785,52293,1274,300,10517,48468,499,18,5362,226328,137428,18082,12443,57079,1823,284,158031,115695,9539,7816,24977,699,154,0,0,150175,109535,8201,8229,23596,283,25,7856,22764,159,25,385,0,177676,110561,13760,9880,41868,1499,263,177676,110561,13760,8178,40080,103,30,4337,150975,108335,9022,8215,24520,383,20,0,0,0,0,158080,111425,10054,7792,28024,311,45,7052,26388,54,45,159570,107988,12238,8128,30457,417,61,7198,28942,22,61,104719,55781,47592,97296,50649,46647,108112,58864,44842,65419,33512,30556,94089,48553,42410,98024,53928,41821,128888,76756,49984,127008,72226,52545,80394,41896,37867
17,17,218785,75634,50392,47680,48327,2435,385,0,0,224741,68691,53073,51924,53775,1874,232,0,0,233202,60804,63803,50701,59737,4328,378,233721,60856,63915,50816,59739,4326,378,224823,67210,52276,51144,55346,2196,221,45773,52650,387,24,4804,232930,68858,57924,54282,54712,4149,345,171583,66609,34295,34878,37633,1656,303,0,0,149920,58190,24990,35446,30117,874,82,34644,29588,337,82,481,0,187332,54896,44639,39242,48988,3187,298,187332,54896,44639,34091,47473,241,64,3888,149360,57065,24359,35246,31410,962,39,0,0,0,0,152795,59155,26660,36323,29170,611,45,35399,28560,88,45,150193,57161,27735,35996,28326,543,49,34572,27723,116,49,80218,57377,21952,76138,56564,19574,80854,57913,20359,42181,28932,12211,64508,45283,17128,67762,48112,18103,89278,64488,23653,87946,63120,22994,46566,32093,14012
18,18,221583,120083,19952,16049,65831,1339,320,0,0,223094,104153,27468,19332,72948,1038,462,0,0,234917,98907,28853,19932,85911,2586,317,235119,98979,28886,20030,85924,2587,317,222704,100651,27514,21148,73982,1350,671,16558,70250,144,198,6264,233805,97981,30855,22509,81545,1796,650,170667,97385,13812,11420,47951,874,229,0,0,142298,83616,14155,12237,31583,403,110,11799,31077,178,110,264,0,182689,83013,20346,14717,63244,1803,241,182689,83013,20346,12037,61605,159,44,4094,141230,80963,14513,12909,31877,519,145,0,0,0,0,147575,78954,16398,13751,37466,635,100,13022,36883,102,100,147109,74324,17117,13485,40852,867,55,12630,40087,88,55,95452,55300,38916,88956,54464,34492,93475,54353,35995,53901,30328,21892,74760,42538,29797,81517,47743,31751,108003,65165,41380,105731,63706,39556,63065,35778,26600
19,19,224583,96434,68730,26153,36985,2234,428,0,0,228452,84594,80210,28426,39355,1693,338,0,0,239157,78325,87729,32902,44151,3795,433,237856,78016,87502,32072,44126,3793,434,227989,82172,81939,29237,39930,2197,331,21725,37332,234,91,3491,238259,80614,87450,34394,42016,4172,506,171922,80396,48019,18472,27201,1489,302,0,0,149107,69319,44913,16565,17527,358,80,16133,17037,169,80,398,0,186467,67324,63746,24367,33532,2803,345,186467,67324,63746,18346,32204,182,44,3461,150705,67690,47274,16356,18663,303,80,0,0,0,0,157885,66779,50559,19690,19901,456,80,18443,19157,177,80,157314,63225,49449,21817,21993,439,33,20530,21416,144,33,80997,49245,30717,74899,50391,24508,83442,49708,31398,41242,24228,16044,61278,36365,23062,68892,41062,26330,94766,55898,37850,91968,55845,33621,48356,25811,22067
20,20,210635,57124,89698,57361,10533,2229,459,0,0,216428,44930,102822,58722,10100,1369,201,0,0,228148,43697,111965,62481,11938,4722,412,228731,43768,112112,62609,11940,4721,412,217100,44095,102542,60268,10184,1833,147,52973,8541,21,32,3371,226466,43631,109788,63309,11270,2629,214,159955,47964,65395,41112,8002,1597,357,0,0,125500,36759,46010,36325,5946,149,10,35637,5684,25,10,349,0,175794,36967,83170,47145,9374,3498,312,175794,36967,83170,40576,8409,193,31,4458,127445,35938,47495,37016,6331,97,20,0,0,0,0,131560,35058,49905,38989,6887,269,8,38165,6645,64,8,130293,32398,51320,39066,6731,888,13,37413,6449,133,13,68731,48782,19348,65398,50911,14487,69765,51936,16183,32157,24511,6990,53376,39600,12365,56754,41879,13872,78173,55400,22132,75462,55475,18535,34219,23559,10373
21,21,218985,173241,17627,7344,20864,678,167,0,0,222431,160330,23730,9043,28901,1275,83,0,0,229293,157399,26006,9802,33353,1958,229,229349,157429,26010,9835,33360,1958,229,222150,158458,25091,9896,29158,1485,83,7592,26058,130,4,4152,228046,157480,26814,10296,32757,1794,142,159752,128480,12143,5178,13921,441,106,0,0,151060,119780,11364,5049,14259,550,4,4851,13508,30,4,80,0,173709,123891,17893,7063,22869,1322,169,173709,123891,17893,5548,21349,58,22,4105,151550,118675,12627,5925,13740,544,4,0,0,0,0,157525,120625,14033,6160,15940,579,44,5268,14853,37,44,159804,121605,14032,6114,17053,585,53,5163,15692,58,53,114833,54146,59414,103188,46076,57112,115140,59789,50970,72035,34514,35980,103840,49545,51550,105287,55075,48145,135657,78652,55052,134070,73252,59304,86093,42610,42900
22,22,222375,103981,54811,55864,10194,2147,346,0,0,230443,96823,68155,54688,11195,1961,421,0,0,238211,91143,78390,56617,13244,4506,416,238713,91195,78468,56793,13244,4506,416,230660,95588,69468,54857,12684,1882,273,47819,10369,302,0,4094,237393,95270,72981,56405,13973,2319,144,169459,83790,38802,40696,7495,1510,253,0,0,153040,77890,30277,38217,5875,730,0,37491,5467,270,0,389,0,183052,74830,54954,43795,9917,3228,300,183052,74830,54954,38818,8666,150,31,4310,152250,75780,31920,37558,6303,682,0,0,0,0,0,154315,75694,31998,38694,7317,578,15,37889,6846,200,15,151855,70698,34009,38626,7596,765,26,37283,7052,83,26,96247,61637,33529,89847,61142,28705,95105,61768,30541,52043,33757,17032,78691,50202,26102,82005,54013,26331,108377,72696,34437,106409,71695,32834,59626,36411,22683
23,23,233188,183788,23290,9900,16233,1186,186,0,0,229399,171522,26847,11274,19945,1043,259,0,0,237918,164913,33866,14304,21800,3443,286,237553,164791,33819,14143,21794,3439,286,229225,170508,26994,11925,19958,1014,386,8939,17603,146,78,4334,238067,168636,30651,14859,22956,1827,434,178321,144228,16055,6672,11228,801,122,0,0,168885,139110,12232,6868,10113,458,30,6097,9595,123,30,191,0,190099,137730,23876,9872,15924,2528,203,190099,137730,23876,7875,14760,168,44,4811,170595,139545,13208,7108,10110,460,55,0,0,0,0,177815,140095,15807,9124,12117,510,84,8322,11018,83,84,178393,135528,19657,9958,12279,494,107,9227,11182,93,107,107682,47564,58314,98929,43771,55158,109086,44478,59905,64927,24962,38152,92577,37082,51879,98303,41734,53872,130716,60748,67637,128556,58132,67445,82019,32147,49011
24,24,241689,208162,17404,6817,8995,1265,204,0,0,234444,195243,21282,9040,9650,1178,254,0,0,237827,187336,26015,9375,11300,3241,189,237969,187446,26025,9485,11312,3246,190,233588,191713,22557,9793,9551,1061,158,6736,7691,119,0,4307,238460,190497,25375,11248,9946,1424,119,182003,159586,11567,4427,6039,888,134,0,0,178975,155450,12736,4909,5070,606,4,4587,4738,135,4,168,0,190160,154504,17982,6496,8151,2346,124,190160,154504,17982,4748,6979,192,11,4986,179070,154105,13324,5646,5246,588,0,0,0,0,0,184360,156560,14929,6442,5663,601,0,5501,4927,85,0,184573,152328,17693,6321,6460,1489,5,5477,5540,81,5,120155,47487,70883,108843,42742,66101,121420,42828,73529,69498,25774,41474,100866,35515,61191,108085,41754,63218,145602,61324,81610,142606,59278,79895,89851,30996,57911
