ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
30,30,33268,5546,2336,1616,19856,507,7127,0,0,36517,6790,4518,1910,21399,721,6743,0,0,34804,5305,2384,1674,20877,473,7978,34110,6606,3366,2033,20387,532,6082,1372,16359,10,2790,3588,34357,6562,2952,1869,19929,398,6234,24036,3747,1372,861,15052,250,4636,0,0,22443,4781,2816,868,10604,123,1270,821,10268,14,1270,1960,0,25819,3831,1493,1102,16427,328,5270,25819,3831,1493,783,13934,31,3034,2663,20811,4471,2165,1047,10134,148,972,0,0,0,0,20591,4473,2010,1141,10038,99,1284,1029,9732,10,1284,20101,4083,1638,1343,10123,65,1472,1157,9711,18,1472,5200,3527,1564,4796,3595,1201,4276,2912,1127,4150,3257,664,3781,2827,954,3797,2402,1278,4305,2845,1339,6130,3307,2740,4262,2750,1436,3806,2669,930,3850,2423,1427,3785,2792,993,4391,2703,1649,5191,2621,2499
31,31,34807,7819,3103,2108,19832,691,6078,0,0,38401,8531,3679,2923,21024,576,6196,0,0,38967,9388,4128,2762,20686,970,6395,39212,8597,3917,3108,21564,621,6939,2207,16103,71,2833,5393,39344,9607,4469,3698,19928,777,6191,26038,5752,1882,1251,15446,368,3829,0,0,26164,6377,2187,1748,12198,107,1406,1627,11542,55,1406,2160,0,30646,7561,2940,1901,16602,655,4263,30646,7561,2940,1350,13355,55,1930,3364,27446,6636,2472,1852,12234,133,1526,0,0,0,0,28502,7425,2898,2134,12176,212,1317,1854,11414,14,1317,28430,7372,3328,1730,11940,245,1482,1398,10997,11,1482,7996,5551,2338,7503,5372,2131,7380,4482,2401,7198,5293,1635,6342,4481,1861,6378,4130,2041,7314,4809,2282,10263,6340,3740,7273,4741,2403,6557,4696,1682,6634,4242,2392,6486,4757,1729,7449,4826,2553,8413,4961,3316
32,32,31986,6023,2504,2096,19624,542,5568,0,0,36708,7211,3929,3124,21788,824,6696,0,0,35332,6487,3176,2327,22031,792,6420,36769,7465,4308,2632,21164,784,6809,2058,14822,68,2327,5541,36962,6809,4287,2698,22294,1189,5937,25098,4837,1621,1332,15679,290,3756,0,0,25304,4914,2156,1662,12511,117,1285,1598,11747,4,1285,2690,0,27888,4984,2179,1583,17994,549,4682,27888,4984,2179,1155,13777,34,1485,4224,25448,5217,2232,1517,12496,157,1321,0,0,0,0,26050,5094,2256,1194,13695,275,1347,1120,12593,74,1347,25237,5108,2255,1058,13322,196,1148,910,12161,58,1148,9361,6385,2871,9048,6366,2682,8630,5331,2783,8413,6223,1896,7505,5206,2299,7574,4945,2413,8537,5665,2638,11583,7342,4066,8458,5503,2816,7655,5386,2078,7711,4875,2836,7515,5521,1994,8604,5576,2962,9573,5756,3668
33,33,28118,3288,1734,619,21911,375,4953,0,0,28740,2762,2244,881,22099,540,6529,0,0,28847,2950,1972,770,22707,581,5563,28376,2696,2557,935,21939,456,5941,399,15653,0,1067,5991,29271,2593,2027,927,23481,484,6088,23041,3000,1161,419,17688,195,3256,0,0,22787,2455,1632,416,14267,125,793,367,13049,0,793,3120,0,24214,2693,1378,555,18938,388,3973,24214,2693,1378,336,14779,13,1045,3939,22541,2389,1676,410,14428,104,581,0,0,0,0,23485,2364,1332,464,15539,57,480,439,14288,0,480,21665,2401,1078,356,14419,84,601,269,13425,17,601,12083,8673,3274,11723,8367,3356,11059,7081,3347,10836,8263,2290,10041,7080,2961,10158,6897,2985,11012,7566,3176,13867,9179,4503,11287,7628,3508,10884,8124,2614,10963,7167,3796,10747,8235,2512,11550,7814,3666,12698,8213,4289
34,34,27908,3606,2425,1035,20041,542,6086,0,0,27746,2847,2492,1062,21189,654,6737,0,0,28935,2332,2537,941,21806,686,7484,27790,2856,2744,1035,20509,494,6960,432,14053,0,1571,6061,29590,2686,2590,1376,21592,788,6826,22463,3249,1568,713,15845,260,3894,0,0,21290,2421,1586,366,12944,173,909,329,11779,35,909,2880,0,23387,2046,1715,658,17778,440,5154,23387,2046,1715,364,13216,16,1684,4286,21514,2348,1775,384,12867,99,1005,0,0,0,0,22570,2373,1696,559,13999,144,1139,483,12721,4,1139,22239,2333,1194,559,13792,135,1402,462,12388,32,1402,10743,7883,2730,9458,7054,2404,9544,6105,2881,9377,7189,1895,8404,6065,2339,8471,5727,2552,9389,6433,2728,12148,7774,4176,9549,6371,3046,9047,6640,2238,9127,5822,3305,8934,6726,2208,9692,6404,3222,10507,6318,4003
35,35,29497,3695,2376,1182,21506,451,5189,0,0,26470,3233,3036,945,19470,351,4853,0,0,28297,1876,1855,685,23130,502,4907,25217,2865,2812,798,18050,191,5261,430,13589,9,1742,3757,25860,1839,2752,775,19919,397,5050,23110,3233,1570,808,16582,259,3241,0,0,18912,2853,1887,510,10974,22,807,424,10315,0,807,1835,0,22814,1642,1279,485,18598,315,3341,22814,1642,1279,289,15480,14,1175,2907,18713,2706,1746,479,11143,34,940,0,0,0,0,18724,1771,1613,340,12214,85,796,254,11439,35,796,19093,1537,1213,159,12963,85,988,123,12295,34,988,7780,5431,2261,7996,5739,2257,7079,4359,2343,6949,5215,1469,6466,4569,1897,6529,4202,2137,7204,4702,2312,9667,5645,3857,7309,4644,2563,6876,4860,1838,6950,4215,2735,6810,4909,1901,7539,4697,2779,8433,4680,3628
36,36,23763,625,1233,356,18630,245,5888,0,0,25427,909,1537,608,19399,355,6899,0,0,27096,515,1306,446,21691,261,6192,24430,898,1228,266,18679,80,6385,43,15758,9,4115,2359,25372,989,1272,411,19533,103,6529,17837,570,760,189,14285,114,3572,0,0,15828,826,968,140,10602,10,1845,96,10274,0,1845,1444,0,20959,447,870,268,17293,188,3963,20959,447,870,100,15448,10,2445,1613,15245,779,873,29,10646,10,1576,0,0,0,0,16290,815,776,61,11600,4,1786,60,11024,4,1786,17089,436,855,45,12935,10,1589,45,12430,5,1589,5396,3821,1519,5008,3790,1218,4586,3114,1275,4496,3574,719,3929,2921,1008,3945,2560,1258,4553,3043,1385,6403,3516,2790,4581,2969,1532,4184,3018,977,4216,2624,1592,4136,3090,1046,4687,2887,1752,5272,2651,2561
37,37,28007,3919,2341,927,20732,597,5641,0,0,28128,3687,2594,912,21284,398,5964,0,0,27975,3215,2651,882,21334,758,6518,27730,3225,2691,960,21108,488,5604,642,14096,22,1387,5621,27512,2752,2144,1009,21498,602,5729,21855,3415,1440,590,15790,289,3446,0,0,22031,3254,1686,547,12936,32,816,475,11539,20,816,2786,0,22373,2811,1661,622,16950,464,4286,22373,2811,1661,339,11915,22,840,4748,21935,2888,1755,617,13102,77,916,0,0,0,0,22185,2468,1467,507,13907,95,742,464,12384,4,742,21566,2190,1477,362,13691,130,582,331,11997,5,582,11927,8201,3599,11909,8139,3770,11169,6679,3785,10968,8016,2664,10332,6935,3397,10395,6623,3490,11242,7286,3664,14269,8867,5152,11721,7446,4096,11475,8004,3266,11593,7100,4493,11300,8099,3201,12170,7728,4344,13774,8325,5247
38,38,28449,4078,2583,935,20762,710,5968,0,0,27570,3122,2777,864,21317,533,5665,0,0,28874,3460,2959,1013,21645,919,6877,27306,3041,2581,923,21220,531,5148,536,14439,13,886,5812,29139,3114,3064,1305,21670,539,6498,20432,3414,1488,574,14313,310,3367,0,0,19930,2737,1597,416,11825,107,637,293,10656,10,637,2599,0,21917,2905,1876,690,16078,580,4376,21917,2905,1876,385,11013,17,935,4739,20040,2774,1575,399,12230,95,648,0,0,0,0,21422,2696,1837,514,12392,110,1155,445,11162,45,1155,21415,2643,1759,554,11893,131,1221,514,10440,21,1221,10742,7137,3460,10467,6914,3553,10436,6038,3713,10237,7261,2668,9494,6177,3317,9568,5886,3440,10542,6650,3613,14038,8699,5089,10925,6770,3980,10481,7140,3155,10597,6289,4308,10325,7201,3124,11306,6986,4218,12633,7342,5096
39,39,25825,2582,2100,902,18971,453,5930,0,0,27803,1976,2555,873,21234,424,6665,0,0,28339,1994,2329,1023,21646,559,6742,26935,1855,3362,795,20249,293,6372,326,15406,12,2390,3559,27882,1959,3202,960,20747,283,6715,19163,2277,1305,553,13785,217,3555,0,0,19195,1679,1734,416,11855,48,1630,368,11189,19,1630,1837,0,22118,1789,1496,676,16891,362,4435,22118,1789,1496,368,13348,13,1752,3320,18970,1627,2276,377,11559,66,1398,0,0,0,0,19755,1780,2126,501,11916,82,1229,422,11158,8,1229,19703,1658,1704,758,11968,157,1068,624,11162,0,1068,6722,4496,2151,5700,3865,1835,6328,3702,2221,6218,4530,1432,6002,3937,2065,6042,3481,2389,6725,4067,2465,9729,5264,4318,7254,4237,2902,7119,4543,2408,7186,3982,3204,7007,4185,2737,7847,4459,3328,9930,5033,4769
40,40,28583,4230,3362,1512,18332,701,7596,0,0,30044,4515,3905,1891,18893,762,7109,0,0,29919,3855,3415,1474,19923,900,7406,27985,4015,3950,2189,17232,793,7597,1195,11062,0,2447,5273,30538,3447,4023,2017,20335,1131,8316,19960,3341,1934,860,12488,303,4359,0,0,18857,3331,2067,969,8474,174,1296,869,7474,50,1296,2552,0,22452,3096,2216,944,14865,577,4851,22452,3096,2216,572,10968,24,1834,3648,18431,2954,2135,1133,7993,89,1561,0,0,0,0,20132,2504,2410,993,9774,160,1870,895,8567,20,1870,19674,2501,2174,759,9945,203,1703,629,8857,18,1703,6456,4085,2306,6209,3966,2243,6258,3291,2574,6137,4209,1684,5545,3340,2205,5602,2827,2624,6426,3520,2730,9445,4634,4649,6630,3509,3019,6192,3390,2646,6218,3200,3018,6082,3760,2322,7033,3607,3362,8648,3889,4629
41,41,21543,4281,2497,1406,12575,594,5621,0,0,29375,5800,3949,2223,17085,1090,7236,0,0,31537,6260,3979,2343,18152,1003,7128,30867,5699,4211,2816,18373,1107,6776,1244,11461,119,1849,6223,33421,5373,5851,2882,19672,1178,6793,15376,3486,1465,857,8539,254,3274,0,0,20210,4552,2229,1037,8181,221,1414,931,7269,45,1414,2652,0,23165,5080,2445,1595,12889,654,4512,23165,5080,2445,1048,8945,45,1538,3981,21440,4582,2161,1228,9259,420,1465,0,0,0,0,22974,4624,2872,1144,10369,249,1424,1082,9101,14,1424,24255,5133,2620,1142,10922,292,1380,1026,9673,19,1380,4663,2978,1621,5710,3617,2093,5721,2902,2411,5650,3623,1783,5985,3494,2491,6000,3016,2817,6607,3564,2851,10353,5346,4806,7171,3801,3248,6961,3882,2908,7010,3571,3439,6877,4061,2816,7806,4080,3667,9721,4652,4926
42,42,22280,2447,2634,911,14904,540,7664,0,0,26075,1897,3604,780,18853,617,10110,0,0,28037,1860,3406,1021,19474,782,11804,27109,1510,3492,891,20193,520,11202,201,10194,17,3019,8677,27295,1732,3732,781,19649,790,10694,15812,2058,1531,527,10243,220,4455,0,0,17496,1655,2016,292,7842,258,2116,258,6978,20,2116,3335,0,20579,1683,2061,652,14054,481,7426,20579,1683,2061,330,8948,6,2526,4973,17712,1475,1745,244,8374,155,1982,0,0,0,0,18352,1617,1940,228,8682,219,2443,149,7673,107,2443,18965,1471,1871,141,8595,134,2507,39,7844,90,2507,5485,3713,1713,5589,3776,1813,5952,3301,2225,5822,4061,1494,5730,3667,2063,5807,2958,2677,6453,3661,2599,9599,5013,4416,6867,3825,2924,6626,4120,2311,6699,3414,3285,6527,4088,2439,7347,3955,3323,8791,4062,4607
43,43,22232,4467,2893,1191,12828,633,7231,0,0,27459,5590,2965,2019,15212,497,7357,0,0,28804,4731,3939,1699,17222,1015,8670,28132,5974,3498,2134,15460,514,7688,1423,8511,23,2563,6128,31673,6561,4320,2319,17073,710,8697,15793,3758,1652,691,8534,264,4077,0,0,18697,4543,1876,818,7452,61,1738,738,6474,14,1738,2228,0,21734,4106,2516,1181,12564,646,5597,21734,4106,2516,707,7829,43,1853,4593,19459,4893,2066,963,7233,78,1872,0,0,0,0,22006,5023,2633,1354,8040,145,1994,1237,7027,4,1994,21668,4551,2836,1315,7658,99,2001,1133,6501,0,2001,7148,4402,2644,6711,4126,2585,7852,3939,3292,7678,4891,2406,6244,3639,2605,6291,3077,2991,7559,4053,3227,11013,5688,5082,7913,4174,3555,7439,4286,2899,7513,3763,3750,7344,3816,3395,8305,4333,3866,10206,4884,5135
44,44,26312,3053,3604,1052,11926,817,16760,0,0,26880,2655,4154,806,10384,555,18325,0,0,27853,2745,3718,1062,13046,872,17696,27717,2211,4555,1227,9732,590,18881,664,3295,164,10272,6555,27982,2256,3855,1570,9405,1035,19714,18176,2596,1992,521,7776,383,10337,0,0,18039,2314,2303,185,2894,100,6132,175,2480,62,6132,4118,0,20079,2387,2313,645,9101,582,11736,20079,2387,2313,292,3724,32,5579,5719,18108,1948,2505,364,2887,185,6425,0,0,0,0,18505,1878,2296,486,2732,162,6854,417,2239,119,6854,17892,1929,1855,717,2506,66,6207,615,2139,14,6207,5768,4110,1591,5578,3958,1620,5663,2914,2236,5544,3764,1460,5392,3410,1982,5448,1963,3376,5938,2993,2738,8168,3931,4026,5962,3109,2697,5493,3244,2042,5537,2580,2957,5442,2272,3046,6181,3126,2974,7048,3014,3904
45,45,25190,2869,4241,951,11774,1098,16090,0,0,25901,2816,4730,1040,9878,651,17611,0,0,27324,3144,4341,1250,12079,1117,17292,25506,2871,4709,1155,9141,699,17322,483,2482,36,8461,6440,26067,3033,4548,1247,8702,1015,17557,17532,2582,2375,461,7581,482,9751,0,0,16984,2486,2461,384,2460,220,4984,320,1975,36,4984,4022,0,20138,2853,2692,826,8498,749,11503,20138,2853,2692,388,3014,59,5119,5925,16527,2506,2499,468,2505,208,4661,0,0,0,0,16878,2514,2369,522,2404,168,5528,518,2081,74,5528,16910,2818,2097,367,2467,165,4656,336,2157,68,4656,5381,3853,1430,4908,3583,1325,5092,2665,1937,4977,3397,1231,4689,3067,1622,4782,1865,2790,5215,2728,2286,7016,3500,3343,5257,2828,2296,4912,2968,1756,4955,2391,2564,4846,2144,2559,5467,2849,2549,6392,2809,3461
46,46,49717,14387,6905,4603,22186,1696,10282,0,0,52450,15075,9895,6163,19970,2807,10488,0,0,51085,13214,8886,4763,21896,1640,11529,50659,15350,8821,5508,20174,2052,9391,3419,12441,165,3078,7324,51902,14682,8527,6353,21476,1396,9525,35882,11017,4026,2687,16106,840,6039,0,0,35544,11826,5362,3226,9904,541,1658,2948,8829,103,1658,3141,0,38999,10844,6123,3127,16606,1060,7365,38999,10844,6123,2325,10900,73,2831,5693,35145,12200,5232,2819,9872,409,1640,0,0,0,0,36196,11868,5193,3360,10567,284,1598,3150,9377,70,1598,34759,10737,5220,3226,10169,289,1612,3004,8947,49,1612,9170,6356,2641,8714,6084,2630,8546,4935,2958,8319,5783,2078,7231,4874,2357,7253,4218,2730,8294,5081,2884,11352,6496,4572,8161,4859,3129,7292,4743,2335,7375,4079,3296,7148,4013,2992,8384,4888,3409,9906,5085,4642
47,47,30187,9905,2703,909,10578,915,11335,0,0,28709,10489,3087,1446,9176,648,9380,0,0,31669,9398,2993,1113,11449,1010,12017,28761,9756,3104,1590,9382,531,9690,597,4436,94,4557,6172,29271,9158,3061,1611,10205,751,10587,22912,8424,1732,560,7534,470,7319,0,0,19639,7834,1667,767,3670,225,2675,458,2917,114,2675,2796,0,23984,7679,1984,731,8481,664,8032,23984,7679,1984,383,4746,67,4144,4850,19992,7564,1822,896,4111,164,2870,0,0,0,0,20374,7450,1671,830,4123,163,3080,669,3298,88,3080,19842,7042,1866,735,4227,88,2422,562,3386,27,2422,8813,5676,2933,7879,4247,3632,7149,3491,2847,6915,4291,2261,6545,3903,2642,6602,2818,3550,7254,3722,3226,9778,5027,4517,7096,3764,3142,6367,3677,2485,6444,3242,3202,6285,3050,3087,7372,3876,3400,8757,4146,4383
48,48,26030,5742,2387,479,14512,783,10168,0,0,23538,5535,2069,354,12900,707,7626,0,0,27193,6052,2679,646,15381,984,10209,24306,5499,2518,316,13321,569,8523,30,7056,129,2367,6696,26599,5214,3272,554,14897,968,9715,20151,5156,1470,280,10614,345,6599,0,0,18902,4798,1401,189,7369,242,1784,120,6250,94,1784,3169,0,21791,5403,1743,440,11919,672,7106,21791,5403,1743,156,6438,27,2031,5916,18901,4728,1554,72,7374,314,1800,0,0,0,0,20177,4624,1856,157,7808,380,1908,47,6638,79,1908,20550,4563,1649,134,8059,273,1569,76,6734,0,1569,10663,7354,3163,10267,6868,3399,9870,5717,3348,9647,6877,2441,8901,5850,3051,8974,5126,3537,9804,6064,3403,12471,7723,4486,10343,6464,3675,10233,7100,2935,10312,6196,4116,10179,6665,3389,10691,6723,3858,11958,7273,4449
49,49,25910,4299,2096,357,17132,690,8598,0,0,24841,3695,1912,387,16897,655,8507,0,0,27328,4141,2695,595,17720,839,10244,24899,3600,1989,239,16988,330,8637,32,9865,30,1875,7495,25878,3678,2882,481,17810,522,8138,20504,3864,1304,192,13137,295,5590,0,0,19346,3187,1180,180,9319,58,1468,120,8288,18,1468,3944,0,21778,3752,1751,365,13816,513,6936,21778,3752,1751,151,8532,16,2043,5487,19449,3127,1278,100,9575,40,1469,0,0,0,0,20763,3246,1888,105,10484,70,1507,68,9362,38,1507,22158,3104,1722,102,11015,106,1925,60,9717,24,1925,11569,8477,2955,10942,7938,3004,10591,6603,3227,10374,7811,2238,9715,6802,2913,9802,6221,3262,10571,7056,3179,13197,8710,4194,10361,6833,3321,9531,6880,2449,9591,6002,3589,9456,6529,2773,10447,6888,3441,11125,6952,3942
50,50,38836,17545,3843,1431,13466,947,7820,0,0,40338,19475,4674,2152,12405,1211,5838,0,0,40539,17822,5191,1542,13648,1193,7649,40124,18179,5563,2260,12946,1176,6099,1156,6429,116,1410,7066,41839,18712,6356,1876,13674,1129,6178,30520,14539,2566,933,10018,530,5289,0,0,30951,15298,2911,1306,6720,508,1175,990,5614,126,1175,3125,0,32698,14899,3779,1102,10697,850,5439,32698,14899,3779,740,5878,64,1360,5731,31107,14916,3464,1185,6778,428,1223,0,0,0,0,32155,15292,4010,819,7272,331,1152,709,6060,122,1152,31471,14505,3499,850,7132,303,1706,763,5703,47,1706,14112,9424,4471,13239,8820,4419,11802,7149,3693,11540,8258,2899,11135,7445,3690,11188,6791,3949,12084,7809,3855,15792,10481,4941,12275,8044,3971,11585,8144,3188,11683,7513,4170,11393,7572,3568,12716,8416,4154,14502,9421,4747
51,51,26027,7793,1960,394,11262,584,10616,0,0,25497,7599,2126,414,10950,751,10303,0,0,27776,8172,2368,557,11508,841,11572,25922,7320,2282,616,11539,752,10294,185,4474,3,3836,7813,27811,7459,2729,480,12973,1109,11041,20063,6773,1228,217,8146,276,7074,0,0,19348,6370,1256,221,4644,99,2815,171,3842,5,2815,3949,0,21991,7022,1558,396,8737,584,8297,21991,7022,1558,135,4153,17,3635,5397,19142,6128,1444,324,4603,78,2741,0,0,0,0,20572,6453,1677,262,5211,105,2999,109,4167,4,2999,20271,6085,1624,238,4959,190,2843,48,3987,4,2843,11739,8277,3293,10835,7659,3176,10201,6220,3159,9960,7224,2412,9246,6372,2874,9303,5355,3611,10158,6464,3345,12988,8261,4434,10285,6647,3411,9678,6869,2605,9767,6076,3691,9527,6144,3195,10531,6835,3596,11798,7352,4243
