ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
20,20,26836,5584,1254,322,18530,404,4259,0,0,25607,5631,1266,696,17369,351,3899,0,0,27027,5216,1497,442,18859,569,4316,26327,5722,1343,495,17948,433,4194,64,13255,97,1230,4599,26827,5812,1360,640,18183,337,3863,22599,5156,893,213,15167,227,3033,0,0,20515,4824,993,233,11709,102,806,133,10866,43,806,1862,0,22699,4729,1111,297,15658,393,3155,22699,4729,1111,106,12393,12,910,3348,21157,4848,1100,86,12068,160,952,0,0,0,0,21807,4848,1014,387,12785,69,984,297,11600,51,984,21809,4742,1098,326,12894,98,1093,285,11859,42,1093,11389,8130,3083,10705,7707,2998,10370,6884,2794,10070,7621,2102,9250,6797,2453,9367,6387,2685,10231,7227,2711,13043,9278,3564,10151,7250,2753,9395,7253,1962,9530,6637,2893,9238,7272,1966,10393,7456,2866,11793,8151,3407
21,21,25329,4261,1135,320,17677,470,5225,0,0,26198,4483,1664,538,17415,351,6004,0,0,27188,4637,1620,612,18046,657,6100,26392,4579,1979,521,17530,556,6168,130,12345,0,2615,4731,26653,5072,1630,477,17016,556,5547,21109,3947,781,195,14626,247,3449,0,0,20735,4175,1207,203,11440,161,1160,113,10596,25,1160,2408,0,22689,4278,1159,416,15057,443,4261,22689,4278,1159,156,11539,28,1738,3702,20655,4225,1444,215,11057,154,1330,0,0,0,0,21117,4643,1225,211,11555,116,1585,171,10768,4,1585,20313,4573,1224,175,11349,108,1084,81,10475,10,1084,11090,8391,2529,10171,7757,2414,10119,6974,2449,9817,7643,1866,9126,6971,2155,9167,6372,2446,10049,7289,2437,12873,9414,3263,9936,7256,2520,9106,7101,1842,9216,6534,2682,8934,7049,1885,10124,7421,2624,11251,7953,3090
22,22,29285,6163,1308,502,19905,518,4253,0,0,30843,5893,1834,587,21696,428,4655,0,0,27492,5417,1771,803,18260,604,4591,30285,5679,1907,688,21182,470,4790,229,15402,21,1411,5584,27975,5675,1902,725,18933,483,4803,25178,5742,1010,406,16683,327,3105,0,0,23875,5035,1262,241,14401,143,768,159,12975,19,768,2075,0,23629,5024,1357,624,15413,426,3419,23629,5024,1357,358,11861,18,1179,3734,23354,4968,1346,333,13915,147,776,0,0,0,0,21816,5043,1251,328,12314,110,659,264,11187,57,659,21151,5167,1358,408,11514,176,581,255,10280,47,581,12484,9438,2813,11395,8598,2797,10890,7630,2493,10536,8286,1946,9644,7405,2239,9722,6999,2355,10542,7819,2386,12833,9656,2970,10233,7648,2411,9350,7471,1684,9403,6862,2541,9197,7553,1644,10342,7807,2444,11503,8588,2672
23,23,26765,3265,1455,641,19508,468,4954,0,0,26978,2936,2096,1072,19280,320,5062,0,0,27030,3152,1791,783,18937,582,5390,27821,2514,2082,1272,20734,553,5364,395,16578,33,2053,4105,27466,2745,2274,1227,19318,550,5556,23011,3119,1096,476,16656,282,3531,0,0,19275,2589,1490,413,11630,77,1313,297,10856,25,1313,1769,0,23624,3050,1417,626,16635,452,3974,23624,3050,1417,348,13804,28,1969,2952,20372,2248,1330,498,13019,132,1185,0,0,0,0,21046,2611,1696,577,12946,137,1284,418,12128,24,1284,20995,2994,1274,673,13118,83,945,454,12220,15,945,7593,5684,1757,6977,5326,1651,7174,4952,1729,6878,5289,1281,6183,4656,1527,6191,4207,1721,7061,5001,1810,9730,6665,2887,6942,4946,1864,6152,4672,1308,6222,4356,1866,6059,4695,1364,7114,5041,1988,8245,5575,2472
24,24,30042,11506,1691,1125,14327,613,2910,0,0,24728,8312,1265,1238,12551,382,2428,0,0,28417,9239,1926,1208,14945,654,2526,26341,8156,1045,1386,14367,399,2571,872,12050,7,1220,2875,26725,9087,1606,740,14758,200,2005,27263,11170,1460,901,12329,452,2278,0,0,17516,7363,992,762,6305,137,1011,683,5766,4,1011,943,0,25633,8921,1623,991,13019,515,1980,25633,8921,1623,621,11020,58,813,2455,18535,7463,756,827,7209,124,985,0,0,0,0,19419,8078,1273,496,8043,64,439,418,7470,4,439,20206,8129,1332,599,8192,166,573,544,7543,0,573,9209,6293,2721,7680,5156,2524,7702,4771,2401,7351,5066,1903,6365,4364,2001,6365,4041,2010,7469,4871,2309,10705,6960,3539,7686,5182,2348,7064,5054,1813,7137,4967,2170,6969,5120,1849,7980,5425,2465,9477,6230,3078
25,25,19382,3441,998,500,13348,264,2954,0,0,23071,3798,1562,584,16376,250,3659,0,0,28187,5356,1609,811,19356,533,3745,23329,3751,1779,908,16572,451,3393,473,13121,7,1007,3161,25832,4034,2318,1116,18032,503,3889,16782,3286,765,383,11325,178,2159,0,0,16813,3529,1137,329,9932,98,709,249,9172,4,709,1166,0,24477,5037,1303,663,16546,419,2794,24477,5037,1303,396,13622,32,977,3037,16910,3514,1123,687,9662,222,574,0,0,0,0,19275,3985,1581,741,10828,194,788,540,9662,35,788,20691,4766,1097,1031,11631,139,668,762,10505,13,668,5159,3554,1486,6118,4280,1838,6819,4463,1948,6564,4801,1527,6712,4833,1879,6709,4445,2000,7505,5161,2127,11573,7992,3402,8108,5704,2273,7748,5852,1692,7886,5528,2358,7635,5903,1732,8767,6189,2482,10786,7394,3174
26,26,28233,5029,1691,629,18799,558,5438,0,0,28722,4508,2077,1338,17909,602,6663,0,0,27767,4618,2058,895,17819,613,6309,27819,4479,1599,795,17720,334,6564,532,13510,53,3392,4238,28874,5180,1703,1026,17975,353,6890,24220,4813,1284,448,15793,351,3939,0,0,21767,4156,1480,964,11179,173,1553,802,10294,25,1553,2241,0,24024,4399,1586,682,15321,468,4731,24024,4399,1586,349,11747,33,2075,3770,21192,4103,1182,605,11369,82,1758,0,0,0,0,21934,4523,1445,675,11221,132,1554,542,10490,75,1554,20872,4363,968,625,11037,78,1431,376,10183,23,1431,9699,7163,2348,9630,7112,2518,10022,6805,2497,9704,7352,1979,8318,6196,2122,8364,5650,2340,9479,6700,2435,12129,8560,3332,9100,6513,2396,8039,6161,1656,8081,5685,2396,7853,6117,1736,9122,6553,2461,10077,6996,2848
27,27,26700,3089,1152,334,20316,477,5658,0,0,27855,3094,1824,606,20454,575,7314,0,0,27560,3083,1588,487,20399,548,6439,27561,3420,2067,710,19843,488,6327,246,14379,8,1822,5583,26363,3117,1960,631,19272,586,6271,22162,2900,778,209,16651,232,3865,0,0,21198,2788,1159,287,12336,61,1481,230,11478,10,1481,3113,0,23104,2873,1138,344,17002,372,4729,23104,2873,1138,173,13289,17,1784,3783,21012,3176,1310,281,12331,50,1227,0,0,0,0,20839,3052,1187,268,12227,82,1442,164,11184,0,1442,21958,2861,1091,345,12976,70,1785,253,11814,0,1785,11763,8603,2994,10534,7767,2767,10288,6726,2865,10008,7697,1981,9165,6722,2443,9270,6262,2711,10111,7069,2738,12678,8756,3693,10389,7318,2893,10041,7751,2082,10109,6976,3133,9852,7812,2040,10644,7551,2992,11808,8110,3464
28,28,26844,2441,1176,546,20343,424,5006,0,0,26895,2159,1895,895,19969,493,5818,0,0,27502,2225,1373,756,19172,441,6918,26252,2238,1544,646,18605,262,6164,307,15930,6,3641,2577,27734,2083,1742,723,19527,257,7121,22236,2329,860,384,16832,251,3399,0,0,17783,2026,1507,512,11084,60,1095,352,10677,14,1095,1500,0,22551,2071,968,528,16133,319,4656,22551,2071,968,312,14046,21,2878,2206,16964,2120,1165,458,10637,41,1247,0,0,0,0,17611,1903,1269,331,10863,25,1944,276,10265,4,1944,17737,1873,1104,359,11031,114,1867,276,10388,25,1867,6464,4486,1851,6182,4517,1665,5901,3840,1666,5646,4186,1177,4862,3530,1332,4907,3202,1480,5668,3818,1644,7839,4932,2775,5456,3659,1678,4681,3376,1097,4727,3128,1599,4602,3399,1203,5458,3619,1769,5933,3603,2221
29,29,25942,1051,1530,275,19513,356,7758,0,0,28426,1016,2997,340,22293,558,7760,0,0,27582,1181,1281,443,20760,367,7362,27406,969,2267,236,21046,378,7658,52,15708,0,4167,4205,27561,1018,1905,233,21249,397,7800,19237,962,971,131,14831,169,4536,0,0,18652,970,1738,73,12063,10,1696,73,11621,0,1696,2084,0,21542,1068,868,291,16613,237,4856,21542,1068,868,118,14262,11,2800,2395,17946,835,1430,11,12157,19,1611,0,0,0,0,18122,917,1177,56,12100,49,1491,36,11375,0,1491,17492,1012,690,58,12478,27,1350,41,11583,0,1350,6375,4561,1700,6494,4909,1585,5777,3818,1582,5664,4424,999,4792,3587,1205,4841,3103,1588,5586,3747,1670,7653,4480,3041,5523,3623,1799,4972,3656,1150,5008,3098,1910,4907,3675,1232,5595,3561,1981,6248,3428,2710
