ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
10,10,146786,109143,19572,10313,7146,3047,902,0,0,161677,115048,25436,12583,7811,3139,1140,0,0,168317,114062,27611,13490,9509,6355,1353,168724,114298,27680,13727,9472,5562,1254,166549,119645,26118,12756,7885,3073,850,8468,4269,437,222,299,7094,168975,119082,28565,12388,8748,4222,1273,108833,84697,12128,6339,4686,1915,519,0,0,120561,91253,15134,7830,4243,1211,210,7168,3009,340,671,0,130152,92523,18313,8963,6795,4473,859,130152,92523,18313,6334,4428,692,300,663,6899,124032,95185,15038,7513,4345,1347,160,0,0,0,0,0,127522,96618,16891,7199,4346,1618,144,5978,2962,277,144,130814,96562,19301,7712,4716,1639,188,6155,3333,324,188,70780,26095,43600,69726,25581,44145,79465,25156,45851,78880,26763,47359,67692,25799,38774,67142,24293,40115,79738,29671,45833,93111,39275,50211,92588,36812,52636,81961,32253,46420,92665,40662,49363,89096,36088,48825
11,11,146760,79417,39234,21659,6669,4688,1458,0,0,163014,84483,46362,25711,7658,5014,1980,0,0,165985,81992,48919,23852,8381,8030,1969,167144,82468,49218,23935,7750,6156,1806,166808,84267,48318,26856,7507,5171,2428,18284,4110,551,707,653,9922,166939,82683,48317,26802,8413,6923,2587,107553,63841,24258,13898,4671,3061,845,0,0,112424,68030,23172,14757,3347,1950,559,13190,2567,534,778,0,125343,67561,32126,16226,5996,5735,1280,125343,67561,32126,12590,3890,949,707,773,6747,114989,68115,24958,15449,3217,1909,586,0,0,0,0,0,117127,68434,26130,15137,3705,1861,528,12989,2630,495,528,117239,67469,27545,13924,4594,1950,524,11582,3141,478,524,45960,23145,21918,47270,25379,21891,53822,22814,25309,53075,23983,24711,43064,21452,18953,42834,20863,19700,53298,25633,24226,64092,33009,28113,63507,31744,28586,54645,27055,24796,61771,31266,28642,58660,28550,26692
12,12,151182,110836,21003,12494,5486,3786,1449,0,0,166512,115816,27324,13916,6951,5082,1916,0,0,168536,111225,28963,15676,8117,6705,2185,169103,111535,29077,16206,7897,5831,2064,167745,113398,30602,14296,7149,4596,1701,10300,3998,766,947,358,7381,170181,112969,33437,15704,6606,5993,1818,114194,88228,12990,7662,3700,2526,847,0,0,124106,92275,17156,7800,3532,2147,684,7173,2474,641,557,0,131416,91394,19564,10695,5692,4678,1365,131416,91394,19564,7975,3422,682,720,747,6912,127039,91910,20027,8533,3661,1962,447,0,0,0,0,0,129251,92444,21248,9051,3704,1698,589,7983,2417,482,589,127653,92361,19654,8947,3919,1541,456,7693,2553,355,456,63932,30900,31876,67374,32987,34387,72079,30022,34951,71477,31504,35139,60744,29746,28238,60364,28488,29413,71137,33237,34195,81937,40889,37928,81379,38981,39401,72284,34879,34478,79029,39983,36798,76019,36410,36022
13,13,141524,75222,60144,2910,2464,3311,353,0,0,161267,82230,68505,4791,4205,4295,689,0,0,161486,74094,74240,5218,4471,7054,631,162178,74322,74645,5197,4317,6004,553,164676,83086,70535,5581,3897,4190,578,3930,2387,511,137,113,3962,162178,77075,73534,6120,4155,5257,481,102210,60509,37259,1918,1720,2234,240,0,0,106610,66358,34156,2161,1753,1527,168,1926,1416,735,408,0,119070,60536,49102,3417,3045,5028,396,119070,60536,49102,2443,2159,657,141,507,3525,109723,66972,36354,2471,1589,1543,61,0,0,0,0,0,107691,63065,38075,2783,1744,1503,89,2371,1201,383,89,110392,64042,39712,2755,2021,1314,145,2093,1294,324,145,48091,25058,21959,48905,26060,22845,57975,24402,28063,56918,26744,26529,50210,22498,24924,49370,21855,25323,57408,25926,28499,65223,30365,32833,64971,29716,33401,58344,26425,29619,64234,27528,34912,62441,27637,32870
14,14,141403,117214,15269,2560,5125,2314,343,0,0,158007,126146,19309,4293,7093,3169,388,0,0,160676,123732,20713,4184,7465,4624,574,160983,123932,20786,4333,7603,4205,518,158306,124708,20282,4614,7159,3207,352,2309,4668,1021,201,521,4598,159211,125636,19532,4593,7307,3292,468,115117,98060,10449,1729,3829,1629,257,0,0,123915,105024,11438,2328,3301,1567,130,1615,2359,921,167,0,133326,105454,15205,3025,5948,3455,407,133326,105454,15205,1795,4211,592,115,615,5339,126023,105569,12507,2339,3571,1741,187,0,0,0,0,0,129030,108845,12352,2384,3410,1564,212,1538,2209,604,212,130753,109601,13207,2340,3751,1287,202,1507,2285,390,202,78977,49168,28430,81662,50757,30905,88370,51487,27330,86868,51436,29368,78811,52939,23387,77510,49897,25120,86172,55155,26762,94861,64950,26810,91047,60261,28541,86610,57171,26315,91119,63595,24728,87469,60803,23805
15,15,144791,126098,13707,1355,2294,2294,214,0,0,160541,138871,15504,1480,3166,2564,387,0,0,160638,131359,17911,2398,3255,5081,385,160877,131525,17959,2580,3400,4776,351,166164,143601,15479,1972,3091,2700,385,977,1638,830,53,160,3426,160468,135338,17630,2156,3079,3040,316,113048,101543,8294,677,1431,1559,130,0,0,126249,113394,9052,650,1700,1071,73,483,1232,446,254,0,130149,109959,11874,1476,2285,3719,279,130149,109959,11874,735,1389,538,91,691,4872,129756,117796,8403,820,1446,1125,46,0,0,0,0,0,126245,112885,9528,867,1598,1190,42,537,1008,460,42,128452,112548,11101,1207,1990,1265,127,773,1204,276,127,82882,42561,38595,87143,43340,43803,95737,41354,45809,95236,43272,45988,88295,44104,40797,87137,41842,42374,96444,46393,45795,108139,55636,49503,104834,52114,50396,98162,48790,46061,107116,56137,47874,104097,55838,44207
16,16,157366,135000,13927,2457,4905,2075,311,0,0,170259,142202,17451,2967,6468,2045,377,0,0,166100,132781,18031,3512,7303,4376,455,166292,132924,18063,3630,7468,4067,427,168894,140203,17030,2725,6821,2033,515,1525,4613,409,84,547,4487,166074,136371,16775,2995,7162,2155,433,120952,106423,9022,1431,3172,1409,191,0,0,129954,113778,10152,1509,3146,1022,65,1140,2505,471,334,0,130600,107461,12301,2293,4953,3211,304,130600,107461,12301,1316,3641,442,88,546,4805,129084,112746,10213,1410,3219,1060,85,0,0,0,0,0,128302,111429,10521,1719,3357,915,118,1098,2248,211,118,126560,107798,11247,1967,4314,1066,93,1394,2876,175,93,96701,46699,48532,97467,44655,52812,102035,46084,46650,101268,47713,48969,93877,46746,43976,92613,43284,46700,102359,50429,47906,112438,60908,48591,112326,57957,52450,103318,52649,47688,107652,59267,45462,103899,56612,44883
17,17,133835,97629,27571,1967,5825,2369,229,0,0,152855,110732,31250,2422,7059,2532,183,0,0,164658,114307,33600,3131,9142,4963,378,164918,114447,33702,3127,9248,4557,357,157507,114218,30887,2659,7930,2390,274,1180,5944,621,144,277,4232,165569,119935,31293,3022,8753,2931,354,98458,75769,17010,1104,3815,1538,147,0,0,107436,86970,14513,1246,3321,1098,110,841,2843,441,246,0,126362,91925,22477,2063,6386,3618,268,126362,91925,22477,1156,5082,490,95,623,4514,112338,90783,14731,1444,3755,1123,156,0,0,0,0,0,121280,97000,16806,1610,4367,1012,122,893,3522,320,122,125902,98331,18929,1767,4943,1286,142,874,3901,293,142,68409,41281,25874,71960,43716,28244,80872,47258,26354,80246,46462,28341,77579,50196,24664,76420,48054,25885,85384,53945,27769,98949,67071,29308,98783,64624,32115,88646,57541,28175,100593,68879,29007,97526,66358,28560
18,18,149835,125130,11911,2023,9771,1535,313,0,0,162741,131599,14249,2567,13106,1768,423,0,0,164205,127077,15892,3280,13802,2957,422,164297,127138,15908,3295,13993,2821,404,163853,131857,14899,2667,13193,1672,333,1313,10308,247,54,325,4856,161697,127703,15617,2782,13232,1971,335,123256,105257,8256,1478,7398,1151,227,0,0,127055,109954,8224,1563,5864,830,98,1240,4679,173,448,0,138015,109284,11760,2497,11018,2281,343,138015,109284,11760,1526,8969,439,137,749,5151,128838,110380,9598,1606,6029,787,51,0,0,0,0,0,128853,108818,10083,1752,6774,955,67,1153,5204,196,67,128943,107363,10938,2053,7424,883,59,1234,5388,211,59,94153,74953,17808,94329,73853,20476,99402,77930,14736,97683,73255,17078,91442,75827,13768,90070,73456,14738,96966,78296,15197,102075,85762,14397,101670,83523,16623,95989,78195,15034,93812,77527,13713,90823,75455,13145
19,19,153493,123157,21120,2383,5899,2699,304,0,0,165017,129557,24392,2971,6645,2931,392,0,0,164250,122719,25933,3642,7384,5765,459,164524,122874,26020,3716,7655,5169,419,161106,125674,24025,2847,6795,2733,348,1601,4991,675,124,134,3891,162516,124301,25815,3366,6495,3478,387,117372,97603,13490,1344,4016,1805,177,0,0,126827,104633,15483,1453,3635,1324,135,1189,3052,684,203,0,131619,101907,18140,2311,5474,4210,317,131619,101907,18140,1336,4101,590,75,499,4971,124796,102627,15210,1382,3806,1429,124,0,0,0,0,0,127419,103813,16431,1715,3638,1616,80,1060,3001,422,80,126657,101621,17132,2263,4193,1181,28,1372,3344,142,28,82775,44333,36818,85455,45057,40398,92624,43900,39986,90505,45175,39971,85721,46073,35844,84346,43249,38102,94371,49752,40243,106500,60978,42479,106365,58974,44979,95791,52254,40169,101865,59247,39792,97150,55934,37749
20,20,147098,123034,15257,2076,5563,2175,262,0,0,158620,127962,19169,2855,6816,2711,475,0,0,167911,131379,20320,2972,8514,4825,372,168082,131485,20364,3002,8808,4402,361,165875,133048,20487,3273,7550,3096,647,1774,5483,735,97,218,4023,166536,131548,21099,3302,8436,3349,225,114193,97852,10238,1286,3778,1526,193,0,0,124375,103950,13041,1673,4043,1459,49,1509,3387,702,202,0,133303,107402,14121,2002,6005,3589,258,133303,107402,14121,1156,4781,588,85,575,4595,129440,108217,13851,1711,4112,1345,58,0,0,0,0,0,130386,108720,14378,1553,4428,1134,49,1070,3369,385,49,131091,108636,14920,1544,4533,1228,58,978,3379,316,58,87958,45920,40622,90394,45663,44731,97746,47203,41976,95870,47731,42963,92954,49365,40225,91588,46170,42537,100838,52744,43941,113672,64330,46228,113617,61655,49753,102771,55307,44234,109405,62609,43718,104874,58427,42995
21,21,141250,66207,65988,3896,4606,4118,341,0,0,160362,69952,78963,5607,4978,6242,487,0,0,168413,69383,82877,6490,6823,8081,573,169018,69644,83169,6168,6702,6998,520,158739,68146,79657,4753,4986,6421,864,3184,3134,704,379,386,3151,169605,73663,83211,5418,5807,8239,967,99543,52343,40974,2250,3180,2730,217,0,0,100417,55516,37981,2811,2467,1338,89,2521,2064,648,225,0,123291,56120,55409,4063,4868,5742,380,123291,56120,55409,2892,3765,829,155,518,3603,101349,54785,39981,2237,2506,1328,324,0,0,0,0,0,110932,59289,44026,2560,3177,1239,279,2169,2411,414,279,110923,58818,43200,3316,3803,1041,259,2758,2794,312,259,45685,26919,17703,49716,30270,19446,57569,28817,23890,54725,29098,22252,49798,26976,20149,49009,26225,20796,58989,31799,24392,71886,40281,29584,71488,39493,29773,61299,32999,26004,71714,36219,33569,68535,35636,30429
22,22,148588,104601,34514,3322,4862,3737,374,0,0,161823,113015,38082,4027,5740,2909,284,0,0,162063,107232,37794,5097,7272,6650,521,162619,107516,38011,5075,7276,5761,500,162277,113125,37949,4435,5950,3167,441,2153,4092,767,162,390,3638,163154,112470,37415,5034,6795,4347,541,119152,89395,22769,2077,3606,2546,247,0,0,124976,96121,22256,2127,2858,1378,0,1668,2348,573,307,0,134415,93770,27317,3603,5704,5081,335,134415,93770,27317,2355,4252,975,163,708,4875,126872,97089,22868,2408,2753,1387,160,0,0,0,0,0,129979,97871,23717,2572,3751,1678,185,1959,2944,559,185,131646,99227,23074,2721,4258,1890,171,1899,3282,546,171,70882,42877,26434,73327,45223,28104,81693,46055,28020,79366,46152,27530,74569,46736,24390,73418,44808,25851,82722,50933,27723,93889,61675,29441,93692,60120,31191,83992,52904,27821,89376,58010,28628,84718,54828,26323
23,23,102568,83361,14912,995,2567,1497,159,0,0,139227,111176,21387,1520,4222,1875,351,0,0,160735,122355,25507,2366,5986,4707,434,160874,122451,25537,2367,6044,4473,426,134286,105148,21576,1708,4904,1932,323,427,3709,271,89,180,2887,164996,127195,26820,2509,6031,3247,373,72450,60893,8942,488,1538,979,86,0,0,97702,82974,10929,543,1959,976,43,425,1719,356,255,0,117869,92986,16226,1352,3936,3246,270,117869,92986,16226,718,2932,394,59,468,4086,94881,79503,11241,546,2441,949,29,0,0,0,0,0,118188,97283,14899,1160,3286,1267,28,832,2799,334,28,130263,104683,18452,1768,3866,1340,69,1265,3131,275,69,51402,22433,27891,57307,23710,33597,72633,24984,40839,72051,26838,41547,70885,27641,40466,69814,25856,41503,79753,30577,45896,97487,40402,54369,96137,37657,56598,85977,34140,49246,111074,46781,61297,108214,45645,59358
24,24,140035,82843,45632,3589,7486,3038,387,0,0,161900,88441,58778,4864,9673,3917,301,0,0,166994,82768,63822,5325,11854,6647,569,167359,82926,63989,5217,11872,5893,503,168430,88446,63562,5039,10761,4607,330,3152,7767,642,12,256,4593,166682,82244,65802,5470,11883,6206,447,98939,63195,28093,2072,4903,1992,214,0,0,102996,67756,26629,1906,5228,1127,54,1586,4515,628,316,0,123209,66627,42261,3312,8188,4683,370,123209,66627,42261,2131,6796,714,112,549,4019,106503,68431,28887,2408,5220,1398,14,0,0,0,0,0,107286,65601,31509,2995,5691,1426,12,2483,4626,424,12,111127,67115,33268,3487,5354,1658,191,2805,4351,482,191,54203,31044,22134,57320,32378,24942,64319,30806,27764,61462,31093,26729,57205,30241,24333,56176,28687,25333,66266,34434,28750,79482,43573,33520,79114,42089,34739,68567,36069,30040,78496,40846,35556,75723,39871,33776
25,25,141452,101433,27111,3008,8925,2573,350,0,0,160725,110416,34182,5089,10753,2650,318,0,0,168789,109999,37004,4873,12900,5810,587,169069,110145,37094,4741,12973,5203,541,164321,111921,34924,5974,11324,3569,472,2953,8620,601,135,119,5047,167008,112502,35193,5399,11772,4154,596,105840,79773,17249,1832,6032,1706,213,0,0,116478,88118,18602,2565,5834,1100,113,2018,5114,514,216,0,132074,90558,25421,3226,9389,4275,368,132074,90558,25421,2029,7820,591,137,565,4953,120730,90216,20020,2888,6272,1214,75,0,0,0,0,0,124718,92508,21044,2767,6870,1292,95,1900,6012,561,95,128866,91584,25619,2656,7421,1323,67,1782,6101,423,67,69042,38755,29016,72801,40061,32740,81741,41877,32275,78851,41853,32290,75469,43371,29161,74123,40818,30719,84142,47195,33176,97761,58988,36008,97158,56334,38532,86211,49664,33603,94199,56633,34862,90643,53818,34235
26,26,145853,101015,23117,11970,9158,2731,434,0,0,166010,113326,25813,15287,10867,2563,217,0,0,163784,103773,28596,15999,12190,5065,639,164117,103922,28666,16191,12079,4191,572,163998,111586,26200,14736,10597,2302,135,11281,8521,538,36,446,5385,161165,107585,26459,14662,10549,3397,422,115361,84230,15304,8224,6718,1922,283,0,0,120713,92734,13769,8142,4746,1354,50,7364,4023,416,158,0,132131,88493,20383,11137,9008,3888,436,132131,88493,20383,9196,7312,666,168,659,5254,119988,91924,14183,8136,4687,1137,40,0,0,0,0,0,119858,90423,14675,8260,4977,1148,57,6776,4061,438,57,120789,88292,16600,8802,5501,1121,45,7196,4472,391,45,72282,42452,28649,73996,42519,31477,80959,46477,27708,80346,46834,29364,73023,44981,25613,72271,43200,27037,81434,49879,28352,91390,60118,28951,91189,57766,31557,81719,50894,28351,82578,52569,27697,78548,49924,26867
