ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_SEN_ROFF_Total,E_16_SEN_ROFF_Dem,E_16_SEN_ROFF_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_GOV_ROFF_Total,E_19_GOV_ROFF_Dem,E_19_GOV_ROFF_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_19_LTG_Total,E_19_LTG_Dem,E_19_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_16-23_COMP_Total,E_16-23_COMP_Dem,E_16-23_COMP_Rep,E_23_GOV_Total,E_23_GOV_Dem,E_23_GOV_Rep,E_23_AG_Total,E_23_AG_Dem,E_23_AG_Rep,E_23_AG_ROFF_Total,E_23_AG_ROFF_Dem,E_23_AG_ROFF_Rep,E_23_LTG_Total,E_23_LTG_Dem,E_23_LTG_Rep,E_23_SOS_Total,E_23_SOS_Dem,E_23_SOS_Rep,E_23_TREAS_Total,E_23_TREAS_Dem,E_23_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
10,District 10,47859,30223,791,16350,225,436,39,0,0,44194,27725,882,14960,215,425,108,0,0,44137,27058,863,14976,255,943,41,43742,27335,955,14862,223,388,20,14611,87,189,14,10,538,43062,26323,989,14924,318,369,19,36755,24015,501,11876,146,321,23,0,0,34457,22170,528,11231,86,356,55,11203,86,184,32,0,34617,21696,557,11395,170,743,32,34617,21696,557,11068,115,134,12,54,981,33923,21783,547,11245,58,314,14,0,0,0,0,0,33268,21057,574,11186,133,278,8,11112,98,80,8,33465,21397,455,10921,307,284,40,10843,186,97,40,21410,7795,13217,21348,7989,13359,21312,7226,13675,20482,7246,12960,9774,3653,6121,14660,5398,9134,15808,6521,9287,14033,3763,10270,14044,3955,10089,18923,6203,12491,22157,7283,14597,21460,6559,14410,17827,5613,11995,14030,3777,10013,0,0,0,16146,4896,10997,9513,2309,6772,9105,2473,6632,5227,1516,3711,9185,1845,7117,9108,2452,6533,9220,2405,6815,15961,4711,11034,19878,5928,13728,17990,0,17990
11,District 11,45934,16785,845,27647,543,327,65,0,0,44153,15183,1132,27467,287,231,45,0,0,42458,15365,1266,24962,508,621,51,43462,15360,1143,26587,262,255,9,26160,220,27,0,121,443,42117,15190,994,25244,288,653,31,36692,14254,605,21233,478,253,50,0,0,34882,12833,440,21304,164,141,0,21275,154,68,40,0,34439,13317,965,19424,419,485,28,34439,13317,965,18931,266,135,1,60,764,34718,12945,536,20969,143,144,0,0,0,0,0,0,34176,12951,583,19931,52,427,30,19797,49,138,30,34242,12804,510,20088,72,497,40,19859,71,87,40,17423,10702,6423,16394,10387,6007,15432,9163,5840,14397,8162,5862,6459,3717,2742,10260,6026,4138,11733,7512,4221,9604,4754,4850,9652,4713,4939,13083,7386,5433,15081,8863,5963,14230,7419,6173,12215,6750,5228,9584,4609,4707,3471,1973,1498,11406,6077,5055,7720,3179,4070,7334,3511,3823,6496,2998,3498,7317,2773,4312,7345,3322,3897,7304,3314,3990,11084,5800,5054,13290,7486,5641,10735,0,10735
12,District 12,46060,33802,1558,10006,516,301,37,0,0,46534,34170,1625,9653,812,410,100,0,0,45889,32998,2204,9190,623,842,65,46608,33853,1705,9851,728,447,82,9483,542,67,7,238,703,46185,33042,1979,9330,898,935,44,35806,26952,971,7352,383,228,24,0,0,35685,27314,480,7110,372,276,4,7011,289,124,113,0,36100,26669,1408,6859,485,631,39,36100,26669,1408,6573,390,86,7,43,924,35843,27255,544,7338,355,253,4,0,0,0,0,0,35416,26804,724,6884,490,571,4,6648,351,50,4,34628,26277,811,6521,463,782,0,6382,381,87,0,22056,5282,16365,21900,5307,16593,22669,4839,17070,21669,4985,16278,9751,2235,7516,15491,4044,11367,16805,5358,11447,15040,2590,12450,15111,2604,12507,20204,4290,15563,23804,5370,18026,23108,4220,18169,19318,3977,15026,16625,3032,13378,8774,1190,7584,18312,3472,14461,12547,1773,10175,12077,1982,10095,6410,1150,5260,12271,1136,10848,12112,1826,10127,11941,1935,10006,18416,3485,14618,22813,4739,17781,20723,0,20723
13,District 13,48373,32291,684,14845,184,502,22,0,0,46236,30523,804,14071,219,452,3,0,0,44187,28127,1777,12696,502,1055,92,46299,29919,901,14461,214,585,2,14223,127,174,0,374,580,44205,28560,981,13353,198,988,31,37112,25229,438,11026,134,375,18,0,0,35704,24160,373,10710,64,383,0,10650,56,173,13,0,34517,22466,1498,9329,396,791,55,34517,22466,1498,8911,323,184,25,68,1042,35456,23812,367,10812,72,514,0,0,0,0,0,0,33920,22854,378,9808,100,814,10,9695,80,211,10,32316,21672,755,8728,309,797,15,8567,241,212,15,23519,7864,15138,22286,7362,14924,22411,6731,15232,21326,7046,13883,10143,3362,6781,16302,5755,10431,16961,6537,10424,15475,4120,11355,15524,4243,11281,19950,5960,13731,22951,6759,15934,22272,5842,15796,18932,5398,13308,15301,3729,11322,9460,1659,7801,18175,4713,13158,14172,2731,10548,13517,3181,10336,9751,2523,7228,13779,2330,11016,13617,2993,10430,13443,3033,10410,18041,4581,13189,21122,5574,15337,19099,1190,17909
14,District 14,39760,30717,647,7550,754,167,26,0,0,43350,31553,1321,9125,675,369,0,0,0,44279,30145,1139,10838,1200,823,30,43144,32101,928,8866,786,199,0,8275,646,46,0,448,704,45735,32761,948,10434,1073,482,0,30348,24272,438,5044,512,125,20,0,0,32428,24639,672,6520,308,276,0,6420,264,75,25,0,33794,23885,766,7507,871,655,20,33794,23885,766,7245,738,70,5,94,991,32133,24978,619,5997,335,179,0,0,0,0,0,0,33296,25352,630,6748,402,199,0,6544,401,32,0,32575,23147,1123,7728,433,150,0,7495,417,13,0,19133,3859,14965,19014,4415,14599,19602,4235,14661,19032,4243,14516,7830,1761,6069,12605,3526,9047,14740,5157,9583,12231,2428,9803,12287,2324,9963,17124,3912,12942,19991,5001,14657,19698,4145,15034,16342,3780,12312,14279,3339,10761,14038,2538,11500,15389,3384,11686,9748,1727,7569,9436,1931,7505,4903,1033,3870,9603,1235,8111,9369,1855,7405,9248,1924,7324,15268,3519,11486,18728,5052,13384,17918,2135,15783
15,District 15,39628,36209,736,2035,411,274,43,0,0,40125,36696,768,1988,403,273,68,0,0,43934,37185,1445,3086,682,1242,20,39842,35529,814,2328,425,309,28,2289,286,60,0,22,844,42327,37170,950,2909,454,271,3,29046,26722,474,1391,260,208,28,0,0,30213,27836,400,1542,243,196,0,1542,188,50,0,0,32900,28293,923,2042,465,937,16,32900,28293,923,1874,365,150,3,56,1236,30057,27393,344,1874,218,195,0,0,0,0,0,0,32267,29254,400,2236,244,141,2,2217,206,8,2,32858,29531,745,2189,183,163,4,2144,168,7,4,19402,2039,17140,19595,2007,17588,20852,1896,18368,20110,2396,17419,7170,679,6491,13277,1797,11460,15243,2732,12511,12981,1094,11887,13031,1097,11934,18354,1871,16238,21631,2224,19136,21326,1783,19119,17436,1687,15526,14648,1348,13173,14455,969,13486,16465,1422,14766,10411,605,9346,10177,772,9405,4936,406,4530,10340,502,9644,10177,721,9353,10049,777,9272,16620,1502,14905,21792,2365,19285,20894,601,20293
16,District 16,44594,16041,546,27419,559,275,56,0,0,43144,13622,430,28431,647,70,5,0,0,42328,12508,831,27974,647,602,37,43744,14153,593,28298,603,146,0,27945,538,80,0,0,432,43052,13713,709,27881,466,252,38,33041,13350,397,18808,438,201,41,0,0,31307,11440,123,19328,372,40,0,19226,335,20,4,0,32122,10637,573,20076,542,437,29,32122,10637,573,19573,436,76,10,38,779,32341,11781,252,19836,371,121,0,0,0,0,0,0,32765,11525,463,20427,265,160,40,20268,224,20,40,32229,11567,499,19929,137,171,24,19792,132,24,24,17642,10683,6735,17298,11463,5835,16234,10254,5633,15144,9226,5570,6514,4020,2494,9767,6242,3493,12057,8558,3499,9185,4910,4275,9138,5067,4071,13426,8295,4886,15938,10530,5177,14822,8735,5415,12446,7619,4597,9078,5138,3716,8732,4461,4271,11503,6996,4234,6825,3611,2829,6491,3711,2780,3256,1733,1523,6526,2581,3781,6507,3688,2734,6457,3698,2759,11137,6764,4111,13936,8829,4901,13030,6833,6197
17,District 17,44513,12762,929,30635,208,282,35,0,0,42490,11519,923,29762,319,89,0,0,0,42807,10655,2363,29027,486,605,43,41063,10542,1077,29202,221,94,0,28985,169,31,0,0,256,41533,10758,1280,29051,239,327,62,31855,10631,633,20413,155,215,16,0,0,31116,10124,511,20290,127,61,0,20248,127,22,14,0,31485,9126,1797,19918,398,430,25,31485,9126,1797,19380,342,66,8,62,704,30145,9351,653,19984,129,74,0,0,0,0,0,0,30758,9658,666,20129,146,236,16,19974,137,78,16,29307,8586,655,19820,140,288,15,19517,129,36,15,17378,12375,4782,17073,12919,4154,16066,11711,4040,14761,10206,4196,5832,4322,1510,8672,6465,2168,11753,9402,2351,7998,4997,3001,8010,5064,2946,12859,9078,3542,15655,11545,3872,14527,9651,4208,11661,8213,3230,7475,4893,2359,7071,4194,2877,10524,7319,2946,5194,3135,1735,4952,3269,1683,2509,1696,813,4918,2172,2578,4950,3148,1698,4841,3156,1685,10103,6937,2908,13099,9269,3621,11942,6786,5156
18,District 18,47582,27014,902,19426,157,219,25,0,0,47476,27132,926,18983,225,238,30,0,0,46494,28697,1708,15161,288,670,67,47525,27245,1087,18645,217,490,40,18102,165,49,0,22,852,46510,26022,1242,18547,123,679,20,37093,21276,598,15043,98,181,12,0,0,37307,21720,530,14802,66,205,0,14732,52,36,39,0,36957,23520,1311,11403,200,476,48,36957,23520,1311,11060,102,144,7,84,729,37213,21964,789,14184,42,350,0,0,0,0,0,0,36689,21163,911,14149,54,614,0,13853,34,129,0,36118,20536,969,14187,126,465,5,13811,77,148,5,22796,10134,12240,23408,10434,12974,22869,9329,13051,21704,8487,12769,11294,4678,6616,19257,10511,8632,19840,11313,8527,18159,6302,11857,18295,6102,12193,21708,8661,12712,24769,9535,14854,23861,7968,15118,21129,8280,12543,18406,6245,11840,17352,4086,12840,20015,7005,12597,15725,4606,10280,15006,4471,10535,12461,4058,8403,15191,3394,11263,15004,4557,10275,14678,4670,10008,20206,6876,12955,23766,8496,15007,22858,9326,13532
19,District 19,47429,32737,847,13481,224,290,20,0,0,45722,30240,1100,14045,209,210,65,0,0,43183,28651,988,12665,224,802,50,45419,29654,1053,14230,270,275,117,13951,135,54,23,72,464,43992,28496,1123,13886,329,300,14,35998,25571,556,9614,158,215,9,0,0,35531,24110,687,10399,136,174,0,10347,120,43,40,0,33565,22960,676,9221,161,597,37,33565,22960,676,8868,88,106,2,58,807,35228,24167,711,9908,154,234,0,0,0,0,0,0,33632,23156,685,9373,131,222,4,9300,57,39,4,32566,22406,690,8877,68,364,7,8704,22,49,7,22031,5901,15671,20958,5984,14974,21658,5503,15822,20338,5343,14699,9511,2336,7175,17026,4605,12351,17103,6062,11041,15976,3099,12877,16117,3234,12883,19753,4744,14816,22577,5741,16637,21604,4551,16538,18791,4313,14304,14992,2879,11907,14729,2306,12423,17151,3703,13219,11881,1955,9386,11408,2234,9174,7099,1571,5528,11505,1558,9679,11428,1943,9339,11146,2067,9079,17029,3620,13205,20506,4761,15522,19735,3347,16388
20,District 20,44486,35690,536,7885,103,339,22,0,0,44029,34251,915,8612,285,131,31,0,0,42204,32753,1230,7156,229,870,66,42784,33124,904,8464,322,284,16,8023,228,113,5,0,396,42105,32355,916,8115,393,441,13,33884,27588,342,5683,76,247,13,0,0,33380,26282,450,6434,114,99,22,6430,94,65,27,0,32439,25580,984,5036,152,649,38,32439,25580,984,4832,94,114,13,36,786,32380,26259,460,5608,152,241,4,0,0,0,0,0,31957,25758,660,5528,195,281,4,5387,162,49,4,31969,25536,426,5367,102,663,0,5191,93,55,0,21148,4051,16647,19875,3641,16234,21121,3130,17676,20012,3635,16056,9234,1447,7787,17164,3074,13982,17605,4083,13522,16482,1991,14491,16530,2193,14337,19639,2905,16533,22228,3297,18757,21483,2673,18332,18796,2569,16055,15132,1689,13292,14934,1386,13548,17714,2177,15319,14032,1234,12066,13471,1532,11939,8246,967,7279,13613,902,12309,13569,1215,12188,13226,1380,11846,17725,2151,15388,20637,2793,17708,19787,1779,18008
21,District 21,49741,20730,581,28157,185,303,21,0,0,45292,19753,541,24889,45,73,0,0,0,44329,17353,864,25608,245,508,69,45151,19786,720,24413,50,125,0,24271,50,40,0,20,268,43752,19124,817,23409,103,302,9,36689,16457,421,19604,128,214,17,0,0,33839,15607,273,17907,14,56,0,17853,14,24,6,0,33666,14031,589,18659,179,348,30,33666,14031,589,18271,132,44,4,21,574,33514,14896,400,18156,11,107,0,0,0,0,0,0,32727,14546,402,17519,32,215,0,17227,32,80,0,32130,14041,430,17032,36,423,0,16672,28,136,0,23649,13059,10189,22853,13059,9794,20489,10993,9213,18568,9350,8720,8469,4568,3901,16047,8940,6924,16554,10320,6234,14830,6642,8188,14910,6999,7911,18017,9172,8561,20280,10667,9321,18908,8637,9523,17030,8498,8281,13004,5605,7104,12470,4949,7521,15536,7517,7716,11079,4712,5700,10426,4842,5584,8473,4646,3827,10432,3549,6493,10402,4626,5600,10169,4713,5456,15049,7128,7621,17139,8470,8445,15849,6244,9605
22,District 22,43122,28806,1440,12065,254,736,40,0,0,43271,28521,1769,12048,318,566,55,0,0,43238,26956,3436,11180,569,1119,59,43431,28148,1795,12564,215,528,60,11996,110,309,32,331,707,42326,26828,1898,12286,396,814,101,33544,22412,1253,9256,189,522,26,0,0,33492,22787,974,9279,125,296,2,9219,46,206,31,0,34459,21450,3109,8496,483,851,42,34459,21450,3109,8119,405,255,16,113,992,33890,22483,933,9627,111,310,30,0,0,0,0,0,33389,21593,1144,9417,223,526,80,9076,122,217,80,33097,20811,1973,9455,193,461,78,9141,139,194,78,16460,4676,11429,16087,4567,11520,16400,4120,11760,15634,4024,11209,6312,1580,4732,11933,3627,8216,12205,4293,7912,11598,2329,9269,11577,2367,9210,14704,3529,10902,16945,4049,12647,16309,3325,12376,13960,3223,10512,11235,2111,8995,5984,295,5689,13261,2747,10221,9984,1493,7896,9589,1721,7868,6577,1291,5286,9601,1121,8216,9600,1532,7937,9408,1628,7780,13221,2657,10320,15862,3414,12255,14763,2498,12265
23,District 23,39987,9682,3667,26327,568,331,30,0,0,45358,14033,3453,27412,679,382,16,0,0,42708,13936,5378,22423,914,794,41,46377,14243,2969,28198,836,388,11,27102,666,62,0,378,959,43492,14454,3488,24371,668,679,13,32584,8765,3102,20411,490,269,23,0,0,36341,12616,1706,21478,297,198,0,21172,230,29,95,0,35751,12647,4012,18183,778,658,33,35751,12647,4012,17120,541,78,10,181,1162,37616,12870,1472,22542,495,169,0,0,0,0,0,0,35008,13188,1673,19371,350,308,0,18861,268,89,0,34233,12348,2600,18423,444,328,5,17849,304,168,5,14846,12804,1737,16411,14850,1561,19059,16587,1579,17916,14915,2454,8682,7871,811,10822,10155,607,14547,13815,732,10076,8645,1431,10259,7906,2353,16119,14070,1640,20296,18107,1802,19049,16066,2097,15116,13336,1433,11946,10564,1184,11939,10850,1065,14190,12302,1477,7783,6370,1061,7481,6259,1222,4980,4450,530,7405,4651,2551,7452,6320,1037,7398,6324,1074,14000,12171,1486,17836,15596,1655,16866,15309,1484
24,District 24,45235,36281,2166,5127,689,1357,186,0,0,43005,33856,2273,4872,918,1185,279,0,0,42692,32947,2393,4849,719,1740,305,43327,33963,2397,4917,856,1225,178,4368,502,530,8,196,1356,41650,33011,2182,4393,763,1312,131,33284,27348,1363,3364,444,910,109,0,0,32386,26139,1552,3324,449,772,49,3166,362,503,122,0,32265,25564,1542,3288,547,1202,184,32265,25564,1542,2983,318,369,108,118,1263,32519,26162,1555,3440,453,778,10,0,0,0,0,0,31134,25408,1348,3026,390,794,19,2869,275,392,19,30659,24840,1441,3078,297,826,68,2807,192,312,68,16477,2742,13281,16376,2453,13923,17488,1941,15130,16807,2188,14304,6906,863,6043,12722,2170,10393,12953,2335,10618,12433,1257,11176,12432,1416,11016,15968,1868,13881,18954,2192,16543,18228,1846,15915,15286,1659,13427,12726,1053,11491,0,0,0,14397,1318,12850,10221,590,9071,9891,887,9004,5104,455,4649,9813,529,9019,9893,706,9073,9742,752,8990,14478,1315,12965,17686,1824,15715,16818,0,16818
25,District 25,42662,29623,913,10599,709,918,43,0,0,43532,28326,1440,12116,943,878,4,0,0,43136,28391,1434,10931,1095,1248,43,43600,28492,1513,11631,1040,871,1,10917,785,368,0,576,954,43400,29207,1587,10851,761,794,26,32242,23203,605,7277,490,657,34,0,0,32362,22288,628,8461,450,595,0,8293,296,323,13,0,33462,22823,952,7874,776,940,31,33462,22823,952,7464,622,318,11,185,1087,32989,22831,827,8349,488,631,0,0,0,0,0,0,32787,23178,712,7883,468,599,0,7631,320,265,0,32770,23002,846,7898,489,611,0,7594,427,247,0,20975,6317,14256,21339,6352,14987,21561,5875,15063,20468,5444,14549,8968,2542,6426,15291,5246,9948,16981,6507,10474,14779,3369,11410,14770,3360,11410,19277,5165,13787,22352,6169,15823,21789,5087,16018,18426,4828,13327,15479,3473,11783,10334,1576,8758,17641,4233,13045,13085,2451,9865,12527,2620,9907,8667,1834,6833,12741,1730,10636,12520,2318,10017,12367,2587,9780,17542,4171,13067,20768,5409,15068,19071,5016,14055
26,District 26,49413,14870,850,32741,784,564,32,0,0,45735,14159,972,29753,523,602,0,0,0,44636,11840,1374,30302,685,735,45,45171,13200,940,30447,424,468,83,29749,242,135,11,63,828,44450,12850,964,29783,512,528,16,35975,12492,591,22113,567,389,22,0,0,34769,12107,500,21469,290,317,0,21319,255,183,114,0,33616,10059,1048,21624,525,533,32,33616,10059,1048,20955,399,132,8,100,915,33906,11099,371,21854,227,241,10,0,0,0,0,0,32713,10613,337,21139,257,369,4,20948,209,129,4,31450,10120,504,20233,235,399,4,20020,161,132,4,18815,12864,5684,18872,13131,5741,16948,11924,4572,15653,10083,5039,6358,4632,1726,10390,7806,2527,12559,9960,2599,9892,6407,3485,9809,6426,3383,14117,9726,4061,16797,12131,4326,15513,9959,4780,13135,9051,3797,9688,6027,3325,9321,5289,4032,12128,8116,3679,7257,4245,2658,6908,4374,2534,3303,2125,1178,6853,3483,3143,6951,4215,2632,6730,4267,2463,11643,7753,3580,13889,9699,3959,13582,10059,3523
27,District 27,41762,35729,926,4168,399,601,34,0,0,43535,35993,798,5840,487,515,25,0,0,44225,34866,1440,5449,701,1553,54,43114,35777,1055,5258,486,654,22,4626,250,226,7,15,1159,44201,35720,1240,5451,742,823,20,31143,26937,647,2882,273,431,27,0,0,30911,26784,406,3258,175,334,0,3018,160,93,21,0,33378,26930,951,3656,491,1148,39,33378,26930,951,3377,330,207,9,99,1475,31023,26967,518,2876,168,506,0,0,0,0,0,0,32421,27532,928,3132,257,529,0,2954,140,173,0,32014,26502,1068,3418,255,597,5,3306,94,172,5,19294,2794,16174,17775,2374,15401,18922,2232,16031,18068,2351,15260,6913,955,5958,12832,2737,10002,13257,3344,9913,12499,1443,11056,12529,1352,11177,16622,2180,14124,19082,2412,16299,18705,2007,16183,15872,2056,13544,13549,1665,11740,13462,1236,12226,14886,1666,12898,9920,823,8635,9661,1060,8601,4840,507,4333,9813,578,9002,9657,833,8720,9515,1010,8505,14774,1723,12802,17964,2462,15316,18324,3976,14348
28,District 28,45014,29870,672,13741,189,897,21,0,0,43898,28937,804,13254,316,1637,81,0,0,42851,27562,1548,12393,470,1020,50,43816,28768,806,13403,288,1417,71,11710,226,342,71,44,1850,43016,28277,908,12765,280,1695,12,33914,23095,447,9855,133,588,11,0,0,33363,22763,510,9458,173,1092,59,8621,113,265,39,0,32992,21762,1307,8849,401,730,42,32992,21762,1307,8284,329,252,1,75,982,33636,22932,523,9563,158,1032,54,0,0,0,0,0,32509,22375,414,9102,146,1066,14,8131,126,225,14,31621,21099,881,8943,196,828,5,8297,186,171,5,18809,6877,11444,18423,6502,11921,18299,5446,12441,16798,4808,11466,7690,2659,5031,14397,5690,8629,14948,6458,8490,13564,3375,10189,13652,3287,10365,16740,4849,11590,19417,5479,13636,18334,4340,13309,16048,4539,11255,12769,3122,9422,11128,2256,8872,14918,3791,10827,10930,2158,8216,10308,2313,7995,5507,1109,4398,10519,1520,8757,10301,1927,8260,9946,2277,7669,14918,3701,10945,17980,4821,12938,16503,4839,11664
29,District 29,45683,10258,805,34490,191,212,16,0,0,45992,10020,1347,34730,54,132,30,0,0,44544,9317,1387,33354,342,407,50,46132,10110,1105,35009,35,222,28,34410,14,125,0,0,374,45332,10110,1194,33964,170,88,7,32786,8160,570,23906,147,144,14,0,0,32234,8032,392,23657,13,110,0,23608,13,19,51,0,33038,7435,930,24304,251,301,39,33038,7435,930,23787,190,44,12,56,584,32067,7939,305,23587,4,148,0,0,0,0,0,0,33636,7910,357,25183,91,62,0,24675,91,0,0,33404,7839,670,24640,198,96,0,24074,113,8,0,21706,16486,4995,22574,18172,4402,21297,16165,4613,20116,14479,5165,11962,9057,2905,15120,12244,2794,18037,15088,2949,14192,9495,4697,14303,9059,5244,19333,14335,4645,23377,17952,5047,22172,15664,5654,18205,13487,4400,13530,9431,3826,12606,8034,4145,17070,12206,4489,11488,7119,3876,10943,6913,4030,7417,4461,2956,10975,4606,6005,10971,6990,3860,10779,6959,3820,16930,12016,4554,20351,15072,4934,19313,15360,3953
30,District 30,44322,29646,2693,10065,1232,975,307,0,0,44818,29147,3820,10298,1107,918,251,0,0,42313,27511,3026,9141,1302,1448,284,45072,29044,3881,10740,1188,781,277,9553,723,213,173,19,1471,43147,27432,3947,9705,1119,829,227,32410,22545,1701,6683,861,677,202,0,0,32766,22062,2320,7105,463,598,103,6969,342,253,135,0,31724,21226,2014,6467,882,1040,175,31724,21226,2014,5990,603,306,110,148,1327,33432,22236,2445,7426,519,621,120,0,0,0,0,0,32000,21432,2383,6945,566,610,103,6613,396,181,103,30691,21034,2178,6278,568,521,75,5907,436,139,75,14012,4434,9245,12997,4029,8968,13415,3588,9352,12599,3005,9216,4804,1305,3499,9150,3145,5882,8968,3241,5727,8833,2077,6756,8836,2177,6659,11530,3033,8247,13322,3649,9425,12714,3101,9100,10914,2858,7834,8931,1881,6869,0,0,0,9905,2355,7291,6100,1101,4536,5855,1199,4656,3264,742,2522,5912,952,4781,5866,1129,4666,5816,1201,4615,9824,2319,7291,12202,3197,8845,10897,0,10897
31,District 31,40602,29651,1512,7963,1288,258,31,0,0,45939,33389,1458,8879,1480,275,44,0,0,46510,31940,2801,8776,2302,665,42,44814,31543,1910,8899,1834,206,63,8496,1522,152,0,456,729,45204,29630,2427,10378,2328,310,58,29318,22274,1006,4995,895,182,21,0,0,33970,26019,670,6416,667,192,0,6273,633,143,1,0,34544,24595,1883,5871,1642,500,31,34544,24595,1883,5471,1510,115,3,123,844,32830,24429,761,6338,1023,161,0,0,0,0,0,0,32969,23236,932,7371,1265,237,0,7140,1197,83,0,33957,23682,1395,7284,1390,245,9,6984,1281,41,9,16514,4229,11988,17419,4071,13348,19261,4260,14295,18519,3165,14861,7898,1534,6364,12513,3427,9021,14181,4323,9858,12286,2246,10040,12225,1964,10261,17201,3714,13114,20769,5171,15224,20237,4099,15295,16392,3646,12410,13754,2762,10734,13697,2046,11418,15907,3278,12226,11030,1833,8669,10755,1618,9137,9140,1839,7301,10784,948,9534,10663,1690,8873,10428,2021,8407,16243,3438,12450,21263,5207,15712,20507,4649,15858
