ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
13,13,98446,67704,19131,9165,3568,975,144,0,0,98092,65699,19410,9845,4084,1092,147,0,0,98684,58896,24825,11399,4084,1893,158,98961,59001,24939,11423,4085,1893,158,98175,62845,22090,9771,4429,897,191,6650,3281,161,0,251,2895,99361,58749,25387,10990,5288,1228,237,75441,55438,12044,5915,2462,635,91,0,0,75315,54294,12411,5943,2156,385,20,5634,1870,60,168,0,78037,50299,16865,7838,2912,1380,118,78037,50299,16865,5806,2504,80,18,297,2168,75319,52379,14598,5579,2451,296,10,0,0,0,0,0,76249,50831,15515,5994,3099,435,4,5397,2553,84,4,75616,50193,15641,5970,3183,372,19,5288,2724,84,19,43542,27743,15249,43822,27581,16241,43263,23743,17476,42020,27360,13721,36823,22322,14045,37380,18351,17194,36318,19097,16787,40698,23280,16409,48781,28842,19160
14,14,95297,78953,6352,4666,5299,486,74,0,0,96793,75194,8965,5746,6787,725,54,0,0,94966,70624,10150,6829,6310,1283,106,95096,70723,10157,6832,6310,1283,106,96384,73435,9248,6554,7010,916,52,5134,6209,35,0,435,1890,94759,74043,9854,5447,5072,693,310,75896,64876,4165,3104,3634,335,55,0,0,74049,61858,4912,3543,3406,227,0,3227,3217,34,106,0,78063,60593,7018,4787,4584,1000,69,78063,60593,7018,3664,4136,93,12,372,2175,73848,60363,5121,4339,3639,363,0,0,0,0,0,0,73390,61280,5693,3462,2495,337,85,3176,2373,0,85,73995,59395,7132,4482,2487,347,84,4144,2258,20,84,49171,27034,21464,37777,21106,16671,49592,23992,23613,48395,30600,16837,43057,23917,18699,43771,19493,22966,42582,20670,21530,47060,24828,21361,55575,30354,24511
15,15,100014,48663,29302,21314,2281,1208,258,0,0,98839,41129,34813,23179,3064,1006,201,0,0,104093,38466,38891,25165,2660,2130,317,105079,38669,39344,25427,2664,2133,317,100086,43544,33333,23653,2346,964,198,17945,1469,28,19,493,3253,104859,36262,33205,34907,3028,1151,251,74339,40685,18456,14023,1605,832,164,0,0,67380,33275,19546,12739,1313,492,15,11992,1125,44,213,0,78430,32762,26026,17687,1943,1535,247,78430,32762,26026,13841,1473,212,28,1228,2860,68180,34541,18935,12932,1012,541,55,0,0,0,0,0,73591,29562,20299,21480,1793,531,180,19839,1571,4,180,73649,28756,22552,19488,2059,303,96,18199,1764,29,96,34034,20822,12718,33489,21040,12449,31983,17740,13191,30168,19752,9679,24660,14564,9807,25298,12869,11617,24261,12878,11161,28456,16253,11654,34610,19733,14483
16,16,103357,84079,9508,7415,2620,625,113,0,0,102488,79195,11546,8605,3309,1002,80,0,0,102388,75348,13116,9542,3694,1384,143,101256,75153,12795,8910,3692,1384,143,101587,77215,12380,8230,3569,989,129,6040,2752,52,0,130,3019,101639,72209,13781,9565,5428,657,109,79573,66761,6024,5026,1733,426,76,0,0,77840,63711,6883,5247,1616,435,0,4780,1438,53,64,0,81581,62631,8759,6754,2559,1023,112,81581,62631,8759,5323,2217,98,15,381,2157,78356,63730,7177,5204,1847,459,0,0,0,0,0,0,74619,58327,7201,6060,2633,258,0,5514,2266,25,0,75608,60066,6096,6887,2187,348,39,5763,1906,14,39,48320,24925,22688,45084,21526,23558,50012,20646,27319,48742,26497,21363,42600,19682,22472,43330,15471,25928,41482,16278,24784,46896,20729,25167,55883,25858,29229
17,17,101981,71784,10865,15440,4354,712,140,0,0,101458,62527,15426,20249,4893,900,282,0,0,100433,58892,15724,20409,4910,1569,126,100684,58998,15756,20481,4910,1569,126,100033,61735,15150,20000,4442,866,562,16094,3793,0,0,468,2800,99648,56825,19211,20247,4731,1153,280,78764,58540,6903,10330,3008,496,101,0,0,75562,51659,9156,12218,1957,365,115,11634,1901,30,256,0,79935,50299,10562,14642,3564,1166,104,79935,50299,10562,12642,3180,117,16,619,2500,76133,52155,8853,12618,2010,266,75,0,0,0,0,0,72142,47076,10835,11685,2131,346,15,11272,2060,15,15,72916,46691,10182,13440,2064,234,9,12652,1925,47,9,46643,28001,18023,45415,27476,17939,46095,24296,19955,46882,31193,14788,38323,22472,15468,39027,18899,18831,37887,19598,17899,43108,24333,17919,50915,29626,20594
18,18,102472,86804,5394,5096,4417,2035,222,0,0,100164,81463,7596,6168,4731,2349,348,0,0,99206,79327,7285,5408,4410,2984,418,99394,79487,7292,5413,4413,2985,418,100101,79852,7718,6317,5182,2796,266,3481,3446,499,5,198,4902,99308,79645,7392,6191,4803,2984,280,80260,69937,3277,3132,3171,1337,137,0,0,77805,66812,4573,2796,2060,984,40,2452,1633,418,573,0,80315,66609,4645,3488,3215,2170,264,80315,66609,4645,2259,2470,428,62,291,3551,79030,67480,4332,3095,2358,1193,14,0,0,0,0,0,78475,67320,4209,2785,2708,1187,45,2099,2218,368,45,79590,68060,4168,2930,3005,1149,56,2066,2430,266,56,45390,25706,18995,40971,23315,17656,45539,21375,21442,44114,27251,15561,38315,21875,15817,38931,17174,19042,37160,16654,19993,42475,21954,19146,52025,27647,23235
19,19,100541,78420,7700,7762,5581,2451,240,0,0,98377,74629,9115,8724,5861,3973,104,0,0,98728,69851,11203,9600,5600,3549,306,97880,69665,10945,9149,5602,3544,306,97922,73995,9767,8516,5504,3370,131,4898,4426,863,19,327,3631,98388,73934,9626,8355,5541,3175,270,77203,62253,4845,4992,4151,1560,149,0,0,75299,61076,5209,4432,3124,1573,15,3955,2974,693,148,0,78569,58217,7409,6485,4258,2537,211,78569,58217,7409,4639,3722,790,65,441,3286,75188,60602,5894,4112,2990,1582,4,0,0,0,0,0,74392,61123,5360,3651,2673,1308,0,3342,2450,436,0,73889,58071,7421,4225,2552,1187,6,3539,2294,476,6,44716,25985,18057,41332,23828,17504,44061,20974,20372,41936,25256,15445,37229,20803,15806,37786,16725,18622,36806,16981,19283,41157,21262,18539,49937,26868,21865
20,20,97229,73794,10938,8535,4114,1639,251,0,0,94429,69705,13076,8916,3729,1149,276,0,0,96136,68308,13644,8996,4496,2271,311,95671,68042,13588,8840,4494,2268,311,94666,69831,12857,9116,4080,1060,211,5674,3002,131,19,164,2987,96191,72062,11278,8741,4086,1150,67,77027,60746,7318,5986,2820,1055,164,0,0,73327,58708,6888,5162,1836,683,55,4078,1673,118,270,0,78618,58529,9500,6445,3300,1660,221,78618,58529,9500,4496,2592,321,47,352,2781,73286,58913,6631,5218,1994,519,19,0,0,0,0,0,74968,60681,5836,5548,2277,716,0,4579,1999,128,0,74883,58461,7922,4971,2593,774,0,4322,2159,125,0,48188,30114,17496,42405,25914,16491,46348,24790,19162,45050,29312,14532,39854,24406,14855,40429,20244,17973,39326,20222,18517,43705,25012,17471,52187,31228,19986
21,21,101741,84178,8336,5840,3417,485,110,0,0,102310,79767,11855,7078,4326,345,235,0,0,103132,73453,13924,10606,4312,1101,127,103266,73538,13935,10617,4312,1101,127,103078,77861,11766,9602,4505,498,316,7286,3659,44,53,184,2220,106921,81821,11833,6993,5793,959,46,79559,67784,5449,3844,2357,339,77,0,0,78452,64593,7480,3922,2130,164,15,3480,2020,60,183,0,83872,62681,9621,7512,3146,768,87,83872,62681,9621,6156,2746,52,14,516,2086,79348,63488,7422,5639,2196,273,55,0,0,0,0,0,82842,67804,7250,4048,3197,425,15,3624,2936,63,15,81403,62136,9503,5614,3670,415,5,5084,3123,37,5,52197,26195,25356,36637,18071,18566,53274,23374,27764,51826,30110,20429,44935,23031,21456,45549,18739,25694,43700,19287,24102,49809,24213,24666,59954,30731,28481
22,22,98546,57296,19173,18109,4120,725,183,0,0,98664,53236,20813,19979,5559,1156,662,0,0,100585,48769,24151,20499,5375,1494,162,100927,48817,24263,20615,5377,1494,162,96848,51036,20503,18630,7161,1045,482,16052,6009,138,24,814,2268,109059,65885,17244,12967,10815,906,331,74979,46129,13126,12541,2879,494,136,0,0,67196,40648,10994,12376,2490,275,40,12084,2412,162,472,0,77784,40356,16746,15109,3741,1049,121,77784,40356,16746,13180,3325,78,10,1291,2798,66215,39415,10818,12104,3453,236,25,0,0,0,0,0,74014,51935,8853,7511,5448,186,10,7311,5029,56,10,70485,45871,12299,7947,4002,109,9,7773,3791,32,9,41449,25157,15919,34086,19753,14333,41418,24239,15726,40014,26620,12725,33625,21347,11990,34065,18817,14647,33080,19218,13636,37747,23113,14043,44657,28462,15607
