ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
111,111,22749,20678,873,210,934,69,25,0,0,23243,20358,1067,499,1328,130,0,0,0,23244,19384,1427,420,1613,174,16,23248,19388,1427,420,1613,174,16,23456,20258,1247,521,1358,38,0,347,943,16,0,30,614,23292,19419,1436,638,1328,56,0,15984,14725,542,148,539,40,12,0,0,16023,14689,578,178,514,70,0,163,495,0,0,0,17356,14906,884,287,1000,117,12,17356,14906,884,172,849,14,3,99,429,16070,14767,615,220,449,16,0,0,0,0,0,0,16417,14727,704,299,604,4,0,293,592,0,0,16629,14638,879,479,505,38,0,343,444,30,0,13336,6962,6297,13074,6199,6875,13194,7292,5254,13061,7064,5785,11724,7032,4607,11806,5903,5684,11603,6262,5277,12720,7175,5316,15071,9528,5289
112,112,25219,22830,1165,449,753,95,19,0,0,25157,21773,1514,622,1368,80,102,0,0,24636,20376,1851,793,1249,223,15,24647,20387,1851,793,1249,223,15,25631,20765,2036,907,2072,159,229,471,1363,0,0,35,959,24061,20876,1185,434,1220,18,12,18525,17021,741,284,460,53,12,0,0,18314,16468,841,331,613,0,0,259,613,0,75,0,19009,16173,1217,538,828,162,13,19009,16173,1217,363,696,22,1,87,450,18575,15994,982,371,954,7,0,0,0,0,0,0,17730,16212,643,219,587,13,0,170,568,0,0,17720,15214,1444,157,810,27,8,127,748,0,8,14485,6810,7523,13401,5817,7584,14290,6137,7549,13990,7360,6361,12019,5908,5993,12186,4791,7139,11873,5008,6786,13315,6181,6891,15624,7886,7514
113,113,24247,20551,1705,879,1115,127,25,0,0,24909,20308,2608,655,1465,64,1,0,0,24555,18280,2833,1785,1387,233,35,24588,18306,2835,1787,1387,233,35,25286,20679,2091,1008,1613,63,2,485,1554,12,0,22,439,25158,17132,3302,2028,2799,273,0,19023,16535,1095,573,781,93,15,0,0,19676,16740,1682,312,931,20,0,297,871,15,4,0,20143,15661,1940,1220,1031,178,14,20143,15661,1940,969,940,10,6,150,467,20146,17193,1489,459,954,20,0,0,0,0,0,0,19613,14633,2324,1198,1398,43,0,1075,1383,25,0,20181,14721,2309,1669,1399,73,0,1535,1339,10,0,12003,5853,5993,3276,1302,1974,12179,4743,6920,11821,6432,5190,10188,4648,5435,10345,3613,6470,10043,3831,6135,11382,4932,6242,13807,6332,7288
114,114,23151,19123,1241,1159,1594,96,16,0,0,22824,17306,1935,1710,2100,178,0,0,0,23181,16559,2076,1912,2366,272,35,23204,16572,2077,1916,2366,272,35,23380,17203,2037,1849,2446,135,0,1248,2264,0,0,231,390,23600,17203,2371,1742,1971,153,16,17968,15269,809,768,1076,62,13,0,0,16965,14049,1158,888,866,40,0,791,822,0,0,0,18318,13757,1355,1328,1639,199,29,18318,13757,1355,1101,1526,16,5,103,455,17465,14231,1147,1091,962,22,0,0,0,0,0,0,17624,13767,1554,1372,828,39,12,1319,824,0,12,17452,13562,1184,1449,1090,25,13,1366,1020,0,13,13041,7253,5639,13048,7118,5930,12800,6763,5565,12545,8061,4277,11138,6416,4634,11311,5319,5664,11023,5631,5299,12134,6733,5194,14049,8185,5690
115,115,22557,14321,4095,3410,919,206,19,0,0,22211,11890,5757,3930,807,349,9,0,0,22926,11379,5866,4696,1089,507,21,23000,11408,5882,4708,1090,507,21,22027,10717,6514,4153,987,440,15,3194,864,23,0,226,491,22706,11797,6292,4218,811,302,221,18061,12380,2717,2363,679,150,12,0,0,15840,9985,2839,2479,423,133,0,2330,372,20,45,0,18595,10156,4080,3469,855,388,17,18595,10156,4080,2849,723,39,3,106,639,15302,9014,3050,2498,465,219,0,0,0,0,0,0,15256,9645,3082,2199,216,137,60,2081,191,4,60,15654,8837,3496,2690,442,157,58,2570,424,12,58,8783,5600,3049,8518,5887,2631,8716,5009,3371,8341,6011,2112,7005,4533,2393,7194,3918,3006,6899,4075,2747,7906,4882,2850,9320,5707,3503
116,116,22960,8561,5525,8111,1232,288,159,0,0,21803,7149,6144,8320,1055,571,12,0,0,22822,6997,6255,8438,1548,470,38,22927,7014,6279,8479,1552,470,38,22233,6844,7468,7595,1423,489,296,5879,1040,23,0,79,897,22356,7107,7403,7368,1583,639,295,17841,7527,3731,5825,978,209,119,0,0,14644,6270,3021,4759,307,69,0,4395,291,15,245,0,18293,6291,4438,6503,1241,345,31,18293,6291,4438,5796,1110,55,6,118,479,14414,5836,3576,4199,384,71,0,0,0,0,0,0,15266,6029,4002,4106,527,210,0,3899,497,75,0,14926,5230,3685,4955,643,227,5,4779,603,80,5,7043,5505,1472,6429,5156,1273,7144,5205,1740,6752,5490,1133,5346,4085,1209,5440,3749,1553,5234,3748,1438,6225,4646,1480,7469,5583,1824
117,117,24091,20981,1134,816,1142,102,19,0,0,24546,20475,1259,1060,1600,197,7,0,0,23803,19034,1900,1234,1344,312,17,23835,19064,1901,1234,1344,312,17,24026,20563,1267,1022,1037,230,7,741,891,3,0,16,550,24051,20596,1861,831,687,101,0,19307,17221,748,546,766,65,11,0,0,19581,17187,734,698,842,91,0,573,793,4,18,0,19922,16431,1330,887,986,255,10,19922,16431,1330,636,888,26,1,85,525,19724,17562,774,747,516,118,0,0,0,0,0,0,19408,17360,1013,576,300,78,0,461,294,0,0,19314,16836,1505,466,391,27,0,364,367,0,0,13515,7303,6043,11323,6280,5043,12967,6044,6452,12632,7912,4501,11386,6088,5177,11596,4926,6348,11288,5197,5976,12391,6313,5870,14678,7746,6753
118,118,23589,19627,1394,849,1670,123,21,0,0,24085,19227,1395,1566,1937,67,44,0,0,23181,17840,2107,1250,1564,320,40,23222,17876,2107,1250,1564,320,40,24345,19033,1560,1587,2102,81,42,1300,1866,0,0,168,411,22657,18645,1714,767,1234,196,61,18934,16231,908,549,1171,88,18,0,0,18683,15839,890,903,993,7,0,843,960,0,24,0,19625,15754,1486,872,1136,244,26,19625,15754,1486,641,1024,16,3,109,592,19040,15788,1036,979,1225,15,0,0,0,0,0,0,19193,16553,1209,416,867,87,0,413,833,0,0,19834,16404,1721,816,726,114,0,791,600,14,0,11610,6579,4862,8338,4807,3531,11896,5942,5404,11580,7485,3834,10366,5970,4274,10502,4886,5285,10245,5170,4964,11367,6203,4925,13796,7777,5803
119,119,23535,20543,1005,603,1340,88,21,0,0,24794,20880,1442,459,2009,147,2,0,0,23255,18789,1545,843,1776,203,27,23271,18805,1545,843,1776,203,27,24635,20371,1339,826,2093,204,2,663,1780,9,0,27,452,24248,19764,1826,775,1770,144,15,18562,16567,654,394,900,58,17,0,0,19013,16773,973,182,1011,43,0,145,932,10,28,0,18857,15607,1088,575,1291,164,17,18857,15607,1088,407,1191,17,4,82,461,18815,16025,909,605,1252,30,0,0,0,0,0,0,17486,15069,1060,556,801,38,13,498,732,0,13,17146,14536,1073,778,726,65,13,689,667,0,13,12424,6437,5814,7273,3584,3689,13291,6118,6667,13107,7851,5023,11591,6159,5328,11753,4907,6526,11465,5263,6128,12627,6348,6067,14728,7841,6712
120,120,23334,18708,2262,1843,563,117,35,0,0,23029,17509,3034,2191,353,63,66,0,0,23649,15345,4110,3348,765,302,32,23681,15368,4111,3350,765,302,32,22430,15825,3360,3046,271,130,25,2687,145,0,0,86,328,25864,20912,2784,1458,471,185,10,18271,15235,1460,1188,391,78,22,0,0,17631,14313,1886,1215,154,19,0,1164,154,0,59,0,18936,13103,2799,2359,546,202,26,18936,13103,2799,1919,439,10,5,116,545,17217,13157,1970,1836,103,79,0,0,0,0,0,0,20716,17947,1632,725,305,145,0,692,286,0,0,19542,15457,2396,1029,565,107,0,967,380,10,0,12253,6511,5600,12112,6512,5600,12422,6070,5814,12114,7776,3734,10446,6030,4314,10559,5018,5283,9954,5095,4780,11478,6294,4926,13532,7746,5635
