ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
121,121,23315,12100,4641,6032,785,209,52,0,0,23911,10645,5831,7176,867,192,56,0,0,23687,9184,6538,7489,843,389,52,23793,9203,6559,7529,843,389,52,24470,9968,6327,7808,841,236,53,6927,686,0,53,26,482,20917,12386,4102,4272,485,287,13,17748,10136,2983,4104,561,148,37,0,0,17234,8717,3659,4460,254,66,15,4331,204,20,71,0,18523,8045,4485,5395,619,276,37,18523,8045,4485,4653,536,19,6,174,605,17448,8228,3790,4979,269,116,55,0,0,0,0,0,15544,10263,2486,2372,269,121,15,2276,238,4,15,16202,9022,3670,3013,416,77,5,2857,406,8,5,10087,6759,3202,9094,6064,3030,9820,6229,3233,9392,7014,2191,7871,5563,2235,8007,5005,2815,7521,4910,2551,8961,6069,2739,11279,7681,3457
122,122,23502,20510,1205,783,925,74,15,0,0,24587,20129,1843,1282,1332,90,42,0,0,24833,19121,2310,1732,1288,189,17,24850,19136,2311,1732,1288,189,17,24210,19220,2361,1317,1133,84,78,750,991,47,0,313,531,24878,19343,2097,1008,1663,152,11,18833,16743,833,537,642,53,13,0,0,19129,16457,1277,755,559,78,0,506,544,44,0,0,20669,16578,1608,1234,920,121,15,20669,16578,1608,1045,845,11,3,106,473,18620,15635,1557,816,521,66,0,0,0,0,0,0,19219,16183,1192,664,1105,87,0,497,900,69,0,18906,15389,1435,925,1137,38,0,792,863,9,0,12689,6026,6506,6972,3260,3712,13341,5531,7354,13025,7146,5699,11500,5515,5892,11626,4444,6936,11193,4601,6542,12650,5783,6678,15310,7515,7623
123,123,23535,20634,1148,634,1110,70,5,0,0,23519,19265,1447,1051,1750,102,20,0,0,24051,18892,1847,1049,1841,163,7,24062,18901,1847,1049,1843,163,7,23365,19126,1540,786,1881,59,21,668,1728,0,7,47,248,24433,19946,989,496,2515,136,11,17380,15514,734,402,701,44,5,0,0,16778,14557,813,648,712,39,9,629,712,25,11,0,18145,14802,1161,670,1197,100,4,18145,14802,1161,538,1103,17,0,117,407,16467,14035,983,447,964,18,8,0,0,0,0,0,15993,14052,552,252,1109,4,5,247,1075,0,5,16055,13352,1070,308,1318,4,5,284,1293,0,5,13295,6423,6757,13083,6067,7016,13120,6107,6495,12931,7197,5557,11122,5767,5269,11235,4694,6316,10992,4945,5993,12275,6083,5998,14351,7765,6371
124,124,22610,2922,8682,11218,514,316,81,0,0,23948,2156,11288,10960,912,199,144,0,0,23614,1984,10449,11494,607,448,42,23935,1993,10582,11664,608,449,42,24418,2025,11603,11266,877,167,46,9476,708,35,0,119,452,21184,3448,9573,7584,1213,227,139,16651,2636,6001,7971,381,216,49,0,0,14390,1690,5755,6515,219,150,10,6360,219,35,119,0,17763,1751,7512,8569,463,339,29,17763,1751,7512,7555,400,33,3,109,400,14480,1635,6115,6433,220,105,0,0,0,0,0,0,12530,2649,5025,4222,550,110,0,4060,550,50,0,13257,2283,6021,4091,690,220,0,3931,690,172,0,6688,6033,625,6227,5799,428,6276,5559,611,5753,5265,405,4261,3863,370,4350,3857,466,4111,3664,423,5216,4620,543,6604,5527,1003
125,125,23512,21079,830,430,1111,69,10,0,0,22708,19131,1625,462,1542,65,0,0,0,24393,20081,1507,636,1867,159,37,24397,20085,1507,636,1867,159,37,22343,18496,2042,294,1650,96,0,276,1104,7,0,10,409,22680,18281,1602,703,1922,38,0,16423,14848,536,294,711,36,2,0,0,15513,13825,735,251,674,15,0,250,617,15,0,0,17961,15191,944,417,1200,87,26,17961,15191,944,280,1027,5,5,66,443,15873,14222,830,221,593,4,0,0,0,0,0,0,16728,14642,736,560,767,0,0,441,693,0,0,17106,14788,779,637,854,33,6,527,753,4,6,13554,6574,6880,15025,5712,9313,13434,7190,5546,13360,6598,6554,11806,6235,5503,11858,4956,6786,11659,5628,5987,12870,6609,6053,15242,9072,5934
126,126,23077,4702,7743,10405,557,322,62,0,0,23800,3851,9003,10496,709,477,364,0,0,24016,3015,9319,11317,664,486,53,24208,3029,9382,11413,664,486,53,23497,3460,10306,9542,447,476,82,8426,352,140,50,252,509,23610,6758,8774,6808,756,234,79,16999,4127,5274,7258,387,223,48,0,0,15319,3249,4829,6327,478,190,35,6160,468,100,308,0,18189,2659,6622,8444,489,378,44,18189,2659,6622,7585,413,28,2,284,596,15043,2993,5497,6085,277,153,50,0,0,0,0,0,15682,6401,4885,3983,363,33,29,3973,351,36,29,15493,4541,5616,4873,388,13,6,4850,368,13,6,8419,7205,1164,7455,6400,1055,8141,6686,1255,7651,6665,857,6188,5360,787,6238,5157,1015,6020,5093,892,7184,6039,1068,8963,7284,1595
127,127,23456,10476,6084,5753,925,231,71,0,0,23679,8668,7180,7099,860,159,133,0,0,23813,7547,7472,6753,925,425,57,23902,7559,7495,6775,925,425,57,23557,8793,6831,6666,1640,149,151,5792,1612,12,0,282,236,29376,15161,6553,4528,3158,345,32,18777,9400,4357,4054,685,164,59,0,0,15358,6729,3592,4602,408,11,0,4500,382,7,35,0,19207,6874,5450,5147,706,300,44,19207,6874,5450,4532,605,23,4,663,1056,15868,6828,3612,4363,993,9,0,0,0,0,0,0,19902,11709,3904,2462,1616,89,0,2366,1508,24,0,18234,9457,5311,2472,863,34,0,2416,846,15,0,7099,5178,1861,7373,5655,1718,7213,5176,1855,6811,5402,1273,5420,4167,1207,5535,3950,1505,5282,3881,1355,6298,4681,1524,7549,5477,1989
128,128,22487,2075,12420,7946,650,330,101,0,0,21855,2324,11367,8781,205,359,137,0,0,23745,1434,13427,8818,510,565,59,24046,1438,13604,8924,510,565,59,21766,2086,11461,8774,420,253,129,7421,108,65,0,170,456,19229,2994,11032,5196,605,167,30,15719,1767,8298,5342,494,233,77,0,0,10887,1356,4920,4351,64,103,0,4244,47,40,151,0,17082,1172,9360,6282,384,441,43,17082,1172,9360,5377,294,18,0,317,544,11059,1275,5252,4340,68,68,0,0,0,0,0,0,9607,2202,4708,2492,309,20,0,2411,306,0,0,10161,2011,5670,2201,312,101,0,2082,311,44,0,4593,4148,412,5628,5022,606,4248,3771,406,3909,3543,295,2554,2323,215,2599,2290,290,2469,2208,247,3324,2932,359,4230,3503,700
129,129,24194,7828,8342,7233,1015,255,201,0,0,23266,7509,7884,7722,1293,478,39,0,0,24700,6486,9385,7761,904,557,67,24189,6377,9248,7473,903,556,67,22769,7220,7784,6959,1540,297,89,5838,927,0,0,133,868,26686,12383,6622,5368,2657,112,95,18648,6929,5808,5077,801,181,173,0,0,14803,5776,4025,4260,562,75,0,4195,530,0,115,0,19329,5888,6646,5769,711,389,47,19329,5888,6646,5026,609,20,6,422,712,14451,5781,3613,4193,684,67,0,0,0,0,0,0,18831,11116,2837,3340,1586,35,0,3227,1361,0,0,17868,9126,4038,3725,892,36,0,3552,790,4,0,6944,5332,1547,6689,5296,1393,6931,5172,1539,6535,5204,1182,5443,4389,997,5525,4096,1333,5345,4101,1182,6235,4811,1319,7682,5896,1695
130,130,23512,2790,10418,9352,1833,326,101,0,0,24027,2442,11331,9981,1807,221,27,0,0,23728,2124,11212,10071,1200,533,108,24026,2149,11358,10187,1209,533,108,24234,2422,11742,10065,1538,381,24,8109,1420,5,0,120,417,21963,3880,10274,6579,2396,436,41,17580,2507,7297,6706,1533,235,71,0,0,14116,2025,6105,5334,588,42,0,5197,535,10,43,0,18027,1944,8011,7561,952,363,87,18027,1944,8011,6545,814,45,8,169,491,14686,2140,6399,5619,493,26,0,0,0,0,0,0,13829,3631,6032,3305,688,19,0,3220,564,0,0,14512,3330,6981,3407,599,64,4,3279,384,0,4,5594,5027,523,5503,5096,407,5242,4581,555,4772,4236,446,3706,3347,322,3687,3219,423,3516,3114,369,4412,3865,494,5605,4693,879
131,131,23628,20891,1291,708,648,118,20,0,0,23080,18972,2029,1759,473,84,0,0,0,23434,18895,2249,1153,592,308,31,23464,18918,2251,1155,592,308,31,23186,19344,2149,1062,611,85,0,571,379,0,0,27,706,23320,17611,2946,1679,859,94,25,17978,16253,776,440,420,86,16,0,0,17338,14864,1264,876,147,67,0,705,104,0,180,0,18515,15542,1397,746,389,225,25,18515,15542,1397,531,304,14,6,144,577,17366,14877,1448,653,208,100,0,0,0,0,0,0,17456,14146,1822,937,427,122,0,685,378,0,0,18064,14482,1894,874,460,24,3,800,385,0,3,11677,5340,6180,12381,5432,6949,12342,4405,7431,12018,5825,5973,10422,4306,6003,10601,3252,6998,10319,3516,6709,11558,4509,6816,13803,5761,7837
132,132,23735,21097,1112,497,1006,63,8,0,0,25073,21670,1419,789,957,0,11,0,0,24779,21014,1672,522,1199,229,11,24784,21017,1672,522,1199,229,11,25074,21603,1620,905,888,10,0,493,702,0,0,166,495,25024,22375,890,440,1008,52,7,17866,16066,767,340,670,49,6,0,0,18709,16885,902,424,493,0,11,385,418,0,0,0,19435,16842,1206,315,790,182,7,19435,16842,1206,208,668,9,1,70,431,18783,16855,927,458,550,0,0,0,0,0,0,0,19448,17918,507,231,768,10,0,185,705,0,0,19732,17690,671,165,1158,34,0,118,1073,0,0,12135,6918,5114,12901,6668,6233,12613,7219,4872,12397,7301,4903,10873,6716,4063,10935,5567,5186,10721,5762,4866,11876,6928,4757,13802,8996,4615
133,133,24599,18527,2774,1820,1292,128,16,0,0,25457,17800,3580,2085,2091,74,61,0,0,24687,16185,3839,2117,1757,287,28,24719,16201,3843,2119,1757,287,28,24453,16966,3586,2130,1957,80,91,1457,1599,0,0,155,685,25270,19053,2350,1080,1904,132,94,18689,14556,1848,1247,855,94,11,0,0,17936,13378,2123,1228,1119,37,24,1172,1034,5,20,0,19212,13129,2705,1545,1207,209,20,19212,13129,2705,1252,1066,7,2,342,709,17235,13063,2057,1020,1074,25,0,0,0,0,0,0,18480,15425,1337,603,1059,54,0,570,991,10,0,18577,14505,2039,696,1251,61,5,662,1169,17,5,10683,6536,4043,10010,5696,4314,11714,7126,4092,11427,7610,3623,10037,6630,3312,10135,5834,4080,9882,5939,3856,10979,6946,3850,12879,8569,4147
134,134,22734,20417,954,487,829,53,12,0,0,23203,20204,1272,744,990,56,61,0,0,24137,19746,1785,811,1429,165,13,24138,19747,1785,811,1429,165,13,23679,20324,1403,802,1121,33,49,492,871,13,17,97,461,25413,22421,865,357,1535,51,74,16678,15183,614,348,502,38,9,0,0,16638,14850,680,532,495,29,16,514,448,26,25,0,18504,15542,1227,571,930,116,11,18504,15542,1227,397,802,2,0,80,454,16758,14825,861,524,517,63,17,0,0,0,0,0,15363,14083,448,184,600,31,5,155,565,0,5,15342,13555,704,180,822,26,6,139,780,0,6,12928,6712,6119,12731,5762,6969,12532,6544,5410,12398,6767,5446,10995,6151,4771,11102,4992,5914,10865,5298,5506,12013,6428,5380,14248,8773,5263
135,135,23338,21393,691,315,873,74,26,0,0,23726,20968,1202,471,955,241,31,0,0,23136,19445,1312,524,1384,217,19,23139,19448,1312,524,1384,217,19,23484,20524,1072,575,1171,221,0,280,740,25,0,48,798,23642,19296,1535,1092,1571,402,24,16515,15358,425,198,484,47,11,0,0,17063,15626,701,237,412,105,0,167,367,0,20,0,17455,15140,811,316,854,148,10,17455,15140,811,200,711,13,5,92,483,16729,15257,642,292,478,142,0,0,0,0,0,0,16903,14489,863,636,747,181,15,471,722,85,15,17252,14839,904,456,877,112,23,354,833,80,23,13764,7997,5653,13969,7155,6814,13618,8111,4860,13620,7820,5560,12043,7564,4396,12109,6426,5504,11881,6758,5051,13049,7782,5040,15159,10029,4884
136,136,22898,20583,814,328,1135,52,29,0,0,23809,20382,1155,585,1829,150,20,0,0,23601,19276,1378,573,1938,156,16,23607,19281,1378,573,1938,156,16,23957,19651,1688,714,1797,168,48,288,1275,61,7,23,962,23512,18690,2132,830,1477,108,56,16041,14633,497,207,674,31,16,0,0,16251,14543,674,182,810,15,0,143,741,0,25,0,17274,14556,872,348,1215,94,13,17274,14556,872,223,1068,10,0,72,473,16432,14458,860,185,884,27,7,0,0,0,0,0,16699,14201,1288,302,845,35,25,227,771,22,25,16437,13916,1237,381,814,33,31,315,689,17,31,13467,8781,4609,13426,7597,5829,13412,9310,3562,13309,8659,4450,12198,8599,3533,12225,7240,4859,11992,7733,4208,13047,8823,4046,15259,11397,3642
137,137,20888,11269,5309,3169,1316,209,40,0,0,20795,10130,5886,3382,1699,198,25,0,0,23657,10474,7895,3734,1547,435,33,23705,10485,7911,3737,1547,435,33,21680,11227,6116,2819,1748,186,51,2396,1600,65,39,5,226,22533,10004,6688,4687,1420,386,57,16653,9575,3856,2329,984,152,28,0,0,14290,8369,2569,2327,928,53,10,2288,898,44,48,0,19125,9275,5715,2880,1213,309,29,19125,9275,5715,2416,1083,18,5,125,488,14899,9427,2754,1715,913,57,40,0,0,0,0,0,17617,9134,3532,4096,669,22,35,3915,634,4,35,18633,9282,4127,4517,605,15,0,4128,569,3,0,8699,5926,2696,8651,5839,2812,9143,6097,2684,8685,6192,2285,7759,5598,2085,7799,5086,2559,7644,5149,2428,8569,5911,2496,10422,7343,2949
138,138,23886,15003,4792,1966,1927,190,35,0,0,24452,13095,6154,2745,2113,172,49,0,0,24532,11702,7584,2247,1839,402,48,24579,11715,7600,2250,1840,402,48,23982,13615,6157,2342,1535,67,29,1802,1433,0,0,598,375,24170,12024,7243,3453,1009,58,43,18560,12326,3284,1334,1415,130,21,0,0,15456,10800,2451,1077,1056,49,16,1024,1041,10,14,0,19162,9958,5236,1619,1418,317,45,19162,9958,5236,1139,1289,10,18,487,1025,15566,11454,2447,915,804,15,0,0,0,0,0,0,13168,8842,2565,1140,594,43,0,888,593,0,0,13552,8644,2532,1738,641,47,0,1444,624,0,0,8777,4957,3729,8139,4648,3491,9225,4904,3949,7983,4437,3374,7563,4512,2971,7659,3981,3498,7376,3969,3357,8348,4610,3577,10280,5856,4285
139,139,26374,18899,2512,2678,1979,749,69,0,0,25731,18239,2950,2408,1888,997,7,0,0,25717,16765,3222,3192,1863,1014,94,24677,16470,2945,2722,1859,1005,94,25244,18271,2821,2549,1588,865,63,1438,1287,132,7,116,1174,25335,18285,2811,2554,1539,929,114,20626,15373,1701,1792,1470,483,44,0,0,20322,15415,1825,1437,1189,481,0,1228,1096,133,54,0,20851,14278,2219,2264,1460,759,59,20851,14278,2219,1706,1301,261,18,110,958,19844,15157,1914,1379,967,344,0,0,0,0,0,0,20175,16138,1545,1120,911,409,0,920,849,143,0,19505,14188,2556,1340,837,439,0,1079,806,208,0,10098,5961,3994,9265,5594,3671,9937,4773,4567,9524,6022,3199,8209,4785,3292,8352,3860,4009,8129,3883,4130,9227,4938,3993,11409,6312,4806
140,140,22820,5955,9726,6568,1020,280,61,0,0,23266,6241,10706,5950,768,142,123,0,0,23496,5164,11649,5665,1205,607,31,23581,5170,11698,5685,1205,607,31,22662,6305,10527,5471,949,377,58,4487,506,5,40,83,712,25713,5624,12407,7590,873,459,28,17317,5194,6922,4622,794,192,48,0,0,12659,5211,3589,3473,264,15,30,3417,214,0,69,0,17918,4596,8198,4248,920,421,22,17918,4596,8198,3744,847,41,3,109,380,12618,4208,4275,3310,298,4,40,0,0,0,0,0,12836,4328,4108,4082,209,13,0,3835,180,8,0,13096,4451,4383,3915,257,8,5,3700,193,1,5,7215,5737,1435,6959,5621,1338,6981,5381,1383,6522,5290,1069,5292,4305,939,5360,4066,1226,5216,4089,1085,6172,4842,1231,7686,5927,1696
141,141,22686,20729,810,170,912,57,12,0,0,23859,21035,951,269,1633,107,15,0,0,23472,19876,1271,339,1586,140,25,23473,19877,1271,339,1586,140,25,23573,20436,939,287,1884,108,40,184,1319,0,0,34,662,23037,19010,1310,521,1970,126,32,14912,13745,491,101,525,36,7,0,0,15041,13670,478,148,713,85,0,90,658,0,4,0,16204,13974,830,229,924,95,21,16204,13974,830,123,812,13,3,57,392,15164,13418,503,154,1050,85,0,0,0,0,0,0,14703,12691,737,253,1025,8,0,182,901,4,0,15315,13297,729,107,1149,15,0,43,1064,7,0,12264,5811,6369,13454,5114,8340,12307,6711,4865,12189,5719,6302,10596,5482,5038,10684,4198,6357,10352,4670,5643,11696,5933,5565,14195,8810,5148
142,142,22367,15990,3276,1944,1232,135,31,0,0,24018,14497,4975,2494,2396,119,62,0,0,23471,14604,4539,2509,1657,296,17,23496,14617,4547,2511,1657,296,17,24230,14665,4862,2834,2285,82,33,2206,1712,20,0,15,746,23132,13411,4949,3317,1577,103,22,17180,12739,2242,1327,890,106,23,0,0,16311,11635,1998,1524,1093,54,0,1445,1042,25,1,0,18969,12360,3289,1883,1297,215,10,18969,12360,3289,1578,1163,12,0,90,477,16657,12286,1790,1714,1024,83,0,0,0,0,0,0,15571,10424,2187,2173,836,37,0,2091,734,2,0,16241,10129,2740,2460,808,35,0,2329,757,13,0,11255,6581,4589,10921,6080,4841,11780,6872,4389,11448,7116,4119,10204,6392,3714,10277,5563,4529,10059,5740,4253,11204,6732,4272,13569,8728,4649
143,143,22283,16862,2563,1597,1255,109,18,0,0,23899,16979,3032,2398,1534,196,54,0,0,23196,15814,3823,1815,1586,217,21,23218,15828,3828,1817,1586,217,21,23660,16439,3312,2352,1492,87,71,2141,1123,9,19,130,496,23181,14429,4156,3408,1128,169,29,17382,13463,1839,1158,905,74,13,0,0,17354,13558,1528,1493,678,85,10,1416,598,10,40,0,18613,13287,2654,1326,1179,161,19,18613,13287,2654,1111,1072,7,3,92,387,17111,13354,1523,1524,656,13,18,0,0,0,0,0,15758,11284,1875,1986,499,27,0,1967,403,2,0,15130,10973,2136,1285,622,65,0,1246,510,2,0,11580,6983,4512,11753,6669,5084,11935,7003,4457,11502,7379,3885,10234,6547,3586,10330,5756,4402,10082,5912,4097,11205,6839,4175,13218,8451,4593
144,144,22115,12970,3466,2298,3460,171,24,0,0,23324,12620,3916,2425,4661,225,6,0,0,24409,12994,4214,2733,4262,264,25,24434,13007,4217,2734,4263,264,25,22817,12146,3719,3094,4140,192,15,2327,3926,0,0,94,609,22602,11244,4340,4076,3145,166,12,17925,11012,2571,1707,2677,118,21,0,0,14662,10067,1885,1268,1424,93,0,1142,1337,0,33,0,20258,11401,3255,2091,3309,198,18,20258,11401,3255,1806,3160,27,5,120,484,15272,10033,1794,1927,1573,82,0,0,0,0,0,0,15121,9326,2118,2596,1110,45,0,2344,1034,10,0,16655,9414,2504,3452,1333,50,0,3112,1300,11,0,8931,5541,3322,7118,4309,2809,9522,6134,3001,9172,6315,2661,7920,5447,2386,8013,5019,2880,7829,5198,2572,8857,5896,2807,10737,7229,3371
145,145,21905,5191,9115,6915,1050,265,99,0,0,22458,4994,9817,7421,1311,299,0,0,0,23505,4733,10893,6659,1465,524,45,23616,4740,10943,6692,1466,524,45,22235,4188,10045,7078,1767,246,0,6061,1744,2,0,94,100,26059,3767,11816,10237,1286,196,2,16869,4558,6701,4997,813,184,68,0,0,11327,4147,2898,3773,485,44,0,3742,462,3,3,0,17864,4200,7649,4977,1106,371,41,17864,4200,7649,4482,1011,20,6,149,347,12006,3506,3777,4070,650,27,0,0,0,0,0,0,15122,3585,4519,6351,566,19,0,6342,556,3,0,16084,3743,5066,6168,881,72,0,6106,802,42,0,6168,4911,1229,7523,5263,2260,6651,5320,1150,4729,3546,1070,5286,4336,880,5341,4172,1113,5161,4110,1019,5745,4548,1115,7302,5785,1456
146,146,16099,6844,5257,3003,1434,145,24,0,0,20921,9430,6275,4256,1316,139,0,0,0,23594,10955,7160,3391,2091,398,36,23652,10963,7195,3398,2091,399,36,22475,10466,6186,4458,1586,184,0,3883,1451,57,0,52,378,25162,9326,7264,7597,1785,535,184,12998,5864,4030,2321,1132,109,19,0,0,12359,7544,1936,2224,601,92,0,2151,557,32,10,0,19805,10001,5280,2700,1777,301,27,19805,10001,5280,2308,1626,11,4,108,467,14057,8435,2212,2696,599,78,0,0,0,0,0,0,17070,8347,3058,4852,840,49,0,4430,740,26,0,18239,9709,2894,4430,1205,56,0,4176,1002,26,0,5659,3915,1720,5210,3546,1664,6711,4688,1786,6279,4341,1797,5542,4035,1442,5611,3711,1821,5447,3737,1669,6384,4484,1793,8820,6403,2291
147,147,23493,16856,2973,1716,1991,94,22,0,0,23518,15316,3821,2260,2320,138,47,0,0,23866,15273,4520,1946,1928,280,19,23895,15293,4522,1946,1928,280,19,23660,14851,4450,2360,1999,252,49,1921,1739,81,0,33,581,22819,12966,5417,3063,1416,321,37,18227,13412,2150,1218,1455,64,17,0,0,16153,12383,1438,1223,1072,35,0,1155,997,35,15,0,18994,12732,3239,1435,1410,214,12,18994,12732,3239,1210,1302,15,1,95,400,16229,12002,1509,1470,1142,83,0,0,0,0,0,0,14722,9719,2443,1730,661,65,0,1537,652,40,0,14663,9908,2122,1927,596,46,0,1785,541,4,0,11375,6650,4639,11546,6534,5012,11632,6853,4340,10811,7036,3524,9730,6363,3275,9852,5713,3979,9669,6155,3443,10787,6735,3863,13018,8271,4589
148,148,22538,9472,7562,4013,1662,192,48,0,0,23323,8791,9834,3434,1698,353,33,0,0,23532,8060,9777,3930,1851,529,37,23593,8069,9807,3936,1851,529,37,22974,9343,9146,2787,1796,417,33,2328,1570,0,0,53,536,23910,8766,9925,3316,1902,343,0,17845,8246,5595,2868,1253,133,38,0,0,13510,7035,3564,2024,758,90,0,1962,736,0,20,0,18525,6987,7138,2985,1400,407,25,18525,6987,7138,2564,1289,17,0,138,392,14042,7517,3585,1894,870,114,0,0,0,0,0,0,14552,7164,4238,2111,871,88,0,2065,808,4,0,14293,7191,3364,2803,818,57,0,2746,755,6,0,8079,5598,2425,5862,4804,1058,8195,5610,2307,7781,5757,1847,6388,4721,1586,6456,4414,1942,6218,4420,1744,7303,5169,2003,8802,6098,2580
149,149,23755,20265,1496,505,1437,66,12,0,0,23815,19490,1600,1046,1556,181,25,0,0,24382,18963,2176,805,1946,173,25,24385,18966,2176,805,1946,173,25,24543,20869,1270,1008,1363,103,47,898,1021,60,31,0,391,22939,18514,1675,1447,1212,96,40,17821,15393,1048,380,957,42,10,0,0,17188,14829,848,559,786,172,0,542,723,153,2,0,19194,15296,1512,587,1395,126,20,19194,15296,1512,431,1218,10,7,143,577,18271,15921,715,715,766,80,0,0,0,0,0,0,19553,16360,1108,1201,831,13,4,1024,739,0,4,19565,16299,1269,861,998,18,43,758,890,0,43,12473,6456,5925,10719,4582,6137,13164,7184,5453,13020,7054,5750,11117,6196,4850,11138,5276,5758,10932,5539,5346,12325,6651,5505,14665,8661,5854
150,150,22609,16664,3244,938,1682,122,27,0,0,23854,15175,5581,1493,1644,150,23,0,0,23737,15679,4301,1062,2040,261,21,23752,15687,4305,1062,2040,261,21,23997,15980,4792,1437,1773,117,4,795,1367,27,0,113,922,23893,15352,4990,1943,1584,259,100,16745,12665,2208,628,1193,83,20,0,0,14501,10703,2131,839,801,49,20,722,650,6,10,0,18010,12281,3040,748,1451,195,20,18010,12281,3040,497,1288,10,3,225,666,14783,11197,2062,655,874,82,0,0,0,0,0,0,15563,11158,2582,858,920,110,0,680,746,0,0,15541,11665,2127,653,1080,30,4,505,952,4,4,10371,5880,4382,9257,4504,4753,10526,6449,3637,10482,6158,4134,9276,5690,3533,9281,4782,4404,9049,4906,4102,10192,6055,3989,12621,8320,4128
151,151,23182,19021,1622,434,2038,70,12,0,0,23495,17707,2344,550,3019,55,17,0,0,23897,17808,2357,578,2647,178,20,23901,17812,2357,578,2647,178,20,22985,16686,2533,384,2987,73,5,218,2510,51,0,33,956,24453,16543,3033,1191,3171,46,12,16559,13877,1065,289,1271,43,8,0,0,14670,12375,922,216,1127,41,0,183,1087,26,0,0,17587,13559,1608,381,1699,107,15,17587,13559,1608,233,1517,12,3,117,538,14406,11831,1265,199,1060,42,0,0,0,0,0,0,14429,11308,1414,477,1140,28,4,446,1096,29,4,14577,11419,1572,343,1113,24,5,319,1060,26,5,12218,6491,5652,11400,4791,6609,12317,6864,4865,12332,6594,5538,11051,6140,4831,11077,5024,5959,10826,5283,5486,11947,6427,5311,14228,8667,5226
