ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_18_ACS_BlackAlone,T_18_ACS_AsianAlone,T_18_ACS_NativeAlone,T_18_ACS_OtherAlone,T_18_ACS_TwoOrMore,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
25,25,23686,17335,1227,3095,2075,142,23,0,0,11989,9461,733,839,967,30,0,503,814,2,33,423,24813,16926,1945,3345,2616,144,179,0,0,25000,15232,1922,5341,2351,370,28,24196,15970,2085,3658,2368,229,158,2616,1907,60,0,111,1445,24331,14690,2865,4316,2364,262,133,19632,14876,900,2206,1641,109,18,0,0,18546,14207,1172,2204,811,89,0,2016,707,65,70,0,21231,13324,1436,4413,1892,279,20,21231,13324,1436,3851,1736,16,7,75,786,18930,13941,1544,2482,812,182,0,0,0,0,0,0,18862,13066,1764,2875,988,190,40,2219,906,14,40,20227,13796,1650,3343,1212,171,25,2662,1068,0,25,8679,5800,2719,9411,5519,3315,9126,5708,3099,9037,5904,3133,7608,5085,2286,7463,5102,2361,8813,5779,2786,9642,6402,3033,9423,6289,2842,9434,6303,2906,9265,6297,2968,9425,6094,3168
26,26,22244,10849,2791,6972,1849,257,33,0,0,11237,4771,2562,3314,575,108,0,3090,527,14,21,245,23509,9992,4236,6872,2402,315,29,0,0,22925,8461,3553,7646,3234,432,23,22710,9314,3773,6750,2966,222,20,6372,2672,23,14,22,517,23391,9626,3370,7460,3046,123,0,16065,8522,1742,4571,1309,156,17,0,0,15229,8231,1074,4660,1060,138,15,4583,987,76,74,0,17298,7084,2243,5539,2341,315,16,17298,7084,2243,5063,2216,35,0,66,591,15329,7924,887,4761,1535,126,15,0,0,0,0,0,15937,8088,1181,4886,1594,85,0,4817,1358,0,0,15773,6659,1334,5845,1828,123,0,5729,1598,4,0,8962,6783,2084,9413,6394,2547,9025,6420,2333,8904,6351,2553,7251,5417,1650,7151,5344,1807,8824,6421,2190,9911,7229,2530,9604,7058,2261,9609,7054,2332,9438,6883,2555,9191,6470,2583
27,27,23209,16462,909,4384,1515,195,23,0,0,6897,4482,412,1605,408,9,0,1428,317,9,51,191,24355,15636,1046,5508,2355,81,0,0,0,24954,14868,1506,5446,2914,383,31,24370,15480,1122,5429,2509,66,0,4801,2268,0,0,0,697,24409,14570,1161,5939,2737,153,0,16731,12154,582,3048,966,139,13,0,0,17619,12282,432,3734,1118,46,0,3427,1036,1,55,0,19145,11931,1001,4029,1971,282,18,19145,11931,1001,3656,1832,22,0,79,624,17565,12298,353,3718,1273,55,0,0,0,0,0,0,17420,11900,444,4087,906,87,0,3897,872,38,0,18018,12378,726,3882,1048,178,0,3581,997,32,0,12174,7668,4361,12796,6813,5300,12356,7280,4779,12293,7456,4837,10301,6479,3618,10134,6403,3731,12674,7644,4755,14479,8707,5554,14206,8753,5117,14193,8704,5234,14011,8719,5292,14119,8135,5747
28,28,23914,14938,1238,7236,427,305,29,0,0,11845,6652,780,4160,158,90,31,3807,105,6,164,304,26257,14221,1553,10024,398,218,48,0,0,25703,13018,2086,9688,718,702,62,25510,14399,1998,8749,497,183,14,7873,251,12,0,84,882,25861,13738,2323,9902,597,159,38,18298,11941,770,5190,308,217,21,0,0,19724,11259,831,7194,202,162,0,7027,153,25,167,0,19965,10695,1349,7102,533,500,39,19965,10695,1349,6512,393,65,8,87,856,18962,11112,997,6620,317,91,0,0,0,0,0,0,19714,10998,1375,6998,323,137,0,6675,205,25,0,19434,10578,1634,6810,239,403,35,6151,197,9,35,9469,5875,3453,10642,5509,4601,10270,6056,3930,10060,6198,3862,8144,4949,3003,8027,4945,3082,10370,6012,4117,12044,6973,4867,11730,6840,4534,11770,6888,4606,11579,6793,4786,11626,6685,4760
29,29,18608,12406,872,4474,606,488,33,0,0,2755,1262,178,1194,140,78,25,1052,79,71,27,85,21582,13679,1504,5845,621,494,14,0,0,23301,13238,1476,7258,864,682,24,21787,12986,1897,6390,574,528,32,5266,301,257,0,11,1081,23668,12510,2307,8115,999,567,23,13600,9405,504,3025,406,357,18,0,0,16307,10529,835,4308,434,284,1,4085,327,184,10,0,17835,10551,923,5304,620,501,11,17835,10551,923,4901,511,173,3,93,680,16843,10219,940,4952,365,394,4,0,0,0,0,0,17767,9493,1133,6178,568,249,0,5503,467,136,0,19412,10589,1240,6608,702,249,0,5880,587,107,0,8147,4567,3471,10076,4893,4735,9795,5274,4330,9573,5414,4159,8710,4914,3628,8592,4915,3677,10877,5950,4713,12810,7012,5607,12521,6944,5216,12577,7012,5331,12393,6845,5548,14474,8348,5905
30,30,23906,19296,829,3306,314,355,40,0,0,15791,12295,678,2530,262,178,0,2136,139,61,26,372,23872,18686,1082,3560,477,418,0,0,0,24785,18519,1250,3859,415,834,41,24365,18984,1210,3807,403,268,28,3359,160,57,0,9,594,24850,19797,930,3645,494,397,20,18089,15030,487,2192,231,242,20,0,0,18180,14717,616,2202,297,231,0,2139,232,122,123,0,19285,14877,810,2669,292,643,24,19285,14877,810,2322,198,84,1,77,916,18495,14852,682,2403,230,115,0,0,0,0,0,0,18575,15006,608,2432,235,141,0,2325,208,14,0,19707,16224,529,2444,203,193,0,2293,186,11,0,9969,4274,5541,10608,3000,7093,10374,3707,6432,10086,4247,5839,8230,2930,5147,8099,3180,4919,10533,3599,6724,12312,4113,8004,12036,4153,7549,12094,4212,7665,11937,4176,7761,12787,3957,8626
31,31,22616,10658,1221,10107,846,376,42,0,0,15825,6823,1203,7585,409,574,31,6591,290,170,1,718,23593,10169,1763,11075,790,741,66,0,0,25086,10147,1780,11822,1122,650,60,24006,9665,1713,11423,1238,550,68,9930,999,166,5,126,1399,24306,8924,1761,12420,1295,638,180,18199,9130,844,7672,643,265,27,0,0,18355,8633,1103,7839,440,443,21,7426,411,219,82,0,20283,8858,1260,8985,878,456,37,20283,8858,1260,8124,730,78,10,160,1063,19137,8696,1116,8154,836,304,35,0,0,0,0,0,18822,8247,1141,8493,845,301,4,7975,613,142,4,18584,7093,1455,9205,732,199,4,8693,499,53,4,9118,5896,3117,8879,5469,2887,8687,5501,2977,8532,5479,3053,7209,4872,2169,7100,4766,2334,8890,5973,2699,10203,6982,3043,9959,6825,2827,10040,6872,2956,9869,6491,3378,9225,6353,2712
32,32,21187,11182,1952,7395,914,309,72,0,0,9457,4560,670,3938,560,96,33,3395,367,6,17,423,23718,12404,2531,7964,1126,270,88,0,0,23371,9954,2748,9405,1160,672,88,24571,12763,3146,7981,970,251,106,6656,488,43,4,145,1333,23810,11581,3182,8116,740,271,82,15365,8767,1208,4814,642,208,41,0,0,16318,9729,1118,4818,422,201,28,4627,311,84,84,0,17030,8015,1713,6271,813,496,75,17030,8015,1713,5569,647,89,31,74,892,17183,9314,1737,5562,299,160,4,0,0,0,0,0,16898,9359,1635,5311,259,142,0,4819,214,5,0,16376,8660,1670,5424,301,194,5,4911,252,14,5,7441,4483,2868,7293,4175,2681,7029,4110,2733,6873,4142,2731,5649,3536,1956,5559,3554,2005,7300,4551,2555,8661,5515,2971,8352,5228,2846,8425,5327,2878,8292,4980,3312,7985,4951,2905
33,33,21461,14890,1621,4561,404,307,27,0,0,8855,6364,786,1678,60,72,21,1409,32,4,1,217,23660,15672,2250,5511,249,304,101,0,0,23735,15241,2293,5289,621,701,58,24212,16273,1586,5839,307,414,16,5315,192,243,15,0,581,24387,16654,1559,5415,356,513,35,16140,11773,973,3056,268,212,19,0,0,17295,12623,922,3347,194,181,55,3187,126,83,0,0,18403,12495,1479,3654,453,482,45,18403,12495,1479,3192,280,77,10,53,817,18054,13643,733,3159,191,344,15,0,0,0,0,0,19034,14224,812,3353,163,486,20,3054,97,163,20,20149,14287,967,4061,401,474,0,3608,257,163,0,9002,4430,4458,10319,3875,5896,10142,4224,5736,9881,4713,5168,8365,3633,4572,8227,3815,4412,10365,4427,5717,11932,5095,6644,11710,5072,6308,11768,5089,6466,11589,4983,6606,12451,5249,7004
34,34,21054,13956,1174,5112,869,281,51,0,0,11029,6999,567,3006,630,84,14,2648,342,42,20,401,23712,14245,1588,6386,1640,278,19,0,0,24498,14504,1761,6634,1321,687,70,23519,13693,1198,7102,1592,229,10,6214,1165,43,0,73,1127,24289,13933,1533,7090,1640,574,16,15614,10832,716,3423,599,189,32,0,0,17657,11455,872,4456,629,143,8,4300,504,63,77,0,18794,11693,1095,4768,941,524,45,18794,11693,1095,4175,732,92,9,92,906,17023,11040,602,4481,824,120,0,0,0,0,0,0,17447,11373,944,4061,849,232,0,3893,759,83,0,18498,11044,1085,5398,769,192,25,5187,667,49,25,9765,4980,4681,11239,4794,5823,11030,5034,5766,10766,5459,5307,9441,4862,4393,9289,4965,4324,11432,5828,5342,13073,6797,6047,12805,6745,5682,12852,6811,5789,12661,6440,6221,13192,6755,6182
35,35,21474,14361,2409,4503,176,298,45,0,0,11284,6812,1934,2383,102,25,0,2188,102,0,64,154,24923,15002,3471,5864,287,96,0,0,0,22898,14365,3379,4338,353,669,44,24933,15953,3482,4967,296,239,1,4421,244,34,0,273,532,24190,15198,3167,5462,177,490,4,16169,11523,1412,3061,107,200,30,0,0,17977,12451,1105,4203,168,53,0,4176,168,30,0,0,17709,11890,2011,3166,251,505,29,17709,11890,2011,2871,180,54,8,48,647,18217,13484,968,3553,210,157,0,0,0,0,0,0,17555,12886,845,3637,110,289,0,3164,86,49,0,17327,12803,1136,3121,154,338,4,2605,92,55,4,8313,3467,4689,9694,3083,6277,9370,3799,5402,9168,3890,5278,7816,2840,4840,7602,3059,4543,9677,3523,5989,11131,4051,6934,10851,4004,6584,10927,4038,6707,10686,3992,6694,11516,3886,7497
36,36,20306,14335,2304,3453,223,244,57,0,0,11018,7096,1599,1828,306,209,8,1646,150,12,33,410,22122,14810,2963,3559,384,326,41,0,0,23024,14789,3361,4102,371,611,41,22904,15537,3301,3576,254,250,20,3332,157,49,20,72,434,23991,15973,3016,4082,377,363,78,15407,11541,1369,2295,151,175,37,0,0,16209,12202,1231,2395,168,203,15,2335,153,73,15,0,17941,12431,2069,2833,286,461,21,17941,12431,2069,2518,211,53,5,73,581,16416,12683,1286,2188,158,147,10,0,0,0,0,0,17237,13163,1002,2679,173,211,0,2624,173,34,0,17484,12981,1103,3054,142,168,0,2922,142,27,0,8997,4056,4801,9425,3404,5602,9177,3951,5040,9004,4149,4855,7997,3436,4387,7805,3642,4163,9663,4123,5345,11074,4784,6123,10850,4703,5823,10913,4721,5983,10714,4634,6080,12666,5468,7004
37,37,20117,12001,4120,3665,219,584,27,0,0,7314,3956,2451,711,147,78,108,624,147,28,3,82,22872,14403,4817,3038,401,463,175,0,0,24099,13634,6375,3440,248,769,43,23452,14030,5544,3311,294,585,372,2877,283,132,0,20,565,22663,13011,6078,2718,485,496,80,15545,9944,2545,2796,151,390,21,0,0,15909,12113,1130,2228,170,262,0,2191,157,127,27,0,18738,11686,3823,2721,196,501,27,18738,11686,3823,2523,122,73,7,58,446,15582,11571,1215,2412,114,242,0,0,0,0,0,0,15198,11026,1484,2152,297,227,0,2014,268,101,0,15778,11728,1417,2317,104,281,2,2013,90,40,2,7044,3191,3725,8806,3211,5252,8610,3918,4525,8421,4067,4354,7632,3272,4261,7460,3509,3951,9083,3864,5068,10434,4457,5849,10117,4382,5463,10226,4423,5638,9995,4456,5539,11627,4883,6603
38,38,18297,17024,604,413,168,111,11,0,0,3762,3512,111,89,21,7,0,46,15,0,14,40,23411,22168,441,379,209,84,0,0,0,25152,23144,760,452,381,282,27,23757,22244,382,654,229,310,0,309,190,157,0,58,413,25074,23345,480,641,254,246,52,16092,15168,420,303,128,90,9,0,0,20731,20009,205,278,148,83,0,244,138,36,0,0,22893,21351,530,312,324,236,17,22893,21351,530,214,247,13,8,71,459,21150,20032,232,407,162,198,0,0,0,0,0,0,22633,21502,355,407,122,180,0,324,104,143,0,24834,23418,579,373,212,188,0,266,174,157,0,10699,4354,6171,13096,4396,8311,12713,5114,7428,12506,5323,7183,12429,5047,7223,12131,5337,6794,14942,6095,8669,17605,7294,10151,17237,7160,9770,17347,7356,9794,16996,7227,9769,21175,9221,11718
39,39,21982,14583,1802,5152,365,258,59,0,0,15444,10092,1265,3808,293,112,0,3431,219,0,39,353,22719,14219,2379,5853,408,158,0,0,0,23622,13749,3282,5704,454,662,40,23300,14136,2375,6536,459,162,30,5112,315,0,0,20,1342,23672,14249,2327,6894,493,163,40,16537,11823,1098,3266,259,179,35,0,0,16218,11809,840,3324,243,153,0,3113,243,4,0,0,18008,11471,2014,3879,329,452,21,18008,11471,2014,3571,269,53,3,78,549,16857,11953,945,3478,281,156,0,0,0,0,0,0,17594,12420,1099,3727,156,82,0,3353,156,8,0,17936,12443,1528,3613,90,255,0,2977,66,12,0,8762,3755,4881,9123,3165,5575,8797,3826,4743,8562,3772,4790,7102,2866,4105,6911,2982,3929,8667,3453,5037,9847,3898,5793,9530,3859,5388,9573,3926,5460,9359,3845,5514,9942,3758,6047
40,40,22075,17224,1005,3443,307,270,68,0,0,11613,8368,446,2710,84,93,9,2512,41,4,0,176,21914,16291,1495,3840,315,253,35,0,0,23633,16626,1915,4073,432,581,52,22726,16504,1968,3984,257,294,45,3540,170,36,17,11,476,23838,16960,2194,4189,260,429,63,16491,13469,587,2135,227,166,43,0,0,15513,12966,250,1898,138,95,15,1883,123,30,134,0,17831,13347,1147,2565,316,404,38,17831,13347,1147,2315,229,60,3,101,629,16367,13163,567,2294,100,113,20,0,0,0,0,0,17390,13778,649,2325,122,268,25,2274,96,150,25,19137,15023,980,2611,201,185,0,2562,170,46,0,8960,3496,5320,9566,2502,6670,9256,3635,5392,9072,3591,5481,7281,2396,4781,7129,2682,4447,9070,2858,6055,10366,3128,7112,10125,3204,6669,10153,3303,6666,9964,3286,6678,11143,3066,7947
41,41,20305,14677,2199,3024,350,239,23,0,0,4764,3518,579,580,68,51,1,478,59,9,0,112,22135,15388,2200,3712,569,365,4,0,0,25242,17552,3183,3415,564,599,26,21644,16130,1514,3192,532,400,5,2783,348,101,1,0,774,24472,17715,2527,3654,625,442,1,15955,12128,1378,2143,248,173,12,0,0,16262,12723,444,2558,258,255,0,2508,229,13,14,0,20119,14814,2025,2451,400,430,18,20119,14814,2025,2181,329,50,1,71,648,16512,13569,344,2243,210,249,0,0,0,0,0,0,18479,15206,461,2540,307,129,0,2440,243,10,0,19868,15658,777,2908,454,139,0,2754,375,6,0,8591,3614,4842,10474,3495,6618,10150,4483,5479,10010,4761,5249,9191,3590,5480,8995,3927,5068,11357,4388,6806,13414,5152,8133,13094,5078,7677,13183,5152,7857,12933,5296,7637,15117,5431,9497
