ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_18_ACS_BlackAlone,T_18_ACS_AsianAlone,T_18_ACS_NativeAlone,T_18_ACS_OtherAlone,T_18_ACS_TwoOrMore,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
15,15,20765,12733,1140,5791,1181,187,7,0,0,11397,5910,754,3920,935,139,8,3502,866,25,4,334,21683,11044,1846,7775,1371,268,17,0,0,24530,11190,2065,9041,2065,526,21,22647,11443,1923,7974,1554,166,0,7419,1410,1,0,3,453,25302,12214,2746,8776,1779,194,0,15644,10098,739,3989,825,131,5,0,0,16730,9390,962,5542,769,104,0,5401,714,29,49,0,19301,9355,1403,6802,1564,401,18,19301,9355,1403,6219,1430,34,5,108,747,17250,9436,834,5862,869,66,0,0,0,0,0,0,19151,10101,1158,6385,1248,48,0,6259,1243,5,0,18816,9755,1321,6177,1236,49,8,6029,1202,3,8,9938,6957,2853,11083,6974,3618,10680,7093,3306,10503,7044,3459,8942,6316,2414,8816,6149,2667,11114,7623,3255,12836,8808,3848,12528,8733,3482,12532,8766,3542,12309,8500,3809,12479,8272,4021
16,16,24069,9498,3225,11319,285,260,29,0,0,18786,6989,2887,8809,378,200,0,8037,332,24,74,419,25037,9351,3302,11982,546,213,0,0,0,24169,7730,4532,11597,445,573,45,24821,9246,4123,10883,608,97,0,10469,486,7,0,84,408,24211,8271,4721,10949,518,267,0,18138,7958,1959,8101,206,191,19,0,0,18505,8176,1608,8422,235,126,0,8272,180,22,35,0,18704,6756,2979,8611,345,412,33,18704,6756,2979,8060,230,60,8,72,539,18040,7909,2111,7764,216,86,0,0,0,0,0,0,17687,7094,2359,7908,172,235,0,7649,123,20,0,17516,6549,2798,7816,261,171,0,7618,221,10,0,10797,9151,1525,10265,7970,1936,9562,7792,1519,9396,7276,2120,7736,6366,1198,7578,5912,1666,9495,7549,1751,10855,8654,2075,10240,8134,1816,10328,8216,1826,10013,7980,2033,10102,7739,2237
17,17,23990,12714,2973,7657,805,227,32,0,0,14318,7830,2411,3985,421,100,0,3203,421,24,2,389,24276,11255,3753,8672,959,112,32,0,0,24699,10873,4086,8885,856,515,40,24378,11118,3651,8895,928,83,64,7784,895,29,59,57,781,24399,11527,3145,8745,841,244,26,18450,10434,1950,5503,607,164,23,0,0,17808,9286,1724,6101,569,84,30,5943,569,44,35,0,19596,9281,2709,6811,694,412,31,19596,9281,2709,6245,582,44,11,77,647,18290,9885,1891,5822,560,74,60,0,0,0,0,0,19211,10522,1794,6178,670,107,20,5938,666,10,20,19100,9318,2207,6816,626,136,4,6562,618,9,4,10509,8032,2350,10609,6964,3174,10009,7161,2576,9815,6889,2926,8245,6051,1991,8114,5938,2176,10192,7201,2776,11758,8244,3370,11270,8000,2965,11305,8027,3026,11025,7860,3165,10698,7221,3329
18,18,23484,12416,2405,6640,2177,231,30,0,0,16317,7896,1663,4648,2175,151,4,4311,2099,77,3,250,23782,11928,2652,6750,2530,328,5,0,0,24505,10719,3059,7800,2854,448,40,24799,12125,3465,6837,2510,327,14,6259,2399,68,13,0,473,25298,11859,4118,6424,3202,317,23,18323,10428,1522,4722,1705,159,20,0,0,17174,10114,1482,4898,505,199,4,4726,432,55,48,0,19715,9317,2118,5927,2210,364,31,19715,9317,2118,5446,2091,42,5,72,624,17919,10017,1810,5144,743,185,10,0,0,0,0,0,17813,9766,2123,4442,1186,181,4,4203,1064,66,4,17416,9092,1569,5344,1356,72,10,5027,1282,0,10,10300,7596,2576,9919,6511,2893,9463,6630,2543,9301,6512,2789,7615,5669,1787,7497,5548,1949,9443,6755,2471,10807,7774,2888,10429,7515,2641,10448,7534,2666,10234,7340,2894,10121,7026,2961
19,19,24590,18435,3592,2174,458,220,18,0,0,22907,15950,4154,2027,893,113,3,1649,833,5,7,308,24637,16911,4544,2491,877,90,5,0,0,25130,15813,5359,2672,998,579,15,23987,16265,3918,3100,746,166,3,2649,681,114,0,18,343,24160,15517,4352,3337,903,187,4,19483,15398,2281,1462,338,163,12,0,0,17829,14352,1522,1600,336,10,0,1518,295,10,4,0,20134,13621,3508,1988,720,446,10,20134,13621,3508,1705,633,34,3,52,578,17601,13827,1484,1897,283,119,4,0,0,0,0,0,18186,13263,2182,2150,469,127,15,2032,394,30,15,18293,13066,2434,2081,568,135,0,2045,443,28,0,11858,7946,3717,11322,6139,4568,10834,6700,3815,10505,6583,3922,8567,5350,2952,8387,5516,2871,10696,6519,3906,12249,7407,4637,11889,7371,4167,11926,7348,4298,11600,7230,4370,11503,6580,4722
20,20,16210,13361,902,1641,222,203,10,0,0,1946,1438,216,276,11,43,0,227,3,16,5,23,20391,18071,752,1045,146,324,56,0,0,23078,18930,1711,1492,492,454,18,21853,19116,780,1213,485,300,31,882,403,71,8,67,526,24083,20970,1086,1331,624,36,51,13369,11380,590,1169,158,142,8,0,0,16948,15438,436,826,41,137,15,801,40,62,65,0,19835,16859,1109,1116,380,311,14,19835,16859,1109,989,297,59,7,57,458,18391,16669,481,857,230,136,10,0,0,0,0,0,20162,18201,578,961,339,28,0,901,305,2,0,21934,19154,749,1442,511,161,0,1229,433,18,0,9139,4636,4387,11801,5210,6083,11530,5777,5488,11299,5871,5428,11444,5972,5257,11202,6184,5018,13356,6952,6194,15462,8188,7118,15218,8079,6798,15262,8180,6881,14933,8012,6921,17860,9584,8046
21,21,23888,18680,1642,1830,1760,150,14,0,0,19979,14938,1059,2335,1601,163,14,2081,1536,52,0,309,23748,17618,1396,2842,1731,153,37,0,0,24050,17350,1827,2589,2001,390,34,23836,17248,1852,3076,1626,185,31,2304,1562,69,21,113,664,24284,17142,1891,3507,1605,215,16,18776,15112,1088,1315,1255,108,10,0,0,17871,14661,836,1707,560,51,20,1657,558,26,37,0,19597,14739,1284,1859,1456,270,26,19597,14739,1284,1547,1331,22,2,62,610,17681,14381,935,1723,583,71,20,0,0,0,0,0,18329,14544,957,2057,652,138,0,1898,613,10,0,19092,14741,1215,1976,1008,121,0,1767,896,0,0,12693,7992,4514,12792,6870,5174,12435,7261,4798,12058,7212,4846,10554,6560,3719,10329,6661,3668,12351,7518,4516,13632,8252,5119,13417,8431,4615,13419,8351,4759,13145,8104,5041,13097,7626,5223
22,22,24665,20708,626,822,2442,81,19,0,0,12182,9644,233,596,1636,65,0,453,1581,48,2,206,23380,18850,413,1195,2824,107,119,0,0,25064,18844,966,1025,3823,231,26,23793,18423,598,1113,3584,87,193,709,3238,33,0,2,793,24377,18340,735,952,4163,123,4,18863,16141,379,600,1698,55,9,0,0,17425,14865,265,875,1235,87,0,821,1205,65,85,0,20007,15593,602,759,2756,155,9,20007,15593,602,632,2601,18,2,64,495,17624,14734,284,819,1578,74,0,0,0,0,0,0,18147,14979,342,728,2059,32,0,598,1868,4,0,18259,14689,706,489,2318,60,0,389,1992,0,0,15350,8618,6547,15178,7847,6544,15030,8333,6367,14685,8119,6566,12993,7813,4905,12770,7901,4869,15086,8942,5830,16693,9918,6530,16487,10217,5885,16505,9996,6261,16216,9624,6592,15815,9056,6480
23,23,26418,21520,1054,1740,2079,150,32,0,0,16872,11848,1417,1781,1773,88,20,1538,1570,36,28,411,27386,19649,2129,2771,2856,192,29,0,0,23870,16854,1434,2811,2521,251,30,27540,19058,2785,3527,2819,197,35,2299,2386,37,22,16,936,24612,17257,2529,3464,2143,154,0,22319,18310,831,1384,1757,120,26,0,0,21560,16986,1221,1917,1260,131,14,1761,1140,39,14,0,20508,14735,1066,2271,2186,211,22,20508,14735,1066,1949,2013,18,2,53,672,21122,16458,1392,2073,1000,113,19,0,0,0,0,0,18945,15095,1267,1767,687,113,0,1506,538,39,0,18343,14168,1313,1701,1033,118,0,1419,849,17,0,11199,6884,4112,10902,6305,3881,10725,6498,3899,10535,6592,3943,9383,6105,2957,9238,6172,3066,10763,6957,3499,11861,7756,3857,11616,7713,3549,11642,7698,3691,11432,7498,3934,10826,6970,3658
24,24,23918,15349,2887,4712,1024,233,45,0,0,21791,13420,2964,4182,1214,191,83,3726,1063,24,36,527,23790,14035,3856,4853,1243,252,46,0,0,24939,13172,4102,5758,1769,633,43,23689,12569,4536,5276,1513,215,84,4452,1190,88,0,39,815,24483,13188,4938,4402,2016,316,68,18466,12707,1789,3185,772,174,26,0,0,16909,11978,1431,2960,420,120,0,2806,381,90,42,0,19544,11137,2685,4204,1325,472,30,19544,11137,2685,3652,1161,32,5,55,817,16860,11011,1923,3313,490,141,0,0,0,0,0,0,17584,11366,2123,3138,851,211,0,2917,731,65,0,17732,10548,2622,3596,826,168,0,3323,800,11,0,9976,7068,2737,10018,5999,3402,9554,6119,3051,9381,6241,3140,7423,4930,2240,7286,5014,2272,9420,6170,2973,10854,7141,3507,10502,6970,3163,10508,6959,3249,10267,6839,3428,9907,6172,3531
