ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_ROFF_Total,E_18_SEN_ROFF_Dem,E_18_SEN_ROFF_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_19_LTG_Total,E_19_LTG_Dem,E_19_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_16-23_COMP_Total,E_16-23_COMP_Dem,E_16-23_COMP_Rep,E_23_GOV_Total,E_23_GOV_Dem,E_23_GOV_Rep,E_23_AG_Total,E_23_AG_Dem,E_23_AG_Rep,E_23_AUD_Total,E_23_AUD_Dem,E_23_AUD_Rep,E_23_LTG_Total,E_23_LTG_Dem,E_23_LTG_Rep,E_23_SOS_Total,E_23_SOS_Dem,E_23_SOS_Rep,E_23_TREAS_Total,E_23_TREAS_Dem,E_23_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
83,83,25042,18648,477,5558,301,113,23,0,0,25025,18758,304,5593,300,68,20,0,0,23081,16388,650,5394,406,316,26,24823,17739,388,6012,497,59,35,5970,423,10,17,146,133,23689,15885,500,6653,383,68,28,18994,14552,338,3825,226,90,14,0,0,18867,14449,111,4069,164,29,0,4058,139,8,20,0,17796,13007,423,3849,299,240,20,17796,13007,423,3703,228,24,9,41,361,18263,13750,67,4116,319,75,25,0,0,0,0,0,17739,12642,133,4692,216,110,10,4631,181,25,10,18424,12680,360,4782,170,552,22,4497,159,47,22,11497,2683,8693,11374,2716,8658,10873,2404,8243,8753,1974,6666,7947,2147,5800,8730,2112,6618,8194,2470,5591,8171,2057,6114,8190,1966,6224,8376,2220,6070,11657,3136,8399,11592,3293,8095,6566,1355,5211,9523,2461,6965,7251,2144,5026,7208,1872,5336,7181,1831,5350,7177,1693,5484,7199,1757,5442,7214,1777,5437,9909,2680,7169,10952,2862,7993,10814,2705,8109,9444,0,9444
84,84,27115,16185,218,10560,70,128,20,0,0,26289,14604,261,11252,20,113,5,0,0,25404,14918,236,9923,71,264,20,25682,14582,215,10648,25,82,3,10513,13,0,0,207,141,25759,14572,358,10560,64,211,6,20455,12898,132,7319,51,89,8,0,0,20207,11880,159,8073,12,45,0,8073,12,8,58,0,19659,11936,136,7328,54,202,12,19659,11936,136,7163,21,19,5,29,350,20125,12127,125,7757,28,54,0,0,0,0,0,0,20328,12064,205,7823,43,190,0,7753,38,24,0,20045,11793,134,7537,72,499,0,7470,65,85,0,13675,5314,8143,13366,5469,7897,12782,4729,7908,9668,3433,6066,9381,3917,5464,9862,3837,6025,9940,4066,5686,9888,3589,6299,9848,3564,6284,9821,3736,6010,13468,4965,8357,13460,5318,7951,7417,2104,5313,11263,4288,6867,9375,3915,5271,9300,3475,5825,9257,3567,5690,9255,3457,5798,9284,3388,5896,9293,3486,5807,11670,4379,7232,12267,4380,7806,12183,4280,7903,10220,0,10220
85,85,24740,8794,344,15500,104,102,18,0,0,23734,7400,310,15766,191,66,0,0,0,23243,7404,306,15374,99,220,24,24128,7600,309,16040,116,91,0,15685,104,52,0,40,338,23685,7112,420,16240,524,540,51,18685,7012,251,11325,75,83,9,0,0,18301,6141,248,11710,153,45,0,11700,153,37,10,0,18099,6133,203,11631,66,176,20,18099,6133,203,11393,45,31,5,13,276,18597,6497,223,11561,102,54,0,0,0,0,0,0,18382,6161,348,11742,14,139,0,11433,10,25,0,17453,6037,124,11213,49,162,9,10962,41,58,9,12875,8293,4424,12851,8886,3965,11404,7368,3905,8726,5135,3310,9081,6234,2847,9069,5802,3267,9568,6536,2886,9423,6202,3221,9331,5583,3748,8954,5896,2982,11837,7538,4126,11877,7867,3916,6445,3814,2631,10024,6418,3499,8359,5608,2613,8227,5116,3111,8201,5050,3151,8197,4750,3447,8207,4925,3282,8227,5258,2969,10086,6370,3655,10207,6202,3917,10219,5999,4220,10317,6477,3840
86,86,24488,14970,289,9118,73,103,23,0,0,24461,14584,179,9653,40,17,0,0,0,23348,13969,377,8742,77,187,19,24501,14631,384,9429,52,21,0,9407,44,0,0,0,40,23675,13927,911,8648,27,109,0,18039,11617,194,6148,45,67,16,0,0,18039,11191,35,6783,40,0,0,6719,25,0,0,0,17775,11003,243,6317,69,140,18,17775,11003,243,6167,43,32,2,11,274,18139,11432,30,6586,55,20,0,0,0,0,0,0,17626,10975,153,6439,24,105,0,6331,4,0,0,17439,10834,34,6316,174,108,4,6155,40,9,4,11975,4461,7319,12103,4698,7405,11348,4006,7241,8398,2963,5230,8206,3377,4829,8571,3163,5408,8778,3652,4993,8694,3207,5487,8627,3159,5468,8716,3213,5433,11971,4104,7719,11992,4509,7292,6890,2107,4716,10152,3678,6373,8824,3521,5083,8753,3020,5733,8762,3104,5658,8712,3112,5600,8765,3035,5730,8757,3089,5668,10486,3633,6789,10898,3405,7400,10866,3459,7407,10891,3195,7696
87,87,21459,17077,452,3577,248,121,12,0,0,23934,19360,286,3818,377,85,90,0,0,25193,18762,755,4687,433,499,44,25734,20713,435,4004,561,18,41,3882,483,5,0,0,215,25968,19886,564,4786,631,92,52,15645,12807,284,2308,178,93,8,0,0,17551,14532,137,2666,113,64,0,2654,113,15,29,0,18305,14110,449,3037,282,380,25,18305,14110,449,2881,211,27,8,46,573,18542,15353,164,2717,212,33,0,0,0,0,0,0,18922,14795,307,3308,282,50,0,3281,260,0,0,19340,15685,396,2711,285,51,0,2637,242,0,0,8842,1581,7137,9642,1832,7810,9844,1742,7826,7911,1541,6158,7180,1719,5461,7971,1680,6291,7102,2006,4982,7082,1519,5563,7097,1592,5505,7694,1730,5851,11253,2438,8636,11227,2779,8136,6898,1166,5502,8917,1986,6781,6744,1869,4786,6703,1520,5183,6687,1454,5233,6676,1406,5270,6699,1450,5249,6696,1465,5231,9828,2278,7454,11578,2517,8927,11464,2475,8989,11483,2299,9184
88,88,23140,20215,484,2241,73,135,13,0,0,23681,20486,848,2140,134,81,22,0,0,23324,19964,785,2126,116,272,18,23065,19542,877,2426,104,125,0,2392,15,106,0,0,126,22802,19261,936,2305,135,341,0,17350,15339,280,1588,53,100,10,0,0,17565,15800,93,1568,46,52,0,1568,35,42,0,0,17890,15594,449,1523,67,197,17,17890,15594,449,1459,38,34,11,16,289,17026,15493,95,1117,31,25,0,0,0,0,0,0,17187,15580,227,907,86,147,0,698,45,25,0,16840,15156,203,1200,83,213,0,1043,56,12,0,10768,1466,9124,10616,1328,9288,11163,1248,9752,8458,1050,7107,7658,1099,6559,8716,1076,7640,8654,1610,6868,8634,1150,7484,8623,1252,7371,8702,1178,7439,12163,1454,10584,12126,1828,9979,7146,690,6347,9997,1325,8523,8222,1426,6583,8208,1064,7144,8217,987,7230,7911,1241,6670,8207,983,7224,8210,1027,7183,10555,1397,9092,11528,1345,10137,11436,1419,10017,11481,1267,10214
89,89,23560,16362,1608,5428,175,111,23,0,0,23803,15525,1164,6668,240,317,47,0,0,24177,16372,2067,5230,219,359,24,24579,16757,1019,6454,127,260,20,6393,76,29,20,15,282,24249,16564,1489,5864,191,245,0,17895,13007,1065,3700,108,77,7,0,0,17222,12263,234,4474,43,162,32,4462,30,27,15,0,18521,13243,1227,3644,167,290,20,18521,13243,1227,3517,122,56,7,16,333,18244,14204,185,3895,47,228,23,0,0,0,0,0,17720,13803,205,3643,73,221,0,3635,55,15,0,17105,13201,313,3321,88,177,0,3288,61,4,0,9721,2095,7472,10279,2599,7680,9295,1943,7182,7125,1550,5315,6509,1764,4745,7345,1656,5689,6856,1940,4804,6814,1494,5320,6803,1508,5295,7046,1694,5275,9819,2304,7393,9767,2584,6951,5588,1035,4478,8192,1954,6111,6663,1879,4653,6644,1548,5096,6640,1441,5199,6409,1622,4787,6639,1472,5167,6649,1532,5117,8474,2072,6335,9042,2073,6886,8971,2076,6895,8785,1454,7331
90,90,26772,16393,550,9686,93,95,33,0,0,25078,16088,588,8342,71,86,0,0,0,25380,15002,640,9354,166,277,31,25066,14956,964,9082,34,108,0,8984,29,7,0,2,121,25931,15190,1547,8735,92,368,210,19835,12852,338,6537,60,79,22,0,0,19244,12799,272,6110,56,39,0,6045,56,4,0,0,19386,11988,370,6727,108,211,23,19386,11988,370,6571,69,16,10,25,337,18930,12163,372,6110,13,37,0,0,0,0,0,0,19221,12014,495,6195,21,252,30,6042,11,1,30,19796,12085,360,6969,61,238,54,6808,29,10,54,12528,5061,7239,11994,5033,6961,11610,4375,7097,8969,3250,5515,8843,3843,5000,9236,3569,5667,9419,4116,5175,9352,3602,5750,9275,3391,5884,9077,3527,5483,12441,4589,7709,12439,4894,7387,6957,2097,4838,10256,3945,6209,8259,3588,4537,8208,3135,5073,8190,3099,5091,8134,3051,5083,8203,3128,5075,8203,3181,5022,10793,4001,6741,11704,3976,7625,11629,3921,7708,10105,793,9312
91,91,25472,11139,324,13912,88,100,14,0,0,24592,12007,62,12427,44,109,0,0,0,23537,9913,255,13140,105,225,12,24563,12054,62,12336,66,83,0,12226,53,26,0,0,149,24691,11707,117,12685,69,124,35,19131,8933,257,9867,56,74,12,0,0,19008,9443,47,9439,16,93,0,9270,14,19,10,0,18215,7915,160,9954,81,175,6,18215,7915,160,9744,55,16,2,14,309,18850,8350,37,10494,12,59,0,0,0,0,0,0,18596,8075,48,10572,19,90,0,10471,13,39,0,18432,7933,172,10365,15,81,8,10279,8,33,8,14641,8153,6289,13325,7807,5518,12600,6916,5566,9594,4928,4457,10233,6026,4207,10067,5508,4559,9930,5878,3936,9822,5461,4361,9701,4930,4771,9605,5362,4178,12869,6931,5766,12863,7191,5577,7073,3266,3807,10878,5995,4790,8892,5350,3425,8786,4780,4006,8761,4772,3989,8763,4572,4191,8757,4729,4028,8744,4868,3876,11044,5939,5053,11420,5819,5523,11364,5698,5666,8346,0,8346
92,92,25143,19172,320,5445,119,117,11,0,0,24597,18037,310,6061,173,42,0,0,0,25320,18675,422,5742,191,322,27,25075,17631,548,6617,225,46,0,6534,169,0,0,45,138,25000,17262,593,6784,196,125,0,18879,14608,205,3938,80,71,7,0,0,18635,13894,106,4535,78,13,0,4534,61,3,15,0,19533,14651,252,4283,154,229,20,19533,14651,252,4140,108,39,5,17,321,19170,14354,276,4542,72,19,0,0,0,0,0,0,18934,13760,385,4678,61,96,0,4651,54,0,0,19472,14323,344,4548,122,140,0,4503,66,50,0,11928,2881,8875,11858,2929,8929,11379,2446,8801,9235,1911,7173,9345,2204,7141,9558,2071,7487,8531,2719,5719,8518,2069,6449,8463,1894,6569,8846,2151,6634,12500,2840,9535,12482,2986,9371,6904,1233,5671,10427,2440,7904,8561,2461,5969,8545,1952,6593,8500,1938,6562,8479,1863,6616,8527,1849,6678,8512,1928,6584,10930,2511,8367,11851,2516,9265,11772,2378,9394,10853,432,10421
93,93,24591,20600,569,2939,190,316,27,0,0,24313,20332,563,2776,304,362,15,0,0,25273,20644,870,2862,201,605,15,24940,21744,555,2262,227,199,18,1890,67,71,18,0,596,25455,21813,789,2190,277,276,17,18340,15587,357,2044,132,235,15,0,0,18573,15610,420,2080,104,309,13,1994,15,74,34,0,19488,16033,663,2094,143,472,10,19488,16033,663,1977,77,103,2,45,588,19253,16537,489,2097,112,181,20,0,0,0,0,0,19791,16987,578,1984,142,226,15,1907,115,94,15,20739,18054,571,2014,55,197,5,1969,46,29,5,9497,2039,7301,10229,2131,8098,9635,1529,7910,7027,1202,5630,6167,1289,4878,7039,1329,5710,6355,1453,4813,6301,1314,4987,6288,1282,5006,7236,1344,5802,10800,1711,8958,10690,2208,8160,6069,798,5160,8274,1520,6625,5907,1429,4358,5789,1101,4688,5767,1217,4550,5750,1111,4639,5772,997,4775,5754,1092,4662,9213,1599,7533,11273,1615,9564,11062,1581,9481,11085,1490,9595
94,94,25834,6832,2041,16955,95,177,12,0,0,25375,6722,2156,16793,166,126,0,0,0,23101,5860,876,16134,140,262,24,25288,6554,2682,16219,163,147,0,15602,161,91,0,31,170,23559,6949,1798,14776,185,349,0,19821,5660,1964,12201,81,138,11,0,0,17866,4910,671,12169,56,73,0,12077,56,36,0,0,18240,4971,794,12275,112,202,16,18240,4971,794,11994,95,31,7,24,324,17764,4532,1358,11745,61,100,0,0,0,0,0,0,16704,5022,847,10604,99,141,0,10546,98,7,0,16473,4618,425,11207,21,145,0,11120,17,0,0,13123,9424,3558,12325,9099,3226,10778,7615,3027,8275,5834,2294,8361,6321,2040,8379,5958,2421,8371,6124,2153,8293,5971,2322,8151,5543,2608,8121,5849,2211,10774,7630,3025,10767,7838,2842,6110,4179,1931,9141,6560,2501,7308,5413,1788,7154,5010,2144,7136,5059,2077,7152,4807,2345,7132,4934,2198,7143,5122,2021,9048,6394,2604,9177,6340,2757,9099,6195,2904,9192,6564,2628
95,95,22174,20132,675,910,265,249,39,0,0,23972,21326,1049,1463,200,273,85,0,0,25259,21200,1048,1714,463,715,31,23770,21129,916,1473,270,288,80,860,115,62,0,11,669,24069,20176,1485,1759,353,447,87,16792,15449,444,554,175,192,25,0,0,18799,16889,725,828,135,191,8,675,66,59,95,0,19563,16750,720,1147,297,540,24,19563,16750,720,1016,183,73,4,68,749,18989,17204,676,786,125,135,0,0,0,0,0,0,19192,16830,910,1065,121,214,0,953,71,23,0,19294,16588,773,1459,261,186,0,1408,110,0,0,8586,1482,6976,8098,1353,6745,9059,1357,7472,7547,1535,5883,6477,1415,5062,7402,1600,5802,6273,1524,4683,6228,1329,4899,6239,1312,4927,7215,1461,5662,11022,2102,8779,10973,2537,8140,7004,1148,5732,8501,1751,6621,6316,1607,4614,6245,1360,4885,6226,1347,4879,6237,1229,5008,6237,1247,4990,6239,1280,4959,9780,2036,7656,12216,2381,9698,12074,2266,9808,12057,2180,9877
96,96,25921,10354,210,15298,57,102,13,0,0,23888,9659,97,14011,108,47,0,0,0,23255,8791,262,13978,92,275,9,23353,9094,270,13803,211,94,0,13496,118,5,0,139,235,23399,8755,309,13944,213,134,0,19816,8420,153,11197,45,80,7,0,0,18948,8062,70,10692,65,53,0,10673,65,5,0,0,18573,7392,200,10793,62,222,9,18573,7392,200,10502,24,43,0,40,372,18517,7108,170,10901,89,37,0,0,0,0,0,0,18618,6895,270,11200,96,110,0,11057,92,14,0,18147,6947,133,10870,9,238,0,10703,0,30,0,13958,8164,5573,13425,7981,5444,11922,6571,5203,8676,4555,3925,8383,4894,3489,8521,4462,4059,9292,5332,3762,9172,5214,3958,9078,4964,4114,8963,4999,3884,11989,6464,5376,11932,6574,5190,7243,3596,3647,10175,5520,4541,8542,4724,3594,8373,4344,4029,8389,4456,3933,8355,4431,3924,8400,4389,4011,8376,4495,3881,10105,5287,4750,10017,4931,4954,9916,4829,5087,9667,4504,5163
97,97,22798,16005,281,6223,209,143,7,0,0,21493,13695,398,7411,101,152,0,0,0,23912,15642,335,7289,275,357,21,22363,14188,616,7398,256,138,0,7184,205,21,0,0,147,23196,14703,524,7692,240,72,0,17612,12774,190,4437,145,98,5,0,0,16377,10807,214,5295,55,33,0,5251,51,6,0,0,18789,12852,249,5215,191,260,14,18789,12852,249,5055,174,47,0,23,389,16846,11929,546,4386,151,36,0,0,0,0,0,0,17754,12429,496,4580,195,58,0,4533,181,24,0,17496,12481,211,4508,103,133,0,4454,82,61,0,11880,3299,8411,11614,3351,8263,11286,3017,8082,8992,2371,6426,8457,2580,5877,9028,2509,6519,8971,3025,5855,8892,2586,6306,8870,2446,6424,8772,2610,6091,11929,3475,8315,11902,3715,8004,7438,1812,5626,10080,3017,6955,8297,2994,5186,8252,2558,5694,8224,2547,5677,8148,2511,5637,8227,2456,5771,8239,2514,5725,10386,3164,7155,11075,3216,7755,10969,3109,7860,10095,1575,8520
98,98,26874,8966,275,17483,115,151,27,0,0,25086,8309,219,16401,34,216,0,0,0,25161,7519,414,16828,147,305,26,24271,8402,315,15458,64,264,0,15255,39,167,0,0,75,23748,7363,508,15794,64,273,0,19130,7055,180,11773,76,107,14,0,0,18460,6736,107,11473,30,109,0,11471,30,109,0,0,18953,6266,274,12105,108,234,15,18953,6266,274,11840,80,46,0,42,405,18050,6362,155,11397,62,131,0,0,0,0,0,0,17715,5768,248,11766,21,127,0,11732,7,103,0,17991,5737,268,11934,65,115,0,11720,38,67,0,11840,7606,4050,11641,7861,3780,10146,6410,3597,7565,4577,2850,7854,5342,2512,7720,4772,2948,7643,5007,2566,7576,4816,2760,7476,4498,2978,7663,4949,2667,10543,6643,3782,10556,6921,3503,5334,2868,2466,8793,5638,3071,7100,4764,2195,7045,4500,2545,7028,4481,2547,7034,4398,2636,7041,4422,2619,7053,4568,2485,8879,5569,3259,9078,5436,3567,8986,5254,3732,5950,0,5950
99,99,24823,17264,395,6986,99,184,29,0,0,24075,16357,327,7296,19,42,0,0,0,23113,16413,418,5845,97,312,22,24339,15681,513,8000,13,78,0,7765,10,1,0,57,306,24912,16083,648,7853,25,343,0,18323,13148,256,4780,61,134,14,0,0,17975,12357,255,5323,11,12,0,5323,11,0,0,0,17609,12671,258,4376,69,214,15,17609,12671,258,4258,38,68,5,24,287,18454,12516,357,5458,4,44,0,0,0,0,0,0,18693,12775,372,5325,10,112,0,5323,10,34,0,18717,13224,348,4954,6,115,5,4935,1,36,5,12147,3705,8245,11360,3419,7941,11079,2998,7971,8111,2045,5871,7861,2446,5415,8257,2273,5984,7873,2458,5318,7813,2196,5617,7765,2113,5652,8262,2305,5904,11601,3015,8492,11552,3298,8065,6326,1279,4994,9508,2646,6772,7533,2453,4945,7467,2113,5354,7451,2176,5275,7437,2090,5347,7455,2043,5412,7452,2112,5340,9979,2643,7296,11039,2567,8376,10920,2577,8343,9555,182,9373
100,100,25148,17153,351,7444,122,129,17,0,0,24653,17019,522,6805,131,178,27,0,0,23641,15815,417,6952,157,304,22,24170,17028,624,6150,185,146,24,5998,158,0,24,111,228,22874,16426,461,5599,15,83,0,18858,13299,221,5186,80,98,15,0,0,18656,13294,199,5049,58,96,20,4980,58,0,6,0,18043,12415,240,5031,110,247,17,18043,12415,240,4916,64,36,4,25,343,18204,13333,214,4664,58,111,25,0,0,0,0,0,17490,13023,214,4171,10,65,0,4117,10,15,0,18044,12734,164,5065,56,109,14,4946,56,43,14,12073,3686,8223,12127,3844,8283,11077,3067,7823,8428,2305,5917,8158,2659,5499,8557,2454,6103,8281,2790,5392,8243,2454,5789,8226,2412,5814,8444,2506,5867,11696,3257,8319,11695,3629,7860,6806,1400,5341,9447,2785,6547,7077,2460,4495,7038,2127,4911,7032,2129,4903,6979,2060,4919,7030,2063,4967,7038,2133,4905,9909,2829,7021,11079,2787,8192,10972,2797,8175,9725,388,9337
101,101,20604,14931,546,4594,461,110,19,0,0,23098,15352,994,6116,575,60,8,0,0,25463,15315,1311,7490,903,414,44,22410,14520,893,6451,426,189,0,6212,400,0,0,0,386,24329,15575,1021,7066,630,186,0,15227,11477,345,3028,321,81,11,0,0,17297,12508,249,4197,289,44,0,4131,232,0,8,0,19105,12261,830,5074,630,307,24,19105,12261,830,4889,530,28,13,46,508,17080,11784,263,4647,271,115,0,0,0,0,0,0,18435,12846,318,4719,303,123,0,4668,242,65,0,18383,12263,417,5040,371,151,0,4997,182,42,0,9019,1987,6935,9175,2265,6910,9113,2223,6590,7565,1989,5409,6961,2167,4794,7612,2100,5512,6559,2356,4121,6550,1858,4692,6553,1806,4747,7338,2291,4929,10938,3498,7251,10932,3787,6911,6526,1495,4805,8579,2612,5824,6562,2262,4227,6504,1925,4579,6477,1833,4644,6464,1725,4739,6478,1812,4666,6480,1808,4672,9253,3002,6154,10383,3312,6916,10274,3165,7109,10273,2989,7284
102,102,21938,13332,676,7479,362,125,29,0,0,23420,14046,712,8038,566,292,37,0,0,25149,13967,976,9176,633,348,27,22445,13217,703,7771,732,250,38,7391,493,40,8,7,585,24035,13721,827,8747,562,248,171,18319,11791,558,5587,301,104,26,0,0,18772,12079,433,5982,129,199,0,5835,47,65,47,0,21632,12577,768,7329,589,273,21,21632,12577,768,7088,504,43,5,185,462,18642,11964,420,5920,311,145,10,0,0,0,0,0,20272,12717,441,6423,276,229,135,5894,145,10,135,21173,12374,706,7312,260,71,148,6831,101,7,148,7809,3273,4399,7231,3497,3734,7792,3497,3880,6620,2994,3453,6201,3270,2931,6685,3231,3454,5969,3244,2630,5891,2621,3270,5940,2416,3524,6231,3115,2994,8990,4505,4267,8998,4799,3985,4988,1908,2889,7142,3537,3453,5341,2917,2358,5281,2501,2780,5263,2304,2959,5300,2112,3188,5278,2312,2966,5290,2372,2918,7441,3749,3607,8063,3922,3965,8042,3753,4289,8015,3592,4423
103,103,26937,7671,1382,17802,135,202,27,0,0,25019,5909,827,18146,42,167,3,0,0,24994,5844,1336,17395,243,331,30,25185,5671,988,18264,65,213,10,17731,32,108,0,31,627,24944,5921,1181,17550,207,182,138,19904,6577,931,12278,112,155,22,0,0,18041,5045,175,12696,9,110,0,12465,9,15,45,0,18949,5068,846,12683,199,249,21,18949,5068,846,12348,139,31,15,46,456,17970,4799,190,12873,11,165,0,0,0,0,0,0,17769,4905,293,12589,73,113,0,12431,60,44,0,17635,5180,429,12097,39,153,1,11878,37,45,1,9088,6834,2126,10044,7542,2502,8581,6526,1851,6389,4654,1558,6804,5590,1214,6729,5248,1481,6039,4766,1210,5961,4502,1459,5852,4058,1794,6451,5006,1370,9178,6948,2058,9207,7278,1812,4807,3527,1166,7291,5627,1563,5380,4386,922,5299,3994,1305,5294,3863,1431,5329,3749,1580,5301,3938,1363,5321,4103,1218,7230,5501,1666,7249,5305,1842,7226,5205,2021,7180,4973,2207
104,104,23575,20450,529,2280,171,179,15,0,0,24388,20575,700,2644,343,187,0,0,0,25323,20715,846,2906,266,590,30,25021,21913,557,2280,184,73,0,2102,101,55,0,16,279,25730,22655,326,2180,362,133,11,17284,15216,319,1528,118,123,9,0,0,17833,15438,319,1754,165,124,0,1672,90,74,35,0,18713,15623,523,1913,176,428,18,18713,15623,523,1796,104,57,1,38,571,18153,15988,294,1703,89,73,0,0,0,0,0,0,18822,16686,151,1676,193,100,0,1639,118,14,0,17960,15722,223,1540,312,102,0,1420,253,7,0,9291,1390,7769,11229,1978,9251,10236,1433,8556,8140,1289,6601,7468,1510,5958,8261,1450,6811,7775,1894,5733,7729,1341,6388,7743,1346,6397,8231,1532,6579,11975,2071,9708,11936,2519,9086,7027,919,5923,9191,1658,7379,6619,1538,4982,6599,1194,5405,6573,1154,5419,6557,1109,5448,6593,1125,5468,6587,1145,5442,10035,1903,8034,11595,1974,9496,11495,1991,9504,11513,1824,9689
105,105,26117,20186,297,5438,59,177,7,0,0,25158,19629,421,4882,36,210,7,0,0,24917,19166,406,4715,120,452,23,25237,19685,384,4796,151,226,8,4503,143,127,0,0,391,25058,19397,946,4066,255,357,16,20008,15281,217,4359,44,138,3,0,0,19889,15457,153,4099,20,188,0,4019,10,116,4,0,19694,15010,261,3935,88,357,17,19694,15010,261,3875,43,105,2,14,384,19743,15240,168,4016,156,199,0,0,0,0,0,0,19499,15065,410,3373,245,354,0,3268,237,117,0,19625,15024,233,3697,292,400,10,3540,262,133,10,11128,2469,8459,11061,2334,8727,10554,1798,8607,7422,1314,5910,6591,1464,5127,7454,1582,5872,7807,2024,5662,7700,1621,6079,7670,1733,5937,8038,1581,6389,11474,1953,9424,11356,2404,8696,6932,1090,5736,8920,1690,7121,6686,1674,4823,6658,1306,5352,6629,1333,5296,6616,1310,5306,6634,1220,5414,6644,1273,5371,9657,1754,7854,11060,1650,9344,10956,1705,9251,10990,1526,9464
