ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
15,15,98258,77624,13529,1781,3850,1296,1074,0,0,109094,83196,16205,2118,5230,1218,1781,0,0,113247,80963,18340,3212,6667,2757,1982,109250,81682,16207,2769,5364,1364,2511,1659,4001,534,1643,3198,111230,82068,15795,3674,6080,2343,2476,73369,60332,8411,928,2690,823,595,0,0,76470,64883,6656,962,2326,634,715,802,1750,304,715,325,0,86776,64787,12246,1930,4804,1917,1231,86776,64787,12246,1122,3723,509,799,3160,76728,64019,6988,1155,2273,815,986,0,0,0,0,79731,65437,7129,1430,2964,1168,974,884,2367,563,974,79343,64092,7584,1568,3597,1197,764,899,2791,659,764,38527,18743,18665,38361,15254,23107,43204,18534,14291,42414,17855,22345,43029,19270,22012,41886,15803,21650,40633,18578,19580,40053,18483,18912,42166,19793,20210,46802,22576,22296,53788,30397,21266,52362,25200,24844,52037,27003,22010,46417,0,29778,46189,0,29517,49530,25886,21552,49189,28249,19573,47742,24594,21401,48648,22783,20679,47643,21583,19213,46713,23623,21182,46549,22443,21637,46879,25003,21347
16,16,110443,81909,19493,1810,4325,1464,2526,0,0,113362,79337,23075,2468,5148,1688,3146,0,0,113458,75221,25105,2707,5522,2992,3213,115756,78923,23955,2315,6537,1804,3739,1204,5205,591,2888,2668,113837,77299,24996,3065,5740,2106,2840,74768,57577,11765,810,2865,886,1356,0,0,74013,58498,9777,1043,2618,780,875,866,2147,525,875,417,0,82721,57064,16705,1536,3964,2059,1952,82721,57064,16705,937,3256,516,1509,2376,75473,58116,10211,764,3771,788,1434,0,0,0,0,75534,57487,11694,1032,3234,564,1161,892,2899,307,1161,75209,54990,13167,1117,3621,573,1191,822,3074,239,1191,36244,14696,20503,37335,11850,25485,40062,12990,15034,39426,12990,24449,39923,14202,23884,38848,11777,23137,37864,14144,21110,37368,14312,20075,38731,13859,22479,43863,16456,25447,50293,22363,25721,48852,17873,28625,48643,19771,25890,45464,0,31409,45249,0,30732,46293,18789,25248,46292,20991,23900,44991,17858,24920,45848,15891,23245,44904,15681,22529,44295,17189,24836,44118,16315,25436,44848,18317,23582
17,17,69807,59846,5603,869,2458,450,986,0,0,101148,82517,10018,1881,5206,741,1321,0,0,114416,87282,14021,2272,7201,1845,2482,106064,86643,10423,2078,5562,1412,1378,1196,3771,263,345,2994,114521,91961,12416,1782,7007,2005,1416,44101,38597,3168,335,1432,243,474,0,0,62898,54386,4226,920,2321,313,423,731,2027,198,423,301,0,77137,60199,8697,1276,4665,1158,1358,77137,60199,8697,718,3733,242,954,2256,66228,57271,4719,715,2706,400,219,0,0,0,0,73650,63654,5654,573,2807,563,210,307,2238,229,210,78699,66043,7221,1125,3073,556,189,784,2438,189,189,24294,7338,16309,30503,6276,24227,38024,9418,16187,37310,8842,26985,37763,9620,26750,36636,7973,25762,35494,9771,23914,35044,9812,23072,38925,10538,26576,45197,13550,29933,55946,21682,31949,54689,15724,36640,54297,18337,33217,50883,0,38761,50613,0,38537,52809,18045,32565,57183,23423,32191,55882,18578,34803,57039,16700,31307,55540,16311,31754,54531,17794,34461,54272,16753,34907,55625,19445,32971
18,18,76824,68107,5086,1002,1592,684,884,0,0,98999,85217,7496,1227,2921,841,1784,0,0,114579,92102,11845,2142,4951,2010,2079,101543,85990,8960,1010,3606,1445,1421,682,2263,504,247,2396,113261,94009,10656,664,4884,1739,2041,48042,42691,3259,553,955,449,464,0,0,61047,54942,3565,450,1019,441,297,275,795,269,297,312,0,75848,61799,7449,1241,3049,1342,1192,75848,61799,7449,786,2231,396,661,2231,64103,57067,4478,455,816,547,187,0,0,0,0,72051,63710,4967,320,1656,574,249,264,1237,283,249,75791,65366,6398,852,1531,525,405,485,1105,284,405,23665,6489,16489,28471,4968,23503,34055,6595,16299,33490,6354,25635,33797,7336,24998,32862,5852,24174,31851,7353,22641,31355,7370,21611,34424,7929,24485,41397,10291,29314,51809,16421,33141,50219,12020,35676,50104,14029,33469,47323,0,37469,47112,0,36803,48816,13804,32726,54064,18023,34548,52361,14506,34994,53465,13037,29608,52299,12448,32620,51408,13753,35120,51218,12801,35535,52356,14857,34480
19,19,102214,91683,4833,1004,3522,705,894,0,0,109102,95562,5904,1392,4993,723,1007,0,0,112111,93939,7770,1566,5900,1575,1129,110179,94962,6926,1702,4646,952,1003,986,3273,230,510,2796,110588,94130,7007,1983,4691,1245,1454,70125,63888,2898,400,2238,399,476,0,0,73980,67372,2741,701,2295,342,178,588,1876,167,178,343,0,80693,68859,4998,873,3946,1033,638,80693,68859,4998,468,3121,216,318,2390,74310,67283,3093,884,2065,467,260,0,0,0,0,75387,67800,3238,943,1974,498,465,690,1458,183,465,75751,67359,3599,719,2518,448,600,425,1848,205,600,46849,17450,28275,48398,13454,34944,52971,16499,23012,52295,15568,34490,52830,16853,34147,51463,13896,33225,49937,16368,31084,49251,16292,30208,51112,16784,31949,57274,20092,35206,65125,28290,34600,63600,21618,39603,63304,24781,35611,57702,0,44094,57169,0,43474,60832,23396,35140,61616,27294,32771,60477,21582,36339,61594,19716,32071,60296,18968,33009,58970,20977,35723,58626,19676,36342,59332,22538,36786
20,20,93534,78422,9409,553,1073,4434,327,0,0,107500,89425,11058,960,1862,4717,249,0,0,112202,91454,12127,939,1875,5530,513,110388,91839,11358,1177,1794,4456,287,421,1126,3322,103,2170,112943,93001,11721,1308,2100,4509,816,63402,54157,5664,278,684,2782,165,0,0,71005,62590,4284,290,846,2851,74,237,598,2323,74,83,0,78412,65252,7512,523,1250,3625,269,78412,65252,7512,241,822,2258,125,1989,73203,64610,4509,422,787,2697,68,0,0,0,0,75748,66737,4697,495,914,2695,113,255,585,2055,113,78892,69636,4812,441,1051,2626,173,208,671,1628,173,33448,10799,21675,35756,8346,27410,42736,10678,24934,42070,10277,29915,42492,11073,29601,41468,9707,28438,40607,11162,27319,40463,11217,26687,38969,10915,25211,45797,12907,31207,55154,17523,36230,50323,14649,33188,53451,15632,35404,48624,0,39084,48723,0,38587,51632,15316,34309,56625,17812,37752,56011,15331,37845,55878,13324,31676,55274,13769,35917,54416,14155,37555,54270,13841,38568,55193,15743,39296
21,21,95168,86481,5169,749,1594,708,977,0,0,106723,95054,6319,954,2451,729,1787,0,0,112819,96469,8612,1214,3349,1712,1797,111473,98942,6649,1038,2733,714,2055,553,1255,149,829,2993,114142,96887,9421,1292,3856,1392,2426,56118,51694,2827,220,755,364,424,0,0,65536,60850,2332,234,863,355,529,140,566,200,529,345,0,74739,64941,5226,606,1988,1071,1006,74739,64941,5226,323,1302,227,515,1992,70081,64360,2867,356,1064,358,577,0,0,0,0,73850,65754,4148,429,1748,594,552,282,1121,248,552,76407,67662,4774,540,1635,677,415,437,878,278,415,34330,5234,28016,37962,2666,35296,43149,4929,23235,42799,4391,37000,43005,4725,36646,42161,4221,34622,41439,5561,33822,41208,5843,32490,37913,5062,30506,48370,7611,38700,57918,13808,41155,56848,8898,44952,57323,10901,43384,54616,0,46102,54116,0,45369,54772,10911,40929,59145,16001,41151,59522,10754,44465,59996,9520,35480,58766,9341,40382,57638,10626,44085,57162,9511,44602,59030,12034,46806
22,22,62051,54243,4508,586,1632,549,917,0,0,92312,78719,8262,1060,3070,733,1324,0,0,114258,92789,11447,1754,4551,2097,2290,96535,81418,8939,1574,3112,772,1317,958,1227,334,833,2692,117549,97836,11148,2102,4764,914,1461,35211,31137,2467,222,841,264,385,0,0,49967,44519,3296,454,809,261,377,323,594,174,377,245,0,67779,55677,6519,881,2605,1171,1089,67779,55677,6519,479,1750,233,606,2229,53344,46768,3830,695,1150,222,452,0,0,0,0,67580,59057,4853,978,1734,219,385,568,1114,53,385,78350,66566,6893,1043,2296,509,471,633,1582,158,471,15944,3484,11874,22428,2697,19731,29058,4464,14356,28601,4231,23230,28770,4678,22706,28161,3851,21782,27517,4894,21132,27343,4980,20364,26324,4929,19830,36522,7703,27126,48349,13744,31880,46941,9750,34472,47307,10876,33693,44496,0,36028,44337,0,35427,46673,11496,32670,55941,16822,37364,55194,12892,38750,55701,11324,31422,54541,10672,35267,53486,12137,38730,53172,10853,39293,54798,13203,38295
23,23,86905,67858,13468,1024,2442,1271,1687,0,0,104525,78635,18270,2096,3815,1605,1955,0,0,112241,78804,22366,2031,4349,2775,3312,106034,80197,18225,2188,4034,1911,1705,960,1919,524,559,3580,110412,82511,18817,2600,4295,2510,2011,59550,48010,8078,542,1632,755,906,0,0,66842,56144,6500,898,1460,621,547,520,877,283,547,645,0,80118,58152,14666,1225,2922,1880,1941,80118,58152,14666,657,1877,440,1185,2807,68406,57387,6729,1016,1488,882,415,0,0,0,0,73045,61223,7174,884,1736,733,624,536,939,182,624,76273,62003,8960,697,2290,710,966,542,1200,181,966,28089,5639,21436,28545,3211,25334,32825,5422,15598,32364,5096,25793,32561,5375,25614,31900,4801,24045,31293,6067,23358,31183,6368,22385,28318,5398,21066,37031,8168,26979,45100,14029,28470,44122,10123,31254,44130,11196,29986,41760,0,32365,41383,0,32253,41325,10893,27945,43216,14214,27548,42912,10356,29250,43285,9569,23365,42279,8905,25903,41474,10411,28789,41132,9030,29253,42379,11511,30868
24,24,113391,91948,13698,1130,4356,1461,1883,0,0,116982,92857,13963,1460,5282,1450,2741,0,0,114650,86487,16814,1933,5214,2437,2898,117338,91660,15057,1521,5737,1760,2753,731,3447,530,1660,4047,115434,89251,15762,1674,5289,2192,2488,88243,73649,8943,715,3309,977,1214,0,0,84957,73919,5370,652,2512,887,1078,372,1490,424,1078,570,0,89961,70030,11494,1360,3974,1673,1892,89961,70030,11494,714,2385,371,1020,3634,86048,74179,5911,619,2871,812,971,0,0,0,0,85780,73115,6445,711,2876,906,916,350,1378,467,916,84046,71536,6954,621,2663,689,831,257,1256,298,831,32532,6804,24544,32124,3643,28481,35960,6313,15363,35208,5453,28059,35363,5879,27868,34561,5247,26148,33936,6410,25710,33749,6802,24523,28626,5809,21175,37051,8575,26688,42880,14932,25242,42055,10254,29503,41662,11390,27680,39004,0,30717,38592,0,30811,38785,11019,25537,38690,14278,22942,38728,9410,26682,38967,8965,22214,38029,7987,22691,37217,9807,25613,37001,8221,26125,38093,11027,27066
25,25,93563,76502,13282,820,1185,1214,1274,0,0,106135,86045,15733,744,1741,1499,1418,0,0,113220,87486,18880,1427,2087,2631,1945,108447,86803,15931,1383,2015,1666,2143,642,630,405,921,3026,113248,89791,16705,1511,1956,1896,2556,57502,48061,7527,318,648,647,632,0,0,63938,56013,5984,135,566,710,311,68,243,328,311,209,0,74361,58646,11608,724,1244,1653,1072,74361,58646,11608,364,619,383,633,1853,66280,56830,7082,273,661,680,285,0,0,0,0,71564,60542,7949,530,755,679,471,400,331,323,471,74705,62398,8960,955,977,597,267,787,506,241,267,27002,5282,20716,28848,3035,25813,33747,4556,18825,33319,4386,27544,33435,4912,27022,32829,4202,25609,32292,5818,24604,32157,5978,23583,30014,4651,23137,39230,6654,30720,48807,10969,35486,47255,7818,36565,47588,9082,35742,45254,0,37024,45018,0,36343,45957,8988,34387,51495,12365,37585,50787,9065,37806,51265,8093,29518,50200,7691,34600,49365,8974,37538,49072,8327,38070,50551,9616,37896
26,26,103899,84323,8835,670,902,9310,524,0,0,109771,87149,11899,482,1049,9090,772,0,0,110831,85942,11615,1032,1612,10192,969,109074,85943,11830,809,1251,9193,886,405,658,7943,556,1717,111843,88410,12160,840,1277,8992,924,70632,58837,5144,272,535,5882,234,0,0,72842,61221,4686,161,291,6170,299,139,213,5728,299,76,0,78223,62134,7188,553,920,6984,558,78223,62134,7188,238,447,5715,277,1980,73381,61130,4829,252,358,6388,377,0,0,0,0,76343,63407,5484,347,398,6059,367,222,239,5495,367,78769,64525,6402,587,662,6053,319,324,371,5338,319,38468,12565,24602,38673,9056,29617,42716,9356,24559,42301,9439,31039,42530,9776,30871,41645,8992,28654,41007,11179,27251,40783,11697,26308,39154,9953,26375,46177,11824,32468,53686,15863,35845,51769,12565,36563,52236,14152,35378,47671,0,38197,47692,0,37577,51097,13643,35101,55312,16322,37603,54765,12985,38628,54750,12016,30769,54124,12094,35314,53400,13236,37593,53124,12917,37912,53874,14018,38014
27,27,95908,86368,6584,623,808,1482,519,0,0,104131,92189,7884,906,745,1998,677,0,0,112871,97795,9238,922,1412,2687,1135,114381,101365,8081,1118,999,2081,1011,810,643,1369,621,1335,115137,100923,8938,1276,1223,2186,921,64422,58735,3845,317,518,930,305,0,0,70271,64815,3217,398,438,1151,231,285,330,958,231,83,0,78504,69135,5749,496,887,1688,670,78504,69135,5749,294,433,638,361,1710,77484,71366,3314,470,489,1328,358,0,0,0,0,79009,72194,3959,492,591,1192,366,320,336,722,366,84916,76599,4758,674,766,1508,221,414,453,632,221,34882,6558,26517,34942,3594,31348,40293,4491,28303,39888,4740,33672,40007,4945,33221,39156,4635,31323,38467,6220,29823,38343,6548,28555,37602,5141,29127,45004,5717,37401,54736,7899,45453,51349,5958,41802,53329,7348,43476,50822,0,43371,50859,0,42825,52998,7146,43269,61561,9101,51191,60434,7210,48429,60653,6242,37136,60090,6499,46929,59458,6981,49062,58794,6990,49867,60192,7185,48477
28,28,91491,79601,7819,669,1143,2197,673,0,0,105174,90573,9853,929,1363,2843,629,0,0,112213,92793,12021,1255,2076,3388,1227,105273,88726,11247,773,1410,2547,836,470,795,1864,262,1748,113944,94022,13278,925,1702,2586,1045,63259,56222,4544,357,763,1309,332,0,0,72098,65213,4142,402,549,1378,122,333,376,1197,122,285,0,80759,68124,7604,750,1376,2303,715,80759,68124,7604,423,890,1037,406,2029,73184,64796,5366,378,640,1485,220,0,0,0,0,80906,70761,6643,476,836,1524,255,408,702,1014,255,87886,76247,7822,545,877,1546,388,409,720,794,388,31369,6270,23811,33352,4411,28941,36873,4966,25326,36374,5192,29806,36451,5385,28842,35885,4921,27490,35308,6233,26737,35089,6405,25661,33749,5783,24237,42066,6949,32913,51626,9816,40119,48221,7872,36291,49962,8721,38319,46786,0,39137,47241,0,38762,49379,8814,37680,57147,11314,44710,56079,9484,42339,56132,7977,33219,55729,8291,40852,55206,8948,43333,54563,8669,43951,55630,9255,40901
29,29,92307,77484,10284,1033,1200,1958,1331,0,0,108468,89442,12677,1291,1834,2059,2042,0,0,114389,91772,14375,1541,2287,3112,2033,108442,90006,12582,1152,1940,1599,1734,622,1087,997,803,2008,116046,95411,13324,1431,2462,2363,1791,65700,57157,5945,498,761,1061,731,0,0,78022,69449,5342,432,763,1110,734,323,532,824,734,220,0,85678,71003,9120,924,1609,2055,1178,85678,71003,9120,512,1036,784,788,2196,78852,70350,5384,448,896,917,560,0,0,0,0,83867,74541,5486,650,1153,1255,530,314,873,855,530,88112,77733,6181,709,1362,1158,392,214,992,392,392,34480,7563,25924,37038,5993,31045,40678,7115,27759,39931,7007,31426,40147,7162,30835,39604,6830,29604,39006,7798,29074,38800,8135,28121,39484,7947,27792,47120,9717,35115,57184,13812,41654,53997,11209,38604,55601,12223,40201,51281,0,42440,51908,0,42029,53615,11987,38706,58229,14474,42682,57303,12005,41339,57513,10312,32484,56968,10889,39420,56483,11600,42483,55859,11152,42946,56747,11940,39422
