ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
21,HD21,8442,8022,266,24,26,107,12,0,0,9806,9131,314,71,70,198,4,0,0,9456,8686,390,45,77,186,22,9912,9136,388,72,48,202,7,0,20,18,0,0,351,10044,9308,447,51,53,218,6,5800,5558,150,7,18,67,5,0,0,6769,6522,103,8,40,90,0,0,36,25,14,0,6728,6241,241,21,51,118,13,6728,6241,241,11,26,37,9,32,131,6684,6392,126,4,32,108,0,0,0,0,0,0,6921,6546,227,2,14,119,0,0,1,17,0,7064,6635,196,62,19,126,0,0,6,0,0,3841,495,3231,4085,311,3219,3259,302,2871,3242,316,2653,3887,331,3345,4853,443,4270,4803,408,4386,4063,356,3582,5259,516,4626
22,HD22,7938,7362,404,20,88,70,9,0,0,7724,6857,589,118,86,74,5,0,0,9522,8357,663,54,169,150,21,8734,7657,772,70,184,50,0,51,106,37,0,0,107,8270,6999,1020,52,101,117,1,6152,5776,254,10,58,55,7,0,0,5727,5410,219,18,64,21,5,12,48,14,0,0,7592,6830,428,30,94,101,10,7592,6830,428,11,68,7,0,36,212,6482,6051,217,16,193,38,0,0,0,0,0,0,6024,5640,230,15,85,59,0,3,75,29,0,6503,5967,350,55,163,55,0,0,160,20,0,4484,2074,2318,4693,1838,2377,4205,1951,2163,4186,1681,2305,4780,2028,2571,5817,2648,2988,5727,2418,3297,4915,2126,2666,5664,2438,3074
23,HD23,9159,8213,719,27,143,61,19,0,0,10378,9135,795,157,229,29,26,0,0,9547,8372,658,54,219,139,19,9856,8449,977,88,169,29,63,80,152,21,19,83,74,10103,8739,770,186,153,163,64,7385,6740,511,15,81,50,9,0,0,8309,7710,415,92,54,27,25,82,31,23,4,0,7757,6967,443,36,131,101,13,7757,6967,443,10,93,7,1,37,199,8050,7496,436,59,46,36,20,0,0,0,0,0,8373,7923,211,97,96,91,15,77,64,22,15,8420,7987,164,98,150,73,0,86,82,0,0,5632,3164,2351,5886,3192,2048,5480,3327,2055,5446,2788,2490,5942,3363,2371,6780,4258,2287,6698,3809,2874,5972,3472,2367,6301,3953,2151
24,HD24,8766,8289,238,43,59,144,11,0,0,8877,8430,183,50,29,177,0,0,0,9031,8148,370,57,120,246,20,8753,8173,286,35,18,209,0,28,3,30,0,43,192,9020,8034,593,77,106,121,0,7053,6737,153,24,45,93,9,0,0,7014,6775,92,20,26,94,0,20,1,24,0,0,7333,6733,229,30,74,189,5,7333,6733,229,10,51,32,3,25,250,6892,6626,134,4,19,123,0,0,0,0,0,0,7126,6715,293,17,64,70,0,17,20,10,0,7392,6945,298,6,78,73,17,6,57,10,17,5059,1357,3570,4975,959,3553,3899,992,2805,3889,840,2802,4498,1011,3306,5339,1324,3888,5218,1184,4005,4546,1052,3361,5268,1232,3894
25,HD25,9026,8006,752,52,115,108,22,0,0,9261,8196,746,60,95,164,1,0,0,9294,7973,802,79,111,238,33,9053,8080,657,52,156,193,24,13,114,9,0,28,165,8985,7725,712,185,80,310,39,7060,6373,500,32,87,80,10,0,0,7099,6355,534,14,47,161,0,10,45,100,4,0,7219,6326,528,39,84,172,25,7219,6326,528,18,62,36,6,39,204,6996,6347,421,18,105,95,0,0,0,0,0,0,7041,6364,414,55,45,82,0,10,39,10,0,6953,6215,505,39,57,90,0,9,47,10,0,4287,1224,2949,4011,730,2814,3092,699,2313,3097,670,2251,3694,739,2783,4565,915,3472,4489,877,3596,3784,775,2913,4577,874,3617
26,HD26,9147,8239,727,23,45,129,3,0,0,9294,8054,977,92,66,100,2,0,0,8999,7695,835,53,86,293,21,9258,7976,1024,105,88,159,11,41,63,16,0,15,123,9258,7780,1097,116,87,198,38,6748,6173,440,17,31,95,2,0,0,6624,6003,493,35,22,69,1,35,22,19,0,0,6712,5906,489,23,60,201,15,6712,5906,489,5,28,41,5,22,216,6576,5972,500,16,18,52,0,0,0,0,0,0,6649,5976,533,30,24,68,10,30,24,32,10,6768,6014,534,38,24,90,34,38,24,30,34,4142,876,3137,4205,489,3207,3367,528,2751,3369,502,2656,3849,515,3148,4507,644,3735,4432,615,3807,3805,515,3209,4393,601,3698
27,HD27,9833,8319,1277,61,66,199,13,0,0,9491,7946,1170,163,10,271,9,0,0,8918,7353,1165,56,78,218,22,9331,7761,1199,118,12,240,80,1,4,51,5,32,272,9063,7515,1177,41,39,239,54,7398,6481,739,39,52,134,9,0,0,7202,6306,712,47,2,136,0,2,2,71,4,0,6846,5821,724,27,65,167,17,6846,5821,724,7,34,41,1,30,188,7144,6259,704,35,1,101,0,0,0,0,0,0,7162,6175,782,4,30,167,0,4,30,36,0,7199,6304,697,12,20,145,0,0,12,14,0,4726,1181,3421,4443,604,3406,3615,657,2843,3619,638,2780,4070,652,3256,4682,734,3818,4611,737,3861,4026,635,3286,4517,727,3675
28,HD28,9113,8430,386,48,54,213,16,0,0,9139,8423,311,122,8,253,11,0,0,8875,7867,467,91,90,351,30,8874,8105,276,152,15,272,12,127,4,167,10,48,134,8840,7893,372,115,36,419,29,7136,6698,239,22,33,153,8,0,0,7248,6756,228,33,6,200,3,32,2,127,0,0,6933,6255,288,58,60,250,15,6933,6255,288,18,27,73,1,25,246,7025,6569,214,45,3,189,15,0,0,0,0,0,6955,6387,301,30,4,198,20,30,4,87,20,6986,6323,349,4,8,256,22,4,6,47,22,4761,998,3584,4772,634,3692,4132,715,3309,4114,670,3171,4453,693,3584,4977,791,4021,4883,827,4046,4410,672,3618,4990,777,4106
29,HD29,9856,9080,421,53,132,199,8,0,0,9280,8411,637,66,69,147,0,0,0,9855,8608,574,95,124,327,30,9212,8346,548,97,126,166,0,1,75,40,0,0,210,10172,8883,695,163,245,140,0,7524,6986,288,32,90,140,6,0,0,7133,6694,285,19,42,72,0,5,23,36,20,0,7754,6879,378,60,98,234,17,7754,6879,378,31,57,71,10,27,301,6993,6596,219,39,56,64,0,0,0,0,0,0,7594,7034,347,86,56,101,0,43,21,33,0,7628,6986,275,56,90,225,0,32,43,63,0,4719,1592,3011,4294,985,2816,3312,1068,2145,3317,915,2279,3904,1066,2691,4750,1341,3219,4671,1265,3384,3972,1140,2741,4560,1286,3143
30,HD30,9337,8680,313,80,94,184,29,0,0,10135,9127,354,90,223,445,0,0,0,9808,8661,444,95,132,386,16,9665,8717,388,68,182,365,0,13,107,297,0,17,123,9288,8479,363,39,135,276,0,7374,6930,200,57,65,125,18,0,0,7972,7207,279,24,160,303,0,24,102,249,1,0,7739,6941,278,69,93,280,12,7739,6941,278,36,55,99,5,41,284,7625,6882,315,8,89,306,0,0,0,0,0,0,7399,6888,254,8,33,186,0,8,24,154,0,7937,7519,235,8,35,124,0,5,16,46,0,4633,1311,3214,4384,811,3186,3454,890,2486,3454,737,2605,4044,860,3052,4924,1095,3656,4821,1029,3776,4126,909,3128,4902,1056,3710
