ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
67,HI19,9437,8011,655,394,330,86,13,0,0,9666,7646,999,843,285,24,22,0,0,9608,7081,1077,723,528,259,7,10003,7992,1078,932,149,64,22,576,105,6,0,36,210,9944,7775,1145,967,108,97,8,7467,6578,363,235,245,60,8,0,0,6851,5858,572,298,96,18,0,232,96,4,0,0,7803,6093,677,463,386,193,7,7803,6093,677,326,335,19,1,27,325,7132,6174,530,299,65,61,0,0,0,0,0,0,7439,6354,602,308,90,95,0,233,74,4,0,7293,6167,665,192,181,101,0,150,154,0,0,4349,2339,1955,4218,2339,1879,4289,2071,1909,4225,2112,1879,4130,2058,1803,3150,1407,1688,4259,1967,2139,4418,2395,1923,4392,2617,1640,4152,1320,2732,4451,2255,2126,4378,1969,2302,4315,2458,1853
69,HI20,8883,7229,758,570,307,81,16,0,0,8773,6566,1166,808,507,74,0,0,0,9627,6832,1358,792,470,182,10,8964,6303,1486,1188,483,63,0,486,366,24,0,0,295,8686,6232,1176,794,603,76,0,6716,5803,423,261,215,41,8,0,0,6505,5442,461,328,212,59,0,264,187,10,0,0,7562,5734,881,484,348,142,7,7562,5734,881,344,297,10,2,20,274,6662,5194,717,454,251,44,0,0,0,0,0,0,6530,5125,501,492,364,39,0,442,327,10,0,7117,5583,795,434,193,29,0,361,194,0,0,4021,2190,1801,3979,2245,1734,4115,1986,1889,4070,2018,1858,3983,1927,1840,2938,1283,1610,4188,1930,2135,4388,2368,1938,4341,2563,1643,4133,1312,2740,4058,2011,1981,4007,1772,2137,3958,2263,1691
70,HI21,9121,8252,255,172,404,40,4,0,0,8864,7502,238,465,579,39,0,0,0,9696,8217,511,380,412,136,16,8972,7784,235,362,524,37,0,168,420,3,0,49,311,9505,8273,241,355,429,36,0,7430,6794,162,113,333,32,4,0,0,7011,6494,121,182,186,20,0,167,136,4,10,0,8190,7106,366,254,314,110,14,8190,7106,366,139,241,16,4,37,281,7126,6697,116,124,171,21,0,0,0,0,0,0,7478,7026,69,184,183,21,0,115,101,0,0,7785,7141,156,188,210,7,0,107,128,0,0,5450,2926,2486,5318,2764,2554,5582,2988,2231,5559,2860,2525,5485,2811,2472,4475,2104,2324,5551,2803,2602,5603,3352,2165,5589,3530,1934,5514,2057,3387,5689,3364,2225,5622,2888,2651,5620,3583,2030
71,HI22,8867,7171,663,539,441,126,16,0,0,9433,6755,1121,1285,406,56,0,0,0,9665,6956,1244,888,376,260,40,9696,6339,1065,1890,332,78,0,1323,313,11,0,119,527,9616,6135,1122,1820,317,120,0,6644,5635,372,277,328,75,13,0,0,6904,5417,630,582,216,55,0,523,200,40,0,0,7523,5774,757,539,257,196,26,7523,5774,757,384,216,22,3,51,316,7250,5557,601,906,167,55,0,0,0,0,0,0,7158,5547,519,859,144,90,0,716,119,4,0,7381,5973,703,451,148,115,0,341,132,4,0,3114,1729,1352,3200,1852,1348,3318,1685,1377,3277,1735,1308,3193,1615,1374,2337,1125,1113,3465,1690,1609,3652,2107,1446,3656,2228,1257,3421,1179,2113,3668,1906,1704,3605,1674,1804,3564,2082,1481
72,HI23,8431,6361,1124,656,293,90,34,0,0,8687,6029,1296,1002,528,49,11,0,0,9611,6499,1496,1162,404,205,21,8444,5713,1159,1093,562,71,7,867,538,15,0,10,143,9151,5502,1903,1229,529,265,9,7151,5658,782,454,238,72,24,0,0,6413,5365,494,371,161,37,0,356,146,19,0,0,8109,5878,1065,770,341,164,14,8109,5878,1065,552,272,11,2,37,292,6210,5201,388,400,219,44,0,0,0,0,0,0,6473,5154,623,517,159,43,0,452,129,4,0,6915,5278,562,745,272,64,0,606,252,18,0,2867,1877,950,2450,1614,836,2827,1697,909,2778,1652,956,2697,1511,1003,2195,1280,855,3142,1781,1234,3355,2150,1133,3322,2230,958,3294,1474,1714,3372,2028,1291,3306,1814,1399,3269,2146,1119
73,HI24,9238,7305,931,582,378,124,28,0,0,9153,6729,1108,575,700,60,6,0,0,9643,6719,1389,1056,424,208,13,9218,6737,1273,367,669,86,0,87,597,14,0,2,510,9828,6646,1606,757,400,233,37,7186,5974,568,325,257,91,24,0,0,6652,5623,485,258,227,51,0,241,213,10,7,0,7716,5741,884,688,331,141,9,7716,5741,884,507,283,17,2,21,261,7129,6066,551,195,216,82,0,0,0,0,0,0,7420,6179,533,409,159,68,35,354,89,0,35,6893,5588,627,452,105,63,27,429,41,13,27,3693,2125,1518,3719,2252,1467,3638,1916,1427,3586,1958,1386,3498,1847,1439,2464,1246,1162,3640,1821,1661,3687,2122,1484,3658,2256,1264,3643,1338,2206,3757,2004,1694,3706,1808,1803,3654,2196,1452
74,HI25,9293,6204,1714,858,498,111,25,0,0,9799,5564,2316,1362,840,35,18,0,0,9631,5352,2450,1181,571,244,15,10159,5563,2157,1214,1371,47,26,722,1358,17,0,20,323,10793,5378,3263,962,1270,52,17,6809,4937,1037,461,351,67,18,0,0,6336,4534,1043,387,373,15,0,266,361,13,8,0,7250,4418,1604,682,447,187,13,7250,4418,1604,504,400,15,4,30,275,6712,4567,882,384,864,14,0,0,0,0,0,0,7139,4450,1381,409,895,21,0,299,846,0,0,6654,4399,1295,278,625,43,0,218,605,23,0,3011,1883,1082,3049,1998,1051,2919,1586,1105,2872,1635,1064,2781,1483,1124,1859,935,881,2876,1465,1288,2912,1692,1147,2861,1783,960,2859,1050,1723,2853,1495,1309,2780,1402,1288,2737,1682,1054
75,HI26,9558,7328,1203,578,419,94,28,0,0,9811,7436,1369,666,348,62,0,0,0,9644,6716,1589,633,531,219,10,9314,7330,1113,549,348,15,0,263,327,0,0,42,239,9516,6587,1479,398,903,152,0,7315,5908,751,294,327,58,16,0,0,7101,6231,345,329,135,41,0,242,123,0,20,0,7676,5611,1066,427,426,171,10,7676,5611,1066,300,366,26,1,32,274,7214,6485,353,294,104,14,0,0,0,0,0,0,6929,5855,604,208,249,54,0,133,195,10,0,7600,6292,783,144,336,44,4,144,279,7,4,3700,2019,1640,3760,2169,1591,4048,2037,1725,3989,2113,1651,3894,2028,1661,2783,1304,1419,3949,1876,1918,3947,2181,1675,3916,2330,1436,3904,1300,2496,3881,2038,1792,3818,1809,1913,3774,2259,1510
76,HI27,3474,3335,42,21,42,36,1,0,0,3467,3302,26,55,42,75,11,0,0,3523,3278,60,25,46,86,2,3299,3152,22,65,15,72,0,32,6,0,0,0,86,3262,3104,38,41,32,48,8,2783,2700,24,15,19,27,1,0,0,2780,2705,8,10,8,40,0,10,4,0,8,0,2935,2747,40,15,34,70,2,2935,2747,40,7,20,8,0,7,106,2667,2577,14,20,8,35,0,0,0,0,0,0,2591,2491,29,23,18,18,4,19,14,0,4,2686,2579,45,20,6,19,0,11,6,0,0,2124,1114,979,2001,1046,955,2037,854,1030,2087,901,1080,2037,869,1058,1718,718,968,2220,886,1259,2310,1054,1204,2284,1102,1120,2275,692,1542,2377,1031,1307,2313,896,1353,2301,1011,1290
77,HI28,8785,8503,104,39,69,64,13,0,0,9031,8614,173,18,54,147,0,0,0,9092,8446,173,94,92,176,13,9058,8740,215,16,36,12,0,0,20,0,0,71,12,9108,8903,181,0,31,9,0,6435,6263,69,18,40,45,7,0,0,6895,6650,75,0,15,150,0,0,15,0,0,0,7103,6661,124,51,59,127,9,7103,6661,124,21,25,16,1,34,221,7035,6905,95,0,20,10,0,0,0,0,0,0,7145,7015,104,0,15,10,0,0,15,0,0,7051,6798,105,17,113,13,0,17,59,0,0,4681,2109,2520,4686,2103,2583,5113,1734,2957,5083,1932,2886,5005,1885,2849,3713,1266,2366,5361,1802,3378,5521,2211,3213,5473,2461,2866,5496,1248,4174,5731,2200,3451,5677,1883,3654,5600,2191,3405
