ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_CMPTR_Total,E_18_CMPTR_Dem,E_18_CMPTR_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
32,32,111318,46681,3417,60415,578,797,49,0,0,108713,48395,2816,56467,890,567,31,0,0,105710,45803,3836,54301,712,1544,137,106449,46071,3527,55713,804,600,29,54302,585,250,0,1493,105678,46887,3468,53892,868,736,0,83888,37179,2256,43857,391,578,39,0,0,83005,38924,899,42342,414,410,0,42106,361,193,0,79,0,83143,37603,2443,41675,523,1201,87,83143,37603,2443,40642,344,238,20,1679,81853,36934,749,43351,455,498,0,0,0,0,0,82303,38521,531,42359,368,563,0,41907,291,213,0,84106,39687,1334,41879,411,482,8,41184,311,145,8,52023,32041,19192,50280,31552,18728,49906,28770,20131,48464,26804,21025,18872,0,18519,37817,22615,15169,37879,22631,15239,37787,22060,15718,37867,22242,15286,46736,26942,19408,53039,30087,22447,53122,30606,21986,20271,0,19975,43677,24545,18806,34296,17267,17003,34491,17980,16166,20552,0,20136,34195,17036,17139,23461,0,18115,34319,17884,16330,43898,24138,19522,50867,26029,24240,49052,25008,23465
33,33,84234,59445,7314,15469,1459,867,180,0,0,104907,74491,7708,20142,2095,1050,59,0,0,115707,79552,10504,19837,2909,2534,202,110966,78194,8939,21608,1992,870,74,19714,1563,153,3,2243,116394,82596,8530,21531,1932,1008,38,67817,50371,5080,10767,1098,610,124,0,0,80569,62330,2577,13886,1043,565,3,13778,896,212,3,187,0,95501,69320,7069,14531,2161,1919,148,95501,69320,7069,13314,1597,313,57,3341,85265,65374,2771,15407,916,526,0,0,0,0,0,91225,70120,3587,15829,1083,685,4,14981,762,90,4,98171,75443,4591,15230,1548,889,23,13964,1252,140,23,29601,12262,16845,31142,12473,18669,37896,13272,23238,36710,11765,24075,22337,0,21820,31518,12732,18763,31500,12611,18876,31441,12061,19364,31498,12024,19055,40398,15161,24683,52701,20147,31960,52662,20577,31345,29546,0,29138,41716,15265,25998,38108,12077,26005,38250,13143,24754,29677,0,29164,38094,11920,26159,32380,0,27306,38024,12805,25109,45462,16555,28565,59762,20803,38382,57457,19000,38363
34,34,90522,78229,4325,6082,1278,788,183,0,0,116005,96094,7532,8987,2035,1192,107,0,0,116546,97763,6667,7302,2045,2337,256,120854,103033,6702,7344,2223,1402,71,6236,1861,618,71,2048,121619,103226,7837,6805,2591,1524,106,74389,65987,2939,4087,872,564,112,0,0,93700,82848,2566,6145,1162,903,50,5925,940,538,50,3,0,98987,85616,4401,5122,1537,1848,175,98987,85616,4401,4428,1145,239,103,2830,99450,89649,2263,5152,1601,1007,40,0,0,0,0,100259,90448,2765,4714,1517,935,15,4208,1084,337,15,106085,94201,4169,5119,1604,883,61,4649,956,129,61,41108,14293,26220,43278,13650,29628,50845,13972,35050,49247,11690,36553,33074,0,32516,43003,14554,28418,42912,14299,28589,42830,13440,29375,42893,13286,29058,53625,16410,36536,68233,21995,45573,68223,22239,45045,41894,0,41518,55616,17047,37987,52017,14040,37949,52236,15934,35844,42124,0,41606,51901,13962,37930,45883,0,39615,51921,15209,36637,59603,18538,40642,74389,22753,50886,71665,20360,51185
35,35,113046,60729,6379,42989,2704,1207,351,0,0,121175,61822,8317,46968,3412,1173,450,0,0,113937,55818,8219,45024,3365,2263,367,124704,63482,8649,48328,3599,1234,513,45017,2602,368,338,3836,120602,60275,9389,46860,3865,1747,299,86881,48604,4619,31286,2054,909,272,0,0,91539,48818,4947,34981,1634,929,147,33862,1384,154,147,243,0,87922,45127,5673,33364,2457,1635,257,87922,45127,5673,31804,1816,328,106,2786,95260,51042,5539,35715,1818,978,196,0,0,0,0,91361,48300,5415,34587,1821,1219,135,32948,1392,132,135,91079,46983,5788,35181,1839,1199,106,33629,1545,161,106,41117,21382,19164,39415,21583,17832,43062,21338,20085,41973,19832,21098,20620,0,20166,34234,18873,15340,34207,18616,15579,34067,17805,16246,34101,17758,15908,42044,21882,19533,49350,26150,22519,49375,26544,22110,21234,0,20740,39849,20696,18636,31856,15345,16491,31969,16217,15336,21234,0,20553,31795,15072,16704,24770,0,18080,31834,15333,16093,40943,21340,19232,49408,25226,23372,47525,23799,23633
36,36,113572,52466,3031,56819,1087,834,112,0,0,110096,50506,3506,55103,1216,889,83,0,0,105832,48991,3257,50965,1389,1775,166,107863,47976,3524,55186,1001,723,116,53458,618,230,36,1732,104837,46859,3872,52453,1118,1226,176,86279,41988,1979,41334,771,588,71,0,0,84815,41354,1488,40770,569,572,39,40459,479,148,39,100,0,83523,40546,2105,38857,979,1335,110,83523,40546,2105,37733,683,294,31,1974,83106,39380,1525,41060,504,493,34,0,0,0,0,81767,39213,1652,39511,610,618,48,38806,427,93,48,81862,39930,1625,38555,871,587,132,37778,719,106,132,51205,28637,21848,52348,29901,22447,49996,26542,22284,48811,25073,22937,21921,0,21533,39638,22038,17584,39636,22050,17572,39523,21299,18213,39595,21340,17892,47998,25752,21809,55196,29317,25411,55249,29731,24845,23040,0,22707,45315,23702,21247,36167,16892,19246,36321,17616,18361,23157,0,22674,36131,16714,19401,26318,0,20597,36264,17322,18782,45654,23445,21949,51941,24963,26388,50536,24185,25440
37,37,79604,57286,2794,17217,1784,809,130,0,0,100502,72751,4267,20918,2120,1054,136,0,0,106835,73455,5740,22078,3304,2196,291,100851,69817,3883,24295,2264,961,93,22795,1300,157,35,2646,105171,73192,3804,24410,2206,1252,127,58019,42559,1777,12022,1224,559,84,0,0,71907,53037,1974,15189,994,646,25,15041,540,122,25,82,0,80263,56606,3792,15895,2214,1536,193,80263,56606,3792,14969,1579,290,61,2645,74527,53828,2049,16881,1263,667,25,0,0,0,0,78230,57031,2258,16778,1389,826,54,16291,1011,162,54,81673,58183,3656,17137,1829,660,44,16552,1448,209,44,31964,12195,19292,34870,12784,22086,39566,13960,23499,38680,10990,26906,24403,0,23989,34151,14759,19341,34056,14381,19665,33909,13414,20475,34001,13165,20250,42217,16400,25115,53568,22112,30615,53607,22281,30530,28329,0,27934,42514,16824,25065,37313,12966,24312,37493,15388,21704,28439,0,27804,37111,13002,24088,32027,0,25514,37342,14607,22275,45378,18179,26772,56365,21879,33704,55048,20944,33986
38,38,88731,62515,3941,20139,1610,1151,175,0,0,108965,74607,5115,26102,2399,1289,175,0,0,106441,69408,6966,24802,2624,3117,326,111156,76264,5865,25930,2418,1369,79,23677,1464,401,50,3166,107609,74159,6165,24295,2445,1273,126,64305,47375,2384,13030,1027,768,105,0,0,79874,57351,2889,17787,1122,793,40,17216,763,221,40,96,0,79526,54428,4252,16922,1767,2220,204,79526,54428,4252,15734,1150,373,74,3176,81157,58825,2840,17352,1256,900,20,0,0,0,0,79055,57801,3276,15799,1224,760,45,15482,940,138,45,80851,56143,4054,17641,1835,1190,25,16651,1462,105,25,34356,13172,20626,36162,13793,22369,40260,14054,23652,39458,11416,27095,23241,0,22702,32657,14051,18561,32516,14081,18415,32415,12995,19403,32477,12920,18901,41117,16050,24185,51068,21186,28830,51036,21689,28343,24996,0,24505,39977,16026,23175,32803,11576,21187,33020,13763,18784,25112,0,24406,32653,11763,20861,28629,0,22100,32779,12970,19355,41887,17125,24200,51169,20505,29604,49901,20019,29568
39,39,87921,40985,3844,41042,1512,1035,138,0,0,98769,48273,4573,42568,2613,1116,206,0,0,105983,51286,7049,42489,2704,2608,238,100471,48953,5094,42866,2712,1216,116,39969,1545,438,10,4200,104883,53445,6352,41268,2780,1468,149,66701,31978,2445,30686,1080,737,92,0,0,73794,37768,2133,31817,1291,708,60,31336,864,350,60,86,0,81243,40975,4418,32005,1860,1872,164,81243,40975,4418,30727,1324,490,50,2806,75170,37747,2499,32481,1365,853,10,0,0,0,0,79589,42155,3148,31854,1514,804,20,30912,1145,208,20,86583,45854,4434,33381,1648,1262,30,32288,1270,252,30,34189,20208,13422,36811,22131,14680,38164,20134,16639,37335,18561,18081,17023,0,16571,30196,17152,12995,30248,17281,12955,30132,16571,13547,30193,16605,13191,38714,20660,17506,47996,25064,22223,48008,25711,21523,21500,0,21108,38291,19937,17855,32829,15033,17768,32964,16413,16122,21656,0,21106,32716,15113,17587,24818,0,18761,32854,16001,16513,40932,20844,19706,53779,25475,27626,52423,24881,27034
40,40,118565,54080,3156,59659,1080,1175,95,0,0,111353,50165,3955,55264,971,1351,190,0,0,106773,47668,3690,52501,1312,1987,149,111417,50126,4094,54900,1564,1384,198,53275,834,463,106,2347,107221,47127,4079,53431,1455,1235,212,89898,42974,2051,43569,783,870,65,0,0,84944,40622,1290,41490,522,775,19,41237,368,341,19,242,0,83893,39160,2412,40080,933,1507,101,83893,39160,2412,38988,793,383,46,1947,85443,40837,1554,41091,700,941,25,0,0,0,0,82299,39002,1525,40056,597,950,33,39717,511,204,33,81158,38206,1392,39913,524,906,64,39344,440,123,64,50174,28451,20812,51488,31216,20272,48925,26920,20926,47536,25756,20867,19740,0,19309,37629,21983,15624,37447,21546,15881,37354,21074,16264,37457,21234,15861,46038,25662,19918,51885,28283,23092,51930,28798,22565,19742,0,19436,42389,22973,19077,31971,15407,16542,32017,15860,15802,19859,0,19391,31915,15261,16640,22601,0,17529,31999,15758,16211,42284,22416,19605,47971,23813,23582,46636,22948,23162
41,41,82401,54433,4430,20825,2084,1159,143,0,0,95071,61894,5706,24029,2791,1021,109,0,0,106768,69216,7758,23594,3757,2649,217,95294,59937,5631,25584,3116,914,201,24000,2117,221,163,2756,106231,64892,7480,28400,3599,2185,260,62204,42485,2813,14922,1424,833,85,0,0,71589,50200,1843,17533,1158,738,4,17227,1027,320,4,168,0,83216,56216,5031,17407,2639,1880,145,83216,56216,5031,16299,2020,489,62,2780,72676,49693,2245,18796,1169,645,15,0,0,0,0,80091,54534,2784,20300,1501,968,38,19326,1247,381,38,82138,57128,3757,18597,1743,764,14,17703,1339,314,14,33230,14085,18663,35217,14877,20340,41360,16340,22729,40309,13219,26093,23358,0,22766,34166,16200,17937,34069,16182,17868,33906,15095,18793,33958,14758,18546,43450,18738,23899,55636,25145,29443,55637,25524,29231,27754,0,27168,43808,19395,23714,38370,15357,22970,38621,17986,20196,27888,0,27039,38151,15310,22817,32620,0,24387,38405,16854,21310,46762,20899,25374,58634,25211,32548,57198,23802,32216
42,42,96507,30720,10303,53499,1879,1033,241,0,0,106856,38218,11561,54571,1789,1416,139,0,0,105894,35513,15393,50873,3020,2237,297,109154,38958,11757,56005,2259,1285,157,52813,1496,288,12,3286,107326,36836,10380,56631,3065,1051,274,72960,26664,7055,37476,1467,738,165,0,0,76058,32698,2923,38550,931,1002,67,37870,745,228,67,152,0,82364,30979,10412,37464,2419,1721,230,82364,30979,10412,35738,1838,289,97,2597,77822,33914,2932,38922,1040,989,8,0,0,0,0,78262,31968,2756,40939,1764,720,44,40170,1546,136,44,81933,34069,4440,40790,2084,595,28,39732,1727,80,28,31825,23154,8211,32778,24604,8174,35919,24800,9406,35250,22055,12397,11601,0,10922,26623,20053,6540,26639,20247,6379,26524,19576,6935,26636,19453,6708,33734,24186,8959,39150,28730,9667,39179,29281,9405,10665,0,10158,30645,22268,7882,21537,14670,6823,21726,15822,5579,10882,0,10086,21414,14669,6725,15173,0,7927,21549,15460,6064,30523,22156,8030,35220,24150,10333,34329,22776,9824
43,43,97317,73940,4297,17313,1588,719,157,0,0,114840,85224,4976,20817,3591,1030,92,0,0,114954,89106,6180,15289,2516,1707,203,118587,90678,5212,19362,3386,1037,112,17602,2439,109,35,2361,115747,90222,5176,17022,2557,1047,181,78108,61158,3010,12580,1138,532,100,0,0,89827,69933,2555,14838,1807,508,27,14582,1460,150,27,161,0,92436,73492,4262,11477,1777,1217,137,92436,73492,4262,10687,1247,162,54,2265,93169,74928,2804,13230,1564,499,20,0,0,0,0,92067,75198,2918,12049,1305,597,0,11607,903,42,0,94550,77080,3614,11809,1273,589,30,11200,999,50,30,46599,19493,26434,49448,19203,30245,55082,22050,29688,53968,16503,36270,34690,0,34022,49850,22914,26871,49530,22296,27202,49245,20419,28788,49356,19892,28693,57231,24078,32197,67879,30844,35961,68062,30384,37051,37519,0,36860,57143,24676,31666,51438,19138,32233,51939,23508,27995,37612,0,36369,51193,19212,31939,43594,0,34466,51694,22241,28991,59787,26144,33196,70160,30537,38564,68914,28685,40096
44,44,91708,64690,6454,16453,3420,1051,217,0,0,105717,75477,7456,17301,4226,1403,48,0,0,106227,71499,10811,16710,4593,2388,202,111664,80312,7623,16952,4415,1450,60,15235,3192,408,48,3134,110630,77707,9015,18088,4647,1806,186,69453,50632,4431,11245,2499,774,134,0,0,77281,58810,2710,12160,2656,856,20,11887,2021,369,20,90,0,82140,57661,7018,11989,3300,1734,148,82140,57661,7018,11078,2616,295,43,2908,82623,63626,3062,12086,2795,908,35,0,0,0,0,81928,61640,4048,12386,2709,820,94,11829,2193,188,94,82518,62419,3787,12808,2671,779,94,12226,2143,143,94,36945,14375,22064,37526,14462,23064,42990,16291,23856,42201,12367,28766,25280,0,24689,36021,16559,19413,35818,16277,19512,35648,14978,20646,35703,14557,20395,43845,18023,24898,53239,23321,28889,53299,23377,29062,27019,0,26472,42932,18183,23942,36161,13375,22744,36414,16410,19534,27140,0,26287,35968,13458,22476,31188,0,24113,36296,15465,20380,44301,19068,24736,51015,21633,28544,49848,20587,29103
45,45,109521,46213,8108,54217,1018,929,148,0,0,112874,49647,9066,53135,837,1009,112,0,0,107854,46783,10562,47874,1353,1967,243,112341,48820,8736,53288,1227,1013,87,51292,554,352,0,2429,108468,47929,9050,49268,1216,1931,62,82432,36715,5326,39595,678,687,102,0,0,85150,41110,2857,40222,292,670,0,39915,227,354,0,170,0,84489,38701,7054,36569,1011,1509,139,84489,38701,7054,35390,708,222,72,2094,83875,38888,2736,41086,495,684,0,0,0,0,0,81743,38044,3243,38549,576,943,12,37944,276,108,12,82602,40024,3682,36697,652,856,10,35873,361,80,10,43399,27058,15535,43730,27534,16196,44348,25723,17252,42368,23366,18089,17558,0,17128,35193,21727,13407,35121,21641,13457,35055,21031,14004,35152,21174,13443,43114,25367,17238,50904,29627,20685,50963,30260,20101,20097,0,19741,41373,23771,17176,33694,17119,16560,33856,18143,15297,20367,0,19853,33587,16955,16608,24153,0,17607,33765,17923,15675,42670,24051,18306,51804,27182,23885,50144,25763,23145
46,46,89787,66144,14215,8253,1229,485,105,0,0,102991,80815,13816,6965,1463,405,91,0,0,113846,85457,16189,8592,2031,1746,120,108155,84689,14472,7287,1537,535,125,5891,1101,81,108,1475,112018,86266,14466,8851,1709,1091,117,73052,57160,9379,5646,863,348,60,0,0,80467,70197,4475,4635,791,139,76,4403,651,81,76,169,0,94919,75365,10609,6199,1437,1277,61,94919,75365,10609,5462,1085,142,10,2018,85483,74256,4669,5233,798,229,114,0,0,0,0,89574,76541,5596,6093,827,274,43,5734,633,14,43,94084,80124,6358,6217,1154,353,4,5728,722,20,4,43588,17590,25523,45357,16221,29136,51115,19245,29697,49401,15184,33294,33011,0,32589,46292,19387,26876,45996,18278,27707,46006,17963,28032,45959,17913,27415,54252,21074,32484,66489,27325,38434,66631,27183,38910,37464,0,37013,54861,21276,32998,49566,16853,32684,49752,18842,30552,37717,0,37040,49391,16807,32546,42293,0,34391,49609,18304,30894,58464,22879,35232,72552,28794,42984,70794,26492,44215
