ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_CONG_Total,E_16_CONG_Dem,E_16_CONG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
10,10,22163,18386,899,462,309,2420,66,0,0,21270,17413,1140,474,328,2208,205,0,0,21549,16646,1119,603,475,2822,101,21648,16708,1120,555,440,2632,83,21380,17167,1332,505,320,2204,171,283,105,1377,22,1089,22241,17426,1467,686,289,2385,81,17232,14696,566,262,226,1610,46,0,0,16537,13999,779,269,141,1268,19,160,39,794,19,78,0,16900,13578,700,359,312,1915,60,16900,13578,700,215,183,1181,29,931,16561,13591,894,390,144,1507,25,0,0,0,0,17427,14178,970,366,216,1621,0,333,99,1091,0,17057,14267,774,265,273,1402,0,240,109,988,0,9104,5244,3624,8621,3452,4470,8925,5179,3433,8686,2896,5790,8512,4374,4138,8803,3867,4629,8938,4206,4414,8608,4883,3437,9427,4492,4674,9930,4399,5193,9958,5060,4898,9905,4521,4884,9727,4640,5087,9665,4164,4943,9706,4380,5326,6972,1933,3275,9345,4555,4626,8439,3825,4299
11,11,20248,17579,889,741,416,785,83,0,0,21124,18234,1091,813,328,715,132,0,0,21780,17222,1462,894,730,1431,121,21796,17231,1463,871,709,1375,113,21030,18034,1049,824,381,760,146,545,157,435,0,776,21611,18021,1070,928,419,995,98,15119,13420,535,450,272,479,48,0,0,15644,13816,765,451,93,458,0,430,70,284,0,58,0,16369,13316,992,605,486,867,77,16369,13316,992,429,277,353,39,873,15598,13873,726,428,127,398,0,0,0,0,0,16021,14039,768,581,173,439,15,450,159,163,15,16182,13837,930,579,273,549,0,453,207,159,0,8375,4161,4012,7985,2943,4370,8161,4583,3313,7933,2422,5511,7791,3787,4004,8039,3396,4399,8175,3600,4319,7351,4087,3040,8637,3886,4501,9241,3858,5082,9255,4438,4817,9191,3959,4809,8998,4056,4942,8915,3556,4848,8991,3788,5203,6375,1593,3198,8798,3959,4659,8923,3438,5218
12,12,20821,18310,632,336,375,1330,36,0,0,21274,17376,1146,549,554,1956,67,0,0,21765,17761,923,474,482,1981,81,21823,17797,924,437,459,1780,66,20938,17504,1124,511,376,1739,63,187,252,971,28,879,21493,18051,1191,451,543,1343,5,16339,14754,370,193,244,852,22,0,0,16831,14333,618,299,392,1144,25,189,317,825,25,20,0,17415,14686,641,269,347,1301,58,17415,14686,641,156,225,722,18,879,16493,14309,582,260,288,925,34,0,0,0,0,17181,15144,630,207,335,796,4,140,192,552,4,16846,14843,625,176,281,871,0,95,221,567,0,9563,4703,4617,9212,3440,5119,9507,5231,4020,9248,2727,6521,9090,4395,4695,9381,3879,5265,9501,4117,5121,9112,4734,4139,10060,4366,5471,10563,4286,6014,10643,4886,5757,10588,4411,5757,10455,4490,5965,10318,4021,5791,10379,4186,6193,7811,1811,4075,10167,4468,5541,9798,4007,5519
13,13,20650,19276,312,128,184,797,30,0,0,20736,19197,323,176,198,818,22,0,0,21873,19509,551,197,229,1224,46,21739,19406,546,192,223,1180,43,20927,19089,301,215,432,841,95,173,186,450,8,727,22093,19749,596,204,406,1044,107,16074,15137,195,59,119,565,20,0,0,15899,14963,152,116,42,589,15,68,33,395,15,8,0,16948,15296,356,101,156,880,33,16948,15296,356,58,86,446,5,640,16203,15122,140,94,132,670,4,0,0,0,0,16825,15465,272,75,122,843,10,54,96,359,10,17126,15743,335,103,100,857,0,51,67,387,0,10316,4172,5719,10083,2729,6710,10429,4687,5490,10138,2196,7942,9927,3764,6163,10248,3341,6661,10387,3371,6731,10439,4422,5722,11148,3561,7374,11777,3396,8121,11836,3952,7884,11786,3568,7817,11595,3530,8065,11447,3202,7754,11511,3327,8184,9268,1519,5938,11417,3626,7650,12044,3243,8444
14,14,21888,19007,413,114,188,2307,41,0,0,21682,18464,715,180,213,2399,55,0,0,21573,17698,618,225,272,2727,80,21590,17704,618,216,271,2707,78,21838,18524,727,163,240,2448,33,36,104,1544,4,824,21831,18090,689,182,185,2776,41,16646,14911,227,57,115,1372,21,0,0,16480,14532,400,84,120,1350,0,50,45,1056,0,14,0,16440,14030,387,124,182,1672,45,16440,14030,387,45,92,1102,8,729,16406,14545,428,73,134,1213,4,0,0,0,0,16261,14225,415,71,36,1454,4,30,21,932,4,16033,13979,281,93,73,1599,11,42,39,989,11,10091,4353,5243,9719,2597,6352,10060,4471,5296,9704,2435,7269,9555,3823,5732,9906,3639,5988,10103,3400,6374,9491,4392,4722,10227,3504,6485,10759,3294,7164,10790,3972,6818,10736,3532,6715,10667,3540,7127,10537,3209,6753,10541,3335,7206,8108,1708,5055,10223,3535,6562,9997,2833,6798
15,15,19928,18113,416,84,101,1233,14,0,0,21683,18900,978,117,322,1384,78,0,0,21799,18797,867,218,286,1528,44,21807,18804,867,218,286,1526,43,21494,18525,799,120,184,1824,62,33,41,1087,44,915,21633,18439,954,122,233,1510,307,15408,14272,274,30,61,791,6,0,0,16278,14690,500,35,113,886,20,11,14,634,20,45,0,16642,14706,532,132,176,986,23,16642,14706,532,63,121,432,5,733,16126,14751,465,37,99,724,45,0,0,0,0,16057,14682,476,59,96,555,110,36,49,261,110,15809,14366,463,95,95,671,64,47,43,287,64,10340,3733,6120,10281,1911,7715,10404,3141,6845,9991,1857,8134,9826,2481,7345,10161,2784,6974,10282,2353,7523,9825,3182,6207,10912,2482,8213,11657,2290,9099,11655,2873,8782,11589,2611,8510,11464,2440,9024,11204,2206,8424,11281,2353,8928,8240,1322,6089,10958,2510,8344,10925,2112,8485
16,16,19604,6148,353,60,106,13229,16,0,0,20575,5912,795,101,127,14162,17,0,0,20631,5526,490,109,179,14666,40,20646,5528,490,109,175,14664,39,20305,5865,588,112,107,14003,11,65,83,13099,0,623,19964,5652,781,108,131,13868,13,13097,4958,202,23,72,7979,10,0,0,13526,4609,338,49,45,8453,0,45,31,8111,0,28,0,13945,4456,272,61,111,9194,18,13945,4456,272,24,50,8537,0,574,13484,4249,258,62,70,8809,0,0,0,0,0,13517,4188,387,74,48,8776,4,73,38,8265,4,13249,4170,346,42,30,8539,7,26,23,8015,7,7551,4814,2495,6581,3337,2738,6780,4249,2312,6591,3439,3152,6494,3914,2580,6694,4021,2449,6810,4062,2593,6960,4721,2087,7306,4290,2864,7626,4294,3165,7676,4721,2955,7625,4338,2974,7614,4414,3200,7540,4244,2976,7544,4344,3200,4574,1737,2315,7400,4349,2968,7555,3777,3425
17,17,21212,20224,341,96,104,476,14,0,0,21712,20215,614,80,182,704,0,0,0,21771,19814,566,175,246,779,68,21650,19743,562,173,241,730,65,21373,19798,698,66,179,669,1,45,130,345,0,355,22170,20384,485,112,259,681,3,16736,16123,201,49,72,294,10,0,0,16660,15760,407,78,57,383,0,73,40,226,0,4,0,16857,15613,318,107,157,512,38,16857,15613,318,50,75,225,4,531,16486,15474,438,51,83,463,0,0,0,0,0,17022,16036,242,102,153,502,0,83,42,229,0,17005,15882,329,35,136,563,18,27,87,244,18,11450,3278,7567,11395,1624,9263,11554,2727,8417,11154,1676,9478,11132,2276,8856,11295,2663,8294,11519,2276,8855,10610,2692,7572,11735,2066,9515,12522,1934,10363,12519,2412,10107,12447,2273,9784,12279,2027,10252,12122,1888,9733,12163,1989,10174,9654,1034,7613,11782,2083,9640,11965,1742,9938
18,18,22299,20564,619,122,163,906,36,0,0,22248,20022,930,142,99,1177,29,0,0,21668,19144,762,206,224,1258,56,21621,19121,760,202,219,1219,55,22231,19861,916,135,193,1005,32,86,129,538,22,684,21637,18873,1029,103,216,1115,23,17083,16063,355,47,104,530,19,0,0,17051,15884,514,31,94,518,19,24,81,270,19,5,0,16874,15219,479,111,144,830,33,16874,15219,479,63,77,408,7,588,17264,15915,588,46,142,539,19,0,0,0,0,16812,15407,511,49,143,677,19,10,77,320,19,16872,15439,439,64,128,834,0,0,86,441,0,11033,4223,6361,10227,1952,7664,10479,3630,6507,10205,1789,8416,10124,3314,6810,10385,3321,6799,10480,2704,7485,9816,3400,6068,10851,2704,7951,11528,2552,8727,11527,3132,8395,11514,2743,8279,11427,2663,8764,11336,2494,8277,11332,2627,8705,9062,1307,6259,11000,2762,8112,11329,2335,8646
19,19,21407,20269,439,100,99,550,25,0,0,21902,20209,499,126,175,747,248,0,0,21786,19807,573,149,179,873,45,21809,19826,574,149,176,858,45,21629,19874,525,190,233,830,31,84,200,516,8,414,21820,20026,615,176,232,837,9,16729,16016,257,36,66,378,15,0,0,16958,15895,351,28,93,463,115,19,82,311,115,22,0,17239,15917,361,69,126,604,31,17239,15917,361,23,58,189,8,621,17058,15987,366,18,112,549,10,0,0,0,0,17373,16090,448,55,222,543,0,29,186,334,0,17619,16353,440,110,140,613,0,43,107,382,0,11039,3360,7226,10974,1995,8322,11291,3865,7001,10933,1746,9187,10788,3057,7731,11135,2814,7983,11238,2635,8199,10895,3277,7212,11919,2606,9095,12673,2485,9923,12690,3027,9663,12645,2638,9576,12529,2557,9972,12432,2345,9525,12447,2572,9875,10240,1058,7471,12253,2682,9438,13222,2500,10378
20,20,19327,17149,800,176,153,1154,43,0,0,21751,18418,1407,338,193,1924,0,0,0,21472,17782,1334,334,259,1726,69,21501,17805,1335,306,242,1618,60,22804,19378,1640,267,158,1692,0,10,107,912,0,760,22022,18455,1435,274,204,1694,119,14093,12895,432,72,92,650,23,0,0,15911,14220,587,78,162,850,0,28,127,658,0,20,0,15867,13678,770,163,164,1003,37,15867,13678,770,78,78,542,12,671,16488,14806,800,65,162,623,0,0,0,0,0,16155,14527,719,89,135,610,0,39,88,326,0,16602,15015,617,49,41,822,6,21,15,453,6,8222,3493,4503,8566,2192,5748,8823,3959,4498,8570,1973,6597,8486,3291,5195,8729,3171,5291,8800,2823,5671,8611,3486,4791,9900,3170,6428,10613,3112,7189,10595,3707,6888,10574,3281,6681,10468,3219,7249,10402,2926,6863,10419,3160,7259,7404,1366,4522,10144,3268,6632,10092,2817,6953
21,21,20643,7739,1052,160,113,12040,16,0,0,22025,7751,1363,234,377,12791,260,0,0,20560,6754,960,232,182,12813,48,20583,6761,960,216,177,12774,43,21506,7352,1373,253,328,12840,227,51,31,12073,0,621,20548,6991,1268,332,340,12097,322,13994,6212,592,84,77,7224,11,0,0,14855,6277,776,94,41,7635,4,49,26,7373,4,38,0,14013,5516,603,125,131,7788,24,14013,5516,603,57,56,7231,6,538,14499,5833,801,117,46,7772,0,0,0,0,0,14106,5635,723,199,50,7408,4,125,22,7045,4,14019,5629,671,266,35,7397,0,150,24,7096,0,7941,5158,2528,6450,3145,2835,6660,4166,2247,6492,2789,3703,6431,3753,2678,6593,3764,2636,6663,3660,2802,6900,4454,2284,7141,3861,3129,7414,3777,3482,7442,4130,3312,7432,3829,3263,7379,3900,3479,7356,3766,3266,7330,3850,3480,4849,1729,2155,7164,3874,3204,6808,3200,3347
22,22,19289,17082,839,252,243,1005,37,0,0,19641,17255,923,213,325,1032,0,0,0,21594,17944,1224,431,412,1576,68,21627,17966,1226,396,398,1486,61,20183,17890,960,287,202,935,0,107,37,499,0,695,22905,19947,1311,309,248,802,222,14207,12937,465,114,161,581,23,0,0,14422,13161,496,86,93,585,0,70,66,437,0,0,0,15963,13793,693,199,263,920,49,15963,13793,693,119,146,500,10,642,15024,13590,430,227,98,710,0,0,0,0,0,16575,15077,527,192,109,547,85,66,47,291,85,16745,14880,673,198,135,774,28,35,54,385,28,9165,3905,5049,8907,2622,5493,9224,4264,4643,8927,2110,6817,8864,3577,5287,9138,3339,5546,9213,3145,5818,8885,3943,4631,10326,3728,6298,11081,3776,7010,11143,4383,6760,11071,3896,6685,10947,3767,7180,10857,3485,6760,10856,3691,7165,8099,1695,4486,10614,3877,6500,10566,3496,6714
23,23,21614,18942,947,350,252,1282,62,0,0,21665,18582,1045,500,321,1437,10,0,0,21738,17808,1345,526,386,1594,82,21786,17839,1351,481,361,1497,78,21460,17671,1208,493,500,1758,138,230,395,1112,10,816,21793,17558,1535,443,560,1604,349,17500,15778,601,190,175,818,39,0,0,17192,15238,739,279,82,896,10,143,57,576,10,5,0,17547,14821,924,322,272,1083,43,17547,14821,924,165,175,603,23,757,16841,14452,876,258,168,1044,8,0,0,0,0,17255,14776,1056,279,171,881,14,179,114,655,14,17310,14810,1308,215,198,719,10,145,83,533,10,10875,5646,4923,9299,4186,4290,9647,5560,3764,9239,3426,5813,9202,4969,4233,9519,4581,4622,9611,4677,4630,9347,5520,3541,10224,5340,4584,10735,5479,4928,10805,5950,4855,10741,5420,4763,10593,5442,5151,10512,5006,4827,10542,5280,5262,7661,2206,2855,10334,5451,4670,9958,4870,4761
24,24,20144,15644,2008,497,233,2136,56,0,0,19573,15554,1520,539,303,1860,111,0,0,21743,16112,2294,676,313,2607,95,21647,16059,2280,624,297,2415,84,19996,15172,1865,602,388,2342,70,178,202,1690,47,795,20352,15346,2122,541,382,2257,51,15633,12758,1270,268,157,1351,28,0,0,14717,12283,909,196,125,1169,30,79,106,983,30,29,0,17109,13334,1508,384,201,1738,63,17109,13334,1508,205,103,1071,23,803,15003,12165,1237,172,89,1265,24,0,0,0,0,15970,12801,1402,156,83,1561,4,92,65,1251,4,17202,13634,1631,227,162,1567,6,163,105,1275,6,8008,4640,3067,6982,2880,3355,7239,4266,2588,6943,2624,4319,6897,3660,3237,7128,3434,3344,7224,3468,3398,6995,4221,2456,8146,4098,3730,8797,4199,4249,8770,4814,3956,8749,4211,3895,8646,4254,4392,8586,3859,4044,8595,4113,4482,5725,1861,2394,8341,4227,3865,8224,3732,4176
25,25,19058,17295,661,202,250,734,52,0,0,21903,18839,1433,450,251,1315,68,0,0,21699,18078,1252,362,432,1433,140,21719,18088,1253,346,422,1403,133,20117,17282,1549,495,141,963,60,68,61,369,28,538,21177,17974,1802,533,260,730,34,14806,13732,392,94,158,456,27,0,0,17489,15651,783,100,186,722,33,63,168,426,33,11,0,17087,14790,771,190,301,880,86,17087,14790,771,95,200,501,52,612,16206,14828,722,65,56,519,30,0,0,0,0,16550,15044,832,102,72,502,0,56,46,386,0,16744,15312,557,48,175,639,0,31,77,412,0,9323,4229,4869,9187,3044,5431,9523,4569,4626,9195,2322,6873,9126,3883,5243,9413,3501,5642,9506,3461,5764,10067,4667,5103,10714,4205,6218,11295,4251,6743,11334,4801,6533,11295,4288,6513,11167,4199,6968,11080,3874,6689,11089,4079,7010,8175,1862,4301,11109,4405,6471,11496,4180,6952
26,26,19095,17667,579,164,251,489,33,0,0,19748,17901,823,319,462,387,57,0,0,21657,18943,952,290,418,928,72,21673,18954,952,275,409,880,67,20344,18355,683,310,509,618,57,59,252,226,3,766,21717,20107,415,149,528,397,35,14795,13978,300,63,163,303,17,0,0,14753,13860,350,79,186,245,2,50,142,123,2,25,0,16769,15069,583,150,273,580,41,16769,15069,583,80,173,307,19,501,15405,14368,278,72,243,398,0,0,0,0,0,16872,15857,274,48,342,310,0,48,244,148,0,17195,16029,409,39,371,301,0,31,254,136,0,11201,4583,6371,10525,3654,6157,10978,5045,5682,10615,2616,7999,10503,4392,6111,10884,3928,6712,10960,3898,6834,11287,5217,5801,12171,4835,7069,12802,4977,7520,12926,5381,7545,12867,4915,7532,12698,4811,7887,12577,4473,7607,12613,4690,7923,9917,2008,4981,12499,5010,7281,12518,4764,7386
27,27,16454,15287,438,99,136,525,30,0,0,19924,18114,979,211,75,504,129,0,0,21583,18981,954,178,325,976,51,21600,18991,955,174,324,949,50,21042,19431,674,364,117,417,59,81,87,273,0,503,22101,18717,901,471,171,1202,115,12184,11512,249,45,83,304,22,0,0,14770,13870,471,57,29,334,0,27,26,237,0,2,0,16089,14484,551,89,196,614,25,16089,14484,551,49,129,278,4,549,15588,14855,360,67,58,231,0,0,0,0,0,16183,14730,432,88,65,824,0,79,65,497,0,16672,15080,517,74,85,881,0,34,74,493,0,7956,3244,4453,9460,2364,6420,9755,4012,5409,9458,1968,7490,9402,3451,5951,9656,3012,6382,9746,2838,6603,8433,3197,4913,10739,3235,7222,11713,3277,8101,11732,3848,7884,11701,3418,7766,11591,3306,8285,11515,3068,7854,11543,3233,8310,8729,1317,5448,11087,3342,7547,11764,3066,8365
28,28,20879,19974,422,92,114,320,27,0,0,21886,20503,647,103,154,471,6,0,0,21199,19328,563,95,168,654,59,21209,19337,563,95,166,652,59,21926,20398,667,123,146,508,18,65,72,235,11,372,21206,19502,692,155,133,633,13,16413,15835,251,50,77,222,18,0,0,17475,16593,424,68,53,340,4,64,45,227,4,4,0,17020,15741,372,60,108,444,30,17020,15741,372,19,49,126,0,655,17548,16597,459,64,70,378,8,0,0,0,0,17082,16029,510,63,57,401,8,63,18,101,8,17696,16609,494,85,57,428,15,25,22,50,15,11460,4173,6830,11869,2912,8233,12123,4825,6921,11760,2508,9252,11703,4203,7500,11982,3502,8110,12099,3585,8130,12027,4476,7185,13210,3849,9118,14034,3827,9918,14002,4244,9758,14061,4012,9573,13912,3821,10091,13865,3612,9623,13899,3767,10132,11331,1597,7210,13602,3950,9487,14429,3653,10367
29,29,19477,18551,403,72,163,309,27,0,0,20399,19087,580,156,208,432,33,0,0,21743,19659,680,165,290,701,23,21752,19668,680,161,290,691,21,20899,19404,649,191,276,439,20,67,181,76,16,478,21957,20145,683,131,301,740,23,15800,15171,248,38,114,233,16,0,0,16704,15792,376,134,116,275,0,84,61,84,0,17,0,18170,16616,482,121,209,517,15,18170,16616,482,62,105,122,0,711,17164,16125,437,125,175,262,0,0,0,0,0,18250,16993,493,69,193,429,0,30,74,165,0,18795,17511,504,121,185,412,10,46,77,117,10,11547,5857,5217,11907,5194,5743,12228,6952,4855,11739,5197,6542,11588,6019,5569,11957,5585,5836,12139,5882,5820,12323,7015,5009,13830,7110,6411,14779,7464,6984,14845,8044,6801,14803,7532,6772,14571,7450,7121,14479,6988,6657,14541,7312,7229,11486,4227,4908,14264,7458,6636,14795,7333,7003
30,30,17453,16490,496,82,192,203,25,0,0,20315,18736,830,340,374,415,3,0,0,21753,19435,1047,181,408,399,45,21753,19435,1047,181,408,399,45,20135,18094,1203,247,412,371,2,42,308,64,0,390,20906,18409,1348,71,586,263,27,13640,12994,323,48,128,154,15,0,0,15450,14652,378,105,157,146,0,44,139,38,0,8,0,17278,15598,765,124,268,314,28,17278,15598,765,48,167,40,6,588,15008,14119,473,78,218,130,0,0,0,0,0,15637,14664,618,41,225,128,0,27,192,46,0,16120,15003,745,38,193,159,6,32,156,25,6,10425,5329,4815,10985,5462,4610,11363,6537,4523,10900,5023,5877,10713,5851,4862,11064,5316,5329,11296,5791,5187,12308,7607,4449,13361,7584,5492,14307,8118,5825,14407,8435,5972,14345,7976,5935,13962,7871,6091,13878,7418,5595,14005,7680,6325,11081,6467,4289,13968,8021,5743,14608,8117,6063
31,31,14506,12989,466,155,528,427,33,0,0,17816,15701,821,254,667,392,142,0,0,21600,18277,1264,273,798,769,67,21605,18280,1264,266,788,747,67,19996,17458,1014,328,732,439,165,282,464,251,5,515,21783,18648,1158,406,965,546,78,12365,11189,343,101,444,301,27,0,0,14801,13479,570,141,266,284,4,125,204,141,4,44,0,18576,15979,966,227,659,585,48,18576,15979,966,112,437,223,17,764,16373,14783,730,157,266,361,4,0,0,0,0,18195,16367,881,196,339,392,0,202,232,168,0,18131,16397,890,180,298,334,3,165,204,141,3,8038,4660,3142,9190,4869,3232,9436,5873,3204,8972,4577,4395,8822,5132,3690,9145,4845,3770,9370,5237,3737,8554,5680,2631,10676,6497,3805,11698,7052,4195,11770,7495,4275,11663,6946,4155,11320,6953,4367,11225,6400,3863,11333,6773,4560,8215,5160,2772,10850,6667,3940,10239,5850,4012
32,32,11871,11082,279,84,247,178,25,0,0,17726,16272,583,112,570,189,0,0,0,21607,18942,978,244,578,530,54,21615,18949,978,244,572,516,53,17995,16669,568,106,496,114,35,84,113,70,0,481,20543,18597,782,111,403,453,49,9439,8922,194,43,164,128,9,0,0,14099,12927,453,34,513,179,0,34,304,55,0,0,0,17148,15251,695,148,397,394,43,17148,15251,695,79,237,106,21,690,15078,13958,524,48,362,114,0,0,0,0,0,16935,15662,576,57,291,277,0,29,85,140,0,18478,16619,872,101,465,299,0,70,203,158,0,6005,2961,2865,8269,3880,3469,8619,4863,3449,8158,3539,4619,8010,4198,3812,8329,3865,4026,8535,4255,3980,8932,5705,3008,11257,6325,4610,12719,7043,5241,12767,7517,5250,12684,6968,5193,12303,6826,5477,12179,6269,4925,12314,6609,5705,9187,5369,3545,11944,6779,4952,12671,6677,5592
33,33,19767,18613,484,115,318,264,29,0,0,23606,21688,686,316,598,552,24,0,0,21758,19216,884,235,440,560,39,21774,19227,885,230,427,537,39,22337,20377,585,278,609,652,36,36,363,76,0,889,22931,20689,862,252,446,551,28,16218,15389,326,72,233,194,26,0,0,18725,17577,302,159,325,353,0,60,201,103,0,37,0,18171,16295,634,161,334,429,21,18171,16295,634,83,170,142,9,730,18181,16942,305,147,350,441,0,0,0,0,0,18900,17675,422,116,320,399,0,33,155,116,0,19390,17370,786,315,548,397,6,192,175,100,6,10676,5986,4325,11317,5640,4626,11649,7009,4268,11109,5437,5672,10985,6241,4744,11301,5735,5012,11579,6204,4973,12424,7782,4339,13235,7529,5352,14020,7902,5728,14104,8324,5780,14026,7821,5706,13668,7750,5918,13574,7261,5359,13704,7595,6109,10649,6216,4097,13651,7856,5549,13848,7603,5784
34,34,17260,16116,570,105,175,331,31,0,0,19563,18120,913,3,119,471,6,0,0,21812,18954,1345,195,338,730,44,21827,18967,1345,177,318,706,42,20946,19411,749,14,212,472,0,6,33,335,0,257,23057,21347,756,111,324,358,0,12251,11600,314,41,103,209,14,0,0,14456,13615,551,0,102,197,0,0,30,103,0,6,0,16065,14239,830,105,221,491,31,16065,14239,830,42,111,113,9,663,15070,14250,494,7,97,224,0,0,0,0,0,16715,15753,485,74,183,196,0,15,80,86,0,17311,16245,432,114,233,198,0,33,93,75,0,8055,2727,5055,8447,2217,5412,8811,3548,4934,8433,2239,6194,8357,3050,5307,8561,2532,5634,8739,2793,5582,8627,3647,4698,10636,3727,6590,11794,3927,7437,11848,4499,7349,11781,4023,7181,11483,3982,7501,11461,3670,6927,11537,3816,7721,8746,3088,5247,11245,3995,7023,12194,3808,7984
35,35,20490,19313,585,74,113,391,54,0,0,21234,19480,935,92,244,497,31,0,0,21746,19644,791,142,177,769,47,21753,19650,791,142,177,751,47,21750,19977,907,113,185,525,48,33,55,248,22,474,22035,20052,1007,171,266,476,35,16402,15572,409,41,80,269,47,0,0,17122,16068,450,80,116,395,0,20,34,135,0,23,0,17572,16082,548,64,113,542,27,17572,16082,548,32,56,138,10,619,17800,16569,608,150,109,384,4,0,0,0,0,18054,16672,680,187,142,347,4,124,79,156,4,18687,17470,505,95,119,459,5,46,44,128,5,11230,4046,6714,11241,2778,7728,11635,4811,6462,11247,2615,8632,11166,4494,6672,11411,3355,7651,11584,3490,7718,11631,4576,6659,12901,4065,8599,13814,3995,9518,13863,4687,9176,13824,4243,9060,13690,4157,9533,13537,3799,8925,13604,3926,9678,11156,3327,7250,13337,4190,9015,14530,3843,10255
