ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_14_AG_Total,E_14_AG_Dem,E_14_AG_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
112,56B,36354,31392,1070,1382,2292,293,60,0,0,39831,33753,1273,1963,2675,282,44,0,0,42333,33185,2073,2878,3371,694,56,39866,34028,1269,1716,2537,275,35,1375,1991,18,0,1159,41531,34878,1450,1643,3053,381,29,25754,22894,582,726,1400,166,34,0,0,27532,24979,573,676,1132,161,0,637,1022,37,0,25,0,30756,25174,1230,1587,2174,440,40,30756,25174,1230,1263,1952,71,7,901,28123,25536,464,764,1180,116,0,0,0,0,0,29410,26275,847,631,1471,105,0,483,1283,29,0,30770,26630,807,1169,1851,142,22,931,1625,16,22,20918,10362,10191,22053,10817,11236,14879,7174,7276,14585,6814,7418,14536,0,0,22828,10891,9842,21144,12959,7641,21090,11123,9228,21097,11276,9162,20820,9845,9848,20676,10093,9214,20828,10649,9417,23168,12267,9824,26847,14985,11230,26481,13599,11246,23335,12657,9803,21534,12207,8817,21348,11331,9989,21146,10765,9481,20839,12139,8672,21529,11836,9094,25128,14004,10408,27505,15356,11416,27086,16483,9782,27007,15933,10590
113,57A,34761,31492,984,854,1207,256,40,0,0,40119,35634,1106,1448,1553,253,1,0,0,42321,35581,2049,1671,2070,612,49,40415,35638,1488,1442,1572,276,28,988,1089,93,0,1019,42502,35209,2289,2541,2032,363,31,24123,22271,526,448,708,154,24,0,0,27829,25969,406,517,791,165,0,375,656,60,0,10,0,30379,26368,1190,906,1232,409,30,30379,26368,1190,718,1028,74,6,860,28180,25978,633,692,730,147,0,0,0,0,0,30076,26601,1095,1066,1086,117,0,988,992,23,0,30908,27110,1279,1135,1171,179,0,1066,977,13,0,19179,7657,11209,20144,7718,12426,13916,5218,8297,13624,4920,8405,13563,0,0,22085,7649,12695,19644,9531,9573,19574,7768,11114,19611,7976,11005,19373,6806,11584,19180,6984,10982,19335,7452,11229,22058,8747,12367,26130,10808,14811,25737,9712,14494,22590,9064,12770,21147,8706,11996,20989,7962,13013,20719,7479,12422,20283,8609,11656,21127,8353,12162,24765,10204,13931,27525,11390,15543,27038,12595,13690,26964,12027,14409
114,57B,35233,30680,1154,1295,1896,280,33,0,0,39226,32291,2260,1162,3363,463,118,0,0,42406,33061,2300,2612,3463,634,41,40566,33925,1463,1592,3144,513,170,1038,2505,121,45,1381,43371,34984,1840,2398,3481,589,115,23773,21140,632,675,1185,165,20,0,0,26827,23353,1135,430,1629,171,35,365,1494,53,35,70,0,30163,24531,1369,1432,2172,411,25,30163,24531,1369,1160,1939,94,5,913,28256,24978,650,699,1560,191,45,0,0,0,0,30405,26544,835,946,1620,271,0,701,1530,138,0,31748,26320,1309,2159,1607,261,5,1886,1499,146,5,18994,8519,10165,19772,8557,11215,12986,5354,7221,12683,5047,7327,12630,0,0,20906,8423,10610,19058,10401,8070,18994,8721,9519,19010,8840,9460,18755,7686,9974,18568,7809,9364,18742,8401,9607,21422,9907,10436,25698,12796,12306,25250,11383,12156,21926,10454,10616,20489,10283,9690,20301,9436,10847,20065,8900,10244,19611,10087,9496,20458,9912,9957,24330,12038,11566,27391,13631,13073,26916,14733,11344,26831,14334,12023
115,58A,39759,35852,2054,544,1144,246,60,0,0,42221,37176,2365,829,1630,387,100,0,0,42949,35672,3296,1143,1592,746,46,42167,36912,2267,1122,1530,521,103,473,1110,209,5,1195,42543,37046,2328,1074,1743,481,118,30147,27535,1249,337,894,156,35,0,0,31586,29116,1037,338,869,185,4,255,661,109,4,57,0,33403,28103,2337,757,1309,431,28,33403,28103,2337,592,1136,96,7,808,31541,28952,981,492,848,223,4,0,0,0,0,31953,29131,955,501,1087,200,4,323,850,71,4,32033,28965,1294,494,1057,176,7,337,880,52,7,21924,12137,9329,21872,11961,9911,15020,8426,6084,14598,7932,6264,14556,0,0,22817,10947,10118,20740,12733,7399,20667,11265,8584,20641,11381,8572,20389,10258,9004,20325,10604,8457,20315,10908,8595,22469,11870,9598,25423,13269,11589,25100,12488,10984,22635,11972,9857,21032,11308,9114,20893,10945,9938,20750,10570,9295,20671,11727,8930,21054,11185,9241,24117,12769,10684,26421,13728,12106,25989,14808,10363,25895,14474,10808
116,58B,38940,35524,1069,868,1277,361,38,0,0,41654,37923,1164,976,990,697,13,0,0,42496,36465,1583,1697,1715,702,53,42017,37588,1691,1488,963,345,11,938,615,109,0,907,42673,37817,1712,1528,1085,431,3,27304,25435,563,410,741,203,22,0,0,29509,27414,651,427,422,495,1,348,371,333,1,71,0,30894,27271,951,858,1108,437,37,30894,27271,951,679,899,95,7,901,29378,27155,923,692,332,237,0,0,0,0,0,29739,27301,973,744,455,254,2,562,350,88,2,30596,27788,1116,818,646,147,27,603,476,13,27,20762,9256,11029,21317,9254,12063,13601,5786,7199,13249,5362,7463,13258,0,0,22332,7703,12651,19151,9801,8705,19064,8043,10083,19076,8187,10101,18859,7008,10571,18709,7325,9894,18856,7705,10296,21321,8645,11550,24607,9998,14041,24201,9196,13216,21425,8670,11886,19361,7943,10861,19175,7305,11853,19061,6937,11098,18738,8111,10602,19347,7675,10905,23149,9423,13037,26014,10235,15211,25555,11836,12928,25444,11467,13287
117,59A,38323,13951,2919,15845,5126,1442,77,0,0,41180,13865,3936,17284,5498,1773,20,0,0,42430,13062,5139,18024,5270,2106,83,42637,13608,4632,17425,6422,1676,40,15131,6017,433,0,2697,43398,13720,5780,17169,5784,2024,87,26256,12067,1716,9218,2820,852,46,0,0,26872,11947,1175,10236,2715,789,0,9769,2689,420,0,128,0,29983,11501,3225,11099,3346,1323,61,29983,11501,3225,9875,3117,463,17,1575,28234,11806,2176,10047,3488,645,0,0,0,0,0,28509,11945,2680,9867,3055,746,0,9252,3000,374,0,27867,12273,2333,9560,2744,762,0,8696,2710,348,0,17569,14314,2932,17550,15037,2513,8999,7247,1396,8654,6943,1465,8810,0,0,16013,12471,2193,13767,11111,1621,13702,10696,1851,13698,10882,1851,13662,10609,1976,13514,9946,1831,13510,10934,1877,15336,11914,2092,17706,14499,2621,17166,11954,2370,14442,11338,2023,11060,8904,1532,10973,9115,1827,10717,7834,1622,10831,9185,1620,10834,8409,2309,14569,11538,2145,15506,12438,2584,14944,12196,1986,14620,11517,2950
118,59B,31289,10891,2189,14243,3722,1087,70,0,0,41259,16128,2762,16820,4882,1400,93,0,0,42494,18581,3066,15948,4138,1444,80,42591,17822,2998,16955,4564,1459,96,15251,3881,617,21,1945,43431,19248,3220,16817,4026,1320,100,23384,10269,1365,9164,2331,675,40,0,0,28406,15125,1073,8838,2450,751,20,8399,2246,525,20,203,0,33705,17668,2159,10156,3081,973,59,33705,17668,2159,9246,2768,357,14,1372,29473,16516,1156,8937,1973,663,19,0,0,0,0,31097,17789,1374,9335,1949,539,5,8821,1651,286,5,32479,19234,1378,9155,2126,614,5,8613,1762,178,5,15362,13160,1964,15984,13567,2417,9883,8025,1574,9533,7748,1550,9514,0,0,18106,14620,2065,17179,14577,1804,17103,13918,2312,17043,14053,2252,16935,13523,2457,16709,12774,2451,16691,13828,2234,18873,15368,2414,22304,18898,2890,21700,16510,3089,18619,15303,2435,16320,13744,2049,16227,13489,2716,15852,12404,2452,16052,13836,2200,15899,12336,3359,20022,16501,2754,22100,18292,3159,21455,18077,2571,20924,16137,4554
119,60A,40171,27498,4228,5577,2006,1579,58,0,0,42110,30018,3917,5082,2413,1018,78,0,0,42800,29498,4217,5708,2284,1391,65,42597,29899,3547,5804,2619,1102,79,4583,1844,382,0,2238,42385,29467,3546,6128,2552,1334,67,32666,24307,2835,3281,1548,1053,45,0,0,32689,26434,1483,2833,1259,599,0,2471,935,284,0,80,0,36139,26561,2990,3730,1847,1096,52,36139,26561,2990,3138,1407,307,15,1579,33773,26491,1485,3705,1443,727,0,0,0,0,0,34142,26822,1448,3830,1462,704,9,2954,1073,246,9,34301,26504,1492,4000,1763,624,13,3243,1243,195,13,22131,16957,4529,22193,17914,4279,14977,11972,2428,14201,11228,2422,14530,0,0,23872,18058,3406,22754,19321,2434,22655,18544,2957,22636,18784,2848,22422,17772,3190,22217,17247,3008,22229,18322,2886,24037,19453,3154,26547,22402,3471,26086,20437,3534,23348,19186,3034,20537,17463,2341,20378,17390,2957,20003,16119,2583,20257,17810,2430,20169,16408,3568,23678,19747,3053,24508,20372,3291,23960,20415,2664,23493,18935,4348
120,60B,31682,19980,1017,6240,4189,435,58,0,0,39913,23523,1690,7914,6213,872,56,0,0,42169,23824,2122,8431,7275,652,69,39317,23342,1522,7579,6290,779,61,6897,5543,406,0,1493,39495,22629,2271,8382,5581,655,96,29162,19610,862,4416,4026,338,50,0,0,31049,22406,1256,3863,2780,604,0,3499,2210,423,0,182,0,38283,23032,1896,5878,6962,551,50,38283,23032,1896,5224,6299,189,13,1517,30918,22355,1204,3749,2792,652,0,0,0,0,0,31355,21646,1648,4745,2592,469,8,4397,2076,320,8,32985,21366,1920,5706,3227,501,8,5049,2333,236,8,14622,11423,2825,15141,11827,3314,7751,6015,1399,7247,5670,1314,7152,0,0,16833,12977,2205,14391,12299,1385,14297,11871,1772,14267,12038,1636,14059,11501,1791,13800,10881,1793,13871,11587,1674,14753,12157,1686,14821,12900,1550,14153,11216,1565,13527,11264,1480,10553,8950,991,10475,9293,1165,9901,8043,1088,10167,9083,1064,10378,8904,1390,12674,10616,1475,13523,10931,2032,12596,10430,1565,12491,10264,2134
121,61A,36802,27396,1459,5208,2397,649,87,0,0,38508,28587,1658,5676,2077,680,46,0,0,42219,29060,2425,6895,2938,1070,88,39357,29169,1766,5430,2500,780,32,4607,2018,365,10,1398,41463,29517,2329,6268,2665,1556,17,33170,25478,1183,4134,2042,538,73,0,0,33334,26322,1270,3928,1248,471,19,3488,934,238,19,106,0,38275,27193,2099,5609,2533,869,69,38275,27193,2099,4854,2015,302,18,1567,33872,26453,1353,3983,1456,506,10,0,0,0,0,36189,27419,1822,4639,1734,649,10,4154,1376,334,10,35766,26424,2343,4806,1715,528,16,4263,1371,239,16,23179,18548,4178,22401,17930,4471,14245,11378,2508,13730,10912,2491,13783,0,0,23669,18807,2968,22384,19222,2404,22324,18489,3019,22250,18579,2996,21997,17567,3267,21740,16966,3345,21819,18102,2976,23611,19447,3034,25966,22245,3142,25496,20250,3381,22426,18737,2737,18644,16045,1924,18482,15869,2581,18233,15021,2239,18412,16411,1985,18124,14559,3192,22725,19288,2660,24199,20711,2713,23624,20597,2221,22928,18422,4168
122,61B,37702,32848,1222,1807,1574,438,57,0,0,41878,35981,1571,2264,2050,363,78,0,0,42825,35373,1946,2294,2279,665,65,42011,34564,2028,2787,1988,358,79,1848,1253,74,0,1618,43966,36337,2622,2484,2052,444,28,30659,27379,841,1170,1047,304,43,0,0,33122,29518,878,1390,1075,193,1,1106,766,65,1,120,0,35272,29790,1444,1674,1631,538,45,35272,29790,1444,1214,1210,93,17,1374,33752,29174,1493,1784,1063,174,0,0,0,0,0,35089,30098,1806,1794,1119,201,0,1421,858,32,0,34310,28859,2015,1812,1332,220,0,1411,1040,17,0,26778,21589,4726,25802,20631,5171,19015,15257,3376,18505,14764,3327,18375,0,0,28120,22737,3289,26895,23539,2699,26863,22519,3556,26751,22596,3473,26468,21258,3887,26185,20699,3954,26296,22022,3475,27977,23513,3383,30081,26352,3183,29729,24546,3719,27218,23292,3064,24429,21582,2326,24292,20984,3273,23921,20106,2885,24209,21832,2365,23689,19272,4021,27429,23927,2865,28338,25062,2517,27929,25092,2171,26968,21798,4707
123,62A,40388,18320,8869,10832,1647,1808,89,0,0,41237,19041,7971,11779,1876,1338,236,0,0,42714,18446,8075,13407,1803,1966,78,41613,18825,7392,12658,1669,1336,141,10780,1139,312,29,2549,39919,19222,6389,12135,1205,1345,136,32547,17096,6015,7512,1319,1228,65,0,0,27442,17565,1925,6093,1144,615,75,5463,924,287,75,103,0,34851,17247,5744,9352,1556,1535,47,34851,17247,5744,8456,1155,506,12,1550,28891,17792,2133,7200,1193,736,34,0,0,0,0,29030,18294,2511,6709,881,709,44,6041,656,353,44,30906,17906,2732,8437,1217,803,4,7565,898,370,4,18060,15890,1720,18216,16483,1733,10393,9175,875,9836,8660,858,9926,0,0,18627,15697,1339,17880,15945,965,17768,15655,1157,17708,15750,1098,17714,15411,1229,17383,14689,1206,17413,15576,1140,18607,16230,1248,20239,18310,1440,19543,16304,1401,16847,14783,1146,12397,10976,787,12430,11438,969,11951,10227,868,12131,11261,851,12228,10834,1268,15959,14007,1198,15996,13629,1591,15227,13419,1049,15288,13354,1832
124,62B,41499,17137,10927,10064,1527,3222,98,0,0,44957,19738,10793,11800,1962,2385,40,0,0,42527,18067,9932,10816,1666,3213,93,44890,19817,10574,11317,1772,2572,18,9931,1108,1193,0,1865,42931,18867,10541,10441,1411,2818,33,30145,14639,6792,6418,1056,1889,65,0,0,26600,16590,2127,5834,977,962,0,5435,846,778,0,150,0,31703,15422,6363,7224,1204,2126,64,31703,15422,6363,6431,907,1012,20,1373,26616,17036,2152,5463,884,1061,0,0,0,0,0,26603,16317,2748,5675,770,1225,4,5235,532,805,4,25870,16070,2493,5390,844,1210,17,4885,604,822,17,17921,15569,2002,18406,16355,2051,12386,10806,1229,11825,10303,1210,12014,0,0,19056,15985,1392,18333,16423,1131,18241,16023,1411,18253,16223,1349,18172,15778,1534,17959,15094,1488,17947,15979,1355,19097,16642,1460,20621,18557,1629,20162,16911,1652,17964,15753,1377,14858,13257,1100,14830,13429,1375,14470,12384,1239,14637,13460,1155,14645,12756,1767,17645,15506,1461,17981,15490,1735,17464,15422,1328,17385,14987,2251
125,63A,39904,27802,4064,5340,1619,1708,70,0,0,41399,27963,3384,7425,1782,1168,93,0,0,42332,27501,4102,7666,1804,1567,85,41250,28014,3351,7176,1834,1103,88,6275,1257,447,25,1696,42015,28521,2855,7546,2121,1127,42,32436,24216,2520,3611,1214,1156,49,0,0,31153,24145,1155,4088,968,700,0,3843,768,388,0,81,0,34257,23743,2785,5359,1316,1148,52,34257,23743,2785,4714,1004,446,10,1417,31732,24495,1342,4189,1064,690,0,0,0,0,0,32193,24940,1193,4239,1201,640,0,3814,966,185,0,33757,25228,1913,4682,1248,554,0,4125,869,162,0,24046,19767,3715,23790,20364,3426,17629,15112,2054,16923,14380,2096,17160,0,0,24995,20502,2470,24286,21524,1993,24229,20967,2414,24169,21094,2397,24037,20305,2623,23810,19771,2547,23832,20654,2372,25200,21614,2482,27019,23920,2572,26604,22391,2727,24500,21272,2312,22042,19685,1782,21927,19574,2330,21551,18527,2031,21765,19894,1851,21569,18358,2965,24656,21705,2276,25486,22367,2354,24882,22335,1853,24422,20795,3396
126,63B,39546,31317,2454,4060,1245,829,46,0,0,42119,33680,2079,4114,1756,675,0,0,0,42292,33119,2660,3779,1770,927,72,42421,34425,2295,3817,1299,922,15,2948,794,363,0,1464,41941,34506,1945,3804,1178,509,69,30930,25701,1460,2600,824,511,28,0,0,31330,26762,753,2469,908,421,0,2235,723,239,0,79,0,32769,26702,1696,2461,1140,651,56,32769,26702,1696,1996,811,146,8,1294,31423,27211,808,2137,645,482,0,0,0,0,0,31312,27183,890,2175,686,261,4,1847,595,63,4,31650,27201,1080,1956,1071,254,25,1310,866,57,25,25999,19910,5622,25687,20204,5483,19030,14995,3537,18541,14522,3554,18550,0,0,26383,20561,3817,25260,21675,2917,25205,20612,3749,25143,20732,3694,24913,19511,4143,24681,19064,4048,24735,20222,3686,26349,21520,3745,28441,24157,3743,28090,22495,4085,26166,21748,3561,24519,21148,2852,24336,20480,3822,24022,19550,3426,24249,21356,2875,23928,18861,4701,26835,22800,3405,28002,24207,3141,27709,24317,2719,26854,21317,5161
127,64A,40781,33368,1511,3935,1771,535,77,0,0,38968,32552,1614,2825,1778,567,27,0,0,42372,33808,2055,3335,2318,735,89,39444,32700,1699,2798,2024,418,40,2038,1387,127,5,1399,40452,33055,1825,3193,2039,833,92,34160,28771,1069,2800,1293,383,50,0,0,31989,27755,1241,1707,952,335,4,1322,760,101,4,78,0,36079,29581,1553,2404,1787,518,53,36079,29581,1553,1945,1387,114,26,1253,32244,28106,1190,1642,1007,230,5,0,0,0,0,33452,28562,1314,1928,1134,450,3,1462,792,72,3,34182,28654,1548,2195,1397,428,0,1636,1026,39,0,26755,20742,5487,25777,19964,5813,17918,13843,3660,17400,13325,3658,17422,0,0,25686,19689,3762,24227,20272,3141,24156,19338,3896,24063,19594,3765,23593,18200,4111,23380,17825,3996,23632,19057,3762,24951,20094,3680,26236,22238,3468,25766,20498,3764,24180,19871,3372,21738,18439,2715,21502,18110,3360,21246,17083,3004,21497,18736,2738,21647,18503,3097,24402,20421,3262,25807,21658,3362,25274,21590,2908,24713,20978,3682
128,64B,39430,31957,1930,3620,1680,451,51,0,0,41560,32389,1978,5022,1835,445,22,0,0,42650,32086,2328,5149,2229,881,75,41637,31779,1906,5381,2060,965,13,4426,1565,76,0,1834,42784,32567,1782,5823,1870,915,30,31639,26515,1263,2541,1082,321,34,0,0,30620,26388,811,2323,804,251,0,2071,656,56,0,44,0,34879,27217,1620,3718,1567,662,56,34879,27217,1620,3260,1250,157,19,1209,31452,26318,842,2640,1067,457,0,0,0,0,0,32552,27332,1021,2607,1023,470,0,2158,816,33,0,32396,26352,1134,2595,1673,558,0,2188,1350,28,0,24857,17712,6693,24642,17962,6680,18230,13126,4611,17734,12648,4630,17718,0,0,25466,18640,4673,24498,19982,3792,24449,18756,4795,24414,18973,4775,23874,17346,5151,23769,17298,4922,23965,18433,4682,25464,19631,4699,27668,22273,4802,27106,20522,5065,24870,19553,4411,22430,18265,3616,22165,17597,4534,21852,16600,4011,22131,18505,3602,22298,18182,4070,25490,20420,4365,27059,21864,4508,26526,22042,3664,26074,21175,4847
129,65A,39517,12872,3417,13622,9490,1196,127,0,0,43138,13059,3635,14229,11851,1219,101,0,0,42216,11692,3836,15799,10493,1393,102,42480,13623,3671,13524,11060,1591,74,11091,10606,281,6,2396,42846,13904,3431,15234,10264,1589,78,27289,11023,2093,8328,5602,725,68,0,0,26061,11202,1013,7606,5715,478,13,7185,5601,277,13,93,0,29767,10166,2550,9686,6884,895,65,29767,10166,2550,8805,6653,222,12,1194,26520,11358,1438,7763,5345,375,8,0,0,0,0,27931,11904,1708,8411,5292,318,28,7851,5101,89,28,27750,11984,2133,8550,4304,438,18,8124,4038,160,18,16022,13062,2636,16101,13842,2259,8759,7169,1230,8293,6775,1247,8397,0,0,15579,12391,1979,13750,11379,1449,13639,10938,1626,13578,11107,1684,13369,10637,1773,13229,10120,1610,13328,11013,1650,14952,11850,2027,17153,13839,2958,16304,11796,2293,13792,10960,1963,10157,8142,1470,10021,8284,1712,9755,7115,1537,9882,8263,1604,10097,8150,1919,13467,10566,2205,14105,10752,2895,13263,10625,1976,12879,10149,2696
130,65B,38500,22687,7285,5754,2623,1123,61,0,0,39409,22780,7612,5685,3445,919,18,0,0,42608,23775,7376,7531,3173,1648,81,39795,23045,7011,5609,3999,947,24,4069,3358,287,1,1903,41648,24971,6769,5557,3788,1191,19,29856,19780,4600,3549,1619,715,38,0,0,28838,19786,3758,2998,1843,385,0,2718,1617,224,0,127,0,34074,20990,5109,4979,2228,1149,64,34074,20990,5109,4225,1959,330,12,1278,29518,19930,4112,2856,2149,373,1,0,0,0,0,31119,22000,3408,2999,2152,424,1,2528,1849,160,1,32515,22585,3389,3650,2254,602,0,3014,1970,157,0,19131,13810,4865,18823,14225,4598,12186,8867,2894,11740,8444,2948,11876,0,0,19781,13725,4115,18224,14190,3074,18150,13260,3688,18168,13546,3637,17854,12512,3902,17799,12287,3621,17891,13389,3641,19569,14264,3955,21991,16789,4638,21427,14685,4350,18707,13862,3787,15589,11919,3068,15428,11827,3571,15218,10690,3143,15324,12201,3103,15506,11937,3317,19213,14414,3967,20738,15589,4489,20212,15667,3659,19867,15391,4280
131,66A,39047,29484,1593,3803,3870,589,58,0,0,41890,30231,1792,4913,4539,482,96,0,0,42166,28784,2166,5996,4365,930,91,42735,30702,1918,4933,4938,465,201,3649,3716,76,84,2369,41876,30704,2187,4351,4391,753,77,32372,25299,1088,2717,2993,426,42,0,0,31606,25752,1090,2800,1682,276,35,2387,1408,103,35,42,0,35129,25118,1554,4216,3434,697,68,35129,25118,1554,3696,3044,232,12,1335,33058,26452,1211,2797,2243,207,72,0,0,0,0,33080,26491,1354,2659,2089,287,19,2266,1476,49,19,33714,25728,1492,3633,2402,242,0,3064,1698,83,0,23905,17562,5853,22981,17454,5527,15940,12019,3431,15453,11489,3507,15529,0,0,23235,17311,3870,21847,18018,3049,21805,17115,3779,21603,17243,3690,21230,16092,3969,21158,15785,3900,21313,16829,3693,22946,18019,3794,25169,20523,4041,24693,18959,4131,22410,17875,3597,19811,16309,2944,19628,16068,3526,19361,15033,3246,19534,16560,2952,19723,16343,3339,22800,18477,3597,23988,19472,3754,23430,19463,3135,22912,18856,3993
132,66B,39579,16435,4244,8135,10611,1099,81,0,0,42749,15883,4484,8984,12967,1439,408,0,0,42184,14499,4142,8916,14164,1283,77,43962,15890,4580,9128,13956,1538,86,8056,13183,706,9,1508,42697,16541,3642,7630,14552,1145,54,27383,13762,2580,4710,6085,653,48,0,0,25800,13110,1839,5011,5184,544,10,4711,5052,348,10,125,0,29692,12426,2637,5494,8611,872,48,29692,12426,2637,4812,8361,221,6,1096,26636,13202,1911,4985,5865,626,10,0,0,0,0,27178,13543,1853,4362,6812,512,15,4103,6725,402,15,25489,12420,1549,4037,6883,242,33,3656,6794,169,33,16137,12179,3618,15981,12790,3191,9436,7083,1973,9078,6779,2002,9109,0,0,15800,11878,2691,13852,11117,1928,13746,10512,2247,13632,10645,2247,13371,9911,2435,13293,9659,2211,13396,10440,2265,15224,11471,2696,17684,13478,3777,16930,11738,3005,14485,10952,2680,11465,8800,2080,11277,8689,2562,11071,7806,2221,11208,8967,2217,11434,8645,2765,14608,10913,2979,15673,11362,3858,14804,11405,2626,14598,10766,3795
133,67A,36799,15051,4836,6333,10270,1144,100,0,0,41713,13309,5203,7554,15810,821,31,0,0,42235,11812,5734,7665,16551,1342,98,41226,12735,4771,8312,15361,646,41,5867,14992,244,0,2590,41586,12465,5288,8823,15125,1242,105,24873,12640,2778,3422,5689,673,49,0,0,24649,11269,1680,3531,7718,327,0,3170,7690,137,0,132,0,29013,10138,3605,4572,10143,947,59,29013,10138,3605,3909,9953,281,7,1016,24382,10947,1338,4034,7697,349,0,0,0,0,0,24208,10841,1354,3790,7765,288,0,3212,7726,120,0,24760,10485,1643,3587,8534,350,0,2887,8451,159,0,14486,10517,3652,14219,11013,3206,7331,5296,1709,6971,4928,1808,7032,0,0,14016,9799,3010,11247,8479,1915,11144,7853,2241,11105,8032,2298,10819,7409,2375,10803,7255,2138,10858,7983,2251,12940,9002,2815,15549,11042,4064,14680,9183,3132,12134,8420,2808,8739,6015,2163,8535,5981,2540,8320,5031,2205,8435,6124,2293,8802,5764,3025,12279,8348,3166,13467,8905,4247,12574,8959,2836,12415,8138,4247
