ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
21,21,116603,112204,1570,1471,495,935,52,0,0,117537,112243,1965,1728,595,1046,39,0,0,118866,111148,2197,1869,708,2457,66,117887,112416,1989,1864,651,967,36,1147,237,419,0,59,1620,118875,112768,2109,1928,723,1314,10,88470,85644,920,894,317,735,32,0,0,90040,86980,836,984,331,851,15,851,176,426,55,0,91174,85957,1280,1179,475,1937,34,91174,85957,1280,816,405,209,5,128,2374,90360,87240,843,1111,323,798,0,0,0,0,0,0,91355,87875,1113,1028,310,949,0,795,132,81,0,91807,88044,1225,1098,356,887,76,824,130,94,76,44110,9999,33369,43070,8595,34475,47512,6987,39021,46499,12461,34038,34669,9842,24108,34464,7493,26971,45001,9182,35090,53968,8781,44482,53940,9656,41829,45988,9326,36105,53725,7907,45200,47526,715,46811
22,22,114418,97473,3906,9993,2544,827,101,0,0,123421,101640,5748,12425,3360,785,49,0,0,124346,97117,6693,13956,3720,2684,179,124570,101600,5892,13102,3470,743,42,10812,2825,127,11,259,3050,123264,99190,6158,13651,3579,1020,28,86453,75787,2379,6084,1747,592,54,0,0,90559,79667,1752,7082,1411,483,10,6556,1183,109,114,0,94685,77120,4105,8616,2598,2055,120,94685,77120,4105,7467,2098,207,56,230,3402,91420,80243,1616,7475,1512,474,0,0,0,0,0,0,91032,79111,2003,7523,1688,622,0,6626,1358,70,0,91188,77767,2474,8574,1568,663,7,7506,1254,50,7,49340,19266,29339,48096,17839,30257,54331,19077,31490,54281,25798,28483,43048,22063,20195,42646,18420,24226,52549,22715,28564,60545,25241,33973,60685,25643,32910,53297,23396,29083,59182,23198,34739,58822,20340,38482
23,23,120514,107102,3479,7603,1554,806,231,0,0,123183,107347,4735,8644,2003,791,189,0,0,124381,102999,6203,9361,2450,2719,324,122958,106719,4630,8559,2205,816,166,5696,1616,164,0,103,4029,124195,106690,5240,8785,2158,1024,260,91303,83262,2093,4346,1032,556,140,0,0,91692,84106,1411,4732,900,494,4,4122,745,132,61,0,96113,82412,3771,5688,1700,2006,198,96113,82412,3771,4671,1296,160,139,244,3420,92076,84160,1523,4657,1128,515,0,0,0,0,0,0,93050,84747,1596,4901,1144,622,0,3868,926,98,0,93294,84117,2188,4997,1174,634,93,3540,801,61,93,52685,20898,30933,50153,19599,30554,53416,19214,30517,53296,19181,34115,38287,19620,17927,37596,16209,21387,50338,20994,28127,59826,25202,33317,60376,26681,31401,51119,21819,28490,57953,23976,32779,37055,0,37008
24,24,117255,109550,1959,4122,1106,700,74,0,0,119057,109705,2362,4875,1529,591,109,0,0,119969,106879,3017,5249,1756,2370,165,120791,110334,2723,5285,1581,586,112,4294,1196,116,30,122,1977,120805,109277,2802,5394,1473,805,96,90441,85300,1304,2649,790,553,39,0,0,92393,87010,1144,2984,771,447,15,2737,663,107,42,0,94307,85470,1935,3330,1266,1778,131,94307,85470,1935,2754,891,134,29,272,2822,93725,88019,1206,3211,690,536,30,0,0,0,0,0,93895,88132,1263,3214,590,563,19,2799,466,110,19,93791,88321,1469,2821,561,538,11,2428,394,46,11,50782,19740,30094,48995,18841,30154,53146,17327,32623,52780,18137,34643,39098,19554,18694,38333,15623,22710,50928,19559,30215,61417,22579,37701,61504,24235,34723,52208,20346,31069,60825,21855,37850,43923,0,43500
25,25,125805,120029,1497,2867,405,1092,88,0,0,123140,116431,1831,3310,549,1281,83,0,0,121144,112757,1890,3411,581,2329,136,122767,115640,1627,3502,719,930,102,2797,448,333,54,96,1772,121125,113653,1678,3650,524,997,115,96304,91746,1078,2412,278,874,53,0,0,93840,89280,901,2519,252,900,59,2332,177,329,19,0,93161,86648,1351,2732,436,1792,106,93161,86648,1351,2359,310,235,34,97,2127,93715,89030,938,2630,388,641,55,0,0,0,0,0,92590,88040,911,2512,214,721,29,2333,91,82,29,91800,87000,1193,2447,189,842,16,2284,98,77,16,45054,10492,33638,43101,8076,35025,45581,5982,38433,43865,11311,32554,32739,9442,22570,32407,6827,25580,42395,8055,33728,50654,7043,43044,50459,8174,40031,43040,8068,34514,49733,6100,43108,42753,0,42753
26,26,108232,87348,4035,13154,3351,715,118,0,0,113103,87054,5237,16196,4741,828,112,0,0,113891,84263,6926,15782,5037,1940,191,112675,86291,5228,15665,5630,700,86,13789,4943,219,17,371,1809,112721,86057,5463,15392,5323,840,104,86255,71579,2705,9176,2467,529,82,0,0,85916,71114,2054,9982,2197,337,20,9634,1960,112,299,0,92272,70687,4920,11361,3723,1526,130,92272,70687,4920,10150,3143,137,57,271,2907,87170,71535,2117,10061,2694,422,14,0,0,0,0,0,87437,71342,2416,10084,2828,516,4,9613,2251,32,4,85406,69027,2870,9070,2607,1543,23,8237,1998,124,23,58249,30062,27583,55963,28505,27458,57905,30472,23552,58034,32313,25721,47886,31689,15511,47299,27408,19891,56530,33051,22311,64142,38339,24503,64382,38109,24615,56525,33697,22132,58268,34522,22626,57528,35807,21713
27,27,119152,105769,3855,8099,907,724,67,0,0,121907,106700,4705,8995,1177,809,48,0,0,124449,105240,5993,9197,1408,2295,121,122071,106837,4756,9082,1098,620,45,7475,864,72,20,66,1985,124728,108648,4760,9161,1250,1532,40,91721,82785,2306,5590,627,530,46,0,0,92300,83958,1203,5891,590,474,8,5521,496,126,165,0,96512,83520,3529,6445,994,1693,81,96512,83520,3529,5710,752,158,27,284,2532,92630,84084,1447,6160,668,314,8,0,0,0,0,0,94717,85527,1707,6164,663,656,8,5796,535,43,8,95469,84967,2457,6277,808,843,22,5797,529,66,22,47096,20731,25291,44157,18303,25854,49630,16414,31004,49128,24008,25120,38557,19739,18099,38105,16941,21164,47939,19755,27373,56691,20133,35687,56607,21493,32895,49063,20201,28331,56662,19011,36796,49814,9546,40257
28,28,113824,94707,5693,11642,1293,787,74,0,0,120959,99548,5417,13264,1934,976,200,0,0,123885,98062,7616,13352,2502,2273,111,121327,99067,5428,13529,2101,1312,74,11134,1774,238,26,984,2674,122654,100063,6225,12801,2747,1089,60,86374,73359,3536,8189,886,565,48,0,0,89634,77362,1510,9256,838,599,69,8888,741,185,108,0,94333,76747,4564,9419,1709,1733,96,94333,76747,4564,8633,1431,140,34,222,2562,89880,77243,1698,9105,901,843,25,0,0,0,0,0,90572,78304,1599,8885,1033,545,0,8081,930,91,0,91197,78014,2748,7716,1278,1416,9,6897,1032,158,9,46935,20970,25160,45429,18894,26535,50918,18061,30565,50565,25242,25323,40676,21144,18823,40318,18232,22086,49769,21501,27384,58365,22628,34764,58248,23718,32512,50731,21938,28184,57107,20699,35479,55227,16805,38422
29,29,138285,134086,850,2210,393,768,51,0,0,127501,122497,1179,2578,506,694,133,0,0,122669,116552,1040,2148,523,2100,70,125641,120571,1244,2595,494,650,47,1728,313,109,0,134,1542,122389,116793,828,2823,411,833,55,107531,104635,499,1474,284,637,38,0,0,99625,96460,520,1641,284,635,15,1417,197,122,89,0,96102,91680,670,1455,370,1675,38,96102,91680,670,1130,296,139,3,96,2088,98210,94960,531,1838,265,518,0,0,0,0,0,0,95355,92190,383,1868,222,663,25,1434,208,83,25,92558,89264,508,1548,312,856,25,1259,199,101,25,49508,18133,30024,48259,11763,36496,51912,9894,40536,49075,18452,30623,33230,14476,18010,32850,13680,19170,45253,13266,31377,52753,10378,41763,52431,12884,37492,44876,13033,31416,49814,8317,40846,39744,0,39744
30,30,123683,119979,849,1730,422,743,39,0,0,116279,112073,1041,1845,557,791,146,0,0,119316,113170,1318,2083,562,2042,88,115511,110462,1255,1917,653,924,107,1309,540,213,70,78,1584,118809,112889,1393,1732,798,1192,132,96017,93285,560,1311,306,582,24,0,0,90545,87900,435,1347,84,598,113,1003,74,231,99,0,93386,88707,952,1573,413,1614,38,93386,88707,952,1198,299,124,13,71,2022,89735,86995,444,1228,59,757,69,0,0,0,0,0,92300,89370,409,1099,372,908,125,901,254,149,125,90787,87462,263,1468,531,925,75,1222,333,123,75,45141,16264,27745,43429,11257,32172,46489,9828,35320,45007,17723,27284,33290,14510,18139,32918,12795,20123,42744,12919,29225,49910,10534,38701,49704,12384,35415,42856,12736,29685,47364,8581,38071,39822,2218,37604
