ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep
10,10,132249,84710,14767,30145,2391,1593,206,0,0,133727,81676,18051,30813,2791,1120,305,0,0,134034,78199,19415,31338,2932,3162,229,133148,81912,17785,29625,2894,1296,210,25556,2103,326,48,716,4700,133940,80440,19514,29762,3179,1748,195,99151,69623,8514,18780,1796,1055,119,0,0,95419,66900,7314,19136,1190,569,59,17932,923,224,249,0,102177,65356,12172,20412,2241,2211,151,102177,65356,12172,18398,1620,287,64,432,3848,95593,67839,7436,18020,1448,694,8,0,0,0,0,0,96189,67058,8601,18148,1535,586,104,16898,1235,96,104,97119,67401,9724,17459,1638,717,85,16035,1151,118,85,56634,37545,18232,50220,30892,19328,51133,28335,19327,50643,29972,17466,50226,30601,18014,48650,25208,23442,42211,27383,13462,48917,29407,17939,51462,30916,19722,51225,25873,23116,49331,29420,19911,45454,27110,17218,30545,16357,13630,30317,16115,13374,30331,17040,12164,30252,17012,13240,46245,26374,19192,48480,27669,20065,48401,26971,20390,48390,27385,19464,47723,27318,20405
11,11,126456,105978,7197,8278,4211,1141,200,0,0,129484,104469,8655,9680,5343,1534,213,0,0,133085,101510,10914,11434,6167,3115,204,130639,104029,9395,10136,5535,1585,156,7098,4628,340,59,518,4581,133036,103962,9435,12279,6093,1654,179,95182,82549,4076,5062,2890,747,112,0,0,94385,81992,3522,5542,2263,944,66,4591,2095,271,161,0,102856,81760,6768,7287,4538,2169,144,102856,81760,6768,6074,3906,282,54,414,3598,95204,81594,4005,6102,2394,890,52,0,0,0,0,0,97890,82570,4527,6833,2748,827,20,5371,2275,164,20,95644,80062,4847,7239,2517,536,52,5924,2057,96,52,56907,27535,28806,53387,21856,31531,54417,20712,30416,54161,22566,28670,53874,22652,29663,52593,16998,35595,45868,22382,22130,53925,22975,29356,58805,25701,32171,58837,20057,35709,57116,24068,33048,51104,21594,28321,37448,14192,22577,37262,13830,22502,37352,15074,20919,37221,14719,22502,53508,22386,30349,56187,23832,31584,56005,22693,32325,56232,23800,30855,55706,23432,32274
12,12,130400,94789,22878,10733,1657,1243,119,0,0,134717,95157,25612,11450,1906,1269,279,0,0,135463,88284,31883,10950,2041,3313,149,135502,95603,26194,11360,2034,1255,234,8530,1246,271,56,226,3374,135668,93876,28806,10131,2189,1355,200,92219,71483,12986,6328,1060,814,78,0,0,88593,72264,8440,6292,916,592,21,5812,717,170,88,0,97415,67831,19651,6741,1356,2371,77,97415,67831,19651,5701,1054,164,27,301,2686,89395,72631,9360,5854,876,651,29,0,0,0,0,0,89836,71870,10557,5654,1071,632,48,5039,853,236,48,88932,69075,11923,5825,1266,782,65,4859,889,306,65,45249,20526,24162,41975,16253,25722,41866,14327,25158,41841,15944,23764,41623,16145,24256,41155,12108,29047,34140,14259,18769,41892,15883,24813,46445,17698,27939,46476,14025,27740,46065,16998,29067,39437,14648,23876,27685,8677,18396,27627,8427,18524,27677,9201,17457,27656,8962,18694,41497,14948,25903,43380,15643,27128,43433,14995,27620,43450,15856,26004,43384,15754,27630
13,13,130906,121392,7190,889,793,747,82,0,0,133271,122038,8040,1099,943,1654,79,0,0,134526,120780,8745,1310,1008,2220,159,133761,122334,8212,1549,1077,1094,99,553,562,51,33,66,1955,134486,121731,8796,1798,1166,1139,194,94181,88805,4008,414,451,542,50,0,0,96335,91554,2990,499,363,893,14,371,258,90,105,0,99191,90264,5451,744,690,1633,102,99191,90264,5451,437,423,163,27,160,2266,97134,92341,2939,699,510,526,35,0,0,0,0,0,98476,92573,3735,779,611,546,65,349,446,76,65,98901,92861,3759,985,485,537,88,366,297,33,88,45594,19053,25543,42692,14499,28193,46147,10854,32630,45569,13774,28506,45379,14933,28761,44215,9838,34377,37234,11392,24368,45652,12751,31395,51336,12921,37478,51070,8805,34887,49671,12954,36717,43027,11519,30434,30830,6929,23029,30642,6575,23171,30688,7661,21690,30597,7353,23244,46838,11808,34142,51133,12639,37679,48958,11243,36520,49219,13021,33421,48815,12792,36023
14,14,127686,88042,9420,26272,3737,1158,167,0,0,132966,89924,12349,24880,6157,963,46,0,0,134535,86260,13078,24522,8706,2530,201,134968,91582,12490,24716,6207,926,76,21121,5715,139,29,216,3664,134836,89317,12902,24692,7504,1096,144,89982,65564,5291,16708,2045,764,107,0,0,89621,67606,4356,15648,1465,568,20,14673,1400,147,79,0,96629,65694,7814,16341,5173,1751,148,96629,65694,7814,14983,4799,181,42,325,2791,90988,68300,4620,15838,1568,618,30,0,0,0,0,0,90595,67211,4843,15684,2295,510,35,14751,2168,42,35,92156,66951,5489,16279,2725,736,31,15034,2617,36,31,49339,25537,23091,46326,21109,25217,45676,16754,26642,45212,18523,24061,45003,19289,24288,44191,15594,28597,37760,15836,20728,45481,18153,26047,50936,19663,30291,50632,15319,29352,49515,19303,30212,42656,16595,25099,29124,9482,18871,28974,9028,19133,28957,10115,17720,28869,9827,19042,44861,16331,27688,48574,17617,30177,46332,15999,29206,47053,17194,27682,46402,17311,29091
15,15,124505,105982,4780,9062,4096,895,139,0,0,131403,107525,6138,11115,5957,1315,158,0,0,138252,107771,7818,13043,6811,2630,174,132408,105338,6898,12000,7328,1060,165,9643,6235,127,33,458,3686,138214,108763,6429,13429,8127,1163,54,92496,81120,2776,5457,2681,603,85,0,0,96331,83136,2992,6579,2767,643,35,6191,2343,134,239,0,104932,85064,4857,8298,4607,1807,112,104932,85064,4857,6988,3979,207,20,406,3411,96313,82251,3051,6896,3313,544,30,0,0,0,0,0,101083,85811,3018,7468,3959,608,18,6509,3542,78,18,102511,85766,3897,7307,4752,671,47,6106,4212,27,47,58046,24185,33398,56411,20240,36171,59377,19637,35934,59138,21581,34238,58815,22308,34805,57238,16844,40394,50515,20560,28335,60309,22849,35517,67931,27385,39031,67764,19254,42127,66519,25639,40880,57346,21804,33987,41438,15350,25042,41098,14120,25857,41156,16159,23433,41015,15600,25415,61239,24426,35606,65888,26834,37930,63945,24463,38029,64139,26067,35665,64322,26395,37927
16,16,127332,110436,5984,6790,3306,1219,135,0,0,131802,111509,6104,9192,4424,1070,268,0,0,137559,110672,8511,10283,5067,3003,181,132492,111767,6501,9049,4159,1312,223,6698,3052,187,19,146,4109,138145,113707,7550,9727,5081,1538,276,95593,85185,3537,4055,2132,843,87,0,0,97568,86895,2939,5176,1713,727,20,4545,1418,229,107,0,105380,87648,5288,6480,3476,2168,113,105380,87648,5288,5315,2975,284,43,341,3486,99400,87601,3456,5431,1855,854,24,0,0,0,0,0,103316,90058,3964,6173,1894,962,90,4989,1504,129,90,105185,89974,4515,6568,2639,1021,123,5221,2165,107,123,55535,24210,30631,53780,19866,33914,56852,18714,34226,56488,20861,31881,56035,21784,32255,54494,16363,38131,48819,19862,27269,57715,21828,33843,65315,25480,38256,64961,17975,39584,63472,24328,39144,55173,20814,32715,41574,14880,25445,41175,13628,26195,41297,15744,23730,41051,15127,25924,60288,23342,35609,65103,25547,38414,63124,23501,37940,63203,24979,35245,63356,25248,38108
17,17,140066,127693,3839,6484,1037,1267,96,0,0,134200,120500,4559,6845,1342,1326,151,0,0,134312,117008,5359,7239,1319,3095,123,133604,119562,4675,6999,1284,1463,146,5249,995,422,68,52,2581,134291,119272,5021,7032,1396,1653,173,108648,100889,2310,3961,689,932,67,0,0,104940,96595,2504,4086,601,1076,45,3684,442,463,88,0,105747,94086,3394,4593,932,2370,88,105747,94086,3394,3777,682,338,30,240,3200,104535,96070,2598,4157,573,1065,75,0,0,0,0,0,104600,96020,2710,4155,590,974,60,3645,415,163,60,103770,94622,2946,3020,674,2406,66,2507,422,150,66,56529,22400,32978,52683,18065,34618,55303,13534,38476,54417,16815,33816,54097,18460,33656,52521,13018,39503,44575,13603,28930,53865,15492,36482,59525,15764,42452,59263,11074,37717,57232,15532,41700,50713,14040,35329,36961,8481,27378,36641,8123,27330,36655,9402,25599,36585,8957,27628,52709,14018,37555,56808,14834,40995,53506,13152,38925,55325,15403,36200,53573,15007,38566
18,18,136183,122225,8344,3402,1097,1415,113,0,0,133711,117549,9466,3839,1637,1248,374,0,0,133344,113357,11106,4016,1497,3226,141,132876,116375,9650,3961,1603,1207,346,2388,995,446,55,170,2777,133632,114954,10550,4147,1589,1593,305,102692,93917,4806,2417,702,1041,66,0,0,99795,92246,3140,2691,563,1090,43,2373,460,555,72,0,102411,89237,6728,2821,1030,2371,86,102411,89237,6728,2334,742,426,16,208,2720,99967,92098,3539,2698,609,959,54,0,0,0,0,0,100539,91914,4500,2677,451,960,4,2058,355,195,4,99650,89781,5531,2552,477,1134,98,1769,264,125,98,57308,22148,33822,51278,16727,34551,54963,11944,39838,54603,16430,34473,54428,18741,33678,52930,12467,40463,44239,13444,28606,53924,14781,37223,59168,14188,43711,59006,10498,36522,57625,14635,42990,50452,13241,35919,35587,7204,27229,35408,6969,27168,35415,8609,25015,35394,7899,27495,53025,12796,39096,56648,12901,42855,55261,12223,41464,55683,14603,36912,55600,14446,41154
19,19,135210,120252,6787,6467,1082,1044,102,0,0,137179,118436,8083,8305,1603,1017,69,0,0,136911,115487,9059,7919,1931,2689,153,136928,118100,7814,8336,1712,1053,68,5328,1281,278,44,229,3864,136167,116491,8984,8293,1241,1508,42,98466,89692,3901,3623,672,736,67,0,0,99335,89189,3977,4796,637,706,10,4250,519,181,54,0,100980,87325,5622,4818,1178,1938,103,100980,87325,5622,3997,920,282,28,203,2603,99030,89482,4129,4215,553,758,15,0,0,0,0,0,98865,88397,4485,4677,530,727,4,3754,362,92,4,98626,87521,4579,4801,866,703,38,3465,503,66,38,56185,24028,31066,52031,19179,32852,54135,14991,35903,53629,18765,31105,53317,20183,31288,51849,14214,37635,44649,15536,27051,53359,17495,34005,58692,17934,39501,58469,12722,35817,57411,18161,39250,50311,15963,33014,36510,9959,25566,36243,9495,25515,36208,11012,23632,36206,10589,25617,52210,15866,35268,56808,16886,38910,52855,15052,36372,55215,17370,34417,52965,17026,35939
20,20,113449,100727,3679,3684,4812,564,135,0,0,128062,111631,4929,4993,5705,741,159,0,0,135503,112104,7163,6269,7285,2121,196,129717,112049,4714,5350,6484,1055,171,3727,5213,342,51,318,3298,135402,113510,5640,7353,7524,977,83,81282,73556,2181,2169,3026,377,81,0,0,91777,82672,2631,3183,2615,515,28,2886,2236,262,125,0,100595,85357,4466,3869,4954,1474,118,100595,85357,4466,3087,4265,98,36,351,2935,93353,83817,2285,3305,3064,708,74,0,0,0,0,0,98175,87536,2589,3935,3510,521,75,3247,2901,109,75,100912,89408,3468,3706,3826,472,9,3035,3280,60,9,52594,19912,32182,56512,18012,38500,63724,22077,36965,63422,21793,38578,63162,23749,37523,61079,18135,42944,55948,23594,30395,66083,25602,38334,76696,33176,41953,76440,21928,46968,73855,29210,44645,63917,25256,36631,50506,19731,28232,50173,18237,29983,50201,21103,24537,50060,19505,30555,70103,29897,38565,76308,33448,41363,70728,28713,40189,75832,33168,40091,70366,31027,39339
21,21,119853,105325,4235,7646,1959,923,87,0,0,129010,110643,5297,9284,3290,896,161,0,0,137404,113570,6465,10682,3558,2691,197,132077,110718,6873,10650,3219,1435,156,8342,2422,300,12,280,3140,139131,114594,8244,11247,3629,2012,158,89016,80161,2460,4636,1240,655,55,0,0,95740,85576,2314,5720,1419,618,14,5319,1180,276,75,0,103799,88322,3985,6620,2422,1977,108,103799,88322,3985,5649,2002,229,37,280,3295,97183,85697,2830,6397,1443,628,8,0,0,0,0,0,103023,89546,3864,6897,1759,751,4,5731,1463,85,4,108297,92896,4145,8293,2004,800,11,6724,1626,46,11,53605,23282,29469,51649,20016,31633,57681,17908,35756,57375,20933,33000,57141,22855,32406,55367,17138,38229,47962,18878,26961,59287,21624,35603,69104,25272,42333,68978,17473,41858,67136,24010,43126,57037,20597,34731,45011,15138,28014,44610,14192,28764,44667,16539,24865,44519,15446,29073,66704,24647,40508,73306,27229,44728,69812,24421,43423,72762,27949,41267,69832,27134,42698
22,22,126684,107136,10684,6212,2095,1016,106,0,0,135412,110668,12516,9101,2716,717,146,0,0,134937,103567,14574,10797,3028,2798,142,135673,109565,12671,9462,3299,885,222,8001,2327,140,0,409,2561,134919,106281,12948,10108,4747,1272,70,95115,83400,6198,3477,1564,718,65,0,0,97685,87122,4155,4957,920,524,4,4795,767,193,70,0,101983,81918,9108,6327,2277,2069,89,101983,81918,9108,5404,1806,215,12,342,3178,97819,86466,4374,5207,1256,540,0,0,0,0,0,0,97106,84551,4935,5294,1647,602,0,5023,1319,79,0,97049,83319,5620,5876,1607,542,4,5459,1335,54,4,52321,27056,24436,45298,20113,25185,51805,18802,28980,51589,21135,26845,51292,22370,26939,49842,18140,31702,41358,18361,20943,52009,21514,28382,58695,24484,32739,58473,18051,33029,57914,24081,33833,48602,20006,26964,31841,12184,18653,31712,11627,18914,31736,12680,17545,31673,12522,19151,51086,21331,28555,55478,23241,31184,53219,21555,30046,53284,22913,27394,53599,23033,30566
23,23,131380,113903,3843,2953,10061,767,127,0,0,139147,113572,5302,4158,15065,1193,195,0,0,133730,105160,6059,4239,15691,2015,2870,140232,114061,5714,4513,14913,993,176,3191,13462,331,79,416,2972,134388,109408,5847,4617,12900,1310,113,107197,92963,2739,2256,8762,578,111,0,0,101616,91530,2552,2661,3773,999,68,2219,3114,472,105,0,108726,85489,4465,2900,13812,1515,2803,108726,85489,4465,2308,10234,223,38,295,5674,103370,92621,2723,2812,4294,800,85,0,0,0,0,0,101430,89321,3219,2975,4829,904,30,2450,4337,164,30,103089,89433,3691,2927,5841,861,25,2361,5246,85,25,53205,26998,25054,43313,18304,25009,47745,16581,27918,47552,19590,25145,47383,21092,24630,45804,16122,29682,39023,16584,20458,47235,18645,26856,51919,19443,31333,51769,14486,30660,50768,19313,31455,44250,17189,25809,31862,11199,19777,31582,10680,19809,31560,11838,18253,31567,11586,19981,46195,16952,28306,49430,17739,30751,47527,16567,29705,48042,17991,27340,48032,17973,30059
24,24,116911,103522,3562,6222,3068,677,150,0,0,128885,109696,5381,9276,4734,505,59,0,0,135845,107760,6578,12492,5864,2635,307,129196,108176,5524,10689,4703,541,53,8548,4016,123,8,159,2640,135670,110214,6157,12830,5234,775,246,85336,77034,2141,3756,1992,470,93,0,0,94460,83775,2584,5332,2219,370,14,5053,2096,152,174,0,101859,83344,4173,7770,4139,1883,229,101859,83344,4173,6931,3527,176,51,342,3315,94282,82663,3051,6132,1917,424,14,0,0,0,0,0,98696,84991,3287,6978,2535,563,4,6424,2310,174,4,103092,85738,4041,9220,3134,826,17,8040,2778,137,17,51309,20834,29766,50761,17369,33392,58350,17755,36658,57513,19452,34980,57157,21569,33776,55309,16093,39216,47770,18432,27495,58828,20944,35911,67391,24926,40890,67091,18150,37506,65476,23693,41783,55248,19733,33707,36771,12502,21904,36595,11786,23234,36618,13505,19359,36523,12662,23861,58780,21917,35263,63895,24116,38707,61256,21873,37571,61740,23728,34610,61778,24086,37692
25,25,136897,118660,4267,12377,874,936,114,0,0,134969,115112,5505,12575,1117,978,91,0,0,135197,111643,6385,12352,1177,3110,126,134633,113863,5866,12586,1174,995,95,10245,662,217,1,411,3370,136034,113755,6404,12697,1215,1247,201,105146,93021,2478,8511,565,694,66,0,0,104051,91996,1994,8812,569,625,4,7876,337,213,101,0,105851,89671,3813,8741,815,2369,82,105851,89671,3813,7853,544,225,28,268,3449,103904,91432,2263,8859,627,684,0,0,0,0,0,0,105511,91988,2935,9100,564,801,20,8205,486,78,20,106475,91954,3543,7961,618,2416,19,6641,529,156,19,59910,30972,27904,53292,24960,28332,56860,19094,34220,56400,22802,29734,56143,24725,29188,54447,18891,35556,46046,19225,24195,53877,21159,30546,54569,20147,33347,54597,14687,31192,53787,21144,32643,50505,19450,29362,37565,12823,22803,37373,12341,23427,37307,14558,19863,37340,13557,23783,54055,19667,33057,58558,20444,37014,57855,19703,36342,58327,21980,32952,57746,22121,35625
26,26,143842,128616,2878,9746,1685,1103,207,0,0,139945,122960,3710,10206,2088,1093,294,0,0,136405,115658,4689,10869,2087,2678,181,139155,121790,3772,10127,2262,1113,183,7760,1687,103,56,527,3460,136742,118749,3993,10011,2397,1256,226,113886,103717,1774,6426,1267,790,125,0,0,111195,100820,1988,6703,785,678,90,6197,596,103,160,0,109274,94678,3135,7514,1533,2012,108,109274,94678,3135,6360,1159,202,40,292,3408,110810,100360,1933,6702,881,728,59,0,0,0,0,0,109505,98754,2408,6567,823,833,39,5657,640,64,39,108796,97386,2759,5514,991,2016,14,4501,730,60,14,61125,33233,26704,53851,26411,27440,56033,20599,31780,55153,23808,27968,54837,25816,26871,52988,20044,32944,45814,20626,22584,54774,22775,29853,59259,22987,35139,58943,17501,34228,57659,22831,34828,51275,20901,28836,36964,13293,22397,36650,12740,22631,36649,14469,20058,36649,13835,22814,52612,20530,30987,56283,21197,34075,53606,19760,32334,54232,22844,28847,54174,22024,32150
27,27,137827,127274,2665,5964,1062,1050,185,0,0,133122,121567,3090,6384,1464,1148,104,0,0,134364,119904,3640,6364,1474,2511,132,132722,120829,3278,6469,1449,1263,49,4338,1142,145,8,256,2723,134310,121383,3541,6724,1538,1784,89,106019,99093,1552,3986,726,780,137,0,0,103520,96615,1485,4123,605,673,10,3561,507,177,104,0,105338,95440,2251,4247,1042,1910,87,105338,95440,2251,3387,779,185,16,291,2989,103060,96225,1652,4089,378,761,8,0,0,0,0,0,104104,96925,1493,4057,579,949,4,3224,448,54,4,104026,96407,1568,4323,830,838,0,3134,597,51,0,59232,26512,31347,51874,20622,31252,55032,15146,37010,54858,18463,32798,54687,19336,30551,53017,14827,38190,42380,14261,25942,53600,16793,34535,58571,16859,40570,58428,13115,36800,57279,17176,40103,50154,15229,33187,36527,9586,25534,36335,9103,25751,36326,10542,23208,36293,10062,26231,53597,15350,37141,57302,15774,40606,56169,15019,39387,56503,17470,36199,56048,16674,39374
28,28,125121,109131,4398,9551,1512,814,98,0,0,131634,111064,5421,12401,2066,637,159,0,0,137103,110357,7340,14306,2300,2757,198,132035,111669,4909,12677,1998,706,169,11471,1268,17,8,164,2531,137782,112581,7163,14485,2317,846,26,92710,82929,2601,5763,989,559,61,0,0,98233,86541,1958,8045,994,533,15,7417,789,23,143,0,104336,86834,4456,9312,1602,2029,113,104336,86834,4456,8431,1080,192,39,245,3059,99723,87364,2145,8514,952,626,4,0,0,0,0,0,102887,88755,2759,9207,1478,606,15,8496,1121,110,15,104558,88508,3179,10610,1409,689,22,9857,949,49,22,55572,22720,32064,52695,18559,34136,58412,17290,37288,58162,20130,34210,58010,22491,33464,56509,16247,40262,47854,17708,27975,58892,20407,36330,66638,22766,42393,66496,16308,37844,65006,22361,42645,55340,18981,34433,37139,11731,22863,36916,11030,24057,36945,12866,20070,36803,11954,24849,61083,21560,37662,66747,23529,41997,65315,21893,40795,65839,24198,37190,65262,24639,40623
29,29,116538,81644,7752,20235,6712,700,132,0,0,128009,84023,8975,24162,10506,1203,197,0,0,137827,83039,12044,28956,11829,2019,154,128100,85051,8211,23838,10692,1120,183,20898,9066,244,44,490,4104,134293,85956,10076,25920,11901,873,233,84662,61921,4790,13390,4337,486,84,0,0,87891,64299,3146,15084,4605,489,21,14164,4307,281,260,0,103163,65585,7952,20213,7903,1465,97,103163,65585,7952,18823,7247,126,21,411,2998,88344,65535,2868,14464,4657,539,20,0,0,0,0,0,93199,67071,4068,15425,5818,471,60,14743,5455,66,60,93857,66371,5028,15766,5996,669,25,14633,5473,39,25,55101,27383,27250,54972,24843,30129,59933,29216,26557,59806,28021,29205,59629,30000,28162,57938,24902,33036,52315,28928,21966,61125,31699,27682,68283,38605,28384,68499,27930,36029,67260,35437,31823,58447,30737,26142,43937,22251,20059,43669,21166,21214,43723,23521,16997,43593,22235,21358,60932,33534,26187,64157,36086,26879,62334,33077,27913,64231,35495,26989,62386,35548,26838
30,30,129359,78199,12496,34218,4426,1008,153,0,0,134354,80063,11333,38904,4744,1122,117,0,0,134962,73953,14055,40059,5406,2442,194,135679,79188,11245,40642,4932,1020,180,35876,4068,137,6,814,4347,132842,75061,10783,41517,5011,1140,140,101637,66714,7997,23510,3257,742,92,0,0,99594,66649,4256,26072,1945,510,4,25132,1646,94,357,0,107614,64012,9212,28852,4120,1812,137,107614,64012,9212,26782,3425,163,38,537,3445,101128,66970,4394,26830,2051,450,4,0,0,0,0,0,100519,63924,4305,29175,2277,526,25,27853,1916,41,25,97460,61274,5055,27630,2581,533,21,25672,2080,29,21,65767,40579,24678,62435,37394,25041,64021,40093,19446,63993,38689,22174,63906,41215,21134,61974,35827,26147,56356,38717,15882,64003,42160,19872,68123,47906,18966,68612,37830,26965,68083,46341,21742,60362,40414,18292,42156,28153,12680,42035,27190,13665,42057,29338,10087,41989,28162,13827,59206,41297,16833,60839,43047,16750,61217,41872,18090,61391,42888,16987,61127,43796,17331
31,31,114451,94859,3912,9284,6080,514,111,0,0,131682,105791,5114,12275,8830,444,182,0,0,136860,103138,7044,13430,10902,2056,172,133829,107899,5049,11718,8896,494,197,9325,7524,9,83,611,3328,136910,110145,4531,10773,10018,669,210,79471,67297,2268,5801,3841,338,69,0,0,92495,77512,2886,7843,3932,230,49,7181,3536,12,140,0,100349,78006,4296,8954,7334,1419,111,100349,78006,4296,7830,6528,117,32,332,3208,94016,79386,2520,7851,3904,227,79,0,0,0,0,0,96077,81528,2381,7410,4316,275,84,6886,3782,0,84,97191,80949,3481,7574,4746,312,114,6534,3959,11,114,58320,24482,33444,58366,21318,37048,65678,26671,34246,65488,25932,36827,65304,27760,36013,63355,22081,41274,57736,28011,27913,68075,30355,35720,78283,38866,37894,78373,26827,45519,76357,34888,41469,65654,29806,33935,51316,22900,26250,51039,21646,27771,51093,24279,22659,50951,22875,28076,70331,34515,34341,75202,37870,35899,70915,33679,35667,75218,37751,35319,70815,35944,34871
32,32,116869,99718,4910,7553,4068,793,113,0,0,124858,98661,7558,12355,5812,705,69,0,0,137659,100407,8706,15237,10198,2908,222,128426,97046,8876,13877,7773,721,35,12134,6911,205,2,288,2960,136811,100662,8864,16024,9836,1599,33,84965,74692,2798,4284,2775,542,75,0,0,87451,75101,2779,6300,2655,567,24,5824,2456,231,48,0,101753,77910,5304,9123,6991,2151,158,101753,77910,5304,7945,6355,187,63,378,3611,89524,73930,3646,7883,3503,593,8,0,0,0,0,0,95910,77474,3913,9644,4177,687,0,8944,3620,65,0,96541,74884,5405,10763,4528,888,0,10034,4142,43,0,47552,20427,26590,46565,17628,28937,53482,17924,31894,53252,19587,30435,53105,21504,29803,51712,16998,34714,43191,17904,23659,53697,20967,30861,60240,24541,34472,60344,18619,32713,59299,24340,34959,50435,19813,28991,33816,12788,19104,33685,12164,20043,33669,13657,16854,33610,12969,20641,53695,22028,30313,58145,23755,33435,55992,22342,32061,58042,24232,31070,56074,24397,31677
