ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
30,D30,163193,73943,20065,46016,21870,1506,533,0,0,182639,82842,25578,51142,25958,1688,199,0,0,184255,85477,24771,46645,28608,2118,334,183836,83517,25147,52101,26572,1782,270,41358,24604,482,37,6925,180328,82486,25528,51453,25167,2054,367,133981,67147,14117,33543,17721,1086,427,0,0,132814,73260,14220,30349,14079,768,50,29396,13568,328,50,313,0,156555,78435,18257,35775,24133,1632,281,156555,78435,18257,26505,22584,245,45,7742,134365,74044,14004,30681,14707,976,35,0,0,0,0,135093,73928,14179,30854,14952,1164,125,29241,14063,421,125,139623,75892,14476,31364,16688,984,132,29815,15676,317,132,64890,49322,14772,70634,54931,15703,41388,32558,8830,45395,28549,15272,79160,61908,12809,63577,48599,13096,63255,28382,34666,62143,52138,9887,59500,44975,10333,61263,50363,7788,59855,48594,9125,72952,54185,17370,86207,68159,16403,83743,65949,17393,78037,56761,18851,75942,54611,21101,70406,60201,9088
31,D31,162560,151365,2740,2972,3596,819,135,0,0,170748,155032,3851,4613,6031,592,195,0,0,172503,150842,4906,5313,7021,1481,173,172002,155489,4141,4551,6411,498,196,3710,5440,56,54,2159,172062,152588,4717,5437,6881,703,122,123300,115933,1670,1913,2316,581,85,0,0,129440,121095,2138,2717,2918,422,20,2386,2788,59,20,125,0,136418,121254,3255,3606,5018,1074,133,136418,121254,3255,2447,4378,121,24,3755,131835,123145,2436,2868,2901,344,20,0,0,0,0,131770,122220,2848,2687,3477,460,59,2163,3185,79,59,134565,124176,3124,2375,4399,450,37,1971,3888,72,37,92765,48578,42760,95852,47953,47899,67429,35418,32011,69816,25491,41236,99641,52759,39174,84736,42564,39665,83058,19982,62787,84082,54015,30014,81290,45689,31235,83259,57035,24207,81528,50916,28678,95352,50346,42900,111422,68306,40608,110137,64398,45251,107595,62388,42477,106738,56006,50566,104950,65293,39579
32,D32,159239,120522,4547,7569,24921,876,163,0,0,163339,116199,4932,9259,32035,670,252,0,0,172439,111751,8062,12571,36021,1551,210,163697,114023,5799,10594,32713,1130,255,7635,30595,234,132,4203,171044,115176,7790,12637,34272,1261,223,128094,98773,3191,5310,19409,615,124,0,0,118854,94195,2652,6024,15455,305,70,5507,14942,59,70,230,0,142197,94981,5946,9331,28749,1151,160,142197,94981,5946,6976,27848,148,26,4595,118841,93055,3542,6187,15395,495,65,0,0,0,0,124822,95496,4860,7125,16567,574,40,6385,16062,75,40,126407,92862,6770,6958,19070,586,12,6307,18479,151,12,73710,40009,32337,74891,42573,32318,50732,30020,20712,52797,21704,28538,78116,43167,30169,64489,33864,28693,63114,17999,44813,63603,42940,20618,61293,36553,20785,62995,45205,15649,61490,40568,18740,73278,40618,31204,86489,52737,31793,84679,52979,31060,82084,45655,34190,80686,43697,36754,78968,51797,26990
33,D33,155845,122591,5133,18346,8609,933,244,0,0,162318,118943,6251,23060,13456,1235,203,0,0,169378,115019,9379,27222,14513,1672,179,163384,116409,6789,24173,14643,944,370,20794,12881,239,54,4380,168262,115691,7475,26900,16508,1032,497,121304,97692,3538,12979,6074,668,166,0,0,120963,94757,4047,13660,7531,816,40,13077,7192,280,40,279,0,135132,94701,6556,20582,10648,1274,138,135132,94701,6556,17026,9920,191,26,5030,122070,94307,4095,14509,8180,626,45,0,0,0,0,125684,94839,4814,16103,9042,622,20,14751,8532,168,20,125801,92347,5661,16665,10266,636,72,15405,9754,203,72,79041,44065,33724,78697,43481,35216,54122,31663,22459,56517,23781,30480,84175,47554,31046,68713,37662,28986,67437,19289,47928,67825,45927,21854,65213,40957,20997,67038,47978,17205,65573,43326,20660,78663,44656,32400,93515,58970,32593,91349,58524,32174,88913,52362,34396,87219,49181,37870,82864,56349,25958
34,D34,157924,92903,11032,41429,4757,1439,589,0,0,163425,81086,12962,56084,4764,1183,112,0,0,172727,78926,15926,64316,5560,2340,334,163354,79457,14225,57361,5091,1456,182,48411,4180,409,61,8026,171968,80595,16230,63100,5647,1494,166,118509,74580,7035,27784,3389,1002,402,0,0,112378,68773,7771,31932,2865,838,15,31367,2686,471,15,213,0,133529,66025,10834,46102,4225,1704,243,133529,66025,10834,32362,3678,245,29,14331,110374,66361,7686,32274,2994,897,25,0,0,0,0,118014,69195,8754,35661,3434,877,0,34757,3199,296,0,117246,66016,9242,37286,3511,958,17,36101,3169,155,17,65726,40239,24431,66134,42134,24000,42171,26886,15285,43841,21634,20147,71303,42509,24520,55291,31887,22010,54155,19194,34831,54470,37867,16588,52917,34448,16166,53911,39489,12935,53159,36273,15563,64691,39024,24502,77772,51193,25093,75998,51574,23957,72859,43749,27556,71442,43103,28257,69123,47120,21653
35,D35,170558,148992,5579,6258,8911,958,188,0,0,177278,147661,9008,8319,12232,666,215,0,0,181920,143034,9216,11832,14666,1927,202,178521,147820,8750,8726,12823,883,200,6226,10982,153,39,3609,181384,146153,8885,10644,14391,1108,117,128201,114021,3583,4048,5878,675,130,0,0,132015,116620,4445,4687,5691,362,30,4197,5439,85,30,165,0,143407,116529,6193,8132,10085,1405,128,143407,116529,6193,6341,9252,140,18,4066,133900,117755,4508,4903,6044,421,40,0,0,0,0,135715,117505,5027,5436,6880,495,40,4934,6267,89,40,136886,115062,5552,7472,7909,513,86,6666,7244,86,86,84347,46000,36877,87685,46361,41324,56367,30429,25938,58295,22189,33530,91918,48670,36127,74176,39530,31827,73270,19591,53552,73566,47804,25738,70764,41832,24728,72622,49263,21370,71393,45237,24180,86256,46717,37470,103705,63067,38131,101630,61557,39394,100401,56689,40878,98692,53101,45456,76913,70438,4322
36,D36,169438,152171,4983,6892,2107,1334,228,0,0,177734,152504,8142,9440,3211,1324,586,0,0,181988,150220,8204,13381,3604,2671,219,178985,152148,7774,9435,3373,1260,1022,5895,2211,71,120,6848,181906,150987,7910,11521,4058,1677,995,130768,119536,2916,4331,1391,918,169,0,0,136610,124615,4321,4818,1911,706,170,4129,1487,29,170,110,0,145719,124062,5132,8805,2524,1939,163,145719,124062,5132,5165,1963,252,28,6860,139695,126975,4459,5146,1942,648,265,0,0,0,0,142475,127390,4678,6727,2144,766,260,5938,1715,107,260,144447,128600,4974,7577,1829,1029,200,6470,1505,134,200,80705,43201,35901,78794,41882,36912,51461,27126,24335,53264,20559,29768,87551,39858,41052,68650,31503,34793,67455,16353,50893,67789,37973,29779,65302,34303,27437,66937,40581,24517,66338,34273,30489,80819,37855,41015,98533,50560,45591,96170,50870,44175,100352,46820,51555,98280,44577,53621,79243,58079,20139
37,D37,163123,145645,7305,5453,3358,1072,229,0,0,166297,142750,10566,8044,2601,2301,145,0,0,172232,138850,14267,10528,4191,2328,275,166958,139781,10959,10473,3687,2562,93,5453,3128,205,0,6523,171943,139440,13086,12274,3893,1988,231,128381,117712,4168,3113,2182,700,158,0,0,125705,113275,5814,3604,1563,1612,0,2774,1348,128,0,135,0,137866,115733,9001,6521,3024,1677,196,137866,115733,9001,3604,2497,216,27,5549,126365,112165,6003,4465,2378,1790,0,0,0,0,0,129115,114175,6368,5032,2500,1291,0,3688,2191,160,0,128331,112481,7065,4862,2950,1181,11,3613,2608,86,11,71804,45495,24810,67799,42876,24923,40803,24841,15962,41889,20237,19551,72726,36548,31818,52661,26897,23992,52010,14610,37288,51893,30551,21291,50222,28198,19095,51374,31822,18040,50835,28731,20724,64280,32033,31007,79980,40910,37500,77361,42553,34226,79992,36451,41987,77857,35957,41807,57933,49616,7443
38,D38,161325,126123,17095,10666,2288,2509,412,0,0,162353,117985,21712,11409,3835,1116,200,0,0,167853,116080,26791,16620,3018,3497,262,162452,116316,23250,12691,3742,1729,168,7039,2790,77,18,6457,165956,117044,25402,13723,4046,2904,314,127077,103469,10653,7184,1638,1799,307,0,0,121090,100355,10570,7588,1959,632,15,6377,1621,34,15,195,0,134084,98053,17383,11667,2260,2433,195,134084,98053,17383,4608,1755,302,36,8533,120545,99085,11354,7703,1742,717,10,0,0,0,0,122295,100085,11978,7213,1740,882,65,5997,1459,183,65,122123,97449,13172,8043,1998,1064,39,6559,1589,177,39,68077,46031,20834,67841,46533,21308,37118,25519,11599,37947,20294,15532,68041,38188,25543,51055,28787,20432,50213,17423,32634,50423,32503,17888,48792,29893,16030,49845,33057,15112,49367,30552,17470,60505,33602,25687,73083,41546,30195,71288,43284,27458,73687,37257,35038,71879,37299,34468,70278,39298,30712
39,D39,175720,163086,2909,4003,2580,2047,183,0,0,180314,164284,4363,4711,3973,2258,42,0,0,184504,163696,4638,5500,3627,3036,210,181554,165505,4437,4650,3759,2127,9,2452,2459,874,0,4273,185295,166672,4671,4764,4557,2516,274,137967,129343,1901,2705,1646,1414,112,0,0,145095,136260,2687,2506,2053,1504,0,1913,1660,895,0,168,0,152725,137979,3149,3698,2598,2152,174,152725,137979,3149,2178,1953,639,33,5210,146870,137665,2902,2787,2107,1520,0,0,0,0,0,150590,140705,2975,2731,2399,1548,70,2000,1802,529,70,152352,142501,2935,2955,2132,1609,67,2092,1262,466,67,96552,51141,43853,94773,48256,46517,69860,35472,34388,71655,27362,41176,104557,51272,45735,89730,43255,43566,88057,20556,67141,89259,52029,37197,86392,45962,35875,88225,56796,29282,86864,50495,34114,100736,50056,48527,117860,67306,47882,116339,65927,49720,120675,65349,52705,119358,59636,59548,117817,65594,52161
