ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
50,50,85086,81111,1693,473,896,926,117,0,0,89963,84846,2174,673,1230,1083,63,0,0,93139,84890,2808,926,1241,2255,152,91181,85876,2446,621,1062,1150,111,333,650,306,74,36,1459,93269,87820,2373,518,1265,1199,23,62466,60037,1028,234,539,596,71,0,0,68359,65308,1251,373,668,651,15,278,500,153,61,0,72160,66588,1836,515,843,1645,109,72160,66588,1836,316,554,215,60,187,2404,69782,66622,1394,364,565,790,35,0,0,0,0,0,72734,69352,1551,347,800,725,0,281,445,189,0,74277,70753,1708,387,808,649,0,209,472,153,0,44000,18348,24774,42815,15925,26890,47443,14030,30914,43095,15531,26841,43385,16381,25783,42252,14041,26226,48561,16561,30704,58345,20084,37318,57603,19501,37171
51,51,87966,82601,2201,1193,1244,876,38,0,0,93291,86205,2921,1483,1872,856,45,0,0,91507,81444,3123,1882,1902,2086,63,93283,86422,2649,1358,1707,881,41,935,1181,140,0,62,1896,91678,82858,2761,2054,1753,1041,29,66140,62910,1256,679,767,588,20,0,0,71074,67406,1272,843,979,530,0,737,745,168,30,0,72488,65560,1960,1215,1323,1564,52,72488,65560,1960,908,980,200,16,218,2646,71499,67720,1373,779,920,527,0,0,0,0,0,0,70415,65944,1648,1318,850,652,0,1194,608,110,0,70983,66114,1746,1576,914,565,7,1276,666,74,7,48660,21095,26663,47827,18934,28893,50298,16875,30766,46109,18622,26761,46183,19285,25693,44810,16833,26053,50926,19678,29929,59749,23811,35057,59014,22782,35275
52,52,88849,79640,4271,2638,1740,879,74,0,0,91682,79872,4285,4651,2398,969,73,0,0,91098,77384,5252,3648,2331,1969,57,90763,76615,5107,4847,2513,1112,72,3598,1941,285,23,904,2290,89581,74785,5281,5306,2407,1180,87,67328,61557,2540,1618,1123,606,38,0,0,70768,64052,2026,2605,1428,530,25,2377,1144,193,80,0,72818,63241,3506,2442,1593,1505,44,72818,63241,3506,1939,1190,167,21,207,2547,70547,62662,2662,2867,1552,666,25,0,0,0,0,0,69575,61445,2623,3316,1405,606,15,2963,1119,205,15,70042,61590,3392,2648,1573,659,47,2203,979,164,47,48942,22303,25716,47191,19950,27241,49555,17659,29112,44951,19063,25112,45017,19694,24039,43588,17210,24497,49610,20101,28147,57938,23942,33058,57293,23390,32991
53,53,91496,41476,12217,35821,2469,1390,123,0,0,93211,39861,14330,37044,2452,1973,143,0,0,93056,37975,16376,35396,2700,2281,101,93535,39828,14073,36268,3189,1859,82,31968,2584,331,0,577,4175,94613,39289,15530,35944,3671,1119,283,67706,34072,7380,24442,1663,965,72,0,0,65400,32915,5730,24686,1124,1058,80,23309,872,337,309,0,71476,32915,10519,25083,1998,1693,81,71476,32915,10519,23291,1679,201,19,270,2582,66198,32875,5810,25048,1666,964,40,0,0,0,0,0,67780,33568,6556,25085,1878,572,30,24083,1749,178,30,68126,34117,6860,23876,2260,657,6,22432,2014,124,6,38688,28549,9568,36682,27267,9415,35056,23036,10517,29421,19892,8798,29469,20393,8192,28735,19059,8385,33737,22612,10186,40374,26860,12922,39991,26470,12556
54,54,84349,67078,3533,7472,6075,606,66,0,0,90821,68889,4514,7584,9411,699,118,0,0,92949,68469,4793,7655,10106,1492,77,92201,68274,4989,7981,9482,909,124,6742,7987,229,45,1086,2849,93004,68441,5072,7597,10138,1185,46,63859,51782,2160,5255,4449,407,53,0,0,65063,53513,2062,5416,3614,333,35,5184,3212,164,133,0,73853,55629,3199,5862,7633,1105,54,73853,55629,3199,5134,7043,114,22,308,2404,66308,54099,2565,5707,3364,386,45,0,0,0,0,0,67569,54906,2584,5896,3633,563,0,5172,3334,155,0,68118,53946,3248,5721,4579,511,4,4859,4128,80,4,46944,22420,23805,47317,21118,26199,47912,21034,24563,44622,21410,22644,44721,22046,21655,43488,19786,22101,48768,23239,24428,56417,28332,27231,55968,26902,28409
55,55,85764,69788,2560,4151,8972,524,36,0,0,89515,70192,4187,4065,10902,424,32,0,0,91805,67646,4303,3985,13864,1309,81,90092,69847,4598,3995,11256,397,34,3023,10327,97,0,60,2141,91439,69617,3701,4188,12506,631,2,65183,54419,1612,2850,6063,353,27,0,0,63166,53956,1686,2955,4298,244,0,2674,4035,72,70,0,71848,54587,2857,2955,9936,954,55,71848,54587,2857,2523,9425,99,8,218,2131,62432,52996,1759,2839,4575,231,0,0,0,0,0,0,63865,52952,1839,2752,5975,285,0,2285,5626,38,0,64765,52600,1649,3020,6982,347,12,2480,6409,60,12,47529,22637,24194,48035,21519,26516,48035,21258,24507,44076,21632,21908,44173,21995,21273,42914,19484,21914,48196,23203,23975,55480,28132,26670,55041,26774,27673
56,56,84594,65977,1856,3331,13007,536,93,0,0,88188,63461,2324,3428,18469,528,194,0,0,90410,61232,3060,3909,20640,1135,78,87271,61967,2475,2935,19293,393,238,2592,18096,65,19,226,1829,88875,61050,2641,4056,19877,659,162,66042,53098,1241,2314,9085,371,64,0,0,61743,50417,1083,2430,7286,363,74,2234,6931,107,123,0,71737,50886,2107,2885,14660,813,58,71737,50886,2107,2465,14066,59,22,180,1952,61621,49887,1276,1969,8034,280,114,0,0,0,0,0,63381,49689,1402,2746,8994,366,10,2517,8481,73,10,62811,48365,1480,2861,9572,352,47,2592,8987,81,47,47503,24640,22107,46985,23267,23718,46538,23155,21005,42660,23472,18673,42815,23878,17986,41579,21369,18527,46689,25331,20283,53733,30866,22182,53336,29346,23385
57,57,86780,69299,1729,4385,10820,512,258,0,0,87644,68291,1756,4677,12675,877,0,0,0,89693,66921,2332,5472,13545,996,86,88473,69471,1462,4086,12876,635,5,3192,11730,187,1,424,2004,89994,68715,1579,4352,13915,587,34,67204,54987,1102,2871,7823,338,192,0,0,61620,50819,912,3109,6481,178,0,2840,6045,74,160,0,71864,54770,1629,3905,10478,728,53,71864,54770,1629,3512,9688,100,5,188,1972,63173,51982,780,2687,7399,219,4,0,0,0,0,0,64923,52564,837,2952,8073,319,4,2683,7438,45,4,67582,51469,1122,4681,9388,438,112,4314,8826,163,112,39081,20419,18028,37807,19161,18646,37676,16628,19628,31686,16298,14926,31725,16290,14710,30973,14818,14986,37149,17694,18691,46017,21119,24458,45114,20959,23431
58,58,86210,73337,1994,5877,4425,673,124,0,0,88521,72446,2104,7141,6382,333,193,0,0,90454,70708,2460,8603,6743,1388,97,88048,70362,2698,7646,6537,554,109,6609,5436,104,90,95,2655,90908,71687,2106,8211,7190,920,60,67928,59072,1299,3942,3154,480,91,0,0,64227,54933,905,4853,3127,185,105,4526,2774,84,79,0,73423,58666,1771,6334,5130,1045,70,73423,58666,1771,5771,4455,113,11,257,2379,65407,55077,1375,5368,3277,350,90,0,0,0,0,0,68866,57649,1063,5995,3635,554,55,5471,3050,160,55,68473,56521,1401,6336,3598,559,8,5624,2905,88,8,43087,22781,19431,42092,22046,20046,41559,17731,21852,35406,18182,16616,35488,18434,16105,34446,16377,16537,40437,19299,20086,48424,22504,25253,47535,22549,24044
59,59,80100,73266,1586,1949,2845,499,75,0,0,88193,79831,1828,2106,4109,371,166,0,0,89336,77696,2602,2993,4197,1183,71,88784,80377,1658,1788,4255,388,135,1347,3322,45,0,191,1845,88200,78250,2401,2015,4313,417,106,60308,55901,971,1234,1889,329,49,0,0,65029,60402,1076,1201,1955,293,0,1072,1726,28,124,0,70271,62088,1755,2110,2965,859,53,70271,62088,1755,1815,2516,86,11,132,1868,66663,62034,1027,1230,1919,300,0,0,0,0,0,0,66458,61245,1386,1394,2040,276,45,1334,1820,70,45,67420,61559,1848,1322,2098,444,196,1208,1851,71,196,41531,17972,22864,43807,17400,26407,45839,14599,29515,40175,15890,23861,40238,16088,23366,39157,14012,23847,45741,16606,28288,55197,19604,35018,54392,19505,34167
