ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC1_Total,E_22_SC1_Dem,E_22_SC1_Rep,E_22_SC2_Total,E_22_SC2_Dem,E_22_SC2_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
43,43,27967,15959,10029,225,1328,723,46,0,0,28122,16061,8942,420,1552,1510,90,0,0,29547,15734,10777,419,1686,1154,61,28592,15767,9662,327,1763,1375,86,168,1114,975,0,892,29347,15522,10365,631,1719,1795,125,20731,12755,6614,133,891,473,26,0,0,19841,12805,5221,142,759,851,0,110,554,713,0,55,0,22757,12869,7653,285,1212,819,40,22757,12869,7653,151,1016,241,18,679,19849,12556,5909,116,735,492,0,0,0,0,0,20376,12464,6554,189,604,532,0,153,486,414,0,20708,12920,6568,51,643,324,17,28,458,161,17,13191,7214,5757,12731,7141,5590,13926,7433,4197,13364,7762,5602,13014,7538,3091,12944,7895,5049,12793,8218,3596,14536,8690,5075,15903,9936,5436,15900,9311,6092,14541,8679,5207,12899,7946,4740,12783,8107,4676,12028,8169,0,12829,8104,4274,12618,7789,4829,12853,8363,4490,12619,7734,4885,12578,7969,4609,14912,9120,5421,15971,10009,5462
44,44,29064,17189,9816,733,597,1201,59,0,0,31157,16728,11966,771,746,1337,0,0,0,30538,16482,11068,908,789,2020,113,31107,15728,12965,817,891,1530,1,486,599,721,1,478,30582,15972,12338,920,548,1607,1,23176,14749,6922,515,404,840,40,0,0,25212,14622,8948,562,330,715,0,479,245,535,0,10,0,25400,14694,8338,646,610,1483,68,25400,14694,8338,409,395,658,21,735,25017,14012,9558,487,334,668,4,0,0,0,0,24724,14499,8666,552,235,759,4,456,202,557,4,24871,14603,8713,473,264,782,0,397,230,607,0,15934,8570,7310,14188,7215,6973,15425,6995,6529,15010,8042,6968,13947,7172,4485,13920,7578,6342,13869,8508,4766,16090,8366,7128,17858,9507,7944,17823,8831,8578,16340,8257,7552,14684,7499,7037,14610,7923,6687,13456,8180,0,14632,7941,6335,14470,7573,6897,14593,7787,6806,14466,7415,7051,14457,7621,6836,16750,8689,7784,17821,9484,7947
45,45,27196,8502,17345,420,595,873,57,0,0,28054,9135,17340,679,602,849,189,0,0,29916,9258,18448,528,864,1519,79,28477,8946,17833,805,684,953,159,447,322,294,79,494,30551,9740,18477,767,1072,1274,52,20097,7420,11693,278,415,590,36,0,0,19304,7962,10331,347,249,384,0,340,160,288,0,4,0,23298,8248,13348,367,635,1133,61,23298,8248,13348,227,490,387,9,450,19944,7974,11008,330,333,327,0,0,0,0,0,21279,8993,11087,328,437,458,0,286,312,346,0,21794,9271,11263,219,514,511,5,172,412,383,5,5763,4657,1058,10285,8082,2203,11382,8163,2182,10944,8492,2452,10694,7959,1301,10679,8518,2161,10614,8671,1512,12145,9281,2520,13524,10357,2933,13439,10010,3169,12349,9321,2754,11295,8625,2584,11215,8773,2442,10797,8876,0,11245,8730,2305,11154,8382,2772,11269,8917,2352,11136,8536,2600,11115,8741,2374,12832,9689,2963,14184,10414,3421
46,46,28661,11028,15186,313,349,2533,80,0,0,28427,10478,14640,417,402,3311,17,0,0,30811,12590,14664,379,533,3427,82,29443,10977,15026,384,283,3655,15,119,182,2769,2,302,30742,11157,16223,341,386,3297,64,23091,9994,11325,222,254,1697,53,0,0,22825,9723,10595,171,267,2089,4,144,167,1915,4,20,0,26115,11741,11642,289,430,2432,63,26115,11741,11642,156,257,1554,16,605,23879,10564,10749,158,199,2244,4,0,0,0,0,25072,11003,11786,153,272,1865,4,135,200,1657,4,25510,12355,11135,157,303,1585,0,101,191,1448,0,7703,6361,1229,14032,11176,2856,14988,10978,2633,14350,11298,3052,14213,10742,1745,14218,11420,2798,14044,11492,1904,15720,12246,3039,17174,13490,3427,17098,13025,3756,15783,12154,3286,14378,11102,3173,14302,11323,2979,13757,11490,0,14294,11167,2949,14223,10487,3736,14356,11478,2878,14148,10852,3296,14127,11175,2952,16196,12500,3507,17344,12949,3986
47,47,26994,18012,7400,317,692,836,52,0,0,28927,18083,9075,302,1048,716,9,0,0,29895,19138,8321,444,999,1150,70,28600,18256,8589,321,938,635,9,183,799,303,5,464,29628,18947,8878,306,770,803,10,23184,16217,5704,217,516,673,36,0,0,23520,16330,6209,132,389,425,4,93,339,258,4,30,0,26241,17727,6491,322,787,937,52,26241,17727,6491,188,593,267,8,762,23707,16613,6206,129,323,388,4,0,0,0,0,25253,17541,6792,108,320,462,0,102,242,295,0,26785,18969,6448,250,346,694,65,202,198,468,65,9573,7988,1505,16664,13031,3633,18062,13846,2934,17420,14039,3381,17344,13760,2035,17316,14224,3092,17145,14149,2354,18804,15106,3257,20236,16502,3426,20124,15945,3839,18928,15199,3370,17656,14449,3148,17604,14543,3061,17055,14512,0,17626,14566,2840,17520,14088,3432,17693,14744,2949,17503,14246,3257,17479,14420,3059,19347,15656,3485,20508,16533,3574
48,48,27839,8588,18056,435,363,1038,74,0,0,30252,8755,20525,394,339,715,48,0,0,30197,10122,17767,631,699,1545,76,30248,9388,19491,555,523,602,155,353,422,183,108,208,29903,9293,18772,552,554,1125,174,21739,7702,13111,308,268,766,54,0,0,20000,8054,11369,134,143,244,40,120,110,210,40,0,0,24525,9233,13448,453,535,1196,56,24525,9233,13448,266,363,414,12,634,20313,8510,10943,249,235,223,145,0,0,0,0,20636,8326,11136,298,276,417,125,247,236,259,125,21476,9008,10839,492,365,666,61,445,271,415,61,5687,4924,708,11103,9274,1829,11933,8955,1851,11492,9281,2211,11047,8689,1117,11015,9244,1771,10951,9315,1248,12509,9995,2145,13809,11030,2523,13727,10712,2701,12518,9901,2296,11057,8935,2025,11023,9042,1981,10692,9028,0,11022,8946,1880,10947,8730,2217,11067,9212,1855,10912,8787,2125,10910,9028,1882,12870,10185,2492,13941,10636,2966
49,49,29836,15172,13406,462,178,1122,37,0,0,27836,13409,13344,502,249,959,13,0,0,28547,13692,12973,525,330,1540,58,28360,13239,13824,555,272,863,11,448,216,204,0,388,28282,13147,13462,791,194,695,8,23141,12934,9269,301,122,784,21,0,0,21355,11459,9031,307,101,414,0,292,101,307,0,48,0,22920,12052,9368,341,249,1175,42,22920,12052,9368,209,132,379,13,665,21219,11453,8996,465,159,232,0,0,0,0,0,22036,11710,9339,547,98,369,0,535,94,176,0,22711,11996,9587,322,36,839,4,201,7,434,4,13059,6090,6738,11736,5009,6727,12154,4042,6856,11780,5165,6615,11023,4611,4721,10994,4588,6406,10970,5639,4814,12548,4963,7240,14076,5450,8364,14024,5118,8590,12927,4850,7753,11758,4265,7214,11679,4820,6859,10514,5068,0,11700,4702,6701,11575,4481,7094,11648,4565,7083,11548,4404,7144,11549,4591,6958,13380,5071,8123,14823,5563,8962
50,50,29751,20327,8110,426,413,811,46,0,0,29922,18772,9009,307,357,1801,30,0,0,30228,19753,8277,508,501,1303,94,29482,18465,8980,256,252,1923,24,162,134,1220,3,509,28991,17464,8921,386,287,2221,42,24349,17604,5770,298,264,583,19,0,0,24713,16545,6558,197,194,1199,4,183,149,945,4,19,0,25887,17756,6294,416,375,1040,69,25887,17756,6294,247,209,308,22,888,24306,16980,6230,178,161,579,4,0,0,0,0,24104,16606,6120,251,218,591,0,172,212,241,0,24296,16742,5956,292,277,614,0,183,222,250,0,11230,7142,3978,15935,9651,6284,17054,9468,5892,16613,10386,6227,15954,9725,4325,15916,10133,5783,15853,10682,4530,17849,10901,6446,19611,12087,7159,19557,11550,7650,18325,11013,6867,17240,10549,6512,17170,10806,6364,16085,10908,0,17176,10853,6024,17066,10481,6585,17208,10911,6297,17046,10409,6637,17030,10544,6486,18781,11437,7099,19772,12132,7247
51,51,30870,18644,9045,2035,867,815,201,0,0,31550,18002,10446,2116,1028,847,153,0,0,31056,16420,10169,2560,1249,1305,204,31948,18148,10592,2634,1083,596,128,1458,504,128,0,1095,31086,17670,9652,2504,1358,878,126,23721,15298,6157,1330,586,551,110,0,0,23741,14693,6716,1262,471,483,0,1143,366,255,0,129,0,24260,13906,6987,1734,896,941,147,24260,13906,6987,1305,595,228,84,1008,23926,14864,6832,1423,433,314,0,0,0,0,0,23800,14939,6214,1512,495,470,0,1381,395,267,0,23754,14487,6467,1585,491,515,70,1460,376,331,70,12432,5045,7288,10660,3748,6912,10800,3204,6480,10404,3877,6527,9170,3387,4552,9154,3426,5728,9128,3840,4726,11107,3977,6702,12707,4715,7664,12572,4370,7818,11207,3927,6899,9469,3331,5829,9377,3549,5828,8547,3787,0,9382,3577,5509,9321,3385,5936,9343,3428,5915,9316,3389,5927,9290,3402,5888,11637,4221,7151,13017,4888,7818
52,52,32268,6891,24288,471,582,513,59,0,0,31796,6813,24102,290,415,512,21,0,0,30162,6191,22896,494,383,825,41,31135,6265,24136,170,501,382,17,46,355,152,12,165,29548,5811,23185,180,205,525,5,22652,5983,15821,322,441,349,48,0,0,18340,5748,12058,131,194,191,10,99,169,160,10,7,0,22654,5526,16254,344,318,604,28,22654,5526,16254,182,240,97,5,286,18871,5623,12869,93,166,145,10,0,0,0,0,19295,5411,13532,116,98,124,0,73,30,130,0,19609,5391,13692,137,123,88,21,104,67,78,21,9243,5779,3367,8561,5426,3135,9245,5693,2770,8823,5326,3497,7864,4909,2054,7878,5175,2703,7816,5002,2429,9184,5852,3039,10248,6497,3550,10100,6409,3398,8946,5594,3069,6945,4207,2514,6905,4237,2668,6452,4295,0,6901,4060,2652,6878,4092,2786,6904,4214,2690,6871,4136,2735,6864,4215,2649,9077,5621,3291,10250,5885,4161
