ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
10,10,64682,55555,4643,500,1128,3209,230,0,0,68426,56985,6137,792,1357,3423,282,0,0,70188,56147,6219,766,1735,4693,412,70090,57718,6480,889,1370,3544,264,204,800,1137,110,397,3239,71217,57772,6648,836,1573,3916,329,52902,46875,2858,283,822,2176,152,0,0,54182,48359,2295,439,738,2192,76,247,568,961,102,0,58455,48434,4090,488,1314,3460,278,58455,48434,4090,211,768,1234,94,306,3318,55963,49885,2571,355,796,2332,37,0,0,0,0,0,57734,50964,2815,463,837,2644,47,194,637,860,47,59176,51808,3172,507,963,2597,63,243,639,1064,63,34394,19886,13474,31947,18649,13298,36401,17268,15108,35901,19964,12149,35845,18040,15541,34344,18750,14373,34516,17081,14911,40329,21482,16881,43600,23817,18420,42881,23924,17402,42004,23006,17893,42240,20830,18733,41966,21455,17457
11,11,63648,56994,3595,440,771,2027,224,0,0,68579,60105,4935,516,1054,2155,366,0,0,70054,59086,4743,821,1192,3432,409,69924,60678,5050,700,1076,2458,417,393,528,623,40,173,2417,70748,60449,5102,1033,1247,3010,447,48155,44202,2002,182,451,1356,118,0,0,51240,47308,1879,255,431,1156,33,156,274,376,210,0,54498,47003,2989,471,823,2492,242,54498,47003,2989,170,488,583,86,287,2892,53162,49030,1781,347,456,1289,28,0,0,0,0,0,54325,49514,2069,393,575,1442,25,209,271,173,25,56151,50624,2638,352,706,1539,46,155,446,216,46,28484,11176,16500,26259,9618,16641,32144,8334,20131,31328,11826,16231,31570,9178,20312,29681,10306,18247,29937,7519,19516,36325,10799,23564,40019,12036,26684,38971,12495,25056,38151,11809,24944,38553,10367,26094,38078,10932,24552
12,12,65885,58768,3427,607,1162,2088,215,0,0,69485,61196,4242,706,996,2286,267,0,0,71264,59097,5141,985,1688,3691,355,70350,61314,4543,789,1157,2426,340,319,583,591,66,188,2748,70921,61518,4602,601,1596,2611,343,52071,47513,2066,292,775,1459,140,0,0,54743,50166,1976,325,465,1536,55,191,322,575,221,0,57120,48651,3277,626,1155,2740,226,57120,48651,3277,276,661,583,65,343,3264,55574,50265,2434,375,627,1685,33,0,0,0,0,0,56845,51153,2804,275,874,1441,68,168,566,303,68,55974,49679,2811,363,1196,1515,86,132,674,324,86,34450,17929,15738,31952,16356,15596,36743,15047,17676,35974,17846,14673,36041,15460,18335,33848,16059,16571,34060,13911,17472,40122,18208,19930,43567,20200,21978,42583,20403,20730,41288,19137,21042,41782,17352,22086,41300,17892,20655
13,13,63919,54508,4162,1228,2733,1649,331,0,0,69460,57004,5004,1477,4163,2239,467,0,0,70346,55402,6207,1857,3688,2993,605,70875,58303,5292,1479,3746,2486,473,842,2361,578,238,115,3151,71457,57121,5926,2149,3906,2733,440,50280,44255,2519,677,1814,1094,204,0,0,53551,46359,2781,804,1911,1279,132,681,1294,307,284,0,57047,46545,4160,1182,2611,2131,382,57047,46545,4160,671,1791,358,161,329,3032,55050,47127,3111,1013,1837,1587,145,0,0,0,0,0,56126,47291,3508,1203,2121,1455,109,757,1466,362,109,56635,46685,4238,1489,2357,1330,180,896,1599,332,180,36006,22330,12996,32955,20059,12896,38120,21147,12603,37324,22718,11333,37166,20684,14665,34963,20561,13313,35817,19935,13763,41274,25580,13744,44635,28910,14282,43620,28382,13735,42082,26749,14320,42405,24086,15630,41968,24833,14501
14,14,63310,51794,6221,1386,2181,2183,408,0,0,65860,49700,9514,2354,2717,2817,708,0,0,71059,52906,9024,2256,2942,3917,631,65080,48985,9643,2266,2721,2649,778,898,1363,536,194,219,3239,66837,50192,9006,2316,3287,2638,667,49074,41652,3792,778,1516,1478,249,0,0,49616,40971,4269,1205,1414,1528,39,837,883,463,217,0,57041,44307,6017,1461,2119,2896,420,57041,44307,6017,821,1333,563,174,307,3519,49104,40850,4193,978,1359,1464,84,0,0,0,0,0,51034,42280,4165,1010,1564,1661,115,555,916,349,115,51698,42489,4614,976,1772,1421,165,665,1043,381,165,31503,19790,11037,28509,18059,10450,33790,18191,11587,32975,19490,9829,32890,18368,12404,31010,18460,11402,30965,17260,11289,36324,21781,12529,39393,24322,13650,38370,23993,12767,37127,22887,13128,37508,20772,13978,37072,21210,13042
15,15,62527,52644,6482,693,1370,1593,253,0,0,67772,55617,8005,951,1783,2455,217,0,0,71187,55005,9163,1164,2173,3294,484,68464,55876,8266,924,2019,2461,361,282,1215,339,119,66,2316,70984,56773,8883,1341,2085,2854,580,47443,41449,3729,368,906,1091,151,0,0,50322,44489,3177,494,987,1102,16,284,658,287,133,0,55556,44641,5826,735,1563,2408,315,55556,44641,5826,358,986,490,139,260,2856,49519,43490,3210,435,1118,968,124,0,0,0,0,0,51525,44455,3891,681,1006,1044,173,372,657,175,173,52227,44158,4496,728,1301,1034,229,395,1020,255,229,28993,13685,14625,29521,13621,15900,33217,12547,16350,32416,15184,13691,32631,12612,17867,30630,13675,15763,31320,11694,16963,37188,16333,18692,40756,18681,20441,39697,18672,19362,38729,17737,19675,39107,15644,20777,38625,16412,19349
16,16,64619,52754,4404,1099,5264,1163,482,0,0,68567,53686,5032,1482,7387,1576,419,0,0,70568,51651,6731,1642,7740,2102,631,68324,53165,5126,1515,7362,1723,413,887,6197,276,155,81,2437,70159,53603,5749,1772,7782,1683,470,54087,45053,3070,758,4310,880,355,0,0,53273,45504,3018,781,2818,753,150,539,2221,272,241,0,60282,45207,4967,1206,6617,1606,492,60282,45207,4967,683,5360,284,217,341,3223,53668,45560,3224,852,2880,776,147,0,0,0,0,0,55498,46142,3485,1138,3662,625,102,669,2902,202,102,55218,45173,4078,1113,3801,717,100,610,3012,146,100,33811,23560,9535,30952,21738,9214,35140,23291,7429,34176,22414,7516,33898,22308,9668,32375,22158,9110,31274,21019,8549,35140,25278,7914,36772,27588,7715,36252,26825,7799,35283,26149,8238,35445,23199,9190,35235,23825,8767
17,17,64506,49733,10324,912,1853,1937,502,0,0,67941,48213,13247,1177,1961,5150,708,0,0,70807,49575,14091,1211,2406,3239,738,70304,49188,14391,1806,2132,4586,759,646,1349,599,280,181,3674,71715,49633,15881,1633,2302,4659,534,48525,39672,5859,539,1241,1269,271,0,0,48741,39170,5599,419,986,2194,189,271,843,410,188,0,54965,40792,8925,725,1713,2381,480,54965,40792,8925,462,1279,578,275,269,2385,51398,41328,6473,534,958,1944,286,0,0,0,0,0,53185,42009,7975,522,1150,1362,185,327,780,396,185,53316,41698,8043,753,1274,1278,284,451,894,346,284,27836,11716,15423,25289,10023,15266,30215,9721,17258,29610,12502,14704,29911,9567,19033,28056,11130,16013,27993,9122,16971,33741,12315,19853,36912,13807,22016,36178,13995,21014,35321,13231,20873,35752,11887,22060,35402,12556,20610
18,18,66257,54354,9449,451,888,1416,248,0,0,70215,57281,10078,535,1234,1297,333,0,0,71284,54687,11397,679,1308,2832,353,70538,56039,10724,466,1709,1553,294,243,1151,240,65,169,1912,70441,53743,11665,948,2032,1849,205,48929,41763,5488,220,586,977,150,0,0,50697,44678,4217,289,801,646,51,235,647,171,54,0,54388,43423,7240,391,853,2038,224,54388,43423,7240,176,473,349,69,263,2395,50062,43994,3863,206,1034,765,23,0,0,0,0,0,50218,43321,4209,322,1239,905,34,258,813,332,34,50352,43736,3818,315,1198,975,54,228,498,306,54,30225,12936,16560,27284,10847,16437,33560,10788,19083,32917,13449,16546,33010,10641,20572,31415,11868,18460,31453,10063,19255,37512,13224,22498,41091,14782,25053,40123,14846,23947,39152,13965,23709,39653,12557,24973,39291,13074,23515
19,19,61412,46384,9532,1446,2254,1796,828,0,0,68812,48953,13491,1647,3063,3106,1227,0,0,71087,47670,13981,2027,3518,3377,1376,69509,49555,12037,1778,3821,3370,1480,871,2868,380,1275,97,2425,70713,48790,13003,1978,3707,3421,1955,46041,37041,5331,788,1575,1198,465,0,0,48531,39402,5704,807,1312,783,439,710,969,213,120,0,54761,38999,9015,1228,2540,2435,880,54761,38999,9015,692,1784,569,615,280,2807,50159,40043,5582,810,1839,1009,721,0,0,0,0,0,51660,40184,6506,912,1837,1275,672,709,1486,312,672,52360,39006,7437,1230,2393,1195,720,863,1731,300,720,26525,14866,11115,25038,13486,11552,29389,14114,11713,28699,15500,10458,28898,13428,14086,27160,14534,11707,27655,13963,11976,33117,17958,13396,36219,20361,14472,35418,19973,14006,34635,19340,14191,34921,17345,15234,34660,18077,14138
20,20,61058,48120,8338,913,2325,1649,522,0,0,66357,49441,11330,1370,2612,1612,605,0,0,71216,50860,12032,1664,3298,3027,824,68225,49664,12250,1489,2500,2194,643,682,1273,610,456,578,2705,71628,52286,12334,1609,2861,3160,685,46121,38115,4902,526,1563,1079,332,0,0,46819,39314,4468,617,1319,956,138,370,953,449,67,0,54713,41112,7695,976,2336,2142,555,54713,41112,7695,538,1510,463,280,256,2859,48827,39906,5549,814,1333,961,123,0,0,0,0,0,51918,42003,6383,750,1453,1078,173,434,983,390,173,53078,42626,6562,882,1616,985,213,561,1106,298,213,29223,15620,13031,27746,14579,13167,33002,15824,13016,32438,17586,11958,32597,14915,16237,30847,16200,13632,30800,15043,14006,36365,19516,14958,39344,22087,15790,38703,21652,15522,37798,20816,15841,38127,18600,17087,37840,19417,15887
21,21,67397,46784,15500,1495,1795,2095,753,0,0,71355,46911,17819,1694,2711,3523,1473,0,0,71267,44658,18515,2085,2423,3605,1136,71626,45909,19949,2029,2047,3680,916,586,1144,399,506,46,3095,70065,43985,19534,2107,2498,3448,650,50211,37750,8871,971,1228,1401,457,0,0,50166,38573,7260,845,1413,1353,402,545,1006,421,365,0,55055,37224,11884,1375,1745,2628,726,55055,37224,11884,884,1148,623,535,271,2486,50271,38153,8488,952,1056,1283,151,0,0,0,0,0,48827,37087,7993,914,1092,1499,60,560,785,461,60,50049,36910,9179,1030,963,1588,199,736,708,525,199,24922,13039,11296,23657,12238,11419,28111,12530,12142,27340,14212,10439,27602,12166,14052,25953,13403,11619,25712,11952,11918,30369,15187,13483,32885,17013,14632,32116,16718,14020,31319,16211,14113,31768,14377,15284,31409,15158,13927
22,22,65407,28710,32477,1150,1762,2243,983,0,0,69830,29404,35646,1819,1477,3848,893,0,0,70996,26067,38274,1531,2036,4284,1705,70829,29688,35551,1785,1595,3413,1159,655,1199,334,1045,186,2160,71202,28679,36910,1442,1921,4061,1565,45225,23612,18819,632,1187,1457,563,0,0,37190,24129,10344,915,896,580,185,728,659,323,145,0,51083,22101,24257,923,1509,3054,1036,51083,22101,24257,561,1091,403,846,148,1676,38384,23975,11268,822,935,705,199,0,0,0,0,0,39137,23581,12587,538,1020,658,420,354,808,248,420,40307,23828,13326,471,1157,538,400,332,609,155,400,17068,8900,7737,15660,8179,7481,19090,9090,7977,18546,9949,6620,18733,9030,8698,17757,9690,7430,17047,8462,7328,21380,11358,8957,23570,12763,10085,22993,12672,9442,22519,12288,9451,22699,11270,9997,22542,11649,9318
23,23,63734,53960,6382,584,1406,1630,236,0,0,69160,58047,6731,669,2043,1834,245,0,0,71205,56399,8188,1034,2088,3179,397,69326,58143,6983,804,1982,1553,287,238,772,556,48,170,2426,71183,56062,9451,1394,2313,1892,185,48199,42135,3842,273,917,1101,154,0,0,51755,45631,3388,352,949,1230,45,218,511,518,164,0,55780,45664,5371,554,1465,2309,291,55780,45664,5371,253,816,550,75,246,2805,52301,46187,3507,410,1000,992,45,0,0,0,0,0,53578,46179,4492,547,1175,978,69,404,541,328,69,55835,47511,5496,574,1163,923,86,364,575,238,86,30970,14087,16155,29787,13104,16683,34418,12518,17508,33712,15188,15450,33808,12402,19473,31944,13529,17315,32183,11642,18194,38008,15669,20338,41372,17732,22131,40502,17654,21365,39497,16708,21583,39961,14623,22927,39542,15460,21383
24,24,65636,50739,9952,975,1389,2892,322,0,0,69024,52100,11794,1219,1637,2639,433,0,0,70321,50455,12222,1142,1738,4432,412,70654,52754,11968,1223,1700,3207,422,656,923,1175,227,38,2906,70813,52506,11521,1237,1757,3904,393,49324,39833,6001,651,943,1996,229,0,0,50819,42479,4718,677,939,1714,159,609,621,917,130,0,55062,41490,8004,804,1286,3142,261,55062,41490,8004,507,783,1277,95,301,2605,52219,43434,4795,693,971,2053,179,0,0,0,0,0,53432,43933,5435,847,921,2083,150,407,612,883,150,52720,42792,5555,915,1030,2208,162,573,789,982,162,27975,13737,13485,26430,12602,13828,31279,12371,15183,30527,14723,12776,30528,12086,16584,28769,13323,14367,29335,11543,15524,34421,15133,17469,37601,16966,19330,36599,16941,18228,35648,16155,18344,35938,14309,19249,35545,14952,17961
25,25,65936,49127,7774,1817,6051,1046,884,0,0,70819,52036,8699,1731,7424,1058,850,0,0,71233,48356,9808,2544,7882,2151,1197,73144,52973,8777,1683,8214,1298,1725,916,5961,155,325,314,3719,71453,50641,8716,2116,7837,1589,1396,50281,39367,4779,1077,4173,692,536,0,0,51683,41328,4007,1008,4343,463,111,643,3722,135,435,0,56659,40243,6684,1686,5918,1620,802,56659,40243,6684,1016,4754,176,458,273,3055,53597,41891,4481,1022,4800,454,59,0,0,0,0,0,53980,41236,5122,1357,4738,620,180,908,4121,235,180,53980,40998,5441,1146,4720,683,236,803,3914,226,236,30881,18867,11469,20948,12505,8443,35366,20717,10459,34551,21269,10057,34341,19096,13407,32482,19453,12024,32703,18328,12751,38153,24176,12045,41259,27690,12133,40246,26433,12101,39274,25493,12689,39392,22846,13619,39075,23262,13392
26,26,55556,45592,4835,982,3423,798,373,0,0,64507,51343,5857,1215,5170,1113,736,0,0,69994,51597,7832,1742,6546,1971,709,64919,51215,6218,1417,5042,918,1136,918,2981,190,439,86,2875,68353,52365,6515,1774,6130,1217,1084,41150,34949,2832,568,2218,570,207,0,0,46308,39206,3161,659,2361,561,196,558,1838,212,180,0,53750,41313,5151,1137,4427,1428,457,53750,41313,5151,743,3500,338,197,178,2330,47254,39976,3518,765,1954,481,213,0,0,0,0,0,50610,41850,3813,995,2790,636,102,730,2169,212,102,51818,41723,4516,1119,3295,609,112,766,2354,111,112,26702,13779,12502,28261,14221,14040,32535,15981,12672,31855,17096,12270,31767,14564,15669,30120,15013,14187,30884,14305,15013,37153,20203,15234,40853,23810,15710,39926,22787,15773,38958,21570,16386,39269,19302,17588,38905,19725,16960
27,27,64455,46249,10259,2040,5023,1163,581,0,0,69776,48351,11969,1898,6861,766,844,0,0,70303,45361,12259,2822,7561,2266,734,71298,49533,11736,1779,7018,967,710,1165,5233,166,247,318,2900,70073,46721,12046,2156,7719,1398,954,50101,38012,6350,1262,3759,789,380,0,0,50119,39564,4629,1229,3749,341,269,947,3167,120,326,0,56012,38321,8213,1957,5620,1660,513,56012,38321,8213,1315,4496,237,238,283,2909,51618,40973,4680,1154,3844,533,179,0,0,0,0,0,51001,39397,4827,1175,4427,656,239,994,3378,118,239,49208,36943,5463,1310,4337,758,113,1076,3146,97,113,31335,20805,9919,31041,20089,10952,34444,22195,8269,33605,22629,7792,33307,20745,10766,31625,20999,9507,32134,20225,10429,36916,25727,9430,39731,29038,9409,38808,27924,9330,37942,27121,9902,38010,24401,10694,37744,24925,10485
28,28,65518,55107,3381,1617,4612,981,412,0,0,73768,59711,4306,2825,5829,828,381,0,0,70297,54251,5129,2494,6129,1683,526,73450,57950,5000,2703,6895,925,382,1632,4564,129,137,250,3789,73969,57139,5614,2947,6540,1457,354,54266,46473,2408,1126,3540,753,289,0,0,57204,48963,2712,1677,2960,563,159,1473,2196,91,153,0,58248,46155,3826,1749,4606,1309,374,58248,46155,3826,1049,3296,212,134,402,3174,57192,48154,3100,1431,3618,404,150,0,0,0,0,0,58430,48020,3680,1841,3559,723,200,1475,2643,202,200,59032,46390,4728,2543,4039,888,143,1916,2989,133,143,39469,30998,7819,39321,30550,8771,43022,33170,5916,41961,32442,5737,41389,30242,9499,39240,30533,7697,40861,29873,9806,44276,35571,6996,46408,38901,6215,45668,37592,6470,44285,36352,7142,44409,33362,8196,44201,33479,8506
29,29,64349,39510,20730,1058,2415,1477,466,0,0,69025,40953,22690,1202,3199,2085,615,0,0,70080,38658,24326,1640,3363,3104,683,69178,41571,22636,1430,2862,1932,406,694,1621,130,108,45,2361,69749,40432,24047,1524,2808,2363,367,45861,30892,12142,572,1670,960,308,0,0,44267,33015,7612,558,1664,1040,81,499,1324,102,305,0,52694,31837,15703,998,2381,2213,461,52694,31837,15703,591,1596,275,179,233,2280,45356,34090,8029,635,1528,896,109,0,0,0,0,0,45656,33444,9104,620,1562,765,64,520,1152,172,64,46919,32365,11228,811,1507,635,228,652,1015,126,228,23589,12884,10134,20983,11387,9596,28073,13611,10665,27338,14978,9415,27186,13413,11858,25820,13744,11013,25615,12524,11231,30501,16663,12072,33254,18996,12932,32367,18532,12416,31575,17861,12708,31751,16017,13181,31466,16350,12696
30,30,58715,39672,8564,1853,7893,1052,613,0,0,69519,40839,11734,2710,13064,2555,1253,0,0,70518,39498,12688,3195,13046,2299,965,71213,41893,12203,2763,12942,2524,1448,1884,10298,254,642,80,3960,71345,41402,11204,3205,13723,2081,1879,44264,31620,5156,1087,5769,679,380,0,0,45814,32799,5582,1251,4512,855,269,988,3954,237,518,0,56056,33118,8625,2180,10349,1688,666,56056,33118,8625,1533,9089,227,277,285,2902,48246,34268,6339,1183,4553,865,573,0,0,0,0,0,50456,34544,6722,1375,5553,650,863,1065,4399,157,863,51454,34494,7681,1524,5833,616,877,1080,4689,150,877,23757,14311,8940,22847,13480,9367,27549,15593,8291,26712,15796,7821,26533,14763,9959,25243,14979,9204,25333,14371,9438,30416,19078,9639,33301,21886,10098,32444,21112,9856,31649,20422,10290,31765,18361,10698,31528,18691,10599
31,31,65639,58952,3086,548,1305,1876,282,0,0,69721,61147,4202,666,1709,2077,356,0,0,71273,59135,4719,992,2381,3341,483,70339,61046,4313,816,2020,2227,400,369,888,541,127,100,2951,71369,60323,4517,1161,2711,2076,493,50160,45977,1842,277,802,1310,152,0,0,53618,48760,1999,305,875,1427,100,203,561,504,114,0,56460,48066,2979,592,1591,2475,281,56460,48066,2979,291,1018,560,119,296,3131,54868,49241,2605,405,962,1363,123,0,0,0,0,0,55592,49546,2562,480,1198,1304,196,323,543,348,196,56084,49564,2945,594,1319,1200,183,414,758,241,183,33912,17932,14982,31944,16335,15609,37248,14549,18277,36514,18046,14592,36344,15106,18557,34133,16043,16505,34547,13438,18367,41219,17894,21080,44877,19756,23425,44000,20208,22031,42984,19133,22396,43320,17126,23328,42980,17670,22017
32,32,64991,56661,5214,509,1158,1519,363,0,0,68019,57877,6191,936,1472,1880,546,0,0,71211,57833,6952,857,1729,2971,547,69013,57762,6359,1020,1497,1715,527,488,635,435,262,34,3043,71192,58644,6796,940,1580,1888,379,51777,46521,3010,300,823,1102,237,0,0,53183,48047,2427,379,793,1099,111,326,424,278,301,0,57840,48633,4330,572,1256,2218,350,57840,48633,4330,264,755,485,146,321,2906,54254,48711,2629,519,857,1117,157,0,0,0,0,0,56418,50164,3025,749,923,1331,75,574,512,378,75,57172,50432,3468,757,953,1289,100,614,571,215,100,33015,18449,13555,30535,16874,13661,34755,15451,15385,34100,18915,11830,34001,16344,15640,32402,17351,13891,32872,14962,15542,38984,19549,17573,42354,21588,19477,41653,22010,18240,40673,21002,18512,40952,18952,19502,40661,19577,18264
33,33,55587,44931,2987,2350,4408,1193,311,0,0,63021,48514,4375,2866,6377,1305,360,0,0,69930,50098,6028,3719,7698,2265,492,63512,47741,4471,2915,7214,1271,393,1953,5694,524,201,64,2866,65561,47748,5289,3854,7405,1480,336,49888,40908,2502,2020,3562,1062,258,0,0,53537,43013,3350,2119,3687,952,145,1783,2892,488,298,0,62924,46083,5049,3080,6453,1887,378,62924,46083,5049,2128,4947,458,133,421,3705,54071,42425,3424,2092,4723,997,155,0,0,0,0,0,56725,43057,4332,2914,5183,999,115,2219,3962,442,115,57991,42443,5318,3363,5589,1035,97,2225,4113,242,97,30060,24863,4570,30264,24787,5477,34248,27419,3785,32983,25670,3747,32567,24808,6155,30884,24847,5075,32592,25183,6373,37953,31590,4776,41104,35504,4384,40370,34106,4506,39089,33140,5099,39302,30394,5738,39000,30296,6268
34,34,56516,37567,3634,1278,13542,604,404,0,0,66973,40157,4394,2177,19205,446,866,0,0,70060,36450,5832,2371,23756,1339,651,66495,38918,3890,2289,20571,329,765,1374,18459,39,223,128,3464,69353,37779,5111,2614,22795,520,658,40345,28271,2244,720,8713,400,228,0,0,40940,29230,1973,976,8063,204,182,804,7440,33,293,0,51471,28798,3966,1511,15905,963,455,51471,28798,3966,994,14740,122,158,279,2414,39261,27621,1628,1070,8349,188,159,0,0,0,0,0,41353,27563,2123,1512,9516,262,104,1189,8633,98,104,43347,28429,2961,1283,9921,428,16,908,9081,243,16,26146,16285,9472,31669,19092,12577,29755,18715,7732,28943,18671,7982,28741,16762,10729,27080,16736,9567,27967,16554,10382,33197,22505,9286,36329,26131,9105,35504,24958,9350,34484,23821,9872,34684,21584,10792,34421,21816,10825
35,35,61910,34976,15239,2689,8303,1370,696,0,0,69559,35287,19001,4071,10771,1051,730,0,0,70155,33816,18833,3839,11621,2685,1120,70574,33832,19102,4937,11923,1308,798,3708,9782,295,247,415,3195,69461,33459,18732,4716,11891,1875,762,45208,27962,9042,1506,6055,852,434,0,0,43564,29243,6984,1737,4673,439,145,1557,4241,200,346,0,54250,28506,12419,2497,8969,2011,769,54250,28506,12419,1783,7703,273,383,274,2909,44392,28699,7365,2169,5021,464,200,0,0,0,0,0,45810,28923,8129,2204,5347,510,184,1914,4419,187,184,46852,29284,7344,2245,6561,524,346,1806,5322,126,346,22293,14309,7522,25280,16191,9089,26370,15627,7336,25466,15846,6486,25313,15074,8414,24033,15227,7695,23600,14347,7722,29175,19142,8344,32107,21922,9004,31249,21151,8532,30545,20643,8911,30647,18619,9238,30366,18996,9022
36,36,63235,45253,7747,1627,7913,954,527,0,0,69265,46889,9366,2538,9783,1186,407,0,0,70120,43701,10832,2860,10713,2096,832,69384,45326,10256,2251,10859,1247,424,1241,8380,181,63,85,3857,71211,44527,12420,2367,11202,1872,546,46484,34897,4710,938,5376,640,304,0,0,47864,36218,4063,1297,5351,710,52,1043,4797,200,239,0,53722,35321,7232,1773,7808,1458,545,53722,35321,7232,1185,6553,182,224,260,2765,47850,35207,4751,1035,5962,579,63,0,0,0,0,0,49267,35293,5636,1058,6339,553,44,827,5040,83,44,51069,34805,6312,1542,7455,663,71,1088,5725,130,71,30235,17409,12288,26499,14893,11606,33604,18232,11287,32709,19126,10591,32499,16970,13716,30739,17313,12336,30750,16158,12918,36823,21993,12986,40172,25340,13387,39177,24410,13233,38331,23415,13841,38497,21114,14623,38216,21697,14130
37,37,64438,52944,6169,986,3464,880,547,0,0,68753,53893,7099,1896,4764,987,681,0,0,69990,52688,7849,1550,5363,1860,824,68766,53142,7959,1775,4699,1040,708,1072,2906,355,304,182,2853,69313,52014,8900,1457,5362,1136,1154,47776,40651,3678,589,2207,593,336,0,0,49486,42027,3429,780,2179,577,352,610,1763,249,162,0,53462,41911,5006,968,3608,1326,527,53462,41911,5006,504,2620,177,294,274,2676,49920,41891,4047,714,2240,693,240,0,0,0,0,0,49997,41277,4570,639,2555,424,341,406,1884,82,341,49830,40738,4443,752,2808,392,475,448,1995,52,475,34410,19777,14158,34859,18677,16182,37979,20792,12823,37227,21819,12669,37118,18762,16766,35253,19326,14906,35609,17886,16422,40240,23676,14785,43032,27161,14426,42122,25884,14862,40921,24487,15293,41331,22161,16788,41002,22257,16818
