ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
18,18,16391,14643,580,322,206,743,22,0,0,15421,12952,978,642,277,776,23,0,0,16196,12997,955,770,350,1167,32,15094,12425,940,756,375,893,30,560,274,387,0,24,490,16200,12791,1185,965,327,1143,0,13171,11970,367,196,146,529,12,0,0,12109,10598,605,355,104,404,0,311,60,250,18,0,12840,10690,580,529,253,768,24,12840,10690,580,420,155,414,3,32,546,11683,10265,498,312,109,514,0,0,0,0,0,0,12331,10454,674,408,131,680,0,291,94,301,0,12274,10441,728,238,171,676,4,148,111,291,4,7526,4415,2951,6990,2751,3422,6869,2171,4371,6759,2034,4337,6522,3830,2636,6288,2797,3465,6679,2866,3532,6891,3181,3417,6786,2535,3920,6474,3011,3457,6514,3091,3394
19,19,18341,16642,1102,86,87,473,13,0,0,17466,15263,1386,115,100,669,4,0,0,17231,14658,1500,192,123,697,7,17189,14972,1406,104,189,607,3,67,133,361,0,0,257,17168,14726,1523,174,150,545,19,14368,13381,615,37,61,295,8,0,0,13353,12143,640,32,78,471,0,24,70,316,18,0,13396,11742,926,123,86,474,5,13396,11742,926,70,59,205,0,36,358,13109,11866,691,40,110,401,0,0,0,0,0,0,13080,11684,816,70,55,445,0,56,41,247,0,12822,11299,880,112,63,470,6,76,63,225,6,8362,3862,4093,7799,1853,5204,7896,1213,6427,7849,1320,6155,7465,3054,4369,7326,1922,5395,7582,1813,5538,8104,2106,5786,8048,1596,5908,7757,2213,5538,7748,2270,5448
20,20,17098,16084,478,179,108,256,20,0,0,17312,16016,556,184,130,427,34,0,0,17126,15547,651,217,159,485,41,16673,15349,548,180,154,377,9,128,51,191,3,0,386,17219,15788,524,217,201,388,9,13002,12390,275,104,61,158,8,0,0,13041,12286,267,128,66,229,25,102,26,133,6,0,12924,11962,378,136,98,277,29,12924,11962,378,75,49,106,9,16,329,12546,11834,256,173,72,231,4,0,0,0,0,0,13019,12223,281,160,105,218,8,129,43,130,8,12559,11863,228,219,82,157,5,175,38,60,5,8493,3911,4195,8145,2195,5146,8203,1358,6541,8138,1427,6387,7789,3701,4050,7650,2303,5335,7915,2213,5464,8462,2638,5587,8401,2034,5968,8196,2555,5632,8198,2726,5451
21,21,17037,14713,498,776,535,570,20,0,0,17229,12685,859,1829,1253,776,95,0,0,16684,11897,742,1869,1290,887,39,17482,12910,642,1942,1459,723,93,1725,1320,394,0,0,490,17411,12995,892,1472,1304,978,0,14206,12625,292,466,431,392,15,0,0,12809,10888,356,763,231,521,0,706,214,364,54,0,13719,10443,480,1176,938,625,25,13719,10443,480,1081,839,354,9,36,477,12954,11120,251,851,136,518,0,0,0,0,0,0,13454,11447,428,759,208,521,0,747,168,356,0,13554,11483,586,609,314,462,0,593,209,327,0,7126,4381,2572,6863,3280,2628,6643,2229,3874,6602,2190,3915,6328,4319,1945,6125,3597,2505,6406,3362,2721,6388,3716,2437,6325,3044,2991,6141,3522,2604,6156,3500,2636
22,22,12331,11816,203,105,72,163,6,0,0,16345,15335,260,289,320,144,22,0,0,16178,14879,282,290,234,382,26,15382,14565,444,160,15,378,10,130,0,57,7,2,181,16320,15292,603,67,140,521,4,8837,8566,108,40,44,93,2,0,0,11813,11297,124,171,116,97,20,171,69,43,4,0,11265,10528,139,152,127,218,21,11265,10528,139,106,89,51,5,18,329,10994,10551,275,64,12,130,6,0,0,0,0,0,11392,10908,296,63,27,159,0,30,4,34,0,12037,11253,331,217,74,169,0,157,38,11,0,5777,2738,2769,7163,2001,4346,7171,1047,5816,7167,1133,5756,6913,3464,3415,6770,2328,4423,7323,2186,4876,8401,2849,5281,8359,2039,5877,8049,2677,5362,8091,2767,5300
23,23,4480,3809,98,18,33,536,4,0,0,12268,7891,2069,1135,253,751,41,0,0,16314,10990,2122,1443,411,1253,74,13711,8855,2277,1257,390,850,38,1087,356,546,0,175,417,15172,9687,2697,1430,300,1175,35,3358,2917,58,7,18,352,4,0,0,7746,5938,976,400,61,346,0,389,61,309,15,0,11816,8250,1410,964,318,808,43,11816,8250,1410,877,244,431,33,64,507,8644,6536,1174,468,46,456,0,0,0,0,0,0,9376,6724,1429,468,9,770,0,458,11,445,0,9698,6923,1457,508,28,743,9,436,26,457,9,2210,662,1491,3322,423,2635,3235,336,2689,3206,374,2661,2923,734,2175,2858,601,2252,3603,561,2868,4845,742,3956,4687,582,3526,4489,715,3763,4514,785,3703
24,24,16523,15884,189,166,118,193,11,0,0,16020,14912,302,292,288,277,100,0,0,16556,15327,314,333,186,361,28,15850,14447,304,285,284,284,32,264,237,168,5,3,422,16489,14829,370,387,315,338,39,12962,12559,111,94,87,126,7,0,0,12605,11880,247,169,77,200,0,155,58,153,44,0,13055,12216,204,226,118,239,9,13055,12216,204,172,76,91,2,30,264,12365,11745,179,147,88,184,0,0,0,0,0,0,12740,12030,219,267,30,191,4,213,20,100,4,12785,12090,208,132,53,273,29,75,9,124,29,8320,4112,3824,7703,2435,4370,7706,1298,6095,7685,1463,5939,7353,3916,3397,7214,2624,4579,7405,2365,4782,8019,2765,4986,7961,2059,5378,7688,2824,4856,7732,2984,4691
25,25,16404,15429,272,160,131,449,12,0,0,16343,14916,512,231,145,601,8,0,0,16598,14765,575,261,187,752,43,16322,14748,536,234,153,614,11,84,75,212,0,105,561,16617,14898,599,262,61,841,0,12728,12143,132,93,79,291,7,0,0,12790,11887,263,173,131,352,0,109,67,264,10,0,12896,11777,319,148,133,436,36,12896,11777,319,101,107,267,15,16,294,12724,11843,277,123,122,363,0,0,0,0,0,0,12935,11988,328,157,36,451,0,128,20,251,0,12881,11953,315,145,103,334,29,117,93,159,29,7788,3540,3910,7642,2084,4792,7612,1131,6109,7556,1347,5904,7353,3973,3332,7158,2635,4512,7386,2287,4870,7853,2524,5098,7798,1973,5486,7502,2481,5016,7545,2580,4953
26,26,7504,7088,94,26,41,269,11,0,0,15418,12928,1164,400,166,885,35,0,0,15750,12735,1537,371,337,690,25,15953,13207,1244,428,192,899,80,262,124,679,12,2,411,15830,12804,1396,456,165,1089,44,5849,5582,61,11,23,175,4,0,0,10897,9440,681,155,25,564,7,155,25,504,19,0,11435,9486,966,226,238,460,20,11435,9486,966,158,165,183,4,62,411,11145,9815,795,140,79,370,12,0,0,0,0,0,10948,9400,822,260,68,395,4,234,60,272,4,10864,9294,658,340,187,385,0,256,176,180,0,3695,932,2582,5931,548,5041,5868,363,5280,5840,420,5264,5249,1035,4195,5137,719,4406,5764,540,5066,6746,618,5978,6662,465,5580,6463,694,5753,6454,818,5595
27,27,8229,7768,112,140,110,100,8,0,0,14014,12857,260,316,449,163,0,0,0,17002,14185,474,1210,638,430,19,15392,14567,243,103,437,48,6,94,271,8,5,1,199,17112,15872,351,559,200,69,0,5906,5647,68,60,74,54,5,0,0,10077,9472,127,191,168,118,0,191,123,11,0,0,12185,10536,277,655,420,267,17,12185,10536,277,582,354,86,2,24,324,10960,10667,95,48,172,69,4,0,0,0,0,0,12032,11625,187,164,36,82,0,94,0,11,0,13120,12125,348,408,114,123,0,319,73,39,0,4091,1931,2078,6186,2015,3482,6131,1070,4728,6118,1069,4803,6528,3399,3101,6358,2350,3997,6949,2473,4208,8365,3497,4567,8302,2576,5358,7970,3098,4866,8015,3187,4812
