ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
28,28,17973,17415,234,99,80,162,8,0,0,17315,16326,455,280,88,205,6,0,0,17291,16125,465,201,173,317,35,17182,16114,476,263,91,304,34,163,25,135,0,19,251,17275,15916,563,303,141,357,18,14094,13768,130,54,48,105,3,0,0,13495,12893,221,137,76,180,0,104,48,94,4,0,13414,12670,275,132,100,179,17,13414,12670,275,67,57,43,4,32,266,13366,12677,230,183,34,236,0,0,0,0,0,0,13255,12557,306,153,70,190,0,117,50,106,0,13140,12416,294,114,65,252,0,87,55,98,0,9637,3878,5245,9018,2079,6199,9152,1218,7634,9080,1520,7337,8627,3604,4984,8495,2363,6120,8647,1988,6426,9203,2248,6710,9147,1741,6691,8867,2352,6509,8906,2514,6361
29,29,16637,16189,146,65,53,187,8,0,0,15590,15020,201,43,72,263,12,0,0,16264,15407,284,145,106,269,37,15606,14898,227,84,55,326,14,54,26,89,14,0,290,16258,15410,292,118,116,270,18,13165,12893,90,33,40,112,5,0,0,12270,11948,82,25,43,168,10,21,24,96,0,0,12827,12247,200,85,74,186,25,12827,12247,200,34,45,57,3,14,227,12142,11793,104,40,18,199,15,0,0,0,0,0,12410,12045,136,38,40,191,20,19,8,82,20,12411,11972,181,97,32,132,5,30,12,73,5,8780,3804,4515,8605,2089,5806,8722,1169,7209,8641,1629,6741,8344,3533,4756,8182,2281,5893,8334,1969,6140,8970,2256,6468,8888,1831,6477,8552,2360,6187,8599,2453,6115
30,30,13028,11516,196,163,69,1107,11,0,0,14019,12410,472,311,130,745,0,0,0,16339,13807,503,511,182,1286,38,14895,12996,476,342,173,934,0,338,84,579,0,3,430,15358,12867,442,379,213,1053,405,10360,9351,141,125,43,710,8,0,0,11055,10027,319,174,64,476,0,169,49,420,4,0,13013,11219,364,362,143,881,26,13013,11219,364,301,109,729,12,27,252,11707,10653,319,173,81,515,0,0,0,0,0,0,11987,10891,242,130,90,606,4,118,52,542,4,12770,11207,329,197,73,855,12,183,37,734,12,6702,2486,4108,7011,1516,4851,6978,959,5713,6899,1087,5527,6750,2427,4271,6622,1670,4929,7084,1703,5001,7683,2009,5436,7528,1672,4786,7318,1996,5300,7304,2305,4953
31,31,15380,11258,168,80,40,3929,25,0,0,15664,11141,566,82,86,3916,15,0,0,16030,11205,454,210,110,4119,49,15314,10550,722,53,96,3966,13,12,44,3760,6,0,214,15528,10790,582,96,123,3852,10,11442,8967,81,27,23,2372,17,0,0,11572,8720,382,62,51,2379,12,16,11,2293,4,0,11814,8848,274,107,66,2551,28,11814,8848,274,50,40,2291,12,10,289,11321,8386,468,23,59,2396,14,0,0,0,0,0,11341,8620,321,44,44,2357,12,17,19,2194,12,11503,8630,390,101,22,2318,4,57,19,2190,4,7122,3201,3617,7727,1856,5139,7697,1375,5922,7627,1575,5752,7549,3054,4424,7411,2377,5013,7352,1977,5040,7433,1988,5258,7339,1706,4483,7154,2068,5068,7180,2294,4841
32,32,16658,14724,230,195,104,1473,15,0,0,17273,14610,801,361,124,1565,22,0,0,16998,13671,726,610,239,1622,187,17180,14484,705,441,113,1528,24,320,80,1183,3,0,398,17804,14930,826,515,117,1545,34,13210,12051,137,92,80,874,9,0,0,13569,11897,414,235,30,959,3,203,7,889,14,0,13420,11266,465,356,180,1017,121,13420,11266,465,274,114,766,99,43,393,13602,11940,352,260,46,975,0,0,0,0,0,0,13820,12042,424,234,17,1039,0,203,10,929,0,13551,11720,359,203,122,1116,0,196,119,805,0,8122,3462,4490,7770,2009,4896,7743,1365,5959,7678,1553,5736,7310,3097,4129,7152,2282,4835,7499,2234,4838,7594,2500,4801,7498,2184,4387,7231,2471,4750,7221,2711,4480
33,33,15876,15273,190,54,54,329,20,0,0,16389,14944,459,297,194,458,14,0,0,17274,15863,423,192,135,599,32,17537,16039,446,365,85,592,20,317,31,350,20,98,259,17966,16198,604,342,134,600,22,12362,11988,100,26,38,217,14,0,0,12604,11767,208,209,110,310,5,205,62,237,0,0,13095,12220,259,112,91,376,14,13095,12220,259,75,56,185,7,19,274,13339,12556,194,185,60,359,0,0,0,0,0,0,13484,12500,439,133,40,358,0,127,25,203,0,13502,12702,460,32,58,237,0,7,12,138,0,8737,2934,5484,9345,1335,7359,9328,945,8018,9243,1129,7849,8416,2330,6036,8332,1684,6636,9019,1468,7172,9873,1583,8051,9728,1393,6748,9519,1783,7730,9550,2074,7431
34,34,13472,12110,268,159,72,917,20,0,0,16074,13994,627,206,180,1132,0,0,0,17084,14324,743,482,207,1315,56,15976,14011,563,228,206,1020,39,119,206,738,39,0,302,17104,14939,574,312,203,1039,36,10186,9402,159,69,44,528,10,0,0,12446,10988,602,167,67,613,0,70,67,377,0,0,13197,11476,451,272,133,824,43,13197,11476,451,219,90,550,14,28,369,12242,10974,373,192,85,566,39,0,0,0,0,0,13349,11933,357,321,60,646,35,150,45,440,35,13827,12169,304,532,83,708,24,492,11,639,24,6495,2669,3651,7686,1770,5127,7644,1195,6097,7568,1364,5863,7267,2893,4304,7111,2125,4947,7606,2038,5151,8087,2308,5503,7960,1938,4914,7719,2318,5380,7725,2553,5151
35,35,17217,16059,230,184,103,678,10,0,0,18085,16037,293,843,138,826,55,0,0,17326,14469,690,767,318,1095,64,17309,14812,391,1041,139,1048,59,833,97,640,38,0,499,17558,14546,447,1205,146,989,149,14029,13282,154,103,74,439,4,0,0,14236,13157,185,292,28,543,37,264,27,426,0,0,13761,11902,452,492,222,684,35,13761,11902,452,436,160,429,21,27,334,13374,12116,202,335,48,596,40,0,0,0,0,0,13474,12120,208,492,31,430,150,462,34,315,150,14038,12535,381,418,13,491,150,405,12,396,150,9811,3945,5673,9268,2666,5453,9212,1733,6985,9124,1937,6778,8624,3928,4623,8457,2767,5665,8870,2857,5482,8875,3328,5190,8770,2739,4972,8477,3120,5337,8454,3484,4926
36,36,12303,11687,217,107,91,218,18,0,0,16089,14311,679,313,275,590,54,0,0,15907,13748,988,417,212,482,36,14933,13288,776,111,219,572,4,84,128,393,0,11,241,15089,13202,1135,106,326,433,28,9540,9195,114,46,58,113,12,0,0,11740,10794,359,125,82,318,0,115,59,224,51,0,11673,10406,579,231,112,276,18,11673,10406,579,186,79,106,12,20,285,10742,9732,479,106,89,305,0,0,0,0,0,0,10857,9878,623,36,119,196,4,21,79,175,4,10555,9645,573,97,120,142,7,79,87,48,7,5582,1730,3645,6543,865,5264,6478,546,5685,6417,640,5574,6302,1595,4666,6186,1136,5038,6518,963,5272,7314,1127,5969,7194,932,4975,7012,1170,5830,7021,1390,5543
37,37,11426,10621,224,177,242,190,14,0,0,13173,11216,928,483,197,293,161,0,0,16045,13101,1169,852,330,566,67,14394,12248,734,837,277,363,81,682,264,159,81,0,230,15584,13435,568,843,273,316,171,9187,8562,157,128,228,132,10,0,0,9797,8714,507,238,47,120,95,234,46,83,65,0,12181,10198,774,559,245,349,54,12181,10198,774,502,178,139,30,44,316,10602,9366,442,409,81,193,80,0,0,0,0,0,11388,10201,287,372,116,207,160,372,90,131,160,11249,9991,392,255,88,262,162,255,35,127,162,5614,2010,3472,5280,868,4043,5243,537,4488,5159,654,4334,5193,1464,3701,5115,1067,4043,5692,1040,4381,6797,1292,5311,6696,1023,4692,6503,1254,5237,6491,1433,4988
38,38,14002,12603,367,495,291,317,27,0,0,15946,13581,964,918,329,315,52,0,0,17275,14109,1008,1014,558,653,80,17547,14496,1089,1276,501,286,20,1076,97,101,17,16,668,16669,13664,1077,997,527,332,31,10389,9496,239,330,174,184,16,0,0,11754,10427,567,519,125,129,2,476,57,49,0,0,12658,10574,640,638,368,398,56,12658,10574,640,493,223,186,19,50,473,12861,10934,822,776,138,135,0,0,0,0,0,0,11921,10445,684,357,193,156,4,319,131,70,4,11912,10129,736,516,203,257,9,441,136,162,9,5986,2176,3677,6808,1315,4853,6757,730,5728,6695,940,5457,6099,2033,4035,6014,1432,4576,6615,1388,4984,7263,1718,5349,7201,1303,5375,7026,1667,5354,7034,1850,5167
39,39,14504,14007,206,52,51,203,6,0,0,16747,15515,503,204,140,442,15,0,0,15749,14547,463,177,176,366,46,16163,14929,631,167,126,397,11,112,65,120,6,6,305,16114,14450,799,193,125,678,20,11410,11115,115,23,36,129,4,0,0,12475,11812,242,75,40,249,11,70,31,131,28,0,11932,11245,254,95,101,219,25,11932,11245,254,40,64,92,10,11,216,12079,11526,260,59,60,203,6,0,0,0,0,0,11731,11029,306,38,57,297,10,39,10,146,10,11725,11006,253,43,46,369,15,25,11,163,15,7424,2123,4922,8263,969,6767,8251,581,7408,8236,792,7226,7869,1799,6029,7811,1215,6583,7982,923,6797,8827,1185,7444,8691,882,6477,8511,1228,7274,8525,1540,6890
40,40,13338,11097,669,840,340,536,82,0,0,15226,11558,1471,1211,512,828,55,0,0,15831,11578,1437,1490,679,644,134,15720,12051,1337,1570,358,809,86,1253,203,354,38,0,473,15389,11733,1400,1663,313,523,67,9936,8478,420,532,233,325,46,0,0,10680,8583,995,573,125,390,20,383,104,262,6,0,12019,8928,1044,1063,492,444,97,12019,8928,1044,805,314,198,62,47,621,11757,9400,930,805,96,390,20,0,0,0,0,0,11384,9180,869,869,118,266,0,759,98,135,0,11540,9321,912,776,132,328,0,645,100,193,0,4580,1899,2589,4163,1033,2560,4110,649,3174,4053,795,2985,3719,1514,2175,3671,1141,2513,4181,1160,2794,4827,1493,3109,4777,1129,3297,4649,1464,3169,4649,1520,3104
41,41,14211,12836,236,466,487,185,19,0,0,16560,13889,530,1721,235,277,0,0,0,16990,13409,426,1774,909,423,27,17514,14177,773,1682,621,501,0,1593,545,119,0,11,296,17004,13730,459,1851,511,403,0,10807,10006,137,218,324,104,12,0,0,11735,10869,223,488,77,85,0,443,57,41,0,0,12884,10667,269,965,619,287,23,12884,10667,269,879,547,109,12,48,353,12561,11511,293,426,93,116,0,0,0,0,0,0,12640,11280,324,811,72,137,0,794,60,89,0,12660,11423,482,435,239,113,0,403,193,63,0,7150,3449,3592,7780,2934,3946,7719,1635,5720,7692,1608,5729,7508,4163,3297,7307,3056,4240,7915,3149,4443,8655,4057,4279,8591,3061,5207,8308,3652,4641,8347,3644,4681
42,42,17920,15055,606,680,859,843,56,0,0,17397,13041,1008,1152,1095,1123,170,0,0,16424,11924,1185,1197,1247,918,73,17154,12943,1152,1143,1164,868,112,854,857,703,51,69,528,17465,13708,1157,890,1090,736,47,14929,12875,398,447,733,533,43,0,0,13439,11085,647,530,361,613,85,460,257,487,113,0,13258,10082,772,752,1046,579,58,13258,10082,772,611,895,289,25,25,559,13184,10791,751,472,438,565,30,0,0,0,0,0,13056,11122,763,276,395,470,20,255,244,324,20,12398,10487,675,226,483,425,18,218,349,170,18,7565,3996,3428,6155,2203,3201,5880,1572,3930,5684,1556,3767,4585,2390,2162,4410,1734,2656,5140,1934,2938,5032,2103,2710,4917,1687,2974,4693,1927,2758,4702,1992,2690
43,43,12901,11226,322,509,403,480,20,0,0,15001,11913,689,1003,703,450,294,0,0,16022,12269,721,1352,1047,676,28,15270,12084,530,1012,671,713,366,827,565,448,360,63,391,15236,12112,589,1005,759,756,341,10487,9443,205,285,274,293,12,0,0,11456,9878,363,534,242,308,135,534,192,161,0,0,13230,10640,538,866,740,456,16,13230,10640,538,726,631,233,4,27,431,11819,10117,304,491,319,377,150,0,0,0,0,0,12031,10484,296,461,289,297,185,395,233,215,185,12516,10969,368,568,351,204,0,473,266,175,0,5995,3111,2786,5836,2345,2916,5741,1632,3905,5618,1578,3826,5617,3226,2368,5403,2262,3136,5982,2512,3260,6704,3136,3347,6589,2470,3855,6281,2839,3434,6298,2838,3448
44,44,16572,14676,370,373,808,425,16,0,0,16187,13762,383,1002,678,372,71,0,0,17186,14261,782,827,737,650,21,16546,13948,581,997,750,350,37,870,547,129,8,0,464,18154,15449,707,944,814,377,0,14309,12785,254,257,722,316,7,0,0,13293,11963,193,567,257,209,4,506,115,100,76,0,14969,12666,590,630,636,483,17,14969,12666,590,494,522,220,6,27,444,13667,12239,306,595,287,188,8,0,0,0,0,0,15346,13748,434,573,389,204,0,512,325,95,0,15451,13942,413,560,392,115,4,523,258,27,4,8024,4602,3249,7971,3582,3285,7763,2343,4946,7667,2383,4833,7072,4622,2401,6795,3588,3185,7357,3598,3395,7356,4069,2963,7294,3347,3596,7070,3828,3225,7096,3847,3236
45,45,16190,14945,198,184,604,267,20,0,0,16664,14703,556,531,382,493,64,0,0,16671,14718,481,632,365,460,10,16627,14771,666,536,257,389,81,355,223,114,26,10,462,16839,14678,774,303,585,402,9,12855,11890,131,129,524,185,15,0,0,12639,11818,312,166,83,223,21,152,75,128,21,0,13397,11858,387,534,293,318,8,13397,11858,387,399,221,150,2,11,369,12490,11702,314,181,48,197,27,0,0,0,0,0,12763,11673,383,171,195,322,4,158,120,130,4,13541,12289,493,198,256,280,5,182,122,109,5,8594,4302,4122,8176,2960,4248,8093,1671,6040,8038,1761,5952,7490,4066,3378,7282,2851,4411,7739,2878,4547,7841,3328,4236,7808,2532,4973,7543,3060,4470,7579,3142,4416
46,46,14914,13682,250,436,373,213,16,0,0,18442,16216,661,822,734,307,11,0,0,17220,14107,491,1394,741,478,32,16688,14197,291,1191,718,373,19,1122,652,42,0,9,375,16558,13359,522,1530,881,300,0,11405,10648,153,225,253,134,11,0,0,13440,12543,223,337,239,102,0,337,153,30,0,0,13071,11140,299,810,485,302,28,13071,11140,299,730,427,114,14,21,326,12152,11228,172,439,89,219,0,0,0,0,0,0,11631,10614,326,254,204,157,0,244,97,29,0,12139,10543,266,638,475,175,0,619,366,57,0,7680,3770,3786,8181,3337,3963,8138,1881,5909,8112,1895,5901,7768,4436,3292,7581,3166,4401,8268,3416,4549,9027,4377,4343,8929,3304,5315,8611,3929,4668,8649,3990,4639
47,47,12741,11975,143,117,192,335,9,0,0,16239,14594,221,356,479,523,45,0,0,15887,13899,295,542,387,667,92,16652,14570,196,359,378,526,36,307,284,360,36,27,871,15638,13704,158,399,299,391,116,9769,9337,75,52,126,194,7,0,0,11809,11069,64,215,201,219,45,215,169,174,0,0,12085,10856,186,311,263,374,68,12085,10856,186,279,220,264,60,21,199,11933,11174,55,219,168,287,35,0,0,0,0,0,11593,10801,136,184,94,323,50,180,49,124,50,11466,10669,240,49,82,398,16,49,51,184,16,6936,2289,4552,8360,2041,5631,8364,1164,6962,8322,1261,6867,8182,3083,5058,8036,1839,6178,8554,2188,5985,9247,2765,6194,9131,2240,5882,8809,2494,6294,8809,2907,5861
