ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
18,18,41693,39875,519,742,233,359,38,0,0,42792,40323,793,1017,245,244,116,0,0,43359,39966,788,1048,383,1022,37,43268,40820,744,863,488,287,125,475,312,101,26,36,749,42407,39721,784,1174,237,325,83,31451,30240,323,487,153,258,28,0,0,32223,30642,539,637,191,140,14,497,120,57,40,0,33296,30936,493,720,250,779,21,33296,30936,493,566,141,103,10,55,992,32349,30940,493,476,174,236,17,0,0,0,0,0,32339,30942,488,600,57,253,4,344,8,16,4,32240,30781,448,653,76,253,9,337,14,11,9,17336,5401,11623,16071,4740,11331,18303,3651,13911,18116,5889,12227,14049,4884,8814,13930,3593,10337,17531,4644,12543,20562,4575,15696,20667,5360,14179,17931,4751,12928,20899,4305,16326,20593,3888,16705
19,19,42466,36866,1418,3485,433,304,47,0,0,43850,36012,1813,4262,1348,553,101,0,0,46444,38150,2070,4493,635,982,81,44096,36059,2098,4565,887,491,110,3827,729,288,35,55,1004,44731,36794,1847,4460,961,506,39,31899,28340,835,2243,266,238,27,0,0,32272,28752,380,2454,314,358,30,2344,313,182,26,0,35192,29878,1283,2738,427,761,49,35192,29878,1283,2475,345,81,31,72,1027,32278,28637,735,2364,269,388,35,0,0,0,0,0,32928,29223,690,2297,368,384,40,2229,371,43,40,33755,30079,770,2191,437,269,0,2029,337,31,0,17483,6368,10848,16431,5869,10562,18677,5053,12886,18590,6767,11823,13614,5999,7384,13475,4924,8551,17921,6217,11387,21806,6843,14628,21676,7802,12956,18590,6431,11917,22822,6368,16097,22617,5749,16868
20,20,42244,32992,2084,4823,2082,279,120,0,0,47894,36875,2669,5703,1886,587,423,0,0,46982,33114,3439,5418,3767,905,382,48752,37509,2461,5568,2561,429,444,4168,2316,114,413,27,1749,48750,36669,2707,5079,3746,426,309,34096,27528,1312,3622,1430,211,91,0,0,36285,30425,934,3947,463,360,40,3489,364,112,109,0,37721,28143,2261,3948,2431,719,239,37721,28143,2261,3501,2187,64,194,140,1231,37142,31166,869,3971,750,319,60,0,0,0,0,0,36548,31099,746,3401,827,302,55,2562,663,68,55,37306,31326,975,3303,1180,233,16,2631,1042,14,16,15680,6755,8701,15024,6250,8774,16031,6565,8437,16020,6850,9170,11838,6605,5083,11688,5702,5986,15141,7017,7789,17653,8309,8971,17682,7967,8925,15328,7187,7931,17314,7675,9352,17210,6647,10563
21,21,46574,44110,786,1295,114,275,11,0,0,46581,43564,877,1333,374,363,3,0,0,46415,42498,1423,1455,173,718,42,46704,43506,968,1429,325,283,9,1166,177,45,2,119,721,46505,43188,1141,1412,246,382,46,35879,34211,448,930,78,216,6,0,0,36155,34375,267,1043,154,344,4,986,100,80,0,0,36047,33322,896,1019,141,548,19,36047,33322,896,838,70,36,4,89,792,36250,34525,254,1112,125,267,4,0,0,0,0,0,35735,34175,259,951,79,254,25,789,69,47,25,35702,33886,341,1043,40,371,17,780,21,49,17,19093,4782,13839,19006,4545,14461,20907,3359,16908,20089,5244,14845,14865,4461,10110,14535,3336,11199,19080,3988,14825,22414,3532,18632,22244,4125,17057,19365,3956,15231,22851,3200,19441,22408,2917,19491
22,22,42614,39167,697,2242,267,307,13,0,0,45083,40960,932,2785,321,136,77,0,0,46693,40927,1416,2706,406,1051,78,45607,41452,968,2832,355,217,12,1887,184,74,0,37,1009,47448,42431,1112,3384,291,533,13,32016,29726,378,1522,187,245,7,0,0,33512,31111,351,1889,69,85,0,1716,58,30,0,0,35471,31620,835,1832,241,778,51,35471,31620,835,1578,175,74,20,77,1092,34143,31749,317,1835,119,125,0,0,0,0,0,0,35580,32584,490,2058,99,293,0,1707,67,16,0,36497,33386,539,1427,164,958,4,1233,36,42,4,17487,5641,11532,16606,5205,11401,18588,4192,13640,18325,5445,12880,12341,4798,7320,12166,3927,8239,17361,4951,12097,21548,5303,15884,21493,6037,14450,17908,5064,12609,21974,4965,16739,21717,4722,16995
23,23,42173,38597,1110,1977,254,304,51,0,0,43884,39665,1415,2232,391,257,7,0,0,44485,38804,1889,2339,354,932,69,44026,39678,1470,2287,398,282,16,1495,161,33,0,54,1135,44511,39734,1608,2345,439,504,53,31957,29663,661,1295,163,217,21,0,0,32790,30775,340,1437,90,139,0,1282,10,0,15,0,33802,30012,1186,1532,232,717,53,33802,30012,1186,1316,191,61,44,64,928,33045,30845,418,1427,120,208,0,0,0,0,0,0,33545,31085,528,1454,200,228,0,1204,170,10,0,33581,30898,654,1511,229,237,4,1246,182,6,4,16869,5434,11133,16301,5388,10913,18483,4275,13483,18336,7460,10876,13229,5280,7693,13090,4303,8787,17122,5337,11484,20055,5127,14654,20022,5600,13341,17341,5388,11734,19802,4565,15019,19501,4116,15385
24,24,43650,40558,821,1827,125,317,23,0,0,43912,40474,901,2049,153,379,0,0,0,45262,41152,1012,1755,228,899,59,44102,40565,1008,1988,158,390,0,1528,154,133,0,70,644,45445,41566,1089,2090,195,406,99,33181,31090,466,1297,82,254,11,0,0,33270,31375,233,1361,44,275,0,1257,44,139,15,0,34358,31509,562,1226,156,692,45,34358,31509,562,1028,80,89,16,64,1010,33465,31485,293,1350,34,285,0,0,0,0,0,0,34840,32380,614,1450,119,315,0,1242,85,126,0,35251,32774,672,1024,125,603,4,826,101,85,4,18167,5407,12335,16942,5147,11795,18963,3840,14491,18594,6291,12303,13763,4738,8721,13608,3739,9869,17861,4624,12942,21482,4332,16868,21437,4944,15414,18288,4616,13467,21525,3813,17497,21106,3540,17566
25,25,41420,32532,1706,5608,1330,418,209,0,0,41627,31442,2136,5999,1898,834,141,0,0,43738,32409,2373,6207,1629,1218,237,42990,33003,1886,6095,1733,446,150,5054,1254,93,96,22,1591,44427,33740,2261,6505,1757,657,240,30953,25202,1021,3604,878,289,119,0,0,31463,24766,1278,3953,977,385,73,3634,811,70,93,0,33649,25774,1487,4287,1173,902,144,33649,25774,1487,3699,859,111,90,119,1510,32389,25909,1106,3949,873,307,39,0,0,0,0,0,33160,26280,1245,4341,691,350,18,4052,550,70,18,33330,26165,1200,4726,677,335,30,4286,595,56,30,16590,6748,9633,16044,6654,9390,17630,6103,10582,17545,7624,9921,12920,6427,6230,12842,4900,7942,16730,6834,9508,19799,7839,11541,19763,8028,10786,17028,7038,9693,19102,7197,11549,18858,6596,12262
26,26,43335,38285,1622,2421,656,504,120,0,0,44764,39019,2051,2688,685,482,111,0,0,42935,35866,2112,2773,819,1196,168,46303,40317,2193,2867,713,500,63,2240,434,136,43,27,915,45063,37904,2825,3316,659,546,100,32129,28892,967,1514,452,360,81,0,0,34450,30953,1070,1501,392,432,31,1431,342,196,69,0,33014,28226,1366,1767,586,897,112,33014,28226,1366,1469,383,92,61,93,1324,35511,31720,1271,1754,418,349,14,0,0,0,0,0,34062,30079,1479,1806,315,392,15,1730,216,85,15,33941,29685,1647,1751,413,358,4,1562,293,59,4,14988,5209,9523,14574,5014,9560,16461,4066,11660,16269,6044,10225,11787,5092,6391,11620,4060,7560,15672,5044,10288,19103,5214,13570,18973,5808,12318,16113,5193,10677,19210,4976,13975,18838,4875,13963
27,27,44674,35685,2206,5313,1130,715,272,0,0,44396,35338,2524,5642,1082,410,187,0,0,45928,34830,2674,5885,1173,1373,308,44319,34713,2808,5831,1146,471,229,4314,511,147,114,101,1622,46112,36560,2528,5347,1247,616,263,32741,26915,1299,3383,785,484,152,0,0,33424,27450,1436,3539,579,300,35,3245,300,163,104,0,34126,26807,1619,3797,791,1008,166,34126,26807,1619,3201,493,167,112,130,1597,33539,27178,1477,3779,599,359,8,0,0,0,0,0,34924,28468,1474,3825,673,428,8,3536,444,64,8,35295,28801,1719,3595,625,456,21,3369,402,51,21,16382,7009,9112,15555,6741,8814,17327,5422,11078,17163,7834,9329,12291,5841,6127,12139,4792,7347,16404,6281,9724,19913,6675,12816,19715,7107,11554,16713,6308,10089,19273,5630,13323,19027,5476,13551
