ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
28,28,45518,40523,870,3352,480,342,52,0,0,47067,39375,1060,5639,623,350,24,0,0,46957,35387,2416,7268,666,1124,79,45583,37584,1154,5513,601,315,93,4715,508,27,93,433,1070,47094,35973,2220,7842,596,459,64,34629,31462,545,2078,324,255,34,0,0,35717,31328,377,3280,444,250,18,3090,402,40,32,0,36398,28644,1598,4679,505,852,52,36398,28644,1598,4179,365,101,25,119,1367,34246,29890,370,3326,403,232,48,0,0,0,0,0,34874,28780,768,4723,363,292,23,4213,320,8,23,33637,26559,1134,4514,237,1000,0,4096,111,58,0,20753,9094,11352,18615,8549,10066,20256,7583,11785,20139,10107,10032,15044,8909,5798,14834,7444,7390,18807,8882,9550,21397,9336,11691,21400,9937,10572,18778,9059,9441,20082,8593,11184,19655,9475,10180
29,29,34339,29975,908,2633,712,190,30,0,0,39497,32705,1586,4134,836,150,26,0,0,42901,32280,2557,5800,1440,789,82,39127,31894,1920,4282,835,164,14,3698,688,0,10,145,771,41244,31300,2159,5726,1775,216,7,25846,23032,539,1733,446,137,20,0,0,29707,25655,690,2767,490,93,11,2694,425,0,15,0,32975,25869,1636,3822,972,602,55,32975,25869,1636,3417,757,47,20,111,1118,29679,25315,916,2887,516,124,10,0,0,0,0,0,30932,25164,970,3657,964,145,4,3495,767,6,4,31963,25033,933,4319,1124,402,11,4071,867,7,11,18738,7250,11319,18750,7087,11663,20446,7463,11960,20336,8748,11588,16952,9052,7621,16751,7395,9356,20624,9064,11143,24640,10727,13423,24702,11002,12873,21361,9656,11401,24955,11014,13584,24491,11334,13156
30,30,42004,18175,4396,18518,1083,401,84,0,0,44947,16265,5973,20644,2168,291,40,0,0,45907,15312,8280,18866,3317,869,103,44305,16497,6561,18841,2642,185,63,17746,2173,66,11,115,1136,44259,16995,7593,17609,2304,539,84,31161,15039,2871,12577,748,261,52,0,0,29073,13092,1628,13574,550,137,15,13439,456,64,78,0,34522,12676,5911,13539,2298,613,72,34522,12676,5911,12529,2053,61,24,151,1117,27883,13026,1442,12408,821,102,10,0,0,0,0,0,28400,13257,2049,12000,899,233,0,11326,421,4,0,27482,12871,2084,10952,1190,605,0,10213,722,25,0,17209,12651,4407,15947,12166,3781,16391,11904,3841,16310,12556,3754,11965,9671,2145,11855,8830,3025,15067,11395,3431,16991,12593,4087,17005,12796,3730,14545,10955,3431,13471,9349,3885,13277,9669,3607
31,31,41702,33837,1906,4027,1791,217,62,0,0,44379,33334,1799,5820,3553,424,65,0,0,44103,31919,2748,4916,3754,711,68,43586,33925,1557,4558,3101,368,26,3638,2740,192,6,144,1392,44707,34300,1225,5171,3480,153,34,33085,27511,1292,2865,1313,153,35,0,0,31869,26125,804,3601,947,179,10,3398,868,85,249,0,35267,26569,1894,3539,2642,541,49,35267,26569,1894,3129,2450,57,22,143,1003,32036,27371,692,2823,715,236,4,0,0,0,0,0,32863,27863,680,3286,814,103,4,3063,733,9,4,32891,27589,898,3063,955,455,4,2805,733,36,4,23384,10138,13023,22599,9595,13004,22994,9982,11785,23005,10955,12050,18770,10752,7720,18552,9066,9486,22342,11087,10832,25385,12884,12039,25468,12850,11914,22518,11451,10772,24138,12241,11461,23799,12840,10951
32,32,46026,34837,2525,6307,2262,325,58,0,0,47527,34176,3152,7625,2608,276,75,0,0,46570,32684,3160,7484,2460,854,72,47141,33700,2772,7994,2709,203,99,6926,2217,41,0,72,1410,47652,33552,2280,8599,3122,627,66,36286,28520,1689,4379,1578,207,42,0,0,34984,27842,936,4798,1196,183,0,4594,1048,67,88,0,37515,27435,2174,5398,1853,633,46,37515,27435,2174,4813,1602,49,18,141,1283,35173,27778,758,5146,1188,152,0,0,0,0,0,0,35788,27908,914,5175,1360,324,1,4754,1064,27,1,34812,26761,1396,4657,1453,485,1,4107,1074,42,1,24280,12701,11354,23096,11845,11251,24791,13157,9920,24800,13894,10906,19399,12877,6217,19159,11140,8019,23542,13884,9141,26605,16105,9955,26705,16126,9871,23510,14114,9082,24483,14488,9482,24154,14948,9204
33,33,40305,34812,1247,2824,1257,227,44,0,0,42847,35731,1671,3669,1433,397,14,0,0,43242,34933,1981,3468,1956,795,47,43401,36208,1624,3477,1575,395,12,3019,1347,39,1,46,1114,43633,36315,1194,3487,1892,396,18,30287,26724,729,1897,820,149,28,0,0,31507,27778,484,2285,637,265,4,1944,541,104,41,0,33477,27804,1280,2423,1291,589,23,33477,27804,1280,2126,1101,43,6,99,1018,32257,28862,489,2096,557,312,4,0,0,0,0,0,32979,29346,407,2235,677,267,3,2099,579,37,3,32714,28090,768,2295,824,636,3,2148,661,47,3,22867,8968,13682,22529,8240,14289,23603,9120,13143,23630,9808,13822,19073,9804,8986,18847,8084,10763,22888,10073,12370,26138,11818,13827,26240,11808,13701,23233,10488,12453,25633,11627,13586,23090,8909,14146
34,34,45987,40610,1068,3014,1111,260,32,0,0,45845,39961,1092,3549,1137,227,44,0,0,47020,38926,1806,3773,1622,738,72,46227,39893,1054,3552,1569,268,48,2993,1410,38,2,108,724,45388,39046,1228,3145,1683,307,25,37706,33862,757,2132,793,205,26,0,0,37133,33358,557,2541,527,165,4,2347,433,34,68,0,38861,32911,1306,2729,1171,577,42,38861,32911,1306,2361,912,60,9,121,1181,37611,33499,460,2607,924,159,4,0,0,0,0,0,36760,32583,520,2379,1155,164,0,2266,868,23,0,36352,31638,538,2327,1246,567,0,2083,904,59,0,27208,14961,11917,25913,14095,11818,26988,15698,9336,27089,16137,10952,23032,16308,6443,22722,14294,8428,26398,16764,9117,29293,19259,9480,29434,18870,9989,26388,17142,8971,27098,17986,8571,26808,18442,8365
35,35,42915,28376,5388,6881,2302,416,127,0,0,42899,26496,6545,7003,2780,407,167,0,0,43114,22712,8703,8583,2603,968,99,41413,24183,6109,8502,2692,277,140,7710,2411,57,3,42,895,42063,22572,6790,10535,2284,357,190,32450,22875,3680,4305,1575,299,70,0,0,29334,21451,1945,4519,1118,318,4,4353,1006,107,30,0,32925,18896,6102,5591,1867,738,66,32925,18896,6102,4941,1680,62,33,123,1088,27451,19530,1879,4898,940,213,4,0,0,0,0,0,27551,18700,1983,5661,918,190,4,5434,817,28,4,26637,16898,2404,5653,1010,491,4,5276,932,31,4,15494,8152,7099,13999,7817,6182,14460,7138,6530,14347,8417,5930,10614,6977,3445,10503,6121,4382,13403,7608,5534,15348,8292,6768,15337,8674,6153,13281,7588,5520,13584,7001,6329,13349,7484,5859
36,36,34267,29367,983,2422,1403,147,46,0,0,39396,32233,1232,3460,2328,217,52,0,0,44411,34497,1897,4240,2972,774,77,41066,33178,1685,3714,2443,138,40,3423,1843,19,2,80,834,44491,36720,1543,3165,2826,81,19,25007,21837,613,1590,872,102,24,0,0,28577,24275,525,2437,1112,180,15,2385,963,66,42,0,33913,27174,1297,2885,1932,535,48,33913,27174,1297,2563,1728,40,16,110,985,30232,25447,840,2676,1136,111,4,0,0,0,0,0,32595,28183,919,2354,1102,53,0,2264,978,19,0,34155,28000,1661,2944,1279,268,0,2795,1140,31,0,18360,6606,11592,19343,6366,12977,21876,7992,12766,21863,8535,13328,18223,8870,9091,18054,7354,10700,22285,9303,12578,26891,11583,14828,26988,11513,14802,23245,9989,12972,27656,12093,15102,27185,11687,15498
37,37,44208,37597,2503,3237,661,354,58,0,0,44968,35297,2878,5348,1417,261,22,0,0,46374,33068,5395,5598,1262,1130,73,44246,34023,3543,5520,1147,249,27,4772,896,0,6,43,964,46100,33206,5278,6659,1018,327,76,33019,29000,1510,1903,412,265,35,0,0,33062,27969,897,3308,773,127,14,3158,669,0,18,0,35715,26746,3586,3658,867,894,44,35715,26746,3586,3175,686,58,18,94,1352,33107,27959,1177,3293,613,97,4,0,0,0,0,0,33161,27212,1698,3786,331,94,0,3260,232,0,0,32535,25097,2447,3764,664,557,12,3112,564,12,12,17955,7765,9926,16575,7465,9110,18168,6663,10494,18036,8776,9260,13265,7574,5361,13116,6352,6764,17042,7837,8787,19988,8584,10974,19934,9127,9911,17123,7979,8845,18648,7457,10889,18252,8093,10158
38,38,44707,35480,2216,5631,1156,383,90,0,0,44748,30627,3875,8722,1339,394,17,0,0,46333,28945,4522,9721,2177,1062,205,45279,29990,4570,9067,1455,556,51,7385,1272,14,37,205,1801,45754,28717,3798,10546,2263,946,56,34179,28233,1497,3531,754,277,54,0,0,31715,24621,1354,4894,634,234,12,4576,604,0,45,0,35569,23868,3159,6267,1444,839,142,35569,23868,3159,5604,1274,92,110,107,1355,32054,24194,1538,5472,583,386,37,0,0,0,0,0,32920,23811,1267,6480,938,485,21,5732,792,18,21,32219,23057,1654,5496,1057,819,12,4913,900,39,12,18838,8933,9664,17143,8626,8517,18276,8395,9018,18200,10131,8069,13479,8484,4749,13301,7328,5973,16969,9056,7585,19382,9783,9232,19402,10249,8488,16812,9062,7530,17476,8452,8697,17151,9162,7985
39,39,39947,35354,1168,2139,1064,277,42,0,0,44135,38161,1891,2636,1422,149,10,0,0,44482,36309,2203,3531,1329,875,69,44270,37966,1942,2827,1437,217,5,2076,1249,19,0,25,1003,44243,37452,2407,2614,1395,374,8,29365,26519,689,1295,680,203,21,0,0,31846,28664,644,1725,622,151,0,1492,545,0,29,0,33165,27966,1316,2171,888,651,46,33165,27966,1316,1814,719,64,27,82,1177,32206,28914,749,1761,579,146,0,0,0,0,0,0,32505,29034,998,1556,602,266,0,1286,453,25,0,32944,28689,1230,2102,698,191,7,1773,542,0,7,17408,6481,10673,17783,6190,11593,19464,6660,11501,19459,9235,10224,15880,8272,7333,15757,6818,8939,19060,8181,10427,21918,9041,12381,22054,9058,12199,19445,8517,10614,21720,8655,12598,21607,7611,13996
40,40,44646,20395,2012,21493,565,470,114,0,0,43855,19755,2332,20326,1152,634,131,0,0,43888,16384,3241,22514,1150,945,88,41564,17052,2482,20157,1462,776,168,18347,1114,137,165,121,2151,40251,15254,2847,20815,1068,1228,172,32880,16925,1290,14123,383,348,65,0,0,31582,16135,545,14002,445,465,15,13489,376,208,88,0,32829,13980,2136,15429,751,709,62,32829,13980,2136,14593,576,103,19,124,1298,28704,14101,696,12984,400,509,10,0,0,0,0,0,27987,13079,968,13173,287,594,10,12320,196,39,10,28539,12888,1047,13479,213,946,7,12679,130,39,7,16502,12502,3786,14796,11758,3038,15129,11350,3219,15062,12099,2963,10649,8974,1491,10527,8341,2186,13660,10769,2691,15441,11865,3259,15436,12075,2880,13236,10441,2663,12623,9371,3022,12470,9721,2745
41,41,45406,39276,1537,3461,908,346,43,0,0,47139,40462,1574,3941,1013,202,30,0,0,46873,37362,2494,4597,1407,850,94,47889,41424,1750,3820,909,268,27,2909,724,4,0,132,947,48595,41107,2166,4088,1227,392,69,37803,33351,1096,2521,658,271,37,0,0,37928,33987,613,2587,539,134,0,2358,468,4,81,0,39341,32175,1855,3456,1024,658,73,39341,32175,1855,2951,760,50,37,177,1336,38546,34388,637,2659,470,266,0,0,0,0,0,0,39133,34445,706,2910,686,239,10,2639,388,4,10,38502,33583,959,2579,588,583,12,2384,312,25,12,26009,16529,9127,24015,15499,8516,25898,17017,7146,25910,17731,8179,22580,17677,4616,22269,15979,6290,25438,18213,6738,28070,20487,7064,28189,20440,7129,25382,18492,6610,25573,18677,6328,25292,19378,5904
42,42,41674,15790,693,24474,692,461,51,0,0,43601,18472,1350,23191,517,388,28,0,0,44505,18248,1514,23096,1162,836,119,45052,18636,1642,23780,717,359,25,22584,373,85,4,544,1184,43807,18744,1155,22721,905,462,13,33062,14179,495,17740,570,337,37,0,0,33446,16856,682,15358,255,198,4,15143,141,44,82,0,36451,16729,1178,17111,968,668,89,36451,16729,1178,16161,733,90,19,204,1337,34836,17128,824,16219,364,214,4,0,0,0,0,0,34986,17434,700,16307,317,309,4,15875,156,45,4,34239,17253,876,15143,352,722,9,14347,222,84,9,18931,16402,2324,16177,14382,1795,16983,14360,1856,16910,14635,2275,12691,11601,966,12566,10972,1594,15589,13661,1703,17303,15074,1907,17335,15245,1743,15060,13214,1708,13896,11720,1834,13801,12091,1702
43,43,47832,18234,783,28135,578,466,82,0,0,46671,19111,893,25977,555,466,31,0,0,45177,18478,1303,23790,997,823,73,46282,20213,835,24167,676,537,29,23283,493,85,18,183,1171,45616,20697,1192,22503,745,660,58,36180,15594,587,19415,463,367,52,0,0,35464,16635,421,17925,228,359,20,17508,179,80,52,0,36178,16432,1027,17364,838,629,48,36178,16432,1027,16584,658,115,10,226,1126,36910,18031,436,17742,298,387,18,0,0,0,0,0,37040,18678,635,17051,347,413,24,16710,190,79,24,35548,17713,855,15436,531,1067,28,14776,382,138,28,17165,14704,2278,16166,14208,1958,16021,13222,2069,15934,13617,2317,12086,10758,1208,11952,10114,1838,15012,12779,2017,17168,14411,2432,17191,14561,2254,14656,12444,2079,13937,11325,2311,13751,11636,2110
44,44,42422,22527,1061,18416,320,303,36,0,0,42770,18900,1776,21546,419,231,69,0,0,43749,17765,2611,22265,475,852,45,45713,19095,1826,24209,506,229,25,23257,234,38,25,280,954,45340,17629,2382,24650,772,410,17,31567,18024,645,12579,216,233,21,0,0,31960,15910,652,15118,59,53,15,14985,49,32,125,0,33113,14816,1732,15730,315,614,41,33113,14816,1732,15059,194,64,12,131,1105,32875,15746,607,16077,169,82,4,0,0,0,0,0,32024,14785,667,16017,235,190,0,15647,236,24,0,32858,14603,1452,16007,196,948,8,15185,178,15,8,19112,13453,5481,18057,13488,4569,18099,12660,4975,17947,13678,4269,13508,11064,2267,13375,10159,3216,16825,12562,4050,19110,13742,5085,19101,14038,4527,16562,12357,4043,16520,11376,4932,16277,11810,4467
45,45,41467,35795,981,1685,2861,193,20,0,0,44533,36654,1550,2677,3575,374,13,0,0,44429,35914,1690,1963,4022,800,33,44955,36418,1657,2501,4317,304,9,1916,3638,87,0,161,1081,44411,36464,1393,2545,4017,272,0,30888,27316,618,1055,1806,119,10,0,0,31544,28281,844,1065,1173,147,0,927,1038,72,35,0,34049,28355,1058,1265,2728,599,25,34049,28355,1058,998,2530,36,8,67,997,31470,28215,822,1051,1281,94,0,0,0,0,0,0,31597,28063,788,1158,1467,95,0,948,1329,4,0,31281,28147,610,864,1439,147,4,676,1265,7,4,22979,8669,14041,22206,7909,14297,24583,9368,13488,24686,11840,12846,20964,11147,9505,20742,9486,11256,24355,11285,12546,27586,13063,14011,27675,12770,14181,24596,11750,12506,26192,12252,13314,26165,10485,15680
46,46,43536,31881,2292,8276,1037,258,57,0,0,44118,32024,2753,8485,853,250,53,0,0,45444,28609,4085,10086,1935,915,72,44624,31240,2757,9934,821,106,32,9097,637,0,0,62,832,46081,30284,3898,11246,1285,313,36,33232,25348,1467,5621,722,185,32,0,0,33103,25567,938,5878,529,55,0,5678,384,30,137,0,35763,23686,2949,7174,1394,693,48,35763,23686,2949,6572,1148,62,19,122,1205,33052,24685,1180,6535,468,38,0,0,0,0,0,0,33221,24280,1200,7016,444,132,0,6843,327,4,0,32179,22992,1529,6386,625,613,21,6072,484,18,21,21754,10986,10537,20509,10594,9915,21525,10633,9730,21464,11923,9541,16909,10782,5815,16685,9192,7493,20585,11455,8695,23504,12962,10059,23542,13274,9475,20545,11616,8632,21398,11572,9423,21040,12099,8941
47,47,45877,42622,1705,1000,201,378,33,0,0,45936,42679,1545,1134,213,403,98,0,0,46240,41866,1783,1169,273,1041,63,46065,42161,1614,1508,292,348,82,920,137,19,82,113,1019,46312,42072,1679,1529,364,504,16,34463,32406,1001,648,132,293,17,0,0,34710,33035,501,677,74,326,53,657,74,80,15,0,35370,32497,1062,734,173,788,31,35370,32497,1062,505,93,94,7,62,1050,34845,32835,568,945,142,293,40,0,0,0,0,0,35085,33005,576,937,220,301,4,667,88,14,4,35131,33093,703,875,148,274,0,631,47,29,0,19402,7618,11321,18006,6970,11036,19787,4875,14048,19587,7380,12207,14516,5985,8219,14333,4990,9343,18581,5751,12489,22017,5368,16316,21955,6148,14666,18911,5740,12940,21848,4731,16824,17746,0,17709
48,48,38348,33587,810,1986,1886,167,24,0,0,42136,36302,1503,1851,2492,121,94,0,0,43653,36511,1373,2272,2678,600,48,43447,37553,1284,1903,2707,143,80,1349,2090,0,67,64,1049,44971,39356,1351,1820,2264,232,36,28629,25466,501,1359,1217,102,16,0,0,31506,27936,869,1359,1234,63,15,1320,1186,12,43,0,33667,28702,898,1612,1837,436,35,33667,28702,898,1386,1621,25,12,126,897,32526,28970,653,1345,1452,76,30,0,0,0,0,0,33952,30526,677,1212,1362,118,20,977,1213,9,20,33723,30041,564,1358,1351,339,0,1067,1035,7,0,22286,8915,13167,22655,8386,14269,24754,10672,12837,24961,10766,14195,20845,11267,9334,20624,9283,11341,24878,11732,12754,29032,14535,14025,29211,13928,14743,25486,12332,12885,28456,14267,13603,26750,12480,14237
49,49,36641,35323,437,342,207,310,28,0,0,39802,37823,881,617,217,300,43,0,0,43310,39772,900,862,463,1063,49,39388,36957,1232,669,284,349,35,244,234,5,4,36,674,42541,39738,914,699,304,452,75,27253,26442,256,169,140,226,25,0,0,30636,29419,510,344,102,223,15,227,88,8,15,0,32824,30541,533,464,286,769,31,32824,30541,533,341,164,78,10,50,1107,30260,28912,585,296,143,281,4,0,0,0,0,0,32890,31639,392,278,196,295,0,131,71,0,0,34391,33044,445,310,242,290,0,143,141,0,0,15774,5216,10311,16500,5027,11473,19572,4401,14298,19387,6709,12678,14577,6202,7991,14378,4711,9667,18951,5674,12845,22927,5657,16871,23008,6349,15562,19736,5896,13486,24150,5663,18104,23644,5455,18189
50,50,43437,39498,888,2536,312,222,30,0,0,45650,41252,985,2808,389,299,65,0,0,46738,41113,1214,2986,462,832,37,45915,41482,1022,2819,380,304,73,2347,268,16,0,30,750,46779,42112,1108,2885,421,510,62,32152,29707,462,1617,192,181,16,0,0,34475,31795,424,1813,160,238,0,1693,93,20,55,0,35749,32086,694,1931,272,633,35,35749,32086,694,1691,187,55,6,78,952,34855,32095,505,1832,176,193,0,0,0,0,0,0,35385,32810,435,1753,117,188,0,1639,78,4,0,35816,33080,430,1934,100,223,0,1779,84,18,0,18196,7654,10139,18271,7600,10671,20773,6434,13431,20579,8832,11747,15229,7387,7511,15032,5810,9222,19607,7259,11964,23245,7188,15703,23204,7943,14219,19974,7278,12412,22852,6515,16052,19402,2721,16676
51,51,44332,39614,915,3292,295,222,32,0,0,44816,39788,1133,3310,333,466,28,0,0,45604,39503,1401,3335,536,652,86,44829,39712,1160,3301,349,364,36,2557,317,43,36,65,939,45683,40441,1223,3352,382,393,25,33979,30665,559,2366,209,182,18,0,0,33885,30895,406,2173,70,166,30,1979,66,34,135,0,35116,30981,827,2263,384,492,62,35116,30981,827,2005,295,24,40,96,848,33980,30910,449,2190,110,162,35,0,0,0,0,0,34565,31575,310,2265,103,198,20,2066,103,35,20,34833,31474,559,2389,144,199,4,2251,140,8,4,18546,6761,11410,18027,6674,11353,19413,5232,13442,19110,7947,11163,14450,6248,7930,14238,5154,9084,18251,6108,11843,21440,5685,15489,21390,6423,13911,18554,6086,12253,21363,5089,15996,20940,4993,15947
52,52,49455,46078,1134,1606,222,516,48,0,0,48859,45070,1267,1825,448,307,40,0,0,47241,42931,1465,1536,281,919,28,49568,45688,1313,1704,301,467,23,1450,237,230,12,82,559,48374,44526,1149,1731,231,600,44,38265,35653,767,1350,158,414,34,0,0,37786,35389,429,1436,302,211,4,1387,295,78,10,0,36549,33340,941,1298,192,699,22,36549,33340,941,1129,143,98,4,48,846,38378,35902,504,1377,163,417,10,0,0,0,0,0,37429,35052,406,1292,126,490,4,1156,123,308,4,37760,34852,958,1443,108,336,5,1240,87,105,5,17114,4580,12182,17111,3872,13239,18693,2899,15343,18080,5185,12895,13828,4415,9125,13627,3185,10442,17679,3839,13575,21367,3535,17599,21163,4024,16079,17997,3878,13911,20564,3087,17298,17342,0,17342
53,53,38482,36592,527,879,262,228,27,0,0,41089,38590,848,1269,163,236,9,0,0,43342,39418,971,1227,354,1148,40,41525,38833,897,1290,213,212,11,959,171,21,11,0,633,43388,40369,1028,1434,131,305,21,28650,27453,296,575,159,169,15,0,0,31225,29750,390,879,58,124,10,819,50,15,4,0,33066,30508,564,775,185,841,29,33066,30508,564,610,129,68,13,68,1106,31655,30120,440,877,94,105,10,0,0,0,0,0,33145,31470,475,893,57,226,15,809,57,12,15,34036,32194,584,588,99,468,0,516,39,7,0,18633,5981,12263,18388,5848,12540,20933,4555,15438,20821,7464,13357,17077,6645,10044,16910,5235,11675,20785,6044,14325,24675,5878,18398,24642,6490,17047,21388,6228,14848,24575,5641,18577,22416,2926,19484
54,54,44386,40029,1174,2619,344,279,28,0,0,45857,40631,1462,2980,484,376,45,0,0,46555,39910,2029,3172,553,906,25,46058,40650,1470,2951,496,372,18,2528,275,188,0,175,772,46555,40870,1524,3315,530,352,8,34463,31527,712,1824,227,213,20,0,0,35675,32520,581,2023,173,294,0,1902,90,142,71,0,36390,31758,1323,2212,419,674,18,36390,31758,1323,1822,333,71,4,84,995,35840,32645,580,2117,181,314,0,0,0,0,0,0,36290,32800,660,2309,217,269,4,2248,164,18,4,36113,32369,895,2265,190,317,5,2003,136,4,5,18676,5988,12380,18136,5533,12603,19377,5048,13522,19226,7455,11771,15204,6307,8633,15088,4990,10098,18606,6070,12205,21638,6216,15051,21618,6472,14193,18944,6197,12531,21453,5794,15375,21194,5460,15734
55,55,42177,38406,1173,2148,207,274,32,0,0,42966,38247,1366,2771,345,214,31,0,0,43639,38355,1482,2490,307,879,54,43080,38429,1111,2787,465,232,27,2126,410,11,6,68,910,44294,39381,990,2766,446,695,51,32207,29813,675,1410,117,207,18,0,0,32470,30074,320,1792,86,160,10,1673,82,10,1,0,33783,30217,864,1694,201,679,35,33783,30217,864,1429,111,77,21,86,978,32674,30248,311,1848,153,109,4,0,0,0,0,0,33991,31008,431,1963,230,374,4,1613,183,8,4,34254,31316,418,1762,174,579,0,1428,89,16,0,18964,6235,12385,18447,5774,12673,20069,4816,14411,19864,8033,11831,16001,6775,8920,15801,5330,10471,19302,6265,12699,22303,6023,15916,22165,6578,14649,19720,6378,13102,22805,5612,16844,22506,5210,17296
56,56,41743,36802,1994,2262,516,230,38,0,0,44216,38571,2325,2375,741,368,46,0,0,43547,36995,2556,2452,695,826,63,44215,38461,2461,2475,641,343,38,1683,363,49,0,27,1176,44243,38594,2183,2368,763,351,126,31937,28720,1208,1531,326,167,21,0,0,32957,30516,415,1483,281,191,0,1339,190,67,64,0,34000,29619,1546,1691,466,614,36,34000,29619,1546,1460,327,49,13,70,916,33277,30812,494,1618,192,195,0,0,0,0,0,0,33597,30855,665,1595,277,175,30,1414,203,14,30,33307,30331,827,1772,181,189,21,1548,116,31,21,20188,7555,12335,19738,7401,12337,22200,7551,13001,22280,10352,11928,18916,9565,8988,18658,7905,10753,21831,9224,12075,24415,9837,14013,24706,10091,13708,22181,9565,12283,24417,9663,14258,24335,8514,15821
57,57,40368,33109,1205,5160,665,331,25,0,0,41458,33248,1485,5464,902,317,100,0,0,42866,33745,1788,5251,1085,923,36,41823,33381,1559,5583,1067,316,92,4555,860,17,28,62,1357,42384,33582,1858,5644,1140,505,147,31713,26435,750,3888,464,250,18,0,0,31887,26881,306,4065,267,259,35,3728,210,26,79,0,33843,27638,1069,3579,790,699,20,33843,27638,1069,3098,703,71,8,103,1153,31834,26700,420,4051,297,251,30,0,0,0,0,0,32195,27095,427,3923,327,285,35,3599,219,12,35,32761,27409,732,3835,447,295,28,3553,389,17,28,19875,10072,9433,18666,9783,8883,19372,9037,9251,19367,11586,7781,17068,10740,5896,16831,9366,7465,19117,10393,8300,21244,10689,10138,21171,10958,9372,19342,10548,8498,20712,9938,10344,20526,9828,10698
