ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep
17,17,427694,220436,142965,46843,24283,4022,1212,502648,222660,196163,57483,33349,3186,1097,0,0,533788,217642,214536,67001,38331,10515,1607,508081,224419,196667,59718,34533,3895,1257,42499,26056,592,554,14183,535797,225657,213989,67526,36251,5121,1395,335888,184179,103136,33944,18457,2970,867,366117,185131,126243,33847,17911,1443,210,31623,16125,581,210,1358,0,427713,185882,162660,50451,29682,8240,1200,427713,185882,162660,35951,24570,611,302,14594,370584,185969,128482,35008,17887,1771,355,0,0,0,0,394684,190259,140825,40656,19292,1984,420,36881,17233,323,420,397959,185039,145438,40958,22687,2417,287,37265,19806,275,287,180364,102488,76311,178409,102247,76162,218805,127183,79201,214134,112741,91768,185624,112895,72198,185515,113495,69485,182403,104121,74223,180223,106693,73318,205497,119677,80744,249448,147772,97856,185716,105241,77426,155027,84372,68667,155031,80829,72866,152909,78589,74320,151650,79906,71744,152996,83051,68354,195735,107161,86067,234046,127699,102065,230386,123799,100692
18,18,522627,423483,42230,32487,22352,4471,1148,550523,422818,54367,45243,27464,4712,1249,0,0,542722,399293,60164,42425,29522,10871,1137,555751,423308,56106,46738,28130,4778,1392,34904,23303,1161,621,14631,547572,406627,59671,47080,29280,5664,1497,434067,364303,29684,21220,16555,3379,762,437092,359155,32913,26204,15138,2785,371,23807,13667,1152,371,838,0,460442,353127,44658,29481,22901,8683,817,460442,353127,44658,23902,19512,1016,359,15787,443916,360933,34704,27902,16623,2832,379,0,0,0,0,442403,353200,37990,29100,17959,3323,254,25971,16337,700,254,442352,347633,41072,29222,20306,3602,327,25185,18470,566,327,256280,131119,121825,247845,126454,121391,274638,122335,138189,267875,117331,135213,238277,119996,117273,237863,114569,118804,235391,98771,131158,232510,109659,122510,259509,119574,133438,308988,144920,159919,251690,113666,134464,231055,100416,126859,231776,99378,130856,228987,94385,134602,226817,97925,128892,229493,106578,119253,260076,115383,141939,282899,125960,152954,278675,126409,146694
19,19,480256,371113,40464,53398,14679,4744,1177,520402,386521,56565,58825,17903,5065,956,0,0,537497,380164,62184,62588,21876,12006,1515,528831,387373,59568,61997,18489,5123,951,48436,12499,1073,455,16660,542651,388011,64761,65688,21605,6671,1699,385053,308452,28112,36359,10751,3477,784,408720,321359,36401,36638,9804,2922,383,34429,7775,1021,383,1257,0,440944,325753,44752,44448,16314,9225,1069,440944,325753,44752,37306,12097,1107,348,17424,416761,324815,38902,38496,10235,3052,340,0,0,0,0,429285,329465,43641,39516,11499,3297,330,36065,9088,606,330,446235,336605,48601,43122,12965,3033,295,38877,10062,398,295,253300,113018,137491,253713,111553,142160,281897,107584,159486,276354,101178,159680,250949,108967,141045,250451,103635,142642,247870,94763,148108,245107,99681,145155,270702,108210,155682,321703,134237,182783,260961,101346,155937,238675,89550,146400,238837,86026,151256,235991,80572,155419,233579,84821,148758,236642,86063,150579,278954,107423,168533,322947,127576,190675,318510,126449,184655
20,20,421909,295722,69949,45918,10635,3518,807,503770,332205,95297,61399,16208,3633,864,0,0,535067,334729,107290,67546,19627,10635,1067,518587,338360,100014,65567,16106,3895,852,54218,12084,988,307,11242,538483,343676,105557,69543,17462,5658,652,326205,244244,44279,29935,7344,2438,502,370356,274772,46622,37615,7874,2433,184,35867,6833,723,184,871,0,423758,284208,72976,46504,14064,7964,750,423758,284208,72976,39507,11289,930,285,12766,383089,280572,50781,40339,8287,2368,204,0,0,0,0,398885,288574,54774,43189,9048,2442,155,40378,7550,521,155,423939,300253,61374,47027,11575,2497,192,43233,9586,333,192,195291,87234,106008,199448,87026,112422,234959,94050,130468,230650,87747,132103,211918,91775,119425,211676,90618,117844,209847,81108,124709,207252,85944,121144,230824,95088,130801,289072,125313,160260,233190,92131,138311,222046,83056,136445,222338,80952,140089,220515,77362,143153,218571,80414,138157,220504,79906,140367,259973,101584,156021,305842,122071,179954,302076,120508,176541
21,21,489943,406935,43939,24717,12929,4084,783,519787,413469,59499,31091,16197,4029,951,0,0,535205,406810,66060,33794,18637,10766,1150,527149,412513,62212,35622,16461,4425,913,25874,11678,1111,424,11876,531757,407210,66855,38454,17230,5738,1217,397647,341077,29755,16024,9119,3058,519,405002,341430,33971,18148,8433,2341,292,16881,7182,1054,292,597,0,443414,350646,47040,23128,13860,8323,784,443414,350646,47040,17709,10901,961,294,14273,411192,343514,36070,19961,8554,2541,331,0,0,0,0,417378,342811,40303,22182,9194,2392,232,19804,7747,425,232,431532,350912,44665,22892,10039,2497,245,19621,8168,251,245,251798,124338,124370,246755,117711,129044,269474,107452,149389,262828,104377,143518,233240,105408,126828,233002,101246,127622,230834,88591,137692,228238,96818,131112,255834,106266,143389,309512,130590,174871,251946,100320,148350,234363,88905,142184,234983,86618,146954,232290,82389,149901,230439,85901,144538,232882,90414,139618,266603,103921,159890,297287,116710,176627,292362,117604,168756
22,22,461471,383498,42463,25965,8570,3062,523,518040,420592,55960,28427,11915,3103,444,0,0,533476,419196,61418,28132,14719,7914,663,525760,424857,56332,30043,12503,3197,509,23519,10161,830,115,8656,538998,429579,59648,31045,13531,4506,509,385186,332236,28820,16874,6127,2264,371,411880,359978,26551,17065,5977,1895,102,16387,5135,599,102,356,0,457296,373825,43857,19791,11219,6211,457,457296,373825,43857,16020,9244,735,142,11824,421107,365561,28774,17946,6455,2016,113,0,0,0,0,437317,375179,32833,19021,7594,2279,188,17260,6478,618,188,455196,385693,36882,19496,9818,2612,205,17150,8161,507,205,248355,121246,124459,246465,112442,134023,279330,117532,150797,273164,110505,151233,255602,116147,138574,255420,113942,137904,253004,105954,142450,249585,108173,141224,273291,117930,150200,328952,145199,180494,275293,113761,158817,264030,104316,157309,264525,101860,161554,261813,97220,164593,258671,99742,158929,261928,100746,159823,297350,119759,175425,335633,135719,196045,331461,134299,192958
23,23,448097,295029,87393,48750,18439,4223,800,519269,311736,113953,65424,28749,5374,1021,0,0,536137,301000,128019,70150,32500,12088,1141,532889,316531,119106,68276,30619,5508,903,55040,25019,1091,190,14132,556382,315685,136508,72983,32743,6979,892,335801,234795,56493,32118,12490,2962,521,368731,248069,63305,40024,13743,2907,204,38351,12480,974,204,861,0,412257,246532,88274,49035,23173,9109,781,412257,246532,88274,40466,19780,1015,191,13921,382136,253584,68568,41576,14737,2806,205,0,0,0,0,401412,255353,79786,45200,16925,2490,288,41989,14978,581,288,422672,260730,87502,50771,18649,3007,364,47078,16289,437,364,188485,85745,100681,192395,86997,105398,224319,92053,121946,220037,85985,122424,197105,88709,107637,196909,87557,106236,195617,77757,114356,192994,83503,109302,217826,92029,120747,276474,120611,152125,214849,86589,125389,198080,74808,120539,198420,72954,123947,196873,70137,126736,194991,73051,121940,195748,73553,122078,240332,95396,142018,289257,116733,167463,284981,116628,161406
24,24,477324,206056,137213,125361,12486,6528,1604,531997,193537,174423,153257,14412,4133,1158,0,0,543535,188688,189002,150287,17035,12122,1052,531665,192604,172416,155845,15115,3985,1427,140971,11792,355,158,11517,545078,188189,185463,159692,15684,4684,1240,369758,179205,98082,85134,9478,4532,1170,332580,165429,72929,84215,7616,1886,188,82544,6812,270,188,690,0,426669,168420,137486,107080,13251,8662,839,426669,168420,137486,97299,10834,487,209,9801,338889,166429,75068,87384,7869,1877,174,0,0,0,0,347429,164808,83264,88859,8286,1618,234,85891,7346,166,234,354208,160974,88564,93325,8863,1967,195,89874,7908,318,195,172914,114639,56842,174901,116542,58359,194342,122359,65875,190254,114596,70619,166854,108626,57769,166197,108558,56170,164147,102706,58652,161643,104891,56516,184161,115876,65523,225015,138652,84201,167325,98789,66856,140108,75953,62466,140359,73813,65536,138849,73415,65434,137705,74360,63345,138854,77529,61325,176371,98235,76584,209780,114071,92853,205480,113012,89145
25,25,382101,147089,172083,49910,20819,4024,1575,470775,145070,250672,62414,22825,4733,1774,0,0,533312,149483,288450,72488,28004,10225,1825,488856,145648,266332,66585,22773,4967,1393,43982,17870,837,408,10284,522589,143245,291262,75650,25799,6910,1770,285384,118879,121068,34077,15809,2881,1032,313995,112335,155650,29929,12946,1314,554,28628,12099,643,554,1251,0,411271,123441,216161,52508,21402,7869,1352,411271,123441,216161,35988,17641,614,405,12902,325859,112919,165839,31297,12618,1319,524,0,0,0,0,345508,113627,179287,35519,13347,1659,509,33717,12390,435,509,370016,120920,189097,41117,15296,1709,390,39084,13746,193,390,139503,85592,52714,145866,93359,52507,190940,119554,63580,187288,105244,74124,156095,94730,60883,155918,97019,56635,154215,91250,59989,152992,94195,58566,179179,107340,68110,233145,136495,93911,163935,92043,69752,135607,69497,64282,135709,66143,68194,134320,65882,68438,133262,67411,65851,134282,72831,61442,181507,94240,85236,227789,115311,109180,224160,111794,107276
26,26,477849,322898,60844,80523,14323,1932,841,540176,336930,87026,97813,18731,2682,702,0,0,540142,327812,87215,96789,21712,5221,758,549866,336084,91860,102506,19594,2835,440,92772,15209,516,87,10479,543278,320019,94766,104273,20718,4172,516,390854,280666,43771,56124,10336,1342,611,403751,286922,48364,55764,9779,1468,203,54633,8809,450,203,1402,0,450997,291676,65526,71325,16363,3941,554,450997,291676,65526,64544,13474,376,129,12625,411401,285673,53238,58878,10214,1731,274,0,0,0,0,410123,278007,56585,60991,11284,1787,120,58973,10167,342,120,418456,280856,58538,63551,12244,2008,102,60560,10679,252,102,239622,151348,86862,241455,143702,97753,268472,155522,106258,263103,144158,113448,241842,144989,96388,240703,144061,94999,238085,137327,96451,234161,140430,93516,260383,151200,106010,312218,181394,128597,250132,139294,109007,227225,120284,104826,227606,117593,109062,225047,115924,109123,223426,117180,106246,225581,124424,100776,264654,141463,121501,301350,157549,140369,296196,155877,136984
