"chamber","district_number","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","pct_D_20_PRES","pct_D_22_SEN","pct_D_22_GOV","pct_D_24_PRES","pct_D_24_SEN","pct_R_20_PRES","pct_R_22_SEN","pct_R_22_GOV","pct_R_24_PRES","pct_R_24_SEN","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
"House",1,94357,6135,30487,4658,2338,103,138896,0.679335618016358,0.0441697385093883,0.219495161847713,0.0335358829627923,0.01757430019583,"CVAP",24,0.34450406555489,0.640587207556407,"R",29.6,29.6,0.381448224193531,0.319809526853198,0.312017235876157,0.36411568922526,0.34246712169136,0.601537475976938,0.667391061184705,0.679380785189914,0.621571448971297,0.637822540369569,12381,30,90
"House",2,102714,8194,23994,4687,1886,230,142101,0.72282390693943,0.0576632113778228,0.168851732218633,0.0329835821000556,0.0148908170948832,"CVAP",24,0.37754780921457,0.606532909331689,"R",22.9,22.9,0.42032051157078,0.3561459249383,0.350431101609729,0.396329667828732,0.369720149643656,0.559160119314526,0.630861535842955,0.640861920065692,0.587739352622922,0.610121846719753,1621,44,77
"House",3,117286,7933,10613,3962,2392,36,142987,0.820256386944268,0.0554805681635393,0.0742235308104933,0.0277088126892655,0.016980564666718,"CVAP",24,0.203806811888404,0.781108546013328,"R",57.7,57.7,0.233356541682878,0.184005107222658,0.177851814297096,0.218893613775481,0.202774000019291,0.745930006348166,0.803270363599431,0.815021365973781,0.767767586430465,0.776179866315576,18798,2,119
"House",4,101751,11093,14639,5930,1691,235,136632,0.74470841384156,0.0811888869371743,0.107141811581474,0.0434012530007612,0.0140962585631477,"CVAP",24,0.275802971142538,0.706161241577844,"R",43,43,0.309899849676903,0.248549295372038,0.244740782999358,0.298736397662489,0.271296602463421,0.666126544716241,0.736614927250379,0.746102831063253,0.684364578340285,0.704523848888154,2775,10,111
"House",5,117773,6321,18837,1680,2706,77,147899,0.796306939194991,0.0427386256837436,0.127363944313349,0.0113591031717591,0.0188168953136938,"CVAP",24,0.193274119154872,0.795677094218624,"R",60.2,60.2,0.229127079330368,0.179366515837104,0.172544552942647,0.201907044081673,0.191145786083643,0.760766870840012,0.810998955795336,0.822843887600183,0.788517797414008,0.7912546493695,1636,1,120
"House",6,110918,7856,14689,3712,1786,108,139664,0.794177454462138,0.0562492839958758,0.105173845801352,0.026578073089701,0.0135611181120403,"CVAP",24,0.239200602923588,0.745756019202842,"R",50.7,50.7,0.274789997103408,0.217090241609336,0.210021909886277,0.256741750460996,0.236618906455863,0.70909637067791,0.770896446745959,0.783837360082274,0.728394307079475,0.741569911067194,1686,4,117
"House",7,112666,7155,22015,839,2760,134,145384,0.774954602982446,0.0492144940296044,0.151426566884939,0.00577092389809057,0.0199059043636164,"CVAP",24,0.219473754140436,0.768592180344112,"R",54.9,54.9,0.249204991556462,0.222845070422535,0.200452031333352,0.224355837358242,0.216238634894644,0.741715463736649,0.76612676056338,0.793918634359997,0.766378008042724,0.763702762097643,15711,3,118
"House",8,52826,9401,72033,2384,1466,58,138591,0.381164722095951,0.0678326875482535,0.519752364872178,0.0172016941937067,0.0109963850466481,"CVAP",24,0.695512862414235,0.288383760519623,"D",40.7,-40.7,0.739945352014418,0.708386055638077,0.689183004741245,0.705307828730682,0.670835906938439,0.245846171734202,0.27760356494471,0.300199535028466,0.278705345832278,0.307957586987853,1729,114,7
"House",9,105229,10258,26348,4725,1081,84,147624,0.71281769901913,0.0694873462309652,0.178480463881212,0.0320069907332141,0.00789167073104644,"CVAP",24,0.50451735100215,0.482326117615366,"D",2.2,-2.2,0.542316140936649,0.51114804964539,0.492540121748755,0.513396096197066,0.488813595783586,0.444249187241894,0.479210992907801,0.501449916989485,0.469765878001734,0.495867842673264,1699,89,32
"House",10,104605,8182,22128,1424,2453,49,139115,0.751931854940157,0.0588146497502067,0.159062646012292,0.0102361355712899,0.0179851202242749,"CVAP",24,0.256527023765897,0.731738849793139,"R",47.5,47.5,0.283018242489199,0.238150895332284,0.228089837270812,0.263185175586368,0.266121966178919,0.705468327016784,0.751809395369746,0.766291597555326,0.727031229752494,0.715477963725576,12391,6,115
